trainable_count	251221292
all_variable_count	251280712
name	shape	param_count	trainable
enformer/trunk/conv_tower/conv_tower_block_0/conv_block/conv1_d/w:0	[5, 768, 768]	2949120	1
enformer/trunk/conv_tower/conv_tower_block_0/pointwise_conv_block/cross_replica_batch_norm/offset:0	[768]	768	1
enformer/trunk/conv_tower/conv_tower_block_0/pointwise_conv_block/cross_replica_batch_norm/scale:0	[768]	768	1
enformer/trunk/conv_tower/conv_tower_block_0/pointwise_conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/conv_tower/conv_tower_block_0/pointwise_conv_block/exponential_moving_average/hidden:0	[1, 1, 768]	768	0
enformer/trunk/conv_tower/conv_tower_block_0/pointwise_conv_block/exponential_moving_average/average:0	[1, 1, 768]	768	0
enformer/trunk/conv_tower/conv_tower_block_0/pointwise_conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/conv_tower/conv_tower_block_0/pointwise_conv_block/exponential_moving_average/hidden:0	[1, 1, 768]	768	0
enformer/trunk/conv_tower/conv_tower_block_0/pointwise_conv_block/exponential_moving_average/average:0	[1, 1, 768]	768	0
enformer/trunk/conv_tower/conv_tower_block_0/pointwise_conv_block/conv1_d/b:0	[768]	768	1
enformer/trunk/conv_tower/conv_tower_block_0/pointwise_conv_block/conv1_d/w:0	[1, 768, 768]	589824	1
enformer/trunk/conv_tower/conv_tower_block_0/softmax_pooling/linear/w:0	[768, 768]	589824	1
enformer/trunk/conv_tower/conv_tower_block_1/conv_block/cross_replica_batch_norm/offset:0	[768]	768	1
enformer/trunk/conv_tower/conv_tower_block_1/conv_block/cross_replica_batch_norm/scale:0	[768]	768	1
enformer/trunk/conv_tower/conv_tower_block_1/conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/conv_tower/conv_tower_block_1/conv_block/exponential_moving_average/hidden:0	[1, 1, 768]	768	0
enformer/trunk/conv_tower/conv_tower_block_1/conv_block/exponential_moving_average/average:0	[1, 1, 768]	768	0
enformer/trunk/conv_tower/conv_tower_block_1/conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/conv_tower/conv_tower_block_1/conv_block/exponential_moving_average/hidden:0	[1, 1, 768]	768	0
enformer/trunk/conv_tower/conv_tower_block_1/conv_block/exponential_moving_average/average:0	[1, 1, 768]	768	0
enformer/trunk/conv_tower/conv_tower_block_1/conv_block/conv1_d/b:0	[896]	896	1
enformer/trunk/conv_tower/conv_tower_block_1/conv_block/conv1_d/w:0	[5, 768, 896]	3440640	1
enformer/trunk/conv_tower/conv_tower_block_1/pointwise_conv_block/cross_replica_batch_norm/offset:0	[896]	896	1
enformer/trunk/conv_tower/conv_tower_block_1/pointwise_conv_block/cross_replica_batch_norm/scale:0	[896]	896	1
enformer/trunk/conv_tower/conv_tower_block_1/pointwise_conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/conv_tower/conv_tower_block_1/pointwise_conv_block/exponential_moving_average/hidden:0	[1, 1, 896]	896	0
enformer/trunk/conv_tower/conv_tower_block_1/pointwise_conv_block/exponential_moving_average/average:0	[1, 1, 896]	896	0
enformer/trunk/conv_tower/conv_tower_block_1/pointwise_conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/conv_tower/conv_tower_block_1/pointwise_conv_block/exponential_moving_average/hidden:0	[1, 1, 896]	896	0
enformer/trunk/conv_tower/conv_tower_block_1/pointwise_conv_block/exponential_moving_average/average:0	[1, 1, 896]	896	0
enformer/trunk/conv_tower/conv_tower_block_1/pointwise_conv_block/conv1_d/b:0	[896]	896	1
enformer/trunk/conv_tower/conv_tower_block_1/pointwise_conv_block/conv1_d/w:0	[1, 896, 896]	802816	1
enformer/trunk/conv_tower/conv_tower_block_1/softmax_pooling/linear/w:0	[896, 896]	802816	1
enformer/trunk/conv_tower/conv_tower_block_2/conv_block/cross_replica_batch_norm/offset:0	[896]	896	1
enformer/trunk/conv_tower/conv_tower_block_2/conv_block/cross_replica_batch_norm/scale:0	[896]	896	1
enformer/trunk/conv_tower/conv_tower_block_2/conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/conv_tower/conv_tower_block_2/conv_block/exponential_moving_average/hidden:0	[1, 1, 896]	896	0
enformer/trunk/conv_tower/conv_tower_block_2/conv_block/exponential_moving_average/average:0	[1, 1, 896]	896	0
enformer/trunk/conv_tower/conv_tower_block_2/conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/conv_tower/conv_tower_block_2/conv_block/exponential_moving_average/hidden:0	[1, 1, 896]	896	0
enformer/trunk/conv_tower/conv_tower_block_2/conv_block/exponential_moving_average/average:0	[1, 1, 896]	896	0
enformer/trunk/conv_tower/conv_tower_block_2/conv_block/conv1_d/b:0	[1024]	1024	1
enformer/trunk/conv_tower/conv_tower_block_2/conv_block/conv1_d/w:0	[5, 896, 1024]	4587520	1
enformer/trunk/conv_tower/conv_tower_block_2/pointwise_conv_block/cross_replica_batch_norm/offset:0	[1024]	1024	1
enformer/trunk/conv_tower/conv_tower_block_2/pointwise_conv_block/cross_replica_batch_norm/scale:0	[1024]	1024	1
enformer/trunk/conv_tower/conv_tower_block_2/pointwise_conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/conv_tower/conv_tower_block_2/pointwise_conv_block/exponential_moving_average/hidden:0	[1, 1, 1024]	1024	0
enformer/trunk/conv_tower/conv_tower_block_2/pointwise_conv_block/exponential_moving_average/average:0	[1, 1, 1024]	1024	0
enformer/trunk/conv_tower/conv_tower_block_2/pointwise_conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/conv_tower/conv_tower_block_2/pointwise_conv_block/exponential_moving_average/hidden:0	[1, 1, 1024]	1024	0
enformer/trunk/conv_tower/conv_tower_block_2/pointwise_conv_block/exponential_moving_average/average:0	[1, 1, 1024]	1024	0
enformer/trunk/conv_tower/conv_tower_block_2/pointwise_conv_block/conv1_d/b:0	[1024]	1024	1
enformer/trunk/conv_tower/conv_tower_block_2/pointwise_conv_block/conv1_d/w:0	[1, 1024, 1024]	1048576	1
enformer/trunk/conv_tower/conv_tower_block_2/softmax_pooling/linear/w:0	[1024, 1024]	1048576	1
enformer/trunk/conv_tower/conv_tower_block_3/conv_block/cross_replica_batch_norm/offset:0	[1024]	1024	1
enformer/trunk/conv_tower/conv_tower_block_3/conv_block/cross_replica_batch_norm/scale:0	[1024]	1024	1
enformer/trunk/conv_tower/conv_tower_block_3/conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/conv_tower/conv_tower_block_3/conv_block/exponential_moving_average/hidden:0	[1, 1, 1024]	1024	0
enformer/trunk/conv_tower/conv_tower_block_3/conv_block/exponential_moving_average/average:0	[1, 1, 1024]	1024	0
enformer/trunk/conv_tower/conv_tower_block_3/conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/conv_tower/conv_tower_block_3/conv_block/exponential_moving_average/hidden:0	[1, 1, 1024]	1024	0
enformer/trunk/conv_tower/conv_tower_block_3/conv_block/exponential_moving_average/average:0	[1, 1, 1024]	1024	0
enformer/trunk/conv_tower/conv_tower_block_3/conv_block/conv1_d/b:0	[1152]	1152	1
enformer/trunk/conv_tower/conv_tower_block_3/conv_block/conv1_d/w:0	[5, 1024, 1152]	5898240	1
enformer/trunk/conv_tower/conv_tower_block_3/pointwise_conv_block/cross_replica_batch_norm/offset:0	[1152]	1152	1
enformer/trunk/conv_tower/conv_tower_block_3/pointwise_conv_block/cross_replica_batch_norm/scale:0	[1152]	1152	1
enformer/trunk/conv_tower/conv_tower_block_3/pointwise_conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/conv_tower/conv_tower_block_3/pointwise_conv_block/exponential_moving_average/hidden:0	[1, 1, 1152]	1152	0
enformer/trunk/conv_tower/conv_tower_block_3/pointwise_conv_block/exponential_moving_average/average:0	[1, 1, 1152]	1152	0
enformer/trunk/conv_tower/conv_tower_block_3/pointwise_conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/conv_tower/conv_tower_block_3/pointwise_conv_block/exponential_moving_average/hidden:0	[1, 1, 1152]	1152	0
enformer/trunk/conv_tower/conv_tower_block_3/pointwise_conv_block/exponential_moving_average/average:0	[1, 1, 1152]	1152	0
enformer/trunk/conv_tower/conv_tower_block_3/pointwise_conv_block/conv1_d/b:0	[1152]	1152	1
enformer/trunk/conv_tower/conv_tower_block_3/pointwise_conv_block/conv1_d/w:0	[1, 1152, 1152]	1327104	1
enformer/trunk/conv_tower/conv_tower_block_3/softmax_pooling/linear/w:0	[1152, 1152]	1327104	1
enformer/trunk/conv_tower/conv_tower_block_4/conv_block/cross_replica_batch_norm/offset:0	[1152]	1152	1
enformer/trunk/conv_tower/conv_tower_block_4/conv_block/cross_replica_batch_norm/scale:0	[1152]	1152	1
enformer/trunk/conv_tower/conv_tower_block_4/conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/conv_tower/conv_tower_block_4/conv_block/exponential_moving_average/hidden:0	[1, 1, 1152]	1152	0
enformer/trunk/conv_tower/conv_tower_block_4/conv_block/exponential_moving_average/average:0	[1, 1, 1152]	1152	0
enformer/trunk/conv_tower/conv_tower_block_4/conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/conv_tower/conv_tower_block_4/conv_block/exponential_moving_average/hidden:0	[1, 1, 1152]	1152	0
enformer/trunk/conv_tower/conv_tower_block_4/conv_block/exponential_moving_average/average:0	[1, 1, 1152]	1152	0
enformer/trunk/conv_tower/conv_tower_block_4/conv_block/conv1_d/b:0	[1280]	1280	1
enformer/trunk/conv_tower/conv_tower_block_4/conv_block/conv1_d/w:0	[5, 1152, 1280]	7372800	1
enformer/trunk/conv_tower/conv_tower_block_4/pointwise_conv_block/cross_replica_batch_norm/offset:0	[1280]	1280	1
enformer/trunk/conv_tower/conv_tower_block_4/pointwise_conv_block/cross_replica_batch_norm/scale:0	[1280]	1280	1
enformer/trunk/conv_tower/conv_tower_block_4/pointwise_conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/conv_tower/conv_tower_block_4/pointwise_conv_block/exponential_moving_average/hidden:0	[1, 1, 1280]	1280	0
enformer/trunk/conv_tower/conv_tower_block_4/pointwise_conv_block/exponential_moving_average/average:0	[1, 1, 1280]	1280	0
enformer/trunk/conv_tower/conv_tower_block_4/pointwise_conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/conv_tower/conv_tower_block_4/pointwise_conv_block/exponential_moving_average/hidden:0	[1, 1, 1280]	1280	0
enformer/trunk/conv_tower/conv_tower_block_4/pointwise_conv_block/exponential_moving_average/average:0	[1, 1, 1280]	1280	0
enformer/trunk/conv_tower/conv_tower_block_4/pointwise_conv_block/conv1_d/b:0	[1280]	1280	1
enformer/trunk/conv_tower/conv_tower_block_4/pointwise_conv_block/conv1_d/w:0	[1, 1280, 1280]	1638400	1
enformer/trunk/conv_tower/conv_tower_block_4/softmax_pooling/linear/w:0	[1280, 1280]	1638400	1
enformer/trunk/conv_tower/conv_tower_block_5/conv_block/cross_replica_batch_norm/offset:0	[1280]	1280	1
enformer/trunk/conv_tower/conv_tower_block_5/conv_block/cross_replica_batch_norm/scale:0	[1280]	1280	1
enformer/trunk/conv_tower/conv_tower_block_5/conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/conv_tower/conv_tower_block_5/conv_block/exponential_moving_average/hidden:0	[1, 1, 1280]	1280	0
enformer/trunk/conv_tower/conv_tower_block_5/conv_block/exponential_moving_average/average:0	[1, 1, 1280]	1280	0
enformer/trunk/conv_tower/conv_tower_block_5/conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/conv_tower/conv_tower_block_5/conv_block/exponential_moving_average/hidden:0	[1, 1, 1280]	1280	0
enformer/trunk/conv_tower/conv_tower_block_5/conv_block/exponential_moving_average/average:0	[1, 1, 1280]	1280	0
enformer/trunk/conv_tower/conv_tower_block_5/conv_block/conv1_d/b:0	[1536]	1536	1
enformer/trunk/conv_tower/conv_tower_block_5/conv_block/conv1_d/w:0	[5, 1280, 1536]	9830400	1
enformer/trunk/conv_tower/conv_tower_block_5/pointwise_conv_block/cross_replica_batch_norm/offset:0	[1536]	1536	1
enformer/trunk/conv_tower/conv_tower_block_5/pointwise_conv_block/cross_replica_batch_norm/scale:0	[1536]	1536	1
enformer/trunk/conv_tower/conv_tower_block_5/pointwise_conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/conv_tower/conv_tower_block_5/pointwise_conv_block/exponential_moving_average/hidden:0	[1, 1, 1536]	1536	0
enformer/trunk/conv_tower/conv_tower_block_5/pointwise_conv_block/exponential_moving_average/average:0	[1, 1, 1536]	1536	0
enformer/trunk/conv_tower/conv_tower_block_5/pointwise_conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/conv_tower/conv_tower_block_5/pointwise_conv_block/exponential_moving_average/hidden:0	[1, 1, 1536]	1536	0
enformer/trunk/conv_tower/conv_tower_block_5/pointwise_conv_block/exponential_moving_average/average:0	[1, 1, 1536]	1536	0
enformer/trunk/conv_tower/conv_tower_block_5/pointwise_conv_block/conv1_d/b:0	[1536]	1536	1
enformer/trunk/conv_tower/conv_tower_block_5/pointwise_conv_block/conv1_d/w:0	[1, 1536, 1536]	2359296	1
enformer/trunk/conv_tower/conv_tower_block_5/softmax_pooling/linear/w:0	[1536, 1536]	2359296	1
enformer/trunk/transformer/transformer_block_0/mha/layer_norm/offset:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_0/mha/layer_norm/scale:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_0/mha/attention_0/r_r_bias:0	[1, 8, 1, 64]	512	1
enformer/trunk/transformer/transformer_block_0/mha/attention_0/r_w_bias:0	[1, 8, 1, 64]	512	1
enformer/trunk/transformer/transformer_block_0/mha/attention_0/embedding_layer/b:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_0/mha/attention_0/embedding_layer/w:0	[1536, 1536]	2359296	1
enformer/trunk/transformer/transformer_block_0/mha/attention_0/k_layer/w:0	[1536, 512]	786432	1
enformer/trunk/transformer/transformer_block_0/mha/attention_0/q_layer/w:0	[1536, 512]	786432	1
enformer/trunk/transformer/transformer_block_0/mha/attention_0/r_k_layer/w:0	[192, 512]	98304	1
enformer/trunk/transformer/transformer_block_0/mha/attention_0/v_layer/w:0	[1536, 1536]	2359296	1
enformer/trunk/transformer/transformer_block_0/mlp/layer_norm/offset:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_0/mlp/layer_norm/scale:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_0/mlp/linear/b:0	[3072]	3072	1
enformer/trunk/transformer/transformer_block_0/mlp/linear/w:0	[1536, 3072]	4718592	1
enformer/trunk/transformer/transformer_block_0/mlp/linear/b:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_0/mlp/linear/w:0	[3072, 1536]	4718592	1
enformer/trunk/transformer/transformer_block_1/mha/layer_norm/offset:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_1/mha/layer_norm/scale:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_1/mha/attention_1/r_r_bias:0	[1, 8, 1, 64]	512	1
enformer/trunk/transformer/transformer_block_1/mha/attention_1/r_w_bias:0	[1, 8, 1, 64]	512	1
enformer/trunk/transformer/transformer_block_1/mha/attention_1/embedding_layer/b:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_1/mha/attention_1/embedding_layer/w:0	[1536, 1536]	2359296	1
enformer/trunk/transformer/transformer_block_1/mha/attention_1/k_layer/w:0	[1536, 512]	786432	1
enformer/trunk/transformer/transformer_block_1/mha/attention_1/q_layer/w:0	[1536, 512]	786432	1
enformer/trunk/transformer/transformer_block_1/mha/attention_1/r_k_layer/w:0	[192, 512]	98304	1
enformer/trunk/transformer/transformer_block_1/mha/attention_1/v_layer/w:0	[1536, 1536]	2359296	1
enformer/trunk/transformer/transformer_block_1/mlp/layer_norm/offset:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_1/mlp/layer_norm/scale:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_1/mlp/linear/b:0	[3072]	3072	1
enformer/trunk/transformer/transformer_block_1/mlp/linear/w:0	[1536, 3072]	4718592	1
enformer/trunk/transformer/transformer_block_1/mlp/linear/b:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_1/mlp/linear/w:0	[3072, 1536]	4718592	1
enformer/trunk/transformer/transformer_block_2/mha/layer_norm/offset:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_2/mha/layer_norm/scale:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_2/mha/attention_2/r_r_bias:0	[1, 8, 1, 64]	512	1
enformer/trunk/transformer/transformer_block_2/mha/attention_2/r_w_bias:0	[1, 8, 1, 64]	512	1
enformer/trunk/transformer/transformer_block_2/mha/attention_2/embedding_layer/b:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_2/mha/attention_2/embedding_layer/w:0	[1536, 1536]	2359296	1
enformer/trunk/transformer/transformer_block_2/mha/attention_2/k_layer/w:0	[1536, 512]	786432	1
enformer/trunk/transformer/transformer_block_2/mha/attention_2/q_layer/w:0	[1536, 512]	786432	1
enformer/trunk/transformer/transformer_block_2/mha/attention_2/r_k_layer/w:0	[192, 512]	98304	1
enformer/trunk/transformer/transformer_block_2/mha/attention_2/v_layer/w:0	[1536, 1536]	2359296	1
enformer/trunk/transformer/transformer_block_2/mlp/layer_norm/offset:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_2/mlp/layer_norm/scale:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_2/mlp/linear/b:0	[3072]	3072	1
enformer/trunk/transformer/transformer_block_2/mlp/linear/w:0	[1536, 3072]	4718592	1
enformer/trunk/transformer/transformer_block_2/mlp/linear/b:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_2/mlp/linear/w:0	[3072, 1536]	4718592	1
enformer/trunk/transformer/transformer_block_3/mha/layer_norm/offset:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_3/mha/layer_norm/scale:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_3/mha/attention_3/r_r_bias:0	[1, 8, 1, 64]	512	1
enformer/trunk/transformer/transformer_block_3/mha/attention_3/r_w_bias:0	[1, 8, 1, 64]	512	1
enformer/trunk/transformer/transformer_block_3/mha/attention_3/embedding_layer/b:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_3/mha/attention_3/embedding_layer/w:0	[1536, 1536]	2359296	1
enformer/trunk/transformer/transformer_block_3/mha/attention_3/k_layer/w:0	[1536, 512]	786432	1
enformer/trunk/transformer/transformer_block_3/mha/attention_3/q_layer/w:0	[1536, 512]	786432	1
enformer/trunk/transformer/transformer_block_3/mha/attention_3/r_k_layer/w:0	[192, 512]	98304	1
enformer/trunk/transformer/transformer_block_3/mha/attention_3/v_layer/w:0	[1536, 1536]	2359296	1
enformer/trunk/transformer/transformer_block_3/mlp/layer_norm/offset:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_3/mlp/layer_norm/scale:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_3/mlp/linear/b:0	[3072]	3072	1
enformer/trunk/transformer/transformer_block_3/mlp/linear/w:0	[1536, 3072]	4718592	1
enformer/trunk/transformer/transformer_block_3/mlp/linear/b:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_3/mlp/linear/w:0	[3072, 1536]	4718592	1
enformer/trunk/transformer/transformer_block_4/mha/layer_norm/offset:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_4/mha/layer_norm/scale:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_4/mha/attention_4/r_r_bias:0	[1, 8, 1, 64]	512	1
enformer/trunk/transformer/transformer_block_4/mha/attention_4/r_w_bias:0	[1, 8, 1, 64]	512	1
enformer/trunk/transformer/transformer_block_4/mha/attention_4/embedding_layer/b:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_4/mha/attention_4/embedding_layer/w:0	[1536, 1536]	2359296	1
enformer/trunk/transformer/transformer_block_4/mha/attention_4/k_layer/w:0	[1536, 512]	786432	1
enformer/trunk/transformer/transformer_block_4/mha/attention_4/q_layer/w:0	[1536, 512]	786432	1
enformer/trunk/transformer/transformer_block_4/mha/attention_4/r_k_layer/w:0	[192, 512]	98304	1
enformer/trunk/transformer/transformer_block_4/mha/attention_4/v_layer/w:0	[1536, 1536]	2359296	1
enformer/trunk/transformer/transformer_block_4/mlp/layer_norm/offset:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_4/mlp/layer_norm/scale:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_4/mlp/linear/b:0	[3072]	3072	1
enformer/trunk/transformer/transformer_block_4/mlp/linear/w:0	[1536, 3072]	4718592	1
enformer/trunk/transformer/transformer_block_4/mlp/linear/b:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_4/mlp/linear/w:0	[3072, 1536]	4718592	1
enformer/trunk/transformer/transformer_block_5/mha/layer_norm/offset:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_5/mha/layer_norm/scale:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_5/mha/attention_5/r_r_bias:0	[1, 8, 1, 64]	512	1
enformer/trunk/transformer/transformer_block_5/mha/attention_5/r_w_bias:0	[1, 8, 1, 64]	512	1
enformer/trunk/transformer/transformer_block_5/mha/attention_5/embedding_layer/b:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_5/mha/attention_5/embedding_layer/w:0	[1536, 1536]	2359296	1
enformer/trunk/transformer/transformer_block_5/mha/attention_5/k_layer/w:0	[1536, 512]	786432	1
enformer/trunk/transformer/transformer_block_5/mha/attention_5/q_layer/w:0	[1536, 512]	786432	1
enformer/trunk/transformer/transformer_block_5/mha/attention_5/r_k_layer/w:0	[192, 512]	98304	1
enformer/trunk/transformer/transformer_block_5/mha/attention_5/v_layer/w:0	[1536, 1536]	2359296	1
enformer/trunk/transformer/transformer_block_5/mlp/layer_norm/offset:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_5/mlp/layer_norm/scale:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_5/mlp/linear/b:0	[3072]	3072	1
enformer/trunk/transformer/transformer_block_5/mlp/linear/w:0	[1536, 3072]	4718592	1
enformer/trunk/transformer/transformer_block_5/mlp/linear/b:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_5/mlp/linear/w:0	[3072, 1536]	4718592	1
enformer/trunk/transformer/transformer_block_6/mha/layer_norm/offset:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_6/mha/layer_norm/scale:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_6/mha/attention_6/r_r_bias:0	[1, 8, 1, 64]	512	1
enformer/trunk/transformer/transformer_block_6/mha/attention_6/r_w_bias:0	[1, 8, 1, 64]	512	1
enformer/trunk/transformer/transformer_block_6/mha/attention_6/embedding_layer/b:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_6/mha/attention_6/embedding_layer/w:0	[1536, 1536]	2359296	1
enformer/trunk/transformer/transformer_block_6/mha/attention_6/k_layer/w:0	[1536, 512]	786432	1
enformer/trunk/transformer/transformer_block_6/mha/attention_6/q_layer/w:0	[1536, 512]	786432	1
enformer/trunk/transformer/transformer_block_6/mha/attention_6/r_k_layer/w:0	[192, 512]	98304	1
enformer/trunk/transformer/transformer_block_6/mha/attention_6/v_layer/w:0	[1536, 1536]	2359296	1
enformer/trunk/transformer/transformer_block_6/mlp/layer_norm/offset:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_6/mlp/layer_norm/scale:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_6/mlp/linear/b:0	[3072]	3072	1
enformer/trunk/transformer/transformer_block_6/mlp/linear/w:0	[1536, 3072]	4718592	1
enformer/trunk/transformer/transformer_block_6/mlp/linear/b:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_6/mlp/linear/w:0	[3072, 1536]	4718592	1
enformer/trunk/transformer/transformer_block_7/mha/layer_norm/offset:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_7/mha/layer_norm/scale:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_7/mha/attention_7/r_r_bias:0	[1, 8, 1, 64]	512	1
enformer/trunk/transformer/transformer_block_7/mha/attention_7/r_w_bias:0	[1, 8, 1, 64]	512	1
enformer/trunk/transformer/transformer_block_7/mha/attention_7/embedding_layer/b:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_7/mha/attention_7/embedding_layer/w:0	[1536, 1536]	2359296	1
enformer/trunk/transformer/transformer_block_7/mha/attention_7/k_layer/w:0	[1536, 512]	786432	1
enformer/trunk/transformer/transformer_block_7/mha/attention_7/q_layer/w:0	[1536, 512]	786432	1
enformer/trunk/transformer/transformer_block_7/mha/attention_7/r_k_layer/w:0	[192, 512]	98304	1
enformer/trunk/transformer/transformer_block_7/mha/attention_7/v_layer/w:0	[1536, 1536]	2359296	1
enformer/trunk/transformer/transformer_block_7/mlp/layer_norm/offset:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_7/mlp/layer_norm/scale:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_7/mlp/linear/b:0	[3072]	3072	1
enformer/trunk/transformer/transformer_block_7/mlp/linear/w:0	[1536, 3072]	4718592	1
