FFQ	47	0	80	9544	18	80	93	93	200	211	178	187	354	245	57	296	212	233	143	133	207	423	534	573	632	896	629	1319	1212	4052	7521	27336	64073	61439	46115	71049	42420	63390	19976	2533	59	268	404	0
FFQ	48	0	102	9729	94	16	104	295	122	219	195	107	471	171	67	323	261	196	125	191	257	400	410	758	742	898	555	1283	2038	2998	7227	27393	63369	61734	44762	71253	42797	63404	20679	2737	73	250	390	0
FFQ	49	0	105	9993	77	12	106	241	193	147	217	233	323	184	135	219	339	104	216	133	302	282	476	681	1079	552	856	1053	1085	3722	6568	26302	64330	61180	46797	69526	38891	66084	22640	2849	86	265	368	0
FFQ	50	0	95	10252	88	21	119	352	159	241	332	235	267	156	359	258	94	262	223	250	420	804	880	914	760	804	2253	2527	3392	4066	14244	27861	67688	53105	47813	68804	42511	56827	16880	1648	92	261	358	0
FFQ	51	0	113	10540	93	28	135	273	167	157	250	104	396	263	60	166	429	111	325	122	213	443	667	650	818	977	614	1305	1808	3640	7191	27167	45881	71580	40781	55692	61054	48745	41715	3022	97	239	378	0
FFQ	52	0	133	10793	103	16	124	289	194	161	235	199	362	200	117	278	328	109	196	176	209	513	668	759	877	659	1054	836	1636	4157	7224	25229	47799	71592	41375	54335	56640	51851	42764	3289	90	239	357	0
FFQ	53	0	128	11034	115	24	124	262	141	168	172	148	428	213	142	164	353	242	133	264	283	481	525	865	693	1117	561	1146	2141	3230	8334	25265	39304	78644	37486	55720	59899	49021	39838	8387	102	235	355	0
FFQ	54	0	131	11241	105	26	139	325	218	194	263	185	357	217	149	206	349	114	151	169	193	488	229	862	931	977	851	1232	1426	4025	7166	22263	48964	72173	39926	51852	57606	52730	45010	3477	95	236	328	0
FFQ	55	0	114	11473	112	24	148	329	173	203	187	222	417	137	240	205	139	384	20	362	227	458	447	851	606	1162	1006	1207	2112	3859	5643	23901	47432	70129	42766	51212	54736	51841	40399	9730	2125	222	329	0
FFQ	56	0	124	11709	121	23	174	318	152	201	172	204	413	147	202	212	128	370	59	275	289	321	511	835	692	1208	1096	1373	1534	3678	8110	19850	30883	62622	50704	48079	67433	42706	58799	10610	104	208	324	0
FFQ	57	0	132	11930	118	27	174	335	168	204	189	243	440	148	176	204	130	399	62	312	218	491	475	903	594	1116	932	1260	1880	3745	7228	15055	31556	66781	50953	45443	64868	43257	59375	14468	124	213	300	0
FFQ	58	0	124	12160	101	36	192	317	166	181	203	206	401	175	194	228	176	355	70	415	219	552	461	1080	788	972	996	1252	2191	5153	7473	20077	39156	79645	38689	47923	53403	51273	47409	11180	109	217	294	0
FFQ	59	0	123	12407	93	26	196	370	155	208	216	197	396	165	202	167	171	363	31	437	251	412	496	805	873	885	1106	1046	1647	4064	4196	21446	38250	81103	40529	49920	47725	48385	40871	22738	2714	202	266	0
FFQ	60	0	102	12640	24	85	192	60	291	203	187	293	219	294	192	166	132	345	20	332	286	367	643	623	741	1204	695	1361	1870	3497	5493	10396	33452	65441	56979	39415	56405	47876	55219	24470	2842	190	272	0
FFQ	61	0	82	12846	21	96	176	58	316	189	186	303	248	299	136	150	280	205	41	413	246	477	462	959	881	799	894	905	1775	3450	4493	10761	34387	65466	56156	37823	55363	48081	55851	26111	3354	167	262	0
FFQ	62	0	84	13057	19	86	159	63	301	180	155	285	179	278	189	134	94	346	25	314	248	329	474	692	810	1043	851	1103	1666	3461	5520	13943	33503	66305	53833	41747	53765	46268	52814	26727	3323	193	248	0
FFQ	63	0	73	13249	12	92	189	62	358	186	186	299	171	282	191	127	116	332	18	326	292	295	518	711	793	1009	812	1095	1616	3700	6435	15575	36067	60938	56413	38121	54418	48707	52833	23705	3684	176	261	0
FFQ	64	0	82	13457	26	83	216	55	312	206	197	291	141	329	156	137	103	327	19	371	324	260	568	690	837	863	1008	1154	1176	4089	4551	14809	34033	66291	55773	32049	51239	48573	55295	29555	3981	151	266	0
FFQ	65	0	78	13682	17	92	218	61	320	174	168	285	172	312	190	148	93	328	72	314	264	348	761	593	924	798	1032	1155	1629	4297	5958	21249	29867	64356	51997	38944	53453	40088	47692	34809	6248	157	239	0
FFQ	66	0	85	13894	18	78	236	52	391	183	195	280	183	321	168	116	116	323	48	247	301	240	581	768	784	1093	908	989	1372	4158	5678	11570	36042	63608	56270	32663	48649	49412	53867	32269	4575	139	224	0
FFQ	67	0	77	14110	19	102	248	68	371	193	167	290	173	333	166	103	125	315	62	269	279	317	504	766	724	1081	1094	1404	1949	3730	6197	14165	35756	62132	56414	32364	51013	45736	51197	33584	4661	137	200	0
FFQ	68	0	78	14293	16	79	244	69	382	208	213	288	145	328	180	69	220	197	76	323	291	272	563	778	927	939	897	1203	1548	4007	6157	12303	37289	63299	57106	30917	45007	49273	52051	34622	4936	105	200	0
FFQ	69	0	66	14494	12	99	287	44	377	197	189	294	156	294	157	120	113	298	116	280	219	290	724	733	973	827	1070	1073	1694	3546	6139	12423	35088	62010	56049	32730	43668	46650	48927	40744	8154	96	183	0
FFQ	70	0	78	14673	17	87	298	68	424	194	198	316	129	355	146	119	103	290	88	259	315	262	447	789	881	923	1001	1439	1082	4284	4378	13400	33412	61778	59022	27583	43033	43647	52303	44756	8259	81	176	0
FFQ	71	0	91	14881	24	92	273	61	412	224	230	374	74	354	180	81	138	328	36	308	387	280	483	782	898	993	1206	1227	1381	3826	5532	13669	36453	61154	55303	30876	41080	47397	47443	43167	8701	82	150	0
FFQ	72	0	78	15078	10	89	255	63	442	224	241	345	134	302	160	112	100	314	69	215	323	258	440	881	888	972	1078	1337	1266	4371	4948	13936	37929	60944	55678	30785	38928	47224	46125	44418	8926	66	143	0
FFQ	73	0	70	15275	14	102	300	58	452	176	257	350	84	398	167	112	134	291	74	308	375	245	405	779	914	1014	1067	1480	1355	3235	4221	12185	38802	60916	54769	28487	39778	48815	45867	46662	9390	70	107	0
FFQ	74	0	65	15460	3	113	277	49	409	211	224	281	141	286	148	146	189	158	85	237	313	261	390	791	913	863	1119	1365	1119	3736	5172	12989	39052	61073	53916	30964	36390	47665	44132	48338	9788	66	104	0
FFQ	75	0	51	15631	23	3	320	57	62	439	161	346	262	106	370	63	139	166	97	313	218	225	504	813	853	796	932	1134	1593	3628	5991	13093	38837	59127	55118	25704	36572	48873	43749	51349	10591	49	93	0
FFQ	76	0	47	15783	21	13	268	44	61	367	161	265	270	90	327	75	108	178	143	188	255	199	504	536	596	941	915	1316	1230	2977	5320	13080	36513	54874	59616	25306	32601	52236	38113	54776	17416	41	84	0
FFQ	77	0	38	15927	16	16	303	33	80	373	148	246	257	80	328	74	163	102	129	194	283	279	461	613	793	839	949	1581	1290	3979	4995	13562	40456	58631	54778	24037	33323	48649	41983	55355	11799	45	70	0
FFQ	78	0	86	16206	55	69	710	207	299	205	107	292	133	138	139	192	224	522	311	623	605	785	697	1683	2404	1288	3408	4578	5852	5399	6258	24378	33075	54360	46077	28744	31544	39168	35813	56974	12891	33	62	0
FFQ	79	0	35	16281	22	11	262	40	84	389	175	222	224	49	271	100	39	183	116	199	226	267	245	811	667	734	876	1368	1246	3479	3758	14705	39021	52027	60424	23228	27594	52501	35404	59050	19529	20	56	0
FFQ	80	0	39	16459	7	105	224	59	406	182	178	217	95	274	119	65	146	150	166	173	341	209	729	472	883	493	1105	1275	1323	3661	4629	17431	45422	56600	51056	27152	24300	49529	36182	59694	13641	16	47	0
FFQ	81	0	45	16619	12	112	290	110	447	225	230	288	78	292	118	63	184	291	124	265	619	473	762	505	712	1232	1446	2251	4329	5445	6503	17398	40786	58763	48840	22968	23013	49127	36077	59443	14056	20	32	0
FFQ	82	0	37	16776	9	116	266	70	473	170	240	229	110	289	79	116	80	214	198	237	289	298	568	721	943	637	1084	1142	1908	3392	6058	16288	43986	55215	53064	21883	26345	49297	36114	60557	14403	9	29	0
FFQ	83	0	34	16918	13	5	355	57	80	455	181	229	299	34	331	125	54	130	130	238	147	378	259	916	551	735	1000	1602	1175	3467	4384	17782	41730	48075	59909	24842	21211	51483	31074	62294	20528	12	17	0
FFQ	84	0	33	17070	18	7	344	39	74	444	176	197	237	84	325	140	35	115	156	196	260	316	278	890	720	750	1102	1014	1810	2926	4932	17072	41538	47551	59859	21911	22975	53199	30148	63109	20453	6	15	0
FFQ	85	0	30	17217	14	6	318	40	65	510	198	201	274	48	316	87	139	144	246	106	431	263	749	569	869	587	1089	1103	1696	3511	5945	16281	39519	47346	60641	19004	24501	54215	29936	63116	20440	5	8	0
FFQ	86	0	16	17377	5	3	323	41	50	461	176	193	263	26	308	170	29	207	122	143	390	270	256	838	696	1019	432	1386	1670	2218	5530	17920	43024	45546	61085	20507	22758	52869	29421	62741	20530	0	4	0
FFQ	87	0	56	17664	60	73	820	205	229	265	116	397	50	81	226	103	322	149	679	554	628	394	589	782	1672	2051	3924	4643	6602	5421	7646	27561	36027	42197	49951	27159	22805	41373	23079	62899	20775	2	1	0
FFQ	88	0	23	17684	20	6	378	65	84	476	189	230	279	36	311	118	23	145	262	159	354	325	732	522	962	486	1031	1251	1653	1965	4893	18914	36066	46142	60893	25670	12693	53489	33189	67361	20279	1	0	0
FFQ	89	0	23	17834	9	3	381	56	63	437	192	204	265	28	351	124	38	119	272	174	178	414	610	719	776	554	1019	1385	1557	1541	5779	9090	38007	45596	40258	49372	27654	21584	41926	24148	58952	16758	0	0
FFQ	90	0	14	17994	10	5	412	44	89	521	211	213	215	88	370	111	31	199	60	211	276	366	305	790	537	1092	503	1951	1301	2804	4620	9010	29702	51415	44054	55170	13139	20709	49816	30738	54298	14155	0	0
FFQ	91	0	15	18133	13	3	360	59	74	478	185	237	265	26	364	97	44	194	75	259	292	435	288	907	700	1067	1012	1887	1266	3385	4778	21263	46960	45536	56335	20213	19607	50033	29609	62987	17173	0	0	0
FFQ	92	0	16	18248	18	1	404	55	63	457	178	248	234	30	314	82	62	133	143	229	142	558	235	847	354	961	1028	1720	1567	4060	4882	19221	48758	44280	58244	16005	22176	51077	28908	62269	17463	0	0	0
FFQ	93	0	22	18380	22	2	422	62	90	536	184	233	298	35	358	76	57	218	81	234	320	424	381	728	746	934	784	1586	1398	2167	6343	19959	48284	45482	55882	21118	19384	50133	28367	61826	17255	0	0	0
FFQ	94	0	25733	35242	220	2012	3171	1117	399	75	39	10	17	7	95	19	19	182	128	275	144	860	964	807	776	907	750	1100	571	4245	4519	10784	30250	43270	36802	42901	15897	15823	38534	19887	51227	13500	0	0
FFQ	95	0	0	18655	3	13	363	172	77	94	614	250	216	501	6	333	31	3	111	789	104	1749	611	273	1248	1805	2765	4247	4741	20174	7279	19992	47227	40967	54036	14744	18363	46155	23671	54248	15650	0	0	0
FFQ	96	0	0	18759	14	0	473	62	73	617	248	260	262	112	334	104	35	35	119	399	348	686	660	691	864	956	1792	2053	3317	5043	4203	10414	33064	54978	45524	53237	13007	17934	42666	22604	51220	14134	0	0
FFQ	97	0	11	18852	11	2	451	67	85	525	216	270	284	47	330	65	48	85	203	365	265	503	375	869	430	1390	1091	1409	2970	1409	6695	7913	29926	52638	44851	54734	15560	23371	44809	22678	50803	13690	0	0
FFQ	98	0	8	18966	10	3	415	57	97	538	202	240	252	63	357	43	68	159	196	193	331	377	306	698	1090	1061	905	1758	1578	2684	5784	10074	26662	48093	46851	55519	9320	15389	54934	25359	53731	14909	0	0
FFQ	99	0	6	19053	13	3	400	54	82	506	191	259	286	33	331	81	48	186	212	306	248	435	437	721	715	999	1028	1814	1429	2238	5856	11925	39704	44277	42495	51140	17534	19553	41974	18966	57119	15565	0	0
FFQ	100	0	12	19157	15	3	428	60	61	565	193	241	292	15	331	41	56	157	186	204	368	316	263	781	960	977	1075	1081	1955	2662	5402	8372	28626	48170	43085	55956	9650	21040	47847	23270	57490	15816	0	0
FFQ	101	0	5	19274	17	2	482	61	70	565	197	219	320	45	339	44	71	277	89	283	268	380	370	845	862	969	796	1537	1390	1875	6106	9341	25387	47619	43428	62247	5654	12931	53392	25034	57486	15773	0	0
FFQ	102	0	0	19409	5	9	252	93	63	60	465	168	285	223	53	254	77	66	46	203	440	642	236	752	674	708	1553	1146	2819	3632	4162	21728	30049	49333	58119	43054	19236	54455	45447	30196	4792	0	0	0
FFQ	103	0	0	19434	1	6	266	79	54	72	459	169	209	218	38	271	15	56	108	346	295	352	408	417	731	926	1243	1580	2242	1994	4896	17662	35860	49459	58646	32623	4520	52976	46310	48857	9984	0	0	0
FFQ	104	0	0	19473	3	5	237	86	54	38	364	149	189	267	42	249	36	51	155	247	160	427	168	609	469	1282	812	1400	2025	1268	5917	6137	26325	51084	44285	58211	8101	17501	52863	24595	52602	14728	0	0
FFQ	105	0	4	19541	0	67	289	60	398	128	184	216	34	235	37	55	149	251	208	143	303	704	591	676	472	1316	1667	1545	3711	4842	5129	10813	37734	48687	40601	44464	14376	19203	42103	16837	57626	16104	0	0
FFQ	106	0	0	19578	7	0	320	45	52	341	134	160	189	29	221	18	59	35	232	200	206	269	317	509	761	758	907	1426	1044	1729	4658	7063	40272	45804	43157	44865	17720	20256	43280	17281	59798	16541	0	0
FFQ	107	0	0	19660	9	0	295	44	43	354	130	160	216	39	199	54	39	145	201	215	126	345	541	466	642	525	1073	1657	997	3005	4248	7643	36163	44823	40494	53781	15125	16086	42506	18661	61301	17025	0	0
FFQ	108	0	0	19737	5	0	321	38	46	352	120	159	218	29	206	28	38	39	198	168	204	287	276	474	542	1029	650	1459	1332	1946	4310	22105	52434	41186	59377	6453	15405	53599	24418	61046	17423	0	0	0
FFQ	109	0	0	19825	14	0	349	45	60	334	111	146	228	28	242	11	43	46	207	187	170	301	231	538	568	959	625	1475	1288	1371	5031	7767	40384	44795	41383	49064	13026	17465	42804	17614	60440	17137	0	0
FFQ	110	0	0	19916	8	0	328	32	42	347	119	147	188	27	250	15	54	46	222	168	190	315	245	588	709	781	1046	1203	1379	2531	4591	22967	51144	40846	57992	9513	12837	51836	24779	60636	16824	0	0	0
FFQ	111	0	14	20010	70	59	327	357	139	150	129	78	244	13	45	65	149	218	176	132	296	615	554	624	439	1231	1147	1524	2468	4850	6507	23387	41983	42568	54105	11226	14315	50160	23896	61569	17585	0	0	0
FFQ	112	0	0	20126	5	0	321	42	42	364	137	231	179	3	218	15	54	53	259	185	200	247	236	590	750	811	1058	1179	1360	2555	4675	9133	35112	42809	40396	51240	14833	15511	41654	18569	60142	16677	0	0
FFQ	113	0	114	20296	45	447	417	165	178	28	267	62	65	259	108	297	66	563	417	792	445	586	748	1630	2465	2849	3127	3884	5173	7373	5049	32540	38749	37817	43699	16917	17707	39616	17994	60151	17438	0	0	0
FFQ	114	0	0	20308	9	0	343	30	41	376	117	187	203	15	210	14	66	120	131	201	314	210	226	588	838	885	981	1168	850	3104	3190	8500	40047	43620	42484	43047	14781	18505	41296	16729	58641	16675	0	0
FFQ	115	0	0	20397	6	0	321	44	40	342	133	156	187	18	212	10	57	51	220	132	213	207	287	555	745	612	877	1502	1281	1709	4405	19923	51152	41070	56921	8348	14845	51824	23558	58627	16568	0	0	0
FFQ	116	0	0	20494	9	0	292	35	49	348	129	178	170	21	212	31	26	52	229	146	264	187	315	462	682	599	916	1357	1241	2701	4528	10777	33693	44573	38159	49004	14694	15462	40584	17697	59142	16502	0	0
FFQ	117	0	0	20605	9	1	312	39	41	352	141	156	166	20	192	12	25	37	123	261	121	366	163	528	624	930	898	1295	1141	2732	3984	22671	44817	40807	54348	9511	16788	49347	23783	59612	17381	0	0	0
FFQ	118	0	0	20727	9	0	275	32	40	316	120	128	190	23	202	9	46	117	138	206	275	196	214	558	820	840	697	1203	1121	2751	4411	10741	33459	44377	37650	48442	14706	15578	40289	18229	57371	16195	0	0
FFQ	119	0	0	20850	12	0	309	47	45	345	151	147	170	25	190	7	54	32	200	167	185	257	239	528	714	797	833	1804	698	2574	3488	18900	50175	40579	56020	8030	14761	50730	23635	57266	15977	0	0	0
FFQ	120	0	12	20992	77	47	281	376	126	131	131	66	237	31	19	165	217	146	112	238	639	613	640	441	1172	1622	1136	3410	3987	5953	9199	29725	40376	36013	44876	17833	17889	37616	17360	58351	16896	0	0	0
