barcode	array_row	array_col	B_Cell	Endothelial	Fibroblast_Stroma	Macrophage	T_Cell	Tumor_Core
Spot_84-1	24	2	0.000000	0.000000	0.000000	0.000000	0.974071	0.035497
Spot_85-1	25	2	1.066415	1.928718	0.000000	1.034094	0.027981	0.008396
Spot_86-1	26	2	0.980258	0.966933	0.000000	0.000000	2.044598	0.023249
Spot_87-1	27	2	0.962524	1.047720	0.038519	1.061670	0.000000	0.000000
Spot_88-1	28	2	0.004093	2.005820	0.000000	0.012820	0.007914	0.000000
Spot_89-1	29	2	1.020399	0.957391	0.038348	0.000000	0.978447	0.009561
Spot_90-1	0	3	0.930928	1.938154	0.007474	0.013942	0.000000	0.079576
Spot_91-1	1	3	1.022164	0.007102	0.008036	0.000000	0.982217	0.000000
Spot_92-1	2	3	1.914736	0.006339	0.000000	0.002741	0.000000	0.032751
Spot_93-1	3	3	0.000000	1.021615	0.000000	0.000000	0.000000	0.000000
Spot_94-1	4	3	0.001344	1.075042	0.004764	0.000000	1.987138	0.059107
Spot_95-1	5	3	0.003137	2.062426	0.017431	0.000000	0.991347	0.017024
Spot_96-1	6	3	0.978372	0.000000	0.000000	0.006598	0.000900	0.011648
Spot_97-1	7	3	0.009106	0.926450	0.022329	1.045932	0.964483	0.030351
Spot_98-1	8	3	1.010014	0.000000	0.000000	0.000000	0.000000	0.000000
Spot_99-1	9	3	0.992745	0.000000	1.055977	0.000000	0.000000	0.000000
Spot_100-1	10	3	0.040248	0.000000	0.000000	0.000000	0.965840	0.000000
Spot_101-1	11	3	0.032768	1.030410	0.978848	0.000000	0.957020	0.038929
Spot_102-1	12	3	0.994010	1.978717	0.940076	0.051529	0.072032	0.000000
Spot_103-1	13	3	1.044425	0.000000	0.000000	0.000000	1.021457	0.000000
Spot_104-1	14	3	0.036394	0.000000	0.000000	0.990751	0.000000	0.000000
Spot_105-1	15	3	0.013784	0.000000	0.968611	0.000000	0.000000	0.000000
Spot_106-1	16	3	0.012710	1.032685	0.000000	0.000000	0.003018	0.000000
Spot_107-1	17	3	0.011707	1.036584	0.000000	0.975093	0.000000	0.000000
Spot_108-1	18	3	0.000000	0.000000	1.953977	0.000000	0.000000	0.000000
Spot_109-1	19	3	0.998039	0.013850	0.918961	0.000000	0.023843	0.000000
Spot_110-1	20	3	0.049358	0.000000	0.000000	0.038173	1.955585	0.000000
Spot_111-1	21	3	1.017719	0.000000	1.018440	0.006484	0.012403	0.000000
Spot_112-1	22	3	0.971014	0.000000	0.000000	0.000000	1.009533	0.026429
Spot_113-1	23	3	0.000000	1.978879	0.059183	0.000000	0.987949	0.017990
Spot_114-1	24	3	0.000000	2.054083	1.012390	0.000000	0.964403	0.000000
Spot_115-1	25	3	0.000000	0.000000	0.000000	0.000000	0.945244	0.043713
Spot_116-1	26	3	0.000000	0.004897	0.000000	0.000000	1.031952	0.007615
Spot_117-1	27	3	0.000000	1.046192	0.001567	0.000000	2.017049	0.000000
Spot_118-1	28	3	0.000000	0.000000	0.000000	0.007979	0.998524	0.014973
Spot_119-1	29	3	0.008913	0.036453	0.010658	0.000000	0.915362	0.006065
Spot_120-1	0	4	1.005946	0.000000	0.000000	1.041354	0.010418	0.000000
Spot_121-1	1	4	0.059241	0.000000	0.000000	0.024176	1.957530	0.003078
Spot_122-1	2	4	0.000000	0.994222	0.000000	0.012017	0.955059	0.014800
Spot_123-1	3	4	1.004228	0.942418	0.009908	0.000000	1.036400	0.002832
Spot_124-1	4	4	0.009475	0.011913	0.000000	0.945055	1.013598	0.000000
Spot_125-1	5	4	1.942482	0.009442	0.003345	0.018631	0.004400	0.011516
Spot_126-1	6	4	0.000000	0.003269	0.000000	0.011157	1.010369	0.000000
Spot_127-1	7	4	2.007739	0.000000	0.008390	0.000000	0.989340	0.000000
Spot_128-1	8	4	0.000000	0.000000	0.991788	0.000000	0.025552	0.000000
Spot_129-1	9	4	0.978430	0.000000	0.000000	0.005834	0.000000	0.000000
Spot_130-1	10	4	0.978802	0.000000	0.000000	0.007661	0.023093	0.000000
Spot_131-1	11	4	1.032482	0.000000	0.961708	0.019020	0.004318	0.015973
Spot_132-1	12	4	0.000000	0.000000	1.003773	0.069158	0.923217	0.019893
Spot_133-1	13	4	0.000000	0.000000	0.974565	0.002703	0.007419	0.015385
Spot_134-1	14	4	0.000000	0.000000	1.939859	1.062322	0.000000	0.027685
Spot_135-1	15	4	0.000000	0.021681	3.029105	0.007973	0.000000	0.000000
Spot_136-1	16	4	2.027006	0.008057	0.000000	0.000000	0.888103	0.000000
Spot_137-1	17	4	0.000000	0.071031	0.000000	0.888888	2.005227	0.000000
Spot_138-1	18	4	0.005610	0.997441	0.928453	0.000000	0.006176	0.000000
Spot_139-1	19	4	0.021008	0.000000	0.996013	0.000000	0.010522	0.000000
Spot_140-1	20	4	0.000000	0.000000	1.978504	0.000000	0.000000	0.002690
Spot_141-1	21	4	0.000000	0.000000	1.009311	0.000000	1.028137	0.018854
Spot_142-1	22	4	0.992800	0.059868	1.003717	1.005068	0.000000	0.000000
Spot_143-1	23	4	0.000147	1.990648	1.013999	0.000000	0.000000	0.039118
Spot_144-1	24	4	0.000000	1.014003	0.000000	0.000000	0.047217	0.001132
Spot_145-1	25	4	0.993816	1.073525	0.000000	0.000460	0.003126	0.000000
Spot_146-1	26	4	2.891536	0.015352	0.011986	0.086494	0.000000	0.015270
Spot_147-1	27	4	1.047550	0.000000	0.000000	0.000000	0.000000	0.007368
Spot_148-1	28	4	0.000000	0.018072	0.000000	0.000000	0.997558	0.000000
Spot_149-1	29	4	0.000000	1.070818	0.000000	0.000000	0.991869	0.040725
Spot_150-1	0	5	0.052776	0.953451	0.000669	0.000000	0.000000	0.000000
Spot_151-1	1	5	0.000000	0.022675	0.015729	0.977904	0.985349	0.024874
Spot_152-1	2	5	0.006591	0.000000	0.005124	0.010092	0.957325	0.000000
Spot_153-1	3	5	1.021606	0.000000	0.000000	0.000000	0.972660	0.000000
Spot_154-1	4	5	0.960967	1.968045	0.000000	0.000000	0.029717	0.000000
Spot_155-1	5	5	0.003282	0.991460	1.083804	0.059800	0.950497	0.000000
Spot_156-1	6	5	1.050946	0.000000	0.000000	0.000000	0.000000	0.000000
Spot_157-1	7	5	0.070709	0.000000	0.000000	0.954776	2.963368	0.000000
Spot_158-1	8	5	0.000000	0.953556	0.922894	0.003885	1.053360	0.070180
Spot_159-1	9	5	1.062992	0.000000	0.977994	0.000000	0.000000	0.004728
Spot_160-1	10	5	0.000000	0.000000	0.009768	0.961050	1.007489	0.000000
Spot_161-1	11	5	0.009209	1.030880	0.939790	0.000000	0.000000	0.000000
Spot_162-1	12	5	0.052129	0.000000	1.945269	0.010486	0.000000	0.010357
Spot_163-1	13	5	0.000000	0.000000	1.982291	0.000000	1.057034	0.026996
Spot_164-1	14	5	0.015968	2.005239	0.997284	0.013832	0.000000	0.000000
Spot_165-1	15	5	0.032673	0.981967	2.964832	0.081951	0.000000	0.000000
Spot_166-1	16	5	0.000000	0.001135	1.975921	0.000000	0.014633	0.067963
Spot_167-1	17	5	1.043207	0.000000	0.916117	0.000000	0.000000	0.046037
Spot_168-1	18	5	0.003394	0.002934	0.000000	0.000000	1.031428	0.000000
Spot_169-1	19	5	0.000000	0.000000	0.953138	1.027883	0.000000	0.018539
Spot_170-1	20	5	0.000000	0.000000	2.006625	0.000000	0.000000	0.000000
Spot_171-1	21	5	0.036241	0.960019	0.000000	0.024156	0.000000	0.002117
Spot_172-1	22	5	0.000000	0.021651	1.888933	0.006935	0.000145	0.000000
Spot_173-1	23	5	1.005128	0.000000	1.010787	0.000000	0.000000	0.000000
Spot_174-1	24	5	0.000000	0.000000	1.021662	0.018349	0.000000	0.013260
Spot_175-1	25	5	0.919549	0.002448	0.027986	0.937916	0.035356	0.010895
Spot_176-1	26	5	1.013127	0.000000	0.000000	0.014420	0.001077	0.000000
Spot_177-1	27	5	0.022595	0.000000	0.008200	0.980551	0.000000	0.011675
Spot_178-1	28	5	0.013360	1.045395	0.000000	0.000000	1.001141	0.000000
Spot_179-1	29	5	0.046146	2.913417	0.000000	0.009210	0.000000	0.000929
Spot_180-1	0	6	0.911494	0.959769	0.026723	1.000399	0.000000	0.013020
Spot_181-1	1	6	0.923877	0.000000	0.000000	0.000000	1.060274	0.018893
Spot_182-1	2	6	0.000000	1.018549	0.000000	0.000000	2.903954	0.000000
Spot_183-1	3	6	0.000000	1.011305	0.000000	0.000000	1.979748	0.049580
Spot_184-1	4	6	0.000000	0.009058	1.962204	0.009147	0.026363	0.000000
Spot_185-1	5	6	0.000000	0.000000	0.000000	0.030199	0.941434	0.000000
Spot_186-1	6	6	0.000000	0.010476	0.953019	0.000000	0.000000	0.021031
Spot_187-1	7	6	0.984515	0.000000	0.000000	0.000000	0.001897	0.008576
Spot_188-1	8	6	0.000000	0.000000	0.990890	0.000000	0.017703	0.000000
Spot_189-1	9	6	2.003723	0.000000	0.919922	0.028509	0.000000	0.020201
Spot_190-1	10	6	0.000000	0.014839	2.036940	0.000000	1.036255	0.000000
Spot_191-1	11	6	0.000000	0.913478	0.976865	0.035387	0.056913	0.000000
Spot_192-1	12	6	0.001614	0.000000	1.008634	0.964681	0.011545	0.000000
Spot_193-1	13	6	0.000000	0.000000	2.097091	0.000000	0.000000	0.000000
Spot_194-1	14	6	0.030023	0.031099	1.909273	0.000000	0.013310	0.000000
Spot_195-1	15	6	0.012578	0.007978	0.956014	0.000000	0.006450	0.000000
Spot_196-1	16	6	0.020534	0.023079	1.861178	0.035293	0.000000	0.025843
Spot_197-1	17	6	0.000000	0.000000	1.013119	0.000000	1.024089	0.009476
Spot_198-1	18	6	0.000000	0.000000	2.008944	0.000000	0.000000	0.000000
Spot_199-1	19	6	0.947412	0.000000	0.981451	0.000000	0.021195	0.046303
Spot_200-1	20	6	0.000000	0.030794	1.023329	0.000000	2.034204	0.024144
Spot_201-1	21	6	0.067126	0.035573	1.917315	0.987633	0.000000	0.000000
Spot_202-1	22	6	0.000000	0.000000	0.976822	0.039547	0.000000	0.000000
Spot_203-1	23	6	0.000000	0.000000	1.023607	0.000000	0.000000	0.000000
Spot_204-1	24	6	0.031795	0.969533	0.000000	0.000000	1.011371	0.000000
Spot_205-1	25	6	1.061190	1.049677	1.816488	0.000000	0.014346	0.000000
Spot_206-1	26	6	0.000000	2.993730	0.000000	1.052800	0.000000	0.000000
Spot_207-1	27	6	0.963884	0.000000	0.017609	0.000000	1.009333	0.003870
Spot_208-1	28	6	1.056636	0.000000	0.005364	0.986657	0.000000	0.000000
Spot_209-1	29	6	0.000000	0.008717	0.013195	0.019649	1.941980	0.000000
Spot_210-1	0	7	1.008256	0.988210	0.021702	0.000000	0.043478	0.000000
Spot_211-1	1	7	1.975882	1.046688	0.014305	0.000000	0.002338	0.001966
Spot_212-1	2	7	0.000000	0.931202	0.037700	0.037363	1.978394	0.000000
Spot_213-1	3	7	1.001690	0.992101	0.000000	0.000000	0.000000	0.031691
Spot_214-1	4	7	0.000000	0.000000	0.046120	1.883284	0.055546	0.000000
Spot_215-1	5	7	0.030077	0.922398	0.036519	0.000000	0.000000	0.002750
Spot_216-1	6	7	1.055907	0.000000	1.015599	0.000000	0.007975	0.000000
Spot_217-1	7	7	0.000000	0.910947	0.999709	0.031065	0.033889	0.000000
Spot_218-1	8	7	0.062261	0.000000	0.925889	0.000000	0.000000	0.000000
Spot_219-1	9	7	0.000000	1.114431	2.002097	0.000000	0.000000	0.000000
Spot_220-1	10	7	0.009861	0.969661	0.970330	0.000000	0.000000	0.000000
Spot_221-1	11	7	0.009850	0.001847	0.940247	0.034020	0.000000	0.009673
Spot_222-1	12	7	0.000000	0.065484	2.025111	0.881891	0.000000	0.000000
Spot_223-1	13	7	1.006946	0.000000	1.017606	0.011671	0.000000	0.004153
Spot_224-1	14	7	0.022062	0.005023	1.948959	0.000000	0.000000	0.000000
Spot_225-1	15	7	0.987290	0.000000	1.962113	0.059078	0.000000	0.000000
Spot_226-1	16	7	0.000000	0.018257	1.944282	0.000000	0.000000	0.000000
Spot_227-1	17	7	0.010910	0.000000	1.007919	0.000000	0.000000	0.000000
Spot_228-1	18	7	0.000000	0.004256	1.965554	0.000000	0.000000	0.023189
Spot_229-1	19	7	0.000000	0.000000	1.959618	0.000000	0.000000	0.003234
Spot_230-1	20	7	0.000000	0.000000	1.015001	0.000000	0.000000	0.015980
Spot_231-1	21	7	0.025477	0.000000	0.986839	0.015348	0.007279	0.946438
Spot_232-1	22	7	0.082126	1.080077	1.831633	0.000000	0.000000	0.000000
Spot_233-1	23	7	0.000000	0.999444	0.968687	0.000000	0.035099	0.009400
Spot_234-1	24	7	0.000000	0.959354	0.979443	0.000000	0.000000	0.044848
Spot_235-1	25	7	0.000000	1.945097	0.000000	0.000000	0.000000	0.000000
Spot_236-1	26	7	0.000000	0.000000	0.000000	0.000000	1.017570	0.000000
Spot_237-1	27	7	0.948185	0.912396	1.058478	0.000000	0.000794	0.047250
Spot_238-1	28	7	0.000000	0.000000	0.000000	0.000000	1.043781	0.000000
Spot_239-1	29	7	0.000000	0.000000	0.000000	1.010347	0.010875	0.000000
Spot_240-1	0	8	0.000000	1.021572	0.003570	0.000000	1.919291	0.017395
Spot_241-1	1	8	0.002460	1.954726	0.026802	0.000000	0.993983	0.000000
Spot_242-1	2	8	0.977016	0.014375	0.014052	0.000000	1.012629	0.022176
Spot_243-1	3	8	1.998184	0.012885	0.046923	0.009792	0.000000	0.000000
Spot_244-1	4	8	0.956848	0.000000	0.000000	0.000000	1.027722	0.030445
Spot_245-1	5	8	0.013236	0.000000	1.015504	0.000000	1.965189	0.000000
Spot_246-1	6	8	0.000000	0.000000	0.962025	0.000000	0.018525	0.040110
Spot_247-1	7	8	0.029235	0.000283	2.019193	0.000000	0.000000	0.000000
Spot_248-1	8	8	0.000000	0.000000	2.036824	0.006999	0.000000	0.000000
Spot_249-1	9	8	0.000000	0.001169	0.964923	0.000000	0.000000	0.032556
Spot_250-1	10	8	0.000000	0.000000	1.992973	0.038048	0.000000	0.000000
Spot_251-1	11	8	0.006797	0.000000	0.020829	0.006562	0.924220	0.000000
Spot_252-1	12	8	0.000000	0.053847	0.924073	0.000000	0.000000	0.006783
Spot_253-1	13	8	0.000000	1.023383	0.961483	0.982358	0.000000	0.000000
Spot_254-1	14	8	0.897849	0.010878	0.999038	0.991655	0.010441	0.030703
Spot_255-1	15	8	0.044455	0.000000	0.993376	0.000000	0.000000	0.000000
Spot_256-1	16	8	0.007822	0.000000	1.052138	0.955355	0.000000	0.000000
Spot_257-1	17	8	0.000799	0.980621	0.000000	0.000000	0.000000	0.037617
Spot_258-1	18	8	0.000000	1.026350	0.000000	0.000000	0.000000	0.000000
Spot_259-1	19	8	0.000000	0.973042	2.067232	0.000000	0.011587	0.000000
Spot_260-1	20	8	0.000000	0.010368	1.001706	0.000000	0.000000	0.008107
Spot_261-1	21	8	0.000000	0.000000	2.022886	0.000000	0.000000	0.000000
Spot_262-1	22	8	0.002310	0.000000	1.017076	0.000000	0.000000	0.000000
Spot_263-1	23	8	0.000000	0.023150	1.004382	1.954209	0.000000	0.000000
Spot_264-1	24	8	0.014589	0.933402	0.000000	1.063563	0.981386	0.000000
Spot_265-1	25	8	0.010301	0.000000	0.963450	0.000000	0.000000	0.007256
Spot_266-1	26	8	1.933356	0.000000	1.967281	0.000000	0.000000	0.000000
Spot_267-1	27	8	2.023974	0.000000	0.000000	0.005764	0.000000	0.000000
Spot_268-1	28	8	0.000000	0.000000	0.000000	0.000000	3.030683	0.019998
Spot_269-1	29	8	1.045578	1.026386	1.016282	0.000000	0.000000	0.000000
Spot_270-1	0	9	0.997987	0.005087	0.000000	0.005674	0.000000	0.000000
Spot_271-1	1	9	0.000000	0.000000	0.014504	1.059035	1.985711	0.000181
Spot_272-1	2	9	0.000000	1.023415	0.010813	0.992482	0.000000	0.000000
Spot_273-1	3	9	0.000000	0.000000	0.000000	0.018807	1.001631	0.000000
Spot_274-1	4	9	0.000000	0.962998	0.000000	0.000000	1.134381	0.000000
Spot_275-1	5	9	0.000000	0.000000	0.972704	0.000000	0.000000	0.003596
Spot_276-1	6	9	0.917021	0.015915	2.094689	0.000000	0.038497	0.000000
Spot_277-1	7	9	0.003767	0.000000	0.928075	0.000000	0.000000	0.012720
Spot_278-1	8	9	0.000000	0.000000	1.015931	0.995636	0.008671	0.000000
Spot_279-1	9	9	0.000000	0.002552	0.991892	0.969718	0.971402	0.000000
Spot_280-1	10	9	0.000000	0.000000	1.053311	0.000000	0.000000	0.019688
Spot_281-1	11	9	0.000000	0.024088	0.000000	1.044366	0.000000	0.932909
Spot_282-1	12	9	0.000000	1.054571	0.988586	0.000000	0.000000	0.000000
Spot_283-1	13	9	0.000000	0.000000	1.951393	0.000000	0.026974	0.000000
Spot_284-1	14	9	0.000811	1.100173	1.979651	1.090556	0.000000	0.000000
Spot_285-1	15	9	0.007443	0.963414	0.916107	0.030872	0.000000	0.974641
Spot_286-1	16	9	0.000000	0.000000	0.989956	0.961078	0.000000	0.000000
Spot_287-1	17	9	0.000000	0.956139	2.000450	0.062464	0.026458	0.000000
Spot_288-1	18	9	0.000000	0.044621	0.932857	0.978830	0.001212	1.068006
Spot_289-1	19	9	0.034256	0.000000	0.957916	0.967491	0.004221	0.000000
Spot_290-1	20	9	0.006435	0.000000	2.023680	0.000000	0.000000	0.000000
Spot_291-1	21	9	0.035628	0.000000	0.968386	0.000000	0.024342	0.025399
Spot_292-1	22	9	0.925640	0.000000	1.972168	0.000000	1.029749	0.052937
Spot_293-1	23	9	0.004569	0.000000	1.031826	0.981955	0.029566	0.008890
Spot_294-1	24	9	0.930540	0.000000	1.039982	1.115414	0.000000	0.000000
Spot_295-1	25	9	0.000000	0.006135	0.000000	0.003686	1.944722	0.016528
Spot_296-1	26	9	0.000000	0.949285	0.002022	0.010733	0.000000	0.000000
Spot_297-1	27	9	0.926650	0.000000	0.039046	0.000000	0.942009	0.010011
Spot_298-1	28	9	0.000000	0.027705	0.000000	0.923957	0.001289	0.007316
Spot_299-1	29	9	0.000000	1.065466	0.000000	0.000000	0.000000	0.000000
Spot_300-1	0	10	1.048547	0.011996	0.000000	0.000000	1.939357	0.000000
Spot_301-1	1	10	0.000000	0.911735	0.000000	0.029132	2.014160	0.009599
Spot_302-1	2	10	0.000000	0.006849	2.010017	0.031150	0.975654	0.006779
Spot_303-1	3	10	0.000000	0.950458	1.014975	0.032373	0.000000	0.003145
Spot_304-1	4	10	0.000000	0.994902	1.962473	0.000000	0.027498	0.020472
Spot_305-1	5	10	0.003558	0.000000	2.034242	0.011988	0.013863	0.000000
Spot_306-1	6	10	0.000000	0.000000	0.994768	0.001259	0.046416	0.000000
Spot_307-1	7	10	0.000000	0.000000	0.988787	0.025632	0.000000	0.000000
Spot_308-1	8	10	0.000000	0.000000	1.034739	0.000000	0.000000	0.016214
Spot_309-1	9	10	0.022828	0.000000	2.977222	0.041281	0.983501	0.050857
Spot_310-1	10	10	0.000000	0.000000	2.989248	0.000000	0.000000	0.039295
Spot_311-1	11	10	0.000440	0.017944	0.000000	0.000000	0.992811	0.000000
Spot_312-1	12	10	0.032347	0.000000	2.011600	0.000000	0.000000	0.000000
Spot_313-1	13	10	0.000000	0.000000	1.035446	1.017329	0.000000	0.035927
Spot_314-1	14	10	1.023876	0.006651	0.000000	0.000000	0.002334	0.982759
Spot_315-1	15	10	0.935153	0.000000	0.000000	0.000000	1.080725	0.022125
Spot_316-1	16	10	0.000000	0.026896	0.012738	0.886405	0.000000	0.038248
Spot_317-1	17	10	0.000000	0.000000	0.000000	1.068243	0.012200	0.000000
Spot_318-1	18	10	0.036539	0.051822	1.026134	0.997053	0.000000	1.002960
Spot_319-1	19	10	0.000000	1.059457	0.000000	0.015030	0.000000	0.000000
Spot_320-1	20	10	0.000000	0.000000	1.980945	1.066733	0.011172	0.000000
Spot_321-1	21	10	0.039307	0.001076	0.965179	0.003065	0.000000	0.000000
Spot_322-1	22	10	1.011118	0.000000	2.936357	0.000000	0.023297	0.000000
Spot_323-1	23	10	0.000000	0.000000	1.012121	0.000000	0.000000	0.022213
Spot_324-1	24	10	0.031541	0.057249	2.047326	0.888167	1.014580	0.000000
Spot_325-1	25	10	0.009992	0.000000	2.913539	0.029885	0.000000	0.002384
Spot_326-1	26	10	0.000000	0.000000	1.028904	0.000000	3.020683	0.000625
Spot_327-1	27	10	0.000000	0.050876	0.000000	0.000000	3.064218	0.000000
Spot_328-1	28	10	0.996017	0.000000	0.962281	0.000000	0.030510	0.017174
Spot_329-1	29	10	3.094568	0.000000	0.000000	0.000000	0.000000	0.000000
