sample	experiment	filtered_bam	filtered_bam_md5	identity_mapping
HG03045	ENCSR249FXU	ENCFF216MFD	19dd00867a4f094440d7ae0eb8bdac01	exact_metadata_identifier
HG03060	ENCSR470ZNM	ENCFF207CZR	fad12a3e0c2779cb5b98c4ec2004978d	exact_metadata_identifier
HG03064	ENCSR487SOP	ENCFF270VDV	f093fac8cf42e5ec8bebf3b0c8383864	exact_metadata_identifier
HG03066	ENCSR040PBN	ENCFF479XDB	148718145964b98468627c22c656f18b	exact_metadata_identifier
HG03095	ENCSR359HFH	ENCFF801THG	18be33cb26c31a986cdf78c3f6959732	exact_metadata_identifier
HG03097	ENCSR608KJD	ENCFF919PWF	d2fe6e478d9c113bcf28e2582856974e	exact_metadata_identifier
HG03103	ENCSR833ACP	ENCFF925NDY	f5f8481c57b227902eb2a0f7b259bdf7	exact_metadata_identifier
HG03108	ENCSR962ITF	ENCFF948HNW	5722e2590036dfc5b07ca910f34340e6	exact_metadata_identifier
HG03135	ENCSR096VEO	ENCFF004CBW	03e0db2e066033c76df8641221fdcabe	exact_metadata_identifier
HG03139	ENCSR615YIL	ENCFF231YYD	fd3bce3af2537a89518fb233b56f9abb	exact_metadata_identifier
HG03159	ENCSR940YDN	ENCFF998WJT	4101503ea6aa5afed696babaf2730d16	exact_metadata_identifier
HG03175	ENCSR305XRF	ENCFF963YZH	cd8ab8907882ba9e76ec882c0bddf0bd	exact_metadata_identifier
HG03196	ENCSR063UNG	ENCFF767FGV	52c130df2cc232bd3ce921b6899f1485	exact_metadata_identifier
HG03280	ENCSR554WGQ	ENCFF588QWF	23d33fa23ebed1b3c5dd596a0b1934c4	exact_metadata_identifier
HG03342	ENCSR528YDD	ENCFF848NBQ	69ea343d3ed728e00efccd52c37afd6b	exact_metadata_identifier
HG03354	ENCSR025MEO	ENCFF132WNX	28512c5e00ee6f0de9bb0fb223bfa56b	exact_metadata_identifier
HG03378	ENCSR824DUE	ENCFF497QOS	46acb3a0393066804a51767793656192	exact_metadata_identifier
HG03432	ENCSR839UOB	ENCFF170VVQ	df4547a448cb6eed34c4f1ac0fa94dae	exact_metadata_identifier
HG03439	ENCSR376YMU	ENCFF326QXM	a794b3660f7991e0c22b360578f05520	exact_metadata_identifier
HG03442	ENCSR858GTE	ENCFF130DND	c5eac6ff59366054fe2a098e58363a44	exact_metadata_identifier
HG03457	ENCSR322SBN	ENCFF785NTV	0a34ba29d2489343677fd85e5ee62209	exact_metadata_identifier
HG03460	ENCSR345NVR	ENCFF110EWQ	19c4dfffff43350a9eaff3b644c93049	exact_metadata_identifier
HG03469	ENCSR163KRG	ENCFF430HQS	fc57381d00f1032666f6f1bf7a5863c7	exact_metadata_identifier
HG03520	ENCSR624CTU	ENCFF614WUU	63e4e5fd3df0e87be7b361692e83d64f	exact_metadata_identifier
HG03521	ENCSR594TMY	ENCFF129JFT	9a57304a9fff5865019af964b9ac9023	exact_metadata_identifier
HG03558	ENCSR278JWM	ENCFF842JIO	a91a9aebfab666b407aa886b1fb4a6a6	exact_metadata_identifier
HG03565	ENCSR835WBW	ENCFF220BRO	0bf13e85c128c921760766a6351535a6	exact_metadata_identifier
HG03571	ENCSR000RBT	ENCFF009NCL	d277ed4a324e8fd0b0dd71e8e1564fe4	exact_metadata_identifier
HG03575	ENCSR331JFZ	ENCFF632MBC	2e872db29e6e7891ab3826983e269f04	exact_metadata_identifier
NA18498	ENCSR924SDV	ENCFF935PGL	e6adf601f0f4b5d143e62d3fceba89dc	coriell_GM_to_NA
NA18499	ENCSR700HPA	ENCFF617WPF	afe244ce86f8c504a3239d88ad687bbc	coriell_GM_to_NA
NA18502	ENCSR241VGH	ENCFF854BZA	aa380634252dbacddda3c21ffd78f1e3	coriell_GM_to_NA
NA18505	ENCSR084FHK	ENCFF204XQS	32950e9b2e0d0f218d71c5fd2a2fbd39	coriell_GM_to_NA
NA18508	ENCSR357WQH	ENCFF932BSQ	91a668c8d93a5be0cca6ce8aab7e6647	coriell_GM_to_NA
NA18511	ENCSR253QLW	ENCFF686SWP	24c07b77753deaac172a5582619dfc5e	coriell_GM_to_NA
NA18517	ENCSR442OAV	ENCFF697VLB	e1230fa9e4aa86d97f1f75eec38d4a0e	coriell_GM_to_NA
NA18519	ENCSR312UCH	ENCFF603MOL	95519f4b652c60947be8060a030e295d	coriell_GM_to_NA
NA18520	ENCSR762YFD	ENCFF988EGP	58978b027f5c6179f0dacca0412803a3	coriell_GM_to_NA
NA18858	ENCSR011NJP	ENCFF283UHH	58b2103ecaedd5c3b80c125cca3a5d4f	coriell_GM_to_NA
NA18861	ENCSR628PLS	ENCFF419NNO	e21b43e2f908796c2f99d70431041424	coriell_GM_to_NA
NA18867	ENCSR492FJO	ENCFF500EBK	109938df3e43584eb79c541abb7b668c	coriell_GM_to_NA
NA18868	ENCSR580JBA	ENCFF138ZQZ	bcb8429eec182ef72fdd817adf931875	coriell_GM_to_NA
NA18870	ENCSR684KUG	ENCFF475WIM	f63172bd240ef0e01f5df9a350daac18	coriell_GM_to_NA
NA18873	ENCSR304ZDQ	ENCFF589DFL	448d37aff0a92a77e7650a9463f9e2fb	coriell_GM_to_NA
NA18907	ENCSR487QSB	ENCFF292BTS	8774f9c6fb0ce5b7431659317b725269	coriell_GM_to_NA
NA18909	ENCSR917WJS	ENCFF572IWC	ea9fa1b8e95dcf7be3543af93120e557	coriell_GM_to_NA
NA19023	ENCSR512FHU	ENCFF949CVL	63a27c8571cb80395f11fec5709b976f	coriell_GM_to_NA
NA19025	ENCSR419UYY	ENCFF462RHM	623a2a1a2cdb41565b8f2e3d81501acf	coriell_GM_to_NA
NA19035	ENCSR637MUF	ENCFF237APZ	42a4544e66bb7b7fab851d4b9d8c4ec7	coriell_GM_to_NA
NA19043	ENCSR409YCK	ENCFF795UPB	e819bcc97f4366407fc09e7dbae5dcc3	coriell_GM_to_NA
NA19324	ENCSR425WQW	ENCFF668HHR	ac2262710ccb04a22855dd7b1a1be7bf	coriell_GM_to_NA
NA19328	ENCSR383RDZ	ENCFF413LGS	a361413efd00cc5ab5b923aa36c9a046	coriell_GM_to_NA
NA19351	ENCSR231BZU	ENCFF342KIA	04124dcb69f15d6653a433194c78db2b	coriell_GM_to_NA
NA19372	ENCSR335JVB	ENCFF301DFZ	67325ceba10b19f26573823859d5bd93	coriell_GM_to_NA
NA19395	ENCSR372IGW	ENCFF668FJU	ff6a5b50ee18e209238a714caee6897d	coriell_GM_to_NA
NA19397	ENCSR839IAD	ENCFF593SBD	1da56b9d2456ce4625b67836980a9e31	coriell_GM_to_NA
NA19438	ENCSR134OSR	ENCFF183OZW	ce56cc29b385fe189ae5dfd75594bdd0	coriell_GM_to_NA
NA19452	ENCSR454UTH	ENCFF955TYL	904317b255b6288158ade0fca5c7eafa	coriell_GM_to_NA
NA19455	ENCSR706GDQ	ENCFF772BMP	390fdb6ec2ff732c411fd470d4bd0c3b	coriell_GM_to_NA
NA19463	ENCSR712ZRY	ENCFF575DFU	cb27f91a6d81f8426f74b67ee5df09f0	coriell_GM_to_NA
NA19467	ENCSR635CAC	ENCFF152BRZ	d2e0bd5f7cfefcab0e800ae8a0532e08	coriell_GM_to_NA
NA19468	ENCSR635AIF	ENCFF362ACE	f69468f5afd408a0aab79c25723464f1	coriell_GM_to_NA
