experiment	biosample_term	identity_tokens	exact_panel_matches	normalized_panel_matches	mapping_mode	mapped_sample	filtered_bam_count	filtered_bam_details	unfiltered_bam_count
ENCSR383RDZ	GM19328	GM19328		NA19328	coriell_GM_to_NA	NA19328	1	ENCFF413LGS:a361413efd00cc5ab5b923aa36c9a046:released:GRCh38:alignments	1
ENCSR858GTE	HG03442	HG03442	HG03442		exact_metadata_identifier	HG03442	1	ENCFF130DND:c5eac6ff59366054fe2a098e58363a44:released:GRCh38:alignments	1
ENCSR512FHU	GM19023	GM19023		NA19023	coriell_GM_to_NA	NA19023	1	ENCFF949CVL:63a27c8571cb80395f11fec5709b976f:released:GRCh38:alignments	1
ENCSR902CFR	GM21423	GM21423			no_panel_match		1	ENCFF751SRZ:67a3b5b9c6616e69c93c8ce4be67abd7:released:GRCh38:alignments	1
ENCSR024WOD	GM21390	GM21390			no_panel_match		1	ENCFF373DIW:349b4f96679fce3236912d5141b54fa5:released:GRCh38:alignments	1
ENCSR214EIV	GM21619	GM21619			no_panel_match		1	ENCFF218LEA:12469850e4f7b5e97e1f1ace4438ac16:released:GRCh38:alignments	1
ENCSR400ISH	HG02571	HG02571	HG02571		exact_metadata_identifier	HG02571	1	ENCFF030ITR:d709c0152e841bea79d68951b47df427:released:GRCh38:alignments	1
ENCSR163KRG	HG03469	HG03469	HG03469		exact_metadata_identifier	HG03469	1	ENCFF430HQS:fc57381d00f1032666f6f1bf7a5863c7:released:GRCh38:alignments	1
ENCSR425WQW	GM19324	GM19324		NA19324	coriell_GM_to_NA	NA19324	1	ENCFF668HHR:ac2262710ccb04a22855dd7b1a1be7bf:released:GRCh38:alignments	1
ENCSR454UTH	GM19452	GM19452		NA19452	coriell_GM_to_NA	NA19452	1	ENCFF955TYL:904317b255b6288158ade0fca5c7eafa:released:GRCh38:alignments	1
ENCSR624CTU	HG03520	HG03520	HG03520		exact_metadata_identifier	HG03520	1	ENCFF614WUU:63e4e5fd3df0e87be7b361692e83d64f:released:GRCh38:alignments	1
ENCSR322SBN	HG03457	HG03457	HG03457		exact_metadata_identifier	HG03457	1	ENCFF785NTV:0a34ba29d2489343677fd85e5ee62209:released:GRCh38:alignments	1
ENCSR084FHK	GM18505	GM18505		NA18505	coriell_GM_to_NA	NA18505	1	ENCFF204XQS:32950e9b2e0d0f218d71c5fd2a2fbd39:released:GRCh38:alignments	1
ENCSR359HFH	HG03095	HG03095	HG03095		exact_metadata_identifier	HG03095	1	ENCFF801THG:18be33cb26c31a986cdf78c3f6959732:released:GRCh38:alignments	1
ENCSR637MUF	GM19035	GM19035		NA19035	coriell_GM_to_NA	NA19035	1	ENCFF237APZ:42a4544e66bb7b7fab851d4b9d8c4ec7:released:GRCh38:alignments	1
ENCSR278JWM	HG03558	HG03558	HG03558		exact_metadata_identifier	HG03558	1	ENCFF842JIO:a91a9aebfab666b407aa886b1fb4a6a6:released:GRCh38:alignments	1
ENCSR305XRF	HG03175	HG03175	HG03175		exact_metadata_identifier	HG03175	1	ENCFF963YZH:cd8ab8907882ba9e76ec882c0bddf0bd:released:GRCh38:alignments	1
ENCSR424KQH	GM21447	GM21447			no_panel_match		1	ENCFF759FWM:331663197b81b92e0e10010c2611e23b:released:GRCh38:alignments	1
ENCSR315QWI	GM21737	GM21737			no_panel_match		1	ENCFF687END:b6b300599a8cdb317ebbd757ab200746:released:GRCh38:alignments	1
ENCSR821JHD	HG02623	HG02623	HG02623		exact_metadata_identifier	HG02623	1	ENCFF495DQP:2fa733308a2dac4cbfc09dba79c332ea:released:GRCh38:alignments	1
ENCSR331JFZ	HG03575	HG03575	HG03575		exact_metadata_identifier	HG03575	1	ENCFF632MBC:2e872db29e6e7891ab3826983e269f04:released:GRCh38:alignments	1
ENCSR509JPT	GM21367	GM21367			no_panel_match		1	ENCFF476FIQ:2c38fb9fc087b5e81c8506105a96e0b8:released:GRCh38:alignments	1
ENCSR905PWV	HG02610	HG02610	HG02610		exact_metadata_identifier	HG02610	1	ENCFF230HVR:7eed78f47dea039f1532eb0605286b18:released:GRCh38:alignments	1
ENCSR939EVW	GM21528	GM21528			no_panel_match		1	ENCFF088VJQ:8a0ecbd445049e734463f77a580e2753:released:GRCh38:alignments	1
ENCSR608KJD	HG03097	HG03097	HG03097		exact_metadata_identifier	HG03097	1	ENCFF919PWF:d2fe6e478d9c113bcf28e2582856974e:released:GRCh38:alignments	1
ENCSR409YCK	GM19043	GM19043		NA19043	coriell_GM_to_NA	NA19043	1	ENCFF795UPB:e819bcc97f4366407fc09e7dbae5dcc3:released:GRCh38:alignments	1
ENCSR487SOP	HG03064	HG03064	HG03064		exact_metadata_identifier	HG03064	1	ENCFF270VDV:f093fac8cf42e5ec8bebf3b0c8383864:released:GRCh38:alignments	1
ENCSR470ZNM	HG03060	HG03060	HG03060		exact_metadata_identifier	HG03060	1	ENCFF207CZR:fad12a3e0c2779cb5b98c4ec2004978d:released:GRCh38:alignments	1
ENCSR673ZMQ	HG03025	HG03025	HG03025		exact_metadata_identifier	HG03025	1	ENCFF715RQC:67916d292b0ec86235fc9eda8203ad8a:released:GRCh38:alignments	1
ENCSR381LJX	HG03039	HG03039	HG03039		exact_metadata_identifier	HG03039	1	ENCFF231QTG:4ab8c94c74cc75174fc4826a7c5dd102:released:GRCh38:alignments	1
ENCSR368FYV	HG02852	HG02852	HG02852		exact_metadata_identifier	HG02852	1	ENCFF978QLZ:86d819db9206832fb54853581f63acd1:released:GRCh38:alignments	1
ENCSR940YDN	HG03159	HG03159	HG03159		exact_metadata_identifier	HG03159	1	ENCFF998WJT:4101503ea6aa5afed696babaf2730d16:released:GRCh38:alignments	1
ENCSR762YFD	GM18520	GM18520		NA18520	coriell_GM_to_NA	NA18520	1	ENCFF988EGP:58978b027f5c6179f0dacca0412803a3:released:GRCh38:alignments	1
ENCSR615YIL	HG03139	HG03139	HG03139		exact_metadata_identifier	HG03139	1	ENCFF231YYD:fd3bce3af2537a89518fb233b56f9abb:released:GRCh38:alignments	1
ENCSR712ZRY	GM19463	GM19463		NA19463	coriell_GM_to_NA	NA19463	1	ENCFF575DFU:cb27f91a6d81f8426f74b67ee5df09f0:released:GRCh38:alignments	1
ENCSR684KUG	GM18870	GM18870		NA18870	coriell_GM_to_NA	NA18870	1	ENCFF475WIM:f63172bd240ef0e01f5df9a350daac18:released:GRCh38:alignments	1
ENCSR123WME	HG02943	HG02943	HG02943		exact_metadata_identifier	HG02943	1	ENCFF657AXO:19221f02914085612ce2c6ca6d0b1fa0:released:GRCh38:alignments	1
ENCSR038WVV	HG02973	HG02973	HG02973		exact_metadata_identifier	HG02973	1	ENCFF395ZMS:c30e23c0556d6a53c36e9ee72afc8e13:released:GRCh38:alignments	1
ENCSR063UNG	HG03196	HG03196	HG03196		exact_metadata_identifier	HG03196	1	ENCFF767FGV:52c130df2cc232bd3ce921b6899f1485:released:GRCh38:alignments	1
ENCSR231BZU	GM19351	GM19351		NA19351	coriell_GM_to_NA	NA19351	1	ENCFF342KIA:04124dcb69f15d6653a433194c78db2b:released:GRCh38:alignments	1
ENCSR635CAC	GM19467	GM19467		NA19467	coriell_GM_to_NA	NA19467	1	ENCFF152BRZ:d2e0bd5f7cfefcab0e800ae8a0532e08:released:GRCh38:alignments	1
ENCSR924SDV	GM18498	GM18498		NA18498	coriell_GM_to_NA	NA18498	1	ENCFF935PGL:e6adf601f0f4b5d143e62d3fceba89dc:released:GRCh38:alignments	1
ENCSR275LCF	GM21786	GM21786			no_panel_match		1	ENCFF621AYF:38e18e350e19fcdb282a7cf59354b1e3:released:GRCh38:alignments	1
ENCSR554WGQ	HG03280	HG03280	HG03280		exact_metadata_identifier	HG03280	1	ENCFF588QWF:23d33fa23ebed1b3c5dd596a0b1934c4:released:GRCh38:alignments	1
ENCSR249FXU	HG03045	HG03045	HG03045		exact_metadata_identifier	HG03045	1	ENCFF216MFD:19dd00867a4f094440d7ae0eb8bdac01:released:GRCh38:alignments	1
ENCSR408IVU	GM21526	GM21526			no_panel_match		1	ENCFF090VTK:e850c01d72e45d5028eca3f2e79e0719:released:GRCh38:alignments	1
ENCSR821QHC	HG02642	HG02642	HG02642		exact_metadata_identifier	HG02642	1	ENCFF705PBQ:4d4e6827add661e394804f575041cd34:released:GRCh38:alignments	1
ENCSR594TMY	HG03521	HG03521	HG03521		exact_metadata_identifier	HG03521	1	ENCFF129JFT:9a57304a9fff5865019af964b9ac9023:released:GRCh38:alignments	1
ENCSR700HPA	GM18499	GM18499		NA18499	coriell_GM_to_NA	NA18499	1	ENCFF617WPF:afe244ce86f8c504a3239d88ad687bbc:released:GRCh38:alignments	1
ENCSR621JYI	HG02885	HG02885	HG02885		exact_metadata_identifier	HG02885	1	ENCFF056MAS:3d22fccf967596fd65bec080d5e43524:released:GRCh38:alignments	1
ENCSR241VGH	GM18502	GM18502		NA18502	coriell_GM_to_NA	NA18502	1	ENCFF854BZA:aa380634252dbacddda3c21ffd78f1e3:released:GRCh38:alignments	1
ENCSR253QLW	GM18511	GM18511		NA18511	coriell_GM_to_NA	NA18511	1	ENCFF686SWP:24c07b77753deaac172a5582619dfc5e:released:GRCh38:alignments	1
ENCSR962ITF	HG03108	HG03108	HG03108		exact_metadata_identifier	HG03108	1	ENCFF948HNW:5722e2590036dfc5b07ca910f34340e6:released:GRCh38:alignments	1
ENCSR345NVR	HG03460	HG03460	HG03460		exact_metadata_identifier	HG03460	1	ENCFF110EWQ:19c4dfffff43350a9eaff3b644c93049:released:GRCh38:alignments	1
ENCSR833ACP	HG03103	HG03103	HG03103		exact_metadata_identifier	HG03103	1	ENCFF925NDY:f5f8481c57b227902eb2a0f7b259bdf7:released:GRCh38:alignments	1
ENCSR920FQJ	HG02938	HG02938	HG02938		exact_metadata_identifier	HG02938	1	ENCFF966ELR:05d62214e6c2826bcb065d8735b07485:released:GRCh38:alignments	1
ENCSR635AIF	GM19468	GM19468		NA19468	coriell_GM_to_NA	NA19468	1	ENCFF362ACE:f69468f5afd408a0aab79c25723464f1:released:GRCh38:alignments	1
ENCSR122NDR	GM21576	GM21576			no_panel_match		1	ENCFF557GPJ:42ae55e4d7ee07ff61476592312b6718:released:GRCh38:alignments	1
ENCSR233HSC	GM21723	GM21723			no_panel_match		1	ENCFF443RUI:3f9999d6fb1ffdf8138583624ac224c0:released:GRCh38:alignments	1
ENCSR528YDD	HG03342	HG03342	HG03342		exact_metadata_identifier	HG03342	1	ENCFF848NBQ:69ea343d3ed728e00efccd52c37afd6b:released:GRCh38:alignments	1
ENCSR641KNU	GM21825	GM21825			no_panel_match		1	ENCFF512LHW:4b22fcbf436fbb69419bfbf2388d0392:released:GRCh38:alignments	1
ENCSR604YEQ	HG02884	HG02884	HG02884		exact_metadata_identifier	HG02884	1	ENCFF079OKV:e39262832afac99d3ae5e436abca0fb3:released:GRCh38:alignments	1
ENCSR839IAD	GM19397	GM19397		NA19397	coriell_GM_to_NA	NA19397	1	ENCFF593SBD:1da56b9d2456ce4625b67836980a9e31:released:GRCh38:alignments	1
ENCSR628PLS	GM18861	GM18861		NA18861	coriell_GM_to_NA	NA18861	1	ENCFF419NNO:e21b43e2f908796c2f99d70431041424:released:GRCh38:alignments	1
ENCSR180HEL	HG02678	HG02678	HG02678		exact_metadata_identifier	HG02678	1	ENCFF447ZRG:5cfd6787d8e02211b9cfcf0cdbb3d5a5:released:GRCh38:alignments	1
ENCSR372IGW	GM19395	GM19395		NA19395	coriell_GM_to_NA	NA19395	1	ENCFF668FJU:ff6a5b50ee18e209238a714caee6897d:released:GRCh38:alignments	1
ENCSR960KGO	GM21515	GM21515			no_panel_match		1	ENCFF797EAL:a47d0caf3fd8091ea9d0cd34af6b64f5:released:GRCh38:alignments	1
ENCSR357WQH	GM18508	GM18508		NA18508	coriell_GM_to_NA	NA18508	1	ENCFF932BSQ:91a668c8d93a5be0cca6ce8aab7e6647:released:GRCh38:alignments	1
ENCSR854ZBA	HG02840	HG02840	HG02840		exact_metadata_identifier	HG02840	1	ENCFF720BLR:9f3be2a35c75c9b7b0f73290883b1591:released:GRCh38:alignments	1
ENCSR304ZDQ	GM18873	GM18873		NA18873	coriell_GM_to_NA	NA18873	1	ENCFF589DFL:448d37aff0a92a77e7650a9463f9e2fb:released:GRCh38:alignments	1
ENCSR580JBA	GM18868	GM18868		NA18868	coriell_GM_to_NA	NA18868	1	ENCFF138ZQZ:bcb8429eec182ef72fdd817adf931875:released:GRCh38:alignments	1
ENCSR917WJS	GM18909	GM18909		NA18909	coriell_GM_to_NA	NA18909	1	ENCFF572IWC:ea9fa1b8e95dcf7be3543af93120e557:released:GRCh38:alignments	1
ENCSR335JVB	GM19372	GM19372		NA19372	coriell_GM_to_NA	NA19372	1	ENCFF301DFZ:67325ceba10b19f26573823859d5bd93:released:GRCh38:alignments	1
ENCSR189VFC	HG02588	HG02588	HG02588		exact_metadata_identifier	HG02588	1	ENCFF025ITU:e592b054de8903cce5e2fb25f88b1c9e:released:GRCh38:alignments	1
ENCSR376YMU	HG03439	HG03439	HG03439		exact_metadata_identifier	HG03439	1	ENCFF326QXM:a794b3660f7991e0c22b360578f05520:released:GRCh38:alignments	1
ENCSR954BDA	GM21529	GM21529			no_panel_match		1	ENCFF403LDD:5e5fd85b57e4c94c3119f4624e942a17:released:GRCh38:alignments	1
ENCSR000RBT	HG03571	HG03571	HG03571		exact_metadata_identifier	HG03571	1	ENCFF009NCL:d277ed4a324e8fd0b0dd71e8e1564fe4:released:GRCh38:alignments	1
