orig.ident	nCount_RNA	nFeature_RNA
X62	SeuratProject	22163.1485504271	21451
X63	SeuratProject	22050.6631296332	21451
X64	SeuratProject	22063.9550893333	21451
X65	SeuratProject	22139.186601908	21451
X66	SeuratProject	22115.1423082506	21451
X67	SeuratProject	22095.94549437	21451
X68	SeuratProject	21945.2820773914	21451
X69	SeuratProject	22039.0848246641	21451
X70	SeuratProject	22063.3843983923	21451
X71	SeuratProject	21930.2237925708	21451
X72	SeuratProject	22056.7139095524	21451
X73	SeuratProject	21999.8239240904	21451
X74	SeuratProject	21860.5195796017	21451
X75	SeuratProject	21923.4984860724	21451
X76	SeuratProject	21898.6703046128	21451
X77	SeuratProject	22043.8275383018	21451
X78	SeuratProject	21925.9372557813	21451
X79	SeuratProject	21989.005927181	21451
X80	SeuratProject	21886.5533036107	21451
X81	SeuratProject	21895.7230330707	21451
X82	SeuratProject	21858.7527393233	21451
X83	SeuratProject	22161.2104357757	21451
X84	SeuratProject	22031.9246479455	21451
X85	SeuratProject	21963.3072182816	21451
X86	SeuratProject	22105.7295335706	21451
X87	SeuratProject	21939.4267834931	21451
X88	SeuratProject	22008.5005037794	21451
X89	SeuratProject	22068.1519414106	21451
X90	SeuratProject	21808.5324664893	21451
X91	SeuratProject	21720.0187879146	21451
X92	SeuratProject	21877.3670040013	21451
X93	SeuratProject	21883.9570191973	21451
X94	SeuratProject	21884.0454420856	21451
X95	SeuratProject	22010.2082343863	21451
X96	SeuratProject	21917.6782555696	21451
X97	SeuratProject	21916.0221739463	21451
X98	SeuratProject	22109.6010565593	21451
X99	SeuratProject	21827.9655576036	21451
X100	SeuratProject	21869.6517743976	21451
X101	SeuratProject	21869.4785191425	21451
X102	SeuratProject	21880.5005962094	21451
X103	SeuratProject	21981.9920404581	21451
X104	SeuratProject	21955.0841174191	21451
X105	SeuratProject	22008.0338083826	21451
X106	SeuratProject	22070.0402945364	21451
X107	SeuratProject	21941.9062152274	21451
X108	SeuratProject	21924.7130656791	21451
X109	SeuratProject	21936.4553909648	21451
X110	SeuratProject	21986.8729049688	21451
X111	SeuratProject	22098.659042152	21451
X112	SeuratProject	21961.8703335858	21451
X113	SeuratProject	21943.9918785417	21451
X114	SeuratProject	22007.3121027333	21451
X115	SeuratProject	21857.5966746906	21451
X116	SeuratProject	21752.1745967224	21451
X117	SeuratProject	21862.7656960679	21451
X118	SeuratProject	21787.6533223811	21451
X119	SeuratProject	21873.3516194678	21451
X120	SeuratProject	21903.745007659	21451
X121	SeuratProject	21803.369412836	21451
X122	SeuratProject	22023.7122225823	21451
X123	SeuratProject	21932.4815840836	21451
X124	SeuratProject	21796.6883335531	21451
X125	SeuratProject	21904.4521181642	21451
X126	SeuratProject	21831.1826360088	21451
X127	SeuratProject	21813.5979872988	21451
X128	SeuratProject	21848.9122761175	21451
X129	SeuratProject	21841.6980580907	21451
X130	SeuratProject	21840.2371932942	21451
X131	SeuratProject	21844.8887119181	21451
X132	SeuratProject	21772.5987179164	21451
X133	SeuratProject	21785.7434821805	21451
X134	SeuratProject	21807.183008532	21451
X135	SeuratProject	21843.6087089503	21451
X136	SeuratProject	21886.465280125	21451
X137	SeuratProject	21855.8277157797	21451
X138	SeuratProject	21823.9262653392	21451
X139	SeuratProject	21782.9640987585	21451
X140	SeuratProject	22037.779834362	21451
X141	SeuratProject	21933.7166592349	21451
X142	SeuratProject	21904.2821302666	21451
X143	SeuratProject	21829.8115887332	21451
X144	SeuratProject	21808.4963309931	21451
X145	SeuratProject	21870.1074287975	21451
X146	SeuratProject	21904.9696166177	21451
X147	SeuratProject	21825.7966364747	21451
X148	SeuratProject	21693.7340047232	21451
X149	SeuratProject	21763.9542526896	21451
X150	SeuratProject	21639.9514647093	21451
X151	SeuratProject	21666.5424280122	21451
X152	SeuratProject	21634.2829614401	21451
X153	SeuratProject	21715.9659119478	21451
X154	SeuratProject	21671.4337391648	21451
X155	SeuratProject	21803.3819578145	21451
X156	SeuratProject	21735.9365037904	21451
X157	SeuratProject	21750.2722308224	21451
X158	SeuratProject	21683.9940404727	21451
X159	SeuratProject	21872.4601546981	21451
X160	SeuratProject	21795.3678752199	21451
X161	SeuratProject	21806.8663184898	21451
X162	SeuratProject	21717.383052676	21451
X163	SeuratProject	21662.9785367491	21451
X164	SeuratProject	21616.1795413489	21451
X165	SeuratProject	21602.2964951027	21451
X166	SeuratProject	21564.96683182	21451
X167	SeuratProject	21716.8313097639	21451
X168	SeuratProject	21678.6141736836	21451
X169	SeuratProject	21599.1019916131	21451
X170	SeuratProject	21573.8441798971	21451
X171	SeuratProject	21731.8005867071	21451
X172	SeuratProject	21848.874822688	21451
X173	SeuratProject	21912.8695885358	21451
X174	SeuratProject	21921.5443419105	21451
X175	SeuratProject	21882.8776242133	21451
X176	SeuratProject	21960.2603737252	21451
