cells	louvain
"10568	cell2"	5
"10569	cell2"	1
"10570	cell2"	3
"10571	cell2"	8
"10572	cell2"	3
"10573	cell2"	7
"10574	cell2"	9
"10575	cell2"	7
"10576	cell2"	7
"10577	cell2"	9
"10578	cell2"	7
"10579	cell2"	3
"10580	cell2"	1
"10581	cell2"	5
"10582	cell2"	2
"10583	cell2"	9
"10584	cell2"	1
"10585	cell2"	2
"10586	cell2"	7
"10587	cell2"	3
"10588	cell2"	9
"10589	cell2"	2
"10590	cell2"	5
"10591	cell2"	7
"10592	cell2"	7
"10593	cell2"	5
"10594	cell2"	1
"10595	cell2"	5
"10596	cell2"	3
"10597	cell2"	7
"10598	cell2"	8
"10599	cell2"	5
"10600	cell2"	3
"10601	cell2"	7
"10602	cell2"	7
"10603	cell2"	2
"10604	cell2"	7
"10605	cell2"	7
"10606	cell2"	7
"10607	cell2"	1
"10608	cell2"	5
"10609	cell2"	3
"10610	cell2"	20
"10611	cell2"	1
"10612	cell2"	3
"10613	cell2"	10
"10614	cell2"	5
"10615	cell2"	9
"10616	cell2"	15
"10617	cell2"	3
"10618	cell2"	11
"10619	cell2"	21
"10620	cell2"	1
"10621	cell2"	1
"10622	cell2"	5
"10623	cell2"	1
"10624	cell2"	3
"10625	cell2"	3
"10626	cell2"	3
"10627	cell2"	8
"10628	cell2"	7
"10629	cell2"	8
"10630	cell2"	5
"10631	cell2"	3
"10632	cell2"	7
"10633	cell2"	2
"10634	cell2"	7
"10635	cell2"	1
"10636	cell2"	9
"10637	cell2"	5
"10638	cell2"	13
"10639	cell2"	3
"10640	cell2"	15
"10641	cell2"	8
"10642	cell2"	8
"10643	cell2"	7
"10644	cell2"	9
"10645	cell2"	11
"10646	cell2"	8
"10647	cell2"	8
"10648	cell2"	20
"10649	cell2"	2
"10650	cell2"	5
"10651	cell2"	7
"10652	cell2"	8
"10653	cell2"	3
"10654	cell2"	7
"10655	cell2"	7
"10656	cell2"	1
"10657	cell2"	1
"10658	cell2"	7
"10659	cell2"	5
"10660	cell2"	2
"10661	cell2"	3
"10662	cell2"	12
"10663	cell2"	5
"10664	cell2"	2
"10665	cell2"	25
"10666	cell2"	7
"10667	cell2"	9
"10668	cell2"	3
"10669	cell2"	1
"10670	cell2"	5
"10671	cell2"	7
"10672	cell2"	5
"10673	cell2"	2
"10674	cell2"	5
"10675	cell2"	7
"10676	cell2"	5
"10677	cell2"	8
"10678	cell2"	7
"10679	cell2"	7
"10680	cell2"	9
"10681	cell2"	1
"10682	cell2"	9
"10683	cell2"	9
"10684	cell2"	7
"10685	cell2"	9
"10686	cell2"	3
"10687	cell2"	8
"10688	cell2"	5
"10689	cell2"	5
"10690	cell2"	8
"10691	cell2"	8
"10692	cell2"	5
"10693	cell2"	5
"10694	cell2"	7
"10695	cell2"	9
"10696	cell2"	2
"10697	cell2"	7
"10698	cell2"	3
"10699	cell2"	5
"10700	cell2"	12
"10701	cell2"	9
"10702	cell2"	7
"10703	cell2"	5
"10704	cell2"	21
"10705	cell2"	3
"10706	cell2"	3
"10707	cell2"	7
"10708	cell2"	7
"10709	cell2"	1
"10710	cell2"	7
"10711	cell2"	15
"10712	cell2"	6
"10713	cell2"	5
"10714	cell2"	1
"10715	cell2"	8
"10716	cell2"	1
"10717	cell2"	3
"10718	cell2"	9
"10719	cell2"	1
"10720	cell2"	3
"10721	cell2"	12
"10722	cell2"	7
"10723	cell2"	9
"10724	cell2"	5
"10725	cell2"	11
"10726	cell2"	2
"10727	cell2"	2
"10728	cell2"	1
"10729	cell2"	9
"10730	cell2"	5
"10731	cell2"	3
"10732	cell2"	5
"10733	cell2"	5
"10734	cell2"	7
"10735	cell2"	11
"10736	cell2"	7
"10737	cell2"	10
"10738	cell2"	0
"10739	cell2"	5
"10740	cell2"	7
"10741	cell2"	2
"10742	cell2"	1
"10743	cell2"	8
"10744	cell2"	5
"10745	cell2"	7
"10746	cell2"	2
"10747	cell2"	1
"10748	cell2"	15
"10749	cell2"	9
"10750	cell2"	8
"10751	cell2"	8
"10752	cell2"	5
"10753	cell2"	5
"10754	cell2"	1
"10755	cell2"	9
"10756	cell2"	7
"10757	cell2"	5
"10758	cell2"	9
"10759	cell2"	12
"10760	cell2"	8
"10761	cell2"	15
"10762	cell2"	5
"10763	cell2"	9
"10764	cell2"	7
"10765	cell2"	23
"10766	cell2"	7
"10767	cell2"	1
"10768	cell2"	22
"10769	cell2"	5
"10770	cell2"	7
"10771	cell2"	10
"10772	cell2"	1
"10773	cell2"	12
"10774	cell2"	8
"10775	cell2"	10
"10776	cell2"	7
"10777	cell2"	3
"10778	cell2"	2
"10779	cell2"	1
"10780	cell2"	3
"10781	cell2"	1
"10782	cell2"	7
"10783	cell2"	11
"10784	cell2"	5
"10785	cell2"	9
"10786	cell2"	11
"10787	cell2"	8
"10788	cell2"	5
"10789	cell2"	25
"10790	cell2"	17
"10791	cell2"	7
"10792	cell2"	10
"10793	cell2"	17
"10794	cell2"	5
"10795	cell2"	9
"10796	cell2"	17
"10797	cell2"	3
"10798	cell2"	1
"10799	cell2"	20
"10800	cell2"	1
"10801	cell2"	3
"10802	cell2"	5
"10803	cell2"	7
"10804	cell2"	8
"10805	cell2"	3
"10806	cell2"	1
"10807	cell2"	1
"10808	cell2"	11
"10809	cell2"	8
"10810	cell2"	16
"10811	cell2"	1
"10812	cell2"	3
"10813	cell2"	9
"10814	cell2"	3
"10815	cell2"	12
"10816	cell2"	3
"10817	cell2"	12
"10818	cell2"	1
"10819	cell2"	7
"10820	cell2"	5
"10821	cell2"	8
"10822	cell2"	25
"10823	cell2"	5
"10824	cell2"	8
"10825	cell2"	11
"10826	cell2"	21
"10827	cell2"	10
"10828	cell2"	1
"10829	cell2"	7
"10830	cell2"	5
"10831	cell2"	7
"10832	cell2"	5
"10833	cell2"	10
"10834	cell2"	5
"10835	cell2"	7
"10836	cell2"	8
"10837	cell2"	3
"10838	cell2"	8
"10839	cell2"	12
"10840	cell2"	12
"10841	cell2"	5
"10842	cell2"	11
"10843	cell2"	3
"10844	cell2"	9
"10845	cell2"	8
"10846	cell2"	5
"10847	cell2"	20
"10848	cell2"	5
"10849	cell2"	9
"10850	cell2"	8
"10851	cell2"	8
"10852	cell2"	15
"10853	cell2"	10
"10854	cell2"	5
"10855	cell2"	5
"10856	cell2"	5
"10857	cell2"	5
"10858	cell2"	5
"10859	cell2"	10
"10860	cell2"	9
"10861	cell2"	19
"10862	cell2"	5
"10863	cell2"	1
"10864	cell2"	2
"10865	cell2"	8
"10866	cell2"	9
"10867	cell2"	5
"10868	cell2"	12
"10869	cell2"	8
"10870	cell2"	12
"10871	cell2"	8
"10872	cell2"	5
"10873	cell2"	10
"10874	cell2"	3
"10875	cell2"	17
"10876	cell2"	15
"10877	cell2"	9
"10878	cell2"	11
"10879	cell2"	12
"10880	cell2"	20
"10881	cell2"	8
"10882	cell2"	1
"10883	cell2"	7
"10884	cell2"	11
"10885	cell2"	12
"10886	cell2"	4
"10887	cell2"	8
"10888	cell2"	5
"10889	cell2"	8
"10890	cell2"	3
"10891	cell2"	7
"10892	cell2"	3
"10893	cell2"	12
"10894	cell2"	1
"10895	cell2"	3
"10896	cell2"	5
"10897	cell2"	7
"10898	cell2"	8
"10899	cell2"	8
"10900	cell2"	5
"10901	cell2"	20
"10902	cell2"	8
"10903	cell2"	12
"10904	cell2"	7
"10905	cell2"	7
"10906	cell2"	10
"10907	cell2"	23
"10908	cell2"	5
"10909	cell2"	8
"10910	cell2"	15
"10911	cell2"	5
"10912	cell2"	3
"10913	cell2"	17
"10914	cell2"	16
"10915	cell2"	8
"10916	cell2"	10
"10917	cell2"	7
"10918	cell2"	5
"10919	cell2"	18
"10920	cell2"	8
"10921	cell2"	8
"10922	cell2"	8
"10923	cell2"	8
"10924	cell2"	7
"10925	cell2"	9
"10926	cell2"	15
"10927	cell2"	10
"10928	cell2"	5
"10929	cell2"	11
"10930	cell2"	1
"10931	cell2"	1
"10932	cell2"	5
"10933	cell2"	7
"10934	cell2"	22
"10935	cell2"	22
"10936	cell2"	7
"10937	cell2"	12
"10938	cell2"	5
"10939	cell2"	2
"10940	cell2"	5
"10941	cell2"	12
"10942	cell2"	1
"10943	cell2"	5
"10944	cell2"	5
"10945	cell2"	7
"10946	cell2"	7
"10947	cell2"	8
"10948	cell2"	8
"10949	cell2"	8
"10950	cell2"	5
"10951	cell2"	8
"10952	cell2"	8
"10953	cell2"	2
"10954	cell2"	3
"10955	cell2"	9
"10956	cell2"	12
"10957	cell2"	12
"10958	cell2"	12
"10959	cell2"	10
"10960	cell2"	19
"10961	cell2"	12
"10962	cell2"	20
"10963	cell2"	8
"10964	cell2"	7
"10965	cell2"	8
"10966	cell2"	20
"10967	cell2"	8
"10968	cell2"	8
"10969	cell2"	8
"10970	cell2"	11
"10971	cell2"	5
"10972	cell2"	7
"10973	cell2"	17
"10974	cell2"	19
"10975	cell2"	8
"10976	cell2"	5
"10977	cell2"	11
"10978	cell2"	8
"10979	cell2"	10
"10980	cell2"	8
"10981	cell2"	3
"10982	cell2"	18
"10983	cell2"	7
"10984	cell2"	19
"10985	cell2"	8
"10986	cell2"	10
"10987	cell2"	7
"10988	cell2"	17
"10989	cell2"	17
"10990	cell2"	1
"10991	cell2"	21
"10992	cell2"	5
"10993	cell2"	2
"10994	cell2"	5
"10995	cell2"	2
"10996	cell2"	1
"10997	cell2"	8
"10998	cell2"	5
"10999	cell2"	8
"11000	cell2"	5
"11001	cell2"	19
"11002	cell2"	5
"11003	cell2"	8
"11004	cell2"	10
"11005	cell2"	9
"11006	cell2"	19
"11007	cell2"	10
"11008	cell2"	13
"11009	cell2"	17
"11010	cell2"	5
"11011	cell2"	3
"11012	cell2"	3
"11013	cell2"	9
"11014	cell2"	3
"11015	cell2"	8
"11016	cell2"	12
"11017	cell2"	10
"11018	cell2"	3
"11019	cell2"	8
"11020	cell2"	12
"11021	cell2"	18
"11022	cell2"	9
"11023	cell2"	22
"11024	cell2"	7
"11025	cell2"	5
"11026	cell2"	10
"11027	cell2"	8
"11028	cell2"	7
"11029	cell2"	9
"11030	cell2"	7
"11031	cell2"	3
"11032	cell2"	8
"11033	cell2"	8
"11034	cell2"	7
"11035	cell2"	0
"11036	cell2"	15
"11037	cell2"	8
"11038	cell2"	8
"11039	cell2"	5
"11040	cell2"	7
"11041	cell2"	5
"11042	cell2"	8
"11043	cell2"	8
"11044	cell2"	21
"11045	cell2"	25
"11046	cell2"	17
"11047	cell2"	7
"11048	cell2"	2
"11049	cell2"	1
"11050	cell2"	8
"11051	cell2"	8
"11052	cell2"	7
"11053	cell2"	5
"11054	cell2"	10
"11055	cell2"	3
"11056	cell2"	8
"11057	cell2"	25
"11058	cell2"	7
"11059	cell2"	10
"11060	cell2"	7
"11061	cell2"	17
"11062	cell2"	22
"11063	cell2"	10
"11064	cell2"	8
"11065	cell2"	20
"11066	cell2"	3
"11067	cell2"	15
"11068	cell2"	11
"11069	cell2"	10
"11070	cell2"	8
"11071	cell2"	20
"11072	cell2"	21
"11073	cell2"	8
"11074	cell2"	5
"11075	cell2"	1
"11076	cell2"	19
"11077	cell2"	8
"11078	cell2"	10
"11079	cell2"	10
"11080	cell2"	5
"11081	cell2"	8
"11082	cell2"	8
"11083	cell2"	16
"11084	cell2"	10
"11085	cell2"	8
"11086	cell2"	8
"11087	cell2"	5
"11088	cell2"	11
"11089	cell2"	5
"11090	cell2"	5
"11091	cell2"	5
"11092	cell2"	13
"11093	cell2"	7
"11094	cell2"	7
"11095	cell2"	10
"11096	cell2"	5
"11097	cell2"	9
"11098	cell2"	8
"11099	cell2"	10
"11100	cell2"	8
"11101	cell2"	2
"11102	cell2"	23
"11103	cell2"	15
"11104	cell2"	12
"11105	cell2"	8
"11106	cell2"	12
"11107	cell2"	10
"11108	cell2"	2
"11109	cell2"	1
"11110	cell2"	11
"11111	cell2"	5
"11112	cell2"	8
"11113	cell2"	10
"11114	cell2"	17
"11115	cell2"	12
"11116	cell2"	10
"11117	cell2"	18
"11118	cell2"	1
"11119	cell2"	11
"11120	cell2"	5
"11121	cell2"	8
"11122	cell2"	5
"11123	cell2"	7
"11124	cell2"	3
"11125	cell2"	11
"11126	cell2"	7
"11127	cell2"	23
"11128	cell2"	8
"11129	cell2"	3
"11130	cell2"	10
"11131	cell2"	23
"11132	cell2"	5
"11133	cell2"	5
"11134	cell2"	16
"11135	cell2"	1
"11136	cell2"	5
"11137	cell2"	19
"11138	cell2"	21
"11139	cell2"	8
"11140	cell2"	10
"11141	cell2"	8
"11142	cell2"	3
"11143	cell2"	10
"11144	cell2"	1
"11145	cell2"	12
"11146	cell2"	3
"11147	cell2"	18
"11148	cell2"	5
"11149	cell2"	3
"11150	cell2"	15
"11151	cell2"	8
"11152	cell2"	11
"11153	cell2"	8
"11154	cell2"	21
"11155	cell2"	5
"11156	cell2"	12
"11157	cell2"	2
"11158	cell2"	11
"11159	cell2"	5
"11160	cell2"	2
"11161	cell2"	24
"11162	cell2"	22
"11163	cell2"	8
"11164	cell2"	2
"11165	cell2"	5
"11166	cell2"	22
"11167	cell2"	18
"11168	cell2"	11
"11169	cell2"	5
"11170	cell2"	8
"11171	cell2"	5
"11172	cell2"	8
"11173	cell2"	11
"11174	cell2"	1
"11175	cell2"	8
"11176	cell2"	7
"11177	cell2"	9
"11178	cell2"	18
"11179	cell2"	8
"11180	cell2"	8
"11181	cell2"	15
"11182	cell2"	8
"11183	cell2"	7
"11184	cell2"	8
"11185	cell2"	5
"11186	cell2"	10
"11187	cell2"	10
"11188	cell2"	5
"11189	cell2"	7
"11190	cell2"	16
"11191	cell2"	11
"11192	cell2"	5
"11193	cell2"	12
"11194	cell2"	8
"11195	cell2"	8
"11196	cell2"	12
"11197	cell2"	21
"11198	cell2"	12
"11199	cell2"	10
"11200	cell2"	3
"11201	cell2"	5
"11202	cell2"	12
"11203	cell2"	5
"11204	cell2"	7
"11205	cell2"	15
"11206	cell2"	8
"11207	cell2"	16
"11208	cell2"	10
"11209	cell2"	9
"11210	cell2"	15
"11211	cell2"	12
"11212	cell2"	5
"11213	cell2"	9
"11214	cell2"	3
"11215	cell2"	10
"11216	cell2"	8
"11217	cell2"	2
"11218	cell2"	5
"11219	cell2"	8
"11220	cell2"	12
"11221	cell2"	9
"11222	cell2"	10
"11223	cell2"	1
"11224	cell2"	5
"11225	cell2"	5
"11226	cell2"	8
"11227	cell2"	7
"11228	cell2"	9
"11229	cell2"	17
"11230	cell2"	17
"11231	cell2"	1
"11232	cell2"	8
"11233	cell2"	19
"11234	cell2"	10
"11235	cell2"	5
"11236	cell2"	3
"11237	cell2"	1
"11238	cell2"	15
"11239	cell2"	10
"11240	cell2"	2
"11241	cell2"	8
"11242	cell2"	8
"11243	cell2"	12
"11244	cell2"	15
"11245	cell2"	9
"11246	cell2"	8
"11247	cell2"	8
"11248	cell2"	12
"11249	cell2"	8
"11250	cell2"	2
"11251	cell2"	2
"11252	cell2"	10
"11253	cell2"	20
"11254	cell2"	1
"11255	cell2"	22
"11256	cell2"	5
"11257	cell2"	8
"11258	cell2"	5
"11259	cell2"	12
"11260	cell2"	10
"11261	cell2"	10
"11262	cell2"	8
"11263	cell2"	10
"11264	cell2"	5
"11265	cell2"	11
"11266	cell2"	22
"11267	cell2"	18
"11268	cell2"	9
"11269	cell2"	22
"11270	cell2"	22
