section	key	name	direct_reads	kmer_votes
direct	110931	Cynocephalus volans	10	58
direct	8292	Amphibia	10	50
direct	9721	Cetacea	10	52
direct	9371	Echinops telfairi	10	78
direct	192404	Sturnira hondurensis	10	70
direct	9397	Chiroptera	9	43
direct	95912	Hyaena hyaena	9	43
direct	376915	Lemuriformes	9	66
direct	9780	Elephantidae	9	60
direct	68408	Moschus berezovskii	9	61
direct	9263	Metatheria	8	56
direct	30532	Dama dama	8	38
direct	327061	Annulohypoxylon truncatum	8	43
direct	9978	Ochotona princeps	8	74
direct	7988	Megaleporinus elongatus	8	106
direct	376917	Lorisiformes	8	63
direct	311790	Afrotheria	8	58
direct	186625	Clupeocephala	8	52
direct	9973	Manis	8	58
direct	1574408	Cervus canadensis	8	63
direct	9407	Rousettus aegyptiacus	8	36
direct	1489872	Percomorphaceae	8	70
direct	9977	Ochotona	8	66
direct	9709	Phocidae	8	26
direct	10160	Octodon degus	8	47
direct	28737	Elephantulus edwardii	8	51
direct	61471	Timema	8	105
direct	51298	Myotis myotis	8	30
direct	9986	Oryctolagus cuniculus	7	63
direct	9365	Erinaceus europaeus	7	62
direct	186990	Hipposideros armiger	7	47
direct	885580	Fukomys damarensis	7	33
direct	9681	Felidae	7	60
direct	37032	Suricata suricatta	7	36
direct	99802	Spirometra erinaceieuropaei	7	39
direct	10114	Rattus	7	27
direct	35658	Mastomys coucha	7	32
direct	41426	Phacochoerus africanus	7	31
direct	39087	Arvicolinae	7	50
direct	27622	Molossus molossus	7	32
direct	9415	Phyllostomidae	7	39
direct	99883	Tetraodon nigroviridis	6	32
direct	8090	Oryzias latipes	6	107
direct	33317	Protostomia	6	103
direct	9726	Delphinidae	6	36
direct	9711	Halichoerus grypus	6	35
direct	9708	Odobenus rosmarus divergens	6	39
direct	109475	Suncus etruscus	6	33
direct	34839	Chinchilla lanigera	6	47
direct	42100	Phocoena sinus	6	28
direct	314147	Glires	6	93
direct	482537	Galeopterus variegatus	6	63
direct	13551	Gryllodes sigillatus	6	41
direct	35500	Pecora	6	71
direct	34880	Nyctereutes procyonoides	6	36
direct	9913	Bos taurus	6	27
direct	1437183	Mesangiospermae	6	41
direct	109678	Phodopus roborovskii	6	21
direct	9940	Ovis aries	6	19
direct	9880	Odocoileus virginianus texanus	6	38
direct	77932	Diceros bicornis minor	6	44
direct	9704	Zalophus californianus	6	33
direct	1047088	Arvicola amphibius	6	16
direct	49442	Rhinolophus	6	33
direct	9608	Canidae	6	36
direct	30657	Cynocephalidae	6	51
direct	9655	Mustelidae	6	53
direct	6656	Arthropoda	6	30
direct	50954	Talpa occidentalis	6	54
direct	143302	Condylura cristata	6	39
direct	89673	Phyllostomus discolor	6	35
direct	62283	Sorex fumeus	6	40
direct	9662	Meles meles	6	65
direct	10041	Peromyscus leucopus	6	39
direct	3078114	Neoaves	6	35
direct	37181	Budorcas taxicolor	5	15
direct	55153	Sciuridae	5	25
direct	9728	Delphinus delphis	5	23
direct	143292	Manis pentadactyla	5	21
direct	105255	Dipodomys spectabilis	5	28
direct	10093	Mus pahari	5	25
direct	38674	Onychomys torridus	5	23
direct	33550	Hystricomorpha	5	46
direct	337677	Cricetidae	5	50
direct	9401	Pteropus	5	42
direct	32561	Sauria	5	49
direct	1279	Staphylococcus	5	649
direct	89399	Rhinolophus sinicus	5	26
direct	61156	Arvicanthis niloticus	5	28
direct	1329799	Archelosauria	5	12
direct	9398	Pteropodidae	5	31
direct	185453	Chrysochloris asiatica	5	82
direct	8825	Neognathae	5	23
direct	59534	Oryx dammah	5	18
direct	169417	Lutrinae	5	16
direct	109478	Myotis brandtii	5	25
direct	10066	Muridae	5	35
direct	71275	rosids	5	17
direct	59481	Saccopteryx	5	23
direct	10020	Dipodomys ordii	5	44
direct	59472	Pipistrellus kuhlii	5	25
direct	10129	Apodemus sylvaticus	5	21
direct	73337	Ceratotherium simum simum	5	32
direct	9417	Artibeus jamaicensis	5	49
direct	9422	Phyllostomus	5	29
direct	9836	Camelus	5	34
direct	60746	Acomys russatus	5	33
direct	452646	Neogale vison	5	29
direct	3036374	Nocardioides sp. BP30	5	24
direct	9906	Bos javanicus	5	24
direct	9992	Marmota	4	17
direct	2746895	Balaenoptera ricei	4	22
direct	1010633	Digitaria exilis	4	23
direct	29278	vectors	4	29
direct	269649	Chionomys nivalis	4	23
direct	1329950	Unidentata	4	16
direct	9994	Marmota marmota marmota	4	19
direct	629358	Timema genevievae	4	28
direct	10047	Meriones unguiculatus	4	25
direct	376911	Strepsirrhini	4	34
direct	10016	Dipodomys	4	30
direct	9755	Physeter catodon	4	25
direct	42410	Peromyscus eremicus	4	24
direct	9821	Suidae	4	44
direct	27606	Eubalaena glacialis	4	10
direct	59482	Saccopteryx bilineata	4	20
direct	59479	Rhinolophus ferrumequinum	4	21
direct	9903	Bos	4	26
direct	98922	Myotis daubentonii	4	28
direct	176946	Python bivittatus	4	26
direct	111789	eukaryotic synthetic construct	4	26
direct	9895	Bovidae	4	19
direct	391180	Enhydra lutris kenyoni	4	25
direct	9379	Sorex	4	25
direct	9126	Passeriformes	4	24
direct	9835	Camelidae	4	22
direct	9785	Loxodonta africana	4	21
direct	9643	Ursus americanus	4	28
direct	9605	Homo	4	288
direct	9761	Mysticeti	4	24
direct	9666	Mustela lutreola	4	25
direct	9615	Canis lupus familiaris	4	30
direct	491861	Grammomys surdaster	4	21
direct	9431	Vespertilionidae	4	59
direct	3136022	Rhinolophoidea	4	21
direct	42254	Sorex araneus	4	30
direct	495146	Pseudophryne corroboree	4	29
direct	1883	Streptomyces	3	16
direct	99487	Elephas maximus indicus	3	18
direct	260574	Arthropoda environmental sample	3	17
direct	95602	Eriocheir sinensis	3	17
direct	7955	Danio rerio	3	75
direct	441366	Gouania willdenowi	3	8
direct	564181	Peromyscus californicus insignis	3	21
direct	9434	Myotis	3	28
direct	9627	Vulpes vulpes	3	17
direct	9850	Cervidae	3	24
direct	9593	Gorilla gorilla	3	11
direct	88082	Crotalus tigris	3	28
direct	244455	Pleuronichthys cornutus	3	12
direct	81077	artificial sequences	3	11
direct	230844	Peromyscus maniculatus bairdii	3	11
direct	10036	Mesocricetus auratus	3	12
direct	170555	Timema monikensis	3	31
direct	10015	Heteromyidae	3	18
direct	1489388	Euteleosteomorpha	3	10
direct	225400	Myotis davidii	3	25
direct	170820	Hemiscyllium ocellatum	3	40
direct	10045	Gerbillinae	3	21
direct	8342	Anura	3	21
direct	629360	Timema shepardi	3	13
direct	9644	Ursus arctos	3	15
direct	111838	Microtus oregoni	3	23
direct	33208	Metazoa	3	216
direct	9702	Otariidae	3	19
direct	61478	Timema douglasi	3	23
direct	9860	Cervus elaphus	3	6
direct	9639	Ursus	3	7
direct	400727	Pomacea canaliculata	3	15
direct	33554	Carnivora	3	28
direct	13616	Monodelphis domestica	3	16
direct	260995	Geotrypetes seraphini	3	11
direct	9918	Bubalus	3	16
direct	9362	Eulipotyphla	3	8
votes	10375		0	547
votes	6073		0	291
votes	1280		0	145
votes	37516		0	123
votes	685728		0	77
votes	7711		0	57
votes	3659		0	45
votes	1379909		0	40
votes	2817044		0	32
votes	8570		0	25
votes	33392		0	24
status	C		94378	0
status	U		1675	0
