# BUSCO version is: 5.8.0 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2024-01-08, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
1200489at2759	Complete	NP_014167.1	102.5	104	https://v10-1.orthodb.org/?query=1200489at2759	Exosome complex component CSL4, C-terminal
1217666at2759	Complete	NP_013122.1	203.8	152	https://v10-1.orthodb.org/?query=1217666at2759	Ribosome maturation protein SBDS, N-terminal
1220881at2759	Complete	NP_015381.1	97.3	164	https://v10-1.orthodb.org/?query=1220881at2759	TFIIH subunit Tfb4/GTF2H3
1222562at2759	Complete	NP_014648.1	160.5	116	https://v10-1.orthodb.org/?query=1222562at2759	Ribosome biogenesis protein
1223488at2759	Complete	NP_014610.1	59.9	79	https://v10-1.orthodb.org/?query=1223488at2759	OPI10 family
1228942at2759	Complete	NP_116708.1	190.4	164	https://v10-1.orthodb.org/?query=1228942at2759	Proteasome subunit beta
1233814at2759	Complete	NP_011876.1	159.3	155	https://v10-1.orthodb.org/?query=1233814at2759	Vacuolar protein sorting-associated protein 29
1236198at2759	Complete	NP_009990.1	157.1	124	https://v10-1.orthodb.org/?query=1236198at2759	G10 protein
1247641at2759	Complete	NP_011732.1	136.1	173	https://v10-1.orthodb.org/?query=1247641at2759	N-acetylglucosaminyl transferase component
1248958at2759	Complete	NP_011276.1	577.2	617	https://v10-1.orthodb.org/?query=1248958at2759	Exportin-2, central domain
1249159at2759	Complete	NP_010296.3	115.0	152	https://v10-1.orthodb.org/?query=1249159at2759	GINS complex, subunit Psf1
1251252at2759	Complete	NP_011925.1	72.1	81	https://v10-1.orthodb.org/?query=1251252at2759	Mediator complex, subunit Med6
1257440at2759	Complete	NP_010923.3	155.1	128	https://v10-1.orthodb.org/?query=1257440at2759	PUA domain
1258856at2759	Complete	NP_015280.1	339.7	561	https://v10-1.orthodb.org/?query=1258856at2759	Vps16, C-terminal
1259741at2759	Complete	NP_010618.1	389.1	227	https://v10-1.orthodb.org/?query=1259741at2759	GPI-anchor transamidase
1260807at2759	Complete	NP_015153.1	239.1	207	https://v10-1.orthodb.org/?query=1260807at2759	Protohaem IX farnesyltransferase
1264469at2759	Complete	NP_010490.1	166.6	147	https://v10-1.orthodb.org/?query=1264469at2759	Ubiquinone biosynthesis protein Coq4
1266231at2759	Complete	NP_013287.1	277.4	188	https://v10-1.orthodb.org/?query=1266231at2759	Ribosomal biogenesis, methyltransferase, EMG1/NEP1
1269244at2759	Complete	NP_010436.3	74.0	114	https://v10-1.orthodb.org/?query=1269244at2759	RWD domain
1269649at2759	Complete	NP_014788.1	274.0	166	https://v10-1.orthodb.org/?query=1269649at2759	K Homology domain
1275837at2759	Complete	NP_014904.3	346.4	245	https://v10-1.orthodb.org/?query=1275837at2759	26S Proteasome non-ATPase regulatory subunit 7/8
1284731at2759	Complete	NP_014499.2	93.2	115	https://v10-1.orthodb.org/?query=1284731at2759	K Homology domain, type 1
1287094at2759	Complete	NP_013794.1	121.0	128	https://v10-1.orthodb.org/?query=1287094at2759	Snf7 family
1287401at2759	Complete	NP_015193.1	242.9	163	https://v10-1.orthodb.org/?query=1287401at2759	Cytochrome c oxidase assembly protein CtaG/Cox11
1291729at2759	Complete	NP_014495.2	54.3	109	https://v10-1.orthodb.org/?query=1291729at2759	GINS complex, subunit Psf3
1304061at2759	Complete	NP_014177.1	173.1	130	https://v10-1.orthodb.org/?query=1304061at2759	RNA polymerase II subunit A
1309031at2759	Complete	NP_013204.1	208.5	343	https://v10-1.orthodb.org/?query=1309031at2759	CDC45 family
1312453at2759	Complete	NP_009655.2	516.2	641	https://v10-1.orthodb.org/?query=1312453at2759	WD40-repeat-containing domain
1314980at2759	Complete	NP_013216.1	279.1	449	https://v10-1.orthodb.org/?query=1314980at2759	Cleavage and polyadenylation specificity factor subunit 2
1322299at2759	Complete	NP_010761.3	212.4	284	https://v10-1.orthodb.org/?query=1322299at2759	U4/U6 small nuclear ribonucleoprotein Prp3
1322642at2759	Duplicated	NP_014599.1	142.5	157	https://v10-1.orthodb.org/?query=1322642at2759	Endonuclease III homolog
1322642at2759	Duplicated	NP_009387.1	145.7	143	https://v10-1.orthodb.org/?query=1322642at2759	Endonuclease III homolog
1323575at2759	Complete	NP_015376.1	152.2	114	https://v10-1.orthodb.org/?query=1323575at2759	GNAT domain
1324510at2759	Complete	NP_010664.3	240.4	237	https://v10-1.orthodb.org/?query=1324510at2759	NADPH
1338131at2759	Complete	NP_010626.1	238.9	140	https://v10-1.orthodb.org/?query=1338131at2759	PIN domain
1339553at2759	Complete	NP_013564.1	204.8	245	https://v10-1.orthodb.org/?query=1339553at2759	GPI transamidase subunit PIG-U
1342242at2759	Complete	NP_012656.1	131.4	174	https://v10-1.orthodb.org/?query=1342242at2759	Aminomethyltransferase, folate-binding domain
1346165at2759	Complete	NP_012273.1	291.7	266	https://v10-1.orthodb.org/?query=1346165at2759	DNA primase, small subunit
1346432at2759	Complete	NP_012823.2	111.8	138	https://v10-1.orthodb.org/?query=1346432at2759	U3 small nucleolar RNA-associated protein 11
1348942at2759	Complete	NP_013741.1	88.3	153	https://v10-1.orthodb.org/?query=1348942at2759	TAP46-like protein
1355894at2759	Complete	NP_015456.2	166.2	140	https://v10-1.orthodb.org/?query=1355894at2759	GNAT domain
1358374at2759	Complete	NP_014734.2	244.6	205	https://v10-1.orthodb.org/?query=1358374at2759	Zinc finger, CCCH-type
1364586at2759	Complete	NP_014646.1	103.6	144	https://v10-1.orthodb.org/?query=1364586at2759	rRNA-processing protein Fcf1/Utp23
1370285at2759	Complete	NP_014357.1	153.3	362	https://v10-1.orthodb.org/?query=1370285at2759	Conserved oligomeric Golgi complex subunit 6
1370304at2759	Complete	NP_010861.3	165.8	387	https://v10-1.orthodb.org/?query=1370304at2759	-alpha-acetyltransferase 35, NatC auxiliary subunit
1377237at2759	Complete	NP_015365.1	136.0	140	https://v10-1.orthodb.org/?query=1377237at2759	TIP41-like protein
1379600at2759	Complete	NP_012505.1	225.0	480	https://v10-1.orthodb.org/?query=1379600at2759	Vps53-like, N-terminal
1380409at2759	Complete	NP_013851.1	150.4	128	https://v10-1.orthodb.org/?query=1380409at2759	NFACT, RNA-binding domain
1382842at2759	Complete	NP_012463.1	102.4	117	https://v10-1.orthodb.org/?query=1382842at2759	DNA replication complex GINS protein PSF2
1395649at2759	Complete	NP_013657.1	48.9	120	https://v10-1.orthodb.org/?query=1395649at2759	Signal peptidase complex subunit 2
1398309at2759	Complete	NP_010014.1	59.3	93	https://v10-1.orthodb.org/?query=1398309at2759	CXXC motif containing zinc binding protein, eukaryotic
1404162at2759	Complete	NP_009616.1	143.6	203	https://v10-1.orthodb.org/?query=1404162at2759	Origin recognition complex, subunit 2
1405073at2759	Complete	NP_015113.1	225.8	159	https://v10-1.orthodb.org/?query=1405073at2759	PUA domain
1405146at2759	Complete	NP_012259.3	103.0	130	https://v10-1.orthodb.org/?query=1405146at2759	26S Proteasome non-ATPase regulatory subunit 9
1407446at2759	Complete	NP_013166.1	43.0	88	https://v10-1.orthodb.org/?query=1407446at2759	SRP-independent targeting protein 2/TMEM208
1421503at2759	Complete	NP_015147.1	166.2	109	https://v10-1.orthodb.org/?query=1421503at2759	Nuclear cap-binding protein subunit 2
1423847at2759	Complete	NP_014633.1	230.3	258	https://v10-1.orthodb.org/?query=1423847at2759	RNA 3'-terminal phosphate cyclase domain
1426075at2759	Complete	NP_009813.1	68.0	97	https://v10-1.orthodb.org/?query=1426075at2759	Trafficking protein particle complex subunit 2
1428265at2759	Complete	NP_015109.1	154.0	208	https://v10-1.orthodb.org/?query=1428265at2759	Ubiquinol-cytochrome c chaperone, CBP3
1428854at2759	Complete	NP_015437.1	375.9	350	https://v10-1.orthodb.org/?query=1428854at2759	RNA recognition motif domain
1430056at2759	Complete	NP_012778.1	110.9	126	https://v10-1.orthodb.org/?query=1430056at2759	RNA polymerase Rpb7-like , N-terminal
1432328at2759	Complete	NP_014404.3	220.1	180	https://v10-1.orthodb.org/?query=1432328at2759	Autophagy-related protein 3
1434266at2759	Complete	NP_010777.3	93.5	150	https://v10-1.orthodb.org/?query=1434266at2759	DNA replication complex GINS protein SLD5
1440961at2759	Complete	NP_015013.1	37.2	155	https://v10-1.orthodb.org/?query=1440961at2759	Rad1/Rec1/Rad17
1441854at2759	Complete	NP_012604.1	233.7	190	https://v10-1.orthodb.org/?query=1441854at2759	Deoxyhypusine hydroxylase
1442062at2759	Complete	NP_014280.3	98.0	197	https://v10-1.orthodb.org/?query=1442062at2759	Cytoplasmic tRNA 2-thiolation protein 2
1445102at2759	Complete	NP_015509.1	179.2	191	https://v10-1.orthodb.org/?query=1445102at2759	Glycosyltransferase 2-like
