gene	parsimony_informative_sites	total_sites	percentage	kingdom
1455730at2759	0	551	0.000000	Animals
937686at2759	0	491	0.000000	Animals
1441854at2759	0	308	0.000000	Animals
779909at2759	0	0	0.000000	Animals
355408at2759	0	691	0.000000	Animals
100698at2759	0	806	0.000000	Animals
1090038at2759	0	0	0.000000	Animals
956854at2759	0	0	0.000000	Animals
87842at2759	0	1066	0.000000	Animals
1423847at2759	0	382	0.000000	Animals
1348942at2759	0	352	0.000000	Animals
671536at2759	0	0	0.000000	Animals
1513531at2759	0	289	0.000000	Animals
1450538at2759	0	0	0.000000	Animals
1053181at2759	0	291	0.000000	Animals
1251252at2759	0	267	0.000000	Animals
1304061at2759	0	197	0.000000	Animals
1291729at2759	0	220	0.000000	Animals
679771at2759	0	391	0.000000	Animals
759498at2759	0	732	0.000000	Animals
1197019at2759	0	0	0.000000	Animals
464990at2759	0	0	0.000000	Animals
1407446at2759	0	171	0.000000	Animals
1019762at2759	0	684	0.000000	Animals
549762at2759	0	0	0.000000	Animals
1538526at2759	0	163	0.000000	Animals
1106766at2759	0	0	0.000000	Animals
866359at2759	0	327	0.000000	Animals
674169at2759	0	701	0.000000	Animals
1617752at2759	0	121	0.000000	Animals
1339553at2759	0	465	0.000000	Animals
1010730at2759	0	578	0.000000	Animals
261328at2759	0	0	0.000000	Animals
388820at2759	0	952	0.000000	Animals
1358374at2759	0	434	0.000000	Animals
1346432at2759	7	262	2.671756	Animals
655400at2759	0	478	0.000000	Animals
245208at2759	0	0	0.000000	Animals
1633672at2759	0	102	0.000000	Animals
426305at2759	0	802	0.000000	Animals
719531at2759	0	489	0.000000	Animals
1260807at2759	15	1625	0.923077	Fungi
1454155at2759	17	455	3.736264	Fungi
1065019at2759	25	430	5.813953	Fungi
1593937at2759	18	542	3.321033	Fungi
160593at2759	154	2968	5.188679	Fungi
1287094at2759	13	244	5.327869	Fungi
1504863at2759	3	230	1.304348	Fungi
1041560at2759	24	666	3.603604	Fungi
369837at2759	48	880	5.454545	Fungi
290630at2759	44	960	4.583333	Fungi
261419at2759	0	1563	0.000000	Fungi
1430056at2759	10	253	3.952569	Fungi
1161199at2759	13	358	3.631285	Fungi
722805at2759	45	1701	2.645503	Fungi
891751at2759	23	873	2.634593	Fungi
865202at2759	14	374	3.743316	Fungi
1626636at2759	0	261	0.000000	Fungi
1248958at2759	49	1013	4.837117	Fungi
1107630at2759	17	520	3.269231	Fungi
855834at2759	29	868	3.341014	Fungi
768809at2759	24	581	4.130809	Fungi
142542at2759	0	2034	0.000000	Fungi
1314980at2759	0	1110	0.000000	Fungi
1111142at2759	0	800	0.000000	Fungi
1079130at2759	33	563	5.861456	Fungi
1563319at2759	0	377	0.000000	Fungi
736068at2759	19	613	3.099511	Fungi
1355894at2759	11	214	5.140187	Fungi
166920at2759	77	1486	5.181696	Fungi
878143at2759	25	527	4.743833	Fungi
1434266at2759	10	393	2.544529	Fungi
1490022at2759	18	236	7.627119	Fungi
296129at2759	58	1198	4.841402	Fungi
1405073at2759	10	184	5.434783	Fungi
944899at2759	21	369	5.691057	Fungi
1382842at2759	0	322	0.000000	Fungi
543764at2759	30	751	3.994674	Fungi
621827at2759	34	611	5.564648	Fungi
1049599at2759	0	551	0.000000	Fungi
1223488at2759	11	291	3.780069	Fungi
1405146at2759	6	266	2.255639	Fungi
976469at2759	0	415	0.000000	Fungi
844748at2759	0	695	0.000000	Fungi
777920at2759	32	736	4.347826	Fungi
981902at2759	16	773	2.069858	Fungi
1001705at2759	18	596	3.020134	Fungi
1432328at2759	13	450	2.888889	Fungi
1236198at2759	5	159	3.144654	Fungi
513979at2759	33	846	3.900709	Fungi
905026at2759	30	1172	2.559727	Fungi
1645187at2759	8	171	4.678363	Fungi
1440961at2759	17	581	2.925990	Fungi
1112002at2759	49	1213	4.039571	Fungi
918816at2759	22	829	2.653800	Fungi
1194797at2759	46	826	5.569007	Fungi
834694at2759	30	974	3.080082	Fungi
1157302at2759	15	247	6.072874	Fungi
306227at2759	0	1145	0.000000	Fungi
1128607at2759	24	366	6.557377	Fungi
156083at2759	0	2440	0.000000	Fungi
1258856at2759	55	1054	5.218216	Fungi
1338131at2759	12	203	5.911330	Fungi
1194691at2759	25	512	4.882812	Fungi
1129824at2759	16	326	4.907975	Fungi
1287401at2759	0	374	0.000000	Fungi
331411at2759	37	1234	2.998379	Fungi
1057950at2759	15	395	3.797468	Fungi
1370304at2759	26	1125	2.311111	Fungi
1032689at2759	17	688	2.470930	Fungi
1459797at2759	4	140	2.857143	Fungi
761109at2759	27	889	3.037120	Fungi
1269649at2759	11	320	3.437500	Fungi
1051021at2759	14	891	1.571268	Fungi
692986at2759	29	1047	2.769819	Fungi
1428854at2759	52	974	5.338809	Fungi
293315at2759	57	1752	3.253425	Fungi
1530008at2759	14	237	5.907173	Fungi
1138059at2759	11	317	3.470032	Fungi
1249159at2759	13	248	5.241935	Fungi
1247641at2759	27	874	3.089245	Fungi
257318at2759	27	833	3.241297	Fungi
1488235at2759	11	234	4.700855	Fungi
1094121at2759	10	251	3.984064	Fungi
1567796at2759	8	570	1.403509	Fungi
1003258at2759	19	1071	1.774043	Fungi
418107at2759	32	531	6.026365	Fungi
1525971at2759	10	190	5.263158	Fungi
604979at2759	0	668	0.000000	Fungi
1076134at2759	13	345	3.768116	Fungi
817008at2759	18	494	3.643725	Fungi
814241at2759	20	668	2.994012	Fungi
1018517at2759	22	345	6.376812	Fungi
176625at2759	65	1510	4.304636	Fungi
836599at2759	22	645	3.410853	Fungi
396755at2759	54	1563	3.454894	Fungi
1259741at2759	17	524	3.244275	Fungi
551907at2759	46	1315	3.498099	Fungi
1426075at2759	5	320	1.562500	Fungi
325552at2759	42	658	6.382979	Fungi
1025450at2759	26	594	4.377104	Fungi
1379600at2759	30	1086	2.762431	Fungi
937275at2759	0	613	0.000000	Fungi
1421503at2759	10	300	3.333333	Fungi
625387at2759	0	1557	0.000000	Fungi
1038775at2759	0	384	0.000000	Fungi
1257440at2759	11	230	4.782609	Fungi
1200489at2759	7	318	2.201258	Fungi
919955at2759	22	407	5.405405	Fungi
1428265at2759	18	461	3.904555	Fungi
1087488at2759	22	567	3.880071	Fungi
1266231at2759	0	396	0.000000	Fungi
1222562at2759	12	505	2.376238	Fungi
774318at2759	18	1250	1.440000	Fungi
1324510at2759	21	660	3.181818	Fungi
1014314at2759	14	455	3.076923	Fungi
708105at2759	18	553	3.254973	Fungi
734341at2759	12	452	2.654867	Fungi
330169at2759	35	700	5.000000	Fungi
973442at2759	16	748	2.139037	Fungi
383503at2759	25	606	4.125413	Fungi
450058at2759	26	1235	2.105263	Fungi
869548at2759	17	306	5.555556	Fungi
1108845at2759	0	501	0.000000	Fungi
946128at2759	19	840	2.261905	Fungi
751335at2759	23	641	3.588144	Fungi
39650at2759	101	2451	4.120767	Fungi
687505at2759	16	477	3.354298	Fungi
1182451at2759	18	477	3.773585	Fungi
1575179at2759	3	205	1.463415	Fungi
1193442at2759	27	567	4.761905	Fungi
911863at2759	23	525	4.380952	Fungi
924753at2759	27	647	4.173107	Fungi
375960at2759	28	904	3.097345	Fungi
1545004at2759	0	96	0.000000	Fungi
1085752at2759	0	621	0.000000	Fungi
996662at2759	12	341	3.519062	Fungi
1377237at2759	0	626	0.000000	Fungi
390348at2759	55	1158	4.749568	Fungi
491869at2759	0	1208	0.000000	Fungi
931188at2759	24	685	3.503650	Fungi
1552706at2759	4	468	0.854701	Fungi
1526152at2759	0	184	0.000000	Fungi
320059at2759	18	589	3.056027	Fungi
1228942at2759	20	278	7.194245	Fungi
1488436at2759	4	163	2.453988	Fungi
721605at2759	0	394	0.000000	Fungi
917326at2759	33	808	4.084158	Fungi
570797at2759	20	1233	1.622060	Fungi
1576404at2759	12	308	3.896104	Fungi
1395649at2759	0	295	0.000000	Fungi
673132at2759	26	502	5.179283	Fungi
1309031at2759	33	1053	3.133903	Fungi
1364586at2759	0	364	0.000000	Fungi
1275837at2759	26	364	7.142857	Fungi
1623701at2759	9	213	4.225352	Fungi
975557at2759	17	872	1.949541	Fungi
901894at2759	16	859	1.862631	Fungi
1264469at2759	20	419	4.773270	Fungi
179362at2759	53	1384	3.829480	Fungi
1079827at2759	21	264	7.954545	Fungi
1588798at2759	15	454	3.303965	Fungi
801857at2759	22	804	2.736318	Fungi
1558822at2759	0	109	0.000000	Fungi
1115196at2759	26	566	4.593640	Fungi
457861at2759	12	557	2.154399	Fungi
858842at2759	0	993	0.000000	Fungi
83779at2759	25	720	3.472222	Fungi
299766at2759	40	1733	2.308136	Fungi
887370at2759	22	842	2.612827	Fungi
345441at2759	0	585	0.000000	Fungi
1323575at2759	10	236	4.237288	Fungi
1269244at2759	8	320	2.500000	Fungi
898782at2759	22	753	2.921647	Fungi
271586at2759	43	1450	2.965517	Fungi
1030907at2759	8	421	1.900238	Fungi
1445102at2759	49	303	16.171617	Fungi
923657at2759	21	456	4.605263	Fungi
939345at2759	10	724	1.381215	Fungi
392369at2759	24	560	4.285714	Fungi
974865at2759	20	429	4.662005	Fungi
1380409at2759	0	220	0.000000	Fungi
582756at2759	34	719	4.728790	Fungi
1346165at2759	18	614	2.931596	Fungi
1220881at2759	13	514	2.529183	Fungi
975158at2759	22	605	3.636364	Fungi
674160at2759	122	3238	3.767758	Fungi
1442062at2759	21	784	2.678571	Fungi
1474000at2759	19	480	3.958333	Fungi
1620056at2759	9	160	5.625000	Fungi
1312453at2759	69	2093	3.296703	Fungi
720340at2759	18	508	3.543307	Fungi
453044at2759	26	565	4.601770	Fungi
1398309at2759	11	186	5.913978	Fungi
664730at2759	23	539	4.267161	Fungi
1173229at2759	0	597	0.000000	Fungi
734666at2759	28	582	4.810997	Fungi
1322642at2759	0	908	0.000000	Fungi
1178688at2759	12	229	5.240175	Fungi
97116at2759	69	1483	4.652731	Fungi
341721at2759	37	1136	3.257042	Fungi
324863at2759	57	1222	4.664484	Fungi
1370285at2759	30	955	3.141361	Fungi
598949at2759	43	1186	3.625632	Fungi
1217666at2759	18	324	5.555556	Fungi
1284731at2759	11	309	3.559871	Fungi
1342242at2759	13	549	2.367942	Fungi
1322299at2759	23	722	3.185596	Fungi
1404162at2759	23	926	2.483801	Fungi
1096688at2759	13	481	2.702703	Fungi
1455730at2759	0	645	0.000000	Fungi
671846at2759	19	1041	1.825168	Fungi
270107at2759	51	1180	4.322034	Fungi
937686at2759	0	596	0.000000	Fungi
1441854at2759	17	390	4.358974	Fungi
779909at2759	23	408	5.637255	Fungi
355408at2759	46	799	5.757196	Fungi
100698at2759	34	954	3.563941	Fungi
1090038at2759	0	556	0.000000	Fungi
956854at2759	0	362	0.000000	Fungi
87842at2759	41	1367	2.999268	Fungi
1423847at2759	20	459	4.357298	Fungi
1348942at2759	16	482	3.319502	Fungi
671536at2759	23	608	3.782895	Fungi
1513531at2759	5	370	1.351351	Fungi
1450538at2759	10	573	1.745201	Fungi
1053181at2759	0	374	0.000000	Fungi
1251252at2759	5	448	1.116071	Fungi
1304061at2759	9	282	3.191489	Fungi
1291729at2759	10	233	4.291845	Fungi
679771at2759	0	481	0.000000	Fungi
759498at2759	40	1001	3.996004	Fungi
1197019at2759	14	254	5.511811	Fungi
464990at2759	24	762	3.149606	Fungi
1407446at2759	3	209	1.435407	Fungi
1019762at2759	25	918	2.723312	Fungi
679187at2759	0	1160	0.000000	Fungi
549762at2759	0	772	0.000000	Fungi
1538526at2759	10	256	3.906250	Fungi
1106766at2759	0	745	0.000000	Fungi
866359at2759	19	365	5.205479	Fungi
674169at2759	16	1131	1.414677	Fungi
1617752at2759	2	120	1.666667	Fungi
1339553at2759	19	559	3.398927	Fungi
1010730at2759	20	650	3.076923	Fungi
261328at2759	0	1549	0.000000	Fungi
1479417at2759	0	660	0.000000	Fungi
388820at2759	48	1258	3.815580	Fungi
1358374at2759	10	401	2.493766	Fungi
1346432at2759	13	365	3.561644	Fungi
655400at2759	26	953	2.728227	Fungi
245208at2759	51	1272	4.009434	Fungi
1633672at2759	4	118	3.389831	Fungi
426305at2759	52	925	5.621622	Fungi
1233814at2759	9	334	2.694611	Fungi
719531at2759	23	553	4.159132	Fungi
