Supplementary Table 1. Characterization of immunophenotypes. 	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4
Relative count	B cell	BC_Trait46	IgD+ %Lymphocyte	GCST90001424
Relative count	B cell	BC_Trait47	IgD- CD38br %lymphocyte	GCST90001425
Relative count	B cell	BC_Trait48	IgD- CD38dim %lymphocyte	GCST90001426
Relative count	B cell	BC_Trait49	IgD- CD38- %lymphocyte	GCST90001427
Relative count	B cell	BC_Trait5	IgD- CD38dim %B cell	GCST90001428
Relative count	B cell	BC_Trait50	IgD+ CD38br %lymphocyte	GCST90001429
Relative count	B cell	BC_Trait51	IgD+ CD38dim %lymphocyte	GCST90001430
Relative count	B cell	BC_Trait52	IgD+ CD38- %lymphocyte	GCST90001431
Relative count	B cell	BC_Trait54	Unsw Mem %lymphocyte	GCST90001432
Relative count	B cell	BC_Trait55	IgD- CD27- %lymphocyte	GCST90001433
Relative count	B cell	BC_Trait56	Sw mem %lymphocyte	GCST90001434
Relative count	B cell	BC_Trait57	PB/PC %lymphocyte	GCST90001435
Relative count	B cell	BC_Trait58	Memory B cell %lymphocyte	GCST90001436
Relative count	B cell	BC_Trait59	Naive-mature B cell %lymphocyte	GCST90001437
Absolute count	B cell	BC_Trait6	IgD- CD38dim AC	GCST90001438
Relative count	B cell	BC_Trait61	IgD+ CD24+ %lymphocyte	GCST90001439
Relative count	B cell	BC_Trait62	IgD- CD24- %lymphocyte	GCST90001440
Relative count	B cell	BC_Trait63	IgD+ CD24- %lymphocyte	GCST90001441
Relative count	B cell	BC_Trait64	CD24+ CD27+ %lymphocyte	GCST90001442
Relative count	B cell	BC_Trait65	CD20- %lymphocyte	GCST90001443
Relative count	B cell	BC_Trait67	CD20- CD38- %lymphocyte	GCST90001444
Relative count	B cell	BC_Trait7	IgD- CD38- %B cell	GCST90001445
Absolute count	B cell	BC_Trait8	IgD- CD38- AC	GCST90001446
Relative count	B cell	BC_Trait9	IgD+ CD38br %B cell	GCST90001447
Absolute count	cDC	DC_Trait524	CD11c+ monocyte AC	GCST90001448
Relative count	cDC	DC_Trait525	CD11c+ monocyte %monocyte	GCST90001449
Absolute count	cDC	DC_Trait526	CD62L- monocyte AC	GCST90001450
Relative count	cDC	DC_Trait527	CD62L- monocyte %monocyte	GCST90001451
Absolute count	cDC	DC_Trait530	CD11c+ CD62L- monocyte AC	GCST90001452
Relative count	cDC	DC_Trait531	CD11c+ CD62L- monocyte %monocyte	GCST90001453
Absolute count	cDC	DC_Trait532	CD62L- HLA DR++ monocyte AC	GCST90001454
Relative count	cDC	DC_Trait533	CD62L- HLA DR++ monocyte %monocyte	GCST90001455
Absolute count	cDC	DC_Trait534	CD11c+ HLA DR++ monocyte AC	GCST90001456
Relative count	cDC	DC_Trait535	CD11c+ HLA DR++ monocyte %monocyte	GCST90001457
Absolute count	cDC	f_DC_Trait502	Myeloid DC AC	GCST90001458
Relative count	cDC	f_DC_Trait503	Myeloid DC %DC	GCST90001459
Absolute count	cDC	f_DC_Trait504	Plasmacytoid DC AC	GCST90001460
Absolute count	cDC	f_DC_Trait505	DC AC	GCST90001461
Absolute count	cDC	f_DC_Trait508	CD62L- DC AC	GCST90001462
Relative count	cDC	f_DC_Trait509	CD62L- DC %DC	GCST90001463
Absolute count	cDC	f_DC_Trait512	CD86+ myeloid DC AC	GCST90001464
Relative count	cDC	f_DC_Trait513	CD86+ myeloid DC %DC	GCST90001465
Absolute count	cDC	f_DC_Trait514	CD86+ plasmacytoid DC AC	GCST90001466
Relative count	cDC	f_DC_Trait515	CD86+ plasmacytoid DC %DC	GCST90001467
Absolute count	cDC	f_DC_Trait516	CD62L- myeloid DC AC	GCST90001468
Relative count	cDC	f_DC_Trait517	CD62L- myeloid DC %DC	GCST90001469
Absolute count	cDC	f_DC_Trait518	CD62L- plasmacytoid DC AC	GCST90001470
Relative count	cDC	f_DC_Trait519	CD62L- plasmacytoid DC %DC	GCST90001471
Absolute count	cDC	f_DC_Trait520	CD62L- CD86+ myeloid DC AC	GCST90001472
Relative count	cDC	f_DC_Trait521	CD62L- CD86+ myeloid DC %DC	GCST90001473
Relative count	cDC	f_DC_Trait522	Plasmacytoid DC %DC	GCST90001474
Relative count	TBNK	f_MONO_Trait503	HLA DR++ monocyte %monocyte	GCST90001475
Relative count	TBNK	f_MONO_Trait504	HLA DR++ monocyte %leukocyte	GCST90001476
Absolute count	TBNK	f_MONO_Trait505	HLA DR++ monocyte AC	GCST90001477
Relative count	Treg	f_Treg_Trait501	CD4 Treg %CD4	GCST90001478
Relative count	Treg	f_Treg_Trait502	CD4 Treg %T cell	GCST90001479
Absolute count	Treg	f_Treg_Trait503	Resting Treg AC	GCST90001480
Relative count	Treg	f_Treg_Trait504	Resting Treg % CD4 Treg	GCST90001481
Relative count	Treg	f_Treg_Trait505	Resting Treg %CD4 	GCST90001482
Absolute count	Treg	f_Treg_Trait506	CD39+ resting Treg AC	GCST90001483
Relative count	Treg	f_Treg_Trait507	CD39+ resting Treg %resting Treg	GCST90001484
Relative count	Treg	f_Treg_Trait508	CD39+ resting Treg % CD4 Treg	GCST90001485
Absolute count	Treg	f_Treg_Trait509	Activated Treg AC	GCST90001486
Relative count	Treg	f_Treg_Trait510	Activated Treg %CD4 Treg	GCST90001487
Relative count	Treg	f_Treg_Trait511	Activated Treg %CD4	GCST90001488
Absolute count	Treg	f_Treg_Trait512	CD39+ activated Treg AC	GCST90001489
Relative count	Treg	f_Treg_Trait513	CD39+ activated Treg %activated Treg	GCST90001490
Relative count	Treg	f_Treg_Trait514	CD39+ activated Treg %CD4 Treg	GCST90001491
Absolute count	Treg	f_Treg_Trait515	Secreting Treg AC	GCST90001492
Relative count	Treg	f_Treg_Trait516	Secreting Treg % CD4 Treg	GCST90001493
Relative count	Treg	f_Treg_Trait517	Secreting Treg %CD4	GCST90001494
Absolute count	Treg	f_Treg_Trait518	CD39+ secreting Treg  AC	GCST90001495
Relative count	Treg	f_Treg_Trait519	CD39+ secreting Treg %secreting Treg	GCST90001496
Relative count	Treg	f_Treg_Trait520	CD39+ secreting Treg %CD4 Treg	GCST90001497
Absolute count	Treg	f_Treg_Trait521	Activated & resting Treg AC	GCST90001498
Relative count	Treg	f_Treg_Trait522	Activated & resting Treg % CD4 Treg	GCST90001499
Relative count	Treg	f_Treg_Trait523	Activated & resting Treg %CD4+	GCST90001500
Absolute count	Treg	f_Treg_Trait527	Activated & secreting Treg AC	GCST90001501
Relative count	Treg	f_Treg_Trait528	Activated & secreting Treg %CD4 Treg	GCST90001502
Relative count	Treg	f_Treg_Trait529	Activated & secreting Treg %CD4+	GCST90001503
Absolute count	Treg	f_Treg_Trait533	CD25hi AC	GCST90001504
Relative count	Treg	f_Treg_Trait534	CD25hi %CD4+	GCST90001505
Relative count	Treg	f_Treg_Trait535	CD25hi %T cell	GCST90001506
Absolute count	Treg	f_Treg_Trait536	CD25hi CD45RA+ CD4 not Treg AC	GCST90001507
Relative count	Treg	f_Treg_Trait537	CD25hi CD45RA+ CD4 not Treg %CD4+	GCST90001508
Relative count	Treg	f_Treg_Trait538	CD25hi CD45RA+ CD4 not Treg %T cell	GCST90001509
Absolute count	Treg	f_Treg_Trait539	CD25hi CD45RA- CD4 not Treg AC	GCST90001510
Relative count	Treg	f_Treg_Trait540	CD25hi CD45RA- CD4 not Treg %CD4+	GCST90001511
Relative count	Treg	f_Treg_Trait541	CD25hi CD45RA- CD4 not Treg %T cell	GCST90001512
Absolute count	Treg	f_Treg_Trait542	CD4 Treg AC	GCST90001513
Absolute count	Myeloid cell	MDSC_Trait1	HSC AC	GCST90001514
Absolute count	Myeloid cell	MDSC_Trait10	Im MDSC AC	GCST90001515
Relative count	Myeloid cell	MDSC_Trait11	Im MDSC %CD33dim HLA DR- CD66b-	GCST90001516
Absolute count	Myeloid cell	MDSC_Trait12	CD33br HLA DR+ AC	GCST90001517
Absolute count	Myeloid cell	MDSC_Trait13	CD33br HLA DR+ CD14- AC	GCST90001518
Relative count	Myeloid cell	MDSC_Trait14	CD33br HLA DR+ CD14- %CD33br HLA DR+	GCST90001519
Absolute count	Myeloid cell	MDSC_Trait15	CD33br HLA DR+ CD14dim AC	GCST90001520
Relative count	Myeloid cell	MDSC_Trait16	CD33br HLA DR+ CD14dim %CD33br HLA DR+	GCST90001521
Absolute count	Myeloid cell	MDSC_Trait22	CD33- HLA DR- AC	GCST90001522
Absolute count	Myeloid cell	MDSC_Trait23	CD33- HLA DR+ AC	GCST90001523
Absolute count	Myeloid cell	MDSC_Trait24	Gr MDSC AC	GCST90001524
Absolute count	Myeloid cell	MDSC_Trait25	CD33dim HLA DR+ CD11b+ AC	GCST90001525
Relative count	Myeloid cell	MDSC_Trait26	CD33dim HLA DR+ CD11b+ %CD33dim HLA DR+	GCST90001526
Absolute count	Myeloid cell	MDSC_Trait27	CD33dim HLA DR+ CD11b- AC	GCST90001527
Relative count	Myeloid cell	MDSC_Trait28	CD33dim HLA DR+ CD11b- %CD33dim HLA DR+	GCST90001528
Absolute count	Myeloid cell	MDSC_Trait3	CD66b++ myeloid cell AC	GCST90001529
Absolute count	Myeloid cell	MDSC_Trait4	Mo MDSC AC	GCST90001530
Absolute count	Myeloid cell	MDSC_Trait5	CD33dim HLA DR- AC	GCST90001531
Absolute count	Myeloid cell	MDSC_Trait8	Basophil AC	GCST90001532
Relative count	Myeloid cell	MDSC_Trait9	Basophil %CD33dim HLA DR- CD66b-	GCST90001533
Absolute count	Maturation stages of T cell	MT_ry_Trait514	CD45RA- CD4+ AC	GCST90001534
Relative count	Maturation stages of T cell	MT_ry_Trait515	CD45RA- CD4+ %CD4+	GCST90001535
Relative count	Maturation stages of T cell	MT_ry_Trait516	CD45RA- CD4+ %T cell	GCST90001536
Absolute count	Maturation stages of T cell	MT_Trait503	CM CD4+ AC	GCST90001537
Relative count	Maturation stages of T cell	MT_Trait504	CM CD4+ %CD4+	GCST90001538
Relative count	Maturation stages of T cell	MT_Trait505	CM CD4+ %T cell	GCST90001539
Absolute count	Maturation stages of T cell	MT_Trait506	Naive CD4+ AC	GCST90001540
Relative count	Maturation stages of T cell	MT_Trait507	Naive CD4+ %CD4+	GCST90001541
Absolute count	Maturation stages of T cell	MT_Trait508	EM CD4+ AC	GCST90001542
Relative count	Maturation stages of T cell	MT_Trait509	EM CD4+ %CD4+	GCST90001543
Relative count	Maturation stages of T cell	MT_Trait510	EM CD4+ %T cell	GCST90001544
Absolute count	Maturation stages of T cell	MT_Trait511	TD CD4+ AC	GCST90001545
Relative count	Maturation stages of T cell	MT_Trait512	TD CD4+ %CD4+	GCST90001546
Relative count	Maturation stages of T cell	MT_Trait513	TD CD4+ %T cell	GCST90001547
Absolute count	Maturation stages of T cell	MT_Trait522	CM CD8br AC	GCST90001548
Relative count	Maturation stages of T cell	MT_Trait523	CM  CD8br %CD8br	GCST90001549
Relative count	Maturation stages of T cell	MT_Trait524	CM CD8br %T cell	GCST90001550
Absolute count	Maturation stages of T cell	MT_Trait525	Naive CD8br AC	GCST90001551
Relative count	Maturation stages of T cell	MT_Trait526	Naive  CD8br %CD8br	GCST90001552
Relative count	Maturation stages of T cell	MT_Trait527	Naive CD8br %T cell	GCST90001553
Absolute count	Maturation stages of T cell	MT_Trait528	EM CD8br AC	GCST90001554
Relative count	Maturation stages of T cell	MT_Trait529	EM CD8br %CD8br	GCST90001555
Relative count	Maturation stages of T cell	MT_Trait530	EM CD8br %T cell	GCST90001556
Absolute count	Maturation stages of T cell	MT_Trait531	TD CD8br AC	GCST90001557
Relative count	Maturation stages of T cell	MT_Trait532	TD  CD8br %CD8br	GCST90001558
Relative count	Maturation stages of T cell	MT_Trait533	TD CD8br %T cell	GCST90001559
Absolute count	Maturation stages of T cell	MT_Trait537	CD45RA+ CD8br AC	GCST90001560
Relative count	Maturation stages of T cell	MT_Trait538	CD45RA+ CD8br  %CD8br	GCST90001561
Relative count	Maturation stages of T cell	MT_Trait539	CD45RA+ CD8br %T cell	GCST90001562
Absolute count	Maturation stages of T cell	MT_Trait542	CM DN (CD4-CD8-) AC	GCST90001563
Relative count	Maturation stages of T cell	MT_Trait543	CM DN (CD4-CD8-) %DN	GCST90001564
Relative count	Maturation stages of T cell	MT_Trait544	CM DN (CD4-CD8-) %T cell	GCST90001565
Absolute count	Maturation stages of T cell	MT_Trait545	Naive DN (CD4-CD8-) AC	GCST90001566
Relative count	Maturation stages of T cell	MT_Trait546	Naive DN (CD4-CD8-) %DN	GCST90001567
Relative count	Maturation stages of T cell	MT_Trait547	Naive DN (CD4-CD8-) %T cell	GCST90001568
Absolute count	Maturation stages of T cell	MT_Trait548	EM DN (CD4-CD8-) AC	GCST90001569
Relative count	Maturation stages of T cell	MT_Trait549	EM DN (CD4-CD8-) %DN	GCST90001570
Relative count	Maturation stages of T cell	MT_Trait550	EM DN (CD4-CD8-) %T cell	GCST90001571
Absolute count	Maturation stages of T cell	MT_Trait551	TD DN (CD4-CD8-) AC	GCST90001572
Relative count	Maturation stages of T cell	MT_Trait552	TD DN (CD4-CD8-) %DN	GCST90001573
Relative count	Maturation stages of T cell	MT_Trait553	TD DN (CD4-CD8-) %T cell	GCST90001574
Relative count	Maturation stages of T cell	MT_Trait560	Naive CD4+  %T cell	GCST90001575
Relative count	B cell	N_BC_Trait3	Transitional %B cell	GCST90001576
Absolute count	B cell	N_BC_Trait4	Transitional AC	GCST90001577
Relative count	B cell	N_BC_Trait6	Transitional %lymphocyte	GCST90001578
Absolute count	Monocyte	N_MONO_Trait501	CD14- CD16+ monocyte AC	GCST90001579
Absolute count	Monocyte	N_MONO_Trait503	CD14+ CD16+ monocyte AC	GCST90001580
Absolute count	Monocyte	N_MONO_Trait505	CD14- CD16- AC	GCST90001581
Absolute count	Monocyte	N_MONO_Trait507	CD14+ CD16- monocyte AC	GCST90001582
Absolute count	Monocyte	N_MONO_Trait513	Monocyte AC	GCST90001583
Relative count	Monocyte	N_MONO_Trait514	CD14- CD16+ monocyte %monocyte	GCST90001584
Relative count	Monocyte	N_MONO_Trait515	CD14+ CD16+ monocyte %monocyte	GCST90001585
Relative count	Monocyte	N_MONO_Trait516	CD14+ CD16- monocyte %monocyte	GCST90001586
Relative count	Monocyte	N_MONO_Trait517	CD16+ monocyte %monocyte	GCST90001587
Relative count	TBNK	RATIO_CD3_B	T/B	GCST90001588
Relative count	TBNK	RATIO_CD4_CD8B	CD4/CD8br	GCST90001589
Absolute count	TBNK	TB_ry_Trait512	CD4+ AC	GCST90001590
Relative count	TBNK	TB_ry_Trait513	CD4+ %T cell	GCST90001591
Absolute count	TBNK	TB_ry_Trait515	CD8br AC	GCST90001592
Relative count	TBNK	TB_ry_Trait516	CD8br %T cell	GCST90001593
Absolute count	TBNK	TB_ry_Trait518	DP (CD4+CD8+) AC	GCST90001594
Relative count	TBNK	TB_ry_Trait519	DP (CD4+CD8+) %T cell	GCST90001595
Absolute count	TBNK	TB_ry_Trait524	CD8dim AC	GCST90001596
Relative count	TBNK	TB_ry_Trait525	CD8dim %T cell	GCST90001597
Absolute count	TBNK	TB_ry_Trait527	DN (CD4-CD8-) AC	GCST90001598
Relative count	TBNK	TB_ry_Trait528	DN (CD4-CD8-) %T cell	GCST90001599
Absolute count	TBNK	TB_Trait501	Leukocyte AC	GCST90001600
Absolute count	TBNK	TB_Trait507	Lymphocyte AC	GCST90001601
Relative count	TBNK	TB_Trait508	Lymphocyte %leukocyte	GCST90001602
Absolute count	TBNK	TB_Trait509	T cell AC	GCST90001603
Relative count	TBNK	TB_Trait510	T cell %lymphocyte	GCST90001604
Relative count	TBNK	TB_Trait511	T cell %leukocyte	GCST90001605
Relative count	TBNK	TB_Trait514	CD4+ %leukocyte	GCST90001606
Relative count	TBNK	TB_Trait517	CD8br %leukocyte	GCST90001607
Relative count	TBNK	TB_Trait520	DP (CD4+CD8+) %leukocyte	GCST90001608
Absolute count	TBNK	TB_Trait521	CD4+ CD8dim AC	GCST90001609
Relative count	TBNK	TB_Trait522	CD4+ CD8dim %lymphocyte	GCST90001610
Relative count	TBNK	TB_Trait523	CD4+ CD8dim %leukocyte	GCST90001611
Relative count	TBNK	TB_Trait526	CD8dim %leukocyte	GCST90001612
Relative count	TBNK	TB_Trait529	DN (CD4-CD8-) %leukocyte	GCST90001613
Relative count	TBNK	TB_Trait532	CD8br and CD8dim %leukocyte	GCST90001614
Absolute count	TBNK	TB_Trait533	TCRgd AC	GCST90001615
Relative count	TBNK	TB_Trait534	TCRgd %T cell	GCST90001616
Relative count	TBNK	TB_Trait535	TCRgd %lymphocyte	GCST90001617
Absolute count	TBNK	TB_Trait536	HLA DR+ T cell AC	GCST90001618
Relative count	TBNK	TB_Trait537	HLA DR+ T cell%T cell	GCST90001619
Relative count	TBNK	TB_Trait538	HLA DR+ T cell%lymphocyte	GCST90001620
Absolute count	TBNK	TB_Trait539	NKT AC	GCST90001621
Relative count	TBNK	TB_Trait540	NKT %T cell	GCST90001622
Relative count	TBNK	TB_Trait541	NKT %lymphocyte	GCST90001623
Absolute count	TBNK	TB_Trait542	HLA DR+ CD4+ AC	GCST90001624
Relative count	TBNK	TB_Trait543	HLA DR+ CD4+ %T cell	GCST90001625
Relative count	TBNK	TB_Trait544	HLA DR+ CD4+ %lymphocyte	GCST90001626
Absolute count	TBNK	TB_Trait545	HLA DR+ CD8br AC	GCST90001627
Relative count	TBNK	TB_Trait546	HLA DR+ CD8br %T cell	GCST90001628
Relative count	TBNK	TB_Trait547	HLA DR+ CD8br %lymphocyte	GCST90001629
Absolute count	TBNK	TB_Trait548	CD8br NKT AC	GCST90001630
Relative count	TBNK	TB_Trait549	CD8br NKT %T cell	GCST90001631
Relative count	TBNK	TB_Trait550	CD8br NKT %lymphocyte	GCST90001632
Absolute count	TBNK	TB_Trait551	CD8dim NKT AC	GCST90001633
Relative count	TBNK	TB_Trait552	CD8dim NKT %T cell	GCST90001634
Relative count	TBNK	TB_Trait553	CD8dim NKT %lymphocyte	GCST90001635
Absolute count	TBNK	TB_Trait554	DN (CD4-CD8-) NKT AC	GCST90001636
Relative count	TBNK	TB_Trait555	DN (CD4-CD8-) NKT %T cell	GCST90001637
Relative count	TBNK	TB_Trait556	DN (CD4-CD8-) NKT %lymphocyte	GCST90001638
Absolute count	TBNK	TB_Trait560	CD3- lymphocyte AC	GCST90001639
Relative count	TBNK	TB_Trait561	CD3- lymphocyte %lymphocyte	GCST90001640
Relative count	TBNK	TB_Trait562	CD3- lymphocyte %leukocyte	GCST90001641
Absolute count	TBNK	TB_Trait563	B cell AC	GCST90001642
Relative count	TBNK	TB_Trait564	B cell % CD3- lymphocyte	GCST90001643
Relative count	TBNK	TB_Trait565	B cell %lymphocyte	GCST90001644
Absolute count	TBNK	TB_Trait566	NK AC	GCST90001645
Relative count	TBNK	TB_Trait567	NK %CD3- lymphocyte	GCST90001646
Relative count	TBNK	TB_Trait568	NK %lymphocyte	GCST90001647
Absolute count	TBNK	TB_Trait569	HLA DR+ NK AC	GCST90001648
Relative count	TBNK	TB_Trait570	HLA DR+ NK %NK	GCST90001649
Relative count	TBNK	TB_Trait571	HLA DR+ NK  %CD3- lymphocyte	GCST90001650
Absolute count	TBNK	TB_Trait575	Granulocyte AC	GCST90001651
Relative count	TBNK	TB_Trait576	Granulocyte %leukocyte	GCST90001652
Relative count	Treg	Treg_Trait505	CD28- DN (CD4-CD8-) %DN	GCST90001653
Absolute count	Treg	Treg_Trait506	CD28- DN (CD4-CD8-) AC	GCST90001654
Relative count	Treg	Treg_Trait507	CD28+ DN (CD4-CD8-) %T cell	GCST90001655
Relative count	Treg	Treg_Trait508	CD28+ DN (CD4-CD8-) %DN	GCST90001656
Absolute count	Treg	Treg_Trait509	CD28+ DN (CD4-CD8-) AC	GCST90001657
Relative count	Treg	Treg_Trait512	CD39+ CD4+ %T cell	GCST90001658
Relative count	Treg	Treg_Trait513	CD39+ CD4+ %CD4+	GCST90001659
Absolute count	Treg	Treg_Trait514	CD39+ CD4+ AC	GCST90001660
Relative count	Treg	Treg_Trait574	CD28- CD8dim %T cell	GCST90001661
Relative count	Treg	Treg_Trait575	CD28- CD8dim %CD8dim	GCST90001662
Absolute count	Treg	Treg_Trait576	CD28- CD8dim AC	GCST90001663
Relative count	Treg	Treg_Trait577	CD28+ CD45RA+ CD8dim %T cell	GCST90001664
Relative count	Treg	Treg_Trait578	CD28+ CD45RA+ CD8dim %CD8dim	GCST90001665
Absolute count	Treg	Treg_Trait579	CD28+ CD45RA+ CD8dim AC	GCST90001666
Relative count	Treg	Treg_Trait580	CD28+ CD45RA- CD8dim %T cell	GCST90001667
Relative count	Treg	Treg_Trait581	CD28+ CD45RA- CD8dim %CD8dim	GCST90001668
Absolute count	Treg	Treg_Trait582	CD28+ CD45RA- CD8dim AC	GCST90001669
Relative count	Treg	Treg_Trait585	CD39+ CD8br %T cell	GCST90001670
Relative count	Treg	Treg_Trait586	CD39+ CD8br %CD8br	GCST90001671
Absolute count	Treg	Treg_Trait587	CD39+ CD8br AC	GCST90001672
Relative count	Treg	Treg_Trait588	CD28- CD127- CD25++ CD8br %T cell	GCST90001673
Relative count	Treg	Treg_Trait589	CD28- CD127- CD25++ CD8br %CD8br	GCST90001674
Absolute count	Treg	Treg_Trait590	CD28- CD127- CD25++ CD8br AC	GCST90001675
Relative count	Treg	Treg_Trait591	CD28- CD25++ CD8br %T cell	GCST90001676
Relative count	Treg	Treg_Trait592	CD28- CD25++ CD8br %CD8br	GCST90001677
Absolute count	Treg	Treg_Trait593	CD28- CD25++ CD8br AC	GCST90001678
Relative count	Treg	Treg_Trait594	CD25++ CD8br %T cell	GCST90001679
Relative count	Treg	Treg_Trait595	CD25++ CD8br %CD8br	GCST90001680
Absolute count	Treg	Treg_Trait596	CD25++ CD8br AC	GCST90001681
Relative count	Treg	Treg_Trait597	CD127- CD8br %T cell	GCST90001682
Relative count	Treg	Treg_Trait598	CD127- CD8br %CD8br	GCST90001683
Absolute count	Treg	Treg_Trait599	CD127- CD8br AC	GCST90001684
Relative count	Treg	Treg_Trait600	CD28- CD8br %T cell	GCST90001685
Relative count	Treg	Treg_Trait601	CD28- CD8br %CD8br	GCST90001686
Absolute count	Treg	Treg_Trait602	CD28- CD8br AC	GCST90001687
Relative count	Treg	Treg_Trait603	CD28+ CD45RA+ CD8br %T cell	GCST90001688
Relative count	Treg	Treg_Trait604	CD28+ CD45RA+ CD8br %CD8br	GCST90001689
Absolute count	Treg	Treg_Trait605	CD28+ CD45RA+ CD8br AC	GCST90001690
Relative count	Treg	Treg_Trait606	CD28+ CD45RA- CD8br %T cell	GCST90001691
Relative count	Treg	Treg_Trait607	CD28+ CD45RA- CD8br %CD8br	GCST90001692
Absolute count	Treg	Treg_Trait608	CD28+ CD45RA- CD8br AC	GCST90001693
Relative count	Treg	Treg_Trait611	CD28- DN (CD4-CD8-) %T cell	GCST90001694
Absolute count	Treg	Treg_Trait700	CD45RA- CD28- CD8br AC	GCST90001695
Relative count	Treg	Treg_Trait701	CD45RA- CD28- CD8br  %CD8br	GCST90001696
Relative count	Treg	Treg_Trait702	CD45RA- CD28- CD8br %T cell	GCST90001697
Absolute count	Treg	Treg_Trait706	CD45RA+ CD28- CD8br AC	GCST90001698
Relative count	Treg	Treg_Trait707	CD45RA+ CD28- CD8br  %CD8br	GCST90001699
Relative count	Treg	Treg_Trait708	CD45RA+ CD28- CD8br %T cell	GCST90001700
MFI	B cell	Bcells.trait111	BAFF-R on CD20- CD38-	GCST90001701
MFI	B cell	Bcells.trait112	BAFF-R on CD24+ CD27+	GCST90001702
MFI	B cell	Bcells.trait137	BAFF-R on IgD+ CD24+	GCST90001703
MFI	B cell	Bcells.trait138	BAFF-R on IgD+ CD24-	GCST90001704
MFI	B cell	Bcells.trait139	BAFF-R on IgD+ CD38-	GCST90001705
MFI	B cell	Bcells.trait140	BAFF-R on IgD+ CD38- naive	GCST90001706
MFI	B cell	Bcells.trait141	BAFF-R on IgD+ CD38- unsw mem	GCST90001707
MFI	B cell	Bcells.trait142	BAFF-R on IgD+ CD38br	GCST90001708
MFI	B cell	Bcells.trait143	BAFF-R on IgD+ CD38dim	GCST90001709
MFI	B cell	Bcells.trait147	BAFF-R on IgD- CD24-	GCST90001710
MFI	B cell	Bcells.trait148	BAFF-R on IgD- CD27-	GCST90001711
MFI	B cell	Bcells.trait149	BAFF-R on IgD- CD38-	GCST90001712
MFI	B cell	Bcells.trait150	BAFF-R on IgD- CD38br	GCST90001713
MFI	B cell	Bcells.trait151	BAFF-R on IgD- CD38dim	GCST90001714
MFI	B cell	Bcells.trait154	BAFF-R on memory B cell	GCST90001715
MFI	B cell	Bcells.trait156	BAFF-R on naive-mature B cell	GCST90001716
MFI	B cell	Bcells.trait157	BAFF-R on unsw mem	GCST90001717
MFI	B cell	Bcells.trait159	BAFF-R on sw mem	GCST90001718
MFI	B cell	Bcells.trait160	BAFF-R on IgD+	GCST90001719
MFI	B cell	Bcells.trait161	BAFF-R on transitional	GCST90001720
MFI	B cell	Bcells.trait255	CD19 on CD20- 	GCST90001721
MFI	B cell	Bcells.trait282	CD19 on CD20- CD38- 	GCST90001722
