Supplementary Table 1. Characterization of immunophenotypes. 	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7
Relative count	cDC	DC_Trait531	CD11c+ CD62L- monocyte %monocyte	3040	0	10.464	57.64
Relative count	cDC	DC_Trait535	CD11c+ HLA DR++ monocyte %monocyte	3042	0.942	8.004	30.593
Relative count	cDC	DC_Trait525	CD11c+ monocyte %monocyte	3043	1.643	13.307	84.719
Relative count	cDC	f_DC_Trait521	CD62L- CD86+ myeloid DC %DC	3410	0	8.088	80.194
Relative count	cDC	f_DC_Trait509	CD62L- DC %DC	3410	3.683	22.707	97.368
Relative count	cDC	DC_Trait533	CD62L- HLA DR++ monocyte %monocyte	3041	0.814	11.796	37.365
Relative count	cDC	DC_Trait527	CD62L- monocyte %monocyte	3042	2.588	24.937	94.036
Relative count	cDC	f_DC_Trait517	CD62L- myeloid DC %DC	3410	0.708	14.9	93.009
Relative count	cDC	f_DC_Trait519	CD62L- plasmacytoid DC %DC	3410	0	0.891	16.824
Relative count	cDC	f_DC_Trait513	CD86+ myeloid DC %DC	3410	0	12.895	84.208
Relative count	cDC	f_DC_Trait515	CD86+ plasmacytoid DC %DC	3410	0	0.732	6.308
Relative count	cDC	f_DC_Trait503	Myeloid DC %DC	3410	7.313	55.312	96.026
Relative count	cDC	f_DC_Trait522	Plasmacytoid DC %DC	3410	0	34.801	75.473
Absolute count	Maturation stages of T cell	MT_ry_Trait514	CD45RA- CD4+ AC	3395	96.615	614.331	2466.72
Absolute count	Maturation stages of T cell	MT_Trait537	CD45RA+ CD8br AC	3395	5.912	202.993	3259.574
Absolute count	Maturation stages of T cell	MT_Trait503	CM CD4+ AC	3395	0	300.345	1070.905
Absolute count	Maturation stages of T cell	MT_Trait522	CM CD8br AC	3395	0	21.585	305.91
Absolute count	Maturation stages of T cell	MT_Trait542	CM DN (CD4-CD8-) AC	3395	0	0.939	13.178
Absolute count	Maturation stages of T cell	MT_Trait508	EM CD4+ AC	3395	50.171	313.986	1642.144
Absolute count	Maturation stages of T cell	MT_Trait528	EM CD8br AC	3395	7.781	263.982	3220.865
Absolute count	Maturation stages of T cell	MT_Trait548	EM DN (CD4-CD8-) AC	3395	0.967	63.222	1044.376
Absolute count	Maturation stages of T cell	MT_Trait506	Naive CD4+ AC	3395	0	423.882	2302.51
Absolute count	Maturation stages of T cell	MT_Trait525	Naive CD8br AC	3395	0	127.341	917.288
Absolute count	Maturation stages of T cell	MT_Trait545	Naive DN (CD4-CD8-) AC	3395	0	2.3	32.194
Absolute count	Maturation stages of T cell	MT_Trait511	TD CD4+ AC	3395	1.418	39.408	2695.817
Absolute count	Maturation stages of T cell	MT_Trait531	TD CD8br AC	3395	0.475	75.653	3252.222
Absolute count	Maturation stages of T cell	MT_Trait551	TD DN (CD4-CD8-) AC	3395	0.391	15.865	375.514
Relative count	Maturation stages of T cell	MT_ry_Trait515	CD45RA- CD4+ %CD4+	3427	19.786	58.918	99.176
Relative count	Maturation stages of T cell	MT_ry_Trait516	CD45RA- CD4+ %T cell	3427	9.352	36.489	73.248
Relative count	Maturation stages of T cell	MT_Trait538	CD45RA+ CD8br  %CD8br	3427	2.959	41.155	88.367
Relative count	Maturation stages of T cell	MT_Trait539	CD45RA+ CD8br %T cell	3427	0.595	11.262	69.272
Relative count	Maturation stages of T cell	MT_Trait523	CM  CD8br %CD8br	3427	0	4.818	57.728
Relative count	Maturation stages of T cell	MT_Trait504	CM CD4+ %CD4+	3427	0	28.349	61.327
Relative count	Maturation stages of T cell	MT_Trait505	CM CD4+ %T cell	3427	0	17.765	47.375
Relative count	Maturation stages of T cell	MT_Trait524	CM CD8br %T cell	3427	0	1.24	14.772
Relative count	Maturation stages of T cell	MT_Trait543	CM DN (CD4-CD8-) %DN	3427	0	1.49	20.37
Relative count	Maturation stages of T cell	MT_Trait544	CM DN (CD4-CD8-) %T cell	3427	0	0.053	0.85
Relative count	Maturation stages of T cell	MT_Trait509	EM CD4+ %CD4+	3427	6.476	30.568	91.013
Relative count	Maturation stages of T cell	MT_Trait510	EM CD4+ %T cell	3427	4.34	18.725	55.674
Relative count	Maturation stages of T cell	MT_Trait529	EM CD8br %CD8br	3427	1.468	54.026	95.716
Relative count	Maturation stages of T cell	MT_Trait530	EM CD8br %T cell	3427	0.376	15.172	70.092
Relative count	Maturation stages of T cell	MT_Trait549	EM DN (CD4-CD8-) %DN	3427	4.834	72.894	98.553
Relative count	Maturation stages of T cell	MT_Trait550	EM DN (CD4-CD8-) %T cell	3427	0.076	3.588	31.277
Relative count	Maturation stages of T cell	MT_Trait526	Naive  CD8br %CD8br	3427	0	26.753	86.962
Relative count	Maturation stages of T cell	MT_Trait560	Naive CD4+  %T cell	3427	0	23.75	63.387
Relative count	Maturation stages of T cell	MT_Trait507	Naive CD4+ %CD4+	3427	0	37.448	77.883
Relative count	Maturation stages of T cell	MT_Trait527	Naive CD8br %T cell	3427	0	6.996	37.554
Relative count	Maturation stages of T cell	MT_Trait546	Naive DN (CD4-CD8-) %DN	3427	0	3.48	39.759
Relative count	Maturation stages of T cell	MT_Trait547	Naive DN (CD4-CD8-) %T cell	3427	0	0.129	1.483
Relative count	Maturation stages of T cell	MT_Trait532	TD  CD8br %CD8br	3427	0.773	14.403	87.317
Relative count	Maturation stages of T cell	MT_Trait512	TD CD4+ %CD4+	3427	0.215	3.634	66.68
Relative count	Maturation stages of T cell	MT_Trait513	TD CD4+ %T cell	3427	0.138	2.236	49.074
Relative count	Maturation stages of T cell	MT_Trait533	TD CD8br %T cell	3427	0.077	4.266	69.189
Relative count	Maturation stages of T cell	MT_Trait552	TD DN (CD4-CD8-) %DN	3427	0.702	22.136	95.166
Relative count	Maturation stages of T cell	MT_Trait553	TD DN (CD4-CD8-) %T cell	3427	0.019	0.908	14.204
Absolute count	Monocyte	N_MONO_Trait505	CD14- CD16- AC	3727	1.789	31.064	481.631
Absolute count	Monocyte	N_MONO_Trait501	CD14- CD16+ monocyte AC	3727	0	57.507	548.518
Absolute count	Monocyte	N_MONO_Trait507	CD14+ CD16- monocyte AC	3727	36.527	410.781	2333.812
Absolute count	Monocyte	N_MONO_Trait503	CD14+ CD16+ monocyte AC	3727	0	21.262	242.436
Absolute count	Monocyte	N_MONO_Trait513	Monocyte AC	3727	37.264	489.768	2878.54
Relative count	Monocyte	N_MONO_Trait514	CD14- CD16+ monocyte %monocyte	3727	0	11.773	40.647
Relative count	Monocyte	N_MONO_Trait516	CD14+ CD16- monocyte %monocyte	3727	56.062	83.976	100
Relative count	Monocyte	N_MONO_Trait515	CD14+ CD16+ monocyte %monocyte	3727	0	4.252	25.521
Relative count	Monocyte	N_MONO_Trait517	CD16+ monocyte %monocyte	3727	0	16.029	46.983
Absolute count	Myeloid cell	MDSC_Trait8	Basophil AC	1929	0	56.225	222.093
Absolute count	Myeloid cell	MDSC_Trait22	CD33- HLA DR- AC	1930	22.711	508.008	3632.308
Absolute count	Myeloid cell	MDSC_Trait23	CD33- HLA DR+ AC	1930	0.507	10.939	121.024
Absolute count	Myeloid cell	MDSC_Trait12	CD33br HLA DR+ AC	1930	0	30.771	132.148
Absolute count	Myeloid cell	MDSC_Trait13	CD33br HLA DR+ CD14- AC	1930	0	18.355	70.885
Absolute count	Myeloid cell	MDSC_Trait15	CD33br HLA DR+ CD14dim AC	1930	0	11.463	60.674
Absolute count	Myeloid cell	MDSC_Trait5	CD33dim HLA DR- AC	1874	0	62.34	228.129
Absolute count	Myeloid cell	MDSC_Trait27	CD33dim HLA DR+ CD11b- AC	1930	0.039	72.063	492.069
Absolute count	Myeloid cell	MDSC_Trait25	CD33dim HLA DR+ CD11b+ AC	1930	0	38.237	202.049
Absolute count	Myeloid cell	MDSC_Trait3	CD66b++ myeloid cell AC	1930	0	0.432	15.407
Absolute count	Myeloid cell	MDSC_Trait24	Gr MDSC AC	1928	0	0.171	6.463
Absolute count	Myeloid cell	MDSC_Trait1	HSC AC	1930	0	3.75	20.305
Absolute count	Myeloid cell	MDSC_Trait10	Im MDSC AC	1929	0	4.962	44.306
Absolute count	Myeloid cell	MDSC_Trait4	Mo MDSC AC	1927	0	7.604	119.265
Relative count	Myeloid cell	MDSC_Trait9	Basophil %CD33dim HLA DR- CD66b-	1929	0	86.004	100
Relative count	Myeloid cell	MDSC_Trait14	CD33br HLA DR+ CD14- %CD33br HLA DR+	1930	0	57.776	83.39
Relative count	Myeloid cell	MDSC_Trait16	CD33br HLA DR+ CD14dim %CD33br HLA DR+	1930	0	35.741	100
Relative count	Myeloid cell	MDSC_Trait28	CD33dim HLA DR+ CD11b- %CD33dim HLA DR+	1930	11.939	64.988	100
Relative count	Myeloid cell	MDSC_Trait26	CD33dim HLA DR+ CD11b+ %CD33dim HLA DR+	1930	0	35.763	88.567
Relative count	Myeloid cell	MDSC_Trait11	Im MDSC %CD33dim HLA DR- CD66b-	1929	0	8.978	100
Absolute count	TBNK	TB_Trait563	B cell AC	3653	16.778	322.523	5241.364
Absolute count	TBNK	TB_Trait560	CD3- lymphocyte AC	3653	67.599	730.053	5876.031
Absolute count	TBNK	TB_ry_Trait512	CD4+ AC	3652	161.58	1081.274	3567.253
Absolute count	TBNK	TB_Trait521	CD4+ CD8dim AC	3652	0	22.313	4251.483
Absolute count	TBNK	TB_ry_Trait515	CD8br AC	3652	51.941	489.284	3863.547
Absolute count	TBNK	TB_Trait548	CD8br NKT AC	3652	0.858	86.449	2093.446
Absolute count	TBNK	TB_ry_Trait524	CD8dim AC	3652	2.361	52.628	696.282
Absolute count	TBNK	TB_Trait551	CD8dim NKT AC	3652	0	24.171	637.903
Absolute count	TBNK	TB_ry_Trait527	DN (CD4-CD8-) AC	3652	4.58	88.559	1338.324
Absolute count	TBNK	TB_Trait554	DN (CD4-CD8-) NKT AC	3652	0	33.45	1216.355
Absolute count	TBNK	TB_ry_Trait518	DP (CD4+CD8+) AC	3652	0	8.286	428.878
Absolute count	TBNK	TB_Trait575	Granulocyte AC	3653	588.768	3818.668	16351
Absolute count	TBNK	TB_Trait542	HLA DR+ CD4+ AC	3579	4.315	33.319	270.844
Absolute count	TBNK	TB_Trait545	HLA DR+ CD8br AC	3579	1.264	40.192	1562.288
Absolute count	TBNK	TB_Trait569	HLA DR+ NK AC	3580	0	25.064	324.753
Absolute count	TBNK	TB_Trait536	HLA DR+ T cell AC	3580	9.453	85.814	1825.546
Absolute count	TBNK	f_MONO_Trait505	HLA DR++ monocyte AC	3579	3.555	32.361	225.245
Absolute count	TBNK	TB_Trait501	Leukocyte AC	3653	1259.882	6805.127	24797
Absolute count	TBNK	TB_Trait507	Lymphocyte AC	3653	472.389	2473.049	8229.036
Absolute count	TBNK	TB_Trait566	NK AC	3653	19.242	378.645	3765.685
Absolute count	TBNK	TB_Trait539	NKT AC	3653	1.715	179.455	5696.932
Absolute count	TBNK	TB_Trait509	T cell AC	3653	306.11	1742.997	6835.771
Absolute count	TBNK	TB_Trait533	TCRgd AC	3650	1.187	33.816	797.418
Relative count	TBNK	TB_Trait564	B cell % CD3- lymphocyte	3669	3.656	44.719	92.46
Relative count	TBNK	TB_Trait565	B cell %lymphocyte	3669	0.716	12.883	69.492
Relative count	TBNK	TB_Trait562	CD3- lymphocyte %leukocyte	3669	1.421	10.842	47.536
Relative count	TBNK	TB_Trait561	CD3- lymphocyte %lymphocyte	3669	6.357	29.724	77.906
Relative count	TBNK	RATIO_CD4_CD8B	CD4/CD8br	3728	1	1.568	2
Relative count	TBNK	TB_Trait514	CD4+ %leukocyte	3668	7.59	43.823	73.002
Relative count	TBNK	TB_ry_Trait513	CD4+ %T cell	3668	10.39	62.585	88.235
Relative count	TBNK	TB_Trait523	CD4+ CD8dim %leukocyte	3668	0	0.864	58.241
Relative count	TBNK	TB_Trait522	CD4+ CD8dim %lymphocyte	3668	0	1.215	62.195
Relative count	TBNK	TB_Trait517	CD8br %leukocyte	3668	3.113	19.524	68.83
Relative count	TBNK	TB_ry_Trait516	CD8br %T cell	3668	4.125	27.629	79.763
Relative count	TBNK	TB_Trait532	CD8br and CD8dim %leukocyte	3668	3.549	21.625	69.914
Relative count	TBNK	TB_Trait550	CD8br NKT %lymphocyte	3668	0.038	3.473	51.549
Relative count	TBNK	TB_Trait549	CD8br NKT %T cell	3668	0.059	4.88	66.961
Relative count	TBNK	TB_Trait526	CD8dim %leukocyte	3668	0.056	2.138	22.521
Relative count	TBNK	TB_ry_Trait525	CD8dim %T cell	3668	0.06	3.02	28.006
Relative count	TBNK	TB_Trait553	CD8dim NKT %lymphocyte	3668	0	0.982	21.462
Relative count	TBNK	TB_Trait552	CD8dim NKT %T cell	3668	0	1.373	24.975
Relative count	TBNK	TB_Trait529	DN (CD4-CD8-) %leukocyte	3668	0.225	3.559	30.377
Relative count	TBNK	TB_ry_Trait528	DN (CD4-CD8-) %T cell	3668	0.24	5.02	38.606
Relative count	TBNK	TB_Trait556	DN (CD4-CD8-) NKT %lymphocyte	3668	0	1.34	26.206
Relative count	TBNK	TB_Trait555	DN (CD4-CD8-) NKT %T cell	3668	0	1.865	35.049
Relative count	TBNK	TB_Trait520	DP (CD4+CD8+) %leukocyte	3668	0	0.344	27.414
Relative count	TBNK	TB_ry_Trait519	DP (CD4+CD8+) %T cell	3668	0	0.493	36.676
Relative count	TBNK	TB_Trait576	Granulocyte %leukocyte	3669	23.31	55.565	88.141
Relative count	TBNK	TB_Trait544	HLA DR+ CD4+ %lymphocyte	3595	0.244	1.392	9.04
Relative count	TBNK	TB_Trait543	HLA DR+ CD4+ %T cell	3595	0.34	2.012	12.287
Relative count	TBNK	TB_Trait547	HLA DR+ CD8br %lymphocyte	3595	0.076	1.599	30.924
Relative count	TBNK	TB_Trait546	HLA DR+ CD8br %T cell	3595	0.128	2.269	38.614
Relative count	TBNK	TB_Trait571	HLA DR+ NK  %CD3- lymphocyte	3596	0	3.55	26.336
Relative count	TBNK	TB_Trait570	HLA DR+ NK %NK	3596	0	7.202	61.138
Relative count	TBNK	TB_Trait538	HLA DR+ T cell%lymphocyte	3596	0.53	3.492	35.471
Relative count	TBNK	TB_Trait537	HLA DR+ T cell%T cell	3596	0.661	4.996	44.292
Relative count	TBNK	f_MONO_Trait504	HLA DR++ monocyte %leukocyte	3595	0.037	0.489	3.455
Relative count	TBNK	f_MONO_Trait503	HLA DR++ monocyte %monocyte	3595	0.713	9.398	35.441
Relative count	TBNK	TB_Trait508	Lymphocyte %leukocyte	3669	9.151	36.804	69.522
Relative count	TBNK	TB_Trait567	NK %CD3- lymphocyte	3669	6.104	51.031	96.033
Relative count	TBNK	TB_Trait568	NK %lymphocyte	3669	1.249	15.613	65.358
Relative count	TBNK	TB_Trait541	NKT %lymphocyte	3669	0.075	7.161	78.042
Relative count	TBNK	TB_Trait540	NKT %T cell	3669	0.119	10.043	83.34
Relative count	TBNK	TB_Trait511	T cell %leukocyte	3669	5.668	25.962	55.533
Relative count	TBNK	TB_Trait510	T cell %lymphocyte	3669	22.093	70.276	93.643
Relative count	TBNK	RATIO_CD3_B	T/B	3728	400	3013.34	11236
Relative count	TBNK	TB_Trait535	TCRgd %lymphocyte	3666	0.082	1.352	24.887
Relative count	TBNK	TB_Trait534	TCRgd %T cell	3666	0.134	1.907	30.624
Absolute count	Treg	f_Treg_Trait521	Activated & resting Treg AC	3405	2.522	30.658	258.392
Absolute count	Treg	f_Treg_Trait527	Activated & secreting Treg AC	3405	4.743	64.638	230.559
Absolute count	Treg	f_Treg_Trait509	Activated Treg AC	3405	1.921	13.679	71.429
Absolute count	Treg	Treg_Trait599	CD127- CD8br AC	3371	13.1	138.851	1937.321
Absolute count	Treg	Treg_Trait596	CD25++ CD8br AC	3130	1.739	28.738	351.225
Absolute count	Treg	f_Treg_Trait533	CD25hi AC	3405	15.442	173.305	859.514
Absolute count	Treg	f_Treg_Trait539	CD25hi CD45RA- CD4 not Treg AC	3405	5.813	85.238	443.784
Absolute count	Treg	f_Treg_Trait536	CD25hi CD45RA+ CD4 not Treg AC	3405	0	8.294	200.216
Absolute count	Treg	Treg_Trait590	CD28- CD127- CD25++ CD8br AC	3130	0	0.733	19.238
Absolute count	Treg	Treg_Trait593	CD28- CD25++ CD8br AC	3130	0	2.273	33.8
Absolute count	Treg	Treg_Trait602	CD28- CD8br AC	3408	5.26	190.563	3593.967
Absolute count	Treg	Treg_Trait576	CD28- CD8dim AC	3408	0.413	35.391	729.492
Absolute count	Treg	Treg_Trait506	CD28- DN (CD4-CD8-) AC	3408	0.268	44.118	1131.085
Absolute count	Treg	Treg_Trait608	CD28+ CD45RA- CD8br AC	3408	8.79	148.52	1168.837
Absolute count	Treg	Treg_Trait582	CD28+ CD45RA- CD8dim AC	3408	0.666	26.085	275.746
Absolute count	Treg	Treg_Trait605	CD28+ CD45RA+ CD8br AC	3408	0	145.407	953.016
Absolute count	Treg	Treg_Trait579	CD28+ CD45RA+ CD8dim AC	3408	0	4.648	77.166
Absolute count	Treg	Treg_Trait509	CD28+ DN (CD4-CD8-) AC	3408	2.489	46.616	761.032
Absolute count	Treg	f_Treg_Trait512	CD39+ activated Treg AC	3405	0.241	8.204	51.685
Absolute count	Treg	Treg_Trait514	CD39+ CD4+ AC	3408	0.039	55.098	312.669
Absolute count	Treg	Treg_Trait587	CD39+ CD8br AC	3408	0	10.02	156.736
Absolute count	Treg	f_Treg_Trait506	CD39+ resting Treg AC	3405	0	0.621	20.376
Absolute count	Treg	f_Treg_Trait518	CD39+ secreting Treg AC	3405	0.447	13.644	85.695
Absolute count	Treg	f_Treg_Trait542	CD4 Treg AC	3405	9.447	80.616	390.32
Absolute count	Treg	Treg_Trait700	CD45RA- CD28- CD8br AC	3408	1.388	78.313	1571.874
Absolute count	Treg	Treg_Trait706	CD45RA+ CD28- CD8br AC	3408	0.914	110.246	3079.812
Absolute count	Treg	f_Treg_Trait503	Resting Treg AC	3405	0.019	16.987	186.963
Absolute count	Treg	f_Treg_Trait515	Secreting Treg AC	3405	2.437	51.503	190.023
Relative count	Treg	f_Treg_Trait523	Activated & resting Treg %CD4+	3437	0.4	2.879	12.7
Relative count	Treg	f_Treg_Trait522	Activated & resting Treg %CD4 Treg	3437	11.8	37.363	87.9
Relative count	Treg	f_Treg_Trait529	Activated & secreting Treg %CD4+	3437	0.9	6.23	19.716
Relative count	Treg	f_Treg_Trait528	Activated & secreting Treg %CD4 Treg	3437	10.9	81.004	100
Relative count	Treg	f_Treg_Trait511	Activated Treg %CD4	3437	0.2	1.335	7.2
Relative count	Treg	f_Treg_Trait510	Activated Treg %CD4 Treg	3437	4.209	17.129	42.5
Relative count	Treg	Treg_Trait598	CD127- CD8br %CD8br	3403	7.154	27.891	57.091
Relative count	Treg	Treg_Trait597	CD127- CD8br %T cell	3403	1.024	7.831	36.834
Relative count	Treg	Treg_Trait595	CD25++ CD8br %CD8br	3162	0.412	6.481	43.858
Relative count	Treg	Treg_Trait594	CD25++ CD8br %T cell	3162	0.134	1.686	13.318
Relative count	Treg	f_Treg_Trait534	CD25hi %CD4+	3437	3.335	16.561	46.3
Relative count	Treg	f_Treg_Trait535	CD25hi %T cell	3437	1.038	10.342	37.4
Relative count	Treg	f_Treg_Trait540	CD25hi CD45RA- CD4 not Treg %CD4+	3437	1.2	8.199	32.8
Relative count	Treg	f_Treg_Trait541	CD25hi CD45RA- CD4 not Treg %T cell	3437	0.5	5.116	24.3
Relative count	Treg	f_Treg_Trait537	CD25hi CD45RA+ CD4 not Treg %CD4+	3437	0	0.761	14.7
Relative count	Treg	f_Treg_Trait538	CD25hi CD45RA+ CD4 not Treg %T cell	3437	0	0.488	8.6
Relative count	Treg	Treg_Trait589	CD28- CD127- CD25++ CD8br %CD8br	3162	0	0.142	1.848
Relative count	Treg	Treg_Trait588	CD28- CD127- CD25++ CD8br %T cell	3162	0	0.04	0.763
Relative count	Treg	Treg_Trait592	CD28- CD25++ CD8br %CD8br	3162	0	0.462	4.267
Relative count	Treg	Treg_Trait591	CD28- CD25++ CD8br %T cell	3162	0	0.126	1.145
Relative count	Treg	Treg_Trait601	CD28- CD8br %CD8br	3440	1.561	35.715	96.997
Relative count	Treg	Treg_Trait600	CD28- CD8br %T cell	3440	0.436	10.638	75.073
Relative count	Treg	Treg_Trait575	CD28- CD8dim %CD8dim	3440	2.172	46.435	98.287
Relative count	Treg	Treg_Trait574	CD28- CD8dim %T cell	3440	0.047	2.021	28.561
Relative count	Treg	Treg_Trait505	CD28- DN (CD4-CD8-) %DN	3440	1.365	40.055	98.485
Relative count	Treg	Treg_Trait611	CD28- DN (CD4-CD8-) %T cell	3440	0.017	2.436	33.924
Relative count	Treg	Treg_Trait607	CD28+ CD45RA- CD8br %CD8br	3440	2.261	33.407	83.012
