Supplementary Table 8. Pharmacological implication of the coincident associations.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13
15	FCGR2A	CD64 on monocyte (especially CD14+)	pQTL	CD14, HLA DR	CD64	pQTL	Kawasaki disease	decrease	not tested	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD64 on monocyte (especially CD14+)	pQTL	CD14, HLA DR	CD64	pQTL	 Ankylosing Spondylitis	decrease	not tested	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD64 on monocyte (especially CD14+)	pQTL	CD14, HLA DR	CD64	pQTL	Systemic lupus erythematosus 	increase	yes	inhibition	CRO, IBD, KD, AS, UC	LY9(+):::FCGR2A	LY9(+):::FCGR2A
15	FCGR2A	CD64 on monocyte (especially CD14+)	pQTL	CD14, HLA DR	CD64	pQTL	Ulcerative colitis	decrease	yes	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD27 on memory B cell (especially IgD-CD27+)	pQTL	CD27, CD19/CD20	CD27 	pQTL	 Ankylosing Spondylitis	increase	not tested	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD27 on memory B cell (especially IgD-CD27+)	pQTL	CD27, CD19/CD20	CD27 	pQTL	Ulcerative colitis	increase	yes	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD27 on memory B cell (especially IgD-CD27+)	pQTL	CD27, CD19/CD20	CD27	pQTL	Crohn's Disease	increase	yes	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD27 on memory B cell (especially IgD-CD27+)	pQTL	CD27, CD19/CD20	CD27	pQTL	Inflammatory bowel disease	increase	yes	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD27 on memory B cell (especially IgD-CD27+)	pQTL	CD27, CD19/CD20	CD27	pQTL	Kawasaki disease	increase	not tested	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD27 on memory B cell (especially IgD-CD27+)	pQTL	CD27, CD19/CD20	CD27	pQTL	Systemic lupus erythematosus	decrease	yes	activation	CRO, IBD, KD, AS, UC	LY9(+):::FCGR2A	LY9(+):::FCGR2A
15	FCGR2A	CD11c on monocyte 	pQTL	CD14 or CD16, HLA DR	CD11c	pQTL	Crohn's Disease	decrease	yes	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD11c on monocyte 	pQTL	CD14 or CD16, HLA DR	CD11c	pQTL	Inflammatory bowel disease	decrease	yes	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD11c on monocyte 	pQTL	CD14 or CD16, HLA DR	CD11c	pQTL	Kawasaki disease	decrease	not tested	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD11c on monocyte 	pQTL	CD14 or CD16, HLA DR	CD11c	pQTL	 Ankylosing Spondylitis	decrease	not tested	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD11c on monocyte 	pQTL	CD14 or CD16, HLA DR	CD11c	pQTL	Systemic lupus erythematosus 	increase	yes	inhibition	CRO, IBD, KD, AS, UC	LY9(+):::FCGR2A	LY9(+):::FCGR2A
15	FCGR2A	CD11c on monocyte 	pQTL	CD14 or CD16, HLA DR	CD11c	pQTL	Ulcerative colitis	decrease	yes	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CCR2 on monocyte 	pQTL	CD14 or CD16, HLA DR	CCR2	pQTL	Crohn's Disease	decrease	yes	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CCR2 on monocyte 	pQTL	CD14 or CD16, HLA DR	CCR2	pQTL	Inflammatory bowel disease	decrease	yes	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CCR2 on monocyte 	pQTL	CD14 or CD16, HLA DR	CCR2	pQTL	Kawasaki disease	decrease	not tested	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CCR2 on monocyte 	pQTL	CD14 or CD16, HLA DR	CCR2	pQTL	 Ankylosing Spondylitis	decrease	not tested	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CCR2 on monocyte 	pQTL	CD14 or CD16, HLA DR	CCR2	pQTL	Systemic lupus erythematosus 	increase	yes	inhibition	CRO, IBD, KD, AS, UC, BD, CEL	LY9(+):::FCGR2A	LY9(+):::FCGR2A
15	FCGR2A	CCR2 on monocyte 	pQTL	CD14 or CD16, HLA DR	CCR2	pQTL	Ulcerative colitis	decrease	yes	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	HSPA6,  FCGR3A	CCR2 on myeloid DC	pQTL	CD33, CD11c, CD141 or CD1c	CCR2	pQTL	Ulcerative colitis	decrease	?	activation		FCGR2B(-):::HSPA7(+):::FCGR2C(+)	
15	FCGR2A	CD11c on granulocyte 	pQTL	CD66b	CD11c	pQTL	Crohn's Disease	decrease	yes	activation	SLE, Allergy	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD11c on granulocyte 	pQTL	CD66b	CD11c	pQTL	Inflammatory bowel disease	decrease	yes	activation	SLE, Allergy	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD11c on granulocyte 	pQTL	CD66b	CD11c	pQTL	Kawasaki disease	decrease	not tested	activation	SLE, Allergy	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD11c on granulocyte 	pQTL	CD66b	CD11c	pQTL	 Ankylosing Spondylitis	decrease	not tested	activation	SLE, Allergy	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD11c on granulocyte 	pQTL	CD66b	CD11c	pQTL	Systemic lupus erythematosus 	increase	yes	inhibition	CRO, IBD, KD, AS, UC	LY9(+):::FCGR2A	LY9(+):::FCGR2A
15	FCGR2A	CD11c on granulocyte 	pQTL	CD66b	CD11c	pQTL	Ulcerative colitis	decrease	yes	activation	SLE, Allergy	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	BAFF-R on B cells (especially naïve IgD+CD24-)	pQTL	IgD+, CD19/CD20	BAFF-R	pQTL	Systemic lupus erythematosus 	decrease	yes	activation	CRO, IBD, KD, AS, UC	LY9(+):::FCGR2A	LY9(+):::FCGR2A
15	FCGR2A	BAFF-R on B cells (especially naïve IgD+CD24-)	pQTL	IgD+, CD19/CD20	BAFF-R	pQTL	Crohn's Disease	increase	yes	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	BAFF-R on B cells (especially naïve IgD+CD24-)	pQTL	IgD+, CD19/CD20	BAFF-R	pQTL	Inflammatory bowel disease	increase	yes	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	BAFF-R on B cells (especially naïve IgD+CD24-)	pQTL	IgD+, CD19/CD20	BAFF-R	pQTL	Kawasaki disease	increase	not tested	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	BAFF-R on B cells (especially naïve IgD+CD24-)	pQTL	IgD+, CD19/CD20	BAFF-R	pQTL	 Ankylosing Spondylitis	increase	not tested	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	BAFF-R on B cells (especially naïve IgD+CD24-)	pQTL	IgD+, CD19/CD20	BAFF-R	pQTL	Ulcerative colitis	increase	yes	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD14 on CD14+ CD16+ monocyte	pQTL	CD14, CD16, HLA DR	CD14	pQTL	Systemic lupus erythematosus 	increase	yes	inhibition	CRO, IBD,  KD, AS, UC	LY9(+):::FCGR2A	LY9(+):::FCGR2A
15	FCGR2A	CD14 on CD14+ CD16+ monocyte	pQTL	CD14, CD16, HLA DR	CD14	pQTL	Crohn's Disease	decrease	yes	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD14 on CD14+ CD16+ monocyte	pQTL	CD14, CD16, HLA DR	CD14	pQTL	Inflammatory bowel disease	decrease	yes	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD14 on CD14+ CD16+ monocyte	pQTL	CD14, CD16, HLA DR	CD14	pQTL	Kawasaki disease	decrease	not tested	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD14 on CD14+ CD16+ monocyte	pQTL	CD14, CD16, HLA DR	CD14	pQTL	 Ankylosing Spondylitis	decrease	not tested	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD14 on CD14+ CD16+ monocyte	pQTL	CD14, CD16, HLA DR	CD14	pQTL	Ulcerative colitis	decrease	yes	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD33 on CD33dim HLA DR+ 	pQTL	CD33, HLA DR	CD33	pQTL	Systemic lupus erythematosus 	decrease	yes	activation	CRO, IBD, KD, AS, UC	LY9(+):::FCGR2A	LY9(+):::FCGR2A
15	FCGR2A	CD33 on CD33dim HLA DR+ 	pQTL	CD33, HLA DR	CD33	pQTL	Crohn's Disease	increase	yes	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD33 on CD33dim HLA DR+ 	pQTL	CD33, HLA DR	CD33	pQTL	Inflammatory bowel disease	increase	yes	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD33 on CD33dim HLA DR+ 	pQTL	CD33, HLA DR	CD33	pQTL	Kawasaki disease	increase	not tested	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD33 on CD33dim HLA DR+ 	pQTL	CD33, HLA DR	CD33	pQTL	 Ankylosing Spondylitis	increase	not tested	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD33 on CD33dim HLA DR+ 	pQTL	CD33, HLA DR	CD33	pQTL	Ulcerative colitis	increase	yes	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	PDL-1 on CD14+ CD16+ monocyte	pQTL	CD14, CD16, HLA DR	PDL-1	pQTL	Systemic lupus erythematosus 	increase	yes	inhibition	CRO, IBD,  KD, AS, UC	LY9(+):::FCGR2A	LY9(+):::FCGR2A
15	FCGR2A	PDL-1 on CD14+ CD16+ monocyte	pQTL	CD14, CD16, HLA DR	PDL-1	pQTL	Crohn's Disease	decrease	yes	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	PDL-1 on CD14+ CD16+ monocyte	pQTL	CD14, CD16, HLA DR	PDL-1	pQTL	Inflammatory bowel disease	decrease	yes	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	PDL-1 on CD14+ CD16+ monocyte	pQTL	CD14, CD16, HLA DR	PDL-1	pQTL	Kawasaki disease	decrease	not tested	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	PDL-1 on CD14+ CD16+ monocyte	pQTL	CD14, CD16, HLA DR	PDL-1	pQTL	 Ankylosing Spondylitis	decrease	not tested	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	PDL-1 on CD14+ CD16+ monocyte	pQTL	CD14, CD16, HLA DR	PDL-1	pQTL	Ulcerative colitis	decrease	yes	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD33dim HLA DR+ CD11b+ %CD33dim HLA DR+	RC, AC	CD33, HLA DR, CD11b	CD33, HLA DR, CD11b	Count	Systemic lupus erythematosus 	increase	yes	inhibition	CRO, IBD,  AS, UC, KD	LY9(+):::FCGR2A	LY9(+):::FCGR2A
15	FCGR2A	CD33dim HLA DR+ CD11b+ %CD33dim HLA DR+	RC, AC	CD33, HLA DR, CD11b	CD33, HLA DR, CD11b	Count	Crohn's Disease	decrease	yes	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD33dim HLA DR+ CD11b+ %CD33dim HLA DR+	RC, AC	CD33, HLA DR, CD11b	CD33, HLA DR, CD11b	Count	Inflammatory bowel disease	decrease	yes	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD33dim HLA DR+ CD11b+ %CD33dim HLA DR+	RC, AC	CD33, HLA DR, CD11b	CD33, HLA DR, CD11b	Count	Kawasaki disease	decrease	not tested	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD33dim HLA DR+ CD11b+ %CD33dim HLA DR+	RC, AC	CD33, HLA DR, CD11b	CD33, HLA DR, CD11b	Count	 Ankylosing Spondylitis	decrease	not tested	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD33dim HLA DR+ CD11b+ %CD33dim HLA DR+	RC, AC	CD33, HLA DR, CD11b	CD33, HLA DR, CD11b	Count	Ulcerative colitis	decrease	yes	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD14  on CD33dim HLA DR+ CD11b+ 	pQTL	CD33, HLA DR, CD11b	CD14	pQTL	Systemic lupus erythematosus 	decrease	yes	activation	CRO, IBD, KD, AS, UC	LY9(+):::FCGR2A	LY9(+):::FCGR2A
15	FCGR2A	CD14  on CD33dim HLA DR+ CD11b+ 	pQTL	CD33, HLA DR, CD11b	CD14	pQTL	Crohn's Disease	increase	yes	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD14  on CD33dim HLA DR+ CD11b+ 	pQTL	CD33, HLA DR, CD11b	CD14	pQTL	Inflammatory bowel disease	increase	yes	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD14  on CD33dim HLA DR+ CD11b+ 	pQTL	CD33, HLA DR, CD11b	CD14	pQTL	Kawasaki disease	increase	not tested	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD14  on CD33dim HLA DR+ CD11b+ 	pQTL	CD33, HLA DR, CD11b	CD14	pQTL	 Ankylosing Spondylitis	increase	not tested	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD14  on CD33dim HLA DR+ CD11b+ 	pQTL	CD33, HLA DR, CD11b	CD14	pQTL	Ulcerative colitis	increase	yes	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCER1G,NDUFS2	CD45 on granulocyte	pQTL	CD66b	CD45	pQTL	Allergic disease (asthma, hay fever or eczema, mainly hay fever)	increase	?	inhibition		ADAMTS4(+):::FCER1G(+):::NR1I3,TOMM40L(+):::TOMM40L(+):::AL590714.1(+):::UFC1:::NR1I3(+):::PPOX(+):::NIT1:::B4GALT3(+):::APOA2(+)	ADAMTS4(+):::FCER1G(+):::NR1I3,TOMM40L(+):::AL590714.1(+):::UFC1:::NR1I3(+):::PPOX(+):::NIT1:::B4GALT3(+):::APOA2(+)
15	ADAMTS4	CD11c on granulocyte 	pQTL	CD66b	CD11c	pQTL	Allergic disease (asthma, hay fever or eczema, mainly hay fever)	increase	yes	inhibition	CRO, IBD, KD, AS, UC	ADAMTS4(+):::FCER1G(+):::NR1I3,TOMM40L(+):::UFC1:::PPOX(+):::NIT1:::B4GALT3(+)	ADAMTS4(+):::FCER1G(+):::NR1I3,TOMM40L(+):::UFC1:::PPOX(+):::NIT1:::B4GALT3(+)
16	CD247	CD3 on T cell (especially Naive CD4+)	pQTL	CD45RA, CD4, CD3	CD3	pQTL	Systemic sclerosis	decrease	not tested	activation		CD247(-):::RP11-104L21.2(-):::RP11-104L21.3(-)	CD247(-):::RP11-104L21.3(-)
16	CD247	CD3 on CD39+ CD4+	pQTL	CD3, CD39, CD4	CD3	pQTL	Systemic sclerosis	decrease	not tested	activation		CD247(-):::RP11-104L21.2(-):::RP11-104L21.3(-)	CD247(-):::RP11-104L21.3(-)
16	CD247	CD3 on T cell (especially Naive CD4+)	pQTL	CD45RA, CD4, CD3	CD3	pQTL	Allergic disease (asthma, hay fever or eczema)	decrease	yes	activation		CD247(-):::RP11-104L21.2(-):::RP11-104L21.3(-)	CD247(-):::RP11-104L21.3(-)
16	CD247	CD3 on CD39+ CD4+	pQTL	CD3, CD39, CD4	CD3	pQTL	Allergic disease (asthma, hay fever or eczema)	decrease	yes	activation		CD247(-):::RP11-104L21.2(-):::RP11-104L21.3(-)	CD247(-):::RP11-104L21.3(-)
16	CD247	CD3 on T cell (especially Naive CD4+)	pQTL	CD45RA, CD4, CD3	CD3	pQTL	Asthma	decrease	not tested	activation		CD247(-):::RP11-104L21.2(-):::RP11-104L21.3(-)	CD247(-):::RP11-104L21.3(-)
16	CD247	CD3 on CD39+ CD4+	pQTL	CD3, CD39, CD4	CD3	pQTL	Asthma	decrease	not tested	activation		CD247(-):::RP11-104L21.2(-):::RP11-104L21.3(-)	CD247(-):::RP11-104L21.3(-)
35	ACOXL	Naive CD8br AC	AC	CD45RA, CD8	CD45RA, CD8	Count	Type 1 diabetes	increase	no	inhibition		BCL2L11(+)	BCL2L11(+)
39	LCT-AS1 	Plasmacytoid DC AC	AC	CD123/CLEC4C	CD123/CLEC4C	Count	Systemic lupus erythematosus	increase	uncertain	inhibition		LCT:::DARS:::AC011893.3(-):::R3HDM1(-):::MCM6(+,-):::AC093391.2(+):::UBXN4:::LCT,AC011893.3(-)	LCT:::DARS:::AC011893.3(-):::R3HDM1(-):::MCM6(-):::AC093391.2(+):::UBXN4
43	ITGA4	CD14+ CD16- monocyte AC	AC	CD14, HLA DR	CD14, HLA DR	Count	Inflammatory bowel disease	decrease	no data	activation		ITGA4///CERKL(+):::CERKL(+,-):::ITGA4(+,-)	ITGA4///CERKL(+):::CERKL(+,-):::ITGA4(+,-)
45	CD28,CTLA4	CD28 on CD39+ CD4+  	pQTL	CD39, CD4, CD3	CD28	pQTL	Ulcerative colitis	decrease	yes	activation	MS	ICOS(-):::CD28(-):::KRT18P39(-)	KRT18P39(-):::CD28(-)
45	CD28,CTLA4	CD28 on CD39+ CD4+  	pQTL	CD39, CD4, CD3	CD28	pQTL	Multiple sclerosis	increase	no	inhibition	UC, CEL	ICOS(+):::CD28(+):::KRT18P39(+)	KRT18P39(+):::CD28(+)
45	CD28,CTLA4	CD28 on CD39+ CD4+  	pQTL	CD39, CD4, CD3	CD28	pQTL	Celiac Disease	decrease	not tested	activation	MS	ICOS(-):::CD28(-):::KRT18P39(-)	KRT18P39(-):::CD28(-)
45	CD28,CTLA4	CD28 on CD4+	pQTL	CD4, CD3, CD28	CD28	pQTL	Celiac Disease	decrease	not tested	activation	MS		
45	CD28,CTLA4	CD28 on CD4+	pQTL	CD4, CD3, CD28	CD28	pQTL	Ulcerative colitis	decrease	yes	activation	MS		
