Supplementary Table 2. Heritability of immunophenotypes.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12
Relative count	B cell	BC_Trait25	Memory B cell %B cell	3755	0.6438	0.0889	0.4866908650937689	0.05011090945755193	L	A	B cell	Memory
Absolute count	B cell	BC_Trait26	Memory B cell AC	3754	0.5904	0.086	0.41112828438949	0.05007727975270479	L	A	B cell	Memory
Relative count	B cell	BC_Trait27	Naive-mature B cell %B cell	3755	0.6682	0.0922	0.48088915711124525	0.0503922751961376	L	A	B cell	 Naive
Absolute count	B cell	BC_Trait28	Naive-mature B cell AC	3754	0.688	0.0928	0.5131152680530882	0.05026648552617828	L	A	B cell	 Naive
Relative count	B cell	BC_Trait3	IgD- CD38br %B cell	3755	0.3847	0.0641	0.2838495804413136	0.04827514762250078	L	A	B cell	Memory
Relative count	B cell	BC_Trait31	IgD+ CD24+ %B cell	3755	0.6514	0.09	0.4849427825737804	0.050190724754065455	L	A	B cell	Memory
Absolute count	B cell	BC_Trait32	IgD+ CD24+ AC	3754	0.6491	0.0931	0.42159303049159924	0.05050819332088779	L	A	B cell	Memory
Relative count	B cell	BC_Trait33	IgD- CD24- %B cell	3755	0.5461	0.0843	0.30891817346000616	0.04974971907242824	L	A	B cell	Memory
Absolute count	B cell	BC_Trait34	IgD- CD24- AC	3754	0.7191	0.1055	0.34529914529914524	0.05108094519859225	L	A	B cell	Memory
Relative count	B cell	BC_Trait35	IgD+ CD24- %B cell	3755	0.6934	0.0972	0.44654844203987576	0.05069632301372608	L	A	B cell	 Naive
Absolute count	B cell	BC_Trait36	IgD+ CD24- AC	3754	0.665	0.0907	0.5014203051025776	0.05018411362440821	L	A	B cell	 Naive
Relative count	B cell	BC_Trait37	CD24+ CD27+ %B cell	3755	0.6488	0.0919	0.4423501102867455	0.050431120914377375	L	A	B cell	Memory
Absolute count	B cell	BC_Trait38	CD24+ CD27+ AC	3754	0.6657	0.097	0.3848525331415066	0.05076559449183024	L	A	B cell	Memory
Relative count	B cell	BC_Trait39	CD20- %B cell	3756	0.2323	0.0495	0.1947261663286004	0.046247464503042596	L	A	B cell	
Absolute count	B cell	BC_Trait4	IgD- CD38br AC	3754	0.3912	0.0643	0.3075381360650262	0.04843558623761274	L	A	B cell	Memory
Absolute count	B cell	BC_Trait40	CD20- AC	3755	0.419	0.0706	0.17812061711079946	0.04778601482668804	L	A	B cell	
Relative count	B cell	BC_Trait43	CD20- CD38- %B cell	3757	0.416	0.07	0.18737527570633336	0.04789412876798656	L	A	B cell	
Absolute count	B cell	BC_Trait44	CD20- CD38- AC	3756	0.4194	0.0699	0.21139292288811617	0.048169359787277564	L	A	B cell	
Relative count	B cell	BC_Trait46	IgD+ %Lymphocyte	3755	0.6172	0.0864	0.47208015864732283	0.04999478133806492	L	A	B cell	BOTH
Relative count	B cell	BC_Trait47	IgD- CD38br %lymphocyte	3754	0.3431	0.0595	0.2755281690140845	0.047865316901408446	L	A	B cell	Memory
Relative count	B cell	BC_Trait48	IgD- CD38dim %lymphocyte	3754	0.6886	0.0941	0.4914646080243558	0.050451234098075455	L	A	B cell	Memory
Relative count	B cell	BC_Trait49	IgD- CD38- %lymphocyte	3754	0.618	0.0917	0.36517134578879	0.05035468078729143	L	A	B cell	Memory
Relative count	B cell	BC_Trait5	IgD- CD38dim %B cell	3755	0.7248	0.1039	0.3892190595349807	0.051089563132103014	L	A	B cell	Memory
Relative count	B cell	BC_Trait50	IgD+ CD38br %lymphocyte	3754	0.4832	0.073	0.390815671162492	0.04934703489616785	L	A	B cell	 Naive
Relative count	B cell	BC_Trait51	IgD+ CD38dim %lymphocyte	3754	0.5919	0.0834	0.46927672285043737	0.04981864732238105	L	A	B cell	 Naive
Relative count	B cell	BC_Trait52	IgD+ CD38- %lymphocyte	3754	0.5194	0.0777	0.3890251379521766	0.049560596770897206	L	A	B cell	BOTH
Relative count	B cell	BC_Trait54	Unsw Mem %lymphocyte	3754	0.6735	0.0955	0.43408228172771113	0.050682261208577	L	A	B cell	Memory
Relative count	B cell	BC_Trait55	IgD- CD27- %lymphocyte	3754	0.7141	0.0976	0.48314835556460645	0.05060584461867427	L	A	B cell	Memory
Relative count	B cell	BC_Trait56	Sw mem %lymphocyte	3754	0.651	0.0936	0.4147831398900428	0.050498880065159846	L	A	B cell	Memory
Relative count	B cell	BC_Trait57	PB/PC %lymphocyte	3755	0.3961	0.0663	0.24490648835022466	0.04816633580608087	L	A	B cell	Memory
Relative count	B cell	BC_Trait58	Memory B cell %lymphocyte	3754	0.5865	0.0824	0.47568451164691455	0.04975480179812014	L	A	B cell	Memory
Relative count	B cell	BC_Trait59	Naive-mature B cell %lymphocyte	3754	0.6931	0.0923	0.5306606204266722	0.050190662681644856	L	A	B cell	 Naive
Absolute count	B cell	BC_Trait6	IgD- CD38dim AC	3754	0.7308	0.1024	0.4300936390054892	0.05101711333548595	L	A	B cell	Memory
Relative count	B cell	BC_Trait61	IgD+ CD24+ %lymphocyte	3754	0.6139	0.0864	0.46357751977807454	0.05003596013562108	L	A	B cell	Memory
Relative count	B cell	BC_Trait62	IgD- CD24- %lymphocyte	3754	0.6661	0.0983	0.3601130399677029	0.05076705692369802	L	A	B cell	Memory
Relative count	B cell	BC_Trait63	IgD+ CD24- %lymphocyte	3754	0.6675	0.0906	0.508960944784005	0.0501398528954729	L	A	B cell	 Naive
Relative count	B cell	BC_Trait64	CD24+ CD27+ %lymphocyte	3754	0.6462	0.0919	0.4366901336598306	0.0504030200999898	L	A	B cell	Memory
Relative count	B cell	BC_Trait65	CD20- %lymphocyte	3755	0.2931	0.0556	0.13638182909745847	0.04602761656994196	L	A	B cell	
Relative count	B cell	BC_Trait67	CD20- CD38- %lymphocyte	3756	0.443	0.0734	0.19583076607106184	0.04826453070445677	L	A	B cell	
Relative count	B cell	BC_Trait7	IgD- CD38- %B cell	3755	0.5999	0.0917	0.30695517774343123	0.05018031942297785	L	A	B cell	Memory
Absolute count	B cell	BC_Trait8	IgD- CD38- AC	3754	0.6098	0.0923	0.3274292004403082	0.05033523466426498	L	A	B cell	Memory
Relative count	B cell	BC_Trait9	IgD+ CD38br %B cell	3755	0.3321	0.0582	0.27930746766791825	0.04787234042553192	L	A	B cell	 Naive
MFI	B cell	Bcells.trait111	BAFF-R on CD20- CD38-	3689	0.3412	0.0626	0.0976621799413015	0.04685760550551564	L	A	B cell	
MFI	B cell	Bcells.trait112	BAFF-R on CD24+ CD27+	3755	0.7224	0.0971	0.505929648241206	0.05055276381909547	L	A	B cell	Memory
MFI	B cell	Bcells.trait137	BAFF-R on IgD+ CD24+	3755	0.6992	0.0953	0.4921355111917725	0.05051421657592256	L	A	B cell	Memory
MFI	B cell	Bcells.trait138	BAFF-R on IgD+ CD24-	3755	0.69	0.0937	0.500658494580083	0.050349508661736396	L	A	B cell	 Naive
MFI	B cell	Bcells.trait139	BAFF-R on IgD+ CD38-	3743	0.6782	0.0899	0.5448666127728375	0.05002021018593371	L	A	B cell	BOTH
MFI	B cell	Bcells.trait140	BAFF-R on IgD+ CD38- naive	1868	0.6907	0.1991	0.3684638034318205	0.09462889633465327	L	A	B cell	 Naive
MFI	B cell	Bcells.trait141	BAFF-R on IgD+ CD38- unsw mem	1868	0.6419	0.1827	0.4120024247322691	0.0937563144069509	L	A	B cell	Memory
MFI	B cell	Bcells.trait142	BAFF-R on IgD+ CD38br	3754	0.6889	0.0958	0.4621891048232806	0.050649481421810486	L	A	B cell	 Naive
MFI	B cell	Bcells.trait143	BAFF-R on IgD+ CD38dim	3755	0.6864	0.0935	0.49686488673139156	0.050364077669902904	L	A	B cell	 Naive
MFI	B cell	Bcells.trait147	BAFF-R on IgD- CD24-	3755	0.731	0.0983	0.5018170805572381	0.05067635776297194	L	A	B cell	Memory
MFI	B cell	Bcells.trait148	BAFF-R on IgD- CD27-	3755	0.6913	0.0946	0.48880065159845243	0.05049888006515984	L	A	B cell	Memory
MFI	B cell	Bcells.trait149	BAFF-R on IgD- CD38-	3755	0.7247	0.095	0.5436687821093986	0.0502669487256976	L	A	B cell	Memory
MFI	B cell	Bcells.trait150	BAFF-R on IgD- CD38br	3757	0.4228	0.0713	0.16182238760937342	0.047671728854470484	L	A	B cell	Memory
MFI	B cell	Bcells.trait151	BAFF-R on IgD- CD38dim	3755	0.685	0.0928	0.5073307893151235	0.050311307491464154	L	A	B cell	Memory
MFI	B cell	Bcells.trait154	BAFF-R on memory B cell	3755	0.7162	0.0961	0.5115295539220622	0.050448091833652196	L	A	B cell	Memory
MFI	B cell	Bcells.trait156	BAFF-R on naive-mature B cell	3755	0.7011	0.0949	0.5024754976255431	0.05041931898555117	L	A	B cell	 Naive
MFI	B cell	Bcells.trait157	BAFF-R on unsw mem	3755	0.7324	0.098	0.5089772039540045	0.050635464998991325	L	A	B cell	Memory
MFI	B cell	Bcells.trait159	BAFF-R on sw mem	3755	0.7037	0.0941	0.5217565670743934	0.050330860236615205	L	A	B cell	Memory
MFI	B cell	Bcells.trait160	BAFF-R on IgD+	3756	0.7071	0.0965	0.48629513502579136	0.050571457469404266	L	A	B cell	BOTH
MFI	B cell	Bcells.trait161	BAFF-R on transitional	3753	0.6563	0.0915	0.46857429718875504	0.050401606425702815	L	A	B cell	 Naive
MFI	B cell	Bcells.trait255	CD19 on CD20- 	3754	0.1716	0.0453	0.1716326530612245	0.045306122448979594	L	A	B cell	
MFI	B cell	Bcells.trait282	CD19 on CD20- CD38- 	3692	0.2614	0.0533	0.09775429326287978	0.04603190732649121	L	A	B cell	
MFI	B cell	Bcells.trait283	CD19 on CD24+ CD27+	3754	0.4814	0.0723	0.40319258496395466	0.049227600411946446	L	A	B cell	Memory
MFI	B cell	Bcells.trait308	CD19 on IgD+ CD24+	3754	0.5162	0.077	0.39616252821670433	0.049558793351118416	L	A	B cell	Memory
MFI	B cell	Bcells.trait309	CD19 on IgD+ CD24-	3754	0.4064	0.0643	0.3747260774287801	0.048627778357508096	L	A	B cell	 Naive
MFI	B cell	Bcells.trait310	CD19 on IgD+ CD38-	3743	0.359	0.0595	0.35898218829516537	0.04834605597964377	L	A	B cell	BOTH
MFI	B cell	Bcells.trait311	CD19 on IgD+ CD38- naive	1861	0.3694	0.1202	0.3284266666666667	0.09183999999999999	L	A	B cell	 Naive
MFI	B cell	Bcells.trait312	CD19 on IgD+ CD38- unsw mem	1864	0.6467	0.1881	0.36585621463005663	0.09463424858520228	L	A	B cell	Memory
MFI	B cell	Bcells.trait313	CD19 on IgD+ CD38br	3755	0.4005	0.0634	0.382818007855776	0.04854466713667036	L	A	B cell	 Naive
MFI	B cell	Bcells.trait314	CD19 on IgD+ CD38dim	3755	0.4409	0.0677	0.3953081592756456	0.04897623212264637	L	A	B cell	 Naive
MFI	B cell	Bcells.trait318	CD19 on IgD- CD24-	3753	0.3022	0.0548	0.30221550855991947	0.047633434038267884	L	A	B cell	Memory
MFI	B cell	Bcells.trait319	CD19 on IgD- CD27-	3754	0.3347	0.0581	0.2982201986754967	0.04790976821192053	L	A	B cell	Memory
MFI	B cell	Bcells.trait320	CD19 on IgD- CD38-	3755	0.3851	0.0624	0.3562744694003709	0.048526684525036064	L	A	B cell	Memory
MFI	B cell	Bcells.trait321	CD19 on IgD- CD38br	3756	0.3154	0.0577	0.18199175962214853	0.04692995678826248	L	A	B cell	Memory
MFI	B cell	Bcells.trait322	CD19 on IgD- CD38dim	3755	0.4271	0.065	0.42709912094574115	0.0487016267555825	L	A	B cell	Memory
MFI	B cell	Bcells.trait325	CD19 on memory B cell	3755	0.4284	0.0666	0.3820676846884028	0.04880313660751135	L	A	B cell	Memory
MFI	B cell	Bcells.trait327	CD19 on naive-mature B cell	3751	0.4103	0.0648	0.3734262823847675	0.048694204557278124	L	A	B cell	 Naive
MFI	B cell	Bcells.trait328	CD19 on unsw mem	3754	0.4439	0.0687	0.3754785307811692	0.049042938437661665	L	A	B cell	Memory
MFI	B cell	Bcells.trait329	CD19 on PB/PC	3755	0.1921	0.0466	0.19056206792906524	0.045786995291053	L	A	B cell	Memory
MFI	B cell	Bcells.trait331	CD19 on sw mem	3755	0.4406	0.0669	0.4179598593006415	0.048830953858886826	L	A	B cell	Memory
MFI	B cell	Bcells.trait332	CD19 on IgD+	3756	0.4219	0.0653	0.3981539099771832	0.04874507363617507	L	A	B cell	BOTH
MFI	B cell	Bcells.trait333	CD19 on transitional	3755	0.4685	0.0711	0.3938876043028049	0.04916055091987534	L	A	B cell	 Naive
MFI	B cell	Bcells.trait335	CD20 on B cell	3758	0.445	0.0671	0.425	0.04887755102040816	L	A	B cell	BOTH
MFI	B cell	Bcells.trait354	CD20 on CD20- CD38-	3703	0.2558	0.0527	0.09934771700953336	0.04586051179126944	L	A	B cell	
MFI	B cell	Bcells.trait355	CD20 on CD24+ CD27+	3755	0.4766	0.0689	0.4765815977314951	0.048890192627358955	L	A	B cell	Memory
MFI	B cell	Bcells.trait378	CD20 on IgD+ CD24+	3755	0.5563	0.0791	0.46583273028016126	0.04962266101519694	L	A	B cell	Memory
MFI	B cell	Bcells.trait379	CD20 on IgD+ CD24-	3755	0.5911	0.0864	0.40348896870189843	0.05017957927142124	L	A	B cell	 Naive
MFI	B cell	Bcells.trait380	CD20 on IgD+ CD38-	3743	0.4482	0.0683	0.40722941913915583	0.049101546176347675	L	A	B cell	BOTH
MFI	B cell	Bcells.trait381	CD20 on IgD+ CD38- naive	1865	0.6088	0.1825	0.2792764857881137	0.09447028423772609	L	A	B cell	 Naive
MFI	B cell	Bcells.trait382	CD20 on IgD+ CD38- unsw mem	1867	0.6644	0.2027	0.18911467374655366	0.09414888185438579	L	A	B cell	Memory
MFI	B cell	Bcells.trait383	CD20 on IgD+ CD38br	3755	0.62	0.0913	0.37953488372093025	0.050439276485788116	L	A	B cell	 Naive
MFI	B cell	Bcells.trait384	CD20 on IgD+ CD38dim	3755	0.6176	0.0872	0.45667376102158713	0.05016722408026757	L	A	B cell	 Naive
MFI	B cell	Bcells.trait388	CD20 on IgD- CD24-	3755	0.3757	0.0608	0.375633508893968	0.04839511080194773	L	A	B cell	Memory
MFI	B cell	Bcells.trait389	CD20 on IgD- CD27-	3755	0.36	0.0595	0.3600430486253791	0.04823402798160649	L	A	B cell	Memory
MFI	B cell	Bcells.trait390	CD20 on IgD- CD38-	3755	0.396	0.0625	0.39597701149425285	0.048563218390804595	L	A	B cell	Memory
MFI	B cell	Bcells.trait391	CD20 on IgD- CD38br	3757	0.3661	0.0643	0.1306179775280899	0.04664927768860353	L	A	B cell	Memory
MFI	B cell	Bcells.trait392	CD20 on IgD- CD38dim	3755	0.4957	0.0703	0.4957250341997264	0.04890560875512996	L	A	B cell	Memory
MFI	B cell	Bcells.trait395	CD20 on memory B cell	3755	0.4756	0.0694	0.4599711874871373	0.04898127186663923	L	A	B cell	Memory
MFI	B cell	Bcells.trait397	CD20 on naive-mature B cell	3755	0.4739	0.0713	0.4058697208303507	0.04918703343900194	L	A	B cell	 Naive
MFI	B cell	Bcells.trait398	CD20 on unsw mem	3755	0.5785	0.083	0.4420371701406715	0.04990245405072389	L	A	B cell	Memory
MFI	B cell	Bcells.trait399	CD20 on sw mem	3755	0.479	0.0691	0.478965819456617	0.04890446976336547	L	A	B cell	Memory
MFI	B cell	Bcells.trait400	CD20 on IgD+	3756	0.6505	0.0931	0.4233009708737864	0.050485436893203874	L	A	B cell	BOTH
MFI	B cell	Bcells.trait401	CD20 on transitional	3755	0.47	0.0721	0.37106279211542376	0.0491769965454176	L	A	B cell	 Naive
MFI	B cell	Bcells.trait418	CD24 on CD24+ CD27+	3752	0.6967	0.0882	0.6046275624112035	0.04942155469859955	L	A	B cell	Memory
MFI	B cell	Bcells.trait438	CD24 on IgD+ CD24+	3753	0.6894	0.0899	0.5642429773856606	0.04979211033363756	L	A	B cell	Memory
MFI	B cell	Bcells.trait439	CD24 on IgD+ CD38-	3736	0.534	0.0758	0.48173261815605706	0.04948891812569578	L	A	B cell	BOTH
MFI	B cell	Bcells.trait441	CD24 on IgD+ CD38- unsw mem	1863	0.4607	0.1347	0.46068256194483403	0.09163160355306217	L	A	B cell	Memory
MFI	B cell	Bcells.trait442	CD24 on IgD+ CD38br	3753	0.4149	0.0641	0.4148862853204686	0.04867332873880083	L	A	B cell	 Naive
MFI	B cell	Bcells.trait445	CD24 on IgD- CD38-	3746	0.447	0.0667	0.4469768641954073	0.048851810441214415	L	A	B cell	Memory
MFI	B cell	Bcells.trait446	CD24 on IgD- CD38dim	3747	0.5372	0.0734	0.5372444444444445	0.04897777777777778	L	A	B cell	Memory
MFI	B cell	Bcells.trait448	CD24 on memory B cell	3751	0.5681	0.0754	0.5680941749543332	0.048812664907651716	L	A	B cell	Memory
MFI	B cell	Bcells.trait449	CD24 on unsw mem	3753	0.5411	0.0736	0.5410878053209843	0.04885135748660674	L	A	B cell	Memory
MFI	B cell	Bcells.trait450	CD24 on sw mem	3750	0.5127	0.0717	0.5126693647721273	0.049005806792187225	L	A	B cell	Memory
MFI	B cell	Bcells.trait451	CD24 on transitional	3754	0.4162	0.0642	0.416229643941485	0.048670530867605116	L	A	B cell	 Naive
MFI	B cell	Bcells.trait453	CD25 on B cell	3758	0.5897	0.0805	0.5188698284561049	0.04944500504540868	L	A	B cell	BOTH
MFI	B cell	Bcells.trait470	CD25 on CD20- CD38-	3600	0.3365	0.0635	0.08371431474144063	0.047648074773951034	L	A	B cell	
MFI	B cell	Bcells.trait471	CD25 on CD24+ CD27+	3755	0.6564	0.0907	0.48351531856249336	0.0502491254107919	L	A	B cell	Memory
MFI	B cell	Bcells.trait490	CD25 on IgD+ CD24+	3755	0.619	0.0862	0.4798201589293183	0.04997908824759516	L	A	B cell	Memory
MFI	B cell	Bcells.trait491	CD25 on IgD+ CD24-	3755	0.5931	0.0845	0.4492342022517497	0.05000507150826655	L	A	B cell	 Naive
MFI	B cell	Bcells.trait492	CD25 on IgD+ CD38-	3740	0.6054	0.0867	0.4411430929536779	0.050242443000103165	L	A	B cell	BOTH
MFI	B cell	Bcells.trait493	CD25 on IgD+ CD38- naive	1866	0.5818	0.1607	0.5027893295466072	0.09199715995537074	L	A	B cell	 Naive
MFI	B cell	Bcells.trait494	CD25 on IgD+ CD38- unsw mem	1868	0.7818	0.2205	0.41333333333333333	0.09505376344086022	L	A	B cell	Memory
MFI	B cell	Bcells.trait495	CD25 on IgD+ CD38br	3754	0.4131	0.0642	0.40477914554670524	0.04872245784628117	L	A	B cell	 Naive
MFI	B cell	Bcells.trait496	CD25 on IgD+ CD38dim	3755	0.6411	0.086	0.532541997786943	0.04979378332159743	L	A	B cell	 Naive
MFI	B cell	Bcells.trait500	CD25 on IgD- CD24-	3746	0.4576	0.0736	0.2755277244722755	0.04898495101504899	L	A	B cell	Memory
MFI	B cell	Bcells.trait501	CD25 on IgD- CD27-	3749	0.5321	0.0811	0.345373165400229	0.04975538669719996	L	A	B cell	Memory
MFI	B cell	Bcells.trait502	CD25 on IgD- CD38-	3755	0.6351	0.0947	0.3499896544589282	0.05048624043037451	L	A	B cell	Memory
MFI	B cell	Bcells.trait503	CD25 on IgD- CD38br	3754	0.2568	0.0519	0.13839062030263555	0.04579617196111835	L	A	B cell	Memory
MFI	B cell	Bcells.trait504	CD25 on IgD- CD38dim	3755	0.5637	0.0804	0.4564609761341647	0.04966673833584176	L	A	B cell	Memory
MFI	B cell	Bcells.trait506	CD25 on memory B cell	3755	0.6011	0.0844	0.4706130632056558	0.04991030916956843	L	A	B cell	Memory
MFI	B cell	Bcells.trait508	CD25 on naive-mature B cell	3755	0.6167	0.0884	0.4304496186270574	0.05028101164191087	L	A	B cell	 Naive
MFI	B cell	Bcells.trait509	CD25 on unsw mem	3755	0.6446	0.0899	0.4709155816883662	0.05029399412011759	L	A	B cell	Memory
MFI	B cell	Bcells.trait510	CD25 on sw mem	3755	0.5646	0.0791	0.4862375719518577	0.049502878074306644	L	A	B cell	Memory
MFI	B cell	Bcells.trait511	CD25 on IgD+	3756	0.6154	0.0838	0.5169868554095045	0.04974721941354904	L	A	B cell	BOTH
MFI	B cell	Bcells.trait512	CD25 on transitional	3755	0.4836	0.0742	0.3602238046795524	0.04933875890132248	L	A	B cell	 Naive
MFI	B cell	Bcells.trait514	CD27 on CD20-	3732	0.2749	0.054	0.10365171396602585	0.04557013528633913	L	A	B cell	
MFI	B cell	Bcells.trait536	CD27 on CD20- CD38-	3689	0.119	0.0426	0.06346018676573954	0.04367908424540616	L	A	B cell	
MFI	B cell	Bcells.trait537	CD27 on CD24+ CD27+	3755	0.8636	0.109	0.4237686490905376	0.05160433272021256	L	A	B cell	Memory
MFI	B cell	Bcells.trait539	CD27 on T cell	1869	0.3192	0.1124	0.17830071275031112	0.09039484104536712	L	A		
MFI	B cell	Bcells.trait561	CD27 on IgD+ CD24+	3754	0.5442	0.0803	0.4043556804496186	0.049779205138498595	L	A	B cell	Memory
MFI	B cell	Bcells.trait563	CD27 on IgD+ CD38- unsw mem	1867	0.6657	0.1881	0.4292071197411003	0.09405339805825243	L	A	B cell	Memory
MFI	B cell	Bcells.trait565	CD27 on IgD- CD38-	3755	0.7158	0.1058	0.33213032581453633	0.05102756892230577	L	A	B cell	Memory
MFI	B cell	Bcells.trait566	CD27 on IgD- CD38br	3740	0.2793	0.0532	0.2793275100967409	0.047525124448201374	L	A	B cell	Memory
MFI	B cell	Bcells.trait567	CD27 on IgD- CD38dim	3755	0.6713	0.0913	0.5036246893123446	0.05022783761391881	L	A	B cell	Memory
MFI	B cell	Bcells.trait570	CD27 on memory B cell	3755	0.6365	0.092	0.409452786455709	0.050488763478786655	L	A	B cell	Memory
MFI	B cell	Bcells.trait571	CD27 on unsw mem	3754	0.6046	0.0897	0.37094017094017095	0.05037707390648567	L	A	B cell	Memory
MFI	B cell	Bcells.trait572	CD27 on PB/PC	3749	0.1504	0.0441	0.14731962918178154	0.044840790004030635	L	A	B cell	Memory
MFI	B cell	Bcells.trait574	CD27 on sw mem	3755	0.7569	0.1047	0.43817069501554506	0.051148330157456616	L	A	B cell	Memory
MFI	B cell	Bcells.trait597	CD38 on CD20-	3728	0.315	0.0573	0.2511607817730267	0.047835007018680493	L	A	B cell	
MFI	B cell	Bcells.trait619	CD38 on CD3- CD19-	1865	0.3635	0.1174	0.3634741225461035	0.09141384096767798	L	I		
MFI	B cell	Bcells.trait637	CD38 on IgD+ CD24-	3754	0.4398	0.0696	0.33040905845149443	0.04896460267265123	L	A	B cell	 Naive
MFI	B cell	Bcells.trait640	CD38 on IgD+ CD38br	3750	0.3738	0.0645	0.1979145779025466	0.04772408261479848	L	A	B cell	 Naive
MFI	B cell	Bcells.trait641	CD38 on IgD+ CD38dim	3752	0.5471	0.0833	0.3405628972056895	0.04993442953697165	L	A	B cell	 Naive
MFI	B cell	Bcells.trait643	CD38 on IgD- CD38br	3742	0.3002	0.0568	0.06827510261287416	0.04504955450996096	L	A	B cell	Memory
MFI	B cell	Bcells.trait644	CD38 on IgD- CD38dim	3755	0.467	0.0728	0.3372093023255814	0.049178579048431835	L	A	B cell	Memory
MFI	B cell	Bcells.trait646	CD38 on naive-mature B cell	3754	0.4195	0.0681	0.29406345957011254	0.04872057318321392	L	A	B cell	 Naive
MFI	B cell	Bcells.trait647	CD38 on PB/PC	3753	0.0872	0.0414	0.08716323296354991	0.04298732171156894	L	A	B cell	Memory
MFI	B cell	Bcells.trait649	CD38 on IgD+	3756	0.4766	0.0729	0.3690086030315445	0.049262597296190085	L	A	B cell	BOTH
MFI	B cell	Bcells.trait650	CD38 on transitional	3755	0.4863	0.0796	0.1894397420395002	0.048569125352680376	L	A	B cell	 Naive
MFI	B cell	Bcells.trait775	IgD on IgD+ CD24+	3754	0.4463	0.0666	0.4462434593740745	0.04877085595814	L	A	B cell	Memory
MFI	B cell	Bcells.trait776	IgD on IgD+ CD24-	3754	0.5673	0.0771	0.5326754606786829	0.04923975430470244	L	A	B cell	 Naive
MFI	B cell	Bcells.trait777	IgD on IgD+ CD38-	3740	0.5567	0.0821	0.40566891144838674	0.050055281937883195	L	A	B cell	BOTH
MFI	B cell	Bcells.trait779	IgD on IgD+ CD38- unsw mem	1865	0.9057	0.2627	0.34268392930538427	0.09689683518290175	L	A	B cell	Memory
MFI	B cell	Bcells.trait780	IgD on IgD+ CD38br	3754	0.4806	0.0692	0.4806223749522718	0.04887361588392516	L	A	B cell	 Naive
MFI	B cell	Bcells.trait781	IgD on IgD+ CD38dim	3754	0.6014	0.0817	0.5253965067255572	0.04948805460750853	L	A	B cell	 Naive
MFI	B cell	Bcells.trait785	IgD on unsw mem	3731	0.5163	0.0754	0.4466318055982775	0.04962575617758638	L	A	B cell	Memory
MFI	B cell	Bcells.trait786	IgD on IgD+	3755	0.6402	0.0874	0.5070900738965448	0.04993009786299181	L	A	B cell	BOTH
