Supplementary Table 1. Characterization of immunophenotypes. 	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
	HLA DR	V500	G46-6	BD Biosciences	Liquid	0.5	RUO	https://www.bdbiosciences.com/eu/applications/research/stem-cell-research/mesenchymal-stem-cell-markers-bone-marrow/human/negative-markers/v500-mouse-anti-human-hla-dr-g46-6/p/561224
								
Tregs	CD3	FITC	SK7	BD Biosciences	Lyophilized	0.45	CE/IVD	https://www.bdbiosciences.com/eu/reagents/clinical/reagents/single-antibodies/cd3-fitc-sk7-also-known-as-leu-4/p/345763
	CD4	APC-H7	SK3	BD Biosciences	Lyophilized	0.06	RUO(GMP)	https://www.bdbiosciences.com/eu/applications/research/t-cell-immunology/th-1-cells/surface-markers/human/apc-h7-mouse-anti-human-cd4-sk3-also-known-as-leu3a/p/641398
	CD8	V500	RPA-T8	BD Biosciences	Lyophilized	1	RUO	https://www.bdbiosciences.com/eu/reagents/research/antibodies-buffers/immunology-reagents/anti-human-antibodies/cell-surface-antigens/v500-mouse-anti-human-cd8-rpa-t8/p/560774
	CD25	PE-Cy7	2A3	BD Biosciences	Lyophilized	0.0625	CE/IVD	https://www.bdbiosciences.com/eu/reagents/clinical/reagents/single-antibodies/cd25-pe-cytrade7-2a3/p/335824
	CD45RA	V450	HI100	BD Biosciences	Lyophilized	1	RUO	https://www.bdbiosciences.com/eu/applications/research/t-cell-immunology/regulatory-t-cells/surface-markers/human/v450-mouse-anti-human-cd45ra-hi100/p/560362
	CD39	APC	TU66	BD Biosciences	Lyophilized	0.5	RUO	https://www.bdbiosciences.com/eu/applications/research/t-cell-immunology/regulatory-t-cells/surface-markers/human/apc-mouse-anti-human-cd39-tu66-also-known-as-t-66-t66/p/560239
	CD28	PE	L293	BD Biosciences	Lyophilized	0.5	RUO(GMP)	https://www.bdbiosciences.com/eu/applications/research/t-cell-immunology/regulatory-t-cells/surface-markers/human/pe-mouse-anti-human-cd28-l293/p/348047
	CD127	PerCP-Cy5.5	hIL-7R-M21	BD Biosciences	Lyophilized	0.125	RUO	https://www.bdbiosciences.com/eu/applications/research/t-cell-immunology/regulatory-t-cells/surface-markers/human/percp-cy55-mouse-anti-human-cd127-hil-7r-m21/p/560551
								
T cell maturation stages	CD3	FITC	SK7	BD Biosciences	Lyophilized	0.45	CE/IVD	https://www.bdbiosciences.com/eu/reagents/clinical/reagents/single-antibodies/cd3-fitc-sk7-also-known-as-leu-4/p/345763
	CD4	APC	SK3	BD Biosciences	Lyophilized	0.03	CE/IVD	https://www.bdbiosciences.com/eu/reagents/clinical/reagents/single-antibodies/cd4-apc-sk3-also-known-as-leu3a/p/345771
	CD8	APC-H7	SK1	BD Biosciences	Lyophilized	0.25	RUO(GMP)	https://www.bdbiosciences.com/eu/reagents/research/clinical-research---ruo-gmp/single-color-antibodies/apc-h7-mouse-anti-human-cd8-sk1/p/641400
	CD45RA	V450	HI100	BD Biosciences	Lyophilized	1	RUO	https://www.bdbiosciences.com/eu/applications/research/t-cell-immunology/regulatory-t-cells/surface-markers/human/v450-mouse-anti-human-cd45ra-hi100/p/560362
	CCR7	PerCP-Cy5.5	150503	BD Biosciences	Lyophilized	0.25	RUO	https://www.bdbiosciences.com/eu/applications/research/t-cell-immunology/th-2-cells/surface-markers/human/percp-cy55-mouse-anti-human-cd197-ccr7-150503/p/561144
	HVEM	PE	122	Biolegend	Liquid	1	RUO	https://www.biolegend.com/en-us/products/pe-anti-human-cd270-hvem--tr2-antibody-3873
								
cDCs	CD3 	PE	SK7	BD Biosciences	Lyophilized	0.25	CE/IVD	https://www.bdbiosciences.com/eu/reagents/clinical/reagents/single-antibodies/cd3-pe-sk7-also-known-as-leu-4/p/345765
	CD14	PE	M5E2	BD Biosciences	Lyophilized	0.5	RUO	https://www.bdbiosciences.com/eu/applications/research/stem-cell-research/hematopoietic-stem-cell-markers/human/negative-markers/pe-mouse-anti-human-cd14-m5e2/p/555398
	CD16	PE	B73.1	BD Biosciences	Lyophilized	0.5	CE/IVD	https://www.bdbiosciences.com/eu/reagents/clinical/reagents/single-antibodies/cd16-pe-b731/p/332779
	CD19	PE	SJ25C1	BD Biosciences	Lyophilized	0.25	CE/IVD	https://www.bdbiosciences.com/eu/reagents/clinical/reagents/single-antibodies/cd19-pe-sj25c1-also-known-as-sj25-c1/p/345789
	CD20	PE	L27	BD Biosciences	Lyophilized	0.5	CE/IVD	https://www.bdbiosciences.com/eu/reagents/clinical/reagents/single-antibodies/cd20-pe-l27/p/345793
	CD56	PE	NCAM16.2	BD Biosciences	Lyophilized	0.25	CE/IVD	https://www.bdbiosciences.com/eu/reagents/clinical/reagents/single-antibodies/cd56-pe-ncam162-also-known-as-ncam-16/p/345812
	HLA DR	V500	G46-6	BD Biosciences	Lyophilized	0.5	RUO	https://www.bdbiosciences.com/eu/applications/research/stem-cell-research/mesenchymal-stem-cell-markers-bone-marrow/human/negative-markers/v500-mouse-anti-human-hla-dr-g46-6/p/561224
	CD123	PE-Cy7	7G3	BD Biosciences	Lyophilized	0.25	RUO	https://www.bdbiosciences.com/eu/applications/research/b-cell-research/surface-markers/human/pe-cy7-mouse-anti-human-cd123-7g3/p/560826
	CD11c	V450	B-Ly6	BD Biosciences	Lyophilized	1	RUO	https://www.bdbiosciences.com/eu/reagents/research/antibodies-buffers/immunology-reagents/anti-human-antibodies/cell-surface-antigens/v450-mouse-anti-human-cd11c-b-ly6/p/560369
	CD86	PerCP-Cy5.5	FUN-1	BD Biosciences	Lyophilized	0.12	RUO	https://www.bdbiosciences.com/eu/applications/research/t-cell-immunology/regulatory-t-cells/surface-markers/human/percp-cy55-mouse-anti-human-cd86-2331-fun-1/p/561129
	CD80	APC-H7	L307.4	BD Biosciences	Lyophilized	0.25	RUO	https://www.bdbiosciences.com/eu/applications/research/b-cell-research/surface-markers/human/apc-h7-mouse-anti-human-cd80-l3074-also-known-as-l307/p/561134
	CD62L	FITC	SK11	BD Biosciences	Lyophilized	0.25	RUO(GMP)	https://www.bdbiosciences.com/eu/applications/research/stem-cell-research/mesoderm-markers/human/fitc-mouse-anti-human-cd62l-sk11-also-known-as-anti-leu-8/p/347443
	CCR2	Alexa Fluor 647	48607	BD Biosciences	Lyophilized	1	RUO	https://www.bdbiosciences.com/eu/applications/research/stem-cell-research/mesoderm-markers/human/alexa-fluor-647-mouse-anti-human-cd192-ccr2-48607/p/558406
								
B cells	IgD	BV421	IA6-2	BD Biosciences	Lyophilized	0.15	RUO	https://www.bdbiosciences.com/eu/applications/research/b-cell-research/immunoglobulins/human/bv421-mouse-anti-human-igd-ia6-2-also-known-as--ia6-2/p/562518
	CD27	V500	M-T271	BD Biosciences	Lyophilized	1	RUO	https://www.bdbiosciences.com/eu/applications/research/clinical-research/oncology-research/blood-cell-disorders/surface-markers/human/v500-mouse-anti-human-cd27-m-t271/p/561223
	BAFF-R	FITC	11C1	BD Biosciences	Lyophilized	0.5	RUO	https://www.bdbiosciences.com/eu/applications/research/b-cell-research/surface-markers/human/fitc-mouse-anti-human-cd268-baff-receptor-11c1/p/558081
	CD24	PE	ML5	BD Biosciences	Lyophilized	0.5	RUO	https://www.bdbiosciences.com/eu/applications/research/stem-cell-research/pluripotent-stem-cell-markers-esc-and-ipsc/human/pe-mouse-anti-human-cd24-ml5/p/555428
	CD19	PerCP Cy5.5	SJ25C1	BD Biosciences	Lyophilized	0.1	CE/IVD	https://www.bdbiosciences.com/eu/reagents/clinical/reagents/single-antibodies/cd19-percp-cytrade55-sj25c1-also-known-as-sj25-c1/p/332780
	CD25	PE-Cy7	2A3	BD Biosciences	Lyophilized	0.06	CE/IVD	https://www.bdbiosciences.com/eu/reagents/clinical/reagents/single-antibodies/cd25-pe-cytrade7-2a3/p/335824
	CD38	APC	HB7	BD Biosciences	Lyophilized	0.125	CE/IVD	https://www.bdbiosciences.com/eu/reagents/clinical/reagents/single-antibodies/cd38-apc-hb7/p/345807
	CD20	APC-H7	2H7	BD Biosciences	Lyophilized	0.5	RUO	https://www.bdbiosciences.com/eu/applications/research/stem-cell-research/hematopoietic-stem-cell-markers/human/negative-markers/apc-h7-mouse-anti-human-cd20-2h7/p/560734
								
Monocyte	CD64	V450	10.1	BD Biosciences	Lyophilized	0.25	RUO	https://www.bdbiosciences.com/eu/applications/research/stem-cell-research/cancer-research/human/v450-mouse-anti-human-cd64-101/p/561202
	HLA-DR	V500	G46-6	BD Biosciences	Lyophilized	0.5	RUO	https://www.bdbiosciences.com/eu/applications/research/stem-cell-research/mesenchymal-stem-cell-markers-bone-marrow/human/negative-markers/v500-mouse-anti-human-hla-dr-g46-6/p/561224
	CD16	PE	Leu 11c	BD Biosciences	Lyophilized	0.5	CE/IVD	https://www.bdbiosciences.com/eu/reagents/clinical/reagents/single-antibodies/cd16-pe-b731/p/332779
	CD14	PerCP-Cy5.5	MP9	BD Biosciences	Lyophilized	0.25	RUO	https://www.bdbiosciences.com/eu/applications/research/stem-cell-research/hematopoietic-stem-cell-markers/human/negative-markers/percp-cy55-mouse-anti-human-cd14-mp9-also-known-as-mp-9/p/562692
	PDL-1	PE-Cy7	MIH1	BD Biosciences	Lyophilized	0.2	RUO	https://www.bdbiosciences.com/eu/applications/research/b-cell-research/surface-markers/human/pe-cy7-mouse-anti-human-cd274-mih1/p/558017
	CD40	APC-H7	5C3	BD Biosciences	Lyophilized	0.25	RUO	https://www.bdbiosciences.com/eu/applications/research/b-cell-research/surface-markers/human/apc-h7-mouse-anti-human-cd40-5c3/p/561211
	CCR2	Alexa Fluor 647	48607	BD Biosciences	Liquid	1	RUO	https://www.bdbiosciences.com/eu/applications/research/stem-cell-research/mesoderm-markers/human/alexa-fluor-647-mouse-anti-human-cd192-ccr2-48607/p/558406
	CX3CR1	FITC	2A9-1	MBL	Liquid	2	RUO	https://www.mblintl.com/products/d070-4/
								
Myeloid	CD11b	BV421	ICRF44	BD Biosciences	Liquid	0.5	RUO	https://www.bdbiosciences.com/eu/applications/research/stem-cell-research/mesenchymal-stem-cell-markers-bone-marrow/human/negative-markers/bv421-mouse-anti-human-cd11b-icrf44-also-known-as-44/p/562632
	HLA-DR	V500	G46-6	BD Biosciences	Lyophilized	0.5	RUO	https://www.bdbiosciences.com/eu/applications/research/stem-cell-research/mesenchymal-stem-cell-markers-bone-marrow/human/negative-markers/v500-mouse-anti-human-hla-dr-g46-6/p/561224
	CD66b	FITC	G10F5	BD Biosciences	Lyophilized	0.25	RUO	https://www.bdbiosciences.com/eu/reagents/research/antibodies-buffers/immunology-reagents/anti-human-antibodies/cell-surface-antigens/fitc-mouse-anti-human-cd66b-g10f5/p/555724
	CD34	PE	8G12	BD Biosciences	Lyophilized	0.5	CE/IVD	https://www.bdbiosciences.com/eu/reagents/clinical/reagents/single-antibodies/cd34-pe-8g12/p/345802
	CD3	PerCP-Cy5.5	SK7	BD Biosciences	Lyophilized	0.06	CE/IVD	https://www.bdbiosciences.com/eu/reagents/clinical/reagents/single-antibodies/cd3-percp-cytrade55-sk7-also-known-as-leu-4/p/332771
	CD19	PerCP-Cy5.5	SJ25C1	BD Biosciences	Lyophilized	0.1	CE/IVD	https://www.bdbiosciences.com/eu/reagents/clinical/reagents/single-antibodies/cd19-percp-cytrade55-sj25c1-also-known-as-sj25-c1/p/332780
	CD20	PerCP-Cy5.5	L27	BD Biosciences	Lyophilized	0.2	CE/IVD	https://www.bdbiosciences.com/eu/reagents/clinical/reagents/single-antibodies/cd20-percp-cytrade55-l27/p/332781
	CD33	PE-Cy7	P67.6	BD Biosciences	Lyophilized	0.125	CE/IVD	https://www.bdbiosciences.com/eu/reagents/clinical/reagents/single-antibodies/cd33-pe-cytrade7-p676/p/333952
	CD14	APC	MP9	BD Biosciences	Lyophilized	0.25	CE/IVD	https://www.bdbiosciences.com/eu/reagents/clinical/reagents/single-antibodies/cd14-apc-mp9-also-known-as-mp-9/p/345787
	CD45	APC-H7	2D1	BD Biosciences	Lyophilized	1	RUO	https://www.bdbiosciences.com/ds/is/tds/23-1322.pdf
	7AAD			BD Biosciences	Lyophilized	0.25	RUO	https://www.bdbiosciences.com/eu/applications/research/apoptosis/buffers-and-ancillary-products/cell-viability-solution/p/555816
