Supplementary Table 6. Estimation of causal relationships between traits and diseases.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9
CD28 on CD28+ CD4+  	MS	IVW 	22	0.0846567	0.03688277	0.021716441	51.46914	0.0002270487	-
		WM	22	0.09629749	0.03562842	0.006875223	-	-	-
		Egger estimate	22	0.10760738	0.04245308	0.004	50.77093	0.0001716221	-
		Egger intercept	22	-0.009593859	0.01829324	0.6057313	-	-	-
		MR-PRESSO raw	22	3.695966	0.6572986	0.004918684	-	-	0.949
CD28 on CD28+ CD45RA+ CD8br	T1D	IVW 	15	0.07381391	0.10080845	0.464034656	92.87711	1.082697e-13	-
		WM	15	0.27976494	0.080743	0.000530465	-	-	-
		Egger estimate	15	0.15445342	0.07536141	0.018	42.97862	4.525615e-05	-
		Egger intercept	15	-0.1415883	0.03644501	0.001878806	-	-	-
		MR-PRESSO raw	15	1.000246	0.7240613	0.188794783	-	-	<0.001
		MR-PRESSO outlier-corrected	5	3.695966	0.6572986	0.004918684	-	-	0.957
		IVW outlier-corrected	5	0.265226	0.1286459	0.03923866	0.7238312	0.9483579	-
		WM outlier-corrected	5	0.236451	0.156033	0.12967328	-	-	-
		Egger estimate outlier-corrected	5	0.3442877	0.2571127	0.08	0.6656245	0.881258	-
		Egger intercept outlier-corrected	5	-0.03996285	0.1656419	0.8249028	-	-	-
CD64 on CD14+ CD16+ monocyte	SLE	IVW 	15	0.2593123	0.09521606	0.0064611998	55.368	7.484391e-07	-
		WM	15	0.2997167	0.0906721	0.0009480674	-	-	-
		Egger estimate	15	0.5045636	0.08779295	<2E-16	55.2481	3.655277e-07	-
		Egger intercept	15	-0.007029197	0.04184832	0.8691931	-	-	-
		MR-PRESSO raw	15	1.331357	0.4403806	0.008558607	-	-	<0.001
		MR-PRESSO outlier-corrected	10	1.414222	0.4952025	0.017078054	-	-	0.01707805
		IVW outlier-corrected	10	0.2880284	0.1150744	0.01231542	21.98383	0.008930368	-
		WM outlier-corrected	10	0.2181441	0.1018244	0.03216487	-	-	-
		Egger estimate outlier-corrected	10	0.5295433	0.1635359	<2E-16	18.60547	0.017118112	-
		Egger intercept outlier-corrected	10	0.05780996	0.04796507	0.2625444	-	-	-
HLA DR+ T cells	UC	no IVs available for analysis	-	-	-	-	-	-	-
Plasmacytoid DC cells	SLE	IVW 	18	0.04304989	0.07322358	0.5565834	40.3986	0.0011366804	-
		WM	18	0.02790095	0.07138475	0.6959058	-	-	-
		Egger estimate	18	0.11985657	0.09244066	0.098	39.48955	0.0009238853	-
		Egger intercept	18	-0.0193144	0.03182491	0.5524357	-	-	-
		MR-PRESSO raw	18	0.9764908	0.8441462	0.263359636	-	-	<0.001
		MR-PRESSO outlier-corrected	8	1.8710354	0.3838116	0.001804153	-	-	0.59
		IVW outlier-corrected	8	0.3491515	0.1054277	0.0009270982	8.773646	0.2693185	-
		WM outlier-corrected	8	0.1850475	0.1486989	0.2133359796	-	-	-
		Egger estimate outlier-corrected	8	0.4619894	0.1504008	0.001	7.092701	0.3123594	-
		Egger intercept outlier-corrected	8	-0.07476237	0.0626955	0.2780944	-	-	-
Unsw Mem cells	MS	IVW 	20	0.064560031	0.06336299	0.3082544	64.49297	7.379428e-07	-
		WM	20	-0.027407153	0.04801663	0.5681457	-	-	-
		Egger estimate	20	0.219963707	0.08455026	0.006	59.40999	2.547509e-06	-
		Egger intercept	20	0.03503808	0.02823412	0.2305427	-	-	-
		MR-PRESSO raw	20	0.7516188	0.7440986	0.3251359	-	-	<0.001
		MR-PRESSO outlier-corrected	4	0.7780546	0.8735704	0.4387265	-	-	0.144
		IVW outlier-corrected	4	0.67506694	0.2457697	0.00601898	15.5116555	0.001427722	-
		WM outlier-corrected	4	0.64475306	0.2231322	0.003857852	-	-	-
		Egger estimate outlier-corrected	4	0.95977444	0.2407744	<2E-16	0.6560792	0.720334503	-
		Egger intercept outlier-corrected	4	0.332711	0.08632219	0.06120028	-	-	-
Unsw Mem cells	SLE	IVW 	25	0.07213936	0.07509711	0.3367461	45.04874	0.003920337	-
		WM	25	0.09950236	0.08109613	0.2198346	-	-	-
		Egger estimate	25	0.2263724	0.11155096	0.018	46.88729	0.00345753	-
		Egger intercept	25	0.03188355	0.0329084	0.3426949	-	-	-
		MR-PRESSO raw	25	0.2953145	0.30577	0.3437733	-	-	<0.001
		MR-PRESSO outlier-corrected	2	not tested	not tested	not tested	-	-	not tested
