analysis	parameter	value
design	matrix_header	1000 2455 2410284
design	cells	2455
design	control_guides	guide_001,guide_002,guide_003,guide_004,guide_005,guide_006,guide_007,guide_008,guide_009,guide_010
design	control_cells	500
panel20	genes	STAT1,ISG15,IFIT1,IFIT2,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,CXCL10,CXCL11,IRF7,BST2,IFI6,STAT2,EIF2AK2,GBP1,GBP2,IDO1
hallmark	genes	STAT1,ISG15,IFIT1,IFIT2,IFIT3,OAS1,OAS2,OAS3,CXCL10,IRF7,BST2,EIF2AK2,GBP1,GBP2,IDO1,TRIM14,TRIM21,CCL5,B2M,CD38

SUMMARY_PANEL20
rank	guide	target	n	mean_total	score_delta	control_consistency	gene_median_delta	gene_mean_delta	gene_down_fraction	robust
1	guide_011	STAT1	5	4154.80	-2.344237	1.000	-3.340858	-2.322124	0.850	False
2	guide_012	ISG15	50	4187.06	-0.491842	1.000	-0.638020	-0.514632	0.850	True
3	guide_029	MAPK1	50	4301.30	-0.016499	1.000	-0.008634	-0.017652	0.650	False
4	guide_023	ATP27	50	4298.38	-0.016262	1.000	-0.008923	-0.039198	0.550	False
5	guide_037	HOXA1	50	4302.96	-0.014183	1.000	-0.001814	-0.013951	0.550	False
6	guide_040	ATP9	50	4299.72	-0.014030	1.000	0.005554	-0.010454	0.450	False
7	guide_033	CD83	50	4285.74	-0.012180	1.000	0.000881	-0.016595	0.450	False
8	guide_017	TRIM23	50	4301.96	-0.009398	1.000	-0.004509	-0.021078	0.550	False
9	guide_022	ZNF264	50	4292.56	-0.009166	1.000	-0.000206	-0.006670	0.500	False
10	guide_034	ZNF159	50	4297.50	-0.008236	1.000	-0.004586	-0.014467	0.650	False
11	guide_006	Non-Targeting	50	4286.50	-0.006113	0.900	-0.000038	-0.017294	0.500	False
12	guide_026	CD39	50	4295.06	-0.005513	0.900	-0.006520	-0.012530	0.600	False
13	guide_039	ZNF209	50	4304.48	-0.005463	0.900	-0.008551	-0.032933	0.550	False
14	guide_016	SOX28	50	4290.90	-0.005368	0.900	-0.007518	-0.017028	0.600	False
15	guide_021	CD92	50	4298.92	-0.004555	0.900	-0.001835	-0.007333	0.500	False
16	guide_009	Non-Targeting	50	4278.68	-0.004245	0.800	-0.008531	-0.036613	0.650	False
17	guide_030	ZNF361	50	4298.92	-0.004131	0.800	0.000528	-0.004345	0.500	False
18	guide_003	Non-Targeting	50	4296.24	-0.003841	0.700	-0.000261	-0.006862	0.500	False
19	guide_005	Non-Targeting	50	4303.28	-0.002303	0.600	0.000789	0.001235	0.500	False
20	guide_049	ZNF271	50	4286.02	-0.002106	0.600	0.002559	-0.001949	0.450	False
21	guide_014	ZNF326	50	4276.10	-0.001680	0.600	0.002596	-0.005054	0.400	False
22	guide_047	ATP49	50	4300.34	-0.001672	0.600	-0.008214	-0.010343	0.650	False
23	guide_007	Non-Targeting	50	4289.18	-0.000318	0.500	-0.006625	-0.018406	0.550	False
24	guide_004	Non-Targeting	50	4306.24	0.000318	0.400	-0.000263	0.002347	0.500	False
25	guide_024	ZNF115	50	4283.34	0.002301	0.400	0.004703	-0.020330	0.450	False
26	guide_045	CD149	50	4315.38	0.003622	0.400	-0.004049	-0.007198	0.600	False
27	guide_028	ZNF122	50	4310.70	0.003776	0.400	0.000982	0.005343	0.450	False
28	guide_020	HOXB5	50	4302.76	0.004191	0.400	-0.000641	-0.002090	0.500	False
29	guide_027	MAPK2	50	4280.54	0.007141	0.400	0.007216	0.004072	0.400	False
30	guide_008	Non-Targeting	50	4285.38	0.008029	0.300	-0.007178	-0.005498	0.600	False
31	guide_043	TRIM5	50	4295.82	0.008483	0.300	0.002055	-0.029870	0.500	False
32	guide_041	ZNF359	50	4300.66	0.009859	0.300	-0.002645	0.000102	0.550	False
33	guide_018	ZNF20	50	4304.66	0.010942	0.300	0.001737	-0.002106	0.450	False
34	guide_035	CCL8	50	4311.86	0.011676	0.300	0.001356	-0.004080	0.450	False
35	guide_038	TRIM33	50	4292.16	0.012150	0.300	0.001268	0.001941	0.500	False
36	guide_048	SLC2A1	50	4288.48	0.012248	0.300	0.012064	0.012579	0.400	False
37	guide_002	Non-Targeting	50	4299.64	0.012302	0.200	0.003699	0.006197	0.400	False
38	guide_025	ZNF205	50	4292.12	0.012774	0.200	0.002767	-0.010720	0.500	False
39	guide_042	ZNF315	50	4306.84	0.014488	0.200	-0.008568	-0.007708	0.650	False
40	guide_010	Non-Targeting	50	4294.00	0.015248	0.100	0.002954	0.010528	0.450	False
41	guide_013	CD103	50	4298.90	0.016670	0.100	0.003941	0.007264	0.350	False
42	guide_031	ZNF329	50	4292.88	0.016788	0.100	-0.004678	-0.013786	0.600	False
43	guide_001	Non-Targeting	50	4296.76	0.016888	0.000	0.005837	0.008587	0.350	False
44	guide_032	TRIM20	50	4283.68	0.017976	0.000	0.009322	0.012542	0.300	False
45	guide_050	ZNF101	50	4287.84	0.018209	0.000	0.006930	-0.000968	0.350	False
46	guide_019	IL6	50	4303.24	0.018411	0.000	-0.005561	0.023850	0.550	False
47	guide_036	ZNF324	50	4297.28	0.024102	0.000	0.009941	0.016451	0.450	False
48	guide_015	RPL27	50	4289.58	0.025183	0.000	0.006647	0.008072	0.400	False
49	guide_044	CD69	50	4295.92	0.025330	0.000	0.011088	0.011292	0.350	False
50	guide_046	ZNF90	50	4297.88	0.045125	0.000	0.002119	0.017607	0.450	False

GENE_EFFECTS_PANEL20
guide	target	n	gene	median_delta_vs_each_NT	NT_consistency
guide_012	ISG15	50	STAT1	-0.717777	1.000
guide_012	ISG15	50	ISG15	-0.961361	1.000
guide_012	ISG15	50	IFIT1	-0.597316	1.000
guide_012	ISG15	50	IFIT2	-0.636734	1.000
guide_012	ISG15	50	IFIT3	-0.567103	1.000
guide_012	ISG15	50	MX1	-0.633455	1.000
guide_012	ISG15	50	MX2	-0.737172	1.000
guide_012	ISG15	50	OAS1	-0.645265	1.000
guide_012	ISG15	50	OAS2	-0.639305	1.000
guide_012	ISG15	50	OAS3	-0.632726	1.000
guide_012	ISG15	50	CXCL10	-0.697794	1.000
guide_012	ISG15	50	CXCL11	-0.596449	1.000
guide_012	ISG15	50	IRF7	-0.667702	1.000
guide_012	ISG15	50	BST2	-0.429251	1.000
guide_012	ISG15	50	IFI6	-0.724449	1.000
guide_012	ISG15	50	STAT2	-0.631981	1.000
guide_012	ISG15	50	EIF2AK2	-0.800396	1.000
guide_012	ISG15	50	GBP1	-0.804903	1.000
guide_012	ISG15	50	GBP2	-0.712124	1.000
guide_012	ISG15	50	IDO1	-0.644115	1.000
guide_011	STAT1	5	STAT1	-3.362566	1.000
guide_011	STAT1	5	ISG15	-3.340827	1.000
guide_011	STAT1	5	IFIT1	-3.340889	1.000
guide_011	STAT1	5	IFIT2	-3.360100	1.000
guide_011	STAT1	5	IFIT3	-2.061908	1.000
guide_011	STAT1	5	MX1	-3.356821	1.000
guide_011	STAT1	5	MX2	-2.150555	1.000
guide_011	STAT1	5	OAS1	-3.356174	1.000
guide_011	STAT1	5	OAS2	-2.125159	1.000
guide_011	STAT1	5	OAS3	-3.369378	1.000
guide_011	STAT1	5	CXCL10	-3.344582	1.000
guide_011	STAT1	5	CXCL11	-3.308600	1.000
guide_011	STAT1	5	IRF7	-2.076489	1.000
guide_011	STAT1	5	BST2	-3.302504	1.000
guide_011	STAT1	5	IFI6	-3.368926	1.000
guide_011	STAT1	5	STAT2	-3.361239	1.000
guide_011	STAT1	5	EIF2AK2	-3.371274	1.000
guide_011	STAT1	5	GBP1	-3.364589	1.000
guide_011	STAT1	5	GBP2	-3.354211	1.000
guide_011	STAT1	5	IDO1	-3.371924	1.000

GENE_EFFECTS_HALLMARK
guide	target	n	gene	median_delta_vs_each_NT	NT_consistency
guide_012	ISG15	50	STAT1	-0.717777	1.000
guide_012	ISG15	50	ISG15	-0.961361	1.000
guide_012	ISG15	50	IFIT1	-0.597316	1.000
guide_012	ISG15	50	IFIT2	-0.636734	1.000
guide_012	ISG15	50	IFIT3	-0.567103	1.000
guide_012	ISG15	50	OAS1	-0.645265	1.000
guide_012	ISG15	50	OAS2	-0.639305	1.000
guide_012	ISG15	50	OAS3	-0.632726	1.000
guide_012	ISG15	50	CXCL10	-0.697794	1.000
guide_012	ISG15	50	IRF7	-0.667702	1.000
guide_012	ISG15	50	BST2	-0.429251	1.000
guide_012	ISG15	50	EIF2AK2	-0.800396	1.000
guide_012	ISG15	50	GBP1	-0.804903	1.000
guide_012	ISG15	50	GBP2	-0.712124	1.000
guide_012	ISG15	50	IDO1	-0.644115	1.000
guide_012	ISG15	50	TRIM14	-0.212032	1.000
guide_012	ISG15	50	TRIM21	0.017699	0.000
guide_012	ISG15	50	CCL5	0.038865	0.000
guide_012	ISG15	50	B2M	-0.001534	0.600
guide_012	ISG15	50	CD38	0.018238	0.100
guide_011	STAT1	5	STAT1	-3.362566	1.000
guide_011	STAT1	5	ISG15	-3.340827	1.000
guide_011	STAT1	5	IFIT1	-3.340889	1.000
guide_011	STAT1	5	IFIT2	-3.360100	1.000
guide_011	STAT1	5	IFIT3	-2.061908	1.000
guide_011	STAT1	5	OAS1	-3.356174	1.000
guide_011	STAT1	5	OAS2	-2.125159	1.000
guide_011	STAT1	5	OAS3	-3.369378	1.000
guide_011	STAT1	5	CXCL10	-3.344582	1.000
guide_011	STAT1	5	IRF7	-2.076489	1.000
guide_011	STAT1	5	BST2	-3.302504	1.000
guide_011	STAT1	5	EIF2AK2	-3.371274	1.000
guide_011	STAT1	5	GBP1	-3.364589	1.000
guide_011	STAT1	5	GBP2	-3.354211	1.000
guide_011	STAT1	5	IDO1	-3.371924	1.000
guide_011	STAT1	5	TRIM14	-0.010584	0.600
guide_011	STAT1	5	TRIM21	0.050600	0.000
guide_011	STAT1	5	CCL5	0.033754	0.000
guide_011	STAT1	5	B2M	-0.071675	1.000
guide_011	STAT1	5	CD38	0.058005	0.100
