component	eigenvalue	explained_variance_ratio	explained_variance_percent	cumulative_explained_variance_percent
87	0.0184614787502733	0.000208301074117101	0.0208301074117101	99.0450765803491
88	0.018333897214974	0.000206861570207375	0.0206861570207375	99.0657627373698
89	0.0181758326997555	0.000205078126489503	0.0205078126489503	99.0862705500188
90	0.0175726012503176	0.000198271859204046	0.0198271859204046	99.1060977359392
91	0.0170931858217835	0.000192862609486686	0.0192862609486686	99.1253839968879
92	0.0170177740433123	0.000192011737534926	0.0192011737534926	99.1445851706413
93	0.0165150439760712	0.000186339428484615	0.0186339428484615	99.1632191134898
94	0.0161403129698494	0.000182111334291466	0.0182111334291466	99.1814302469189
95	0.0160233324610846	0.000180791441884358	0.0180791441884358	99.1995093911074
96	0.0157693995440622	0.000177926313901656	0.0177926313901656	99.2173020224975
97	0.0152982049778047	0.000172609820266599	0.0172609820266599	99.2345630045242
98	0.0150679966457265	0.000170012377044891	0.0170012377044891	99.2515642422287
99	0.0150048439267943	0.000169299824200943	0.0169299824200943	99.2684942246488
100	0.0146476015522591	0.000165269054437458	0.0165269054437458	99.2850211300925
