rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PA14_55860	581.528683795022	-1.61536369829842	0.193746653792227	-8.33750501843884	7.58744302445528e-17	8.03993053573188e-15
PA14_03510	705.795175198837	-1.76880261312216	0.212396546607331	-8.32783132012145	8.23367163433405e-17	8.56889969373194e-15
PA14_39860	2253.15812425697	-3.75954408817261	0.458974328002783	-8.19118599624556	2.58664492751882e-16	2.64473098904906e-14
PA14_53300	6369.3480932334	-4.88713733725678	0.597845399137583	-8.17458383773912	2.96888828537783e-16	2.98322084951414e-14
PA14_39960	36421.9906926989	-5.62097758319934	0.691728521882814	-8.12598787729559	4.43733384216464e-16	4.3831833274806e-14
PA14_09410	5502.63145235364	-4.96111513978783	0.615407216726266	-8.06151602540362	7.5354012937268e-16	7.31938645663997e-14
PA14_16310	728.597973987013	-1.85155065871671	0.232141221034345	-7.97596674329018	1.51192653128641e-15	1.42121093940923e-13
PA14_24860	1962.68608693995	-2.97539298441284	0.374139761912105	-7.95262435942812	1.82601380220969e-15	1.64920561022083e-13
PA14_37780	1323.55915169717	-2.73004178974364	0.343327121388423	-7.95172189922917	1.83936795923737e-15	1.64920561022083e-13
PA14_19100	37083.4378472724	-3.77621746258124	0.479548457569085	-7.87452738712486	3.42033281532232e-15	2.97517905189529e-13
PA14_69560	841.854669101756	-1.95767572305741	0.261293542446737	-7.49224686046908	6.77044252044987e-14	5.19186039594498e-12
PA14_22320	2412.01198509434	-5.00199612676213	0.670083817197416	-7.46473202066373	8.34693117394883e-14	6.23665575407356e-12
PA14_31370	1118.18026605035	-1.80174347648423	0.242621159923152	-7.42615968473202	1.1179602099221e-13	8.24743304231141e-12
PA14_13210	157.331779035872	-1.60026223448079	0.215774846374981	-7.41635209740711	1.20390184241501e-13	8.77042492199336e-12
PA14_09460	9627.38251434008	-5.06184757286533	0.690713492086609	-7.32843303462012	2.32859265338442e-13	1.615599759991e-11
PA14_28360	579.097700544394	-2.79668065657402	0.38228935347627	-7.31561219569151	2.56210605323682e-13	1.74075534974218e-11
PA14_55880	444.119268030238	-2.02217429911251	0.276645113928382	-7.3096331628543	2.67872673300555e-13	1.79443901148923e-11
PA14_53250	32640.8289249489	-3.14812180504724	0.432354975030946	-7.28133590881408	3.30530521937261e-13	2.18901350210268e-11
PA14_01490	43854.0839614223	-3.11804063403495	0.432072100987607	-7.21648221884243	5.33496354028523e-13	3.37958342530243e-11
PA14_31290	442.025414016823	-3.33010176779164	0.466070038024432	-7.14506725621584	8.99518361974576e-13	5.46082605582066e-11
PA14_64940	2110.08185563608	-2.03111518330284	0.285668571292318	-7.11004075147086	1.1600869590694e-12	6.97008948191388e-11
PA14_00640	813.903608423668	-2.15072536316674	0.304048814156686	-7.07361865275488	1.50944740980395e-12	8.79705950433743e-11
PA14_53290	10498.5334137967	-4.06797975927251	0.584495809933803	-6.95980995951574	3.40732056632926e-12	1.90941002505451e-10
PA14_21530	4357.40815264646	-3.99719338168656	0.575463868600948	-6.94603710117271	3.75690005899884e-12	2.08272015162435e-10
PA14_55900	939.586740911462	-1.65066260045217	0.237705911593295	-6.94413777675159	3.80778745910213e-12	2.08272015162435e-10
PA14_09490	4287.93504458771	-2.82433210847343	0.406879359899782	-6.94144846563142	3.88099810875829e-12	2.09430157202253e-10
PA14_55850	518.729333038242	-2.17560395678839	0.313933210420248	-6.93014910361349	4.2039728810487e-12	2.2477755918121e-10
PA14_61040	10958.4722686469	-4.8534368447015	0.701800352126675	-6.91569451339553	4.65576723013365e-12	2.44448751506477e-10
PA14_01720	25207.4143062002	-2.97329822478802	0.436013230742669	-6.81928440502494	9.14951092885267e-12	4.59684049080633e-10
PA14_31360	423.638702763687	-2.30709355492238	0.343620320565118	-6.71407776795078	1.89259357766374e-11	9.11573171125974e-10
PA14_28370	249.881441019327	-1.73406732237147	0.264411690808058	-6.5582097261738	5.44575854629557e-11	2.42273899296264e-09
PA14_55890	1011.79902733482	-2.03977886709311	0.313043567784506	-6.51595840645818	7.22269885913478e-11	3.1889309811392e-09
PA14_39980	519.36225204987	-2.33320003647728	0.362125690242527	-6.44306686696174	1.17083078994552e-10	4.90906607467807e-09
PA14_64930	6823.04174028025	-1.57803562277432	0.24764477089601	-6.37217421173397	1.86367011298242e-10	7.54268709615384e-09
PA14_55790	1747.31738550686	-1.64270686888332	0.261629536582985	-6.27875159027495	3.41302389731036e-10	1.33497337406207e-08
PA14_55920	1228.26471513091	-1.97004067909288	0.317437576902926	-6.20607269723248	5.43250558591395e-10	2.01660143660551e-08
PA14_19130	3566.80235024421	-1.98778706576104	0.320413530797533	-6.20381748802332	5.51096947187352e-10	2.0327803849417e-08
PA14_55840	168.62156149631	-2.27973377967787	0.382743850165779	-5.95629107741495	2.58026597066661e-09	8.64240809025575e-08
PA14_55750	1348.91359393898	-1.64097941386974	0.27943336010609	-5.87252507448189	4.29206762778015e-09	1.35946576819036e-07
PA14_61020	1375.06764710076	-3.36165123138505	0.580880453126448	-5.78716535096297	7.15841070190683e-09	2.16161749071052e-07
PA14_34880	906.947457060081	-1.55875494061924	0.270689416490863	-5.75846281995976	8.48833577358387e-09	2.52398065757382e-07
PA14_01710	49598.274535092	-2.62588384513834	0.463236037282474	-5.66856555578624	1.43997974794934e-08	4.09375705904816e-07
PA14_11140	7764.68025363159	-2.0925037833787	0.370085370774347	-5.65411104740633	1.56654909666427e-08	4.38935006507662e-07
PA14_55940	5496.66834429787	-2.51819974250838	0.448658247534776	-5.61273476269529	1.99153745175018e-08	5.44914566610331e-07
PA14_19590	3968.86339347589	-1.61169891598926	0.29320186019628	-5.49689185092594	3.86543593045934e-08	9.96803566491904e-07
PA14_43070	926.842026688862	-2.38723144734267	0.43665336068076	-5.46710883805148	4.57435202521905e-08	1.15910102621638e-06
PA14_22340	534.911958812521	-1.50983831773212	0.277005060520219	-5.45058027061534	5.02057353853718e-08	1.25578981041179e-06
PA14_16290	1838.68646402402	-1.58624652853375	0.292235004268167	-5.42798263509236	5.69945833290405e-08	1.40153768625168e-06
PA14_48590	2681.21569724222	-3.086942500367	0.56867919860904	-5.42826695247075	5.6903884807494e-08	1.40153768625168e-06
PA14_49760	2783.85789850621	-1.8931232445758	0.350456515499594	-5.40187772476439	6.59468989300873e-08	1.60811099148347e-06
PA14_06790	585.798675604743	-3.42779784031782	0.647160712635992	-5.29667171289778	1.17932438174611e-07	2.70594586488832e-06
PA14_26990	1259.8940426876	-2.39674571267563	0.454088404407259	-5.27814779988537	1.30496193456757e-07	2.97082740416399e-06
PA14_09150	56097.5818611156	-1.90777105565493	0.370387053480718	-5.15074983784294	2.59447062213937e-07	5.32414605134797e-06
PA14_48600	2619.5049632602	-2.80540336634728	0.546965458323727	-5.12903205066173	2.91235760717141e-07	5.85553910301206e-06
PA14_09470	5829.21672433688	-4.18093097038927	0.818921225872757	-5.10541287525365	3.3007303971815e-07	6.55283212960376e-06
PA14_09480	328.700584726924	-3.43666523037121	0.673178621884418	-5.10513126627671	3.30564970161892e-07	6.55283212960376e-06
PA14_10350	3903.82126327296	-2.38516984805103	0.471812898337747	-5.05532989126466	4.29647441661641e-07	8.26397785479883e-06
PA14_10330	1087.97490072143	-1.82790299226927	0.363155285832704	-5.03339222525136	4.81875776840404e-07	9.17768636413684e-06
PA14_03090	3998.09790804603	-2.35747142478589	0.469589203171634	-5.02028455693483	5.15949900413485e-07	9.63767955003139e-06
PA14_55930	1297.00469733062	-1.68246081887705	0.33649592014001	-4.99994418409891	5.73469132097976e-07	1.05765129805918e-05
PA14_40250	1639.34629737214	-1.63456871661347	0.331365452340924	-4.93282780406376	8.10476015356372e-07	1.43134976287786e-05
PA14_48610	1167.47487550051	-2.6096577243469	0.539884365962131	-4.83373457146923	1.33995220364589e-06	2.21224970052359e-05
PA14_40240	1690.25804372097	-1.65537927687197	0.345797970721288	-4.78712837272894	1.69184623359101e-06	2.70881314543088e-05
PA14_40230	1291.88864764032	-1.59460338149786	0.335307176048304	-4.7556494325315	1.97809476282459e-06	3.08244285501115e-05
PA14_06770	2585.69684516946	-2.31638060980945	0.488442483224502	-4.74238152774433	2.1122035370283e-06	3.21794707189828e-05
PA14_03080	1047.83801173817	-2.18316606907964	0.460887940894148	-4.73686958448984	2.17044738129594e-06	3.26857037162602e-05
PA14_40310	1501.27215128011	-2.25490190951361	0.476177470040019	-4.73542334819853	2.18598313282846e-06	3.28348188095987e-05
PA14_68150	7.50953753070258	-1.64511569313899	0.352750608468249	-4.6636792500021	3.10605385134218e-06	4.48071332812431e-05
PA14_48630	800.011766345228	-2.32220592475443	0.498051023589499	-4.66258639128594	3.12259933749462e-06	4.48425028168458e-05
PA14_64530	174.737150374643	-1.65213249435845	0.354584145204458	-4.659352418044	3.17205723875335e-06	4.54219891583649e-05
PA14_42950	1051.99565399624	-1.59516484987542	0.343724490951445	-4.64082395019317	3.47022684638574e-06	4.8851405943807e-05
PA14_40260	31281.1159765848	-1.74835262154788	0.377661436708851	-4.62941791670333	3.6669504423478e-06	5.08833028047689e-05
PA14_49750	1844.05659934087	-1.75020614950804	0.378034709044305	-4.62974988178378	3.66107682748551e-06	5.08833028047689e-05
PA14_64750	466.609803326009	-1.59429462810719	0.345387528660768	-4.61595887462708	3.91284433022735e-06	5.37831527277477e-05
PA14_06840	6373.22437483988	-3.81330772592613	0.827747881549604	-4.60684685630042	4.0882086005616e-06	5.54094877304024e-05
PA14_06800	133.642539727985	-2.93474816194867	0.637879411922561	-4.6007883419585	4.20894944417976e-06	5.69135901639898e-05
PA14_20170	259.903444812226	-1.97917891542731	0.431707939959625	-4.58453211588467	4.55004150752992e-06	6.06811027594609e-05
PA14_20610	10027.4822750753	-2.56633555555843	0.561093831100401	-4.573808182003	4.78938346589303e-06	6.34375609982377e-05
PA14_20180	313.106926445009	-2.11950193925541	0.463964309808846	-4.5682434929718	4.9182848146951e-06	6.47037559820384e-05
PA14_48530	624.342581460337	-2.15115405138591	0.471706666746954	-4.56036389356332	5.10650518827503e-06	6.65787745800154e-05
PA14_48540	568.609060653967	-2.31418595929477	0.520439685943691	-4.44659779374541	8.72409607571478e-06	0.000105267146851482
PA14_48620	792.46886148266	-2.41735978815971	0.547210584782402	-4.41760421926227	9.98009522834054e-06	0.000119188514325346
PA14_31350	3886.02252060265	-1.54599077903516	0.355385474224451	-4.35017999092095	1.36025832292338e-05	0.000154533830526266
PA14_43050	12738.5899335914	-1.67493029251711	0.387150468552149	-4.32630315231427	1.51632702374786e-05	0.000169945267200048
PA14_05870	1006.31555262837	-1.69714893350119	0.399849475701603	-4.24446957326444	2.19111094355561e-05	0.000234308157413616
PA14_05860	11245.2334806421	-1.87554189621476	0.443514405016074	-4.22881844423247	2.34921824499373e-05	0.000247581264589935
PA14_72060	3503.81964152476	-1.6292126958503	0.38782269481635	-4.20092149744305	2.65830762219481e-05	0.000272757338418157
PA14_48640	286.097659344997	-1.5834701146338	0.378297755784808	-4.18577718323698	2.84192027753531e-05	0.000288548978701669
PA14_09400	15443.8429684445	-2.60376552215249	0.622831286689709	-4.18053103271555	2.90829116113903e-05	0.000294774276297709
PA14_58010	22333.817015267	-2.19411452305853	0.524999486876015	-4.17926984293739	2.92446519183796e-05	0.000295386189567273
PA14_10340	1917.20342124241	-1.52737384697702	0.366292284539809	-4.16982260190367	3.04836829847382e-05	0.000304732254605581
PA14_42960	94.3681555685087	-1.55612339234529	0.373180324358134	-4.16989667132587	3.04737773671749e-05	0.000304732254605581
PA14_20190	716.069405083171	-2.10262546940157	0.504676509052189	-4.16628361274516	3.09605489874089e-05	0.00030791481143109
PA14_48560	1459.27685573071	-2.21397480259202	0.536210276673605	-4.12893019568084	3.64455019964201e-05	0.000353418278927015
PA14_06830	9773.87706500962	-4.14457851814448	1.01491166811364	-4.08368397798378	4.43273041161684e-05	0.000414670190030545
PA14_43020	1091.36650457018	-1.55639247387879	0.383369281523323	-4.05977356269769	4.91203282606782e-05	0.000452248456719167
PA14_02760	495.452825601631	-2.0153084691604	0.497393045888122	-4.05174235108566	5.08376304168247e-05	0.000464391395092875
PA14_16250	30066.2268184348	-1.77656318546002	0.439649720123622	-4.04086049448748	5.3255432845315e-05	0.00048495728534765
PA14_48570	3054.26659377072	-2.19036059957405	0.542837190509229	-4.03502309323961	5.45969274874296e-05	0.000495624444543208
PA14_48550	196.59028814913	-1.92148280302735	0.478159777500772	-4.01849526756619	5.85709853717151e-05	0.000525110186609107
PA14_20230	1547.0344909199	-2.63215364442191	0.664386117454719	-3.96178302837777	7.43921289478687e-05	0.000631087812966781
PA14_06860	2442.33112939783	-2.63340799278194	0.666336252539641	-3.95207071916783	7.74778348955022e-05	0.000646906621448405
PA14_20200	2965.53788848042	-2.99436222631938	0.762123808485016	-3.92897084828213	8.53101794932782e-05	0.000701252081927821
PA14_02790	744.202481173803	-1.56716080993046	0.399864064779923	-3.91923392964305	8.88308650494774e-05	0.00072609576649138
PA14_02770	343.286404754577	-2.02000904614565	0.516757283573519	-3.90900933640785	9.26753826913044e-05	0.000748077742832302
PA14_01900	812.183871283068	-2.11814092175998	0.544340325378181	-3.89120706846108	9.97467611753247e-05	0.000790333440720635
PA14_01910	621.286229316262	-1.69339754536957	0.441467201842064	-3.83583998608212	0.000125135864868169	0.000964671720174192
PA14_10500	15576.6158056697	-2.1272739822509	0.558460522114503	-3.80917522011473	0.000139431124763339	0.00105259662580406
PA14_06810	2650.92742640604	-3.75872145375447	0.988624541242347	-3.80197061366806	0.000143549756799355	0.00107557124046603
PA14_10490	721.833222300708	-1.6880579509236	0.455030612604962	-3.7097678797033	0.000207449356860803	0.00145139838149431
PA14_20960	4019.00018208229	-1.91433120948333	0.518099737331617	-3.69490866631734	0.000219965841998998	0.00151891105114948
PA14_44520	264.968746688659	-1.54868246469011	0.423273357124519	-3.65882340247208	0.000253375856808762	0.00169343405215764
PA14_58030	89072.8204094378	-2.16722001534221	0.598900223529274	-3.61866623219966	0.000296125261380115	0.00189858968462411
PA14_20950	4689.15956586132	-1.81171316167149	0.501730323681321	-3.61093016738254	0.000305100810717822	0.00194330877034259
PA14_20980	5745.75587047782	-1.92060508730977	0.550526417374067	-3.4886701649501	0.000485429735717631	0.00282062263186675
PA14_06750	19714.9386120867	-2.48813743929943	0.716285791513833	-3.47366577527787	0.000513400107664963	0.00295078483971539
PA14_58000	46199.9963273087	-1.92540495921218	0.558449605403528	-3.44776850154798	0.000565238279060508	0.00319515876853991
PA14_21000	5384.16237316901	-1.73215769248954	0.505708910238941	-3.42520698650755	0.000614331194843539	0.00341308122359213
PA14_06730	909.79376764123	-2.16601376041339	0.63387175688155	-3.41711669103148	0.000632881462344681	0.00348952995510388
PA14_06710	1004.07434617553	-1.9732121870816	0.578746775551562	-3.40945689969688	0.000650923623980401	0.00357547868101581
PA14_06720	3758.45283568046	-1.95787362867232	0.575459568577509	-3.40227834513558	0.000668265386368658	0.0036555347830261
PA14_20940	892.79218959707	-1.74282534427996	0.513690162501426	-3.39275592858005	0.000691932608738786	0.00374080078268056
PA14_20970	7792.48479315213	-1.7875482504061	0.527201654972468	-3.39063474772182	0.000697309660392991	0.00376637692379087
PA14_06740	1921.47019044228	-2.33577177741827	0.703430713565503	-3.32054278036691	0.000898425886416585	0.00463775559436303
PA14_06670	2283.88101183922	-1.73304859974809	0.527585754634796	-3.28486617487946	0.00102030821058639	0.00514836039073377
PA14_52990	3497.69623683996	-1.52450443509959	0.467727743135477	-3.2593842410969	0.00111654334930751	0.00551389423749756
PA14_53070	3379.8362462565	-1.97692516427997	0.615388199834988	-3.2124846800931	0.00131592166493761	0.00629137937920952
PA14_21010	4171.65039545364	-1.70975867739411	0.550006107039704	-3.10861762353248	0.00187964809943957	0.00833048602550098
PA14_06700	976.793088283533	-1.91096342057259	0.618481189748978	-3.08976805155253	0.00200312861781069	0.00874474425812786
PA14_06660	1245.51745704004	-1.7371035469164	0.565503019622125	-3.07178474144515	0.0021278311113951	0.00920896440842442
PA14_58040	9004.12307946017	-1.96242256739308	0.639164771676141	-3.07029212865853	0.00213849490583462	0.00922512828364484
PA14_06690	691.066682673396	-1.77235392907553	0.587940237604581	-3.01451374768386	0.00257391545714497	0.0106313106195896
PA14_06680	452.629623986535	-1.57962919905772	0.553825199858835	-2.85221618564911	0.00434155628162882	0.0160244395245933
PA14_57990	17449.2236546571	-1.50716302362869	0.535377377693425	-2.81514140571652	0.00487557755093972	0.0174860713642318
PA14_28970	1109.84897016435	-1.52924108118259	0.57521455244652	-2.65855770629998	0.00784759101156473	0.0255507041426811
