barcode,in_tissue,array_row,array_col,pxl_row_in_fullres,pxl_col_in_fullres
Spot_185-1,1,5,6,350,400
Spot_186-1,1,6,6,400,400
Spot_187-1,1,7,6,450,400
Spot_188-1,1,8,6,500,400
Spot_189-1,1,9,6,550,400
Spot_190-1,1,10,6,600,400
Spot_191-1,1,11,6,650,400
Spot_192-1,1,12,6,700,400
Spot_193-1,1,13,6,750,400
Spot_194-1,1,14,6,800,400
Spot_195-1,1,15,6,850,400
Spot_196-1,1,16,6,900,400
Spot_197-1,1,17,6,950,400
Spot_198-1,1,18,6,1000,400
Spot_199-1,1,19,6,1050,400
Spot_200-1,1,20,6,1100,400
Spot_201-1,1,21,6,1150,400
Spot_202-1,1,22,6,1200,400
Spot_203-1,1,23,6,1250,400
Spot_204-1,1,24,6,1300,400
Spot_205-1,1,25,6,1350,400
Spot_206-1,1,26,6,1400,400
Spot_207-1,1,27,6,1450,400
Spot_208-1,1,28,6,1500,400
Spot_209-1,1,29,6,1550,400
Spot_210-1,1,0,7,100,450
Spot_211-1,1,1,7,150,450
Spot_212-1,1,2,7,200,450
Spot_213-1,1,3,7,250,450
Spot_214-1,1,4,7,300,450
Spot_215-1,1,5,7,350,450
Spot_216-1,1,6,7,400,450
Spot_217-1,1,7,7,450,450
Spot_218-1,1,8,7,500,450
Spot_219-1,1,9,7,550,450
Spot_220-1,1,10,7,600,450
Spot_221-1,1,11,7,650,450
Spot_222-1,1,12,7,700,450
Spot_223-1,1,13,7,750,450
Spot_224-1,1,14,7,800,450
Spot_225-1,1,15,7,850,450
Spot_226-1,1,16,7,900,450
Spot_227-1,1,17,7,950,450
Spot_228-1,1,18,7,1000,450
Spot_229-1,1,19,7,1050,450
Spot_230-1,1,20,7,1100,450
Spot_231-1,1,21,7,1150,450
Spot_232-1,1,22,7,1200,450
Spot_233-1,1,23,7,1250,450
Spot_234-1,1,24,7,1300,450
Spot_235-1,1,25,7,1350,450
Spot_236-1,1,26,7,1400,450
Spot_237-1,1,27,7,1450,450
Spot_238-1,1,28,7,1500,450
Spot_239-1,1,29,7,1550,450
Spot_240-1,1,0,8,100,500
Spot_241-1,1,1,8,150,500
Spot_242-1,1,2,8,200,500
Spot_243-1,1,3,8,250,500
Spot_244-1,1,4,8,300,500
Spot_245-1,1,5,8,350,500
Spot_246-1,1,6,8,400,500
Spot_247-1,1,7,8,450,500
Spot_248-1,1,8,8,500,500
Spot_249-1,1,9,8,550,500
Spot_250-1,1,10,8,600,500
Spot_251-1,1,11,8,650,500
Spot_252-1,1,12,8,700,500
Spot_253-1,1,13,8,750,500
Spot_254-1,1,14,8,800,500
Spot_255-1,1,15,8,850,500
Spot_256-1,1,16,8,900,500
Spot_257-1,1,17,8,950,500
Spot_258-1,1,18,8,1000,500
Spot_259-1,1,19,8,1050,500
Spot_260-1,1,20,8,1100,500
Spot_261-1,1,21,8,1150,500
Spot_262-1,1,22,8,1200,500
Spot_263-1,1,23,8,1250,500
Spot_264-1,1,24,8,1300,500
Spot_265-1,1,25,8,1350,500
Spot_266-1,1,26,8,1400,500
Spot_267-1,1,27,8,1450,500
Spot_268-1,1,28,8,1500,500
Spot_269-1,1,29,8,1550,500
Spot_270-1,1,0,9,100,550
Spot_271-1,1,1,9,150,550
Spot_272-1,1,2,9,200,550
Spot_273-1,1,3,9,250,550
Spot_274-1,1,4,9,300,550
Spot_275-1,1,5,9,350,550
Spot_276-1,1,6,9,400,550
Spot_277-1,1,7,9,450,550
Spot_278-1,1,8,9,500,550
Spot_279-1,1,9,9,550,550
Spot_280-1,1,10,9,600,550
Spot_281-1,1,11,9,650,550
Spot_282-1,1,12,9,700,550
Spot_283-1,1,13,9,750,550
Spot_284-1,1,14,9,800,550
Spot_285-1,1,15,9,850,550
Spot_286-1,1,16,9,900,550
Spot_287-1,1,17,9,950,550
Spot_288-1,1,18,9,1000,550
Spot_289-1,1,19,9,1050,550
Spot_290-1,1,20,9,1100,550
Spot_291-1,1,21,9,1150,550
Spot_292-1,1,22,9,1200,550
Spot_293-1,1,23,9,1250,550
Spot_294-1,1,24,9,1300,550
Spot_295-1,1,25,9,1350,550
Spot_296-1,1,26,9,1400,550
Spot_297-1,1,27,9,1450,550
Spot_298-1,1,28,9,1500,550
Spot_299-1,1,29,9,1550,550
Spot_300-1,1,0,10,100,600
Spot_301-1,1,1,10,150,600
Spot_302-1,1,2,10,200,600
Spot_303-1,1,3,10,250,600
Spot_304-1,1,4,10,300,600
Spot_305-1,1,5,10,350,600
Spot_306-1,1,6,10,400,600
Spot_307-1,1,7,10,450,600
Spot_308-1,1,8,10,500,600
Spot_309-1,1,9,10,550,600
Spot_310-1,1,10,10,600,600
Spot_311-1,1,11,10,650,600
Spot_312-1,1,12,10,700,600
Spot_313-1,1,13,10,750,600
Spot_314-1,1,14,10,800,600
Spot_315-1,1,15,10,850,600
Spot_316-1,1,16,10,900,600
Spot_317-1,1,17,10,950,600
Spot_318-1,1,18,10,1000,600
Spot_319-1,1,19,10,1050,600
Spot_320-1,1,20,10,1100,600
Spot_321-1,1,21,10,1150,600
Spot_322-1,1,22,10,1200,600
Spot_323-1,1,23,10,1250,600
Spot_324-1,1,24,10,1300,600
Spot_325-1,1,25,10,1350,600
Spot_326-1,1,26,10,1400,600
Spot_327-1,1,27,10,1450,600
Spot_328-1,1,28,10,1500,600
Spot_329-1,1,29,10,1550,600
Spot_330-1,1,0,11,100,650
Spot_331-1,1,1,11,150,650
Spot_332-1,1,2,11,200,650
Spot_333-1,1,3,11,250,650
Spot_334-1,1,4,11,300,650
Spot_335-1,1,5,11,350,650
Spot_336-1,1,6,11,400,650
Spot_337-1,1,7,11,450,650
Spot_338-1,1,8,11,500,650
Spot_339-1,1,9,11,550,650
Spot_340-1,1,10,11,600,650
Spot_341-1,1,11,11,650,650
Spot_342-1,1,12,11,700,650
Spot_343-1,1,13,11,750,650
Spot_344-1,1,14,11,800,650
Spot_345-1,1,15,11,850,650
Spot_346-1,1,16,11,900,650
Spot_347-1,1,17,11,950,650
Spot_348-1,1,18,11,1000,650
Spot_349-1,1,19,11,1050,650
Spot_350-1,1,20,11,1100,650
Spot_351-1,1,21,11,1150,650
Spot_352-1,1,22,11,1200,650
Spot_353-1,1,23,11,1250,650
Spot_354-1,1,24,11,1300,650
Spot_355-1,1,25,11,1350,650
Spot_356-1,1,26,11,1400,650
Spot_357-1,1,27,11,1450,650
Spot_358-1,1,28,11,1500,650
Spot_359-1,1,29,11,1550,650
Spot_360-1,1,0,12,100,700
Spot_361-1,1,1,12,150,700
Spot_362-1,1,2,12,200,700
Spot_363-1,1,3,12,250,700
Spot_364-1,1,4,12,300,700
Spot_365-1,1,5,12,350,700
Spot_366-1,1,6,12,400,700
Spot_367-1,1,7,12,450,700
Spot_368-1,1,8,12,500,700
Spot_369-1,1,9,12,550,700
Spot_370-1,1,10,12,600,700
Spot_371-1,1,11,12,650,700
Spot_372-1,1,12,12,700,700
Spot_373-1,1,13,12,750,700
Spot_374-1,1,14,12,800,700
Spot_375-1,1,15,12,850,700
Spot_376-1,1,16,12,900,700
Spot_377-1,1,17,12,950,700
Spot_378-1,1,18,12,1000,700
Spot_379-1,1,19,12,1050,700
Spot_380-1,1,20,12,1100,700
Spot_381-1,1,21,12,1150,700
Spot_382-1,1,22,12,1200,700
Spot_383-1,1,23,12,1250,700
Spot_384-1,1,24,12,1300,700
Spot_385-1,1,25,12,1350,700
Spot_386-1,1,26,12,1400,700
Spot_387-1,1,27,12,1450,700
Spot_388-1,1,28,12,1500,700
Spot_389-1,1,29,12,1550,700
Spot_390-1,1,0,13,100,750
Spot_391-1,1,1,13,150,750
Spot_392-1,1,2,13,200,750
Spot_393-1,1,3,13,250,750
Spot_394-1,1,4,13,300,750
Spot_395-1,1,5,13,350,750
Spot_396-1,1,6,13,400,750
Spot_397-1,1,7,13,450,750
Spot_398-1,1,8,13,500,750
Spot_399-1,1,9,13,550,750
Spot_400-1,1,10,13,600,750
Spot_401-1,1,11,13,650,750
Spot_402-1,1,12,13,700,750
Spot_403-1,1,13,13,750,750
Spot_404-1,1,14,13,800,750
Spot_405-1,1,15,13,850,750
Spot_406-1,1,16,13,900,750
Spot_407-1,1,17,13,950,750
Spot_408-1,1,18,13,1000,750
Spot_409-1,1,19,13,1050,750
Spot_410-1,1,20,13,1100,750
Spot_411-1,1,21,13,1150,750
Spot_412-1,1,22,13,1200,750
Spot_413-1,1,23,13,1250,750
Spot_414-1,1,24,13,1300,750
Spot_415-1,1,25,13,1350,750
Spot_416-1,1,26,13,1400,750
Spot_417-1,1,27,13,1450,750
Spot_418-1,1,28,13,1500,750
Spot_419-1,1,29,13,1550,750
Spot_420-1,1,0,14,100,800
Spot_421-1,1,1,14,150,800
Spot_422-1,1,2,14,200,800
Spot_423-1,1,3,14,250,800
Spot_424-1,1,4,14,300,800
Spot_425-1,1,5,14,350,800
Spot_426-1,1,6,14,400,800
Spot_427-1,1,7,14,450,800
Spot_428-1,1,8,14,500,800
Spot_429-1,1,9,14,550,800
Spot_430-1,1,10,14,600,800
Spot_431-1,1,11,14,650,800
Spot_432-1,1,12,14,700,800
Spot_433-1,1,13,14,750,800
Spot_434-1,1,14,14,800,800
Spot_435-1,1,15,14,850,800
Spot_436-1,1,16,14,900,800
Spot_437-1,1,17,14,950,800
Spot_438-1,1,18,14,1000,800
Spot_439-1,1,19,14,1050,800
Spot_440-1,1,20,14,1100,800
Spot_441-1,1,21,14,1150,800
Spot_442-1,1,22,14,1200,800
Spot_443-1,1,23,14,1250,800
Spot_444-1,1,24,14,1300,800
Spot_445-1,1,25,14,1350,800
Spot_446-1,1,26,14,1400,800
Spot_447-1,1,27,14,1450,800
Spot_448-1,1,28,14,1500,800
Spot_449-1,1,29,14,1550,800
Spot_450-1,1,0,15,100,850
Spot_451-1,1,1,15,150,850
Spot_452-1,1,2,15,200,850
Spot_453-1,1,3,15,250,850
Spot_454-1,1,4,15,300,850
Spot_455-1,1,5,15,350,850
Spot_456-1,1,6,15,400,850
Spot_457-1,1,7,15,450,850
Spot_458-1,1,8,15,500,850
Spot_459-1,1,9,15,550,850
Spot_460-1,1,10,15,600,850
Spot_461-1,1,11,15,650,850
Spot_462-1,1,12,15,700,850
Spot_463-1,1,13,15,750,850
Spot_464-1,1,14,15,800,850
Spot_465-1,1,15,15,850,850
Spot_466-1,1,16,15,900,850
Spot_467-1,1,17,15,950,850
Spot_468-1,1,18,15,1000,850
Spot_469-1,1,19,15,1050,850
Spot_470-1,1,20,15,1100,850
Spot_471-1,1,21,15,1150,850
Spot_472-1,1,22,15,1200,850
Spot_473-1,1,23,15,1250,850
Spot_474-1,1,24,15,1300,850
Spot_475-1,1,25,15,1350,850
Spot_476-1,1,26,15,1400,850
Spot_477-1,1,27,15,1450,850
Spot_478-1,1,28,15,1500,850
Spot_479-1,1,29,15,1550,850
Spot_480-1,1,0,16,100,900
Spot_481-1,1,1,16,150,900
Spot_482-1,1,2,16,200,900
Spot_483-1,1,3,16,250,900
Spot_484-1,1,4,16,300,900
Spot_485-1,1,5,16,350,900
Spot_486-1,1,6,16,400,900
Spot_487-1,1,7,16,450,900
Spot_488-1,1,8,16,500,900
Spot_489-1,1,9,16,550,900
Spot_490-1,1,10,16,600,900
Spot_491-1,1,11,16,650,900
Spot_492-1,1,12,16,700,900
Spot_493-1,1,13,16,750,900
Spot_494-1,1,14,16,800,900
Spot_495-1,1,15,16,850,900
Spot_496-1,1,16,16,900,900
Spot_497-1,1,17,16,950,900
Spot_498-1,1,18,16,1000,900
Spot_499-1,1,19,16,1050,900
Spot_500-1,1,20,16,1100,900
Spot_501-1,1,21,16,1150,900
Spot_502-1,1,22,16,1200,900
Spot_503-1,1,23,16,1250,900
Spot_504-1,1,24,16,1300,900
Spot_505-1,1,25,16,1350,900
Spot_506-1,1,26,16,1400,900
Spot_507-1,1,27,16,1450,900
Spot_508-1,1,28,16,1500,900
Spot_509-1,1,29,16,1550,900
Spot_510-1,1,0,17,100,950
Spot_511-1,1,1,17,150,950
Spot_512-1,1,2,17,200,950
Spot_513-1,1,3,17,250,950
Spot_514-1,1,4,17,300,950
Spot_515-1,1,5,17,350,950
Spot_516-1,1,6,17,400,950
Spot_517-1,1,7,17,450,950
Spot_518-1,1,8,17,500,950
Spot_519-1,1,9,17,550,950
Spot_520-1,1,10,17,600,950
Spot_521-1,1,11,17,650,950
Spot_522-1,1,12,17,700,950
Spot_523-1,1,13,17,750,950
Spot_524-1,1,14,17,800,950
Spot_525-1,1,15,17,850,950
Spot_526-1,1,16,17,900,950
Spot_527-1,1,17,17,950,950
Spot_528-1,1,18,17,1000,950
Spot_529-1,1,19,17,1050,950
Spot_530-1,1,20,17,1100,950
Spot_531-1,1,21,17,1150,950
Spot_532-1,1,22,17,1200,950
Spot_533-1,1,23,17,1250,950
Spot_534-1,1,24,17,1300,950
Spot_535-1,1,25,17,1350,950
Spot_536-1,1,26,17,1400,950
Spot_537-1,1,27,17,1450,950
Spot_538-1,1,28,17,1500,950
Spot_539-1,1,29,17,1550,950
Spot_540-1,1,0,18,100,1000
Spot_541-1,1,1,18,150,1000
Spot_542-1,1,2,18,200,1000
Spot_543-1,1,3,18,250,1000
Spot_544-1,1,4,18,300,1000
Spot_545-1,1,5,18,350,1000
Spot_546-1,1,6,18,400,1000
Spot_547-1,1,7,18,450,1000
Spot_548-1,1,8,18,500,1000
Spot_549-1,1,9,18,550,1000
Spot_550-1,1,10,18,600,1000
Spot_551-1,1,11,18,650,1000
Spot_552-1,1,12,18,700,1000
Spot_553-1,1,13,18,750,1000
Spot_554-1,1,14,18,800,1000
Spot_555-1,1,15,18,850,1000
Spot_556-1,1,16,18,900,1000
Spot_557-1,1,17,18,950,1000
Spot_558-1,1,18,18,1000,1000
Spot_559-1,1,19,18,1050,1000
Spot_560-1,1,20,18,1100,1000
Spot_561-1,1,21,18,1150,1000
Spot_562-1,1,22,18,1200,1000
Spot_563-1,1,23,18,1250,1000
Spot_564-1,1,24,18,1300,1000
Spot_565-1,1,25,18,1350,1000
Spot_566-1,1,26,18,1400,1000
Spot_567-1,1,27,18,1450,1000
Spot_568-1,1,28,18,1500,1000
Spot_569-1,1,29,18,1550,1000
Spot_570-1,1,0,19,100,1050
Spot_571-1,1,1,19,150,1050
Spot_572-1,1,2,19,200,1050
Spot_573-1,1,3,19,250,1050
Spot_574-1,1,4,19,300,1050
Spot_575-1,1,5,19,350,1050
Spot_576-1,1,6,19,400,1050
Spot_577-1,1,7,19,450,1050
Spot_578-1,1,8,19,500,1050
Spot_579-1,1,9,19,550,1050
Spot_580-1,1,10,19,600,1050
Spot_581-1,1,11,19,650,1050
Spot_582-1,1,12,19,700,1050
Spot_583-1,1,13,19,750,1050
Spot_584-1,1,14,19,800,1050
Spot_585-1,1,15,19,850,1050
Spot_586-1,1,16,19,900,1050
Spot_587-1,1,17,19,950,1050
Spot_588-1,1,18,19,1000,1050
Spot_589-1,1,19,19,1050,1050
Spot_590-1,1,20,19,1100,1050
Spot_591-1,1,21,19,1150,1050
Spot_592-1,1,22,19,1200,1050
Spot_593-1,1,23,19,1250,1050
Spot_594-1,1,24,19,1300,1050
Spot_595-1,1,25,19,1350,1050
Spot_596-1,1,26,19,1400,1050
Spot_597-1,1,27,19,1450,1050
Spot_598-1,1,28,19,1500,1050
Spot_599-1,1,29,19,1550,1050
Spot_600-1,1,0,20,100,1100
Spot_601-1,1,1,20,150,1100
Spot_602-1,1,2,20,200,1100
Spot_603-1,1,3,20,250,1100
Spot_604-1,1,4,20,300,1100
Spot_605-1,1,5,20,350,1100
Spot_606-1,1,6,20,400,1100
Spot_607-1,1,7,20,450,1100
Spot_608-1,1,8,20,500,1100
Spot_609-1,1,9,20,550,1100
Spot_610-1,1,10,20,600,1100
Spot_611-1,1,11,20,650,1100
Spot_612-1,1,12,20,700,1100
Spot_613-1,1,13,20,750,1100
Spot_614-1,1,14,20,800,1100
Spot_615-1,1,15,20,850,1100
Spot_616-1,1,16,20,900,1100
Spot_617-1,1,17,20,950,1100
Spot_618-1,1,18,20,1000,1100
Spot_619-1,1,19,20,1050,1100
Spot_620-1,1,20,20,1100,1100
Spot_621-1,1,21,20,1150,1100
Spot_622-1,1,22,20,1200,1100
Spot_623-1,1,23,20,1250,1100
Spot_624-1,1,24,20,1300,1100
Spot_625-1,1,25,20,1350,1100
Spot_626-1,1,26,20,1400,1100
Spot_627-1,1,27,20,1450,1100
Spot_628-1,1,28,20,1500,1100
Spot_629-1,1,29,20,1550,1100
Spot_630-1,1,0,21,100,1150
Spot_631-1,1,1,21,150,1150
Spot_632-1,1,2,21,200,1150
Spot_633-1,1,3,21,250,1150
Spot_634-1,1,4,21,300,1150
Spot_635-1,1,5,21,350,1150
Spot_636-1,1,6,21,400,1150
Spot_637-1,1,7,21,450,1150
Spot_638-1,1,8,21,500,1150
Spot_639-1,1,9,21,550,1150
Spot_640-1,1,10,21,600,1150
Spot_641-1,1,11,21,650,1150
Spot_642-1,1,12,21,700,1150
Spot_643-1,1,13,21,750,1150
Spot_644-1,1,14,21,800,1150
Spot_645-1,1,15,21,850,1150
Spot_646-1,1,16,21,900,1150
Spot_647-1,1,17,21,950,1150
Spot_648-1,1,18,21,1000,1150
Spot_649-1,1,19,21,1050,1150
Spot_650-1,1,20,21,1100,1150
Spot_651-1,1,21,21,1150,1150
Spot_652-1,1,22,21,1200,1150
Spot_653-1,1,23,21,1250,1150
Spot_654-1,1,24,21,1300,1150
Spot_655-1,1,25,21,1350,1150
Spot_656-1,1,26,21,1400,1150
Spot_657-1,1,27,21,1450,1150
Spot_658-1,1,28,21,1500,1150
Spot_659-1,1,29,21,1550,1150
Spot_660-1,1,0,22,100,1200
Spot_661-1,1,1,22,150,1200
Spot_662-1,1,2,22,200,1200
Spot_663-1,1,3,22,250,1200
Spot_664-1,1,4,22,300,1200
Spot_665-1,1,5,22,350,1200
Spot_666-1,1,6,22,400,1200
Spot_667-1,1,7,22,450,1200
Spot_668-1,1,8,22,500,1200
Spot_669-1,1,9,22,550,1200
Spot_670-1,1,10,22,600,1200
Spot_671-1,1,11,22,650,1200
Spot_672-1,1,12,22,700,1200
Spot_673-1,1,13,22,750,1200
Spot_674-1,1,14,22,800,1200
Spot_675-1,1,15,22,850,1200
Spot_676-1,1,16,22,900,1200
Spot_677-1,1,17,22,950,1200
Spot_678-1,1,18,22,1000,1200
Spot_679-1,1,19,22,1050,1200
Spot_680-1,1,20,22,1100,1200
Spot_681-1,1,21,22,1150,1200
Spot_682-1,1,22,22,1200,1200
Spot_683-1,1,23,22,1250,1200
Spot_684-1,1,24,22,1300,1200
Spot_685-1,1,25,22,1350,1200
Spot_686-1,1,26,22,1400,1200
Spot_687-1,1,27,22,1450,1200
Spot_688-1,1,28,22,1500,1200
Spot_689-1,1,29,22,1550,1200
Spot_690-1,1,0,23,100,1250
Spot_691-1,1,1,23,150,1250
Spot_692-1,1,2,23,200,1250
Spot_693-1,1,3,23,250,1250
Spot_694-1,1,4,23,300,1250
Spot_695-1,1,5,23,350,1250
Spot_696-1,1,6,23,400,1250
Spot_697-1,1,7,23,450,1250
Spot_698-1,1,8,23,500,1250
Spot_699-1,1,9,23,550,1250
Spot_700-1,1,10,23,600,1250
Spot_701-1,1,11,23,650,1250
Spot_702-1,1,12,23,700,1250
Spot_703-1,1,13,23,750,1250
Spot_704-1,1,14,23,800,1250
Spot_705-1,1,15,23,850,1250
Spot_706-1,1,16,23,900,1250
Spot_707-1,1,17,23,950,1250
Spot_708-1,1,18,23,1000,1250
Spot_709-1,1,19,23,1050,1250
Spot_710-1,1,20,23,1100,1250
Spot_711-1,1,21,23,1150,1250
Spot_712-1,1,22,23,1200,1250
Spot_713-1,1,23,23,1250,1250
Spot_714-1,1,24,23,1300,1250
Spot_715-1,1,25,23,1350,1250
Spot_716-1,1,26,23,1400,1250
Spot_717-1,1,27,23,1450,1250
Spot_718-1,1,28,23,1500,1250
Spot_719-1,1,29,23,1550,1250
Spot_720-1,1,0,24,100,1300
Spot_721-1,1,1,24,150,1300
Spot_722-1,1,2,24,200,1300
Spot_723-1,1,3,24,250,1300
Spot_724-1,1,4,24,300,1300
Spot_725-1,1,5,24,350,1300
Spot_726-1,1,6,24,400,1300
Spot_727-1,1,7,24,450,1300
Spot_728-1,1,8,24,500,1300
Spot_729-1,1,9,24,550,1300
Spot_730-1,1,10,24,600,1300
Spot_731-1,1,11,24,650,1300
Spot_732-1,1,12,24,700,1300
Spot_733-1,1,13,24,750,1300
Spot_734-1,1,14,24,800,1300
Spot_735-1,1,15,24,850,1300
Spot_736-1,1,16,24,900,1300
Spot_737-1,1,17,24,950,1300
Spot_738-1,1,18,24,1000,1300
Spot_739-1,1,19,24,1050,1300
Spot_740-1,1,20,24,1100,1300
Spot_741-1,1,21,24,1150,1300
Spot_742-1,1,22,24,1200,1300
Spot_743-1,1,23,24,1250,1300
Spot_744-1,1,24,24,1300,1300
