cluster	n_total	sample1_n	sample2_n	sample1_fraction	sample2_fraction	sample2_to_sample1_ratio	top40_markers
10	483	448	35	0.071167593	0.0069944045	0.098280877	NRG1,EYS,PDE6A,SYNE2,CNGB1,PCDH15,ANO2,LDLRAD4,ABCA4,DMD,RIMS2,ARMC9,CADM2,EXOC4,PPP2R2B,PLOD2,NTM,PDE6B,MARCH1,THSD7B,SORBS2,USH2A,ABCA7,DISC1,DSCAML1,NEGR1,BBS9,PTPN13,PFKP,ADCY1,PRELID2,HCN1,AC092100.1,CAMK1D,PROM1,AC079362.1,LHFPL3,GRB10,ARHGAP10,MAP1B
11	464	245	219	0.038919778	0.043764988	1.1244922	SAMD5,SDK1,AL033504.1,PTPRM,LRRTM4,TRPM1,NTNG1,KCNH5,RGS7,DGKI,GRM5,ST6GALNAC5,MTUS2,DOK6,DAB1,PDZRN4,PRKCA,EDIL3,NETO1,TMEM196,LINGO2,RYR2,FGF12,CA10,ADGRL2,MDGA2,PTPRG,ROBO2,CDH12,SERPINI1,MCTP2,GRID2,ATRNL1,GNAO1,CNTN4,SLC4A10,PRKCE,GRM6,CALM1,DLG2
12	310	167	143	0.026528991	0.028577138	1.0772041	GRIK1,DGKB,TAFA4,TENM3,GRM7,PTPRO,CA10,PCDH9,KHDRBS2,NEBL,NRXN3,MDGA2,UNC5D,KIAA1217,NETO1,LRRC7,CNTNAP5,SNTG1,NCKAP5,RYR2,TTN,KCNMA1,PLCB4,MACROD2,CNTN1,NRG3,CDH20,AL355612.1,IQCJ-SCHIP1,AC020584.1,PDE1C,SGCD,FAM171B,DLGAP1,DOK6,ZNF804A,SLC8A1,CADPS,NKAIN3,DGKI
13	305	0	305	0	0.060951239	6095124.9	WIF1,TF,FRZB,GLUL,SPP1,TRDN,CLU,RLBP1,DACH1,TRPM3,APOE,HKDC1,SLC1A3,HES1,GABRG3,FOXP2,DKK3,VIM,NAV3,GPM6A,ADGRL3,KIAA1217,LRRC4C,GPX3,ABI3BP,CA2,PTGDS,RGR,CTNNA2,F3,MIR99AHG,DCLK1,NKAIN2,RTN4,PRKG1,CPA6,CRABP1,ENO1,GRID2,SULF1
14	259	163	96	0.025893566	0.019184652	0.74090431	GRIK1,DSCAM,DPP10,TENM3,PDE4B,SLC24A3,RIMS1,TAFA4,ANKS1B,CNTN4,KHDRBS2,CNTNAP2,OPCML,CNTNAP5,CSMD3,ZNF804B,PLCB4,NEBL,NRXN3,CA10,THSD7A,NRG1,CDH20,CAMK4,CRYBG3,ZPBP,LRRC7,KCNIP4,PDE1A,BACH1,NFIB,BCAT1,SAMSN1,NFIA,DST,SLC8A1,PRKCB,DGKB,GABRB3,KCNMA1
15	252	167	85	0.026528991	0.016986411	0.64029628	TRPM1,ZNF804B,FRMD3,ROBO2,ADGRB3,HS3ST4,CA10,GABRR2,DLG2,CARMIL1,MCC,IQCJ-SCHIP1,NCKAP5,TMTC2,PTPRG,NRG3,DOK6,SOX5,KCNMA1,BCAT1,CSMD1,ADGRL2,CADPS,PTPRT,KCNH7,CDH20,AP001825.1,FAM135B,MDGA2,RELN,GRID1,RYR2,SCN7A,SLC24A4,EPHA7,SAMSN1,NRXN3,KHDRBS3,SCN1A,LRRTM4
16	206	115	91	0.018268467	0.018185452	0.99545581	MIAT,RBPMS,EBF1,KCNC2,HS6ST3,NEFL,MEG3,MEG8,PLCB1,RBFOX1,NEFM,LRFN5,SCN1A-AS1,TENM4,SYN3,EPHA6,DSCAM,AL355612.1,NRXN1,SCN1A,STMN2,RALYL,LRP1B,AHNAK2,PRUNE2,PRKG1,SLC4A4,ROBO2,PLA2R1,KAZN,TMEM163,SGCZ,UCHL1,SOX5,EPHA5,ATP1B1,RBFOX2,RIT2,GALNTL6,CACNA1B
17	188	89	99	0.014138205	0.019784173	1.3993409	GRIP1,DLGAP1,ADGRL3,NAV3,IL1RAPL1,GRM8,DSCAM,SYNPR,GRIA4,PTPRK,MEG3,XKR4,SNTG1,FRMD5,ADGRB3,CACNA1D,FGF14,FAM155A,FAT3,GAD2,MYT1L,SNHG14,MIR181A1HG,NRXN1,DCLK1,CTNND2,PLPPR1,TENM4,ENOX1,PAX6,RASGEF1B,PAM,DCC,EFNA5,CDH18,ATRNL1,KCNC2,CNTNAP2,ADCY8,AFF3
18	183	183	0	0.029070691	0	3.4398895e-07	TNR,KCNJ3,GRIA4,FBXL7,CACNA1C,ONECUT1,SNTG2,FRMPD4,SEMA5A,DOCK10,ZEB2,ARHGAP44,AC092691.1,FMN2,NAV3,GRIA3,PCSK6,GRIP1,PDE4B,PAK5,PLCB4,RYR3,ADCY2,CNTN4,ONECUT2,MAGI1,ARHGAP24,LSAMP,SH3GL3,FAM135A,RGS7,MIR181A2HG,SLC2A13,PCSK5,RORB,VAT1L,SESTD1,LHFPL6,NEBL,CDK14
19	179	84	95	0.013343924	0.018984812	1.4227305	CDH18,NRXN1,GRIK2,ZNF804A,CACNA2D3,ADGRB3,FAM155A,DLGAP1,TMTC2,HS6ST3,GRIA4,ZFPM2,TENM2,DAB1,DTNA,DSCAM,GPR158,SLC24A3,IL1RAPL1,TCF4,ANKS1B,RBFOX1,MGAT4C,NRXN3,CNTNAP2,LSAMP,NOVA1,DCLK2,RGS7,PREX2,PTPRT,TRHDE,ADGRL3,SNHG14,GALNT13,CACNA1D,KCNJ3,GRIP1,EBF1,KCNIP4
20	162	108	54	0.017156473	0.010791367	0.62899702	KIRREL3,KCNH7,ROBO2,PDE4B,ZNF804B,ADGRL2,NFIA,ADARB2,AL358335.2,ADGRB3,SNTG1,SAMSN1,CA10,LINC00470,ZNF804A,NRXN3,CNTNAP2,TRPM1,IQCJ-SCHIP1,FAM135B,SOX6,DOK6,NRG3,INPP4B,CSMD3,ST18,GRM6,CACNA2D1,SCN1A,INSYN2A,KHDRBS3,NETO1,SLC24A2,NFIA-AS2,KCTD16,RORA,EPHA7,KCNMA1,FGF12,LINC01915
21	143	124	19	0.019698173	0.0037969624	0.19275749	SDK1,SAMD5,AL033504.1,PTPRM,LRRTM4,NTNG1,MTUS2,KCNH5,TRPM1,DOK6,RGS7,GRM5,DAB1,PRKCA,EDIL3,RYR2,DGKI,NETO1,CA10,ST6GALNAC5,PDZRN4,ADGRL2,ROBO2,MDGA2,TMEM196,CDH12,CNTN5,MCTP2,PTPRG,FGF12,LINGO2,ATRNL1,DLG2,SERPINI1,PTPRT,SLC4A10,KHDRBS3,B4GALT6,PRKCE,RAPGEF5
22	140	74	66	0.011755361	0.013189448	1.1219942	NTNG1,FAM155A,GRID2,PCDH9,GRIK1,NETO1,MDGA2,DOK6,CA10,GALNT13,NRXN3,CDH20,ZFHX4,NXPH2,SLIT2,CADPS,PLCB4,PDZRN4,TENM2,UNC5D,NXPH1,ADAM23,NEBL,KHDRBS2,DGKB,CNTNAP5,TACR3,SGCD,GRM5,PTPRR,LRFN5,SAMSN1,MACROD2,GREB1L,LRP1B,CDH8,KCNMA1,LAMA3,EBF1,RASGEF1B
23	139	89	50	0.014138205	0.0099920064	0.70673819	DPP10,GRIK1,DSCAM,PDE4B,CNTNAP2,KIRREL3,NFIA,CDH20,CNTN4,CNTNAP5,CSMD3,SOX6,NEBL,NRXN3,RIMS1,ANKS1B,KCNIP4,SAMSN1,CTNND2,OPCML,THSD7A,NRG1,MRPS30-DT,FAM126A,ZPBP,CADPS,DST,AC099520.1,IQCJ-SCHIP1,CA10,GABRB3,MAN1A1,BACH1,NFIB,RORA,C8orf34,GABBR2,CACNA2D1,EDIL3,NFIA-AS2
24	127	87	40	0.013820492	0.0079936051	0.57838817	ADARB2,CSMD3,CACNA2D1,PTPRG,GRM7,ROBO2,ADGRL2,CA10,SLC4A10,OLFM3,RIMS1,COL19A1,DGKB,ASIC2,ZNF804B,ADGRB3,SAMSN1,ST6GALNAC3,MDGA2,NRG3,DOK6,NRXN3,NETO1,HS3ST5,KCTD16,NFIB,DOK5,PCDH7,PDE4B,CRYBG3,RUNX1T1,TRPM1,CADPS,CNTN4,GRM6,ST18,LINC01322,IQCJ-SCHIP1,ZNF804A,DLG2
25	113	45	68	0.0071485306	0.013589129	1.9009669	SOX5,DLGAP1,GRIP1,IL1RAPL1,CELF4,GRIA4,FAM155A,CACNA1D,PHACTR1,RASGEF1B,KLHL5,DPP6,LHFPL6,MYT1L,CNTNAP2,TFAP2B,AFF3,MIR181A1HG,PTN,SYNPR,ADCY8,FRMD5,PLPPR1,NRP1,NRG3,ZFPM2,CTNND2,STXBP5-AS1,DAB1,SNHG14,TENM2,NRXN1,LSAMP,GRM8,NRXN3,ZNF804A,PCP4,ROBO1,PAUPAR,SPOCK1
26	84	56	28	0.0088959492	0.0055955236	0.62899722	ERBB4,KCNH7,CNTNAP5,SLIT2,GRIK1,FGF14,DSCAM,THSD7A,EPHA3,SEMA3E,REPS2,PCDH7,NETO1,MDGA2,TENM3,DGKI,KCNB2,DGKB,AL355612.1,CA10,ADGRB3,GUCY1A1,PDZRN4,GRIA2,FGF12,NTNG1,AL358335.2,ZNF804B,GALNT13,ADGRL3,GALNTL6,LSAMP,PCDH9,TENM2,SCN1A,CDH20,TANC2,DST,ZFHX4,OPCML
27	79	39	40	0.0061953932	0.0079936051	1.2902494	RBFOX1,ZNF804A,GRIK2,CNTNAP2,PHACTR1,GRIA4,CDH7,ADGRB3,SYNDIG1,PLCL1,SDK1,ANKS1B,STXBP5-AS1,NFIA,DPP6,PAK5,AC073050.1,CNTN4,HSPA12A,LHFPL6,ST6GALNAC5,RGS7,CDK14,KCNMA1,MEG3,TMTC2,ANO4,SLC35F3,TLL1,CALB2,CRMP1,FAM155A,NTRK2,DAB1,MYT1L,AFF3,SLC12A7,ZDHHC14,DCLK2,PLCB4
28	71	1	70	0.00015885624	0.013988809	88.054072	WIF1,TF,RLBP1,FRZB,GLUL,CLU,SPP1,TRDN,GPX3,APOE,HKDC1,TRPM3,DACH1,CA2,FOXP2,HES1,DKK3,VIM,NAV3,SLC1A3,GABRG3,PTGDS,GPM6A,RGR,SULF1,LRRC4C,ADGRL3,F3,GULP1,CTNNA2,ABI3BP,KIAA1217,MIR99AHG,PRKG1,PCSK2,STAC2,CRABP1,LSAMP,GOLIM4,RTN4
29	70	44	26	0.0069896743	0.0051958433	0.74336022	ADARB2,CSMD1,TRPM1,TMTC2,KIAA1217,HS3ST4,KCNMA1,PTPRG,SAMSN1,SYN2,AL355612.1,ROBO2,MCC,NRG3,UNC5D,NSG1,SOX5,DLG2,DOK6,PCDH11X,CADPS,NRXN3,CARMIL1,DST,MAP3K5,UNC13C,CDH12,GRM7,RORA,GRM5,KHDRBS2,CRYBG3,LRRC7,MDGA2,RYR2,UTRN,MTUS2,EIF2AK3,GRID1,PRICKLE2
30	63	43	20	0.0068308181	0.0039968026	0.58511391	ROBO1,NTNG1,SPOCK3,ROBO2,RASGEF1B,CDH8,PTPRM,SAMSN1,GRID2,DOK6,TRPM1,GRM5,ADGRB3,PCDH9,NETO1,SLIT2,GRM6,ZNF804A,MDGA2,LRRC4C,LRFN5,AC012409.2,CADPS,ZFHX4,ADGRL2,CA10,B4GALT6,NRXN3,NPAS3,TMTC2,FAM155A,PTPRD,LRP1B,LINGO2,CTNNA2,LINC01414,NRG3,CRYBG3,LIMS1,PDE4B
31	28	19	9	0.0030182685	0.0017985612	0.59589305	TFAP2B,KLHL1,SPOCK3,RMST,ERBB4,GAD1,NFIA,DLGAP1,GRM8,VSTM2B,PTPRM,PBX1,PDE3A,SNTG1,PRKG1,SOX5,PRKCB,GRM7,LUZP2,LRRTM4,CARTPT,SCG2,KIRREL3,RALYL,ASXL3,KCNC2,SLIT2,FAM155A,LRRC4C,KCNB2,TMTC1,GRM5,CHRM3,PAM,ENOX1,FRMD5,LRFN5,RIMS1,MEG3,GAD2
