section	sample	cell_type	gene	value
marker_umis_per_cell	2	astrocyte	SLC1A2	2.0139888
marker_presence	all	microglial cell	P2RY12	1
marker_positive_fraction	1	microglial cell	P2RY12	0.035107228
marker_umis_per_cell	1	microglial cell	P2RY12	0.044956315
marker_positive_fraction	2	microglial cell	P2RY12	0.034572342
marker_umis_per_cell	2	microglial cell	P2RY12	0.04696243
marker_presence	all	microglial cell	TMEM119	1
marker_positive_fraction	1	microglial cell	TMEM119	0
marker_umis_per_cell	1	microglial cell	TMEM119	0
marker_positive_fraction	2	microglial cell	TMEM119	0
marker_umis_per_cell	2	microglial cell	TMEM119	0
marker_presence	all	microglial cell	CX3CR1	1
marker_positive_fraction	1	microglial cell	CX3CR1	0
marker_umis_per_cell	1	microglial cell	CX3CR1	0
marker_positive_fraction	2	microglial cell	CX3CR1	0.001598721
marker_umis_per_cell	2	microglial cell	CX3CR1	0.0029976019
marker_presence	all	microglial cell	CSF1R	1
marker_positive_fraction	1	microglial cell	CSF1R	0.0022239873
marker_umis_per_cell	1	microglial cell	CSF1R	0.0022239873
marker_positive_fraction	2	microglial cell	CSF1R	0.0035971223
marker_umis_per_cell	2	microglial cell	CSF1R	0.0049960032
marker_presence	all	microglial cell	HEXB	1
marker_positive_fraction	1	microglial cell	HEXB	0.054964257
marker_umis_per_cell	1	microglial cell	HEXB	0.067037331
marker_positive_fraction	2	microglial cell	HEXB	0.075139888
marker_umis_per_cell	2	microglial cell	HEXB	0.091726619
marker_presence	all	RPE cell	RPE65	1
marker_positive_fraction	1	RPE cell	RPE65	0.016203336
marker_umis_per_cell	1	RPE cell	RPE65	0.018109611
marker_positive_fraction	2	RPE cell	RPE65	0.0313749
marker_umis_per_cell	2	RPE cell	RPE65	0.049160671
marker_presence	all	RPE cell	BEST1	1
marker_positive_fraction	1	RPE cell	BEST1	0.016521048
marker_umis_per_cell	1	RPE cell	BEST1	0.017474186
marker_positive_fraction	2	RPE cell	BEST1	0.018784972
marker_umis_per_cell	2	RPE cell	BEST1	0.029976019
marker_presence	all	RPE cell	RLBP1	1
marker_positive_fraction	1	RPE cell	RLBP1	0.099444003
marker_umis_per_cell	1	RPE cell	RLBP1	0.28514694
marker_positive_fraction	2	RPE cell	RLBP1	0.13009592
marker_umis_per_cell	2	RPE cell	RLBP1	0.72901679
marker_presence	all	RPE cell	PMEL	1
marker_positive_fraction	1	RPE cell	PMEL	0.0028594122
marker_umis_per_cell	1	RPE cell	PMEL	0.0031771247
marker_positive_fraction	2	RPE cell	PMEL	0.0027977618
marker_umis_per_cell	2	RPE cell	PMEL	0.003197442
marker_presence	all	RPE cell	TYR	1
marker_positive_fraction	1	RPE cell	TYR	0.008101668
marker_umis_per_cell	1	RPE cell	TYR	0.011278793
marker_positive_fraction	2	RPE cell	TYR	0.0087929656
marker_umis_per_cell	2	RPE cell	TYR	0.012390088
marker_presence	all	cone cell	ARR3	1
marker_positive_fraction	1	cone cell	ARR3	0.064495631
marker_umis_per_cell	1	cone cell	ARR3	0.15345512
marker_positive_fraction	2	cone cell	ARR3	0.11630695
marker_umis_per_cell	2	cone cell	ARR3	0.6852518
marker_presence	all	cone cell	GNAT2	1
marker_positive_fraction	1	cone cell	GNAT2	0.0063542494
marker_umis_per_cell	1	cone cell	GNAT2	0.0071485306
marker_positive_fraction	2	cone cell	GNAT2	0.03057554
marker_umis_per_cell	2	cone cell	GNAT2	0.052358114
marker_presence	all	cone cell	OPN1LW	1
marker_positive_fraction	1	cone cell	OPN1LW	0.036854647
marker_umis_per_cell	1	cone cell	OPN1LW	0.058300238
marker_positive_fraction	2	cone cell	OPN1LW	0.080535572
marker_umis_per_cell	2	cone cell	OPN1LW	0.26638689
marker_presence	all	cone cell	OPN1MW	1
marker_positive_fraction	1	cone cell	OPN1MW	0.0046068308
marker_umis_per_cell	1	cone cell	OPN1MW	0.0055599682
marker_positive_fraction	2	cone cell	OPN1MW	0.01578737
marker_umis_per_cell	2	cone cell	OPN1MW	0.042366107
marker_presence	all	cone cell	OPN1SW	1
marker_positive_fraction	1	cone cell	OPN1SW	0.0050833995
marker_umis_per_cell	1	cone cell	OPN1SW	0.016838761
marker_positive_fraction	2	cone cell	OPN1SW	0.010191847
marker_umis_per_cell	2	cone cell	OPN1SW	0.038169464
marker_presence	all	cone cell	PDE6C	1
marker_positive_fraction	1	cone cell	PDE6C	0.034154091
marker_umis_per_cell	1	cone cell	PDE6C	0.045909452
marker_positive_fraction	2	cone cell	PDE6C	0.047961631
marker_umis_per_cell	2	cone cell	PDE6C	0.11091127
marker_presence	all	rod cell	RHO	1
marker_positive_fraction	1	rod cell	RHO	0.38284353
marker_umis_per_cell	1	rod cell	RHO	0.7081811
marker_positive_fraction	2	rod cell	RHO	0.84372502
marker_umis_per_cell	2	rod cell	RHO	5.1704636
marker_presence	all	rod cell	GNAT1	1
marker_positive_fraction	1	rod cell	GNAT1	0.34678316
marker_umis_per_cell	1	rod cell	GNAT1	0.60238284
marker_positive_fraction	2	rod cell	GNAT1	0.76498801
marker_umis_per_cell	2	rod cell	GNAT1	4.0453637
marker_presence	all	rod cell	PDE6A	1
marker_positive_fraction	1	rod cell	PDE6A	0.69372518
marker_umis_per_cell	1	rod cell	PDE6A	7.777919
marker_positive_fraction	2	rod cell	PDE6A	0.73461231
marker_umis_per_cell	2	rod cell	PDE6A	12.440448
marker_presence	all	rod cell	PDE6B	1
marker_positive_fraction	1	rod cell	PDE6B	0.5553614
marker_umis_per_cell	1	rod cell	PDE6B	1.6525814
marker_positive_fraction	2	rod cell	PDE6B	0.55215827
marker_umis_per_cell	2	rod cell	PDE6B	1.2248201
marker_presence	all	rod cell	NRL	1
marker_positive_fraction	1	rod cell	NRL	0.38792693
marker_umis_per_cell	1	rod cell	NRL	0.62605242
marker_positive_fraction	2	rod cell	NRL	0.8381295
marker_umis_per_cell	2	rod cell	NRL	4.1005196
marker_presence	all	rod cell	CNGA1	1
marker_positive_fraction	1	rod cell	CNGA1	0.36362192
marker_umis_per_cell	1	rod cell	CNGA1	0.74487689
marker_positive_fraction	2	rod cell	CNGA1	0.6314948
marker_umis_per_cell	2	rod cell	CNGA1	2.0055955
marker_presence	all	horizontal cell	ONECUT1	1
marker_positive_fraction	1	horizontal cell	ONECUT1	0.043685465
marker_umis_per_cell	1	horizontal cell	ONECUT1	0.16934075
marker_positive_fraction	2	horizontal cell	ONECUT1	0.020583533
marker_umis_per_cell	2	horizontal cell	ONECUT1	0.055755396
marker_presence	all	horizontal cell	ONECUT2	1
marker_positive_fraction	1	horizontal cell	ONECUT2	0.043208896
marker_umis_per_cell	1	horizontal cell	ONECUT2	0.1107228
marker_positive_fraction	2	horizontal cell	ONECUT2	0.014588329
marker_umis_per_cell	2	horizontal cell	ONECUT2	0.022981615
marker_presence	all	horizontal cell	LHX1	1
marker_positive_fraction	1	horizontal cell	LHX1	0.019380461
marker_umis_per_cell	1	horizontal cell	LHX1	0.040190627
marker_positive_fraction	2	horizontal cell	LHX1	0.00079936051
marker_umis_per_cell	2	horizontal cell	LHX1	0.00079936051
marker_presence	all	horizontal cell	PROX1	1
marker_positive_fraction	1	horizontal cell	PROX1	0.13169182
marker_umis_per_cell	1	horizontal cell	PROX1	0.27688642
marker_positive_fraction	2	horizontal cell	PROX1	0.12769784
marker_umis_per_cell	2	horizontal cell	PROX1	0.3047562
marker_presence	all	horizontal cell	CALB1	1
marker_positive_fraction	1	horizontal cell	CALB1	0.023351867
marker_umis_per_cell	1	horizontal cell	CALB1	0.034312947
marker_positive_fraction	2	horizontal cell	CALB1	0.055355715
marker_umis_per_cell	2	horizontal cell	CALB1	0.11330935
marker_presence	all	bipolar cell	VSX2	1
marker_positive_fraction	1	bipolar cell	VSX2	0.124861
marker_umis_per_cell	1	bipolar cell	VSX2	0.24241461
marker_positive_fraction	2	bipolar cell	VSX2	0.13469225
marker_umis_per_cell	2	bipolar cell	VSX2	0.25419664
marker_presence	all	bipolar cell	GRM6	1
marker_positive_fraction	1	bipolar cell	GRM6	0.10516283
marker_umis_per_cell	1	bipolar cell	GRM6	0.27609214
marker_positive_fraction	2	bipolar cell	GRM6	0.10391687
marker_umis_per_cell	2	bipolar cell	GRM6	0.42346123
marker_presence	all	bipolar cell	TRPM1	1
marker_positive_fraction	1	bipolar cell	TRPM1	0.14614774
marker_umis_per_cell	1	bipolar cell	TRPM1	0.86957903
marker_positive_fraction	2	bipolar cell	TRPM1	0.11510791
marker_umis_per_cell	2	bipolar cell	TRPM1	0.78876898
marker_presence	all	bipolar cell	PRKCA	1
marker_positive_fraction	1	bipolar cell	PRKCA	0.35996823
marker_umis_per_cell	1	bipolar cell	PRKCA	1.6895949
marker_positive_fraction	2	bipolar cell	PRKCA	0.49000799
marker_umis_per_cell	2	bipolar cell	PRKCA	1.6332934
marker_presence	all	bipolar cell	CABP5	1
marker_positive_fraction	1	bipolar cell	CABP5	0.23335981
marker_umis_per_cell	1	bipolar cell	CABP5	0.34964257
marker_positive_fraction	2	bipolar cell	CABP5	0.55155875
marker_umis_per_cell	2	bipolar cell	CABP5	1.1690647
marker_presence	all	RGC	RBPMS	1
marker_positive_fraction	1	RGC	RBPMS	0.033359809
marker_umis_per_cell	1	RGC	RBPMS	0.21254964
marker_positive_fraction	2	RGC	RBPMS	0.052957634
marker_umis_per_cell	2	RGC	RBPMS	0.41067146
marker_presence	all	RGC	POU4F1	1
marker_positive_fraction	1	RGC	POU4F1	0.002700556
marker_umis_per_cell	1	RGC	POU4F1	0.0034948372
marker_positive_fraction	2	RGC	POU4F1	0.0071942446
marker_umis_per_cell	2	RGC	POU4F1	0.0095923261
marker_presence	all	RGC	POU4F2	1
marker_positive_fraction	1	RGC	POU4F2	0.0020651311
marker_umis_per_cell	1	RGC	POU4F2	0.0022239873
marker_positive_fraction	2	RGC	POU4F2	0.0063948841
marker_umis_per_cell	2	RGC	POU4F2	0.0079936051
marker_presence	all	RGC	SNCG	1
marker_positive_fraction	1	RGC	SNCG	0.075297855
marker_umis_per_cell	1	RGC	SNCG	0.13280381
marker_positive_fraction	2	RGC	SNCG	0.1942446
marker_umis_per_cell	2	RGC	SNCG	0.44964029
marker_presence	all	RGC	NEFL	1
marker_positive_fraction	1	RGC	NEFL	0.071644162
marker_umis_per_cell	1	RGC	NEFL	0.31056394
marker_positive_fraction	2	RGC	NEFL	0.11470823
marker_umis_per_cell	2	RGC	NEFL	0.66147082
marker_presence	all	T cells	CD3D	1
marker_positive_fraction	1	T cells	CD3D	0.00015885624
marker_umis_per_cell	1	T cells	CD3D	0.00015885624
marker_positive_fraction	2	T cells	CD3D	0
marker_umis_per_cell	2	T cells	CD3D	0
marker_presence	all	T cells	CD3E	1
marker_positive_fraction	1	T cells	CD3E	0.00015885624
marker_umis_per_cell	1	T cells	CD3E	0.00015885624
marker_positive_fraction	2	T cells	CD3E	0
marker_umis_per_cell	2	T cells	CD3E	0
marker_presence	all	T cells	TRAC	1
marker_positive_fraction	1	T cells	TRAC	0.057347101
marker_umis_per_cell	1	T cells	TRAC	0.062112788
marker_positive_fraction	2	T cells	TRAC	0.12869704
marker_umis_per_cell	2	T cells	TRAC	0.14808153
marker_presence	all	T cells	IL7R	1
marker_positive_fraction	1	T cells	IL7R	0.00015885624
marker_umis_per_cell	1	T cells	IL7R	0.00015885624
marker_positive_fraction	2	T cells	IL7R	0
marker_umis_per_cell	2	T cells	IL7R	0
marker_presence	all	T cells	LCK	1
marker_positive_fraction	1	T cells	LCK	0.00015885624
marker_umis_per_cell	1	T cells	LCK	0.00015885624
marker_positive_fraction	2	T cells	LCK	0
marker_umis_per_cell	2	T cells	LCK	0
marker_presence	all	macrophage	CD68	1
marker_positive_fraction	1	macrophage	CD68	0.0014297061
marker_umis_per_cell	1	macrophage	CD68	0.0014297061
marker_positive_fraction	2	macrophage	CD68	0.00059952038
marker_umis_per_cell	2	macrophage	CD68	0.00059952038
marker_presence	all	macrophage	CD163	1
marker_positive_fraction	1	macrophage	CD163	0.0012708499
marker_umis_per_cell	1	macrophage	CD163	0.0012708499
marker_positive_fraction	2	macrophage	CD163	0.0017985612
marker_umis_per_cell	2	macrophage	CD163	0.0019984013
marker_presence	all	macrophage	MSR1	1
marker_positive_fraction	1	macrophage	MSR1	0.07593328
marker_umis_per_cell	1	macrophage	MSR1	0.29579031
marker_positive_fraction	2	macrophage	MSR1	0.055755396
marker_umis_per_cell	2	macrophage	MSR1	0.23021583
marker_presence	all	macrophage	LYVE1	1
marker_positive_fraction	1	macrophage	LYVE1	0.0049245433
marker_umis_per_cell	1	macrophage	LYVE1	0.0049245433
marker_positive_fraction	2	macrophage	LYVE1	0.0069944045
marker_umis_per_cell	2	macrophage	LYVE1	0.0081934452
marker_presence	all	macrophage	C1QC	1
marker_positive_fraction	1	macrophage	C1QC	0.00079428118
marker_umis_per_cell	1	macrophage	C1QC	0.00079428118
marker_positive_fraction	2	macrophage	C1QC	0.00099920064
marker_umis_per_cell	2	macrophage	C1QC	0.00099920064
marker_presence	all	Schwann cell	S100B	1
marker_positive_fraction	1	Schwann cell	S100B	0.0088959492
marker_umis_per_cell	1	Schwann cell	S100B	0.0098490866
marker_positive_fraction	2	Schwann cell	S100B	0.011191047
marker_umis_per_cell	2	Schwann cell	S100B	0.014188649
marker_presence	all	Schwann cell	SOX10	1
marker_positive_fraction	1	Schwann cell	SOX10	0.0074662431
marker_umis_per_cell	1	Schwann cell	SOX10	0.0082605242
marker_positive_fraction	2	Schwann cell	SOX10	0.0083932854
marker_umis_per_cell	2	Schwann cell	SOX10	0.0095923261
marker_presence	all	Schwann cell	MPZ	1
marker_positive_fraction	1	Schwann cell	MPZ	0.0034948372
marker_umis_per_cell	1	Schwann cell	MPZ	0.0034948372
marker_positive_fraction	2	Schwann cell	MPZ	0.0073940847
marker_umis_per_cell	2	Schwann cell	MPZ	0.0075939249
marker_presence	all	Schwann cell	PMP22	1
marker_positive_fraction	1	Schwann cell	PMP22	0.020015886
marker_umis_per_cell	1	Schwann cell	PMP22	0.02700556
marker_positive_fraction	2	Schwann cell	PMP22	0.018185452
marker_umis_per_cell	2	Schwann cell	PMP22	0.023381295
marker_presence	all	Schwann cell	PLP1	1
marker_positive_fraction	1	Schwann cell	PLP1	0.00063542494
marker_umis_per_cell	1	Schwann cell	PLP1	0.00063542494
marker_positive_fraction	2	Schwann cell	PLP1	0.0097921663
marker_umis_per_cell	2	Schwann cell	PLP1	0.012390088
marker_presence	all	Pericyte	RGS5	1
marker_positive_fraction	1	Pericyte	RGS5	0.015250199
marker_umis_per_cell	1	Pericyte	RGS5	0.017950755
marker_positive_fraction	2	Pericyte	RGS5	0.019384492
marker_umis_per_cell	2	Pericyte	RGS5	0.026378897
marker_presence	all	Pericyte	PDGFRB	1
marker_positive_fraction	1	Pericyte	PDGFRB	0.020015886
marker_umis_per_cell	1	Pericyte	PDGFRB	0.026370135
marker_positive_fraction	2	Pericyte	PDGFRB	0.033373301
marker_umis_per_cell	2	Pericyte	PDGFRB	0.049760192
marker_presence	all	Pericyte	CSPG4	1
marker_positive_fraction	1	Pericyte	CSPG4	0.00015885624
marker_umis_per_cell	1	Pericyte	CSPG4	0.00015885624
marker_positive_fraction	2	Pericyte	CSPG4	0.00059952038
marker_umis_per_cell	2	Pericyte	CSPG4	0.0011990408
marker_presence	all	Pericyte	MCAM	1
marker_positive_fraction	1	Pericyte	MCAM	0.047974583
marker_umis_per_cell	1	Pericyte	MCAM	0.093566322
marker_positive_fraction	2	Pericyte	MCAM	0.017985612
marker_umis_per_cell	2	Pericyte	MCAM	0.022182254
marker_presence	all	Pericyte	NOTCH3	1
marker_positive_fraction	1	Pericyte	NOTCH3	0.0012708499
marker_umis_per_cell	1	Pericyte	NOTCH3	0.0014297061
marker_positive_fraction	2	Pericyte	NOTCH3	0.0011990408
marker_umis_per_cell	2	Pericyte	NOTCH3	0.0011990408
marker_presence	all	B cell	CD79A	1
marker_positive_fraction	1	B cell	CD79A	0
marker_umis_per_cell	1	B cell	CD79A	0
marker_positive_fraction	2	B cell	CD79A	0.00059952038
marker_umis_per_cell	2	B cell	CD79A	0.00059952038
marker_presence	all	B cell	MS4A1	1
marker_positive_fraction	1	B cell	MS4A1	0
marker_umis_per_cell	1	B cell	MS4A1	0
marker_positive_fraction	2	B cell	MS4A1	0
marker_umis_per_cell	2	B cell	MS4A1	0
marker_presence	all	B cell	CD37	1
marker_positive_fraction	1	B cell	CD37	0.0042891183
marker_umis_per_cell	1	B cell	CD37	0.0044479746
marker_positive_fraction	2	B cell	CD37	0.0083932854
marker_umis_per_cell	2	B cell	CD37	0.0083932854
marker_presence	all	B cell	CD74	1
marker_positive_fraction	1	B cell	CD74	0.0092136616
marker_umis_per_cell	1	B cell	CD74	0.0092136616
marker_positive_fraction	2	B cell	CD74	0.020983213
marker_umis_per_cell	2	B cell	CD74	0.021982414
marker_presence	all	B cell	CD22	1
marker_positive_fraction	1	B cell	CD22	0.00031771247
marker_umis_per_cell	1	B cell	CD22	0.00047656871
marker_positive_fraction	2	B cell	CD22	0
marker_umis_per_cell	2	B cell	CD22	0
marker_presence	all	fibroblast	COL1A1	1
marker_positive_fraction	1	fibroblast	COL1A1	0.0042891183
marker_umis_per_cell	1	fibroblast	COL1A1	0.0049245433
marker_positive_fraction	2	fibroblast	COL1A1	0.00039968026
marker_umis_per_cell	2	fibroblast	COL1A1	0.00039968026
marker_presence	all	fibroblast	COL1A2	1
marker_positive_fraction	1	fibroblast	COL1A2	0.0019062748
marker_umis_per_cell	1	fibroblast	COL1A2	0.002700556
marker_positive_fraction	2	fibroblast	COL1A2	0.0041966427
marker_umis_per_cell	2	fibroblast	COL1A2	0.0049960032
marker_presence	all	fibroblast	DCN	1
marker_positive_fraction	1	fibroblast	DCN	0.0011119936
marker_umis_per_cell	1	fibroblast	DCN	0.0015885624
marker_positive_fraction	2	fibroblast	DCN	0.0025979217
marker_umis_per_cell	2	fibroblast	DCN	0.0047961631
marker_presence	all	fibroblast	LUM	1
marker_positive_fraction	1	fibroblast	LUM	0.0033359809
marker_umis_per_cell	1	fibroblast	LUM	0.0036536934
marker_positive_fraction	2	fibroblast	LUM	0.022981615
marker_umis_per_cell	2	fibroblast	LUM	0.029376499
marker_presence	all	fibroblast	COL3A1	1
marker_positive_fraction	1	fibroblast	COL3A1	0
marker_umis_per_cell	1	fibroblast	COL3A1	0
marker_positive_fraction	2	fibroblast	COL3A1	0
marker_umis_per_cell	2	fibroblast	COL3A1	0
marker_presence	all	endothelial cell	PECAM1	1
marker_positive_fraction	1	endothelial cell	PECAM1	0.0019062748
marker_umis_per_cell	1	endothelial cell	PECAM1	0.0030182685
marker_positive_fraction	2	endothelial cell	PECAM1	0.0013988809
marker_umis_per_cell	2	endothelial cell	PECAM1	0.0013988809
marker_presence	all	endothelial cell	VWF	1
marker_positive_fraction	1	endothelial cell	VWF	0.0020651311
marker_umis_per_cell	1	endothelial cell	VWF	0.0030182685
marker_positive_fraction	2	endothelial cell	VWF	0.0025979217
marker_umis_per_cell	2	endothelial cell	VWF	0.0035971223
marker_presence	all	endothelial cell	KDR	1
marker_positive_fraction	1	endothelial cell	KDR	0.045274027
marker_umis_per_cell	1	endothelial cell	KDR	0.091183479
marker_positive_fraction	2	endothelial cell	KDR	0.073141487
marker_umis_per_cell	2	endothelial cell	KDR	0.19964029
marker_presence	all	endothelial cell	EMCN	1
marker_positive_fraction	1	endothelial cell	EMCN	0.0017474186
marker_umis_per_cell	1	endothelial cell	EMCN	0.0017474186
marker_positive_fraction	2	endothelial cell	EMCN	0.003197442
marker_umis_per_cell	2	endothelial cell	EMCN	0.0047961631
marker_presence	all	endothelial cell	CLDN5	1
marker_positive_fraction	1	endothelial cell	CLDN5	0.0038125496
marker_umis_per_cell	1	endothelial cell	CLDN5	0.0065131056
marker_positive_fraction	2	endothelial cell	CLDN5	0.0037969624
marker_umis_per_cell	2	endothelial cell	CLDN5	0.0055955236
marker_presence	all	muller glia cell	RLBP1	1
marker_positive_fraction	1	muller glia cell	RLBP1	0.099444003
marker_umis_per_cell	1	muller glia cell	RLBP1	0.28514694
marker_positive_fraction	2	muller glia cell	RLBP1	0.13009592
marker_umis_per_cell	2	muller glia cell	RLBP1	0.72901679
marker_presence	all	muller glia cell	GLUL	1
marker_positive_fraction	1	muller glia cell	GLUL	0.19809373
marker_umis_per_cell	1	muller glia cell	GLUL	0.98347895
marker_positive_fraction	2	muller glia cell	GLUL	0.23181455
marker_umis_per_cell	2	muller glia cell	GLUL	1.6878497
marker_presence	all	muller glia cell	SLC1A3	1
marker_positive_fraction	1	muller glia cell	SLC1A3	0.088641779
marker_umis_per_cell	1	muller glia cell	SLC1A3	0.51135822
marker_positive_fraction	2	muller glia cell	SLC1A3	0.095523581
marker_umis_per_cell	2	muller glia cell	SLC1A3	0.51159073
marker_presence	all	muller glia cell	VIM	1
marker_positive_fraction	1	muller glia cell	VIM	0.19555203
marker_umis_per_cell	1	muller glia cell	VIM	0.40285941
marker_positive_fraction	2	muller glia cell	VIM	0.23061551
marker_umis_per_cell	2	muller glia cell	VIM	1.0125899
marker_presence	all	muller glia cell	AQP4	1
marker_positive_fraction	1	muller glia cell	AQP4	0.028911835
marker_umis_per_cell	1	muller glia cell	AQP4	0.04305004
marker_positive_fraction	2	muller glia cell	AQP4	0.060551559
marker_umis_per_cell	2	muller glia cell	AQP4	0.13529177
