species	rank	gene_id	gene_symbol	sum_umi
mouse	99	ENSMUSG00000045128	Rpl18a	259.69
mouse	100	ENSMUSG00000025794	Rpl14	258.479
mouse	101	ENSMUSG00000074129	Rpl13a	257.497
mouse	102	ENSMUSG00000015932	Dstn	257
mouse	103	ENSMUSG00000059070	Rpl18	256.75
mouse	104	ENSMUSG00000032518	Rpsa	256.725
mouse	105	ENSMUSG00000047215	Rpl9	255.521
mouse	106	ENSMUSG00000003545	Fosb	254
mouse	107	ENSMUSG00000038791	Scgb3a2	253
mouse	108	ENSMUSG00000061477	Rps7	249.924
mouse	109	ENSMUSG00000101249	Gm29216	249.452
mouse	110	ENSMUSG00000008682	Rpl10	249.076
mouse	111	ENSMUSG00000049517	Rps23	243.802
mouse	112	ENSMUSG00000027533	Fabp5	243
mouse	113	ENSMUSG00000064368	mt-Nd6	241
mouse	114	ENSMUSG00000009927	Rps25	239.083
mouse	115	ENSMUSG00000031765	Mt1	236
mouse	116	ENSMUSG00000058443	Rpl10-ps3	232.076
mouse	117	ENSMUSG00000059291	Rpl11	226.99
mouse	118	ENSMUSG00000061983	Rps12	219.922
mouse	119	ENSMUSG00000040152	Thbs1	216
mouse	120	ENSMUSG00000079641	Rpl39	215.833
mouse	121	ENSMUSG00000047501	Cldn4	214
mouse	122	ENSMUSG00000062006	Rpl34	213.726
mouse	123	ENSMUSG00000067274	Rplp0	212.788
mouse	124	ENSMUSG00000066315	Gm12918	211.239
mouse	125	ENSMUSG00000023236	Scg5	210
