rowname	cell_type	sampleID
Cell_291	Fibroblast_Stroma	sample1
Cell_292	Fibroblast_Stroma	sample1
Cell_293	Fibroblast_Stroma	sample1
Cell_294	Fibroblast_Stroma	sample1
Cell_295	Fibroblast_Stroma	sample1
Cell_296	Fibroblast_Stroma	sample1
Cell_297	Fibroblast_Stroma	sample1
Cell_298	Fibroblast_Stroma	sample1
Cell_299	Fibroblast_Stroma	sample1
Cell_300	Fibroblast_Stroma	sample1
Cell_301	Fibroblast_Stroma	sample1
Cell_302	Fibroblast_Stroma	sample1
Cell_303	Fibroblast_Stroma	sample1
Cell_304	Fibroblast_Stroma	sample1
Cell_305	Fibroblast_Stroma	sample1
Cell_306	Fibroblast_Stroma	sample1
Cell_307	Fibroblast_Stroma	sample1
Cell_308	Fibroblast_Stroma	sample1
Cell_309	Fibroblast_Stroma	sample1
Cell_310	Fibroblast_Stroma	sample1
Cell_311	Fibroblast_Stroma	sample1
Cell_312	Fibroblast_Stroma	sample1
Cell_313	Fibroblast_Stroma	sample1
Cell_314	Fibroblast_Stroma	sample1
Cell_315	Fibroblast_Stroma	sample1
Cell_316	Fibroblast_Stroma	sample1
Cell_317	Fibroblast_Stroma	sample1
Cell_318	Fibroblast_Stroma	sample1
Cell_319	Fibroblast_Stroma	sample1
Cell_320	Fibroblast_Stroma	sample1
Cell_321	Fibroblast_Stroma	sample1
Cell_322	Fibroblast_Stroma	sample1
Cell_323	Fibroblast_Stroma	sample1
Cell_324	Fibroblast_Stroma	sample1
Cell_325	Fibroblast_Stroma	sample1
Cell_326	Fibroblast_Stroma	sample1
Cell_327	Fibroblast_Stroma	sample1
Cell_328	Fibroblast_Stroma	sample1
Cell_329	Fibroblast_Stroma	sample1
Cell_330	Fibroblast_Stroma	sample1
Cell_331	Fibroblast_Stroma	sample1
Cell_332	Fibroblast_Stroma	sample1
Cell_333	Fibroblast_Stroma	sample1
Cell_334	Fibroblast_Stroma	sample1
Cell_335	Fibroblast_Stroma	sample1
Cell_336	Fibroblast_Stroma	sample1
Cell_337	Fibroblast_Stroma	sample1
Cell_338	Fibroblast_Stroma	sample1
Cell_339	Fibroblast_Stroma	sample1
Cell_340	Fibroblast_Stroma	sample1
Cell_341	Fibroblast_Stroma	sample1
Cell_342	Fibroblast_Stroma	sample1
Cell_343	Fibroblast_Stroma	sample1
Cell_344	Fibroblast_Stroma	sample1
Cell_345	Fibroblast_Stroma	sample1
Cell_346	Fibroblast_Stroma	sample1
Cell_347	Fibroblast_Stroma	sample1
Cell_348	Fibroblast_Stroma	sample1
Cell_349	Fibroblast_Stroma	sample1
Cell_350	Fibroblast_Stroma	sample1
Cell_351	Fibroblast_Stroma	sample1
Cell_352	Fibroblast_Stroma	sample1
Cell_353	Fibroblast_Stroma	sample1
Cell_354	Fibroblast_Stroma	sample1
Cell_355	Fibroblast_Stroma	sample1
Cell_356	Fibroblast_Stroma	sample1
Cell_357	Fibroblast_Stroma	sample1
Cell_358	Fibroblast_Stroma	sample1
Cell_359	Fibroblast_Stroma	sample1
Cell_360	Fibroblast_Stroma	sample1
Cell_361	Fibroblast_Stroma	sample1
Cell_362	Fibroblast_Stroma	sample1
Cell_363	Fibroblast_Stroma	sample1
Cell_364	Fibroblast_Stroma	sample1
Cell_365	Fibroblast_Stroma	sample1
Cell_366	Fibroblast_Stroma	sample1
Cell_367	Fibroblast_Stroma	sample1
Cell_368	Fibroblast_Stroma	sample1
Cell_369	Fibroblast_Stroma	sample1
Cell_370	Fibroblast_Stroma	sample1
Cell_371	Fibroblast_Stroma	sample1
Cell_372	Fibroblast_Stroma	sample1
Cell_373	Fibroblast_Stroma	sample1
Cell_374	Fibroblast_Stroma	sample1
Cell_375	Fibroblast_Stroma	sample1
Cell_376	Fibroblast_Stroma	sample1
Cell_377	Fibroblast_Stroma	sample1
Cell_378	Fibroblast_Stroma	sample1
Cell_379	Fibroblast_Stroma	sample1
Cell_380	Fibroblast_Stroma	sample1
Cell_381	Fibroblast_Stroma	sample1
Cell_382	Fibroblast_Stroma	sample1
Cell_383	Fibroblast_Stroma	sample1
Cell_384	Fibroblast_Stroma	sample1
Cell_385	Fibroblast_Stroma	sample1
Cell_386	Fibroblast_Stroma	sample1
Cell_387	Fibroblast_Stroma	sample1
Cell_388	Fibroblast_Stroma	sample1
Cell_389	Fibroblast_Stroma	sample1
Cell_390	Fibroblast_Stroma	sample1
Cell_391	Fibroblast_Stroma	sample1
Cell_392	Fibroblast_Stroma	sample1
Cell_393	Fibroblast_Stroma	sample1
Cell_394	Fibroblast_Stroma	sample1
Cell_395	Fibroblast_Stroma	sample1
Cell_396	Fibroblast_Stroma	sample1
Cell_397	Fibroblast_Stroma	sample1
Cell_398	Fibroblast_Stroma	sample1
Cell_399	Fibroblast_Stroma	sample1
Cell_400	T_Cell	sample1
Cell_401	T_Cell	sample1
Cell_402	T_Cell	sample1
Cell_403	T_Cell	sample1
Cell_404	T_Cell	sample1
Cell_405	T_Cell	sample1
Cell_406	T_Cell	sample1
Cell_407	T_Cell	sample1
Cell_408	T_Cell	sample1
Cell_409	T_Cell	sample1
Cell_410	T_Cell	sample1
Cell_411	T_Cell	sample1
Cell_412	T_Cell	sample1
Cell_413	T_Cell	sample1
Cell_414	T_Cell	sample1
Cell_415	T_Cell	sample1
Cell_416	T_Cell	sample1
Cell_417	T_Cell	sample1
Cell_418	T_Cell	sample1
Cell_419	T_Cell	sample1
Cell_420	T_Cell	sample1
Cell_421	T_Cell	sample1
Cell_422	T_Cell	sample1
Cell_423	T_Cell	sample1
Cell_424	T_Cell	sample1
Cell_425	T_Cell	sample1
Cell_426	T_Cell	sample1
Cell_427	T_Cell	sample1
Cell_428	T_Cell	sample1
Cell_429	T_Cell	sample1
Cell_430	T_Cell	sample1
Cell_431	T_Cell	sample1
Cell_432	T_Cell	sample1
Cell_433	T_Cell	sample1
Cell_434	T_Cell	sample1
Cell_435	T_Cell	sample1
Cell_436	T_Cell	sample1
Cell_437	T_Cell	sample1
Cell_438	T_Cell	sample1
Cell_439	T_Cell	sample1
Cell_440	T_Cell	sample1
Cell_441	T_Cell	sample1
Cell_442	T_Cell	sample1
Cell_443	T_Cell	sample1
Cell_444	T_Cell	sample1
Cell_445	T_Cell	sample1
Cell_446	T_Cell	sample1
Cell_447	T_Cell	sample1
Cell_448	T_Cell	sample1
Cell_449	T_Cell	sample1
Cell_450	T_Cell	sample1
Cell_451	T_Cell	sample1
Cell_452	T_Cell	sample1
Cell_453	T_Cell	sample1
Cell_454	T_Cell	sample1
Cell_455	T_Cell	sample1
Cell_456	T_Cell	sample1
Cell_457	T_Cell	sample1
Cell_458	T_Cell	sample1
Cell_459	T_Cell	sample1
Cell_460	T_Cell	sample1
Cell_461	T_Cell	sample1
Cell_462	T_Cell	sample1
Cell_463	T_Cell	sample1
Cell_464	T_Cell	sample1
Cell_465	T_Cell	sample1
Cell_466	T_Cell	sample1
Cell_467	T_Cell	sample1
Cell_468	T_Cell	sample1
Cell_469	T_Cell	sample1
Cell_470	T_Cell	sample1
Cell_471	T_Cell	sample1
Cell_472	T_Cell	sample1
Cell_473	T_Cell	sample1
Cell_474	T_Cell	sample1
Cell_475	T_Cell	sample1
Cell_476	T_Cell	sample1
Cell_477	T_Cell	sample1
Cell_478	T_Cell	sample1
Cell_479	T_Cell	sample1
Cell_480	T_Cell	sample1
Cell_481	T_Cell	sample1
Cell_482	T_Cell	sample1
Cell_483	T_Cell	sample1
Cell_484	T_Cell	sample1
Cell_485	T_Cell	sample1
Cell_486	T_Cell	sample1
Cell_487	T_Cell	sample1
Cell_488	T_Cell	sample1
Cell_489	T_Cell	sample1
Cell_490	T_Cell	sample1
Cell_491	T_Cell	sample1
Cell_492	T_Cell	sample1
Cell_493	T_Cell	sample1
Cell_494	T_Cell	sample1
Cell_495	T_Cell	sample1
Cell_496	T_Cell	sample1
Cell_497	T_Cell	sample1
Cell_498	T_Cell	sample1
Cell_499	T_Cell	sample1
Cell_500	T_Cell	sample1
Cell_501	T_Cell	sample1
Cell_502	T_Cell	sample1
Cell_503	T_Cell	sample1
Cell_504	T_Cell	sample1
Cell_505	T_Cell	sample1
Cell_506	T_Cell	sample1
Cell_507	T_Cell	sample1
Cell_508	T_Cell	sample1
Cell_509	T_Cell	sample1
Cell_510	T_Cell	sample1
Cell_511	T_Cell	sample1
Cell_512	T_Cell	sample1
Cell_513	T_Cell	sample1
Cell_514	T_Cell	sample1
Cell_515	T_Cell	sample1
Cell_516	T_Cell	sample1
Cell_517	T_Cell	sample1
Cell_518	T_Cell	sample1
Cell_519	T_Cell	sample1
Cell_520	T_Cell	sample1
Cell_521	T_Cell	sample1
Cell_522	T_Cell	sample1
Cell_523	T_Cell	sample1
Cell_524	T_Cell	sample1
Cell_525	T_Cell	sample1
Cell_526	T_Cell	sample1
Cell_527	T_Cell	sample1
Cell_528	T_Cell	sample1
Cell_529	T_Cell	sample1
Cell_530	T_Cell	sample1
Cell_531	T_Cell	sample1
Cell_532	T_Cell	sample1
Cell_533	T_Cell	sample1
Cell_534	T_Cell	sample1
Cell_535	T_Cell	sample1
Cell_536	T_Cell	sample1
Cell_537	T_Cell	sample1
Cell_538	T_Cell	sample1
Cell_539	T_Cell	sample1
Cell_540	T_Cell	sample1
Cell_541	T_Cell	sample1
Cell_542	T_Cell	sample1
Cell_543	T_Cell	sample1
Cell_544	T_Cell	sample1
Cell_545	T_Cell	sample1
Cell_546	T_Cell	sample1
Cell_547	T_Cell	sample1
Cell_548	T_Cell	sample1
Cell_549	T_Cell	sample1
Cell_550	T_Cell	sample1
Cell_551	T_Cell	sample1
Cell_552	T_Cell	sample1
Cell_553	T_Cell	sample1
Cell_554	T_Cell	sample1
Cell_555	T_Cell	sample1
Cell_556	T_Cell	sample1
Cell_557	T_Cell	sample1
Cell_558	T_Cell	sample1
Cell_559	T_Cell	sample1
Cell_560	T_Cell	sample1
Cell_561	T_Cell	sample1
Cell_562	T_Cell	sample1
Cell_563	T_Cell	sample1
Cell_564	T_Cell	sample1
Cell_565	T_Cell	sample1
Cell_566	T_Cell	sample1
Cell_567	T_Cell	sample1
Cell_568	T_Cell	sample1
Cell_569	T_Cell	sample1
Cell_570	T_Cell	sample1
Cell_571	T_Cell	sample1
Cell_572	T_Cell	sample1
Cell_573	T_Cell	sample1
Cell_574	T_Cell	sample1
Cell_575	T_Cell	sample1
Cell_576	T_Cell	sample1
Cell_577	T_Cell	sample1
Cell_578	T_Cell	sample1
Cell_579	T_Cell	sample1
Cell_580	T_Cell	sample1
Cell_581	T_Cell	sample1
Cell_582	T_Cell	sample1
Cell_583	T_Cell	sample1
Cell_584	T_Cell	sample1
Cell_585	T_Cell	sample1
Cell_586	T_Cell	sample1
Cell_587	T_Cell	sample1
Cell_588	T_Cell	sample1
Cell_589	T_Cell	sample1
Cell_590	T_Cell	sample1
Cell_591	T_Cell	sample1
Cell_592	T_Cell	sample1
Cell_593	T_Cell	sample1
Cell_594	T_Cell	sample1
Cell_595	T_Cell	sample1
Cell_596	T_Cell	sample1
Cell_597	T_Cell	sample1
Cell_598	T_Cell	sample1
Cell_599	T_Cell	sample1
Cell_600	B_Cell	sample1
Cell_601	B_Cell	sample1
Cell_602	B_Cell	sample1
Cell_603	B_Cell	sample1
Cell_604	B_Cell	sample1
Cell_605	B_Cell	sample1
Cell_606	B_Cell	sample1
Cell_607	B_Cell	sample1
Cell_608	B_Cell	sample1
Cell_609	B_Cell	sample1
Cell_610	B_Cell	sample1
Cell_611	B_Cell	sample1
Cell_612	B_Cell	sample1
Cell_613	B_Cell	sample1
Cell_614	B_Cell	sample1
Cell_615	B_Cell	sample1
Cell_616	B_Cell	sample1
Cell_617	B_Cell	sample1
Cell_618	B_Cell	sample1
Cell_619	B_Cell	sample1
Cell_620	B_Cell	sample1
Cell_621	B_Cell	sample1
Cell_622	B_Cell	sample1
Cell_623	B_Cell	sample1
Cell_624	B_Cell	sample1
Cell_625	B_Cell	sample1
Cell_626	B_Cell	sample1
Cell_627	B_Cell	sample1
Cell_628	B_Cell	sample1
Cell_629	B_Cell	sample1
Cell_630	B_Cell	sample1
Cell_631	B_Cell	sample1
Cell_632	B_Cell	sample1
Cell_633	B_Cell	sample1
Cell_634	B_Cell	sample1
Cell_635	B_Cell	sample1
Cell_636	B_Cell	sample1
Cell_637	B_Cell	sample1
Cell_638	B_Cell	sample1
Cell_639	B_Cell	sample1
Cell_640	B_Cell	sample1
Cell_641	B_Cell	sample1
Cell_642	B_Cell	sample1
Cell_643	B_Cell	sample1
Cell_644	B_Cell	sample1
Cell_645	B_Cell	sample1
Cell_646	B_Cell	sample1
Cell_647	B_Cell	sample1
Cell_648	B_Cell	sample1
Cell_649	B_Cell	sample1
Cell_650	B_Cell	sample1
Cell_651	B_Cell	sample1
Cell_652	B_Cell	sample1
Cell_653	B_Cell	sample1
Cell_654	B_Cell	sample1
Cell_655	B_Cell	sample1
Cell_656	B_Cell	sample1
Cell_657	B_Cell	sample1
Cell_658	B_Cell	sample1
Cell_659	B_Cell	sample1
Cell_660	B_Cell	sample1
Cell_661	B_Cell	sample1
Cell_662	B_Cell	sample1
Cell_663	B_Cell	sample1
Cell_664	B_Cell	sample1
Cell_665	B_Cell	sample1
Cell_666	B_Cell	sample1
Cell_667	B_Cell	sample1
Cell_668	B_Cell	sample1
Cell_669	B_Cell	sample1
Cell_670	B_Cell	sample1
Cell_671	B_Cell	sample1
Cell_672	B_Cell	sample1
Cell_673	B_Cell	sample1
Cell_674	B_Cell	sample1
Cell_675	B_Cell	sample1
Cell_676	B_Cell	sample1
Cell_677	B_Cell	sample1
Cell_678	B_Cell	sample1
Cell_679	B_Cell	sample1
Cell_680	B_Cell	sample1
Cell_681	B_Cell	sample1
Cell_682	B_Cell	sample1
Cell_683	B_Cell	sample1
Cell_684	B_Cell	sample1
Cell_685	B_Cell	sample1
Cell_686	B_Cell	sample1
Cell_687	B_Cell	sample1
Cell_688	B_Cell	sample1
Cell_689	B_Cell	sample1
Cell_690	B_Cell	sample1
Cell_691	B_Cell	sample1
Cell_692	B_Cell	sample1
Cell_693	B_Cell	sample1
Cell_694	B_Cell	sample1
Cell_695	B_Cell	sample1
Cell_696	B_Cell	sample1
Cell_697	B_Cell	sample1
Cell_698	B_Cell	sample1
Cell_699	B_Cell	sample1
Cell_700	B_Cell	sample1
Cell_701	B_Cell	sample1
Cell_702	B_Cell	sample1
Cell_703	B_Cell	sample1
Cell_704	B_Cell	sample1
Cell_705	B_Cell	sample1
Cell_706	B_Cell	sample1
Cell_707	B_Cell	sample1
Cell_708	B_Cell	sample1
Cell_709	B_Cell	sample1
Cell_710	B_Cell	sample1
Cell_711	B_Cell	sample1
Cell_712	B_Cell	sample1
Cell_713	B_Cell	sample1
Cell_714	B_Cell	sample1
Cell_715	B_Cell	sample1
Cell_716	B_Cell	sample1
Cell_717	B_Cell	sample1
Cell_718	B_Cell	sample1
Cell_719	B_Cell	sample1
Cell_720	B_Cell	sample1
Cell_721	B_Cell	sample1
Cell_722	B_Cell	sample1
Cell_723	B_Cell	sample1
Cell_724	B_Cell	sample1
Cell_725	B_Cell	sample1
Cell_726	B_Cell	sample1
Cell_727	B_Cell	sample1
Cell_728	B_Cell	sample1
Cell_729	B_Cell	sample1
Cell_730	B_Cell	sample1
Cell_731	B_Cell	sample1
Cell_732	B_Cell	sample1
Cell_733	B_Cell	sample1
Cell_734	B_Cell	sample1
Cell_735	B_Cell	sample1
Cell_736	B_Cell	sample1
Cell_737	B_Cell	sample1
Cell_738	B_Cell	sample1
Cell_739	B_Cell	sample1
Cell_740	B_Cell	sample1
Cell_741	B_Cell	sample1
Cell_742	B_Cell	sample1
Cell_743	B_Cell	sample1
Cell_744	B_Cell	sample1
Cell_745	B_Cell	sample1
Cell_746	B_Cell	sample1
Cell_747	B_Cell	sample1
Cell_748	B_Cell	sample1
Cell_749	B_Cell	sample1
Cell_750	B_Cell	sample1
Cell_751	B_Cell	sample1
Cell_752	B_Cell	sample1
Cell_753	B_Cell	sample1
Cell_754	B_Cell	sample1
Cell_755	B_Cell	sample1
Cell_756	B_Cell	sample1
Cell_757	B_Cell	sample1
Cell_758	B_Cell	sample1
Cell_759	B_Cell	sample1
Cell_760	B_Cell	sample1
Cell_761	B_Cell	sample1
Cell_762	B_Cell	sample1
Cell_763	B_Cell	sample1
Cell_764	B_Cell	sample1
Cell_765	B_Cell	sample1
Cell_766	B_Cell	sample1
Cell_767	B_Cell	sample1
Cell_768	B_Cell	sample1
Cell_769	B_Cell	sample1
Cell_770	B_Cell	sample1
Cell_771	B_Cell	sample1
Cell_772	B_Cell	sample1
