rowname	cell_type	sampleID
Cell_177	Tumor_Core	Cell_177
Cell_178	Tumor_Core	Cell_178
Cell_179	Tumor_Core	Cell_179
Cell_180	Tumor_Core	Cell_180
Cell_181	Tumor_Core	Cell_181
Cell_182	Tumor_Core	Cell_182
Cell_183	Tumor_Core	Cell_183
Cell_184	Tumor_Core	Cell_184
Cell_185	Tumor_Core	Cell_185
Cell_186	Tumor_Core	Cell_186
Cell_187	Tumor_Core	Cell_187
Cell_188	Tumor_Core	Cell_188
Cell_189	Tumor_Core	Cell_189
Cell_190	Tumor_Core	Cell_190
Cell_191	Tumor_Core	Cell_191
Cell_192	Tumor_Core	Cell_192
Cell_193	Tumor_Core	Cell_193
Cell_194	Tumor_Core	Cell_194
Cell_195	Tumor_Core	Cell_195
Cell_196	Tumor_Core	Cell_196
Cell_197	Tumor_Core	Cell_197
Cell_198	Tumor_Core	Cell_198
Cell_199	Tumor_Core	Cell_199
Cell_200	Fibroblast_Stroma	Cell_200
Cell_201	Fibroblast_Stroma	Cell_201
Cell_202	Fibroblast_Stroma	Cell_202
Cell_203	Fibroblast_Stroma	Cell_203
Cell_204	Fibroblast_Stroma	Cell_204
Cell_205	Fibroblast_Stroma	Cell_205
Cell_206	Fibroblast_Stroma	Cell_206
Cell_207	Fibroblast_Stroma	Cell_207
Cell_208	Fibroblast_Stroma	Cell_208
Cell_209	Fibroblast_Stroma	Cell_209
Cell_210	Fibroblast_Stroma	Cell_210
Cell_211	Fibroblast_Stroma	Cell_211
Cell_212	Fibroblast_Stroma	Cell_212
Cell_213	Fibroblast_Stroma	Cell_213
Cell_214	Fibroblast_Stroma	Cell_214
Cell_215	Fibroblast_Stroma	Cell_215
Cell_216	Fibroblast_Stroma	Cell_216
Cell_217	Fibroblast_Stroma	Cell_217
Cell_218	Fibroblast_Stroma	Cell_218
Cell_219	Fibroblast_Stroma	Cell_219
Cell_220	Fibroblast_Stroma	Cell_220
Cell_221	Fibroblast_Stroma	Cell_221
Cell_222	Fibroblast_Stroma	Cell_222
Cell_223	Fibroblast_Stroma	Cell_223
Cell_224	Fibroblast_Stroma	Cell_224
Cell_225	Fibroblast_Stroma	Cell_225
Cell_226	Fibroblast_Stroma	Cell_226
Cell_227	Fibroblast_Stroma	Cell_227
Cell_228	Fibroblast_Stroma	Cell_228
Cell_229	Fibroblast_Stroma	Cell_229
Cell_230	Fibroblast_Stroma	Cell_230
Cell_231	Fibroblast_Stroma	Cell_231
Cell_232	Fibroblast_Stroma	Cell_232
Cell_233	Fibroblast_Stroma	Cell_233
Cell_234	Fibroblast_Stroma	Cell_234
Cell_235	Fibroblast_Stroma	Cell_235
Cell_236	Fibroblast_Stroma	Cell_236
Cell_237	Fibroblast_Stroma	Cell_237
Cell_238	Fibroblast_Stroma	Cell_238
Cell_239	Fibroblast_Stroma	Cell_239
Cell_240	Fibroblast_Stroma	Cell_240
Cell_241	Fibroblast_Stroma	Cell_241
Cell_242	Fibroblast_Stroma	Cell_242
Cell_243	Fibroblast_Stroma	Cell_243
Cell_244	Fibroblast_Stroma	Cell_244
Cell_245	Fibroblast_Stroma	Cell_245
Cell_246	Fibroblast_Stroma	Cell_246
Cell_247	Fibroblast_Stroma	Cell_247
Cell_248	Fibroblast_Stroma	Cell_248
Cell_249	Fibroblast_Stroma	Cell_249
Cell_250	Fibroblast_Stroma	Cell_250
Cell_251	Fibroblast_Stroma	Cell_251
Cell_252	Fibroblast_Stroma	Cell_252
Cell_253	Fibroblast_Stroma	Cell_253
Cell_254	Fibroblast_Stroma	Cell_254
Cell_255	Fibroblast_Stroma	Cell_255
Cell_256	Fibroblast_Stroma	Cell_256
Cell_257	Fibroblast_Stroma	Cell_257
Cell_258	Fibroblast_Stroma	Cell_258
Cell_259	Fibroblast_Stroma	Cell_259
Cell_260	Fibroblast_Stroma	Cell_260
Cell_261	Fibroblast_Stroma	Cell_261
Cell_262	Fibroblast_Stroma	Cell_262
Cell_263	Fibroblast_Stroma	Cell_263
Cell_264	Fibroblast_Stroma	Cell_264
Cell_265	Fibroblast_Stroma	Cell_265
Cell_266	Fibroblast_Stroma	Cell_266
Cell_267	Fibroblast_Stroma	Cell_267
Cell_268	Fibroblast_Stroma	Cell_268
Cell_269	Fibroblast_Stroma	Cell_269
Cell_270	Fibroblast_Stroma	Cell_270
Cell_271	Fibroblast_Stroma	Cell_271
Cell_272	Fibroblast_Stroma	Cell_272
Cell_273	Fibroblast_Stroma	Cell_273
Cell_274	Fibroblast_Stroma	Cell_274
Cell_275	Fibroblast_Stroma	Cell_275
Cell_276	Fibroblast_Stroma	Cell_276
Cell_277	Fibroblast_Stroma	Cell_277
Cell_278	Fibroblast_Stroma	Cell_278
Cell_279	Fibroblast_Stroma	Cell_279
Cell_280	Fibroblast_Stroma	Cell_280
Cell_281	Fibroblast_Stroma	Cell_281
Cell_282	Fibroblast_Stroma	Cell_282
Cell_283	Fibroblast_Stroma	Cell_283
Cell_284	Fibroblast_Stroma	Cell_284
Cell_285	Fibroblast_Stroma	Cell_285
Cell_286	Fibroblast_Stroma	Cell_286
Cell_287	Fibroblast_Stroma	Cell_287
Cell_288	Fibroblast_Stroma	Cell_288
Cell_289	Fibroblast_Stroma	Cell_289
Cell_290	Fibroblast_Stroma	Cell_290
Cell_291	Fibroblast_Stroma	Cell_291
Cell_292	Fibroblast_Stroma	Cell_292
Cell_293	Fibroblast_Stroma	Cell_293
Cell_294	Fibroblast_Stroma	Cell_294
Cell_295	Fibroblast_Stroma	Cell_295
Cell_296	Fibroblast_Stroma	Cell_296
Cell_297	Fibroblast_Stroma	Cell_297
Cell_298	Fibroblast_Stroma	Cell_298
Cell_299	Fibroblast_Stroma	Cell_299
Cell_300	Fibroblast_Stroma	Cell_300
Cell_301	Fibroblast_Stroma	Cell_301
Cell_302	Fibroblast_Stroma	Cell_302
Cell_303	Fibroblast_Stroma	Cell_303
Cell_304	Fibroblast_Stroma	Cell_304
Cell_305	Fibroblast_Stroma	Cell_305
Cell_306	Fibroblast_Stroma	Cell_306
Cell_307	Fibroblast_Stroma	Cell_307
Cell_308	Fibroblast_Stroma	Cell_308
Cell_309	Fibroblast_Stroma	Cell_309
Cell_310	Fibroblast_Stroma	Cell_310
Cell_311	Fibroblast_Stroma	Cell_311
Cell_312	Fibroblast_Stroma	Cell_312
Cell_313	Fibroblast_Stroma	Cell_313
Cell_314	Fibroblast_Stroma	Cell_314
Cell_315	Fibroblast_Stroma	Cell_315
Cell_316	Fibroblast_Stroma	Cell_316
Cell_317	Fibroblast_Stroma	Cell_317
Cell_318	Fibroblast_Stroma	Cell_318
Cell_319	Fibroblast_Stroma	Cell_319
Cell_320	Fibroblast_Stroma	Cell_320
Cell_321	Fibroblast_Stroma	Cell_321
Cell_322	Fibroblast_Stroma	Cell_322
Cell_323	Fibroblast_Stroma	Cell_323
Cell_324	Fibroblast_Stroma	Cell_324
Cell_325	Fibroblast_Stroma	Cell_325
Cell_326	Fibroblast_Stroma	Cell_326
Cell_327	Fibroblast_Stroma	Cell_327
Cell_328	Fibroblast_Stroma	Cell_328
Cell_329	Fibroblast_Stroma	Cell_329
Cell_330	Fibroblast_Stroma	Cell_330
Cell_331	Fibroblast_Stroma	Cell_331
Cell_332	Fibroblast_Stroma	Cell_332
Cell_333	Fibroblast_Stroma	Cell_333
Cell_334	Fibroblast_Stroma	Cell_334
Cell_335	Fibroblast_Stroma	Cell_335
Cell_336	Fibroblast_Stroma	Cell_336
Cell_337	Fibroblast_Stroma	Cell_337
Cell_338	Fibroblast_Stroma	Cell_338
Cell_339	Fibroblast_Stroma	Cell_339
Cell_340	Fibroblast_Stroma	Cell_340
Cell_341	Fibroblast_Stroma	Cell_341
Cell_342	Fibroblast_Stroma	Cell_342
Cell_343	Fibroblast_Stroma	Cell_343
Cell_344	Fibroblast_Stroma	Cell_344
Cell_345	Fibroblast_Stroma	Cell_345
Cell_346	Fibroblast_Stroma	Cell_346
Cell_347	Fibroblast_Stroma	Cell_347
Cell_348	Fibroblast_Stroma	Cell_348
Cell_349	Fibroblast_Stroma	Cell_349
Cell_350	Fibroblast_Stroma	Cell_350
Cell_351	Fibroblast_Stroma	Cell_351
Cell_352	Fibroblast_Stroma	Cell_352
Cell_353	Fibroblast_Stroma	Cell_353
Cell_354	Fibroblast_Stroma	Cell_354
Cell_355	Fibroblast_Stroma	Cell_355
Cell_356	Fibroblast_Stroma	Cell_356
Cell_357	Fibroblast_Stroma	Cell_357
Cell_358	Fibroblast_Stroma	Cell_358
Cell_359	Fibroblast_Stroma	Cell_359
Cell_360	Fibroblast_Stroma	Cell_360
Cell_361	Fibroblast_Stroma	Cell_361
Cell_362	Fibroblast_Stroma	Cell_362
Cell_363	Fibroblast_Stroma	Cell_363
Cell_364	Fibroblast_Stroma	Cell_364
Cell_365	Fibroblast_Stroma	Cell_365
Cell_366	Fibroblast_Stroma	Cell_366
Cell_367	Fibroblast_Stroma	Cell_367
Cell_368	Fibroblast_Stroma	Cell_368
Cell_369	Fibroblast_Stroma	Cell_369
Cell_370	Fibroblast_Stroma	Cell_370
Cell_371	Fibroblast_Stroma	Cell_371
Cell_372	Fibroblast_Stroma	Cell_372
Cell_373	Fibroblast_Stroma	Cell_373
Cell_374	Fibroblast_Stroma	Cell_374
Cell_375	Fibroblast_Stroma	Cell_375
Cell_376	Fibroblast_Stroma	Cell_376
Cell_377	Fibroblast_Stroma	Cell_377
Cell_378	Fibroblast_Stroma	Cell_378
Cell_379	Fibroblast_Stroma	Cell_379
Cell_380	Fibroblast_Stroma	Cell_380
Cell_381	Fibroblast_Stroma	Cell_381
Cell_382	Fibroblast_Stroma	Cell_382
Cell_383	Fibroblast_Stroma	Cell_383
Cell_384	Fibroblast_Stroma	Cell_384
Cell_385	Fibroblast_Stroma	Cell_385
Cell_386	Fibroblast_Stroma	Cell_386
Cell_387	Fibroblast_Stroma	Cell_387
Cell_388	Fibroblast_Stroma	Cell_388
Cell_389	Fibroblast_Stroma	Cell_389
Cell_390	Fibroblast_Stroma	Cell_390
Cell_391	Fibroblast_Stroma	Cell_391
Cell_392	Fibroblast_Stroma	Cell_392
Cell_393	Fibroblast_Stroma	Cell_393
Cell_394	Fibroblast_Stroma	Cell_394
Cell_395	Fibroblast_Stroma	Cell_395
Cell_396	Fibroblast_Stroma	Cell_396
Cell_397	Fibroblast_Stroma	Cell_397
Cell_398	Fibroblast_Stroma	Cell_398
Cell_399	Fibroblast_Stroma	Cell_399
Cell_400	T_Cell	Cell_400
Cell_401	T_Cell	Cell_401
Cell_402	T_Cell	Cell_402
Cell_403	T_Cell	Cell_403
Cell_404	T_Cell	Cell_404
Cell_405	T_Cell	Cell_405
Cell_406	T_Cell	Cell_406
Cell_407	T_Cell	Cell_407
Cell_408	T_Cell	Cell_408
Cell_409	T_Cell	Cell_409
Cell_410	T_Cell	Cell_410
Cell_411	T_Cell	Cell_411
Cell_412	T_Cell	Cell_412
Cell_413	T_Cell	Cell_413
Cell_414	T_Cell	Cell_414
Cell_415	T_Cell	Cell_415
Cell_416	T_Cell	Cell_416
Cell_417	T_Cell	Cell_417
Cell_418	T_Cell	Cell_418
Cell_419	T_Cell	Cell_419
Cell_420	T_Cell	Cell_420
Cell_421	T_Cell	Cell_421
Cell_422	T_Cell	Cell_422
Cell_423	T_Cell	Cell_423
Cell_424	T_Cell	Cell_424
Cell_425	T_Cell	Cell_425
Cell_426	T_Cell	Cell_426
Cell_427	T_Cell	Cell_427
Cell_428	T_Cell	Cell_428
Cell_429	T_Cell	Cell_429
Cell_430	T_Cell	Cell_430
Cell_431	T_Cell	Cell_431
Cell_432	T_Cell	Cell_432
Cell_433	T_Cell	Cell_433
Cell_434	T_Cell	Cell_434
Cell_435	T_Cell	Cell_435
Cell_436	T_Cell	Cell_436
Cell_437	T_Cell	Cell_437
Cell_438	T_Cell	Cell_438
Cell_439	T_Cell	Cell_439
Cell_440	T_Cell	Cell_440
Cell_441	T_Cell	Cell_441
Cell_442	T_Cell	Cell_442
Cell_443	T_Cell	Cell_443
Cell_444	T_Cell	Cell_444
Cell_445	T_Cell	Cell_445
Cell_446	T_Cell	Cell_446
Cell_447	T_Cell	Cell_447
Cell_448	T_Cell	Cell_448
Cell_449	T_Cell	Cell_449
Cell_450	T_Cell	Cell_450
Cell_451	T_Cell	Cell_451
Cell_452	T_Cell	Cell_452
Cell_453	T_Cell	Cell_453
Cell_454	T_Cell	Cell_454
Cell_455	T_Cell	Cell_455
Cell_456	T_Cell	Cell_456
Cell_457	T_Cell	Cell_457
Cell_458	T_Cell	Cell_458
Cell_459	T_Cell	Cell_459
Cell_460	T_Cell	Cell_460
Cell_461	T_Cell	Cell_461
Cell_462	T_Cell	Cell_462
Cell_463	T_Cell	Cell_463
Cell_464	T_Cell	Cell_464
Cell_465	T_Cell	Cell_465
Cell_466	T_Cell	Cell_466
Cell_467	T_Cell	Cell_467
Cell_468	T_Cell	Cell_468
Cell_469	T_Cell	Cell_469
Cell_470	T_Cell	Cell_470
Cell_471	T_Cell	Cell_471
Cell_472	T_Cell	Cell_472
Cell_473	T_Cell	Cell_473
Cell_474	T_Cell	Cell_474
Cell_475	T_Cell	Cell_475
Cell_476	T_Cell	Cell_476
Cell_477	T_Cell	Cell_477
Cell_478	T_Cell	Cell_478
Cell_479	T_Cell	Cell_479
Cell_480	T_Cell	Cell_480
Cell_481	T_Cell	Cell_481
Cell_482	T_Cell	Cell_482
Cell_483	T_Cell	Cell_483
Cell_484	T_Cell	Cell_484
Cell_485	T_Cell	Cell_485
Cell_486	T_Cell	Cell_486
Cell_487	T_Cell	Cell_487
Cell_488	T_Cell	Cell_488
Cell_489	T_Cell	Cell_489
Cell_490	T_Cell	Cell_490
Cell_491	T_Cell	Cell_491
Cell_492	T_Cell	Cell_492
Cell_493	T_Cell	Cell_493
Cell_494	T_Cell	Cell_494
Cell_495	T_Cell	Cell_495
Cell_496	T_Cell	Cell_496
Cell_497	T_Cell	Cell_497
Cell_498	T_Cell	Cell_498
Cell_499	T_Cell	Cell_499
Cell_500	T_Cell	Cell_500
Cell_501	T_Cell	Cell_501
Cell_502	T_Cell	Cell_502
Cell_503	T_Cell	Cell_503
Cell_504	T_Cell	Cell_504
Cell_505	T_Cell	Cell_505
Cell_506	T_Cell	Cell_506
Cell_507	T_Cell	Cell_507
Cell_508	T_Cell	Cell_508
Cell_509	T_Cell	Cell_509
Cell_510	T_Cell	Cell_510
Cell_511	T_Cell	Cell_511
Cell_512	T_Cell	Cell_512
Cell_513	T_Cell	Cell_513
Cell_514	T_Cell	Cell_514
Cell_515	T_Cell	Cell_515
Cell_516	T_Cell	Cell_516
Cell_517	T_Cell	Cell_517
Cell_518	T_Cell	Cell_518
Cell_519	T_Cell	Cell_519
Cell_520	T_Cell	Cell_520
Cell_521	T_Cell	Cell_521
Cell_522	T_Cell	Cell_522
Cell_523	T_Cell	Cell_523
Cell_524	T_Cell	Cell_524
Cell_525	T_Cell	Cell_525
Cell_526	T_Cell	Cell_526
Cell_527	T_Cell	Cell_527
Cell_528	T_Cell	Cell_528
Cell_529	T_Cell	Cell_529
Cell_530	T_Cell	Cell_530
Cell_531	T_Cell	Cell_531
Cell_532	T_Cell	Cell_532
Cell_533	T_Cell	Cell_533
Cell_534	T_Cell	Cell_534
Cell_535	T_Cell	Cell_535
Cell_536	T_Cell	Cell_536
Cell_537	T_Cell	Cell_537
Cell_538	T_Cell	Cell_538
Cell_539	T_Cell	Cell_539
Cell_540	T_Cell	Cell_540
Cell_541	T_Cell	Cell_541
Cell_542	T_Cell	Cell_542
Cell_543	T_Cell	Cell_543
Cell_544	T_Cell	Cell_544
Cell_545	T_Cell	Cell_545
Cell_546	T_Cell	Cell_546
Cell_547	T_Cell	Cell_547
Cell_548	T_Cell	Cell_548
Cell_549	T_Cell	Cell_549
Cell_550	T_Cell	Cell_550
Cell_551	T_Cell	Cell_551
Cell_552	T_Cell	Cell_552
Cell_553	T_Cell	Cell_553
Cell_554	T_Cell	Cell_554
Cell_555	T_Cell	Cell_555
Cell_556	T_Cell	Cell_556
Cell_557	T_Cell	Cell_557
Cell_558	T_Cell	Cell_558
Cell_559	T_Cell	Cell_559
Cell_560	T_Cell	Cell_560
Cell_561	T_Cell	Cell_561
Cell_562	T_Cell	Cell_562
Cell_563	T_Cell	Cell_563
Cell_564	T_Cell	Cell_564
Cell_565	T_Cell	Cell_565
Cell_566	T_Cell	Cell_566
Cell_567	T_Cell	Cell_567
Cell_568	T_Cell	Cell_568
Cell_569	T_Cell	Cell_569
Cell_570	T_Cell	Cell_570
Cell_571	T_Cell	Cell_571
Cell_572	T_Cell	Cell_572
Cell_573	T_Cell	Cell_573
Cell_574	T_Cell	Cell_574
Cell_575	T_Cell	Cell_575
Cell_576	T_Cell	Cell_576
Cell_577	T_Cell	Cell_577
Cell_578	T_Cell	Cell_578
Cell_579	T_Cell	Cell_579
Cell_580	T_Cell	Cell_580
Cell_581	T_Cell	Cell_581
Cell_582	T_Cell	Cell_582
Cell_583	T_Cell	Cell_583
Cell_584	T_Cell	Cell_584
Cell_585	T_Cell	Cell_585
Cell_586	T_Cell	Cell_586
Cell_587	T_Cell	Cell_587
Cell_588	T_Cell	Cell_588
Cell_589	T_Cell	Cell_589
Cell_590	T_Cell	Cell_590
Cell_591	T_Cell	Cell_591
Cell_592	T_Cell	Cell_592
Cell_593	T_Cell	Cell_593
Cell_594	T_Cell	Cell_594
Cell_595	T_Cell	Cell_595
Cell_596	T_Cell	Cell_596
Cell_597	T_Cell	Cell_597
Cell_598	T_Cell	Cell_598
Cell_599	T_Cell	Cell_599
Cell_600	B_Cell	Cell_600
Cell_601	B_Cell	Cell_601
Cell_602	B_Cell	Cell_602
Cell_603	B_Cell	Cell_603
Cell_604	B_Cell	Cell_604
Cell_605	B_Cell	Cell_605
Cell_606	B_Cell	Cell_606
Cell_607	B_Cell	Cell_607
Cell_608	B_Cell	Cell_608
Cell_609	B_Cell	Cell_609
Cell_610	B_Cell	Cell_610
Cell_611	B_Cell	Cell_611
Cell_612	B_Cell	Cell_612
Cell_613	B_Cell	Cell_613
Cell_614	B_Cell	Cell_614
Cell_615	B_Cell	Cell_615
Cell_616	B_Cell	Cell_616
Cell_617	B_Cell	Cell_617
Cell_618	B_Cell	Cell_618
Cell_619	B_Cell	Cell_619
Cell_620	B_Cell	Cell_620
Cell_621	B_Cell	Cell_621
Cell_622	B_Cell	Cell_622
Cell_623	B_Cell	Cell_623
Cell_624	B_Cell	Cell_624
Cell_625	B_Cell	Cell_625
Cell_626	B_Cell	Cell_626
Cell_627	B_Cell	Cell_627
Cell_628	B_Cell	Cell_628
Cell_629	B_Cell	Cell_629
Cell_630	B_Cell	Cell_630
Cell_631	B_Cell	Cell_631
Cell_632	B_Cell	Cell_632
Cell_633	B_Cell	Cell_633
Cell_634	B_Cell	Cell_634
Cell_635	B_Cell	Cell_635
Cell_636	B_Cell	Cell_636
Cell_637	B_Cell	Cell_637
Cell_638	B_Cell	Cell_638
Cell_639	B_Cell	Cell_639
Cell_640	B_Cell	Cell_640
Cell_641	B_Cell	Cell_641
Cell_642	B_Cell	Cell_642
Cell_643	B_Cell	Cell_643
Cell_644	B_Cell	Cell_644
Cell_645	B_Cell	Cell_645
Cell_646	B_Cell	Cell_646
Cell_647	B_Cell	Cell_647
Cell_648	B_Cell	Cell_648
Cell_649	B_Cell	Cell_649
Cell_650	B_Cell	Cell_650
Cell_651	B_Cell	Cell_651
Cell_652	B_Cell	Cell_652
Cell_653	B_Cell	Cell_653
Cell_654	B_Cell	Cell_654
Cell_655	B_Cell	Cell_655
Cell_656	B_Cell	Cell_656
Cell_657	B_Cell	Cell_657
Cell_658	B_Cell	Cell_658
Cell_659	B_Cell	Cell_659
Cell_660	B_Cell	Cell_660
Cell_661	B_Cell	Cell_661
Cell_662	B_Cell	Cell_662
Cell_663	B_Cell	Cell_663
Cell_664	B_Cell	Cell_664
Cell_665	B_Cell	Cell_665
Cell_666	B_Cell	Cell_666
Cell_667	B_Cell	Cell_667
Cell_668	B_Cell	Cell_668
Cell_669	B_Cell	Cell_669
Cell_670	B_Cell	Cell_670
Cell_671	B_Cell	Cell_671
Cell_672	B_Cell	Cell_672
Cell_673	B_Cell	Cell_673
Cell_674	B_Cell	Cell_674
Cell_675	B_Cell	Cell_675
Cell_676	B_Cell	Cell_676
Cell_677	B_Cell	Cell_677
Cell_678	B_Cell	Cell_678
Cell_679	B_Cell	Cell_679
Cell_680	B_Cell	Cell_680
Cell_681	B_Cell	Cell_681
Cell_682	B_Cell	Cell_682
Cell_683	B_Cell	Cell_683
Cell_684	B_Cell	Cell_684
Cell_685	B_Cell	Cell_685
Cell_686	B_Cell	Cell_686
