kind	path	children_or_shape	encoding
dataset	obs/sample_number	(4167,)	
dataset	obs/tdTomato	(4167,)	
dataset	obs/transgene_present	(4167,)	
dataset	obs/turboRFP	(4167,)	
dataset	obs/which_transgenes	(4167,)	
group	obsm	X_pca,X_umap	
dataset	obsm/X_pca	(4167, 50)	
dataset	obsm/X_umap	(4167, 2)	
group	obsp	connectivities,distances	
group	obsp/connectivities	data,indices,indptr	csr_matrix
dataset	obsp/connectivities/data	(90180,)	
dataset	obsp/connectivities/indices	(90180,)	
dataset	obsp/connectivities/indptr	(4168,)	
group	obsp/distances	data,indices,indptr	csr_matrix
dataset	obsp/distances/data	(58338,)	
dataset	obsp/distances/indices	(58338,)	
dataset	obsp/distances/indptr	(4168,)	
group	raw	X,var	raw
group	raw/X	data,indices,indptr	csr_matrix
dataset	raw/X/data	(7886184,)	
dataset	raw/X/indices	(7886184,)	
dataset	raw/X/indptr	(4168,)	
group	raw/var	__categories,dispersions,dispersions_norm,feature_types,gene_ids,genome,highly_variable,idx,log1p_mean_counts,log1p_total_counts,mean_counts,means,mito_mask,n_cells,n_cells_by_counts,pct_dropout_by_counts,ribo_mask,total_counts,transgene_mask	dataframe
group	raw/var/__categories	feature_types,genome	
dataset	raw/var/dispersions	(21890,)	
dataset	raw/var/dispersions_norm	(21890,)	
dataset	raw/var/feature_types	(21890,)	
dataset	raw/var/gene_ids	(21890,)	
dataset	raw/var/genome	(21890,)	
dataset	raw/var/highly_variable	(21890,)	
dataset	raw/var/idx	(21890,)	
dataset	raw/var/log1p_mean_counts	(21890,)	
dataset	raw/var/log1p_total_counts	(21890,)	
dataset	raw/var/mean_counts	(21890,)	
dataset	raw/var/means	(21890,)	
dataset	raw/var/mito_mask	(21890,)	
dataset	raw/var/n_cells	(21890,)	
dataset	raw/var/n_cells_by_counts	(21890,)	
dataset	raw/var/pct_dropout_by_counts	(21890,)	
dataset	raw/var/ribo_mask	(21890,)	
dataset	raw/var/total_counts	(21890,)	
dataset	raw/var/transgene_mask	(21890,)	
group	uns	hvg,leiden,neighbors,pca,rank_genes_groups,umap	
group	uns/hvg	flavor	
dataset	uns/hvg/flavor	()	
group	uns/leiden	params	
group	uns/leiden/params	n_iterations,random_state,resolution	
group	uns/neighbors	connectivities_key,distances_key,params	
dataset	uns/neighbors/connectivities_key	()	
dataset	uns/neighbors/distances_key	()	
group	uns/neighbors/params	method,metric,n_neighbors,n_pcs,random_state	
group	uns/pca	params,variance,variance_ratio	
group	uns/pca/params	use_highly_variable,zero_center	
dataset	uns/pca/variance	(50,)	
dataset	uns/pca/variance_ratio	(50,)	
group	uns/rank_genes_groups	logfoldchanges,names,params,pts,pts_rest,pvals,pvals_adj,scores	
dataset	uns/rank_genes_groups/logfoldchanges	(50,)	
dataset	uns/rank_genes_groups/names	(50,)	
group	uns/rank_genes_groups/params	corr_method,groupby,method,reference,use_raw	
group	uns/rank_genes_groups/pts	0,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9,idx	dataframe
group	uns/rank_genes_groups/pts_rest	0,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9,idx	dataframe
dataset	uns/rank_genes_groups/pvals	(50,)	
dataset	uns/rank_genes_groups/pvals_adj	(50,)	
dataset	uns/rank_genes_groups/scores	(50,)	
group	uns/umap	params	
group	uns/umap/params	a,b,random_state	
group	var	__categories,dispersions,dispersions_norm,feature_types,gene_ids,genome,highly_variable,idx,log1p_mean_counts,log1p_total_counts,mean,mean_counts,means,mito_mask,n_cells,n_cells_by_counts,pct_dropout_by_counts,ribo_mask,std,total_counts,transgene_mask	dataframe
group	var/__categories	feature_types,genome	
dataset	var/__categories/feature_types	(1,)	
dataset	var/__categories/genome	(1,)	
dataset	var/dispersions	(3020,)	
dataset	var/dispersions_norm	(3020,)	
dataset	var/feature_types	(3020,)	
dataset	var/gene_ids	(3020,)	
dataset	var/genome	(3020,)	
dataset	var/highly_variable	(3020,)	
dataset	var/idx	(3020,)	
dataset	var/log1p_mean_counts	(3020,)	
dataset	var/log1p_total_counts	(3020,)	
dataset	var/mean	(3020,)	
dataset	var/mean_counts	(3020,)	
dataset	var/means	(3020,)	
dataset	var/mito_mask	(3020,)	
dataset	var/n_cells	(3020,)	
dataset	var/n_cells_by_counts	(3020,)	
dataset	var/pct_dropout_by_counts	(3020,)	
dataset	var/ribo_mask	(3020,)	
dataset	var/std	(3020,)	
dataset	var/total_counts	(3020,)	
dataset	var/transgene_mask	(3020,)	
group	varm	PCs	
dataset	varm/PCs	(3020, 50)	
