section	value
matrix_encoding	csr_matrix
n_obs	4992
n_vars	24581
nnz	30094274
total_counts	1615401112.000000
barcode_sha256_newline	c0c9c466190351079464b99005c872bb694726ca0ffacec6383fff9a7ea17a3b
var_id_sha256_newline	aec04755865afaa65bf1e2c51bff3758b717201e58db0ba18fcaf7f97c642e4e
first_barcodes	SS2_15_0135:A8,SS2_15_0135:A6,SS2_15_0135:A2,SS2_15_0135:A1,SS2_15_0135:A5
last_barcodes	SS2_20_153:P17,SS2_20_153:P21,SS2_20_153:P20,SS2_20_153:P11,SS2_20_153:P23
first_var_ids	Adora1,Sntg1,Prim2,Bai3,Cflar
first_gene_symbols	Adora1,Sntg1,Prim2,Bai3,Cflar
cell_total_counts_p0	0.000000
cell_total_counts_p1	1.000000
cell_total_counts_p5	258.150000
cell_total_counts_p25	199841.500000
cell_total_counts_p50	286318.500000
cell_total_counts_p75	363688.250000
cell_total_counts_p95	904387.650000
cell_total_counts_p99	1251587.020000
cell_total_counts_p100	2173603.000000
cell_n_genes_p0	0.000000
cell_n_genes_p1	1.000000
cell_n_genes_p5	81.200000
cell_n_genes_p25	4059.750000
cell_n_genes_p50	5802.500000
cell_n_genes_p75	8675.000000
cell_n_genes_p95	10486.700000
cell_n_genes_p99	11783.070000
cell_n_genes_p100	12601.000000
gene_total_counts_p0	0.000000
gene_total_counts_p1	0.000000
gene_total_counts_p5	0.000000
gene_total_counts_p25	87.000000
gene_total_counts_p50	7638.000000
gene_total_counts_p75	66081.000000
gene_total_counts_p95	260869.000000
gene_total_counts_p99	693982.000000
gene_total_counts_p100	40735612.000000
gene_n_cells_p0	0.000000
gene_n_cells_p1	0.000000
gene_n_cells_p5	0.000000
gene_n_cells_p25	16.000000
gene_n_cells_p50	526.000000
gene_n_cells_p75	2419.000000
gene_n_cells_p95	3764.000000
gene_n_cells_p99	4306.200000
gene_n_cells_p100	4765.000000
cells_total_gt_0	4975
cells_total_gt_100	4748
cells_total_gt_500	4734
cells_total_gt_1000	4719
cells_total_gt_2000	4665
cells_total_gt_5000	4621
cells_total_gt_10000	4603
genes_cells_gt_0	23112
genes_cells_gt_1	22504
genes_cells_gt_5	20628
genes_cells_gt_10	19333
genes_cells_gt_50	16368
genes_cells_gt_100	15200
genes_cells_gt_500	12392
top_genes_by_total_counts	rank	var_id	gene_symbol	total_counts	n_cells
top_gene_by_cells	5	Hsp90ab1	Hsp90ab1	4623	5920125.000000
top_gene_by_cells	6	Eef1a1	Eef1a1	4621	2866422.000000
top_gene_by_cells	7	Eef2	Eef2	4604	3003281.000000
top_gene_by_cells	8	Lars2	Lars2	4601	914197.000000
top_gene_by_cells	9	Gnas	Gnas	4589	2709148.000000
top_gene_by_cells	10	Rplp1	Rplp1	4584	422487.000000
top_gene_by_cells	11	Rplp0	Rplp0	4579	960199.000000
top_gene_by_cells	12	Rpl4	Rpl4	4576	2142400.000000
top_gene_by_cells	13	Rps14	Rps14	4574	545343.000000
top_gene_by_cells	14	ERCC-00074	ERCC-00074	4573	4629470.000000
top_gene_by_cells	15	Dpysl2	Dpysl2	4572	1643745.000000
top_gene_by_cells	16	Rpl13a	Rpl13a	4570	580816.000000
top_gene_by_cells	17	Nedd4	Nedd4	4570	2523954.000000
top_gene_by_cells	18	Ftl1	Ftl1	4565	503793.000000
top_gene_by_cells	19	Ddx5	Ddx5	4564	1887406.000000
top_gene_by_cells	20	Atp5b	Atp5b	4556	5218765.000000
top_gene_by_cells	21	Rps3	Rps3	4553	1470473.000000
top_gene_by_cells	22	Rps5	Rps5	4552	1726365.000000
top_gene_by_cells	23	H3f3b	H3f3b	4552	1213168.000000
top_gene_by_cells	24	Rps9	Rps9	4550	593393.000000
top_gene_by_cells	25	Rpl8	Rpl8	4549	1178261.000000
top_gene_by_cells	26	Srrm2	Srrm2	4545	1238159.000000
top_gene_by_cells	27	Ubb	Ubb	4541	333252.000000
top_gene_by_cells	28	Rps24	Rps24	4541	191586.000000
top_gene_by_cells	29	Rps20	Rps20	4540	232828.000000
top_gene_by_cells	30	Rps26	Rps26	4539	250248.000000
top_gene_by_cells	31	Atp5a1	Atp5a1	4537	2893375.000000
top_gene_by_cells	32	Gnb2l1	Gnb2l1	4536	1534732.000000
top_gene_by_cells	33	Calm1	Calm1	4535	2162282.000000
top_gene_by_cells	34	Rpl32	Rpl32	4534	311511.000000
top_gene_by_cells	35	Tuba1a	Tuba1a	4533	3503114.000000
top_gene_by_cells	36	Gm13826	Gm13826	4531	100650.000000
top_gene_by_cells	37	Eif4g2	Eif4g2	4528	2397249.000000
top_gene_by_cells	38	Hspa8	Hspa8	4525	689779.000000
top_gene_by_cells	39	Rpl39	Rpl39	4525	114110.000000
top_gene_by_cells	40	ERCC-00130	ERCC-00130	4525	2283389.000000
top_gene_by_cells	41	Cox8a	Cox8a	4523	559292.000000
top_gene_by_cells	42	Rpl14-ps1	Rpl14-ps1	4522	233944.000000
top_gene_by_cells	43	Rplp2	Rplp2	4521	147106.000000
top_gene_by_cells	44	Rps15	Rps15	4520	240347.000000
top_gene_by_cells	45	Ywhae	Ywhae	4519	1614373.000000
top_gene_by_cells	46	Son	Son	4518	644130.000000
top_gene_by_cells	47	Rpl41	Rpl41	4516	112955.000000
top_gene_by_cells	48	Lrrc58	Lrrc58	4516	246846.000000
top_gene_by_cells	49	Rpl18a	Rpl18a	4515	152605.000000
top_gene_by_cells	50	Rps15a	Rps15a	4514	207008.000000
top_gene_by_cells	51	Cox4i1	Cox4i1	4509	1549333.000000
top_gene_by_cells	52	Prkar1a	Prkar1a	4509	1557018.000000
top_gene_by_cells	53	Cfl1	Cfl1	4509	697617.000000
top_gene_by_cells	54	Rps19	Rps19	4508	139839.000000
top_gene_by_cells	55	Rps21	Rps21	4507	87926.000000
top_gene_by_cells	56	Slc25a3	Slc25a3	4507	2416422.000000
top_gene_by_cells	57	Rps2	Rps2	4505	167642.000000
top_gene_by_cells	58	Rps11	Rps11	4504	369979.000000
top_gene_by_cells	59	Rps18	Rps18	4503	92644.000000
top_gene_by_cells	60	Rpl23	Rpl23	4501	122996.000000
top_gene_by_cells	61	Ptma	Ptma	4500	95724.000000
top_gene_by_cells	62	Rbm39	Rbm39	4498	517842.000000
top_gene_by_cells	63	Sepw1	Sepw1	4498	850626.000000
top_gene_by_cells	64	Sod1	Sod1	4497	796858.000000
top_gene_by_cells	65	Tubb5	Tubb5	4495	5676724.000000
top_gene_by_cells	66	Itm2b	Itm2b	4493	1292910.000000
top_gene_by_cells	67	Gas5	Gas5	4492	748128.000000
top_gene_by_cells	68	Rps3a1	Rps3a1	4492	167837.000000
top_gene_by_cells	69	Rhoa	Rhoa	4492	243989.000000
top_gene_by_cells	70	Eif1	Eif1	4492	276642.000000
top_gene_by_cells	71	Bsg	Bsg	4490	1036515.000000
top_gene_by_cells	72	Chchd2	Chchd2	4488	424095.000000
top_gene_by_cells	73	Rpl7	Rpl7	4485	360385.000000
top_gene_by_cells	74	Rps4x	Rps4x	4485	133745.000000
top_gene_by_cells	75	Ubc	Ubc	4484	417760.000000
top_gene_by_cells	76	Rpl14	Rpl14	4483	127297.000000
top_gene_by_cells	77	Pfn1	Pfn1	4481	497646.000000
top_gene_by_cells	78	Cox6c	Cox6c	4481	411459.000000
top_gene_by_cells	79	Cox6a1	Cox6a1	4480	777518.000000
top_gene_by_cells	80	Hsp90b1	Hsp90b1	4477	1143636.000000
top_gene_by_cells	81	Pabpc1	Pabpc1	4477	242184.000000
top_gene_by_cells	82	Hsp90aa1	Hsp90aa1	4476	484575.000000
top_gene_by_cells	83	Ncl	Ncl	4473	706834.000000
top_gene_by_cells	84	Ctnnb1	Ctnnb1	4473	1449608.000000
top_gene_by_cells	85	Ywhaz	Ywhaz	4472	660360.000000
top_gene_by_cells	86	ERCC-00002	ERCC-00002	4472	2533653.000000
top_gene_by_cells	87	Tuba1b	Tuba1b	4469	313392.000000
top_gene_by_cells	88	Ywhab	Ywhab	4468	2148247.000000
top_gene_by_cells	89	Tmsb4x	Tmsb4x	4467	965460.000000
top_gene_by_cells	90	Akr1a1	Akr1a1	4466	1764885.000000
top_gene_by_cells	91	Cd81	Cd81	4466	994187.000000
top_gene_by_cells	92	Ybx1	Ybx1	4465	498994.000000
top_gene_by_cells	93	Rpl18	Rpl18	4464	75328.000000
top_gene_by_cells	94	Hnrnpa2b1	Hnrnpa2b1	4463	620299.000000
top_gene_by_cells	95	Rpl13	Rpl13	4463	48451.000000
top_gene_by_cells	96	Slc25a4	Slc25a4	4461	2661412.000000
top_gene_by_cells	97	Rpl3	Rpl3	4459	92368.000000
top_gene_by_cells	98	Cnbp	Cnbp	4458	969675.000000
top_gene_by_cells	99	Hspa5	Hspa5	4457	1489780.000000
top_gene_by_cells	100	Mrfap1	Mrfap1	4455	306500.000000
