index	n_cells	highly_variable	means	dispersions	dispersions_norm
G0S2	185	False	2.0181192522393703	7.05161355076105	-1.0724627
GABARAPL2	978	True	0.6271770972844544	3.4867930988468014	1.6509764
GATA2	4	False	3.536915062032109	9.999911925032864	1.1288301
GGNBP2	470	False	1.0895966052613215	6.034675888326578	-0.10870185
GIMAP7	1444	True	0.5355935442805303	3.1393474722245607	1.1521893
GNAI2	618	True	0.8428136791981186	4.542083663268917	0.7053423
GNLY	484	False	1.0440298094021663	3.60435084880713	-1.7575331
GPR171	135	True	2.642838085448592	9.559672957617726	0.6523128
GPX1	1136	False	0.6321287324378134	2.5968743191099457	0.373424
GSTP1	1238	False	0.5561696096230935	1.9816741277906618	-0.509747
GZMA	541	False	0.7845256264302727	2.776582991492818	-1.1710753
GZMB	326	False	1.1419457019523223	3.91700131678697	-1.9272314
GZMH	269	False	1.2044084983004706	4.086773345980991	-1.7814416
GZMK	319	False	1.1168143792769123	3.9012823261813554	-1.9407299
H2AFY	798	True	0.8333367558309319	4.934433567333176	1.1223415
HLA-DMA	708	False	0.7335262172182209	3.1836497169611384	-0.7384348
HLA-DMB	482	False	0.9171177580493453	4.841694033879095	-0.49384257
HLA-DPA1	1326	False	0.52224380934735	1.6831882872678103	-0.9382483
HLA-DPB1	1388	False	0.5262098207237469	1.7465632515993847	-0.8472683
HLA-DQA1	586	False	0.7870965270727764	2.9120714702114534	-1.0270749
HLA-DQB1	645	False	0.7730928651674767	2.7970437874766887	-1.1493292
HLA-DRB1	1235	False	0.5278871947450456	1.638447717737929	-1.002477
HOPX	403	False	1.0013391274505157	4.220531309291481	-1.128232
HVCN1	331	False	1.4050729617175144	7.336800953628087	0.3848027
ID2	1040	False	0.6050695345362841	2.358293540344212	0.030921437
IDH2	493	False	0.9661936936236248	5.0872367381929795	-0.24307142
IFI30	441	False	1.0372509249962938	5.124161988716104	-0.2053599
IFITM3	599	False	0.7394561171272057	2.7253112815493474	-1.2255682
IFT20	310	True	1.570061351254402	7.974135553925568	1.1543416
IGFBP7	228	True	2.5673663599698067	9.641156640833685	0.5884912
IGJ	72	False	3.85799872330729	9.631163510741882	0.86800057
IGLL5	111	False	3.744525892628575	9.013808875540057	-1.0934935
IL16	463	True	1.0754475254191485	6.596699304201803	1.2985327
IL1B	211	False	1.7722689989639187	6.865784047072528	-0.91294056
IL32	1496	False	0.4765604905684215	1.4230111590259227	-1.3117542
ILF3	251	False	2.306425374922566	9.487940067165615	0.47983712
ILF3-AS1	437	True	1.136510237019174	6.805389612121903	0.55314
IRF7	439	False	1.0696881428309237	5.740502833495334	0.42410493
IRF8	296	False	1.6037111315943837	7.7670438372329205	-0.6021019
ITM2A	340	True	1.51823617522895	8.088226692172725	1.2935714
KIAA0125	93	False	2.8997929609340973	8.57628715514303	-0.70710677
KLRB1	152	True	2.6331666618179432	9.57368303642158	0.672847
KLRC1	51	False	4.122570289645765	9.387046125216356	-0.68870556
KLRG1	313	False	1.4638183087949819	7.181389348117119	0.19684906
LAMTOR1	928	False	0.6777659059637305	3.5849781380872328	-0.31189308
LAT2	249	False	2.203947402935121	9.327466034833469	0.3267871
LGALS2	573	False	0.774438397877241	2.8037007822631805	-1.1422539
LGALS3	662	False	0.8036903092961828	4.296246694070944	0.4440607
LMAN2	698	True	0.8377014782400499	4.762450249831025	0.9395534
LST1	959	False	0.619473713399646	2.2285888067945825	-0.15528049
LTB	1893	False	0.433036455302009	1.2528401483096747	-1.5560489
LYAR	499	False	1.0475737380642234	5.577046240097822	0.2571678
LYPD2	18	False	4.4935796054462545	9.91975004571006	-0.029424397
MAL	355	True	1.4229323269517393	7.568370511244375	0.6648612
MARCKSL1	493	True	1.0066179609104902	5.8796419386842596	0.5662068
MED28	458	True	1.0662032359398492	6.275058459393482	0.97004306
MFSD1	163	False	2.5720775251775874	8.710483603712973	-0.27147573
MPP1	175	True	2.899681580093942	8.729063470312216	0.70710677
MRPL21	434	True	1.277518516915476	7.382746403827599	1.0489388
MRPL40	327	True	1.449379659872815	7.492694917707637	0.5733397
MRPS33	268	True	2.442929540484927	9.772104167560824	0.70949024
MS4A1	423	False	0.9065156539201488	3.293975684196001	-2.0745173
MTCH2	223	True	2.5038081951299187	9.70852018095529	0.6507369
MZB1	74	False	3.6277055644699274	9.320393291890078	-0.77490747
NAA20	368	False	1.375191183932022	6.76422530591004	-0.307666
NDUFA2	695	True	0.9919459421052365	6.7408373796573775	1.44574
NDUFB10	892	False	0.6821709021346548	3.7868825214487933	-0.097304106
NKG7	816	False	0.7074415572145397	2.3994984853272268	-1.5718501
NSA2	602	False	0.9483683141081805	5.670184298292129	0.35228908
OAS1	526	True	0.9603530495748605	5.83167952950865	0.5172231
OTUB1	437	True	1.2050169550470713	6.891618904065096	0.62718844
PCNA	162	True	2.586519642653486	9.619429582427554	0.5684148
PHPT1	440	True	1.0813016181475916	6.223682983526351	0.91757363
PLD4	126	False	2.6765897635449156	8.433528344363626	-0.9982442
PNOC	95	False	2.4903452318428534	6.893834640132692	-1.9501082
POLR2I	390	False	1.2258743295700305	6.567716104889286	0.3490405
POLR3K	293	True	1.9864534806298653	8.987943142120203	0.90563816
PPIG	457	True	1.18054166013705	6.876920362052472	0.61456627
PPP1R14A	61	False	3.76105876492234	9.428942621361788	0.22549292
PQBP1	430	True	1.9963471274291473	8.912530889603776	0.82859904
PRDX1	822	False	0.7336570602962826	3.8711127543298463	-0.0077821356
PRF1	428	False	0.9895709356326864	3.552368172205455	-1.8106226
PRMT2	588	True	0.8256448975734674	4.716530600133005	0.8907488
PRSS57	13	False	4.695690750028181	9.996012951176636	1.0544238
PSMA7	1511	True	0.5296127006485633	2.732562989305029	0.5682163
PSMB6	749	True	0.8613674328907162	5.499261987372583	1.722655
PSMC5	777	False	0.7188841384670458	3.9361317358770234	0.061321642
PSMD7	536	False	0.94089216639974	5.530462937574804	0.20959258
PSMG2	499	False	1.1728338853082527	6.560501396236453	0.34284496
PTPN7	252	True	2.565878598969507	9.55851817608969	0.51213104
PTPRCAP	1729	False	0.4368003509038119	1.3872362376137126	-1.3631121
RAB7A	840	True	0.7018429033001354	4.494276509775946	0.65453166
RBM39	954	True	0.6498177604268612	3.7429983453757107	2.0187802
RGS19	724	True	0.7658809749147697	4.679076282306953	0.8509414
RP11-291B21.2	98	False	2.512176490593346	7.078027188764752	-1.7799094
S100A6	2109	False	0.4408633029724878	1.4066249086196074	-1.335278
S100A8	743	False	0.720706602695569	2.433762399845221	-1.5354335
S100B	94	False	3.6174719842654293	9.47065933760181	-0.35392255
S1PR5	123	False	1.972477272317246	5.950789329029908	-2.1970344
SAMD3	316	False	1.4244547436818045	7.26394760278158	0.2966944
SCP2	735	True	0.8045469096709775	5.3757343717800365	1.5913669
SERPINB1	977	False	0.6831645569679438	4.335345847273748	0.48561627
SERPINF1	22	False	4.554453117217067	9.897986767390853	-0.45578042
SIAH2	326	True	2.009648356906811	9.110129646571249	1.0304605
SLC39A3	171	False	1.9538480004093737	7.511131409810308	-0.29440925
SMAP2	434	True	1.3047954498784902	7.538011542711517	1.182271
SMIM14	275	True	1.8430400359677082	8.50359897978561	0.6568184
SNHG8	678	True	0.7616732781395135	4.440028492998842	0.59687555
SPIB	110	False	2.3843954547720956	6.913956961660619	-1.9750652
SPON2	216	False	1.4812262348284475	4.890779069805938	-2.5733979
SRGN	1612	False	0.5096682019430672	2.1011786942630266	-0.3381883
SRM	355	False	1.3546886745309241	6.626049206786659	-0.47477514
STK17A	850	False	0.6941278123602502	3.4477308921445093	-0.45776284
STMN1	196	False	2.0696343170712335	7.999076588104175	-0.10456061
STUB1	629	True	0.8605903931623915	4.687280303450463	0.85966086
SUMO3	570	True	1.1811802604117858	7.187891668660591	0.8816094
TALDO1	987	False	0.7412578163837906	4.3266194714542126	0.47634163
TAPBP	702	False	0.7503519104725654	4.144259018352048	0.28252447
TCEAL8	341	True	2.382737120838228	9.836308278324164	0.81208867
TCP1	458	False	1.0935610920688366	6.1457603761448425	-0.0133092785
TIGIT	189	True	2.56400223654945	9.650291571277114	0.5969321
TINF2	364	False	1.3187818295534721	7.289010935706087	0.3270058
TMBIM4-1	782	True	0.8238460030061137	5.802854024405272	2.0453203
TMBIM6	1382	True	0.5306189601642569	2.755295687093672	0.600851
TMEM208	343	False	1.46620520646722	7.191891780192793	0.20955063
TNFRSF17	23	False	4.802090682641555	9.913635207152039	-0.119605795
TNFRSF1B	379	True	1.820088763016268	8.809447868414887	0.9499584
TNFRSF4	155	False	1.9650200534332087	7.415042873225273	-0.70119333
TNFSF13B	433	False	1.1385253322546371	5.8325547380152525	-0.28227115
TPM4	350	False	1.360327607242776	5.776971884711289	-1.501643
TRAF3IP3	1296	False	0.5445574137751503	2.452456415273481	0.16610007
TSC22D1	51	False	4.0267720710990815	9.771861433112095	1.1470131
TTC3	327	False	1.4569860728950725	7.312345790902997	0.3552268
TTC38	129	False	2.553496011405547	8.98575980199518	-0.017113106
TYMP	940	False	0.6273879057463201	2.3192352674957077	-0.02514996
TYROBP	1072	False	0.5635635461182554	1.7904185738811484	-0.7843103
UQCRC1	499	True	1.2009050852716907	6.743800445724068	0.500251
WIBG	226	True	2.4657755809498827	9.746056345534294	0.68542135
XCL1	86	False	2.728756934442207	7.864057578579039	-1.8329008
XCL2	138	False	2.1524080428719987	7.829896105676827	-0.27739072
YWHAB	1353	False	0.5400988354922162	2.263152915723377	-0.10566084
ZNF106	205	True	2.5371726384093476	9.673259735619709	0.6181553
ZYX	403	True	1.363980086742954	7.598670147234028	0.70150536
