rank	gene	variance	mean
118	ENSG00000287979	0.0210354	0.181208
119	ENSG00000276216	0.00680771	0.167882
120	RBM8A	0.0320438	0.864321
121	TXNIP	5.02008	8.80861
122	FCGR1A	0.0576809	0.274054
123	SF3B4	0.00927877	0.44003
124	ANP32E	0.0471336	0.525384
125	APH1A	0.00792576	0.560213
126	MRPS21	0.0188169	0.913847
127	MCL1	0.0879968	0.621176
128	ENSA	0.0248833	0.658927
129	CTSS	2.76018	3.37348
130	CDC42SE1	0.0104327	0.633547
131	PSMD4	0.0240977	0.658501
132	PSMB4	0.0117968	0.435283
133	S100A10	19.8227	8.11397
134	S100A11	8.31735	5.96464
135	S100A9	801.794	28.5348
136	S100A12	22.2836	4.90942
137	S100A8	3418.77	67.0072
138	S100A6	82.2821	16.7534
139	S100A4	59.8183	20.315
140	ILF2	0.0426382	0.635684
141	RPS27	17.5801	23.0378
142	TPM3	0.785687	3.39094
143	C1orf43	0.0119275	0.475138
144	HAX1	0.0126815	0.46457
145	ADAR	0.0135919	0.340408
146	DPM3	0.00900328	0.391992
147	KRTCAP2	0.0738088	1.27284
148	FDPS	0.0155745	0.363089
149	SSR2	0.112579	1.8118
150	LAMTOR2	0.0302894	0.542463
151	CCT3	0.0493823	0.667093
152	SH2D2A	0.0091025	0.273934
153	MNDA	1.08363	1.94038
154	PYHIN1	0.0071784	0.216077
155	IFI16	0.0866218	0.745448
156	FCER1A	0.0190512	0.125985
157	TAGLN2	0.95169	3.54239
158	COPA	0.00636318	0.267439
159	CD48	0.0615402	2.03438
160	TSTD1	0.0151614	0.606369
161	ARHGAP30	0.00794476	0.596535
162	PFDN2	0.00810055	0.41881
163	UFC1	0.0377077	0.878635
164	NDUFS2	0.0097539	0.430489
165	FCER1G	4.70149	4.0523
166	SDHC	0.0178917	0.55138
167	FCGR2A	0.0344942	0.204915
168	FCGR3A	0.123133	0.862943
169	SH2D1B	0.00633041	0.125308
170	MGST3	0.0332635	0.67989
171	TMCO1	0.00925322	0.430937
172	CD247	0.0235682	0.373217
173	CREG1	0.0099117	0.113979
174	MPC2	0.00649323	0.339603
175	SELL	0.627271	2.48597
176	PRRC2C	0.0430468	0.968163
177	PRDX6	0.0343136	0.782392
178	GAS5	0.150455	1.39409
179	CACYBP	0.0692894	0.600708
180	GLUL	0.19277	0.573331
181	NCF2	0.125756	0.628199
182	ARPC5	0.199805	1.95333
183	TPR	0.0188398	0.70954
184	RGS2	0.0156895	0.306323
185	PTPRC	0.685515	4.22799
186	TIMM17A	0.00741205	0.225422
187	BTG2	0.0178204	0.545892
188	SNRPE	0.0328905	0.559081
189	NUCKS1	0.0173085	0.444248
190	FCMR	0.0130318	0.423948
191	CD55	0.0544257	0.66373
192	TRAF3IP3	0.0772759	1.04144
193	CENPF	0.00792697	0.091217
194	EPRS1	0.0114771	0.388235
195	CAPN2	0.0169857	0.373604
196	CNIH4	0.0132611	0.298656
197	LBR	0.0144803	0.432229
198	SRP9	0.0287957	0.783599
199	H3-3A	2.54667	6.25764
200	PARP1	0.0301551	0.534367
201	ARF1	0.15488	1.50905
202	GUK1	0.0500049	0.615194
203	IRF2BP2	0.00734448	0.178729
204	TOMM20	0.0119388	0.798364
205	ARID4B	0.00623807	0.461874
206	LYST	0.0117727	0.375717
207	HNRNPU	0.0337799	0.716624
208	ACP1	0.0160187	0.526597
209	RPS7	6.95584	17.3592
210	RSAD2	0.03117	0.0854391
211	ID2	0.174562	0.840875
212	YWHAQ	0.104958	0.951271
213	RRM2	0.329537	0.488016
214	PDIA6	0.104367	0.709126
215	LAPTM4A	0.0161422	0.514612
216	SF3B6	0.0272476	0.645996
217	PTRHD1	0.00656491	0.381755
218	RAB10	0.0103327	0.301076
219	HADHA	0.024289	0.875379
220	HADHB	0.00675591	0.320036
221	OST4	0.177816	2.10619
222	ATRAID	0.00708917	0.46413
223	SNX17	0.00881538	0.594089
224	PPM1G	0.0269153	0.595707
225	MRPL33	0.00631939	0.378221
226	YPEL5	0.0128593	0.444299
227	LBH	0.0453897	0.633257
228	EIF2AK2	0.0822983	0.361578
229	CDC42EP3	0.00698479	0.301261
230	CYP1B1	0.0108561	0.140046
231	SRSF7	0.0533755	0.828389
232	COX7A2L	0.0246041	0.836876
233	ZFP36L2	0.0162491	0.503303
234	CALM2	0.162459	2.18455
235	ERLEC1	0.0231004	0.411746
236	RTN4	0.0142176	0.312255
237	RPS27A	27.4428	26.3579
238	CCDC88A	0.0123697	0.277388
239	CCT4	0.0404246	0.714139
240	MDH1	0.0274709	0.610912
241	ACTR2	0.0495043	1.07617
242	PLEK	0.0824876	1.06748
243	ANXA4	0.0107664	0.247015
244	MXD1	0.00668448	0.128878
245	PCBP1	0.0435325	0.553021
246	SNRPG	0.10873	0.989959
247	FAM136A	0.00675203	0.231992
248	NAGK	0.0110127	0.32073
249	DYSF	0.0108656	0.110073
250	CCT7	0.0411642	0.672933
251	DGUOK	0.00645712	0.480065
252	BOLA3	0.00605079	0.225503
253	MOB1A	0.0267034	0.700417
254	MTHFD2	0.0141698	0.280315
255	AUP1	0.0252615	0.60078
256	SUCLG1	0.00985178	0.409962
257	TMSB10	79.1855	33.7966
258	TGOLN2	0.0157195	0.532074
259	CAPG	0.201413	0.814837
260	VAMP8	0.148803	1.62498
261	VAMP5	0.148801	0.8105
262	RNF181	0.0328979	0.660544
263	GNLY	11.7395	6.77418
264	CD8A	0.250799	0.707619
265	CD8B	0.151932	0.591085
266	CYTOR	0.0119897	0.293354
267	IGKC	4.69303	2.33223
268	IGKV4-1	58.9305	5.67083
269	IGKV5-2	0.0136509	0.0684858
270	IGKV1-5	10.9275	3.13502
271	IGKV1-6	0.594829	0.414776
272	IGKV1-8	0.422696	0.297169
273	IGKV1-9	0.935594	0.73416
274	IGKV3-11	12.1596	3.64604
275	IGKV1-12	0.00757188	0.0604988
276	IGKV3-15	58.7372	5.21595
277	IGKV1-16	0.922219	0.56668
278	IGKV1-17	1.04795	0.757392
279	IGKV3-20	40.2163	7.05398
280	IGKV6-21	0.0444325	0.0826565
281	IGKV2-24	0.482195	0.333481
282	IGKV1-27	5.30014	1.03474
283	IGKV2-29	0.199701	0.121938
284	IGKV2-30	2.10551	1.16004
285	IGKV1-39	0.0189909	0.104113
286	IGKV1D-39	0.044252	0.10431
287	IGKV2D-29	1.4697	0.490121
288	IGKV2D-28	0.00921327	0.0618974
289	IGKV3D-20	0.375701	0.302975
290	IGKV1D-17	0.150524	0.1425
291	IGKV1D-16	0.0465856	0.0730342
292	IGKV1D-13	1.57786	0.505674
293	IGKV3D-11	0.304833	0.254649
294	IGKV1D-8	0.196144	0.172322
295	MAL	0.0213468	0.378585
296	COX5B	0.491077	2.2578
297	ZAP70	0.0284165	0.578913
298	EIF5B	0.0136368	0.468234
299	RPL31	0.461183	4.89435
300	RNF149	0.0234042	0.29642
301	GCC2	0.00976063	0.445953
302	LIMS1	0.00868425	0.39229
303	MIR4435-2HG	0.01383	0.232057
304	CHCHD5	0.00861214	0.370439
305	ACTR3	0.155233	1.71042
306	DDX18	0.00747985	0.583964
307	DBI	0.204574	1.41347
308	GYPC	0.0370792	0.576357
309	BIN1	0.00864328	0.431079
310	UBXN4	0.0171767	0.670385
311	DARS1	0.00855553	0.369597
312	CXCR4	0.123913	0.790405
313	ARHGAP15	0.0157768	0.551431
314	ZEB2	0.108047	0.695661
315	MMADHC	0.013595	0.423
316	NMI	0.0170118	0.328576
317	PRPF40A	0.0162948	0.554876
318	CYTIP	0.0380237	0.915668
319	CD302	0.0143118	0.236855
320	RBMS1	0.00715975	0.264475
321	GCA	0.0687254	0.491286
322	PPIG	0.0110822	0.577647
323	SSB	0.0224507	0.655922
324	CDCA7	0.00768312	0.083024
325	OLA1	0.00868149	0.404614
326	WIPF1	0.0244557	0.788603
327	ATP5MC3	0.299203	1.66667
328	HNRNPA3	0.158659	1.56684
329	ITGA4	0.0282479	0.813679
330	ZC3H15	0.0210613	0.688287
331	STAT1	0.091624	0.543953
332	STK17B	0.0403103	0.442041
333	ANKRD44	0.00688398	0.389197
334	SF3B1	0.0318899	0.853664
335	HSPD1	0.28691	1.07299
336	HSPE1	0.0878282	0.686075
337	BZW1	0.029953	0.827273
338	NDUFB3	0.0399741	0.589913
339	CFLAR	0.0149199	0.592634
340	SUMO1	0.0254052	0.672252
341	NOP58	0.0170577	0.462105
342	EEF1B2	3.00619	6.86286
343	ATIC	0.00624139	0.245927
344	XRCC5	0.0702353	1.03275
345	RPL37A	1.70883	8.12135
346	ARPC2	0.46762	3.43614
347	PNKD	0.00889466	0.408249
348	SLC11A1	0.139864	0.391305
349	TUBA4A	0.015431	0.499955
350	MFF	0.00736159	0.373455
351	AGFG1	0.0110654	0.118242
352	SP110	0.0639212	0.713445
353	SP100	0.0941541	0.918501
354	ITM2C	0.0131609	0.181546
355	PSMD1	0.00891063	0.307905
356	NCL	0.370542	2.34303
357	PTMA	10.508	15.2589
358	EIF4E2	0.0100571	0.404493
359	ARL4C	0.0206475	0.514738
360	LRRFIP1	0.078276	0.731196
361	NDUFA10	0.00684135	0.365706
362	COPS9	0.0466751	0.820163
363	PPP1R7	0.00936923	0.425301
364	HDLBP	0.0160361	0.319359
365	BHLHE40	0.00614804	0.170425
366	ARPC4	0.00721582	0.243242
367	BRK1	0.0445482	1.06195
368	SEC13	0.0324053	0.522709
369	RPL32	21.3622	29.0175
370	LSM3	0.0212769	0.526491
371	OXNAD1	0.00859053	0.289529
372	RPL15	2.52481	8.61403
373	CMC1	0.0104109	0.33293
374	CMTM6	0.0138	0.549482
375	CRTAP	0.00864667	0.28112
376	MYD88	0.0148273	0.375644
377	CX3CR1	0.0350608	0.42069
378	RPSA	6.58152	10.4091
379	RPL14	5.1963	16.1049
380	CCR1	0.0107564	0.138447
381	TMA7	0.41612	3.53924
382	SHISA5	0.0528384	0.811706
383	UQCRC1	0.0494441	0.702981
384	NDUFAF3	0.0124253	0.498307
385	IMPDH2	0.013269	0.320097
386	RHOA	0.786006	3.96597
387	GNAI2	0.0958304	0.7334
388	CISH	0.0215793	0.29535
389	MANF	0.00757463	0.154152
390	RPL29	8.07644	17.7616
391	TWF2	0.0209583	0.646455
392	STAB1	0.0120065	0.150507
393	SPCS1	0.106767	1.44339
394	TKT	0.718048	1.87399
395	SELENOK	0.0182086	0.539168
396	ARF4	0.0260733	0.505641
397	THOC7	0.0125535	0.485579
398	PSMD6	0.0120223	0.444023
399	ARL6IP5	0.0524832	1.73319
400	PCNP	0.00757798	0.513393
401	RPL24	1.29923	8.71485
402	NFKBIZ	0.0162116	0.289694
403	CD47	0.00855904	0.494535
404	TRAT1	0.0143242	0.358573
405	CD96	0.010538	0.3429
406	ATG3	0.0225472	0.578286
407	COX17	0.0183759	0.611326
408	NDUFB4	0.0459549	0.95261
409	HCLS1	0.0626792	1.78622
410	EAF2	0.0112144	0.221639
411	CSTA	0.287715	0.94824
412	PARP9	0.0244233	0.257144
413	DTX3L	0.00667787	0.202671
414	PARP14	0.00945032	0.236918
415	SEC61A1	0.0184657	0.367383
416	RPN1	0.106198	1.01253
417	RAB7A	0.0215995	0.741857
418	CNBP	0.0911228	2.01735
419	NUDT16	0.0100958	0.222012
420	MRPL3	0.00645452	0.313673
421	SRPRB	0.00782257	0.214519
422	COPB2	0.00933827	0.321723
423	RNF7	0.0245698	0.706667
424	ATP1B3	0.0107696	0.296021
425	U2SURP	0.0138206	0.597226
426	PLSCR1	0.136202	0.482175
427	GYG1	0.021814	0.398084
428	SERP1	0.194817	1.37162
429	EIF2A	0.00600129	0.410496
430	SELENOT	0.0140467	0.498277
431	MBNL1	0.0400358	1.27839
432	SSR3	0.157835	0.946184
433	CCNL1	0.0364644	0.603813
434	MFSD1	0.00597629	0.292661
435	SMC4	0.0178299	0.201405
436	SEC62	0.0228804	0.997618
437	RPL22L1	0.110456	0.899652
438	TNFSF10	0.101741	0.624155
439	NDUFB5	0.0120318	0.489978
440	AP2M1	0.0282908	0.742068
441	EIF4G1	0.00635831	0.292524
442	TRA2B	0.0453208	0.734336
443	EIF4A2	0.0255288	0.809988
444	ACAP2	0.0216028	0.739454
445	PPP1R2	0.00863031	0.702341
446	PAK2	0.0328202	0.837561
447	RPL35A	5.60836	17.0221
448	ATP5ME	0.0802726	1.13966
449	SPON2	0.0653406	0.546691
450	NICOL1	0.0440312	0.242156
451	LRPAP1	0.0362772	0.592505
452	LYAR	0.0195993	0.404225
453	MRFAP1L1	0.0064471	0.238914
454	WDR1	0.0650167	1.04469
455	FBXL5	0.0183111	0.464284
456	FAM200B	0.00747703	0.32571
457	BST1	0.0101421	0.124047
458	CD38	0.0446773	0.334495
459	FGFBP2	0.197854	0.792306
460	LAP3	0.122566	0.625955
461	RBPJ	0.00705992	0.265548
462	RPL9	2.23823	8.84705
463	RHOH	0.0183887	0.501106
464	OCIAD1	0.00753448	0.607845
465	OCIAD2	0.00993753	0.417678
466	DANCR	0.0210883	0.383854
467	PAICS	0.0109829	0.180617
468	SRP72	0.0184457	0.484986
469	HOPX	0.106555	0.602987
470	JCHAIN	21.554	5.92106
471	PPBP	0.0352036	0.169991
472	AREG	0.0410905	0.2303
473	G3BP2	0.00864652	0.484334
474	NAAA	0.00804906	0.378258
475	CCNI	0.163322	1.01501
476	HNRNPD	0.0109053	0.30488
477	HNRNPDL	0.2697	2.26603
478	SEC31A	0.00602212	0.344569
479	PLAC8	0.86977	1.5696
480	MRPS18C	0.010904	0.363328
481	HSD17B11	0.0133166	0.528329
482	PPM1K	0.00847247	0.233768
483	HERC5	0.0170212	0.122109
484	ADH5	0.00930937	0.430072
485	H2AZ1	0.926233	1.87754
486	UBE2D3	0.0826397	1.03455
487	AIMP1	0.00881748	0.396095
488	LEF1	0.0244285	0.429705
489	RPL34	19.1968	26.2758
490	OSTC	0.0638002	0.747653
491	MCUB	0.0124239	0.250846
492	SNHG8	0.0326417	0.737178
493	C4orf3	0.0355085	1.16616
494	ANXA5	0.431894	1.63265
495	CCNA2	0.00994485	0.080365
496	NDUFC1	0.0295912	0.712055
497	INPP4B	0.00765222	0.287934
498	SMARCA5	0.00598024	0.35044
499	LSM6	0.00602619	0.42335
500	RPS3A	27.2893	22.6836
501	TLR2	0.00971539	0.161721
502	MARCHF1	0.0149692	0.252207
503	HMGB2	0.474107	1.15353
504	SPCS3	0.101898	0.770089
505	ACSL1	0.0231442	0.138933
506	NDUFS6	0.0354745	0.650317
507	CCT5	0.0493873	0.646544
508	SUB1	0.900696	2.62435
509	IL7R	1.16135	3.02367
510	FYB1	0.277451	2.21924
511	RPL37	5.88794	18.4284
512	EMB	0.00740366	0.447294
513	GZMK	0.165412	0.614485
514	GZMA	1.86134	2.06395
515	GPBP1	0.00609492	0.452616
516	KIF2A	0.0152169	0.647628
517	NAIP	0.0424092	0.333116
518	BTF3	0.782021	4.76427
519	HEXB	0.00936029	0.225415
520	NSA2	0.0457061	1.11834
521	TBCA	0.0513209	1.13795
522	DHFR	0.00761472	0.104945
523	RPS23	14.6671	21.1306
524	TMEM167A	0.0526626	0.490906
525	VCAN	5.69387	2.67623
526	COX7C	0.342095	4.07929
527	MEF2C	0.00972668	0.419069
528	GLRX	0.0864059	0.919273
529	CAST	0.051719	0.720266
530	ERAP2	0.0157055	0.251769
531	CAMK4	0.0139913	0.327746
532	SRP19	0.00690273	0.338484
533	REEP5	0.0519743	0.8421
534	TNFAIP8	0.0179605	0.61994
535	SNX2	0.0183747	0.5446
536	LMNB1	0.00618099	0.140915
537	HINT1	0.408335	3.19506
538	IRF1	0.0746542	1.05666
539	UQCRQ	0.215394	1.45109
540	HSPA4	0.00632778	0.308315
541	VDAC1	0.0502786	0.66017
542	TCF7	0.0662068	0.673536
543	SKP1	0.0717374	1.73337
544	UBE2B	0.00821208	0.242535
545	SAR1B	0.00662871	0.245612
546	DDX46	0.0140112	0.590984
547	MACROH2A1	0.0270156	0.423719
548	TGFBI	0.00772067	0.203367
549	HNRNPA0	0.00749877	0.197795
550	EGR1	0.0217196	0.139313
551	HSPA9	0.0186672	0.545069
552	CTNNA1	0.00895324	0.187289
553	PAIP2	0.0111422	0.711303
554	MZB1	1.53136	1.53937
555	UBE2D2	0.0383399	0.51149
556	SRA1	0.0137115	0.384246
557	CD14	1.99042	1.54414
558	NDUFA2	0.0361938	0.75813
559	IK	0.00994646	0.586168
560	ZMAT2	0.00760639	0.395907
561	DIAPH1	0.00674091	0.259188
562	NDFIP1	0.00927487	0.684466
563	CSNK1A1	0.00829185	0.494282
564	CD74	13.4771	19.4626
565	RPS14	15.9367	23.4396
566	ANXA6	0.088332	1.24728
567	CCDC69	0.00997991	0.207057
568	GM2A	0.0111931	0.169034
569	ATOX1	0.0609833	0.603018
570	G3BP1	0.0121839	0.423962
571	ITK	0.00882837	0.296641
572	CYFIP2	0.00716576	0.414372
573	PTTG1	0.0217793	0.199009
574	MAT2B	0.0177459	0.656649
575	LCP2	0.0188481	0.792237
576	NPM1	1.16287	3.68201
577	STK10	0.00610279	0.383705
578	DUSP1	0.440361	1.21361
579	ATP6V0E1	0.174937	1.628
580	SFXN1	0.00851034	0.271968
581	HRH2	0.0446263	0.243172
582	THOC3	0.00682299	0.260037
583	HIGD2A	0.124315	1.87704
584	HK3	0.0103469	0.169065
585	RAB24	0.00706368	0.349276
586	PRELID1	0.153054	0.746204
587	LMAN2	0.0595603	0.789279
588	TMED9	0.0559723	0.671981
589	NHP2	0.0269802	0.622472
590	HNRNPH1	0.00834012	0.451602
591	CANX	0.0344395	0.787433
592	SQSTM1	0.00733975	0.628304
593	RNF130	0.0370986	0.366651
594	MGAT1	0.0133931	0.370546
595	RACK1	2.85383	10.399
596	SERPINB1	0.61563	1.56665
597	F13A1	0.0284802	0.176128
598	LY86	0.0257248	0.377056
599	SSR1	0.0221543	0.585891
600	TMEM14B	0.00857181	0.496651
601	NOL7	0.00868752	0.235715
602	JARID2	0.00678447	0.205102
603	DEK	0.105008	0.965384
604	RNF144B	0.00911618	0.118799
605	RIPOR2	0.061824	1.19295
606	H3C2	0.00636736	0.0841592
607	H1-2	0.0597603	0.532341
608	H4C3	2.40216	2.20763
609	H2AC6	0.00988338	0.194241
610	H1-4	0.431471	1.4496
611	H1-3	0.128868	0.735397
612	BTN3A2	0.0163764	0.390633
613	H1-5	0.0596622	0.26588
614	HLA-F	0.0147233	0.690445
615	HLA-A	7.44802	12.7757
616	HLA-E	0.993845	5.66038
617	PPP1R18	0.0319041	0.902233
618	TUBB	1.108	1.82314
619	FLOT1	0.010187	0.248226
620	HLA-C	20.3868	13.7965
621	HLA-B	41.0934	22.8746
622	LTB	0.169017	0.705642
623	LST1	0.76152	2.21455
624	NCR3	0.00830109	0.226031
625	AIF1	2.14264	3.48059
626	CLIC1	1.26725	3.86969
627	LSM2	0.0178321	0.483011
628	HSPA1A	0.0389357	0.216585
629	GPSM3	0.0717944	2.22181
630	HLA-DRA	1.75713	4.72173
631	HLA-DRB5	0.887394	2.13922
632	HLA-DRB1	1.97808	3.5458
633	HLA-DQA1	0.153602	0.710452
634	HLA-DQB1	0.198804	0.960428
635	HLA-DQA2	0.145152	0.343781
636	PSMB8	0.136819	1.35312
637	PSMB8-AS1	0.00842985	0.416501
638	PSMB9	0.341838	2.04125
639	TAP1	0.0337054	0.56665
640	HLA-DMA	0.0306264	0.627229
641	BRD2	0.00927454	0.489486
642	HLA-DPA1	0.950189	3.05597
643	HLA-DPB1	0.71925	2.09197
644	RPS18	9.25477	15.8156
645	TAPBP	0.0355454	0.993455
646	CUTA	0.0306948	1.0955
647	UQCC2	0.0091278	0.293342
648	HMGA1	0.0135038	0.239931
649	RPS10	0.00722915	0.301805
650	SNRPC	0.0348587	0.663347
651	RPL10A	2.68859	7.68561
652	FKBP5	0.0263478	0.349945
653	STK38	0.00620565	0.449982
654	SRSF3	0.0841642	0.980396
655	CDKN1A	0.0390421	0.25929
656	PIM1	0.0649283	0.612558
657	CCDC167	0.0120996	0.244092
658	TREM1	0.00989719	0.11023
659	CCND3	0.0598268	1.22666
660	CNPY3	0.0686259	0.934424
661	MEA1	0.00669085	0.418458
662	MRPL14	0.00613372	0.338491
663	HSP90AB1	1.42635	3.59926
664	MCM3	0.0136055	0.216651
665	EEF1A1	159.368	60.1806
666	COX7A2	0.275664	1.93739
667	PHIP	0.00608239	0.381721
668	HMGN3	0.00631825	0.695615
669	SYNCRIP	0.00975487	0.367479
670	SNHG5	0.118599	0.712682
671	AKIRIN2	0.00599282	0.268258
672	PNRC1	0.0158903	0.499181
673	UBE2J1	0.0184015	0.252418
674	PNISR	0.0316738	1.01899
675	PRDM1	0.00958277	0.230829
676	CD164	0.0256934	0.804078
677	GTF3C6	0.023249	0.468668
678	MARCKS	0.00697671	0.146406
679	CALHM6	0.00749881	0.217067
680	RWDD1	0.0172314	0.788538
681	SAMD3	0.0144354	0.284458
682	VNN2	0.011262	0.141125
683	RPS12	53.6383	42.521
684	SGK1	0.0254576	0.23354
685	BCLAF1	0.0177326	0.635766
686	IFNGR1	0.0168743	0.337458
687	TNFAIP3	0.0406939	0.409143
688	ABRACL	0.0503599	1.11497
689	SF3B5	0.0430278	0.871564
690	STX11	0.01245	0.164052
691	UTRN	0.00887939	0.409738
692	PCMT1	0.00983523	0.44716
693	DYNLT1	0.0170951	0.403555
694	EZR	0.0360464	0.901656
695	TAGAP	0.0165426	0.334098
696	SOD2	0.0160183	0.36314
697	TCP1	0.0222723	0.38579
698	MRPL18	0.00704926	0.280025
699	SFT2D1	0.00646774	0.286411
700	RNASET2	0.0536526	0.322342
701	PSMB1	0.102398	1.26632
702	NUDT1	0.00995047	0.293997
703	ACTB	290.952	64.5409
704	RAC1	0.0326835	0.32633
705	KDELR2	0.0323305	0.436923
706	RPA3	0.0252951	0.331287
707	NDUFA4	0.190086	1.83205
708	ARL4A	0.00863636	0.184844
709	TOMM7	0.160802	3.04394
710	CYCS	0.0560426	0.66856
711	HNRNPA2B1	1.34309	4.40148
712	CBX3	0.0352063	0.647446
713	SNX10	0.00748899	0.227553
714	SKAP2	0.0212096	0.341786
715	TAX1BP1	0.0137927	0.67937
716	CREB5	0.00613673	0.119073
717	CPVL	0.0588088	0.491163
718	GARS1	0.0122079	0.318778
719	LSM5	0.0214997	0.543532
720	NT5C3A	0.00854437	0.257305
721	SEPTIN7	0.0612641	1.49949
722	AOAH	0.014031	0.371752
723	BLVRA	0.0640436	0.435028
724	DBNL	0.0132559	0.517593
725	PPIA	2.75476	6.03661
726	H2AZ2	0.00737432	0.244199
727	MYO1G	0.0266738	0.726741
728	UPP1	0.048473	0.460347
729	SEC61G	0.201147	1.41173
730	CCT6A	0.0500646	0.685558
731	CHCHD2	0.849161	2.90094
732	SBDS	0.00680215	0.352924
733	EIF4H	0.0245621	0.616929
734	LAT2	0.011064	0.281393
735	NCF1	0.334304	0.804901
736	MDH2	0.0533263	0.928472
737	HSPB1	0.0960271	0.704776
738	FGL2	0.0907188	0.691402
739	CD36	0.208119	0.613403
740	SRI	0.022461	0.626725
741	SAMD9	0.0219904	0.308572
742	SAMD9L	0.0233044	0.238154
743	SEM1	0.066659	1.00209
744	BRI3	0.0108286	0.181181
745	ARPC1B	0.131483	1.25247
746	PDAP1	0.0121099	0.484408
747	BUD31	0.0123248	0.383193
748	ATP5MF	0.313889	1.8455
749	MCM7	0.0420093	0.236231
750	LAMTOR4	0.0931805	1.56565
751	PILRA	0.0532901	0.384269
752	GNB2	0.0124026	0.205677
