donor	ncells	total_expr	mean_total_expr	interferon:IFI27	interferon:IFI44L	interferon:IFIT1	interferon:IFIT2	interferon:IFIT3	interferon:IFITM3	interferon:ISG15	interferon:MX1	interferon:MX2	interferon:OAS1	interferon:OAS2	interferon:OAS3	interferon:OASL	interferon:RSAD2	interferon:IRF7	interferon:STAT1	interferon:XAF1	interferon:LY6E	interferon:IFI6	interferon:IFI44	interferon:USP18	interferon:SIGLEC1	interferon:HERC5	interferon:IFI35	interferon:GBP1	interferon:GBP4	monocyte:CD14	monocyte:LYZ	monocyte:S100A8	monocyte:S100A9	monocyte:S100A12	monocyte:FCN1	monocyte:VCAN	monocyte:CSF3R	monocyte:LST1	t:CD3D	t:CD3E	t:CD3G	t:CD2	t:CD7	t:IL7R	nk:NKG7	nk:GNLY	nk:KLRD1	nk:KLRB1	nk:NCAM1	nk:FCGR3A	b:CD19	b:MS4A1	b:CD79A	b:CD79B	b:BANK1	plasma:JCHAIN	plasma:XBP1	plasma:MZB1	platelet_erythroid:PPBP	platelet_erythroid:PF4	platelet_erythroid:HBA1	platelet_erythroid:HBB
11	5942	2.14152e+07	3604.03	0.0260855	0.0368563	0.0348368	0.0636149	0.0520027	1.00555	0.235106	0.202962	0.174015	0.168462	0.157354	0.0380343	0.0732077	0.0111074	0.159542	0.5276	0.201616	1.52659	0.240828	0.0373612	0.0164928	0.00302928	0.0622686	0.180411	0.271289	0.266072	0.15685	1.50438	4.30175	2.19371	0.294514	0.763884	0.434366	0.121171	1.57304	1.87731	3.71626	1.25177	1.29115	1.45591	3.47661	7.71542	15.2242	1.09222	0.641367	0.0511612	1.18731	0.0427465	0.489734	0.564793	0.286772	0.182262	1.3827	0.157691	0.352238	0.0434197	0.0052171	0.252104	10.6528
12	8704	3.06921e+07	3526.2	0.06767	0.0556066	0.025046	0.0568704	0.0556066	2.24667	0.292969	0.220473	0.191291	0.205767	0.130974	0.043773	0.0689338	0.0140165	0.195887	0.337431	0.231847	1.5347	0.267808	0.066636	0.0172335	0.00528493	0.0579044	0.194508	0.212776	0.178768	0.267578	4.55342	7.69152	3.38511	0.72346	1.50517	0.673598	0.165097	2.02378	1.51471	3.19945	1.00942	0.973575	1.67096	3.23162	7.05239	10.294	1.06549	0.896369	0.0495175	1.2847	0.0395221	0.327206	0.457491	0.23966	0.139591	1.58938	0.109605	0.337661	0.0161994	0.00367647	0.132583	4.53929
13	5756	2.55363e+07	4436.47	3.95153	0.355803	0.0665393	0.0677554	0.156185	9.81185	0.728978	0.540306	0.302988	0.646803	0.27328	0.116748	0.180855	0.040132	0.374218	0.554899	0.488881	3.46143	1.35337	0.250347	0.0456915	0.144719	0.0905142	0.379778	0.385337	0.188325	2.34555	10.5751	101.366	38.607	9.47203	5.74479	3.75208	0.414698	2.51842	1.29326	2.40896	0.944058	0.772411	0.963169	1.8393	4.94944	5.24983	0.626129	0.342078	0.0248436	0.551425	0.200139	0.933808	0.942495	0.601112	0.190931	7.50504	0.186414	2.16782	0.0288395	0.00642808	0.110493	3.95848
14	15886	7.25135e+07	4564.62	20.6862	2.02266	0.78736	0.438185	1.2438	22.1001	3.76067	2.79026	1.19445	1.26243	0.801272	0.554262	0.665429	0.489047	1.14831	1.19577	1.83035	8.49264	6.23253	0.632507	0.244807	0.364661	0.445487	1.00567	0.719124	0.279303	2.94102	24.8052	113.462	45.4168	5.72724	6.44391	3.85094	0.424651	2.28081	1.73946	3.11822	1.21516	1.10934	0.875551	2.72007	9.23939	3.92717	0.930253	0.377125	0.012275	0.94322	0.0923455	0.580071	0.7579	0.406962	0.238008	3.46758	0.191363	0.895631	0.100844	0.0309707	0.0764824	3.72045
15	5857	2.61627e+07	4466.92	2.82465	0.180126	0.0380741	0.0505378	0.0952706	2.78299	0.392351	0.544818	0.274031	0.308861	0.189858	0.0764897	0.0807581	0.0322691	0.308008	0.538842	0.376814	2.33311	0.972341	0.146321	0.0324398	0.0418303	0.0988561	0.332423	0.381424	0.193956	1.59314	18.0299	67.5223	27.4441	3.30767	2.41642	2.46082	0.235786	1.26891	1.55233	3.50999	1.08964	0.669455	1.35889	2.41455	2.18354	2.95988	0.229128	0.271129	0.0172443	0.24603	0.105515	0.569916	0.931876	0.466963	0.214786	9.3075	0.254909	2.39303	0.0324398	0.00529281	0.0643674	3.68124
16	6108	2.98374e+07	4884.97	0.243124	0.0961035	0.0250491	0.0533726	0.0645056	1.03651	0.452521	0.281107	0.204813	0.232155	0.19057	0.0776031	0.0974132	0.016372	0.201866	0.443189	0.337099	2.52358	0.539456	0.115586	0.0294695	0.00900458	0.0667976	0.311886	0.286673	0.247708	1.21365	15.3743	53.4424	25.627	3.57105	2.5388	2.49902	0.433202	1.70318	1.55796	3.17714	0.986411	0.864931	2.53831	2.49149	7.79617	11.2102	0.824329	1.15995	0.0731827	0.914538	0.0776031	0.369515	0.597577	0.366896	0.126228	6.53798	0.232318	1.72282	0.136706	0.0199738	0.0363458	1.46071
17	8626	3.57776e+07	4147.65	0.165778	0.152214	0.0646882	0.0929747	0.10793	3.55657	0.406793	0.48435	0.272896	0.326571	0.216323	0.0819615	0.0882217	0.0307211	0.232437	0.432066	0.367725	2.12196	0.566427	0.105843	0.0252724	0.0221424	0.0622537	0.253536	0.290633	0.272896	0.393462	6.66079	8.93183	4.42372	0.580339	1.85729	0.718409	0.207628	2.07779	1.97113	3.7256	1.37225	1.08382	1.861	3.65952	5.7067	3.98447	0.590888	0.799328	0.0404591	1.18189	0.0511245	0.528982	0.728959	0.357987	0.169604	2.25736	0.132854	0.483538	0.086019	0.0111291	0.0256202	1.30026
18	7557	3.39671e+07	4494.78	13.5755	1.9959	0.404526	0.255789	0.734021	13.9944	2.01892	1.63134	0.804287	1.00304	0.544131	0.334127	0.43377	0.298928	0.868466	1.19373	1.7155	6.47731	4.19929	0.50086	0.212783	0.258701	0.210798	0.75043	0.719598	0.362842	2.22377	19.2879	69.9393	33.3594	3.55419	5.9914	2.34789	0.368136	1.86622	1.93516	4.12306	1.23819	1.07106	1.50404	4.5481	4.0483	4.32566	0.447664	0.337039	0.0190552	0.465793	0.0471086	0.306074	0.347625	0.252349	0.104274	2.28239	0.169909	0.607384	0.0700013	0.0100569	0.0461823	3.31891
19	7523	3.37195e+07	4482.19	1.60202	0.410342	0.0538349	0.0660641	0.117373	4.36475	0.694271	0.634986	0.293101	0.379503	0.257477	0.0919846	0.10315	0.0442643	0.293766	0.563472	0.636315	3.00146	1.16629	0.209225	0.0551642	0.0850724	0.0929151	0.358368	0.381763	0.237937	0.993221	8.49276	33.107	16.3935	2.39226	2.27835	1.62954	0.24445	1.09212	2.05915	4.13944	1.36767	0.832779	1.88156	5.4659	4.75595	5.70849	0.647481	0.506048	0.0247242	0.458195	0.0711152	0.40529	0.560149	0.261465	0.145288	7.50286	0.192609	1.93713	0.0871993	0.0147548	0.0170145	0.494749
20	5868	2.76491e+07	4711.84	2.87611	0.179277	0.0327198	0.0543626	0.0906612	9.07209	0.550273	0.475631	0.250682	0.411725	0.217791	0.0775392	0.101397	0.0194274	0.247444	0.367587	0.404056	2.65167	0.892297	0.182856	0.0354465	0.0864008	0.0700409	0.365372	0.255283	0.156271	2.20211	10.0041	113.64	42.0414	7.95842	4.84424	3.4424	0.591172	2.73245	1.08691	2.14605	0.731936	0.650307	1.01414	2.95995	3.30249	3.85515	0.390252	0.457907	0.025392	0.6515	0.0874233	0.46302	0.670927	0.420245	0.154738	14.5049	0.318337	3.61742	0.480232	0.072938	0.191377	10.8579
21	9332	3.90115e+07	4180.4	0.0882983	0.0550793	0.0376125	0.0786541	0.0682598	2.96432	0.342692	0.216031	0.215388	0.229961	0.179704	0.0621517	0.0833691	0.0166095	0.17081	0.397235	0.244535	1.61552	0.359944	0.0616159	0.0154308	0.00664381	0.0392199	0.229426	0.306151	0.235212	0.715602	12.1658	16.0774	7.68528	1.0988	3.13791	1.44931	0.360802	3.35201	1.75482	3.39231	1.15034	0.99925	1.38716	3.20189	6.50932	7.99078	1.02765	0.658165	0.0398628	1.65356	0.0398628	0.318474	0.423703	0.245928	0.120553	1.91106	0.175954	0.478247	0.136091	0.0274325	0.16063	8.91888
22	5492	2.53381e+07	4613.64	1.09213	0.167698	0.0449745	0.0704661	0.0926803	5.70648	0.576475	0.554079	0.260743	0.26311	0.254552	0.0866715	0.236162	0.0269483	0.213219	0.485069	0.410779	2.66351	0.816096	0.148034	0.0520757	0.0322287	0.0915878	0.347597	0.395302	0.272942	0.864712	7.07047	25.4157	12.8478	1.2622	1.76402	1.4512	0.20976	1.59395	1.86198	3.73143	1.20976	1.30936	1.37181	3.3516	9.89567	6.78205	0.959031	0.508194	0.0327749	1.19374	0.109796	0.599599	0.891296	0.50091	0.245084	10.4359	0.310634	3.01475	0.301347	0.0342316	0.195011	12.5963
23	5762	3.87347e+07	6722.43	0.15689	0.0433877	0.0213468	0.0366192	0.0454703	2.24957	0.348664	0.210691	0.20774	0.270739	0.288094	0.0708087	0.250434	0.0150989	0.16765	0.559181	0.375911	3.4849	0.579833	0.0525859	0.0482471	0.00520653	0.0452968	0.453315	0.780458	0.445505	1.14648	11.8261	43.2421	22.7732	2.84242	2.88008	2.18813	0.351961	1.40663	2.92381	5.18674	1.70861	1.77803	2.63103	3.05207	13.0618	15.7605	1.727	0.90958	0.0591808	0.752516	0.0623048	0.298334	0.467372	0.347969	0.0925026	16.3624	0.403506	4.79903	0.160882	0.0291565	0.179278	8.73967
24	7828	3.35466e+07	4285.46	0.0716658	0.0615738	0.0361523	0.0926162	0.0594021	2.36906	0.334824	0.190215	0.230838	0.212698	0.18766	0.0541645	0.0470107	0.0177568	0.171053	0.39627	0.289601	1.47496	0.319366	0.0809913	0.0182678	0.00766479	0.0517374	0.240547	0.250639	0.214103	0.770695	9.58112	16.4129	9.36101	1.2339	2.25677	1.89282	0.305442	1.98595	1.39308	2.92821	0.872892	1.11254	2.5419	5.19699	8.10118	9.51137	1.30429	1.63784	0.106541	1.60181	0.0339806	0.272867	0.32141	0.24093	0.109351	1.99016	0.202862	0.512519	0.0425396	0.00664282	0.00229944	0.106157
25	6916	2.91716e+07	4217.98	0.133314	0.0503181	0.0144592	0.0471371	0.0420763	4.02183	0.344419	0.256796	0.190139	0.189271	0.167004	0.0668016	0.0694043	0.0112782	0.164691	0.46978	0.315645	1.7808	0.334731	0.0958647	0.0216888	0.011712	0.0511857	0.251735	0.319838	0.261134	1.17626	7.3596	43.0091	21.4439	4.77776	3.99494	3.20706	0.512001	2.13259	1.44636	2.96761	0.960526	0.791064	1.62854	2.37825	6.62825	6.87016	0.827646	0.539474	0.0506073	0.93797	0.0438115	0.314777	0.412811	0.247397	0.126663	1.86148	0.131434	0.476721	0.052487	0.0111336	0.0331116	0.702285
26	10801	4.36455e+07	4040.88	8.73123	1.3995	0.363763	0.18739	0.595223	8.3883	2.3496	1.40941	0.701879	0.830016	0.503935	0.277752	0.308027	0.286733	0.692991	0.673271	1.36256	4.66059	3.14499	0.366818	0.141191	0.18776	0.248681	0.546986	0.481622	0.254421	1.75595	14.1248	82.938	36.927	6.4395	2.98695	3.36904	0.271456	1.27581	1.39515	3.31497	1.0787	1.05657	1.49458	2.96537	6.66151	4.98454	0.872234	0.579113	0.0249051	0.594482	0.0913804	0.649662	0.683918	0.406907	0.213591	4.88177	0.279789	1.28757	0.126192	0.0239793	0.00398111	0.0923063
27	8364	3.34339e+07	3997.36	0.184481	0.055715	0.0396939	0.0835725	0.0648015	1.36573	0.281086	0.229316	0.194524	0.2934	0.17396	0.0496174	0.0878766	0.0180536	0.215088	0.349952	0.228838	1.28312	0.310497	0.0625299	0.0125538	0.0102822	0.0477044	0.206958	0.249163	0.208393	0.811095	14.7612	14.6312	7.94692	1.06791	3.41762	1.63678	0.451817	2.33082	1.58082	3.04065	0.955404	1.0495	1.33812	2.95971	6.13211	6.97274	0.919895	0.463534	0.0371832	1.11956	0.0234338	0.245576	0.306911	0.19022	0.0918221	1.82174	0.151602	0.442013	0.0167384	0.00502152	0.0223577	0.657939
28	6157	2.76025e+07	4483.1	1.23729	0.142277	0.0326458	0.0646419	0.0784473	5.82589	0.407504	0.308917	0.257755	0.319149	0.17606	0.111418	0.11759	0.0185155	0.207406	0.367712	0.286828	2.21098	0.728277	0.180283	0.0242001	0.0183531	0.0599318	0.318174	0.244437	0.185967	2.12003	11.4783	108.108	48.2362	8.80932	8.17963	4.84164	0.73721	4.60078	0.958259	2.03654	0.58535	0.4879	0.870554	1.37794	3.31476	5.16664	0.37096	0.264739	0.0229008	0.88241	0.0529479	0.308592	0.472958	0.266851	0.137405	3.96524	0.173624	1.04499	0.116778	0.0232256	0.00633425	0.37973
29	10745	4.76292e+07	4432.69	0.143974	0.0809679	0.050349	0.0766868	0.0636575	1.21954	0.374221	0.342578	0.248674	0.234155	0.192741	0.0585389	0.0511866	0.0212192	0.175803	0.366682	0.283108	1.70172	0.349279	0.0765938	0.0207538	0.00772452	0.0478362	0.243276	0.302745	0.273709	0.518008	8.36547	13.5088	8.10451	1.12583	1.80354	0.974779	0.305072	1.3154	1.90619	3.69288	1.25947	0.944812	2.32852	4.60475	6.05435	7.87445	0.730479	0.938483	0.0523034	1.07929	0.0395533	0.334202	0.432201	0.272499	0.120893	1.7007	0.16147	0.351605	0.0570498	0.0109819	0.00400186	0.0295952
30	5185	3.20991e+07	6190.77	12.7682	0.477338	0.0644166	0.0960463	0.162777	21.2926	1.08235	0.916297	0.561813	0.827194	0.372999	0.198071	0.315718	0.0518804	0.621601	0.552555	0.785342	4.71186	3.36625	0.508582	0.0603664	0.225844	0.135969	0.59595	0.380135	0.192478	7.88852	83.1562	247.882	151.427	15.0874	16.2326	13.8023	0.975506	4.77165	0.44783	1.10241	0.336548	0.289296	0.423915	0.72459	3.98052	2.46808	0.251688	0.128833	0.0135005	0.781292	0.0302797	0.118419	0.235873	0.243394	0.0540019	4.90203	0.351398	1.22372	0.0389585	0.00732883	0.0154291	1.30993
31	5851	3.22104e+07	5505.12	7.89164	0.460947	0.07879	0.0745172	0.192446	8.95283	1.01863	1.00171	0.389848	0.559392	0.334131	0.191591	0.235686	0.0579388	0.559733	0.624338	0.672706	4.08614	2.30405	0.32456	0.059477	0.183046	0.142027	0.521108	0.521278	0.188686	3.54674	19.478	154.045	69.5011	9.65083	7.17159	6.38746	0.55905	2.49086	1.38318	3.05794	0.846522	0.660058	1.19415	3.24457	3.25483	4.00667	0.309862	0.30952	0.0217057	0.327294	0.0654589	0.295847	0.453939	0.311058	0.120663	11.3006	0.373953	3.19022	0.0943428	0.0193129	0.0753717	3.9988
32	7848	3.26811e+07	4164.26	0.22528	0.108818	0.055683	0.0893221	0.100025	1.20349	0.354613	0.258665	0.241208	0.303772	0.180556	0.0722477	0.0564475	0.02421	0.273318	0.449796	0.326325	1.41246	0.451198	0.0872834	0.0191131	0.0142712	0.0679154	0.220438	0.245158	0.192533	0.722987	10.5226	15.6428	7.2407	1.171	3.3183	1.37245	0.3908	2.41081	1.5934	3.25076	0.862385	0.827854	1.50968	3.44279	3.40048	4.63315	0.388889	0.594164	0.0248471	1.06944	0.0370795	0.260958	0.392966	0.246942	0.109709	1.73688	0.111239	0.409276	0.0632008	0.0124873	0.0879205	6.24873
33	5159	2.06233e+07	3997.53	14.7994	3.02016	1.27215	0.589649	2.1196	11.1876	5.22737	3.48362	1.63888	1.48188	0.971894	0.71196	0.66447	0.886606	1.79492	1.67804	2.46249	9.74646	7.35433	0.740841	0.400853	0.305679	0.679395	1.21167	0.832332	0.348711	1.66156	6.78756	74.4489	27.5947	3.97034	2.91936	1.65962	0.250242	1.29812	1.57434	3.42993	1.07443	0.931382	1.52142	5.15061	5.79705	8.60438	0.832332	0.442721	0.0492343	0.549137	0.0959488	0.591781	0.918007	0.407637	0.233185	2.78387	0.197131	0.811398	0.0325645	0.0096918	0.00193836	0.1258
