Geneid	https://zenodo.org/records/14056162/files/SRR5085169.tabular_SRR5085169
YDL227C	21
YDL229W	259
YDL231C	14
YDL236W	31
YDL237W	54
YDL240W	20
YDR001C	21
YDR002W	124
YDR006C	16
YDR007W	18
YDR011W	45
YDR012W	39
YDR017C	22
YDR019C	28
YDR021W	12
YDR023W	169
YDR025W	118
YDR027C	13
YDR028C	54
YDR032C	37
YDR033W	130
YDR034C	13
YDR035W	49
YDR037W	207
YDR044W	20
YDR046C	30
YDR047W	16
YDR049W	17
YDR050C	1246
YDR052C	21
YDR055W	22
YDR056C	28
YDR060W	131
YDR062W	86
YDR064W	318
YDR068W	12
YDR071C	44
YDR074W	20
YDR077W	94
YDR080W	11
YDR083W	15
YDR086C	51
YDR087C	16
YDR089W	21
YDR091C	65
YDR093W	30
YDR097C	24
YDR098C	105
YDR099W	75
YDR101C	72
YDR105C	21
YDR110W	18
YDR111C	15
YDR117C	14
YDR119W	68
YDR120C	29
YDR127W	107
YDR128W	24
YDR129C	135
YDR133C	32
YDR135C	68
YDR137W	19
YDR138W	11
YDR141C	38
YDR144C	24
YDR145W	13
YDR146C	18
YDR147W	15
YDR148C	22
YDR150W	55
YDR151C	10
YDR152W	6
YDR154C	19
YDR155C	164
YDR158W	151
YDR159W	18
YDR161W	39
YDR164C	28
YDR165W	50
YDR167W	21
YDR168W	46
YDR170C	103
YDR172W	79
YDR174W	47
YDR176W	22
YDR177W	21
YDR180W	12
YDR186C	19
YDR188W	134
YDR189W	17
YDR190C	54
YDR194C	30
YDR206W	34
YDR207C	18
YDR211W	111
YDR212W	65
YDR214W	18
YDR217C	24
YDR221W	21
YDR224C	139
YDR225W	62
YDR226W	72
YDR228C	13
YDR229W	26
YDR232W	24
YDR233C	106
YDR234W	34
YDR238C	87
YDR240C	12
YDR245W	54
YDR251W	25
YDR258C	11
YDR261C	14
YDR264C	51
YDR266C	33
YDR267C	18
YDR272W	27
YDR275W	19
YDR276C	20
YDR280W	13
YDR283C	20
YDR284C	33
YDR291W	44
YDR292C	43
YDR293C	55
YDR294C	20
YDR297W	37
YDR298C	73
YDR299W	47
YDR300C	32
YDR301W	11
YDR303C	26
YDR304C	69
YDR305C	16
YDR309C	19
YDR312W	15
YDR321W	41
YDR324C	77
YDR325W	30
YDR326C	30
YDR328C	50
YDR329C	13
YDR331W	24
YDR333C	32
YDR334W	51
YDR335W	102
YDR337W	21
YDR339C	18
YDR341C	115
YDR345C	102
YDR346C	105
YDR347W	10
YDR351W	13
YDR353W	68
YDR354W	22
YDR356W	13
YDR361C	32
YDR363W-A	35
YDR364C	27
YDR365C	68
YDR367W	22
YDR368W	34
YDR369C	16
YDR370C	67
YDR371W	11
YDR372C	27
YDR376W	30
YDR378C	12
YDR379W	12
YDR380W	43
YDR381W	46
YDR382W	276
YDR385W	67
YDR388W	39
YDR390C	37
YDR394W	65
YDR395W	48
YDR397C	19
YDR398W	66
YDR399W	94
YDR407C	28
YDR408C	39
YDR412W	34
YDR415C	13
YDR416W	17
YDR418W	195
YDR422C	16
YDR427W	30
YDR429C	83
YDR430C	18
YDR432W	36
YDR434W	13
YDR443C	10
YDR447C	177
YDR449C	33
YDR450W	311
YDR452W	54
YDR454C	139
YDR456W	36
YDR457W	76
YDR458C	19
YDR460W	16
YDR465C	35
YDR468C	13
YDR471W	104
YDR477W	22
YDR481C	41
YDR483W	145
YDR487C	53
YDR492W	21
YDR496C	100
YDR497C	118
YDR500C	101
YDR502C	49
YDR505C	8
YDR507C	29
YDR508C	61
YDR510W	50
YDR516C	25
YDR517W	20
YDR518W	22
YDR519W	21
YDR524C-B	83
YDR527W	32
YDR529C	15
YDR531W	15
YDR533C	16
YEL001C	33
YEL002C	87
YEL006W	27
YEL007W	18
YEL009C	171
YEL013W	21
YEL015W	25
YEL017C-A	26
YEL020W-A	17
YEL022W	40
YEL025C	25
YEL026W	82
YEL027W	179
YEL031W	99
YEL032W	24
YEL033W	19
YEL034W	406
YEL036C	57
YEL037C	37
YEL038W	19
YEL040W	255
YEL042W	44
YEL043W	21
YEL046C	40
YEL047C	50
YEL050C	23
YEL051W	49
YEL053C	12
YEL054C	146
YEL055C	68
YEL058W	42
YEL060C	10
YEL061C	22
YEL065W	15
YEL071W	60
YER001W	48
YER003C	52
YER004W	15
YER005W	39
YER006W	89
YER007C-A	21
YER008C	18
YER009W	105
YER012W	21
YER013W	11
YER016W	14
YER017C	7
YER019C-A	13
YER021W	106
YER022W	14
YER023W	47
YER025W	66
YER026C	17
YER030W	15
YER031C	36
YER036C	143
YER040W	13
YER043C	157
YER048C	63
YER048W-A	12
YER049W	74
YER052C	17
YER055C	147
YER056C	59
YER056C-A	160
YER062C	42
YER063W	31
YER064C	16
YER070W	96
YER072W	24
YER073W	47
YER074W	177
YER077C	16
YER078C	11
YER080W	33
YER081W	41
YER082C	30
YER086W	53
YER087C-B	21
YER087W	12
YER088C	12
YER089C	26
YER090W	61
YER091C	86
YER094C	99
YER100W	12
YER102W	212
YER103W	54
YER105C	65
YER110C	119
YER113C	14
YER114C	19
YER117W	246
YER120W	34
YER122C	45
YER124C	93
YER125W	27
YER126C	12
YER127W	28
YER129W	28
YER130C	32
YER131W	48
YER133W	91
YER136W	36
YER141W	16
YER143W	18
YER145C	32
YER148W	23
YER151C	30
YER155C	48
YER156C	52
YER157W	27
YER164W	0
YER165W	192
YER166W	47
YER168C	23
YER171W	19
YER172C	42
YER176W	25
YER177W	276
YER178W	91
YER186C	19
YFL002C	22
YFL004W	67
YFL005W	64
YFL007W	119
YFL008W	44
YFL009W	20
YFL010C	21
YFL013C	17
YFL018C	26
YFL022C	47
YFL024C	30
YFL026W	174
YFL028C	27
YFL031W	84
YFL033C	19
YFL034C-A	24
YFL036W	18
YFL037W	124
YFL038C	159
YFL039C	364
YFL045C	98
YFL046W	27
YFL047W	29
YFL048C	36
YFR001W	16
YFR002W	48
YFR004W	30
YFR005C	11
YFR006W	45
YFR009W	64
YFR010W	36
YFR013W	17
YFR015C	11
YFR016C	26
YFR019W	22
YFR024C-A	37
YFR030W	22
YFR031C	40
YFR031C-A	294
YFR032C-A	58
YFR033C	21
YFR037C	37
YFR038W	23
YFR040W	19
YFR044C	55
YFR050C	20
YFR051C	26
YFR052W	26
YFR053C	24
YFR055W	23
YGL001C	15
YGL006W	33
YGL008C	1507
YGL009C	196
YGL011C	39
YGL012W	67
YGL013C	24
YGL014W	17
YGL016W	35
YGL019W	22
YGL020C	19
YGL021W	30
YGL022W	153
YGL023C	20
YGL026C	76
YGL027C	37
YGL028C	26
YGL029W	18
YGL030W	333
YGL031C	324
YGL035C	28
YGL036W	26
YGL037C	93
YGL038C	13
YGL040C	28
YGL048C	79
YGL049C	14
YGL054C	36
YGL055W	190
YGL056C	14
YGL058W	13
YGL062W	27
YGL068W	27
YGL070C	25
YGL076C	286
YGL077C	27
YGL078C	103
YGL082W	14
YGL084C	18
YGL086W	30
YGL092W	62
YGL093W	12
YGL094C	22
YGL095C	11
YGL097W	27
YGL099W	26
YGL100W	12
YGL101W	20
YGL103W	369
YGL105W	88
YGL106W	12
YGL111W	23
YGL112C	31
YGL113W	11
YGL114W	15
YGL115W	149
YGL120C	66
YGL122C	22
YGL123W	749
YGL133W	21
YGL135W	159
YGL137W	74
YGL139W	19
YGL140C	27
YGL141W	17
YGL142C	11
YGL145W	19
YGL147C	536
YGL148W	110
YGL150C	33
YGL151W	18
YGL157W	31
YGL159W	10
YGL160W	18
YGL161C	43
YGL163C	8
YGL164C	10
YGL167C	39
YGL169W	16
YGL171W	36
YGL172W	15
YGL173C	96
YGL186C	15
YGL187C	18
YGL189C	77
YGL190C	19
YGL191W	26
YGL195W	141
YGL196W	11
YGL197W	17
YGL198W	12
YGL200C	116
YGL201C	23
YGL202W	83
YGL203C	30
YGL206C	96
YGL207W	93
YGL213C	14
YGL215W	21
YGL221C	47
YGL224C	12
YGL225W	61
YGL227W	8
YGL228W	40
YGL232W	29
YGL233W	31
YGL234W	155
YGL238W	81
YGL241W	25
YGL244W	19
YGL245W	184
YGL246C	19
YGL252C	18
YGL253W	293
YGL255W	25
YGL256W	12
YGL257C	21
YGR001C	17
YGR003W	18
YGR005C	14
YGR007W	12
YGR008C	9
YGR009C	12
YGR013W	18
YGR014W	22
YGR017W	41
YGR020C	29
YGR026W	25
YGR027C	165
YGR029W	24
YGR031W	17
YGR032W	18
YGR033C	21
YGR034W	399
YGR037C	41
YGR038W	17
YGR047C	26
YGR048W	13
YGR054W	23
YGR055W	20
YGR060W	68
YGR061C	142
YGR071C	12
YGR078C	11
YGR081C	19
YGR083C	27
YGR085C	137
YGR086C	123
YGR090W	55
YGR092W	23
YGR093W	16
YGR094W	228
YGR098C	31
YGR100W	18
YGR103W	94
YGR106C	96
YGR108W	36
YGR116W	134
YGR117C	20
YGR118W	261
YGR119C	42
YGR123C	21
YGR124W	261
YGR125W	23
YGR128C	41
YGR130C	11
YGR132C	16
YGR135W	52
YGR145W	51
YGR148C	102
YGR155W	214
YGR157W	75
YGR159C	156
YGR162W	147
YGR167W	32
YGR170W	15
YGR172C	9
YGR175C	92
YGR178C	35
YGR180C	217
YGR184C	52
YGR185C	45
YGR187C	24
YGR189C	50
YGR191W	22
YGR192C	2729
YGR193C	13
YGR196C	13
YGR198W	17
YGR199W	23
YGR200C	51
YGR202C	25
YGR204W	79
YGR207C	17
YGR208W	25
YGR209C	78
YGR210C	18
YGR211W	80
YGR214W	336
YGR216C	11
YGR218W	76
YGR223C	13
YGR229C	39
YGR231C	37
YGR233C	12
YGR234W	243
YGR240C	193
YGR244C	22
YGR245C	76
YGR246C	32
YGR252W	13
YGR253C	42
YGR254W	554
YGR255C	25
YGR260W	67
YGR261C	37
YGR262C	14
YGR264C	202
YGR266W	23
YGR267C	18
YGR270W	38
YGR271C-A	14
YGR271W	33
YGR274C	19
YGR276C	21
YGR277C	22
YGR278W	13
YGR279C	257
YGR280C	20
YGR281W	42
YGR282C	176
YGR284C	27
YGR285C	174
YGR286C	10
YGR295C	11
YHL001W	35
YHL003C	35
YHL007C	21
YHL011C	123
YHL015W	457
YHL017W	38
YHL025W	21
YHL030W	59
YHL033C	173
YHL034C	48
YHL035C	13
YHL038C	14
YHL039W	35
YHR001W	16
YHR003C	28
YHR005C	80
YHR005C-A	28
YHR007C	216
YHR008C	24
YHR009C	16
YHR010W	190
YHR018C	45
YHR019C	183
YHR020W	102
YHR021C	86
YHR023W	81
YHR025W	43
YHR026W	109
YHR027C	97
YHR028C	74
YHR030C	15
YHR031C	12
YHR032W	26
YHR037W	26
YHR039C	23
YHR039C-A	92
YHR042W	45
YHR045W	39
YHR047C	71
YHR049W	32
YHR050W	22
YHR052W	38
YHR056C	12
YHR063C	30
YHR064C	161
YHR065C	27
YHR066W	34
YHR068W	82
YHR069C	12
YHR070W	15
YHR072W	26
YHR072W-A	34
YHR073W	25
YHR074W	29
YHR077C	48
YHR079C	14
YHR082C	28
YHR083W	14
YHR086W	11
YHR089C	22
YHR092C	41
YHR094C	33
YHR098C	47
YHR099W	53
YHR103W	35
YHR104W	14
YHR107C	22
YHR108W	27
YHR113W	19
YHR114W	26
YHR115C	27
YHR117W	34
YHR119W	13
YHR120W	17
YHR121W	13
YHR123W	15
YHR128W	35
YHR131C	7
YHR132C	31
YHR133C	22
YHR135C	29
YHR136C	13
YHR137W	19
YHR141C	195
YHR143W	34
YHR143W-A	41
YHR146W	23
YHR154W	21
YHR158C	17
YHR161C	10
YHR162W	97
YHR163W	42
YHR164C	20
YHR165C	39
YHR168W	23
YHR170W	198
YHR174W	4173
YHR179W	78
YHR181W	18
YHR183W	113
YHR186C	18
YHR188C	30
YHR190W	98
YHR193C	50
YHR195W	12
YHR196W	32
YHR197W	29
YHR199C	22
YHR200W	25
YHR201C	29
YHR203C	274
YHR206W	21
YHR208W	86
YIL002C	30
YIL009W	26
YIL014W	20
YIL015W	40
YIL018W	997
YIL019W	14
YIL020C	23
YIL021W	32
YIL022W	23
YIL023C	13
YIL026C	18
YIL030C	41
YIL033C	36
YIL034C	14
YIL035C	44
YIL036W	19
YIL038C	29
YIL039W	33
YIL041W	39
YIL043C	92
YIL047C	51
YIL050W	11
YIL051C	50
YIL052C	292
YIL053W	255
YIL062C	51
YIL064W	20
YIL067C	14
YIL068C	15
YIL069C	66
YIL070C	22
YIL074C	47
YIL075C	113
YIL076W	40
YIL078W	417
YIL085C	39
YIL088C	33
YIL090W	26
YIL091C	38
YIL093C	13
YIL094C	63
YIL103W	5
YIL105C	18
YIL109C	63
YIL110W	25
YIL112W	26
YIL115C	45
YIL116W	12
YIL118W	18
YIL121W	27
YIL123W	30
YIL124W	25
YIL125W	17
YIL126W	29
YIL128W	23
YIL129C	38
YIL130W	30
YIL133C	144
YIL137C	19
YIL138C	17
YIL142W	89
YIL143C	13
YIL145C	57
YIL147C	26
YIL148W	456
YIL149C	38
YIL157C	10
YIR002C	13
YIR004W	17
YIR006C	36
YIR008C	21
YIR012W	25
YIR022W	25
YIR033W	44
YIR034C	17
YIR035C	10
YIR037W	15
YJL001W	18
YJL002C	111
YJL005W	34
YJL008C	117
YJL010C	31
YJL012C	76
YJL014W	64
YJL016W	9
YJL020C	36
YJL026W	114
YJL029C	26
YJL031C	21
YJL033W	39
YJL034W	170
YJL035C	10
YJL036W	14
YJL039C	33
YJL041W	23
YJL042W	11
YJL044C	32
YJL050W	69
YJL052W	81
YJL054W	37
YJL055W	21
YJL061W	23
YJL068C	22
YJL069C	50
YJL073W	17
YJL074C	30
YJL076W	30
YJL078C	16
YJL079C	24
YJL080C	134
YJL081C	19
YJL085W	11
YJL091C	18
YJL093C	19
YJL098W	42
YJL101C	13
YJL109C	135
YJL111W	95
YJL112W	9
YJL117W	13
YJL121C	17
YJL123C	56
YJL124C	17
YJL129C	35
YJL130C	222
YJL136C	225
YJL138C	46
YJL140W	33
YJL145W	20
YJL148W	25
YJL154C	40
YJL157C	44
YJL158C	137
YJL159W	125
YJL167W	92
YJL168C	23
YJL171C	11
YJL172W	28
YJL173C	12
YJL174W	22
YJL176C	15
YJL177W	170
YJL178C	25
YJL183W	59
YJL186W	62
YJL189W	102
YJL190C	353
YJL191W	18
YJL192C	37
YJL196C	19
YJL197W	28
YJL198W	25
YJL200C	35
YJL201W	16
YJL204C	15
YJL207C	42
YJL208C	14
YJL210W	8
YJL212C	10
YJL217W	14
YJR001W	42
YJR002W	48
YJR003C	14
YJR005W	45
YJR007W	128
YJR009C	461
YJR014W	29
YJR015W	20
YJR016C	129
YJR017C	26
YJR031C	35
YJR032W	20
YJR033C	10
YJR040W	13
YJR041C	48
YJR042W	48
YJR045C	105
YJR049C	17
YJR051W	23
YJR054W	13
YJR057W	31
YJR060W	7
YJR064W	290
YJR065C	59
YJR066W	27
YJR068W	32
YJR069C	30
YJR070C	73
YJR072C	31
YJR073C	11
YJR075W	32
YJR076C	37
YJR077C	37
YJR085C	12
YJR088C	31
YJR089W	18
YJR090C	24
YJR091C	15
YJR092W	26
YJR094W-A	136
YJR103W	13
YJR104C	119
YJR105W	355
YJR109C	43
YJR117W	35
YJR119C	12
YJR121W	135
YJR123W	442
YJR125C	18
YJR126C	30
YJR127C	28
YJR131W	18
YJR132W	45
YJR133W	31
YJR134C	23
YJR135W-A	22
YJR137C	21
YJR139C	128
YJR140C	28
YJR143C	45
YJR144W	22
YJR145C	408
YJR148W	97
YKL002W	13
YKL004W	21
YKL005C	29
YKL006W	172
YKL007W	32
YKL008C	32
YKL009W	54
YKL010C	39
YKL012W	37
YKL013C	52
YKL014C	32
YKL015W	17
YKL018W	14
YKL019W	13
YKL020C	24
YKL021C	43
YKL024C	58
YKL027W	23
YKL028W	24
YKL029C	62
YKL033W	23
YKL033W-A	54
YKL035W	100
YKL038W	17
YKL039W	14
YKL040C	26
YKL045W	10
YKL046C	30
YKL047W	6
YKL054C	47
YKL056C	592
YKL057C	35
YKL058W	14
YKL060C	2824
YKL064W	28
YKL065C	15
YKL067W	38
YKL068W	21
YKL073W	38
YKL074C	21
YKL077W	28
YKL079W	18
YKL080W	70
YKL081W	340
YKL082C	14
YKL085W	34
YKL094W	41
YKL096W	34
YKL096W-A	170
YKL099C	14
YKL100C	26
YKL101W	28
YKL104C	44
YKL105C	10
YKL106W	18
YKL109W	24
YKL110C	25
YKL112W	26
YKL113C	10
YKL114C	27
YKL117W	115
YKL119C	13
YKL120W	59
YKL122C	18
YKL125W	20
YKL126W	16
YKL127W	16
YKL128C	48
YKL130C	14
YKL135C	20
YKL141W	11
YKL142W	49
YKL143W	31
YKL145W	147
YKL148C	12
YKL151C	18
YKL152C	2080
YKL155C	14
YKL156W	52
YKL157W	90
YKL160W	26
YKL164C	51
YKL165C	12
YKL172W	105
YKL173W	31
YKL174C	18
YKL175W	15
YKL176C	35
YKL179C	38
YKL180W	204
YKL181W	156
YKL182W	393
YKL184W	22
YKL185W	19
YKL190W	14
YKL191W	40
YKL193C	27
YKL195W	53
YKL196C	22
YKL203C	21
YKL204W	9
YKL205W	40
YKL207W	56
YKL209C	135
YKL210W	158
YKL211C	46
YKL212W	75
YKL213C	29
YKL215C	6
YKL216W	171
YKR001C	51
YKR003W	19
YKR008W	28
YKR011C	15
YKR013W	30
YKR014C	9
YKR016W	15
YKR018C	37
YKR023W	19
YKR024C	33
YKR026C	15
YKR027W	21
YKR028W	33
YKR031C	13
YKR036C	16
YKR038C	28
YKR042W	191
YKR043C	27
YKR048C	46
YKR054C	42
YKR056W	34
YKR057W	304
YKR059W	59
YKR060W	21
YKR062W	16
YKR063C	15
YKR065C	24
YKR066C	26
YKR067W	17
YKR068C	18
YKR070W	20
YKR071C	10
YKR072C	19
YKR074W	31
YKR079C	21
YKR080W	45
YKR081C	24
YKR082W	33
YKR084C	27
YKR086W	19
YKR089C	14
YKR092C	65
YKR094C	667
YKR095W	71
YKR096W	10
YKR099W	15
YLL001W	21
YLL004W	13
YLL008W	64
YLL009C	13
YLL010C	14
YLL011W	27
YLL013C	20
YLL015W	36
YLL018C	66
YLL021W	32
YLL023C	11
YLL024C	164
YLL026W	126
YLL027W	12
YLL029W	23
YLL031C	26
YLL034C	47
YLL035W	11
YLL036C	37
YLL039C	79
YLL040C	59
YLL041C	20
YLL043W	19
YLL045C	391
YLL048C	68
YLL050C	214
YLL051C	11
YLR002C	75
YLR003C	19
YLR005W	21
YLR007W	11
YLR008C	20
YLR009W	16
YLR014C	23
YLR016C	11
YLR017W	27
YLR019W	15
YLR024C	20
YLR025W	15
YLR027C	83
YLR028C	74
YLR029C	515
YLR032W	13
YLR033W	27
YLR043C	102
YLR044C	1983
YLR045C	6
YLR048W	171
YLR049C	14
YLR056W	153
YLR057W	18
YLR058C	218
YLR060W	110
YLR061W	191
YLR065C	14
YLR066W	27
YLR069C	17
YLR071C	27
YLR074C	23
YLR075W	495
YLR077W	29
YLR083C	40
YLR084C	34
YLR086W	36
YLR088W	14
YLR089C	14
YLR093C	13
YLR096W	24
YLR100W	89
YLR103C	16
YLR106C	130
YLR109W	129
YLR110C	395
YLR113W	35
YLR114C	38
YLR115W	14
YLR117C	15
YLR120C	23
YLR129W	101
YLR130C	33
YLR133W	13
YLR138W	27
YLR143W	13
YLR146C	14
YLR148W	16
YLR150W	469
YLR153C	62
YLR163C	15
YLR166C	30
YLR167W	1721
YLR172C	27
YLR173W	12
YLR175W	182
YLR179C	47
YLR180W	105
YLR185W	171
YLR186W	26
YLR188W	37
YLR189C	19
YLR190W	18
YLR192C	32
YLR195C	33
YLR196W	73
YLR197W	242
YLR199C	16
YLR203C	9
YLR206W	19
YLR207W	22
YLR208W	40
YLR214W	75
YLR216C	88
YLR220W	20
YLR222C	35
YLR223C	24
YLR228C	17
YLR229C	29
YLR231C	41
YLR241W	20
YLR243W	19
YLR244C	64
YLR247C	30
YLR248W	28
YLR249W	2218
YLR250W	71
YLR253W	15
YLR256W	60
YLR257W	22
YLR258W	24
YLR259C	65
YLR264W	153
YLR266C	15
YLR268W	20
YLR270W	16
YLR272C	15
YLR274W	36
YLR276C	74
YLR278C	16
YLR285W	32
YLR286C	107
YLR287C	33
YLR287C-A	15
YLR291C	21
YLR292C	23
YLR293C	55
YLR295C	13
YLR299W	10
YLR300W	82
YLR301W	39
YLR304C	66
YLR305C	36
YLR309C	67
YLR310C	44
YLR314C	48
YLR320W	12
YLR321C	26
YLR325C	142
YLR328W	13
YLR330W	45
YLR333C	88
YLR335W	22
YLR336C	44
YLR340W	745
YLR342W	264
YLR344W	130
YLR347C	41
YLR348C	28
YLR350W	17
YLR351C	36
YLR354C	130
YLR355C	251
YLR359W	252
YLR361C	8
YLR363C	14
YLR367W	111
YLR370C	28
YLR371W	25
YLR372W	75
YLR373C	22
YLR375W	23
YLR378C	61
YLR380W	18
YLR383W	16
YLR384C	84
YLR386W	22
YLR387C	12
YLR388W	56
YLR389C	44
YLR390W-A	38
YLR397C	15
YLR398C	34
YLR399C	56
YLR401C	24
YLR405W	16
YLR406C	180
YLR409C	47
YLR410W	33
YLR413W	90
YLR418C	42
YLR419W	23
YLR420W	53
YLR421C	16
YLR422W	19
YLR427W	33
YLR429W	67
YLR430W	48
YLR432W	51
YLR435W	29
YLR436C	25
YLR440C	19
YLR441C	606
YLR447C	120
YLR448W	123
YLR449W	61
YLR450W	29
YLR452C	41
YLR454W	35
YML001W	27
YML004C	32
YML007W	15
YML008C	78
YML010W	50
YML012W	46
YML016C	23
YML022W	23
YML024W	366
YML026C	235
YML028W	368
YML031W	58
YML034W	30
YML035C	36
YML046W	21
YML048W	27
YML049C	21
YML051W	13
YML052W	42
YML053C	10
YML056C	109
YML057W	19
YML058W	46
YML059C	30
YML060W	29
YML063W	578
YML065W	25
YML069W	61
YML070W	17
YML071C	10
YML072C	92
YML073C	209
