Geneid	https://zenodo.org/records/14056162/files/SRR5085169.tabular_SRR5085169	https://zenodo.org/records/14056162/files/SRR5085170.tabular_SRR5085170	https://zenodo.org/records/14056162/files/SRR5085167.tabular_SRR5085167	https://zenodo.org/records/14056162/files/SRR5085168.tabular_SRR5085168
YBR158W	82	54	46	57
YBR159W	36	25	22	25
YBR160W	10	15	10	6
YBR162C	98	59	56	88
YBR164C	34	18	8	6
YBR166C	11	12	8	7
YBR170C	14	12	6	7
YBR172C	21	15	11	26
YBR175W	11	9	10	10
YBR177C	21	15	15	20
YBR181C	259	174	150	170
YBR187W	35	18	16	24
YBR189W	704	445	417	524
YBR191W	222	140	106	121
YBR195C	26	10	6	9
YBR196C	400	279	255	276
YBR198C	20	7	8	15
YBR199W	45	29	22	38
YBR200W	12	8	6	11
YBR202W	13	7	14	17
YBR205W	22	12	10	20
YBR207W	23	14	14	15
YBR208C	29	18	34	37
YBR218C	62	45	59	63
YBR221C	57	34	23	44
YBR222C	22	22	7	10
YBR227C	15	11	7	5
YBR229C	25	22	20	14
YBR234C	20	12	9	15
YBR235W	17	10	12	14
YBR236C	9	15	8	10
YBR237W	11	8	10	8
YBR242W	18	7	10	11
YBR244W	15	10	14	12
YBR245C	34	21	15	31
YBR246W	17	8	7	13
YBR247C	20	11	5	12
YBR248C	35	29	18	28
YBR249C	63	24	33	51
YBR255W	15	11	9	8
YBR256C	31	17	10	22
YBR260C	17	7	7	11
YBR263W	84	36	37	64
YBR265W	23	7	8	11
YBR267W	18	12	6	11
YBR271W	11	11	6	11
YBR272C	16	19	8	10
YBR273C	15	15	11	23
YBR275C	16	16	8	17
YBR276C	23	15	8	23
YBR279W	24	14	14	13
YBR281C	28	14	17	11
YBR283C	44	27	36	51
YBR286W	141	88	83	120
YBR288C	57	29	26	27
YCL009C	85	50	39	69
YCL011C	86	58	63	54
YCL014W	21	11	7	14
YCL017C	15	4	5	15
YCL024W	15	5	6	12
YCL025C	16	3	11	11
YCL028W	11	7	6	16
YCL030C	161	103	46	94
YCL031C	26	14	16	10
YCL034W	28	23	18	32
YCL040W	70	70	36	48
YCL043C	331	181	177	249
YCL045C	63	40	26	46
YCL050C	52	41	25	32
YCL052C	14	15	8	18
YCL054W	53	31	25	31
YCL055W	12	10	5	6
YCL057W	50	28	33	37
YCL059C	18	20	14	13
YCL064C	50	32	29	29
YCR002C	26	21	12	18
YCR004C	33	16	17	29
YCR008W	20	13	10	6
YCR009C	27	26	12	20
YCR011C	53	36	24	37
YCR012W	1830	1258	911	1140
YCR016W	20	9	7	14
YCR017C	42	20	22	22
YCR023C	10	7	11	8
YCR024C-A	31	24	10	22
YCR024C-B	92	62	57	83
YCR026C	12	12	9	13
YCR028C	13	10	5	8
YCR028C-A	21	19	10	11
YCR030C	20	13	9	21
YCR031C	124	67	44	82
YCR032W	13	8	11	15
YCR033W	14	7	10	11
YCR034W	28	18	12	15
YCR035C	39	29	20	16
YCR036W	24	12	13	12
YCR037C	16	12	6	13
YCR042C	41	30	13	26
YCR043C	23	9	10	10
YCR047C	21	13	7	14
YCR052W	20	15	8	6
YCR053W	135	83	81	96
YCR057C	45	20	16	38
YCR059C	11	6	7	10
YCR067C	22	9	9	13
YCR072C	22	5	11	26
YCR077C	22	12	12	16
YCR084C	40	25	16	22
YCR088W	32	24	15	31
YCR092C	8	14	10	8
YCR093W	51	28	14	21
YCR094W	10	10	3	7
YDL003W	15	13	6	5
YDL004W	18	11	7	7
YDL006W	14	14	2	8
YDL007W	78	72	56	50
YDL014W	100	72	67	101
YDL015C	44	26	23	19
YDL019C	20	13	19	15
YDL020C	33	9	11	22
YDL022W	24	20	11	10
YDL029W	78	42	32	55
YDL030W	12	11	3	6
YDL031W	44	29	20	21
YDL036C	15	7	10	8
YDL039C	11	10	7	9
YDL040C	94	68	40	71
YDL046W	21	15	14	14
YDL047W	25	12	5	9
YDL051W	70	60	43	40
YDL052C	12	7	8	11
YDL055C	835	578	485	499
YDL058W	55	36	30	36
YDL060W	48	22	20	37
YDL061C	42	24	21	26
YDL063C	40	28	22	24
YDL066W	56	42	36	57
YDL070W	79	56	33	45
YDL072C	33	17	20	31
YDL073W	16	10	15	11
YDL074C	43	38	34	28
YDL075W	282	179	148	177
YDL077C	10	9	8	10
YDL078C	21	10	11	11
YDL081C	424	268	265	274
YDL082W	121	79	68	110
YDL083C	136	92	90	122
YDL084W	220	142	134	129
YDL086W	12	4	10	7
YDL092W	19	12	6	11
YDL095W	60	49	41	58
YDL097C	65	49	37	50
YDL099W	21	7	4	10
YDL100C	66	63	46	54
YDL102W	21	13	12	14
YDL103C	24	17	12	20
YDL112W	39	20	20	26
YDL115C	39	27	16	14
YDL116W	35	21	20	17
YDL117W	13	14	6	12
YDL120W	22	11	10	9
YDL121C	56	51	24	57
YDL122W	24	15	16	20
YDL124W	46	25	31	34
YDL125C	11	15	6	5
YDL126C	164	134	106	147
YDL128W	20	8	12	18
YDL130W	257	161	116	130
YDL131W	38	31	21	17
YDL132W	28	14	19	21
YDL133C-A	165	106	87	88
YDL134C	34	22	13	11
YDL136W	102	63	73	67
YDL137W	80	43	44	38
YDL140C	76	45	42	42
YDL141W	11	3	6	11
YDL143W	134	88	66	68
YDL145C	108	52	51	67
YDL147W	109	62	54	65
YDL148C	77	37	30	42
YDL150W	13	12	5	3
YDL153C	74	36	18	38
YDL155W	18	12	6	10
YDL157C	14	10	4	6
YDL160C	20	12	9	21
YDL164C	30	21	16	31
YDL166C	23	16	6	9
YDL167C	30	15	21	20
YDL168W	34	32	21	21
YDL171C	95	52	49	66
YDL174C	16	8	5	11
YDL176W	14	11	3	9
YDL178W	28	16	15	21
YDL182W	66	36	37	54
YDL184C	168	117	107	98
YDL185W	231	156	138	173
YDL188C	20	8	10	8
YDL190C	28	19	12	18
YDL191W	195	94	95	102
YDL192W	231	174	145	204
YDL193W	24	11	15	14
YDL195W	31	24	18	29
YDL198C	22	13	7	19
YDL205C	21	14	11	22
YDL208W	23	15	12	8
YDL212W	35	23	29	35
YDL213C	11	9	16	9
YDL215C	39	22	11	18
YDL219W	12	10	8	4
YDL225W	29	16	7	9
YDL226C	23	20	11	14
YDL227C	21	15	9	16
YDL229W	259	152	235	321
YDL231C	14	13	12	14
YDL236W	31	17	17	19
YDL237W	54	30	20	43
YDL240W	20	7	11	8
YDR001C	21	18	14	17
YDR002W	124	72	52	73
YDR006C	16	10	2	5
YDR007W	18	15	6	13
YDR011W	45	30	28	49
YDR012W	39	19	17	19
YDR017C	22	23	16	19
YDR019C	28	20	7	12
YDR021W	12	11	4	7
YDR023W	169	86	61	88
YDR025W	118	78	59	76
YDR027C	13	10	8	7
YDR028C	54	22	21	25
YDR032C	37	24	17	14
YDR033W	130	75	80	108
YDR034C	13	9	6	13
YDR035W	49	34	31	28
YDR037W	207	125	131	177
YDR044W	20	20	9	11
YDR046C	30	36	19	24
YDR047W	16	6	12	14
YDR049W	17	18	11	14
YDR050C	1246	791	727	790
YDR052C	21	17	9	11
YDR055W	22	12	8	15
YDR056C	28	15	10	10
YDR060W	131	68	53	70
YDR062W	86	42	32	46
YDR064W	318	191	207	246
YDR068W	12	15	4	9
YDR071C	44	28	20	28
YDR074W	20	17	11	10
YDR077W	94	52	44	57
YDR080W	11	9	3	17
YDR083W	15	14	4	6
YDR086C	51	24	26	20
YDR087C	16	14	9	7
YDR089W	21	14	9	10
YDR091C	65	38	38	44
YDR093W	30	11	12	23
YDR097C	24	17	13	17
YDR098C	105	65	45	63
YDR099W	75	58	46	52
YDR101C	72	50	48	46
YDR105C	21	18	15	11
YDR110W	18	20	9	12
YDR111C	15	13	11	11
YDR117C	14	10	11	21
YDR119W	68	32	27	34
YDR120C	29	30	13	25
YDR127W	107	47	46	40
YDR128W	24	17	11	16
YDR129C	135	79	69	95
YDR133C	32	21	22	16
YDR135C	68	43	44	62
YDR137W	19	12	9	14
YDR138W	11	11	8	6
YDR141C	38	20	18	30
YDR144C	24	15	10	21
YDR145W	13	10	5	6
YDR146C	18	13	7	7
YDR147W	15	12	12	7
YDR148C	22	16	11	15
YDR150W	55	35	20	33
YDR151C	10	13	2	5
YDR152W	6	10	2	11
YDR154C	19	12	8	13
YDR155C	164	112	83	120
YDR158W	151	102	85	112
YDR159W	18	6	8	13
YDR161W	39	16	15	17
YDR164C	28	21	10	20
YDR165W	50	26	18	27
YDR167W	21	21	10	21
YDR168W	46	23	16	28
YDR170C	103	65	46	64
YDR172W	79	47	32	44
YDR174W	47	43	32	37
YDR176W	22	17	9	14
YDR177W	21	12	11	13
YDR180W	12	11	6	8
YDR186C	19	7	5	12
YDR188W	134	92	71	105
YDR189W	17	17	11	13
YDR190C	54	23	20	23
YDR194C	30	19	25	29
YDR206W	34	18	21	23
YDR207C	18	10	4	6
YDR211W	111	78	59	68
YDR212W	65	56	60	57
YDR214W	18	23	12	14
YDR217C	24	11	8	7
YDR221W	21	18	14	19
YDR224C	139	91	49	88
YDR225W	62	34	27	34
YDR226W	72	62	24	40
YDR228C	13	11	9	7
YDR229W	26	10	7	13
YDR232W	24	22	13	15
YDR233C	106	56	44	49
YDR234W	34	31	11	20
YDR238C	87	71	54	72
YDR240C	12	11	14	11
YDR245W	54	34	17	27
YDR251W	25	18	10	19
YDR258C	11	9	4	14
YDR261C	14	10	6	12
YDR264C	51	28	29	31
YDR266C	33	16	16	20
YDR267C	18	19	7	17
YDR272W	27	13	9	24
YDR275W	19	6	11	4
YDR276C	20	18	9	17
YDR280W	13	8	10	10
YDR283C	20	18	8	11
YDR284C	33	23	33	34
YDR291W	44	28	12	14
YDR292C	43	22	14	27
YDR293C	55	42	20	60
YDR294C	20	15	10	24
YDR297W	37	34	32	33
YDR298C	73	46	27	40
YDR299W	47	27	29	31
YDR300C	32	22	15	15
YDR301W	11	12	9	11
YDR303C	26	15	18	15
YDR304C	69	40	22	26
YDR305C	16	12	3	6
YDR309C	19	12	7	11
YDR312W	15	15	10	19
YDR321W	41	20	16	40
YDR324C	77	51	28	61
YDR325W	30	11	6	22
YDR326C	30	18	16	17
YDR328C	50	43	19	35
YDR329C	13	2	4	11
YDR331W	24	11	8	14
YDR333C	32	17	14	9
YDR334W	51	24	24	24
YDR335W	102	65	50	76
YDR337W	21	12	8	6
YDR339C	18	12	9	3
YDR341C	115	88	74	74
YDR345C	102	45	41	53
YDR346C	105	76	59	83
YDR347W	10	8	5	11
YDR351W	13	14	6	5
YDR353W	68	36	36	32
YDR354W	22	20	13	27
YDR356W	13	13	8	12
YDR361C	32	20	12	16
YDR363W-A	35	37	11	23
YDR364C	27	6	7	10
YDR365C	68	28	20	35
YDR367W	22	21	12	18
YDR368W	34	19	19	29
YDR369C	16	10	6	5
YDR370C	67	33	18	27
YDR371W	11	12	0	9
YDR372C	27	15	11	13
YDR376W	30	12	17	11
YDR378C	12	13	11	8
YDR379W	12	4	8	10
YDR380W	43	29	10	11
YDR381W	46	39	36	32
YDR382W	276	171	172	177
YDR385W	67	26	30	55
YDR388W	39	30	19	18
YDR390C	37	15	14	11
YDR394W	65	40	27	31
YDR395W	48	31	21	25
YDR397C	19	15	8	11
YDR398W	66	27	22	34
YDR399W	94	68	55	50
YDR407C	28	17	12	20
YDR408C	39	15	17	10
YDR412W	34	22	11	11
YDR415C	13	8	4	10
YDR416W	17	7	5	10
YDR418W	195	96	91	110
YDR422C	16	7	7	17
YDR427W	30	34	20	23
YDR429C	83	51	47	56
YDR430C	18	13	9	10
YDR432W	36	15	16	33
YDR434W	13	10	7	10
YDR443C	10	11	7	8
YDR447C	177	140	119	132
YDR449C	33	14	12	15
YDR450W	311	197	159	214
YDR452W	54	37	37	58
YDR454C	139	80	80	83
YDR456W	36	25	10	12
YDR457W	76	38	35	55
YDR458C	19	15	7	13
YDR460W	16	15	1	5
YDR465C	35	19	15	16
YDR468C	13	7	7	10
YDR471W	104	48	46	70
YDR477W	22	10	6	12
YDR481C	41	23	41	56
YDR483W	145	91	69	113
YDR487C	53	35	33	34
YDR492W	21	9	10	12
YDR496C	100	59	42	47
YDR497C	118	68	68	84
YDR500C	101	54	45	51
YDR502C	49	34	36	50
YDR505C	8	12	8	11
YDR507C	29	15	11	13
YDR508C	61	47	31	54
YDR510W	50	39	31	31
YDR516C	25	24	12	12
YDR517W	20	21	24	21
YDR518W	22	15	12	16
YDR519W	21	21	10	18
YDR524C-B	83	45	40	50
YDR527W	32	17	16	23
YDR529C	15	16	5	5
YDR531W	15	10	9	6
YDR533C	16	10	5	10
YEL001C	33	22	14	22
YEL002C	87	54	37	62
YEL006W	27	15	16	20
YEL007W	18	15	10	4
YEL009C	171	98	109	144
YEL013W	21	16	13	25
YEL015W	25	18	14	12
YEL017C-A	26	10	12	17
YEL020W-A	17	16	10	13
YEL022W	40	21	21	25
YEL025C	25	16	11	27
YEL026W	82	47	50	57
YEL027W	179	95	103	92
YEL031W	99	62	81	102
YEL032W	24	17	24	16
YEL033W	19	6	10	27
YEL034W	406	232	213	248
YEL036C	57	34	21	36
YEL037C	37	24	20	23
YEL038W	19	8	13	8
YEL040W	255	162	198	212
YEL042W	44	30	13	20
YEL043W	21	12	10	17
YEL046C	40	22	32	41
YEL047C	50	27	26	29
YEL050C	23	19	13	12
YEL051W	49	24	22	36
YEL053C	12	10	9	10
YEL054C	146	73	68	89
YEL055C	68	32	21	30
YEL058W	42	31	29	38
YEL060C	10	10	10	8
YEL061C	22	17	8	22
YEL065W	15	7	13	17
YEL071W	60	34	39	44
YER001W	48	28	22	43
YER003C	52	24	32	44
YER004W	15	15	7	15
YER005W	39	30	18	35
YER006W	89	40	31	34
YER007C-A	21	13	14	9
YER008C	18	13	18	21
YER009W	105	65	70	77
YER012W	21	5	8	10
YER013W	11	14	12	14
YER016W	14	10	4	5
YER017C	7	10	5	14
YER019C-A	13	15	5	8
YER021W	106	56	54	63
YER022W	14	12	10	7
YER023W	47	27	18	25
YER025W	66	32	31	45
YER026C	17	12	12	11
YER030W	15	12	9	10
YER031C	36	21	19	25
YER036C	143	77	87	108
YER040W	13	4	3	10
YER043C	157	104	95	111
YER048C	63	33	20	27
YER048W-A	12	15	5	7
YER049W	74	42	34	43
YER052C	17	16	17	15
YER055C	147	95	103	109
YER056C	59	38	26	43
YER056C-A	160	103	80	111
YER062C	42	27	14	17
YER063W	31	15	9	12
YER064C	16	17	20	6
YER070W	96	59	58	71
YER072W	24	16	26	38
YER073W	47	27	22	23
YER074W	177	95	93	110
YER077C	16	14	8	4
YER078C	11	6	5	10
YER080W	33	27	17	19
YER081W	41	26	14	12
YER082C	30	12	10	16
YER086W	53	42	41	49
YER087C-B	21	10	6	18
YER087W	12	7	5	10
YER088C	12	10	8	3
YER089C	26	17	15	16
YER090W	61	23	27	40
YER091C	86	54	38	51
YER094C	99	72	55	63
YER100W	12	11	8	6
YER102W	212	156	128	144
YER103W	54	35	22	20
YER105C	65	34	20	44
YER110C	119	65	58	57
YER113C	14	18	9	13
YER114C	19	12	7	12
YER117W	246	167	155	177
YER120W	34	27	22	25
YER122C	45	32	23	25
YER124C	93	42	20	33
YER125W	27	31	18	16
YER126C	12	11	7	16
YER127W	28	26	18	25
YER129W	28	16	14	19
YER130C	32	22	21	22
YER131W	48	28	23	19
YER133W	91	66	49	39
YER136W	36	16	24	25
YER141W	16	14	14	10
YER143W	18	6	2	13
YER145C	32	27	20	16
YER148W	23	16	14	11
YER151C	30	15	13	14
YER155C	48	39	36	38
YER156C	52	29	21	39
YER157W	27	18	31	24
YER164W	0	0	12	27
YER165W	192	121	105	162
YER166W	47	32	23	44
YER168C	23	9	5	11
YER171W	19	10	12	12
YER172C	42	15	17	25
YER176W	25	23	8	17
YER177W	276	202	161	171
YER178W	91	48	41	56
YER186C	19	12	16	5
YFL002C	22	16	9	19
YFL004W	67	30	41	66
YFL005W	64	30	35	31
YFL007W	119	71	48	69
YFL008W	44	24	20	25
YFL009W	20	21	8	19
YFL010C	21	11	7	7
YFL013C	17	9	3	11
YFL018C	26	27	19	32
YFL022C	47	29	34	46
YFL024C	30	19	17	20
YFL026W	174	116	79	85
YFL028C	27	14	22	23
YFL031W	84	43	42	60
YFL033C	19	15	5	10
YFL034C-A	24	16	20	35
YFL036W	18	11	6	15
YFL037W	124	71	62	90
YFL038C	159	115	68	92
YFL039C	364	218	228	291
YFL045C	98	57	65	64
YFL046W	27	4	8	14
YFL047W	29	22	14	27
YFL048C	36	20	25	24
YFR001W	16	11	6	11
YFR002W	48	37	18	25
YFR004W	30	22	26	30
YFR005C	11	10	2	2
YFR006W	45	32	10	13
YFR009W	64	34	27	39
YFR010W	36	12	25	13
YFR013W	17	17	14	11
YFR015C	11	14	1	3
YFR016C	26	18	13	18
YFR019W	22	12	10	17
YFR024C-A	37	29	26	37
YFR030W	22	14	4	8
YFR031C	40	20	15	14
YFR031C-A	294	149	130	169
YFR032C-A	58	29	24	19
YFR033C	21	7	9	20
YFR037C	37	21	24	30
YFR038W	23	13	9	14
YFR040W	19	15	7	10
YFR044C	55	33	24	18
YFR050C	20	17	17	13
YFR051C	26	11	8	11
YFR052W	26	15	13	13
YFR053C	24	28	9	11
YFR055W	23	12	19	7
YGL001C	15	17	14	9
YGL006W	33	25	13	38
YGL008C	1507	924	769	1065
YGL009C	196	132	173	251
YGL011C	39	16	11	26
YGL012W	67	38	33	28
YGL013C	24	14	9	11
YGL014W	17	14	11	22
YGL016W	35	20	16	33
YGL019W	22	14	11	11
YGL020C	19	10	10	17
YGL021W	30	19	11	17
YGL022W	153	72	89	111
YGL023C	20	6	8	10
YGL026C	76	50	29	44
YGL027C	37	13	16	20
YGL028C	26	18	11	14
YGL029W	18	10	4	8
YGL030W	333	210	196	200
YGL031C	324	190	186	208
YGL035C	28	14	5	12
YGL036W	26	12	9	13
YGL037C	93	56	31	31
YGL038C	13	8	7	10
YGL040C	28	24	20	19
YGL048C	79	54	39	47
YGL049C	14	14	8	19
YGL054C	36	23	22	23
YGL055W	190	134	60	80
YGL056C	14	14	2	7
YGL058W	13	4	5	13
YGL062W	27	19	12	15
YGL068W	27	13	11	11
YGL070C	25	17	15	19
YGL076C	286	141	160	211
YGL077C	27	23	16	40
YGL078C	103	54	48	70
YGL082W	14	14	16	17
YGL084C	18	16	7	17
YGL086W	30	15	11	14
YGL092W	62	26	21	31
YGL093W	12	14	1	3
YGL094C	22	12	12	22
YGL095C	11	11	7	9
YGL097W	27	21	14	16
YGL099W	26	15	10	13
YGL100W	12	18	16	17
YGL101W	20	13	5	6
YGL103W	369	234	197	260
YGL105W	88	69	44	70
YGL106W	12	12	9	9
YGL111W	23	10	7	13
YGL112C	31	18	9	12
YGL113W	11	10	5	4
YGL114W	15	9	6	12
YGL115W	149	90	76	107
YGL120C	66	31	29	46
YGL122C	22	11	7	13
YGL123W	749	462	379	411
YGL133W	21	13	11	8
YGL135W	159	95	108	161
YGL137W	74	51	41	60
YGL139W	19	9	10	9
YGL140C	27	17	9	25
YGL141W	17	17	15	17
YGL142C	11	11	10	5
YGL145W	19	7	9	15
YGL147C	536	338	333	398
YGL148W	110	66	51	76
YGL150C	33	23	15	33
YGL151W	18	16	13	27
YGL157W	31	14	9	7
YGL159W	10	4	7	14
YGL160W	18	4	3	11
YGL161C	43	23	17	20
YGL163C	8	10	2	15
YGL164C	10	10	2	6
YGL167C	39	17	26	28
YGL169W	16	11	8	9
YGL171W	36	21	27	19
YGL172W	15	9	14	13
YGL173C	96	58	44	56
YGL186C	15	12	14	7
YGL187C	18	20	8	3
YGL189C	77	57	37	66
YGL190C	19	16	7	17
YGL191W	26	15	6	11
YGL195W	141	92	102	127
YGL196W	11	7	10	8
YGL197W	17	10	8	12
YGL198W	12	9	5	11
YGL200C	116	65	54	67
YGL201C	23	7	10	20
YGL202W	83	50	61	58
YGL203C	30	22	8	16
YGL206C	96	66	49	67
YGL207W	93	69	51	71
YGL213C	14	17	6	10
YGL215W	21	4	8	13
YGL221C	47	27	22	35
YGL224C	12	3	4	10
YGL225W	61	33	28	42
YGL227W	8	12	6	14
YGL228W	40	18	19	19
YGL232W	29	24	8	9
YGL233W	31	29	13	21
YGL234W	155	113	104	141
YGL238W	81	50	38	57
YGL241W	25	14	9	8
YGL244W	19	19	6	13
YGL245W	184	130	127	171
YGL246C	19	16	15	12
YGL252C	18	15	14	11
YGL253W	293	188	153	175
YGL255W	25	11	6	7
YGL256W	12	8	10	18
YGL257C	21	15	7	13
YGR001C	17	8	12	7
YGR003W	18	13	5	8
YGR005C	14	12	3	8
YGR007W	12	4	8	10
YGR008C	9	12	8	10
YGR009C	12	10	7	5
YGR013W	18	15	11	13
YGR014W	22	14	14	15
YGR017W	41	22	18	19
YGR020C	29	37	16	25
YGR026W	25	16	6	9
YGR027C	165	108	84	106
YGR029W	24	14	8	13
YGR031W	17	11	12	14
YGR032W	18	15	2	7
YGR033C	21	14	10	12
YGR034W	399	249	227	246
YGR037C	41	12	18	22
YGR038W	17	11	14	13
YGR047C	26	20	6	10
YGR048W	13	10	17	4
YGR054W	23	20	15	15
YGR055W	20	17	14	15
YGR060W	68	31	27	39
YGR061C	142	89	68	132
YGR071C	12	5	7	11
YGR078C	11	11	10	18
YGR081C	19	6	1	12
YGR083C	27	8	13	15
YGR085C	137	87	71	47
YGR086C	123	83	45	78
YGR090W	55	21	15	23
YGR092W	23	16	9	14
YGR093W	16	5	3	11
YGR094W	228	137	163	205
YGR098C	31	20	5	20
YGR100W	18	12	12	16
YGR103W	94	41	32	60
YGR106C	96	40	50	60
YGR108W	36	19	16	23
YGR116W	134	72	58	76
YGR117C	20	19	9	12
YGR118W	261	184	143	161
YGR119C	42	23	14	23
YGR123C	21	16	12	15
YGR124W	261	115	151	219
YGR125W	23	11	9	7
YGR128C	41	24	18	25
YGR130C	11	11	5	8
YGR132C	16	13	4	8
YGR135W	52	37	34	27
YGR145W	51	27	27	29
YGR148C	102	66	54	78
YGR155W	214	125	157	206
YGR157W	75	42	39	62
YGR159C	156	65	75	95
YGR162W	147	73	65	103
YGR167W	32	24	16	17
YGR170W	15	8	12	6
YGR172C	9	12	5	11
YGR175C	92	75	55	64
YGR178C	35	16	17	16
YGR180C	217	122	113	123
YGR184C	52	25	24	31
YGR185C	45	28	22	30
YGR187C	24	10	5	4
YGR189C	50	25	20	31
YGR191W	22	12	14	18
YGR192C	2729	1686	1415	2044
YGR193C	13	11	8	9
YGR196C	13	9	12	10
YGR198W	17	11	11	12
YGR199W	23	14	9	13
YGR200C	51	23	22	33
YGR202C	25	28	10	39
YGR204W	79	39	41	40
YGR207C	17	19	9	9
YGR208W	25	20	17	13
YGR209C	78	48	45	49
YGR210C	18	10	15	12
YGR211W	80	40	35	58
YGR214W	336	238	184	228
YGR216C	11	11	2	1
YGR218W	76	56	36	58
YGR223C	13	8	5	14
YGR229C	39	12	8	23
YGR231C	37	27	14	36
YGR233C	12	4	9	12
YGR234W	243	130	133	159
YGR240C	193	118	89	134
YGR244C	22	21	10	9
YGR245C	76	43	28	53
YGR246C	32	12	8	18
YGR252W	13	13	5	2
