Steady state	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	CD45- Object	Unnamed: 9	Unnamed: 10	Fibroblast Object	Unnamed: 12
Liver	31722201	Dobie, Marioni	M	C57BL/6 (Pdgfrb-GFP)	v2	Acute Ccl4: 1ul/g in  a 1:3 ratio with olive oil (0.25ul/g Ccl4) i.p. injection Sac at 72hrs		6819	3.7342080620341824		316	0.3172818185469296
						Chronic Ccl4: 1ul/g in  a 1:3 ratio with olive oil (0.25ul/g Ccl4) i.p. injection, 2x weekly for 6 weeks		5391	2.952209365365343		294	0.29519257801518134
	31398325	Xiong,  Lin	?	C57BL/6	?	AMLN diet for 20 weeks		3475	1.9029730188544924		39	0.039158199124462834
Lung	30824323	Dahlgren, Molofsky	?	C57BL/6	v1	500 third stage larva of N Brasiliensis injected Subq, sac at 4 weeks		1381	0.7562606443274975		378	0.3795333145909474
	29590628	Xie, Jiang	M & F	C57BL/6 (aSMA-GFP;Tbx4-Cre;Rosa26tdTomato)	v2	2.5U/kg bleomycin injected intratracheally. Sac at 21d.		2538	1.3898548264324322		2012	2.020161452267159
	30848683	Peyser, Morton	M	C57BL/6	v2	"2.8U/kg bleomycin injected intratracheally. Sac at 11d. 
Without 60mg/kg nintedanib by oral gavage, 1X daily"		2202	1.2058551330985876		653	0.6556488212378007
						"2.8U/kg bleomycin injected intratracheally. Sac at 11d. 
With 60mg/kg nintedanib by oral gavage, 1X daily"		1486	0.8137605484943239		415	0.4166834009397968
	33116313	Boyd, Thomas	?	C57BL/6	v2	Day 1 post influenza A (2500 EID50)		11071	6.06268037172319		2674	2.684846780995221
						Day 3 post influenza  (2500 EID50)		11743	6.4306797583908795		3510	3.524237921201655
						Day 6 post influenza  (2500 EID50)		8285	4.5370162478300635		2495	2.5051206875778145
	32317643	Tsukui, Sheppard	F	C57BL/6 (Col-GFP)	v2	3U/kg bleomycin oropharyngeal aspiration. Sac at d14.		7593	4.158064498463931		4621	4.639744568054942
Lymph node	32917792	Shibayama, Ludewig	?	C57BL/6 (Ccl19-YFP)	v2	200 ffu LCMV Armstrong subcutaneous. Sac at day 3.		15658	8.574604756611121		14743	14.802803325434757
Muscle	31809738	Scott, Underhill	M & F	C57BL/6 (Hic1CreERT2; Rosa26LSL-tdTomato)	v2	0.2ug Notexin in 20uL PBS in TA muscle. (Day 1)		4816	2.6373289377851035		4514	4.53231053455962
						D2		2547	1.3947833896467314		1928	1.9358207156913931
						D4		4106	2.248520061990373		3788	3.8033655970119282
						D14		3472	1.9013301644497258		3210	3.223021004859633
Pancreas	31699795	Dominguez/Muller, Turley	F	Albino C57BL/6 - Pdx1cre/+;LSL-KrasG12D/+;p16/p19flox/flox	v2	PDAC GEM - NAT		4750	2.6011861408802415		4401	4.418852162737459
						PDAC GEM - Small Tumor		3188	1.7458066141318336		2876	2.887666171332182
						PDAC GEM - Large Tumor		1360	0.7447606634941323		1273	1.278163781677979
Skin	30737373	Guerrero-Juarez, Plikus	M & F	C57BL/6 x SJL F2 (Sm22-CreTdTomato)	v2	Excisional wound using scissors. Sac at 12d.		19061	10.438149269751216		10552	10.594803004136711
Subcutaneous Adipose	29937373	Burl, Granneman	M	C57BL/6	v2	Osmotic pump that released B3 agonist CL316243 at 0.75 nmol/h for 3 days.		8120	4.446659255567907		7546	7.576609502389655
Visceral Adipose	29937373	Burl, Granneman	M	C57BL/6	v2	Osmotic pump that released B3 agonist CL316243 at 0.75 nmol/h for 3 days.		5085	2.7846382160791636		2595	2.605526326358488
							Total:	182609	69.7271218833683		99596	100.00000000000001
