cell_id	matrix_column	rank_by_count	gene	count	total_counts	detected_genes
Cell_11249_MCI	1007	38	Tpt1	4	1167	664
Cell_11249_MCI	1007	39	Akr1b3	3	1167	664
Cell_11249_MCI	1007	40	B2m	3	1167	664
Cell_11249_MCI	1007	41	Cfh	3	1167	664
Cell_11249_MCI	1007	42	Col6a1	3	1167	664
Cell_11249_MCI	1007	43	Cox7a2l	3	1167	664
Cell_11249_MCI	1007	44	Fkbp7	3	1167	664
Cell_11249_MCI	1007	45	Fmo2	3	1167	664
Cell_11249_MCI	1007	46	Gpm6b	3	1167	664
Cell_11249_MCI	1007	47	Igfbp6	3	1167	664
Cell_11249_MCI	1007	48	Limch1	3	1167	664
Cell_11249_MCI	1007	49	Nfib	3	1167	664
Cell_11249_MCI	1007	50	Nop10	3	1167	664
Cell_11249_MCI	1007	51	Nupr1	3	1167	664
Cell_11249_MCI	1007	52	Ppp1r14a	3	1167	664
Cell_11249_MCI	1007	53	Rab18	3	1167	664
Cell_11249_MCI	1007	54	Rpl19	3	1167	664
Cell_11249_MCI	1007	55	Rpl23a	3	1167	664
Cell_11249_MCI	1007	56	Rpl24	3	1167	664
Cell_11249_MCI	1007	57	Rpl26	3	1167	664
Cell_11249_MCI	1007	58	Rpl38	3	1167	664
Cell_11249_MCI	1007	59	Rpl9	3	1167	664
Cell_11249_MCI	1007	60	Rps18	3	1167	664
Cell_11249_MCI	1007	61	Rps19	3	1167	664
Cell_11249_MCI	1007	62	Rps28	3	1167	664
Cell_11249_MCI	1007	63	Rps3	3	1167	664
Cell_11249_MCI	1007	64	Rps5	3	1167	664
Cell_11249_MCI	1007	65	Rps6	3	1167	664
Cell_11249_MCI	1007	66	Rsrp1	3	1167	664
Cell_11249_MCI	1007	67	S100a6	3	1167	664
Cell_11249_MCI	1007	68	Sec61g	3	1167	664
Cell_11249_MCI	1007	69	Selenbp1	3	1167	664
Cell_11249_MCI	1007	70	Sept4	3	1167	664
Cell_11249_MCI	1007	71	Smim14	3	1167	664
Cell_11249_MCI	1007	72	Actb	2	1167	664
Cell_11249_MCI	1007	73	Aldh2	2	1167	664
Cell_11249_MCI	1007	74	Anxa5	2	1167	664
Cell_11249_MCI	1007	75	Aplp2	2	1167	664
Cell_11249_MCI	1007	76	Art3	2	1167	664
Cell_11249_MCI	1007	77	Atp2b1	2	1167	664
Cell_11249_MCI	1007	78	Calm2	2	1167	664
Cell_11249_MCI	1007	79	Cd151	2	1167	664
Cell_11249_MCI	1007	80	Cd63	2	1167	664
Cell_11249_MCI	1007	81	Cd81	2	1167	664
Cell_11249_MCI	1007	82	Crip1	2	1167	664
Cell_11249_MCI	1007	83	Csrp1	2	1167	664
Cell_11249_MCI	1007	84	Ctsb	2	1167	664
Cell_11249_MCI	1007	85	Eif2s2	2	1167	664
Cell_11249_MCI	1007	86	Eif4a2	2	1167	664
Cell_11249_MCI	1007	87	Fhl1	2	1167	664
Cell_11249_MCI	1007	88	Ganc	2	1167	664
Cell_11249_MCI	1007	89	Gstm1	2	1167	664
Cell_11249_MCI	1007	90	Hsp90ab1	2	1167	664
Cell_11249_MCI	1007	91	Hspa5	2	1167	664
Cell_11249_MCI	1007	92	Hspb1	2	1167	664
Cell_11249_MCI	1007	93	Id3	2	1167	664
Cell_11249_MCI	1007	94	Ifitm2	2	1167	664
Cell_11249_MCI	1007	95	Ifnar2	2	1167	664
Cell_11249_MCI	1007	96	Itga8	2	1167	664
Cell_11249_MCI	1007	97	Junb	2	1167	664
Cell_11249_MCI	1007	98	Klf2	2	1167	664
Cell_11249_MCI	1007	99	Klf9	2	1167	664
Cell_11249_MCI	1007	100	Lgals1	2	1167	664
Cell_11249_MCI	1007	101	Lgals3bp	2	1167	664
Cell_11249_MCI	1007	102	Litaf	2	1167	664
Cell_11249_MCI	1007	103	Lrp1	2	1167	664
Cell_11249_MCI	1007	104	Lsr	2	1167	664
Cell_11249_MCI	1007	105	Ltbp4	2	1167	664
Cell_11249_MCI	1007	106	Macf1	2	1167	664
Cell_11249_MCI	1007	107	Mfap5	2	1167	664
Cell_11249_MCI	1007	108	Mgst1	2	1167	664
Cell_11249_MCI	1007	109	Mllt10	2	1167	664
Cell_11249_MCI	1007	110	Morf4l2	2	1167	664
Cell_11249_MCI	1007	111	Mrpl20	2	1167	664
Cell_11249_MCI	1007	112	Mrps5	2	1167	664
Cell_11249_MCI	1007	113	Mtdh	2	1167	664
Cell_11249_MCI	1007	114	Ndufc2	2	1167	664
Cell_11249_MCI	1007	115	Pcolce2	2	1167	664
Cell_11249_MCI	1007	116	Plxdc2	2	1167	664
Cell_11249_MCI	1007	117	Ppp1r2	2	1167	664
Cell_11249_MCI	1007	118	Prdx1	2	1167	664
Cell_11249_MCI	1007	119	Rarres2	2	1167	664
Cell_11249_MCI	1007	120	Rbx1	2	1167	664
Cell_11249_MCI	1007	121	Rhoa	2	1167	664
Cell_11249_MCI	1007	122	Rpl14	2	1167	664
Cell_11249_MCI	1007	123	Rpl28	2	1167	664
Cell_11249_MCI	1007	124	Rpl35	2	1167	664
Cell_11249_MCI	1007	125	Rpl36a	2	1167	664
Cell_11249_MCI	1007	126	Rpl39	2	1167	664
Cell_11249_MCI	1007	127	Rpl5	2	1167	664
Cell_11249_MCI	1007	128	Rpl6	2	1167	664
Cell_11249_MCI	1007	129	Rpl7a	2	1167	664
Cell_11249_MCI	1007	130	Rpl8	2	1167	664
Cell_11249_MCI	1007	131	Rpn2	2	1167	664
Cell_11249_MCI	1007	132	Rps10	2	1167	664
Cell_11249_MCI	1007	133	Rps12	2	1167	664
Cell_11249_MCI	1007	134	Rps14	2	1167	664
Cell_11249_MCI	1007	135	Rps15	2	1167	664
Cell_11249_MCI	1007	136	Rps20	2	1167	664
Cell_11249_MCI	1007	137	Rps25	2	1167	664
Cell_11249_MCI	1007	138	Rps27a	2	1167	664
Cell_11249_MCI	1007	139	Socs2	2	1167	664
Cell_11249_MCI	1007	140	Son	2	1167	664
Cell_11249_MCI	1007	141	Sparc	2	1167	664
Cell_11249_MCI	1007	142	Srsf5	2	1167	664
Cell_11249_MCI	1007	143	Tapbp	2	1167	664
Cell_11249_MCI	1007	144	Tmem59	2	1167	664
Cell_11249_MCI	1007	145	Tsc22d1	2	1167	664
Cell_11249_MCI	1007	146	Upk1b	2	1167	664
Cell_11249_MCI	1007	147	Zfp36l1	2	1167	664
Cell_11249_MCI	1007	148	1110004F10Rik	1	1167	664
Cell_11249_MCI	1007	149	1110032A03Rik	1	1167	664
Cell_11249_MCI	1007	150	1110046J04Rik	1	1167	664
Cell_10369_WXV	4	1	Malat1	87	2117	1205
Cell_10369_WXV	4	2	Cxcl12	64	2117	1205
Cell_10369_WXV	4	3	Fos	30	2117	1205
Cell_10369_WXV	4	4	Tmsb4x	20	2117	1205
Cell_10369_WXV	4	5	Cxcl14	19	2117	1205
Cell_10369_WXV	4	6	Jun	18	2117	1205
Cell_10369_WXV	4	7	Socs3	17	2117	1205
Cell_10369_WXV	4	8	B2m	15	2117	1205
Cell_10369_WXV	4	9	Zfp36l1	15	2117	1205
Cell_10369_WXV	4	10	Egr1	14	2117	1205
Cell_10369_WXV	4	11	Junb	13	2117	1205
Cell_10369_WXV	4	12	Klf6	13	2117	1205
Cell_10369_WXV	4	13	Btg2	12	2117	1205
Cell_10369_WXV	4	14	Gas6	12	2117	1205
Cell_10369_WXV	4	15	Igfbp4	12	2117	1205
Cell_10369_WXV	4	16	Klf2	12	2117	1205
Cell_10369_WXV	4	17	Ubc	11	2117	1205
Cell_10369_WXV	4	18	Zfp36	11	2117	1205
Cell_10369_WXV	4	19	Fosb	10	2117	1205
Cell_10369_WXV	4	20	Neat1	10	2117	1205
Cell_10369_WXV	4	21	Serpina3g	9	2117	1205
Cell_10369_WXV	4	22	Adamts1	8	2117	1205
Cell_10369_WXV	4	23	Atf3	8	2117	1205
Cell_10369_WXV	4	24	Btg1	7	2117	1205
Cell_10369_WXV	4	25	Col1a2	7	2117	1205
Cell_10369_WXV	4	26	Csf1	7	2117	1205
Cell_10369_WXV	4	27	Gpx3	7	2117	1205
Cell_10369_WXV	4	28	Id3	7	2117	1205
Cell_10369_WXV	4	29	Igfbp7	7	2117	1205
Cell_10369_WXV	4	30	Pappa	7	2117	1205
Cell_10369_WXV	4	31	Sparc	7	2117	1205
Cell_10369_WXV	4	32	Amotl2	6	2117	1205
Cell_10369_WXV	4	33	Bgn	6	2117	1205
Cell_10369_WXV	4	34	Col1a1	6	2117	1205
Cell_10369_WXV	4	35	Fstl1	6	2117	1205
Cell_10369_WXV	4	36	Gadd45g	6	2117	1205
Cell_10369_WXV	4	37	Rbm39	6	2117	1205
Cell_10369_WXV	4	38	Serpine2	6	2117	1205
Cell_10369_WXV	4	39	Cebpb	5	2117	1205
Cell_10369_WXV	4	40	Cited2	5	2117	1205
Cell_10369_WXV	4	41	Ebf3	5	2117	1205
Cell_10369_WXV	4	42	Ftl1	5	2117	1205
Cell_10369_WXV	4	43	Gja1	5	2117	1205
Cell_10369_WXV	4	44	H2-D1	5	2117	1205
Cell_10369_WXV	4	45	Itm2b	5	2117	1205
Cell_10369_WXV	4	46	Marcks	5	2117	1205
Cell_10369_WXV	4	47	Mgp	5	2117	1205
Cell_10369_WXV	4	48	Mt1	5	2117	1205
Cell_10369_WXV	4	49	Pim1	5	2117	1205
Cell_10369_WXV	4	50	Rbms1	5	2117	1205
Cell_10369_WXV	4	51	Rhob	5	2117	1205
Cell_10369_WXV	4	52	Rpl18a	5	2117	1205
Cell_10369_WXV	4	53	Rpl39	5	2117	1205
Cell_10369_WXV	4	54	Serf2	5	2117	1205
Cell_10369_WXV	4	55	Son	5	2117	1205
Cell_10369_WXV	4	56	Tns3	5	2117	1205
Cell_10369_WXV	4	57	Actb	4	2117	1205
Cell_10369_WXV	4	58	Adamts2	4	2117	1205
Cell_10369_WXV	4	59	Ebf1	4	2117	1205
Cell_10369_WXV	4	60	Eef1a1	4	2117	1205
Cell_10369_WXV	4	61	Fst	4	2117	1205
Cell_10369_WXV	4	62	Fus	4	2117	1205
Cell_10369_WXV	4	63	H3f3b	4	2117	1205
Cell_10369_WXV	4	64	Hp	4	2117	1205
Cell_10369_WXV	4	65	Hspa8	4	2117	1205
Cell_10369_WXV	4	66	Ier2	4	2117	1205
Cell_10369_WXV	4	67	Ifitm3	4	2117	1205
Cell_10369_WXV	4	68	Jund	4	2117	1205
Cell_10369_WXV	4	69	Kitl	4	2117	1205
Cell_10369_WXV	4	70	Klf9	4	2117	1205
Cell_10369_WXV	4	71	Lepr	4	2117	1205
Cell_10369_WXV	4	72	Lpl	4	2117	1205
Cell_10369_WXV	4	73	Oaz1	4	2117	1205
Cell_10369_WXV	4	74	Ptma	4	2117	1205
Cell_10369_WXV	4	75	Rpl41	4	2117	1205
Cell_10369_WXV	4	76	Rps11	4	2117	1205
Cell_10369_WXV	4	77	Rps17	4	2117	1205
Cell_10369_WXV	4	78	Rrbp1	4	2117	1205
Cell_10369_WXV	4	79	Runx1	4	2117	1205
Cell_10369_WXV	4	80	S1pr3	4	2117	1205
Cell_10369_WXV	4	81	Sh3glb1	4	2117	1205
Cell_10369_WXV	4	82	Slc38a2	4	2117	1205
Cell_10369_WXV	4	83	Stat3	4	2117	1205
Cell_10369_WXV	4	84	Tpm1	4	2117	1205
Cell_10369_WXV	4	85	Adamts5	3	2117	1205
Cell_10369_WXV	4	86	Ahnak	3	2117	1205
Cell_10369_WXV	4	87	Apoe	3	2117	1205
Cell_10369_WXV	4	88	Auts2	3	2117	1205
Cell_10369_WXV	4	89	Ccnd3	3	2117	1205
Cell_10369_WXV	4	90	Cdv3	3	2117	1205
Cell_10369_WXV	4	91	Cfh	3	2117	1205
Cell_10369_WXV	4	92	Cfl1	3	2117	1205
Cell_10369_WXV	4	93	Cst3	3	2117	1205
Cell_10369_WXV	4	94	Cyr61	3	2117	1205
Cell_10369_WXV	4	95	Dnajc3	3	2117	1205
Cell_10369_WXV	4	96	Eif1	3	2117	1205
Cell_10369_WXV	4	97	Emilin1	3	2117	1205
Cell_10369_WXV	4	98	Emp1	3	2117	1205
Cell_10369_WXV	4	99	Fndc1	3	2117	1205
Cell_10369_WXV	4	100	Gnb2	3	2117	1205
Cell_10369_WXV	4	101	H2-K1	3	2117	1205
Cell_10369_WXV	4	102	Hspa5	3	2117	1205
Cell_10369_WXV	4	103	Ier5	3	2117	1205
Cell_10369_WXV	4	104	Lpp	3	2117	1205
Cell_10369_WXV	4	105	Map4k4	3	2117	1205
Cell_10369_WXV	4	106	Mbtps1	3	2117	1205
Cell_10369_WXV	4	107	Mllt10	3	2117	1205
Cell_10369_WXV	4	108	Mrpl52	3	2117	1205
Cell_10369_WXV	4	109	Nr2c2	3	2117	1205
Cell_10369_WXV	4	110	Nrp1	3	2117	1205
Cell_10369_WXV	4	111	Pdcd5	3	2117	1205
Cell_10369_WXV	4	112	Pfn1	3	2117	1205
Cell_10369_WXV	4	113	Pls3	3	2117	1205
Cell_10369_WXV	4	114	Pmp22	3	2117	1205
Cell_10369_WXV	4	115	Prdx5	3	2117	1205
Cell_10369_WXV	4	116	Prelp	3	2117	1205
Cell_10369_WXV	4	117	Rora	3	2117	1205
Cell_10369_WXV	4	118	Rpl37a	3	2117	1205
Cell_10369_WXV	4	119	Rpsa	3	2117	1205
Cell_10369_WXV	4	120	Rtn3	3	2117	1205
Cell_10369_WXV	4	121	S100a9	3	2117	1205
Cell_10369_WXV	4	122	Slc26a7	3	2117	1205
Cell_10369_WXV	4	123	Spp1	3	2117	1205
Cell_10369_WXV	4	124	Synpo	3	2117	1205
Cell_10369_WXV	4	125	Tifa	3	2117	1205
Cell_10369_WXV	4	126	Tmed5	3	2117	1205
Cell_10369_WXV	4	127	Tmem176a	3	2117	1205
Cell_10369_WXV	4	128	Tmem176b	3	2117	1205
Cell_10369_WXV	4	129	Uqcc2	3	2117	1205
Cell_10369_WXV	4	130	1500009L16Rik	2	2117	1205
Cell_10369_WXV	4	131	1500015O10Rik	2	2117	1205
Cell_10369_WXV	4	132	1810037I17Rik	2	2117	1205
Cell_10369_WXV	4	133	Actg1	2	2117	1205
Cell_10369_WXV	4	134	Adipoq	2	2117	1205
Cell_10369_WXV	4	135	Amfr	2	2117	1205
Cell_10369_WXV	4	136	Antxr1	2	2117	1205
Cell_10369_WXV	4	137	Anxa1	2	2117	1205
Cell_10369_WXV	4	138	App	2	2117	1205
Cell_10369_WXV	4	139	Arih1	2	2117	1205
Cell_10369_WXV	4	140	Atp13a3	2	2117	1205
Cell_10369_WXV	4	141	Atp5f1	2	2117	1205
Cell_10369_WXV	4	142	Atp6v0a1	2	2117	1205
Cell_10369_WXV	4	143	Atp6v0e	2	2117	1205
Cell_10369_WXV	4	144	Auh	2	2117	1205
Cell_10369_WXV	4	145	Bmp4	2	2117	1205
Cell_10369_WXV	4	146	C4b	2	2117	1205
Cell_10369_WXV	4	147	Cdh11	2	2117	1205
Cell_10369_WXV	4	148	Chrdl1	2	2117	1205
Cell_10369_WXV	4	149	Clk1	2	2117	1205
Cell_10369_WXV	4	150	Clock	2	2117	1205
