>Log2FC2, padj<0.05	log2FoldChange	pvalue	padj
Plcxd2	2.138047614	2.58e-10	1.61e-08
E330013P04Rik	2.790996685	3.04e-10	1.86e-08
Tmeff2	2.283559687	4.47e-10	2.65e-08
Gm15551	2.254308406	1.04e-09	5.78e-08
Ppp2r2b	2.212591708	1.09e-09	6.07e-08
Dpp4	2.424599883	1.24e-09	6.81e-08
Ada	2.086478811	1.26e-09	6.9e-08
Edn1	2.013558105	1.69e-09	9.08e-08
Fabp4	3.259921463	2.74e-09	1.43e-07
Evi2a	2.827936486	4.72e-09	2.34e-07
Dlx5	2.385997146	5.89e-09	2.89e-07
Duoxa1	2.407997053	8.28e-09	3.93e-07
Hoxa10	6.420799713	8.44e-09	3.99e-07
Mab21l1	5.17569939	9.88e-09	4.65e-07
Tbx18	2.43045758	1.13e-08	5.29e-07
Krt80	2.425784571	1.3e-08	5.98e-07
Mme	2.740660196	1.7e-08	7.58e-07
Msx1	2.019899609	2.28e-08	9.95e-07
Dkk2	2.263448061	3.09e-08	1.31e-06
Myl1	3.435873318	3.37e-08	1.41e-06
Dhrs9	2.245338916	3.5e-08	1.47e-06
Hcar2	2.831542097	4.34e-08	1.77e-06
Necab3	2.08061667	4.45e-08	1.81e-06
Ifi205	2.292692487	8.11e-08	3.16e-06
Tbx5	2.086069474	9.25e-08	3.55e-06
Gm765	3.236672111	1.42e-07	5.22e-06
Car8	2.032615938	1.58e-07	5.75e-06
Shox2	5.375171775	1.84e-07	6.61e-06
Olfm2	3.873582882	1.92e-07	6.89e-06
Mal2	4.211484001	4.04e-07	1.35e-05
Dennd2c	2.327411185	4.14e-07	1.38e-05
Prkg2	2.863730834	4.2e-07	1.4e-05
Dmkn	2.487498531	4.77e-07	1.56e-05
Gm8818	2.484821068	1.2e-06	3.66e-05
Fam167a	2.433709301	2.41e-06	6.89e-05
Il1rl2	2.166838373	2.42e-06	6.89e-05
Engase	2.002178671	2.51e-06	7.13e-05
Sox11	2.239780878	2.98e-06	8.34e-05
Aif1l	2.174576087	3.7e-06	0.000101126
Hoxc8	2.618870013	4.04e-06	0.00010922
Il1rl1	3.059530046	5.24e-06	0.000137382
Lypd1	2.72549866	5.94e-06	0.000153112
Irf4	2.633120439	6.18e-06	0.000158266
Chrm2	2.745630342	9.47e-06	0.000228342
Angptl1	2.290864652	9.68e-06	0.000232495
Meiob	2.630128038	9.99e-06	0.00023935
Gm4202	7.982540997	1.08e-05	0.0002553
Tdo2	2.049599024	1.32e-05	0.000305919
Cxcl14	2.129591979	1.8e-05	0.000403105
Tlr5	2.124426264	4.08e-05	0.000816068
Gm15074	2.462385027	5.81e-05	0.001102316
Il31ra	2.284945484	6.42e-05	0.001208012
Gap43	2.43118378	7.52e-05	0.001385399
Duox1	3.129231944	7.8e-05	0.001426141
Gm43519	2.213104695	8.62e-05	0.001558872
Sprr2a3	7.959060854	0.00010948	0.001914767
Gm20388	10.95053478	0.000114252	0.001985317
Igsf1	2.841356477	0.000125613	0.002146479
Pparg	3.526926743	0.000177486	0.002890954
Krt23	2.661671737	0.000336647	0.005052264
AI606473	2.446485257	0.000506865	0.007157506
Spock3	2.709204119	0.000656379	0.008836471
Cxcl9	2.094317516	0.000734773	0.009742226
Efhd1	2.404698672	0.000973852	0.012233634
Krt20	2.207316881	0.001408207	0.016556407
Ccl8	2.766831117	0.0016785	0.018844907
Ces2e	3.284657616	0.00190007	0.020751715
Mup3	7.451610092	0.00206702	0.022186019
Ptx3	2.101383524	0.005287565	0.047227701
