target	rank	neighbor_cell	matrix_column	cosine_sqrt_counts	total_counts	detected_genes
Cell_11249_MCI	71	Cell_9671_UNO	6412	0.563056075387938	4976	2016
Cell_11249_MCI	72	Cell_4402_ZJO	7070	0.562998770660586	5944	2193
Cell_11249_MCI	73	Cell_4607_RWD	6650	0.56276757694771	5975	2270
Cell_11249_MCI	74	Cell_5625_DLT	6326	0.562644085987527	5980	2172
Cell_11249_MCI	75	Cell_11713_UGW	6783	0.562511914916241	3137	1490
Cell_11249_MCI	76	Cell_4271_LVE	6843	0.562301618548317	4683	1897
Cell_11249_MCI	77	Cell_2989_XUP	6920	0.562105432860504	3625	1561
Cell_11249_MCI	78	Cell_11922_JCW	6775	0.561771429751447	3292	1464
Cell_11249_MCI	79	Cell_7100_FMV	6862	0.561690734324069	4325	1787
Cell_11249_MCI	80	Cell_2593_EGB	6448	0.561605611136881	11070	3340
Cell_11249_MCI	81	Cell_8490_CEW	6922	0.561467806052792	4237	1675
Cell_11249_MCI	82	Cell_9431_OCD	6870	0.561345662539675	4839	1828
Cell_11249_MCI	83	Cell_5976_ZQH	7119	0.561282729202487	3790	1596
Cell_11249_MCI	84	Cell_3512_NJC	6815	0.561144381998992	5765	2041
Cell_11249_MCI	85	Cell_2774_ZKT	6315	0.561082943984432	4651	1878
Cell_11249_MCI	86	Cell_9312_SZT	7107	0.560893490553918	5333	2029
Cell_11249_MCI	87	Cell_3798_XHA	7147	0.560580401931258	4362	1755
Cell_11249_MCI	88	Cell_6643_NUX	6873	0.560407790056492	3375	1475
Cell_11249_MCI	89	Cell_10180_PEV	6466	0.560377430727179	5018	1902
Cell_11249_MCI	90	Cell_1857_XFM	6599	0.560367227473519	3410	1573
Cell_11249_MCI	91	Cell_9670_RGS	6737	0.560296450087818	4051	1788
Cell_11249_MCI	92	Cell_4395_AIU	6679	0.560278491320409	6093	2204
Cell_11249_MCI	93	Cell_3088_UCB	6312	0.560071871708004	4904	2017
Cell_11249_MCI	94	Cell_11643_IYW	6926	0.56007141752195	2912	1197
Cell_11249_MCI	95	Cell_10977_IVO	6819	0.56002253663408	5904	2176
Cell_11249_MCI	96	Cell_7728_LIY	6839	0.559956049479617	4226	1715
Cell_11249_MCI	97	Cell_4796_DTB	6397	0.559937324811592	4948	1959
Cell_11249_MCI	98	Cell_6614_TJK	6391	0.559766574331877	6589	2526
Cell_11249_MCI	99	Cell_795_WCZ	7183	0.559351283236853	3225	1469
Cell_11249_MCI	100	Cell_2529_QRJ	7068	0.559288111149491	5843	2191
Cell_10369_WXV	1	Cell_827_MJN	819	0.568472907630953	6033	2225
Cell_10369_WXV	2	Cell_3862_DMP	728	0.551902247111622	9011	3037
Cell_10369_WXV	3	Cell_5763_YTO	470	0.546818472708051	7941	2791
Cell_10369_WXV	4	Cell_3797_OVR	558	0.545631641943451	6454	2399
Cell_10369_WXV	5	Cell_10770_BTU	344	0.543908674445252	7592	2334
Cell_10369_WXV	6	Cell_5390_YVM	256	0.543640640074778	3370	1516
Cell_10369_WXV	7	Cell_4358_WCT	675	0.541141760800584	5169	1855
Cell_10369_WXV	8	Cell_5987_FQP	224	0.540559365569116	5147	2132
Cell_10369_WXV	9	Cell_3616_KID	348	0.536169730244656	5591	2038
Cell_10369_WXV	10	Cell_676_VWN	334	0.535296743759419	5794	2367
Cell_10369_WXV	11	Cell_11559_CBQ	695	0.534776989469306	4004	1623
Cell_10369_WXV	12	Cell_2351_VFN	581	0.534499862253788	6137	2447
Cell_10369_WXV	13	Cell_12015_HIT	727	0.533809117007407	5176	1760
Cell_10369_WXV	14	Cell_11771_XQN	379	0.53298944272763	4808	1802
Cell_10369_WXV	15	Cell_11735_DNR	683	0.532796177375323	6220	2256
Cell_10369_WXV	16	Cell_1820_XSY	109	0.531258068762423	3046	1336
Cell_10369_WXV	17	Cell_1803_VIT	510	0.527628820543636	4123	1634
Cell_10369_WXV	18	Cell_11890_ZTE	209	0.526678114977819	4426	1992
Cell_10369_WXV	19	Cell_2020_RHM	692	0.525660132293758	3537	1411
Cell_10369_WXV	20	Cell_2548_ILK	844	0.525581893527046	3050	1282
Cell_10369_WXV	21	Cell_1530_GED	34	0.525573473488014	4730	1979
Cell_10369_WXV	22	Cell_7715_EDN	332	0.525083897756523	5598	2029
Cell_10369_WXV	23	Cell_1218_GNT	146	0.525013902431406	3909	1662
Cell_10369_WXV	24	Cell_1018_TKM	487	0.524624626132983	4741	1965
Cell_10369_WXV	25	Cell_10591_XFU	626	0.523750755012662	4869	2011
Cell_10369_WXV	26	Cell_6415_MXA	255	0.523371245378539	3415	1621
Cell_10369_WXV	27	Cell_11414_KIE	498	0.523183099142365	5448	2119
Cell_10369_WXV	28	Cell_717_RIW	329	0.522981986639614	4135	1730
Cell_10369_WXV	29	Cell_11623_KME	596	0.522697703469728	2708	1164
Cell_10369_WXV	30	Cell_8945_QCB	438	0.522340118474573	5385	1962
Cell_10369_WXV	31	Cell_854_XLS	720	0.522219492916239	3572	1492
Cell_10369_WXV	32	Cell_6956_SBG	120	0.522094324126012	2953	1416
Cell_10369_WXV	33	Cell_10472_TMC	680	0.521973372539738	3411	1433
Cell_10369_WXV	34	Cell_7039_RTA	292	0.521647722029606	3625	1640
Cell_10369_WXV	35	Cell_1043_YQZ	707	0.520942926099884	4007	1584
Cell_10369_WXV	36	Cell_7917_JHF	686	0.520787681558848	4534	1771
Cell_10369_WXV	37	Cell_501_ZMS	96	0.520188232435474	4042	1743
Cell_10369_WXV	38	Cell_1378_RDX	600	0.520043569399629	5705	2239
Cell_10369_WXV	39	Cell_3822_UBO	467	0.51990652869557	4051	1788
Cell_10369_WXV	40	Cell_8793_HOF	687	0.519718340646825	5535	1934
Cell_10369_WXV	41	Cell_6440_BIC	564	0.51941744807265	3928	1753
Cell_10369_WXV	42	Cell_8588_PUB	732	0.519082065860743	5214	2080
Cell_10369_WXV	43	Cell_11816_GET	611	0.51858340609537	5008	1807
Cell_10369_WXV	44	Cell_2858_PMY	43	0.51814519688149	2802	1238
Cell_10369_WXV	45	Cell_3946_OZX	818	0.517866540367401	3799	1443
Cell_10369_WXV	46	Cell_3045_LCI	163	0.516112206893812	3798	1662
Cell_10369_WXV	47	Cell_11033_FQK	402	0.515887490071275	4539	1848
Cell_10369_WXV	48	Cell_2811_NKV	634	0.515874686093239	4433	1812
Cell_10369_WXV	49	Cell_1129_BJD	16	0.515773101759127	3059	1360
Cell_10369_WXV	50	Cell_526_KHL	46	0.515414236309241	4295	1730
Cell_10369_WXV	51	Cell_3733_SLF	736	0.515403350042985	3072	1408
Cell_10369_WXV	52	Cell_3887_AFM	499	0.515366389819528	5400	2017
Cell_10369_WXV	53	Cell_2273_MXC	602	0.515152499049296	3237	1471
Cell_10369_WXV	54	Cell_3157_JYW	482	0.514909961320154	4506	1864
Cell_10369_WXV	55	Cell_7817_KGD	622	0.514237696804126	3515	1608
Cell_10369_WXV	56	Cell_2587_BFG	437	0.51410478142641	4175	1691
Cell_10369_WXV	57	Cell_3551_QVD	349	0.514072050137205	3608	1635
Cell_10369_WXV	58	Cell_129_QNM	865	0.514016045287906	3330	1374
Cell_10369_WXV	59	Cell_7500_GJH	753	0.51400444545183	2704	1373
Cell_10369_WXV	60	Cell_1131_SUT	830	0.513989426280974	3940	1575
Cell_10369_WXV	61	Cell_5057_VYK	240	0.513886814446131	4159	1734
Cell_10369_WXV	62	Cell_8825_HKZ	824	0.513422363498638	3464	1577
Cell_10369_WXV	63	Cell_5666_LYE	371	0.513235246940992	4625	2163
Cell_10369_WXV	64	Cell_7374_QDN	553	0.513233545608404	3169	1319
Cell_10369_WXV	65	Cell_5131_ZQV	520	0.513131086964209	4110	1835
Cell_10369_WXV	66	Cell_10841_XOG	554	0.513054601546607	4202	1854
Cell_10369_WXV	67	Cell_10870_THQ	655	0.512614282441188	5506	2222
Cell_10369_WXV	68	Cell_1473_GMZ	635	0.512548719076595	3869	1741
Cell_10369_WXV	69	Cell_10033_AEN	126	0.512496027691248	3642	1583
Cell_10369_WXV	70	Cell_5287_XFZ	616	0.512365807739301	3902	1578
Cell_10369_WXV	71	Cell_1871_XHN	586	0.512361432573022	4461	1816
Cell_10369_WXV	72	Cell_7238_JGE	667	0.512272665460829	4466	1858
Cell_10369_WXV	73	Cell_11739_NUT	508	0.5121219862141	4219	1744
Cell_10369_WXV	74	Cell_10696_KLU	740	0.512044226886562	3662	1621
Cell_10369_WXV	75	Cell_4344_KUY	38	0.512006570756087	2520	1206
Cell_10369_WXV	76	Cell_4182_XTL	115	0.511953512172211	3328	1507
Cell_10369_WXV	77	Cell_9681_HPE	604	0.51190424398528	3515	1547
Cell_10369_WXV	78	Cell_10209_GBZ	300	0.511890368266641	2940	1346
Cell_10369_WXV	79	Cell_2899_MUB	682	0.511834109681745	4067	1722
Cell_10369_WXV	80	Cell_9803_KLA	154	0.511032634758629	3476	1514
Cell_10369_WXV	81	Cell_1172_BHL	235	0.510976844300181	3537	1449
Cell_10369_WXV	82	Cell_11930_VCS	551	0.510930160261727	5852	2116
Cell_10369_WXV	83	Cell_1966_GAX	112	0.510859022055326	3008	1288
Cell_10369_WXV	84	Cell_6472_NBP	530	0.510796797572122	4158	1865
Cell_10369_WXV	85	Cell_10817_JFT	177	0.510776923963067	4069	1695
Cell_10369_WXV	86	Cell_1572_GUC	184	0.510767678051169	2059	1069
Cell_10369_WXV	87	Cell_3363_UIP	764	0.510530086745308	3647	1510
Cell_10369_WXV	88	Cell_1779_QZB	541	0.510329803773254	2988	1329
Cell_10369_WXV	89	Cell_2033_AXU	290	0.5101023036313	3305	1550
Cell_10369_WXV	90	Cell_628_ZNY	625	0.510077181449974	5116	2424
Cell_10369_WXV	91	Cell_9331_LDK	459	0.509855642133462	5268	2012
Cell_10369_WXV	92	Cell_11751_GMP	452	0.509446609580781	2593	1197
Cell_10369_WXV	93	Cell_7681_XFM	373	0.509201932274116	4029	1711
Cell_10369_WXV	94	Cell_7131_QTN	182	0.50906265914401	2412	1204
Cell_10369_WXV	95	Cell_11931_OBT	257	0.508900748867824	4313	1680
Cell_10369_WXV	96	Cell_7757_GAJ	694	0.508723845213371	3372	1453
Cell_10369_WXV	97	Cell_10844_VJT	157	0.508710563475753	3573	1638
Cell_10369_WXV	98	Cell_7025_FHA	719	0.508704204404059	4793	1827
Cell_10369_WXV	99	Cell_7211_VYT	647	0.508524308482342	2728	1324
Cell_10369_WXV	100	Cell_10248_NXE	731	0.508464358904428	3784	1434
