sample	raw_sample	experiment	file	md5sum
NA18517	GM18517	ENCSR442OAV	ENCFF697VLB	e1230fa9e4aa86d97f1f75eec38d4a0e
NA18519	GM18519	ENCSR312UCH	ENCFF603MOL	95519f4b652c60947be8060a030e295d
NA18520	GM18520	ENCSR762YFD	ENCFF988EGP	58978b027f5c6179f0dacca0412803a3
NA18858	GM18858	ENCSR011NJP	ENCFF283UHH	58b2103ecaedd5c3b80c125cca3a5d4f
NA18861	GM18861	ENCSR628PLS	ENCFF419NNO	e21b43e2f908796c2f99d70431041424
NA18867	GM18867	ENCSR492FJO	ENCFF500EBK	109938df3e43584eb79c541abb7b668c
NA18868	GM18868	ENCSR580JBA	ENCFF138ZQZ	bcb8429eec182ef72fdd817adf931875
NA18870	GM18870	ENCSR684KUG	ENCFF475WIM	f63172bd240ef0e01f5df9a350daac18
NA18873	GM18873	ENCSR304ZDQ	ENCFF589DFL	448d37aff0a92a77e7650a9463f9e2fb
NA18907	GM18907	ENCSR487QSB	ENCFF292BTS	8774f9c6fb0ce5b7431659317b725269
NA18909	GM18909	ENCSR917WJS	ENCFF572IWC	ea9fa1b8e95dcf7be3543af93120e557
NA19023	GM19023	ENCSR512FHU	ENCFF949CVL	63a27c8571cb80395f11fec5709b976f
NA19025	GM19025	ENCSR419UYY	ENCFF462RHM	623a2a1a2cdb41565b8f2e3d81501acf
NA19035	GM19035	ENCSR637MUF	ENCFF237APZ	42a4544e66bb7b7fab851d4b9d8c4ec7
NA19043	GM19043	ENCSR409YCK	ENCFF795UPB	e819bcc97f4366407fc09e7dbae5dcc3
NA19324	GM19324	ENCSR425WQW	ENCFF668HHR	ac2262710ccb04a22855dd7b1a1be7bf
NA19328	GM19328	ENCSR383RDZ	ENCFF413LGS	a361413efd00cc5ab5b923aa36c9a046
NA19351	GM19351	ENCSR231BZU	ENCFF342KIA	04124dcb69f15d6653a433194c78db2b
NA19372	GM19372	ENCSR335JVB	ENCFF301DFZ	67325ceba10b19f26573823859d5bd93
NA19395	GM19395	ENCSR372IGW	ENCFF668FJU	ff6a5b50ee18e209238a714caee6897d
NA19397	GM19397	ENCSR839IAD	ENCFF593SBD	1da56b9d2456ce4625b67836980a9e31
NA19438	GM19438	ENCSR134OSR	ENCFF183OZW	ce56cc29b385fe189ae5dfd75594bdd0
NA19452	GM19452	ENCSR454UTH	ENCFF955TYL	904317b255b6288158ade0fca5c7eafa
NA19455	GM19455	ENCSR706GDQ	ENCFF772BMP	390fdb6ec2ff732c411fd470d4bd0c3b
NA19463	GM19463	ENCSR712ZRY	ENCFF575DFU	cb27f91a6d81f8426f74b67ee5df09f0
NA19467	GM19467	ENCSR635CAC	ENCFF152BRZ	d2e0bd5f7cfefcab0e800ae8a0532e08
NA19468	GM19468	ENCSR635AIF	ENCFF362ACE	f69468f5afd408a0aab79c25723464f1
