bin1	bin2	H1_raw	H1_distance_median	H1_OE	H1_donut_median	H1_local	HFF_raw	HFF_distance_median	HFF_OE	HFF_donut_median	HFF_local	joint_log2_H1_over_HFF
7780000	7800000	297	297	1	336.5	0.88278932	336	336	1	284.5	1.1807018	-0.41950351
7700000	7770000	141	84	1.6745562	187.5	0.75265957	117	69.5	1.6785714	116	1.0085837	-0.42571653
7690000	7710000	370	297	1.2453782	232	1.5935484	378	336	1.1248143	159	2.3730408	-0.42759697
7690000	7730000	165	137	1.2036364	232	0.71182796	154	136	1.1318681	151	1.019802	-0.42999483
7670000	7730000	102	112	0.91111111	135	0.75645756	92	91	1.010929	100	0.92039801	-0.43298143
7630000	7760000	24	70.5	0.34507042	60	0.40495868	23	56	0.4159292	51	0.45631068	-0.44168888
7660000	7730000	83	84	0.98816568	114.5	0.72608696	76	69.5	1.0928571	84.5	0.9	-0.45506263
7620000	7710000	28	74	0.38255034	62	0.456	29	61.5	0.47580645	58	0.5042735	-0.45989785
7620000	7740000	24	69	0.35251799	60	0.40495868	21	52	0.40952381	44	0.48314607	-0.47093518
7690000	7740000	145	131	1.1064639	143.5	1.0104167	142	98.5	1.4393939	131	1.0836502	-0.48045391
7660000	7740000	72	62	1.16	92	0.78378378	79	61	1.2926829	80	0.98757764	-0.48968209
7720000	7770000	202	131	1.539924	234.5	0.86170213	155	98.5	1.5707071	130.5	1.1870229	-0.49064166
7640000	7730000	62	74	0.83892617	65.5	0.9469697	58	61.5	0.94354839	48	1.2061856	-0.51861436
7670000	7800000	415	70.5	5.8521127	139	2.9784946	398	56	7.0530973	111	3.573991	-0.53225206
7730000	7760000	229	185.5	1.233871	269	0.85157699	236	193	1.2222222	182	1.2958904	-0.59204992
7630000	7720000	40	74	0.54362416	62	0.648	44	61.5	0.71774194	59	0.74789916	-0.60770559
7640000	7790000	95	93	1.0213904	60	1.5785124	77	42	1.8235294	57	1.3478261	-0.60826786
7680000	7720000	137	137	1	155	0.88424437	162	136	1.1904762	142	1.1403509	-0.61849953
7640000	7770000	60	70.5	0.85211268	65.5	0.91666667	57	56	1.0176991	48	1.185567	-0.62730306
7770000	7800000	190	185.5	1.0241935	396.5	0.47984887	218	193	1.129199	319.5	0.6828125	-0.64972072
7630000	7650000	118	297	0.39831933	229	0.51633987	172	336	0.51263001	270	0.63770795	-0.66856733
7690000	7780000	168	74	2.261745	210	0.80047506	144	61.5	2.3306452	116.5	1.2350427	-0.66892572
7620000	7800000	34	42	0.81176471	86	0.39884393	39	38	1.025974	77	0.50967742	-0.6916208
7640000	7680000	115	137	0.84	130	0.88505747	120	136	0.88278388	88	1.3615819	-0.6931117
7770000	7790000	288	297	0.9697479	391.5	0.73596939	339	336	1.0089153	296	1.1450253	-0.69478522
7650000	7670000	257	297	0.86554622	124	2.0682731	355	336	1.0564636	129	2.7451737	-0.69603106
7700000	7740000	155	137	1.1309091	220	0.70521542	170	136	1.2490842	162	1.0492308	-0.71658392
7620000	7720000	22	66	0.33834586	60	0.37190083	23	51	0.45631068	51	0.45631068	-0.72661613
7640000	7780000	86	73	1.1768707	70	1.2269504	77	44	1.741573	54.5	1.4090909	-0.76512291
7630000	7770000	34	73	0.46938776	62	0.552	31	44	0.70786517	50	0.62376238	-0.76902265
7650000	7790000	73	73	1	75	0.97350993	65	44	1.4719101	57	1.1391304	-0.78435492
7630000	7730000	25	66	0.38345865	65	0.38931298	28	51	0.55339806	57	0.49565217	-0.8776442
7660000	7800000	193	73	2.6326531	137	1.4072727	180	44	4.0561798	107	1.6790698	-0.87836441
7650000	7680000	109	185.5	0.58870968	133	0.82022472	150	193	0.77777778	127	1.1803922	-0.92697678
7660000	7680000	227	297	0.76470588	201	1.1290323	305	336	0.90787519	159	1.9153605	-1.0101182
7660000	7770000	84	73.5	1.1418919	96.5	0.87113402	88	49.5	1.77	77.5	1.1346154	-1.01356
7650000	7800000	139	93	1.4919786	86	1.6127168	126	42	2.9764706	77	1.6322581	-1.0137519
7680000	7800000	253	69	3.647482	167	1.5134328	257	52	4.9047619	111	2.309417	-1.0369863
7630000	7660000	89	185.5	0.4811828	168.5	0.5295858	129	193	0.66925065	160.5	0.80434783	-1.0789166
7630000	7790000	35	75	0.47019868	60	0.58677686	35	37	0.94666667	57	0.6173913	-1.0829592
7620000	7770000	24	93	0.26203209	60	0.40495868	19	42	0.45882353	39	0.49367089	-1.0939708
7650000	7780000	59	70.5	0.83802817	92.5	0.63978495	70	56	1.2477876	74.5	0.94	-1.1293755
7660000	7780000	93	69	1.3453237	110.5	0.84234234	107	52	2.047619	86.5	1.2356322	-1.1587647
7700000	7730000	172	185.5	0.92741935	246	0.69979716	225	193	1.1653747	164	1.3708207	-1.2995313
7620000	7750000	24	70.5	0.34507042	60	0.40495868	28	56	0.50442478	39	0.72151899	-1.381011
7630000	7780000	25	93	0.27272727	65	0.38931298	28	42	0.67058824	57	0.49565217	-1.6463658
7620000	7790000	19	69.5	0.27857143	73	0.26530612	26	39.5	0.6625	67	0.39259259	-1.8152481
7620000	7730000	15	73.5	0.20945946	60	0.25619835	22	49.5	0.45	39	0.56962025	-2.2559932
7620000	7760000	12	73	0.17006803	60	0.20661157	27	44	0.61797753	39	0.69620253	-3.6140285
