mirna	n_patient	n_control	mean_patient_ct	mean_control_ct	difference_patient_minus_control	statistic_t	df	p_raw	p_bonferroni	p_benjamini_yekutieli	significant_bonferroni	significant_benjamini_yekutieli
hsa-miR-26a	10	10	25.6201536	26.4631841	-0.843030499999998	-2.19535129452124	13.9925741519169	0.0455045270323612	1	0.762466127227924	FALSE	FALSE
hsa-miR-26b	10	10	27.6885265	28.2021266	-0.51360009999998	-1.117489594398	14.9657830566598	0.281404098129086	1	1	FALSE	FALSE
hsa-miR-27a	10	10	26.0320323	26.9113108	-0.879278499999998	-2.13172350865276	13.8497992361084	0.0514342113579487	1	0.793190232930726	FALSE	FALSE
hsa-miR-27b	10	10	27.0734781	27.8260007	-0.752522600000002	-1.83595495427952	15.2840501494588	0.0858944073508371	1	1	FALSE	FALSE
hsa-miR-28-3p	10	10	30.3705396	31.0197178	-0.649178199999998	-1.88526480836515	13.7829374327068	0.0806517326830394	1	0.988819563145073	FALSE	FALSE
hsa-miR-28-5p	10	10	30.5942241	31.29509	-0.7008659	-1.45095109599489	17.5035497333293	0.164479605446299	1	1	FALSE	FALSE
hsa-miR-297	10	10	30.9041807	31.6611013	-0.756920599999997	-0.862508824972898	15.2452480970841	0.401772143647965	1	1	FALSE	FALSE
hsa-miR-29a	10	10	28.1440218	27.9523165	0.19170530000001	0.524410896238862	16.4973932292971	0.606967900477651	1	1	FALSE	FALSE
hsa-miR-29a*	10	10	32.844673	32.3024004	0.542272600000004	0.555282875851279	12.264728737839	0.588686274339189	1	1	FALSE	FALSE
hsa-miR-29b	10	10	29.283785	29.7094942	-0.425709199999989	-0.733769215030248	17.9522221459555	0.472564401948436	1	1	FALSE	FALSE
hsa-miR-29b-2*	8	8	32.3484274666666	33.4649032270833	-1.11647576041668	-2.51635558896087	13.285075818515	0.0254467937834951	1	0.522100598178634	FALSE	FALSE
hsa-miR-29c	10	10	26.6603135	26.971409	-0.31109549999999	-0.78243253876972	17.5447684485685	0.444393183798301	1	1	FALSE	FALSE
hsa-miR-301a	10	10	30.9028083	32.5906091	-1.6878008	-2.67181164315686	10.3042317419951	0.022864291890451	1	0.495334905032253	FALSE	FALSE
hsa-miR-30a	10	10	32.1528793	32.6949675	-0.542088200000009	-1.37134639738183	14.4596092960821	0.191174598857965	1	1	FALSE	FALSE
hsa-miR-30b	10	10	28.3743988	30.1478385	-1.7734397	-3.66809974318656	12.2820998140774	0.00310173930634169	0.542804378609795	0.240847545799728	FALSE	FALSE
hsa-miR-30c	10	10	27.774114	29.2222953	-1.4481813	-3.33038123125076	14.396403416612	0.00479131827069584	0.838480697371773	0.240847545799728	FALSE	FALSE
hsa-miR-30d	10	10	28.4170167	29.581838	-1.16482129999999	-3.30682668913024	16.3908901377645	0.00433741016662127	0.759046779158723	0.240847545799728	FALSE	FALSE
hsa-miR-30e	10	10	29.5970277	30.879728	-1.28270030000001	-3.81380451693766	14.8389233551046	0.00172480065931515	0.30184011538015	0.202375263235428	FALSE	FALSE
hsa-miR-30e*	10	10	30.2096937	31.0838989	-0.874205200000013	-2.28087616843296	12.8215957509469	0.0403132887783255	1	0.711034337511805	FALSE	FALSE
hsa-miR-32	10	10	29.6889336	31.0585411	-1.36960749999999	-3.31663776090971	16.2332966316447	0.00429362654753285	0.751384645818249	0.240847545799728	FALSE	FALSE
hsa-miR-320a	10	10	25.0283644	25.5514772	-0.5231128	-2.29531238750997	17.3352425220672	0.0344446464144301	1	0.664244285271901	FALSE	FALSE
hsa-miR-320b	10	10	25.2134596	25.6536263	-0.44016670000001	-2.03845415797638	17.9474335521589	0.0565158380076114	1	0.819170985161145	FALSE	FALSE
hsa-miR-324-3p	10	10	29.2114847	29.4370034	-0.225518700000002	-0.584460453143287	17.4345778997677	0.56639749077802	1	1	FALSE	FALSE
hsa-miR-324-5p	10	10	29.9720977	30.4905245	-0.518426799999993	-1.27709023096036	17.7570840324314	0.218017719683788	1	1	FALSE	FALSE
hsa-miR-326	10	10	29.6771927	30.4785824	-0.801389699999991	-1.43875433758018	17.1090946274075	0.168263284129415	1	1	FALSE	FALSE
hsa-miR-328	10	10	29.4901032	30.7468272	-1.256724	-2.54411389663568	14.23075509008	0.0231568557440671	1	0.495334905032253	FALSE	FALSE
hsa-miR-331-3p	10	10	30.4174267	31.4847702	-1.06734349999999	-3.08848947766822	16.5503195546341	0.00683124958321152	1	0.251748421228245	FALSE	FALSE
hsa-miR-335	10	10	30.1830718	30.6705339	-0.487462099999998	-1.08857390354213	15.6446583487197	0.292827437523695	1	1	FALSE	FALSE
hsa-miR-338-3p	10	10	28.6276856	28.3834433	0.2442423	0.498961411269186	16.001837244254	0.624596080952358	1	1	FALSE	FALSE
hsa-miR-339-3p	10	10	32.0136796	32.6035071	-0.589827500000013	-1.33148350774429	17.9831483312396	0.199662894565373	1	1	FALSE	FALSE
hsa-miR-339-5p	10	10	32.1605978	32.6634626	-0.502864800000012	-0.886872866244555	17.9995739311497	0.386844018225984	1	1	FALSE	FALSE
hsa-miR-33a	10	10	30.0474361	30.9068054	-0.859369299999997	-1.23709887731049	17.0682724784426	0.232801225130213	1	1	FALSE	FALSE
hsa-miR-342-3p	10	10	28.7255901	29.2043957	-0.478805599999998	-1.20777195245777	11.9211711651128	0.250550591407632	1	1	FALSE	FALSE
hsa-miR-346	10	10	32.0739085	32.1605157	-0.0866072000000031	-0.311972774251427	16.9528200555707	0.758865506325286	1	1	FALSE	FALSE
hsa-miR-34a	10	10	31.7318189	33.50151	-1.7696911	-3.51413337832131	15.7562500322589	0.00293450541947936	0.513538448408887	0.240847545799728	FALSE	FALSE
hsa-miR-361-3p	10	10	31.3880284	31.987939	-0.599910600000012	-1.42316160520218	12.2438862931481	0.17966755179157	1	1	FALSE	FALSE
hsa-miR-363	10	10	28.0281993	28.8723141	-0.844114799999989	-2.6112950732268	15.5087344307187	0.0192570573995658	1	0.450234395569115	FALSE	FALSE
hsa-miR-365	10	10	30.7289753	32.1541013	-1.425126	-2.82463022401176	12.9130296991821	0.014416421081373	1	0.379650107616689	FALSE	FALSE
hsa-miR-374a	10	10	30.7841239	30.9870652	-0.202941299999999	-0.420117986711586	15.767991793812	0.680068248277314	1	1	FALSE	FALSE
hsa-miR-374b	10	10	29.5857148	29.5296376	0.0560771999999901	0.131894643329596	16.1758225196779	0.896694264112386	1	1	FALSE	FALSE
hsa-miR-375	10	10	32.9607279	32.4165247	0.544203200000013	0.943460637526698	15.8093531444107	0.359641260262321	1	1	FALSE	FALSE
hsa-miR-376a	9	10	31.0224483	31.0722446	-0.0497963000000006	-0.0322848653206995	10.502123487035	0.974850252855063	1	1	FALSE	FALSE
hsa-miR-378	10	10	28.7239206	29.0154223	-0.291501699999991	-0.718902113577009	16.4321517219401	0.482300097495656	1	1	FALSE	FALSE
hsa-miR-382	10	10	31.7640054	32.0782852	-0.314279799999998	-0.462386123720906	15.4419248166468	0.650252675800044	1	1	FALSE	FALSE
hsa-miR-409-3p	10	10	30.8429481	31.5410677	-0.698119599999998	-1.01561391551594	17.9961588914876	0.323274011969146	1	1	FALSE	FALSE
hsa-miR-421	10	10	31.6209401	32.7586544	-1.1377143	-3.41698045431645	12.1340004545405	0.00503104158847052	0.880432277982341	0.240855081338907	FALSE	FALSE
hsa-miR-423-3p	10	10	27.6867092	28.709488	-1.02277880000001	-2.78200996753955	13.1826946965526	0.0153868452844615	1	0.379650107616689	FALSE	FALSE
hsa-miR-423-5p	10	10	27.7977312	28.36213095	-0.56439975	-1.83121043562124	17.3589395903681	0.0842884472308446	1	1	FALSE	FALSE
hsa-miR-424	10	10	26.9438443	27.0481938	-0.104349500000009	-0.27084427273017	17.9994361003698	0.789592299761847	1	1	FALSE	FALSE
hsa-miR-425	10	10	27.0611842	27.47326955	-0.412085350000002	-1.21322550230117	17.4716765417654	0.241191724719706	1	1	FALSE	FALSE
hsa-miR-425*	10	10	29.845291	30.9556893	-1.11039830000001	-2.67913857507119	10.5211542076251	0.0222032405537995	1	0.495334905032253	FALSE	FALSE
hsa-miR-451	10	10	18.80087665	19.714574	-0.91369735	-2.12310318763824	17.7525825333555	0.0480723389451692	1	0.779508336353024	FALSE	FALSE
hsa-miR-484	10	10	27.2361761	28.2783758	-1.0421997	-3.41100677303541	16.2188292798786	0.00351826928833625	0.615697125458843	0.240847545799728	FALSE	FALSE
hsa-miR-485-3p	10	10	22.8704328	24.3963897	-1.5259569	-1.37180577997795	17.8364946044854	0.187133770301584	1	1	FALSE	FALSE
hsa-miR-486-5p	10	10	23.9843973	25.1592171	-1.17481980000001	-3.67306480621639	17.4850619250875	0.00181168519644117	0.317044909377206	0.202375263235428	FALSE	FALSE
hsa-miR-495	10	10	30.7301824	32.2039266	-1.4737442	-2.19484131421417	15.8683408770507	0.0434077816153338	1	0.73966110213185	FALSE	FALSE
hsa-miR-497	10	10	31.3862695	31.8455988	-0.45932929999999	-0.839791556781482	17.8673400027222	0.412121830308269	1	1	FALSE	FALSE
hsa-miR-500a	9	10	32.9763209574074	33.4520234	-0.475702442592585	-0.880583197266757	15.517198757156	0.391978362449629	1	1	FALSE	FALSE
hsa-miR-501-3p	10	10	32.6503937	33.7755339	-1.1251402	-2.56701085558329	11.5082994486781	0.0253866266664417	1	0.522100598178634	FALSE	FALSE
hsa-miR-502-3p	10	10	31.4066254	32.0712559	-0.664630500000008	-1.2721628725339	12.0583684249931	0.227300987240676	1	1	FALSE	FALSE
hsa-miR-505	10	10	30.5740145	31.1954817	-0.621467200000012	-2.02532691781444	14.4861765644828	0.0616679202646997	1	0.861080999424286	FALSE	FALSE
hsa-miR-532-3p	10	10	31.0685622	32.0393547	-0.970792500000002	-1.6414343470088	12.0775986786338	0.126472027166691	1	1	FALSE	FALSE
hsa-miR-532-5p	10	10	30.5295954	31.6743058	-1.14471040000001	-3.89568664471917	17.9980826993815	0.00105973348166106	0.185453359290685	0.202375263235428	FALSE	FALSE
hsa-miR-543	10	10	31.3351549	32.2379916	-0.902836699999998	-1.65913459543174	16.1519671486153	0.116377415873455	1	1	FALSE	FALSE
hsa-miR-551b	10	9	32.7513816	33.6196297537037	-0.868248153703703	-1.28954212011945	13.5855889505095	0.218731638466982	1	1	FALSE	FALSE
hsa-miR-574-3p	10	10	30.3950857	31.0783243	-0.683238600000003	-2.75687694173778	13.941728845591	0.0154828242349894	1	0.379650107616689	FALSE	FALSE
hsa-miR-584	10	10	31.566529	31.947633	-0.381104000000001	-0.999222055772823	17.933805891173	0.330979515145626	1	1	FALSE	FALSE
hsa-miR-590-5p	10	10	30.1344839	30.3946004	-0.260116500000002	-0.52108759028619	17.9946545117924	0.608659416959374	1	1	FALSE	FALSE
hsa-miR-605	10	10	24.1225175	25.5280515	-1.40553400000001	-1.32066729925575	17.9997155020873	0.203158717349673	1	1	FALSE	FALSE
hsa-miR-629	10	10	31.4303426	31.8143495	-0.384006899999989	-1.04486356866086	17.9396713141071	0.309961673286528	1	1	FALSE	FALSE
hsa-miR-652	10	10	27.6233827	28.8285314	-1.2051487	-3.45325474088417	14.786247414137	0.00361386503793809	0.632426381639165	0.240847545799728	FALSE	FALSE
hsa-miR-660	10	10	30.5626742	31.0560842	-0.493410000000001	-1.48711328045577	17.6375783170307	0.154643827327152	1	1	FALSE	FALSE
hsa-miR-720	10	9	21.4864664	22.2303648	-0.743898399999999	-1.01097715026691	16.3925837768812	0.326718117334053	1	1	FALSE	FALSE
hsa-miR-766	10	10	30.5771652	32.2093349	-1.6321697	-3.41817035127483	10.8012737285709	0.00588958370307921	1	0.247550331517746	FALSE	FALSE
hsa-miR-885-5p	10	10	33.1046164	34.1876636	-1.0830472	-2.12790089654221	15.2606284618422	0.0500362993890401	1	0.785999751783901	FALSE	FALSE
hsa-miR-92a	10	10	23.3854934	24.5383648	-1.1528714	-4.09076259395181	17.5618194233949	0.000717637644884998	0.125586587854875	0.202375263235428	FALSE	FALSE
hsa-miR-92b	10	9	32.8266708	33.3860118	-0.559340999999996	-1.39556696732403	15.2267573303391	0.182864790521505	1	1	FALSE	FALSE
hsa-miR-93	10	10	24.8308548	25.9127709	-1.0819161	-3.2325999626931	17.6757532488165	0.00470329030410147	0.823075803217758	0.240847545799728	FALSE	FALSE
hsa-miR-93*	10	10	31.212404	31.4501416	-0.237737600000003	-0.546802861606227	17.9933417888195	0.591231562567118	1	1	FALSE	FALSE
hsa-miR-95	9	7	34.5570462537037	34.8707189071428	-0.313672653439156	-0.512181226894271	13.9813822808451	0.616518887190267	1	1	FALSE	FALSE
hsa-miR-99a	10	10	30.1362959	30.947456	-0.811160100000009	-2.10626069043799	17.979655164377	0.0494960985025502	1	0.785999751783901	FALSE	FALSE
hsa-miR-99b	10	10	30.2684257	31.175507	-0.907081299999987	-2.13126529890351	13.4320790322855	0.0520719801418178	1	0.793190232930726	FALSE	FALSE
