mirna	n_patient	n_control	mean_patient_ct	mean_control_ct	difference_patient_minus_control	statistic_t	df	p_raw	p_bonferroni	p_benjamini_yekutieli	significant_bonferroni	significant_benjamini_yekutieli
hsa-miR-103-2*	10	10	31.2364086	31.6697452	-0.433336600000001	-0.705201453993586	18	0.489710805723638	1	1	FALSE	FALSE
hsa-miR-106a	10	10	25.1553631	26.4979861	-1.34262300000002	-3.43571614419039	18	0.0029486687300122	0.516017027752135	0.171423297611199	FALSE	FALSE
hsa-miR-106b	10	10	28.9312592	29.5246506	-0.593391400000012	-1.43116218046523	18	0.169517319294253	1	1	FALSE	FALSE
hsa-miR-106b*	10	9	31.4456691	32.7758393555555	-1.33017025555555	-3.80262764926476	17	0.00142270700997946	0.248973726746406	0.171423297611199	FALSE	FALSE
hsa-miR-107	10	10	26.2249485	27.7445637	-1.5196152	-3.53625877757965	18	0.00235888583382586	0.412805020919525	0.171423297611199	FALSE	FALSE
hsa-miR-10a	10	9	34.5257041	33.6997492907407	0.825954809259258	2.11337667650792	17	0.0496558671698883	1	0.745097263502943	FALSE	FALSE
hsa-miR-10b	10	10	32.8934566	33.3072755	-0.413818900000003	-0.825139699792001	18	0.420093791136426	1	1	FALSE	FALSE
hsa-miR-122	10	10	25.7276944	25.9965685	-0.268874099999987	-0.563414278579126	18	0.580104562883809	1	1	FALSE	FALSE
hsa-miR-125a-5p	10	10	29.4319339	29.9510851	-0.51915120000001	-1.92688107380659	18	0.0699312042681939	1	0.901350294441546	FALSE	FALSE
hsa-miR-125b	10	10	29.7508695	30.7198905	-0.969021000000001	-2.64244932215001	18	0.0165507885478108	1	0.369762936264726	FALSE	FALSE
hsa-miR-126	10	10	24.6013193	25.3816941	-0.780374799999979	-2.2954274132763	18	0.0339406926376317	1	0.638914513872692	FALSE	FALSE
hsa-miR-127-3p	10	10	31.3660343	32.2475435	-0.8815092	-1.83028085996267	18	0.0838180155642576	1	0.991369718504141	FALSE	FALSE
hsa-miR-128	10	10	30.1309428	31.3765924	-1.24564960000001	-3.34516918909399	18	0.00360320882685908	0.630561544700339	0.171423297611199	FALSE	FALSE
hsa-miR-130a	10	10	28.4421423	30.5188783	-2.07673599999999	-3.85480638058162	18	0.00116061438646865	0.203107517632013	0.171423297611199	FALSE	FALSE
hsa-miR-132	10	10	27.8748485	29.0220916	-1.1472431	-1.43152774789805	18	0.169414010198724	1	1	FALSE	FALSE
hsa-miR-133a	10	10	29.0239169	30.5312846	-1.50736770000001	-1.21096668311604	18	0.24156851784685	1	1	FALSE	FALSE
hsa-miR-133b	10	10	29.0501574	29.9527444	-0.902587000000011	-0.937215874832656	18	0.361053348556083	1	1	FALSE	FALSE
hsa-miR-136	9	10	31.3440264759259	30.0400402	1.30398627592592	1.28813756940468	17	0.214955944743728	1	1	FALSE	FALSE
hsa-miR-139-5p	10	10	30.799699	31.1690986	-0.369399600000012	-1.3123556211756	18	0.205889404330969	1	1	FALSE	FALSE
hsa-miR-140-3p	10	10	26.8918644	27.7806336	-0.888769199999992	-2.71121419012634	18	0.0143066627113001	1	0.355398023253379	FALSE	FALSE
hsa-miR-140-5p	10	10	29.4822874	29.9607928	-0.4785054	-1.08666128357761	18	0.291524791344044	1	1	FALSE	FALSE
hsa-miR-142-3p	10	10	25.0588486	25.274205	-0.215356400000008	-0.427761521360149	18	0.673898751639081	1	1	FALSE	FALSE
hsa-miR-142-5p	10	10	27.5147459	28.9906625	-1.4759166	-2.69901179708389	18	0.0146824441753692	1	0.355398023253379	FALSE	FALSE
hsa-miR-143	10	10	27.9240357	28.4642467	-0.540210999999978	-1.37420080125402	18	0.18624986583683	1	1	FALSE	FALSE
hsa-miR-144	10	10	25.1004027	25.8085649	-0.7081622	-0.976398976314399	18	0.341807623877472	1	1	FALSE	FALSE
hsa-miR-144*	10	10	30.2004461	30.3807551	-0.180309000000001	-0.494746453357489	18	0.626763633893153	1	1	FALSE	FALSE
hsa-miR-145	10	10	28.8414165	29.8063992	-0.9649827	-1.94895116022898	18	0.0670609882170621	1	0.883993562054155	FALSE	FALSE
hsa-miR-146a	10	10	27.6840699	28.4065274	-0.722457500000001	-1.9735261113648	18	0.0639891470941735	1	0.86934428259368	FALSE	FALSE
hsa-miR-148a	10	10	27.9229699	28.6326162	-0.70964630000001	-2.03140938780362	18	0.0572464493062157	1	0.808798451776569	FALSE	FALSE
hsa-miR-148b	10	10	27.7416941	28.5226042	-0.780910099999989	-1.90015829505485	18	0.0735524552298079	1	0.936024644744988	FALSE	FALSE
hsa-miR-150	10	10	26.8979555	26.7436392	0.154316299999998	0.361913152986409	18	0.721630754975449	1	1	FALSE	FALSE
hsa-miR-151-3p	10	10	28.969854	29.2305435	-0.260689500000009	-0.496844913179408	18	0.625312023677151	1	1	FALSE	FALSE
hsa-miR-151-5p	10	10	27.4841213	28.3317011	-0.847579799999998	-2.26015780051332	18	0.0364433844481407	1	0.65425624379929	FALSE	FALSE
hsa-miR-152	10	10	30.3928604	30.8449455	-0.452085100000001	-1.23179529351223	18	0.233875839694721	1	1	FALSE	FALSE
hsa-miR-154	10	9	32.2531463	32.8016583092593	-0.548512009259262	-0.835230288156554	17	0.415172680556103	1	1	FALSE	FALSE
hsa-miR-155	10	10	31.8475406	32.5341181	-0.686577500000002	-1.37246716491011	18	0.18677922192654	1	1	FALSE	FALSE
hsa-miR-15a	10	10	23.8396506	24.8290786	-0.989427999999997	-2.92789509910731	18	0.00898674768987044	1	0.282338283999073	FALSE	FALSE
hsa-miR-15b	10	10	26.1035615	26.6645021	-0.560940600000009	-1.66389626423782	18	0.113444940155628	1	1	FALSE	FALSE
hsa-miR-15b*	10	10	30.5093997	31.5792407	-1.069841	-2.83167583986734	18	0.0110589655970835	1	0.313546001113501	FALSE	FALSE
hsa-miR-16	10	10	21.5455173	22.82977985	-1.28426255	-3.08511244429292	18	0.00638377695024358	1	0.229211748138389	FALSE	FALSE
hsa-miR-16-2*	10	10	29.6819705	30.4567515	-0.774780999999997	-1.95052582115076	18	0.066860277564365	1	0.883993562054155	FALSE	FALSE
hsa-miR-17	10	10	28.7821611	30.2525503	-1.4703892	-3.23998547881191	18	0.00454455616695977	0.79529732921796	0.185750881821672	FALSE	FALSE
hsa-miR-181a	10	10	27.9586718	28.495659	-0.536987199999988	-1.86612347437126	18	0.0784047108750234	1	0.961270258887571	FALSE	FALSE
hsa-miR-182	10	9	33.7064609	33.8040618	-0.0976009000000104	-0.17106380979827	17	0.866193178181786	1	1	FALSE	FALSE
hsa-miR-185	10	10	25.4080005	25.8060417	-0.398041199999991	-1.19374978788209	18	0.248071928759497	1	1	FALSE	FALSE
hsa-miR-186	10	10	28.1136453	28.5317591	-0.418113800000004	-1.16028733477689	18	0.261090500199502	1	1	FALSE	FALSE
hsa-miR-18a	10	10	29.2371339	30.0330912	-0.795957299999991	-2.05191059778364	18	0.0550163354490181	1	0.801603803244593	FALSE	FALSE
hsa-miR-18a*	10	9	32.2687766	33.4638719759259	-1.19509537592592	-2.70589154080114	17	0.0149895081838093	1	0.355398023253379	FALSE	FALSE
hsa-miR-18b	10	10	28.9818645	29.620296	-0.638431499999999	-1.54397240236961	18	0.139993918017524	1	1	FALSE	FALSE
hsa-miR-191	10	10	28.4325054	28.76447925	-0.331973850000001	-0.648025779690649	18	0.525148990831016	1	1	FALSE	FALSE
hsa-miR-192	10	10	28.8161638	29.3194246	-0.5032608	-1.22132286321849	18	0.237719802081855	1	1	FALSE	FALSE
hsa-miR-193b	10	10	31.5100794	32.1059284	-0.595849000000001	-1.18508959568052	18	0.251393034769244	1	1	FALSE	FALSE
hsa-miR-194	10	10	30.1212981	30.7291323	-0.607834199999989	-1.57002773940267	18	0.133820497311549	1	1	FALSE	FALSE
hsa-miR-195	10	10	32.1810724	32.5473647	-0.366292299999991	-0.703911808787907	18	0.490494491246075	1	1	FALSE	FALSE
hsa-miR-197	10	10	28.9417444	29.6483933	-0.706648900000001	-2.07973603284574	18	0.052115146698515	1	0.770499306809235	FALSE	FALSE
hsa-miR-1974	10	10	24.2479707	25.9211977	-1.673227	-4.00607023378888	18	0.000828551823116149	0.144996569045326	0.171423297611199	FALSE	FALSE
hsa-miR-199a-3p	10	10	27.8810388	29.0895581	-1.20851929999999	-2.95548176339501	18	0.00846544943308613	1	0.274539934975589	FALSE	FALSE
hsa-miR-199a-5p	10	10	28.5449033	29.8979528	-1.35304949999999	-2.44587432885989	18	0.024955199946791	1	0.501774110802555	FALSE	FALSE
hsa-miR-19a	10	10	28.0372602	28.5820808	-0.544820599999991	-1.19599658437254	18	0.247215766616907	1	1	FALSE	FALSE
hsa-miR-19b	10	10	23.5751747	23.1545785	0.420596199999991	0.541587249157629	18	0.594743801533446	1	1	FALSE	FALSE
hsa-miR-200c	10	10	33.2555471	33.4235435	-0.167996400000014	-0.375125498398859	18	0.711950720201379	1	1	FALSE	FALSE
hsa-miR-205	10	10	32.7183562	32.6016209	0.116735299999988	0.174793131083515	18	0.863193255684147	1	1	FALSE	FALSE
hsa-miR-20a	10	10	24.5720383	25.8949452	-1.32290689999999	-3.1639953523073	18	0.00537087288170174	0.939902754297805	0.207677155169418	FALSE	FALSE
hsa-miR-20a*	9	8	33.187595587037	34.2142888520833	-1.0266932650463	-1.82822177297078	15	0.087471573030843	1	1	FALSE	FALSE
hsa-miR-20b	10	10	30.937504	32.6194199	-1.68191590000001	-4.43039062394747	18	0.000323014952351833	0.0565276166615708	0.171423297611199	FALSE	FALSE
hsa-miR-21	10	10	24.7170778	24.2069079	0.510169900000001	1.35803759764522	18	0.191232102269424	1	1	FALSE	FALSE
hsa-miR-210	10	10	29.4090144	29.7769715	-0.367957100000009	-0.807083887643272	18	0.430154304004737	1	1	FALSE	FALSE
hsa-miR-2110	10	10	30.434404	31.2338141	-0.79941010000001	-1.60107065605219	18	0.126765181398259	1	1	FALSE	FALSE
hsa-miR-215	10	10	29.7839512	30.2630465	-0.479095300000001	-1.11387389003035	18	0.279986590490179	1	1	FALSE	FALSE
hsa-miR-22	10	10	26.3210809	26.6164749	-0.295394000000002	-0.909927326039534	18	0.374884833129933	1	1	FALSE	FALSE
hsa-miR-22*	10	10	29.2067184	30.0793923	-0.872673900000002	-2.77710622894274	18	0.0124312933811627	1	0.328889432798233	FALSE	FALSE
hsa-miR-221	10	10	26.0645504	27.8106785	-1.7461281	-3.38327286867122	18	0.00331192649960197	0.579587137430345	0.171423297611199	FALSE	FALSE
hsa-miR-222	10	10	28.1065492	29.6337419	-1.52719270000001	-4.01143902592296	18	0.000818704227011567	0.143273239727024	0.171423297611199	FALSE	FALSE
hsa-miR-223	10	10	21.7855058	22.2389387	-0.453432899999992	-1.31298623787617	18	0.205681194927764	1	1	FALSE	FALSE
hsa-miR-223*	10	10	30.7963451	30.3884039	0.4079412	0.340861772626702	18	0.73715390607363	1	1	FALSE	FALSE
hsa-miR-23a	10	10	24.4921307	25.0725362	-0.580405499999991	-1.94392457333267	18	0.0677052937794626	1	0.883993562054155	FALSE	FALSE
hsa-miR-23b	10	10	26.5716433	27.3030243	-0.73138100000001	-2.3626845712709	18	0.0296043203378851	1	0.583582310682278	FALSE	FALSE
hsa-miR-24	10	10	24.6168924	25.2980373	-0.68114490000001	-2.28542357472292	18	0.0346338875838167	1	0.638914513872692	FALSE	FALSE
hsa-miR-25	10	10	25.6390976	26.3798827	-0.7407851	-2.23803768210168	18	0.0380988855297851	1	0.671977321958747	FALSE	FALSE
hsa-miR-26a	10	10	25.6201536	26.4631841	-0.843030499999998	-2.19535129452124	18	0.0414910307794692	1	0.695922985623134	FALSE	FALSE
hsa-miR-26b	10	10	27.6885265	28.2021266	-0.51360009999998	-1.117489594398	18	0.278479194374793	1	1	FALSE	FALSE
hsa-miR-27a	10	10	26.0320323	26.9113108	-0.879278499999998	-2.13172350865276	18	0.0470639125779005	1	0.740391908314914	FALSE	FALSE
hsa-miR-27b	10	10	27.0734781	27.8260007	-0.752522600000002	-1.83595495427952	18	0.0829397539217956	1	0.991369718504141	FALSE	FALSE
hsa-miR-28-3p	10	10	30.3705396	31.0197178	-0.649178199999998	-1.88526480836515	18	0.0756420687071564	1	0.944319307263688	FALSE	FALSE
hsa-miR-28-5p	10	10	30.5942241	31.29509	-0.7008659	-1.45095109599489	18	0.16399827005994	1	1	FALSE	FALSE
hsa-miR-297	10	10	30.9041807	31.6611013	-0.756920599999997	-0.862508824972898	18	0.399753498755035	1	1	FALSE	FALSE
hsa-miR-29a	10	10	28.1440218	27.9523165	0.19170530000001	0.524410896238862	18	0.606391253314883	1	1	FALSE	FALSE
hsa-miR-29a*	10	10	32.844673	32.3024004	0.542272600000004	0.555282875851279	18	0.585536799184996	1	1	FALSE	FALSE
hsa-miR-29b	10	10	29.283785	29.7094942	-0.425709199999989	-0.733769215030248	18	0.472539543696165	1	1	FALSE	FALSE
hsa-miR-29b-2*	8	8	32.3484274666666	33.4649032270833	-1.11647576041668	-2.51635558896087	14	0.0246740459386915	1	0.501774110802555	FALSE	FALSE
hsa-miR-29c	10	10	26.6603135	26.971409	-0.31109549999999	-0.78243253876972	18	0.444132531510418	1	1	FALSE	FALSE
hsa-miR-301a	10	10	30.9028083	32.5906091	-1.6878008	-2.67181164315686	18	0.0155543004615788	1	0.355398023253379	FALSE	FALSE
hsa-miR-30a	10	10	32.1528793	32.6949675	-0.542088200000009	-1.37134639738183	18	0.187122083156154	1	1	FALSE	FALSE
hsa-miR-30b	10	10	28.3743988	30.1478385	-1.7734397	-3.66809974318656	18	0.0017592972985976	0.307877027254579	0.171423297611199	FALSE	FALSE
hsa-miR-30c	10	10	27.774114	29.2222953	-1.4481813	-3.33038123125076	18	0.00372292986506958	0.651512726387177	0.171423297611199	FALSE	FALSE
hsa-miR-30d	10	10	28.4170167	29.581838	-1.16482129999999	-3.30682668913024	18	0.00392175519750992	0.686307159564236	0.171423297611199	FALSE	FALSE
hsa-miR-30e	10	10	29.5970277	30.879728	-1.28270030000001	-3.81380451693766	18	0.00127166212371763	0.222540871650585	0.171423297611199	FALSE	FALSE
hsa-miR-30e*	10	10	30.2096937	31.0838989	-0.874205200000013	-2.28087616843296	18	0.034953304702803	1	0.638914513872692	FALSE	FALSE
hsa-miR-32	10	10	29.6889336	31.0585411	-1.36960749999999	-3.31663776090971	18	0.00383770092138753	0.671597661242818	0.171423297611199	FALSE	FALSE
hsa-miR-320a	10	10	25.0283644	25.5514772	-0.5231128	-2.29531238750997	18	0.0339485895260546	1	0.638914513872692	FALSE	FALSE
hsa-miR-320b	10	10	25.2134596	25.6536263	-0.44016670000001	-2.03845415797638	18	0.0564710859324065	1	0.808798451776569	FALSE	FALSE
hsa-miR-324-3p	10	10	29.2114847	29.4370034	-0.225518700000002	-0.584460453143287	18	0.56616469069592	1	1	FALSE	FALSE
hsa-miR-324-5p	10	10	29.9720977	30.4905245	-0.518426799999993	-1.27709023096036	18	0.217799129015384	1	1	FALSE	FALSE
hsa-miR-326	10	10	29.6771927	30.4785824	-0.801389699999991	-1.43875433758018	18	0.167382276280616	1	1	FALSE	FALSE
hsa-miR-328	10	10	29.4901032	30.7468272	-1.256724	-2.54411389663568	18	0.020348571951325	1	0.42619651994492	FALSE	FALSE
hsa-miR-331-3p	10	10	30.4174267	31.4847702	-1.06734349999999	-3.08848947766822	18	0.00633682797910224	1	0.229211748138389	FALSE	FALSE
hsa-miR-335	10	10	30.1830718	30.6705339	-0.487462099999998	-1.08857390354213	18	0.290702660951662	1	1	FALSE	FALSE
hsa-miR-338-3p	10	10	28.6276856	28.3834433	0.2442423	0.498961411269185	18	0.623849530939563	1	1	FALSE	FALSE
hsa-miR-339-3p	10	10	32.0136796	32.6035071	-0.589827500000013	-1.33148350774429	18	0.199647553812596	1	1	FALSE	FALSE
hsa-miR-339-5p	10	10	32.1605978	32.6634626	-0.502864800000012	-0.886872866244555	18	0.386843745026917	1	1	FALSE	FALSE
hsa-miR-33a	10	10	30.0474361	30.9068054	-0.859369299999997	-1.23709887731049	18	0.231947445066903	1	1	FALSE	FALSE
hsa-miR-342-3p	10	10	28.7255901	29.2043957	-0.478805599999998	-1.20777195245777	18	0.242765345943771	1	1	FALSE	FALSE
hsa-miR-346	10	10	32.0739085	32.1605157	-0.0866072000000031	-0.311972774251427	18	0.758646055565164	1	1	FALSE	FALSE
hsa-miR-34a	10	10	31.7318189	33.50151	-1.7696911	-3.51413337832131	18	0.00247772793764499	0.433602389087873	0.171423297611199	FALSE	FALSE
hsa-miR-361-3p	10	10	31.3880284	31.987939	-0.599910600000012	-1.42316160520218	18	0.171791133279521	1	1	FALSE	FALSE
hsa-miR-363	10	10	28.0281993	28.8723141	-0.844114799999989	-2.6112950732268	18	0.0176743901396691	1	0.386281408249638	FALSE	FALSE
hsa-miR-365	10	10	30.7289753	32.1541013	-1.425126	-2.82463022401176	18	0.0112275905570501	1	0.313546001113501	FALSE	FALSE
hsa-miR-374a	10	10	30.7841239	30.9870652	-0.202941299999999	-0.420117986711586	18	0.679371607697643	1	1	FALSE	FALSE
hsa-miR-374b	10	10	29.5857148	29.5296376	0.0560771999999901	0.131894643329596	18	0.896530745547404	1	1	FALSE	FALSE
hsa-miR-375	10	10	32.9607279	32.4165247	0.544203200000013	0.943460637526698	18	0.357937534584392	1	1	FALSE	FALSE
hsa-miR-376a	9	10	31.0224483	31.0722446	-0.0497963000000006	-0.0307793717800866	17	0.975803965397601	1	1	FALSE	FALSE
hsa-miR-378	10	10	28.7239206	29.0154223	-0.291501699999991	-0.718902113577009	18	0.481430547403779	1	1	FALSE	FALSE
hsa-miR-382	10	10	31.7640054	32.0782852	-0.314279799999998	-0.462386123720906	18	0.64934476221906	1	1	FALSE	FALSE
hsa-miR-409-3p	10	10	30.8429481	31.5410677	-0.698119599999998	-1.01561391551594	18	0.323271181071445	1	1	FALSE	FALSE
hsa-miR-421	10	10	31.6209401	32.7586544	-1.1377143	-3.41698045431645	18	0.00307368865883438	0.537895515296016	0.171423297611199	FALSE	FALSE
hsa-miR-423-3p	10	10	27.6867092	28.709488	-1.02277880000001	-2.78200996753955	18	0.0123015749505654	1	0.328889432798233	FALSE	FALSE
hsa-miR-423-5p	10	10	27.7977312	28.36213095	-0.56439975	-1.83121043562124	18	0.0836735746934447	1	0.991369718504141	FALSE	FALSE
hsa-miR-424	10	10	26.9438443	27.0481938	-0.104349500000009	-0.27084427273017	18	0.789592204025473	1	1	FALSE	FALSE
hsa-miR-425	10	10	27.0611842	27.47326955	-0.412085350000002	-1.21322550230117	18	0.240725028737659	1	1	FALSE	FALSE
hsa-miR-425*	10	10	29.845291	30.9556893	-1.11039830000001	-2.67913857507119	18	0.0153147067468305	1	0.355398023253379	FALSE	FALSE
hsa-miR-451	10	10	18.80087665	19.714574	-0.91369735	-2.12310318763824	18	0.047869381913432	1	0.740391908314914	FALSE	FALSE
hsa-miR-484	10	10	27.2361761	28.2783758	-1.0421997	-3.41100677303541	18	0.0031146397789716	0.545061961320031	0.171423297611199	FALSE	FALSE
hsa-miR-485-3p	10	10	22.8704328	24.3963897	-1.5259569	-1.37180577997795	18	0.186981489531178	1	1	FALSE	FALSE
hsa-miR-486-5p	10	10	23.9843973	25.1592171	-1.17481980000001	-3.67306480621639	18	0.00173995572457242	0.304492251800173	0.171423297611199	FALSE	FALSE
hsa-miR-495	10	10	30.7301824	32.2039266	-1.4737442	-2.19484131421417	18	0.0415331844666498	1	0.695922985623134	FALSE	FALSE
hsa-miR-497	10	10	31.3862695	31.8455988	-0.45932929999999	-0.839791556781482	18	0.412041090779763	1	1	FALSE	FALSE
hsa-miR-500a	9	10	32.9763209574074	33.4520234	-0.475702442592585	-0.890447333204693	17	0.385654497739441	1	1	FALSE	FALSE
hsa-miR-501-3p	10	10	32.6503937	33.7755339	-1.1251402	-2.56701085558329	18	0.0193967982504205	1	0.414905690370481	FALSE	FALSE
hsa-miR-502-3p	10	10	31.4066254	32.0712559	-0.664630500000008	-1.2721628725339	18	0.219505178051889	1	1	FALSE	FALSE
hsa-miR-505	10	10	30.5740145	31.1954817	-0.621467200000012	-2.02532691781444	18	0.0579236081944875	1	0.808798451776569	FALSE	FALSE
hsa-miR-532-3p	10	10	31.0685622	32.0393547	-0.970792500000002	-1.6414343470088	18	0.118063526569221	1	1	FALSE	FALSE
hsa-miR-532-5p	10	10	30.5295954	31.6743058	-1.14471040000001	-3.89568664471917	18	0.00105955227438225	0.185421648016894	0.171423297611199	FALSE	FALSE
hsa-miR-543	10	10	31.3351549	32.2379916	-0.902836699999998	-1.65913459543174	18	0.114410933694062	1	1	FALSE	FALSE
hsa-miR-551b	10	9	32.7513816	33.6196297537037	-0.868248153703703	-1.31852305604613	17	0.20481729225325	1	1	FALSE	FALSE
hsa-miR-574-3p	10	10	30.3950857	31.0783243	-0.683238600000003	-2.75687694173778	18	0.012980423878617	1	0.334611966357595	FALSE	FALSE
hsa-miR-584	10	10	31.566529	31.947633	-0.381104000000001	-0.999222055772823	18	0.330931333616961	1	1	FALSE	FALSE
hsa-miR-590-5p	10	10	30.1344839	30.3946004	-0.260116500000002	-0.52108759028619	18	0.608657548199259	1	1	FALSE	FALSE
hsa-miR-605	10	10	24.1225175	25.5280515	-1.40553400000001	-1.32066729925575	18	0.203158459729689	1	1	FALSE	FALSE
hsa-miR-629	10	10	31.4303426	31.8143495	-0.384006899999989	-1.04486356866086	18	0.309915851045891	1	1	FALSE	FALSE
hsa-miR-652	10	10	27.6233827	28.8285314	-1.2051487	-3.45325474088417	18	0.00283619558502166	0.49633422737879	0.171423297611199	FALSE	FALSE
hsa-miR-660	10	10	30.5626742	31.0560842	-0.493410000000001	-1.48711328045577	18	0.154292711910483	1	1	FALSE	FALSE
hsa-miR-720	10	9	21.4864664	22.2303648	-0.743898399999999	-1.01556781149764	17	0.324072024741021	1	1	FALSE	FALSE
hsa-miR-766	10	10	30.5771652	32.2093349	-1.6321697	-3.41817035127483	18	0.00306559532724706	0.536479182268236	0.171423297611199	FALSE	FALSE
hsa-miR-885-5p	10	10	33.1046164	34.1876636	-1.0830472	-2.12790089654221	18	0.0474195543787058	1	0.740391908314914	FALSE	FALSE
hsa-miR-92a	10	10	23.3854934	24.5383648	-1.1528714	-4.09076259395181	18	0.000686180222145819	0.120081538875518	0.171423297611199	FALSE	FALSE
hsa-miR-92b	10	9	32.8266708	33.3860118	-0.559340999999996	-1.36158960489149	17	0.191101227126531	1	1	FALSE	FALSE
hsa-miR-93	10	10	24.8308548	25.9127709	-1.0819161	-3.2325999626931	18	0.00461906094431464	0.808335665255062	0.185750881821672	FALSE	FALSE
hsa-miR-93*	10	10	31.212404	31.4501416	-0.237737600000003	-0.546802861606227	18	0.591229102137971	1	1	FALSE	FALSE
hsa-miR-95	9	7	34.5570462537037	34.8707189071428	-0.313672653439156	-0.492228520147269	14	0.630186672583119	1	1	FALSE	FALSE
hsa-miR-99a	10	10	30.1362959	30.947456	-0.811160100000009	-2.10626069043799	18	0.0494794567094091	1	0.745097263502943	FALSE	FALSE
hsa-miR-99b	10	10	30.2684257	31.175507	-0.907081299999987	-2.13126529890351	18	0.0471064140569454	1	0.740391908314914	FALSE	FALSE
