gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	unshrunkLog2FoldChange	passes_abs_lfc_gt_0_5_basemean_gt_10
BMS1P10	19.34994248884798	-0.5279488428144085	0.10272088489889464	-5.6233472361412575	1.8729239265983723e-08	3.5174759957468498e-06	-0.5638271152723474	True
COL27A1	13.955938834158918	0.6224621089510982	0.12420306266274292	5.468872655574059	4.529069905754758e-08	7.827510939571613e-06	0.6688804770106888	True
HBB	401.2819957314073	3.4784087846639573	0.34714199466652607	11.626567211226346	3.019996221636963e-31	1.5192198849952658e-28	3.4386458838711014	True
NRIP3	29.775065606200176	0.5318087307600169	0.17977494863459564	1.7620057337342212	0.07806832873373808	0.3882879393993883	0.2982486639127326	True
ZC3H12C	30.028555138358456	0.6738993593332446	0.17047956287856572	1.2703469450886862	0.20396107287055198	0.5941518034090734	0.20822333176799523	True
ZBTB16	249.15967716504147	0.5500756658036178	0.10363514324219086	5.801560764420279	6.57004790748493e-09	1.3709986637167256e-06	0.5855439081802726	True
RPS4XP11	30.904111929586474	-0.5163223897934163	0.051470570781988245	-10.297402009008731	7.238993676157842e-25	3.18640141954754e-22	-0.5252252811479824	True
IFIT1	96.50829598337819	-0.5069619563781358	0.11467554130971257	-4.9552802315800015	7.222611718284322e-07	9.333403427329709e-05	-0.5531396023499608	True
RPS4XP14	19.30376574812779	-0.5839562322979429	0.06116600562024481	-9.832158674471144	8.184528741129839e-23	3.158443276251626e-20	-0.5958299097232559	True
EIF2S3B	50.930194174206584	-0.5959234066878923	0.05222124271586152	-11.732133584144893	8.723173907613882e-32	4.550750595396124e-29	-0.6044796087243488	True
PHLDA1	134.00978981983693	0.5886987712664001	0.14086496443679586	1.8577141660106498	0.06320961574129555	0.35409657282005946	0.24470090630370933	True
FLT3	49.99192526270974	0.5946803282616356	0.16083060222617854	4.283642122708088	1.838585621180876e-05	0.001467274661027945	0.6736456589682895	True
IFI27	17.415005479964044	-1.594825680585176	0.13210154495285092	-7.723974436061406	1.1275746505902004e-14	3.37924526401878e-12	-0.9186837894042331	True
AL163932.1	12.17649836940926	-0.7202202391979923	0.19146421771888766	-4.37841007624901	1.1954824874883221e-05	0.0010458986694109789	-0.8124841108517099	True
THBS1	2776.5549885369032	0.8279294924368306	0.21820960349299517	3.8363283259001237	0.00012488742402822018	0.006752790061994224	0.816372734945753	True
AC037198.1	16.14638696320113	0.7073295709349982	0.27632091158831873	2.8308645650119444	0.0046422373389535514	0.08041910771179311	0.7456686202818075	True
HBA2	378.9349253687581	3.3353375745850737	0.28470689108119196	12.158910919528763	5.143988518467276e-34	2.7341754821460686e-31	2.952343433415495	True
HBA1	429.67044397367994	3.255291130467731	0.2852547911745374	11.215679655664568	3.415524154364845e-29	1.630825948349357e-26	2.7352008057713486	True
TNFRSF12A	22.92946512863536	0.851704424648778	0.1552599945178245	3.913798894116836	9.085531337157605e-05	0.00528819221692287	0.5706066843441567	True
ITGAD	22.052723643435385	-0.8459559843663987	0.17282058588224716	-5.477325059867785	4.318035546218618e-08	7.555489402020166e-06	-0.9093583907085604	True
ALOX15B	13.93176445532823	0.7658357157577163	0.24688534102502263	0.5219231110408342	0.6017238662999832	0.8713860159797874	0.11433794559787822	True
CCL3	791.6944957140727	0.6227879379912938	0.19356103669754185	-0.8345002505648927	0.40399914622095223	0.7669276903536021	-0.14321839377682852	True
CCL4	384.8205755947939	0.7052917443318769	0.15792655043053225	-1.1549232280704154	0.24812186642250955	0.642772300780027	-0.1625428195833443	True
CCL4L2	133.26776961258852	1.0157778485615514	0.2128257260830046	-0.988075115404427	0.3231158619083846	0.7110770210000079	-0.16461809388800835	True
SERPINB2	52.05609593588012	1.6470927265587845	0.28741152532603564	3.5490597156436876	0.0003866093953814895	0.01538301310351969	0.811253552457025	True
SIGLEC1	476.0836302172201	-0.9625596903768839	0.21936190820638904	-4.210568855295112	2.5472847024805227e-05	0.001883523242963956	-0.8737526068516175	True
RPS4XP2	22.16333040809072	-0.5130096312493586	0.05319922747129643	-9.911434609548234	3.712762010586606e-23	1.4731298394399334e-20	-0.5232662030971972	True
LINC01597	11.094571864171677	0.6937125641848684	0.10279817303048205	7.098528396833985	1.260922820175073e-12	3.482495761485488e-10	0.7223529491434468	True
RPS4XP3	66.16368775770195	-0.5001268658189394	0.05135007904949406	-10.028647167312426	1.1406872608346473e-23	4.6571450470975146e-21	-0.5097689229107226	True
SEMA6B	37.608663471610505	0.5067347486180461	0.21439080063460006	3.223465087883006	0.001266497359204265	0.03447197788033174	0.6817314834875701	True
TDRD12	13.763792858575448	-0.5399284639649218	0.13314013462611735	-4.554156982323789	5.259606975484926e-06	0.0005309521135939071	-0.5985825208305873	True
RPS4Y1	512.4779343320655	8.073783890102412	0.24010020138664476	40.07821193769514	0.0	0.0	8.865975407162246	True
ZFY	74.86505780155555	5.523903152392341	0.07412554366284357	79.00343191205998	0.0	0.0	6.477993473501737	True
LINC00278	16.8804177760284	8.78058344872437	0.2502533816087232	41.96473648452082	0.0	0.0	7.4222091237302115	True
PRKY	517.4641932206184	4.870642719226521	0.0749508182549496	65.16732434414703	0.0	0.0	4.872893023694946	True
USP9Y	437.25378118290394	7.270018964800868	0.16289659957906452	52.48410265459104	0.0	0.0	8.388682207741908	True
DDX3Y	1145.1616219971493	6.811752897695596	0.15649286152697992	52.24991577729605	0.0	0.0	7.7400312709193235	True
UTY	214.8305612423663	7.082400191960092	0.10914574894123681	69.37064662285051	0.0	0.0	7.708331534602601	True
ANOS2P	12.164937798544788	7.4689995589107205	0.18389726931050177	44.21138360575111	0.0	0.0	6.729559840975645	True
TTTY14	19.243355907367377	8.568756857727825	0.21672044210698874	45.77268814313576	0.0	0.0	7.53108562939197	True
BCORP1	83.1753707759907	9.170474248105421	0.25101312299611567	38.94910231778275	0.0	0.0	9.191126552195577	True
TXLNGY	394.3369135942741	8.456694053819566	0.22627398146359542	40.819651281554485	0.0	0.0	8.872811930128583	True
AC010889.1	16.731719964907363	9.429846124559948	0.28192884723891765	46.96321749822786	0.0	0.0	7.52424809032654	True
KDM5D	846.1970306852519	8.306364872742234	0.22813304747473603	40.855559783613735	0.0	0.0	8.769277026845767	True
EIF1AY	82.99502071350453	8.273046531649195	0.1349638796226903	60.39587393799423	0.0	0.0	8.775562306574832	True
IGLVI-70	17.351535491488484	-0.5815623351098892	0.34534577588515847	-1.9143413132422271	0.05557655891147169	0.3315801695059576	-0.5592016093963268	True
IGLV5-37	12.375846874828117	-0.6676874718859885	0.3602026346602636	-2.4815859973588927	0.013079914428515766	0.1498846216142702	-0.8264212443261627	True
IGLV3-27	25.366810714659135	-1.1885358937375987	0.35725614245545795	-2.2739822010996473	0.02296705670452956	0.20565369923191948	-0.7558133860685848	True
UPB1	23.099731829456314	0.5249767010925223	0.07768120994175408	3.60015589260281	0.00031802645187142267	0.013553892852753173	0.27443758105760135	True
MN1	30.989442190789664	0.5634865047057189	0.13921224806223167	1.5684875264678058	0.11676739873459029	0.4700450489531383	0.20687461900602272	True
AL078622.1	15.496349814336833	-0.8877102200407994	0.097720606437615	-9.507795753131807	1.9474518136308005e-21	6.944514562252314e-19	-0.9083966353411124	True
TSPEAR-AS1	12.465436291633694	-0.9801435340556133	0.10157691927661493	-9.999010776977014	1.5392694958903437e-23	6.194680138389552e-21	-1.0003804529793665	True
