group	member	nseq	alignment_length	parsimony_informative_sites	parsimony_informative_pct
fungi	1053181at2759.faa.mafft	3	374	0	0.0
fungi	1057950at2759.faa.mafft	4	395	16	4.050632911392405
fungi	1065019at2759.faa.mafft	4	430	25	5.813953488372093
fungi	1076134at2759.faa.mafft	4	345	14	4.057971014492754
fungi	1079130at2759.faa.mafft	4	563	33	5.86145648312611
fungi	1079827at2759.faa.mafft	4	264	21	7.954545454545454
fungi	1085752at2759.faa.mafft	3	621	0	0.0
fungi	1087488at2759.faa.mafft	4	567	25	4.409171075837743
fungi	1090038at2759.faa.mafft	3	556	0	0.0
fungi	1094121at2759.faa.mafft	4	251	10	3.9840637450199203
fungi	1096688at2759.faa.mafft	4	481	14	2.9106029106029108
fungi	1106766at2759.faa.mafft	3	745	0	0.0
fungi	1107630at2759.faa.mafft	4	520	17	3.269230769230769
fungi	1108845at2759.faa.mafft	3	501	0	0.0
fungi	1111142at2759.faa.mafft	3	800	0	0.0
fungi	1112002at2759.faa.mafft	4	1213	51	4.204451772464963
fungi	1115196at2759.faa.mafft	4	566	26	4.593639575971731
fungi	1128607at2759.faa.mafft	4	366	25	6.830601092896175
fungi	1129824at2759.faa.mafft	4	326	16	4.9079754601226995
fungi	1138059at2759.faa.mafft	4	317	14	4.416403785488959
fungi	1157302at2759.faa.mafft	4	247	15	6.0728744939271255
fungi	1161199at2759.faa.mafft	4	358	16	4.4692737430167595
fungi	1173229at2759.faa.mafft	3	597	0	0.0
fungi	1178688at2759.faa.mafft	4	229	12	5.240174672489083
fungi	1182451at2759.faa.mafft	4	477	19	3.9832285115303985
fungi	1193442at2759.faa.mafft	4	567	29	5.114638447971782
fungi	1194691at2759.faa.mafft	4	512	27	5.2734375
fungi	1194797at2759.faa.mafft	4	826	47	5.690072639225182
fungi	1197019at2759.faa.mafft	4	254	15	5.905511811023622
fungi	1200489at2759.faa.mafft	4	318	7	2.20125786163522
fungi	1217666at2759.faa.mafft	4	324	20	6.172839506172839
fungi	1220881at2759.faa.mafft	4	514	16	3.11284046692607
fungi	1222562at2759.faa.mafft	4	505	12	2.376237623762376
fungi	1223488at2759.faa.mafft	4	291	13	4.4673539518900345
fungi	1228942at2759.faa.mafft	4	278	24	8.633093525179856
fungi	1233814at2759.faa.mafft	4	334	9	2.694610778443114
fungi	1236198at2759.faa.mafft	4	159	5	3.1446540880503147
fungi	1247641at2759.faa.mafft	4	874	28	3.203661327231121
fungi	1248958at2759.faa.mafft	4	1013	52	5.133267522211254
fungi	1249159at2759.faa.mafft	4	248	15	6.048387096774194
fungi	1251252at2759.faa.mafft	4	448	6	1.3392857142857142
fungi	1257440at2759.faa.mafft	4	230	12	5.217391304347826
fungi	1258856at2759.faa.mafft	4	1054	59	5.597722960151803
fungi	1259741at2759.faa.mafft	4	524	20	3.816793893129771
fungi	1260807at2759.faa.mafft	4	1625	15	0.9230769230769231
fungi	1264469at2759.faa.mafft	4	419	20	4.77326968973747
fungi	1266231at2759.faa.mafft	3	396	0	0.0
fungi	1269244at2759.faa.mafft	4	320	9	2.8125
fungi	1269649at2759.faa.mafft	4	320	11	3.4375
fungi	1275837at2759.faa.mafft	4	364	28	7.6923076923076925
fungi	1284731at2759.faa.mafft	4	309	12	3.883495145631068
fungi	1287094at2759.faa.mafft	4	244	14	5.737704918032787
fungi	1287401at2759.faa.mafft	3	374	0	0.0
fungi	1291729at2759.faa.mafft	4	233	11	4.721030042918455
fungi	1304061at2759.faa.mafft	4	282	9	3.1914893617021276
fungi	1309031at2759.faa.mafft	4	1053	34	3.2288698955365622
fungi	1312453at2759.faa.mafft	4	2093	73	3.487816531294792
fungi	1314980at2759.faa.mafft	3	1110	0	0.0
fungi	1322299at2759.faa.mafft	4	722	23	3.185595567867036
fungi	1322642at2759.faa.mafft	3	908	0	0.0
fungi	1323575at2759.faa.mafft	4	236	10	4.237288135593221
fungi	1324510at2759.faa.mafft	4	660	23	3.484848484848485
fungi	1338131at2759.faa.mafft	4	203	13	6.403940886699507
fungi	1339553at2759.faa.mafft	4	559	20	3.5778175313059033
fungi	1342242at2759.faa.mafft	4	549	15	2.73224043715847
fungi	1346165at2759.faa.mafft	4	614	20	3.257328990228013
fungi	1346432at2759.faa.mafft	4	365	15	4.109589041095891
fungi	1348942at2759.faa.mafft	4	482	16	3.319502074688797
fungi	1355894at2759.faa.mafft	4	214	11	5.140186915887851
fungi	1358374at2759.faa.mafft	4	401	11	2.743142144638404
fungi	1364586at2759.faa.mafft	3	364	0	0.0
fungi	1370285at2759.faa.mafft	4	955	34	3.56020942408377
fungi	1370304at2759.faa.mafft	4	1125	29	2.577777777777778
fungi	1377237at2759.faa.mafft	3	626	0	0.0
fungi	1379600at2759.faa.mafft	4	1086	33	3.0386740331491713
fungi	1380409at2759.faa.mafft	3	220	0	0.0
fungi	1382842at2759.faa.mafft	3	322	0	0.0
fungi	1395649at2759.faa.mafft	3	295	0	0.0
fungi	1398309at2759.faa.mafft	4	186	14	7.526881720430108
fungi	1404162at2759.faa.mafft	4	926	25	2.699784017278618
fungi	1405073at2759.faa.mafft	4	184	10	5.434782608695652
fungi	1405146at2759.faa.mafft	4	266	7	2.6315789473684212
fungi	1407446at2759.faa.mafft	4	209	3	1.4354066985645932
fungi	1421503at2759.faa.mafft	4	300	10	3.3333333333333335
fungi	1423847at2759.faa.mafft	4	459	20	4.357298474945534
fungi	142542at2759.faa.mafft	3	2034	0	0.0
fungi	1426075at2759.faa.mafft	4	320	6	1.875
fungi	1428265at2759.faa.mafft	4	461	18	3.9045553145336225
fungi	1428854at2759.faa.mafft	4	974	58	5.95482546201232
fungi	1430056at2759.faa.mafft	4	253	10	3.952569169960474
fungi	1432328at2759.faa.mafft	4	450	13	2.888888888888889
fungi	1434266at2759.faa.mafft	4	393	12	3.053435114503817
fungi	1440961at2759.faa.mafft	4	581	17	2.9259896729776247
fungi	1441854at2759.faa.mafft	4	390	18	4.615384615384615
fungi	1442062at2759.faa.mafft	4	784	22	2.806122448979592
fungi	1445102at2759.faa.mafft	4	303	50	16.501650165016503
fungi	1450538at2759.faa.mafft	4	573	11	1.9197207678883073
fungi	1454155at2759.faa.mafft	4	455	18	3.956043956043956
fungi	1455730at2759.faa.mafft	3	645	0	0.0
fungi	1459797at2759.faa.mafft	4	140	5	3.5714285714285716
fungi	1474000at2759.faa.mafft	4	480	20	4.166666666666667
fungi	1479417at2759.faa.mafft	2	660	0	0.0
fungi	1488235at2759.faa.mafft	4	234	12	5.128205128205129
fungi	1488436at2759.faa.mafft	4	163	5	3.067484662576687
fungi	1490022at2759.faa.mafft	4	236	18	7.627118644067797
fungi	1504863at2759.faa.mafft	4	230	3	1.3043478260869565
fungi	1513531at2759.faa.mafft	4	370	5	1.3513513513513513
fungi	1525971at2759.faa.mafft	4	190	11	5.7894736842105265
fungi	1526152at2759.faa.mafft	2	184	0	0.0
fungi	1530008at2759.faa.mafft	4	237	14	5.9071729957805905
fungi	1538526at2759.faa.mafft	4	256	10	3.90625
fungi	1545004at2759.faa.mafft	2	96	0	0.0
fungi	1552706at2759.faa.mafft	4	468	4	0.8547008547008547
fungi	1558822at2759.faa.mafft	3	109	0	0.0
fungi	156083at2759.faa.mafft	3	2440	0	0.0
fungi	1563319at2759.faa.mafft	2	377	0	0.0
fungi	1567796at2759.faa.mafft	4	570	9	1.5789473684210527
fungi	1575179at2759.faa.mafft	4	205	3	1.4634146341463414
fungi	1576404at2759.faa.mafft	4	308	12	3.896103896103896
fungi	1588798at2759.faa.mafft	4	454	15	3.303964757709251
fungi	1593937at2759.faa.mafft	4	542	23	4.243542435424354
fungi	160593at2759.faa.mafft	4	2968	162	5.45822102425876
fungi	1617752at2759.faa.mafft	4	120	2	1.6666666666666667
fungi	1620056at2759.faa.mafft	4	160	10	6.25
fungi	1623701at2759.faa.mafft	4	213	12	5.633802816901408
fungi	1626636at2759.faa.mafft	3	261	0	0.0
fungi	1633672at2759.faa.mafft	4	118	4	3.389830508474576
fungi	1645187at2759.faa.mafft	4	171	8	4.678362573099415
fungi	166920at2759.faa.mafft	4	1486	79	5.31628532974428
fungi	176625at2759.faa.mafft	4	1510	68	4.503311258278146
fungi	179362at2759.faa.mafft	4	1384	57	4.118497109826589
fungi	245208at2759.faa.mafft	4	1272	52	4.088050314465409
fungi	257318at2759.faa.mafft	4	833	28	3.361344537815126
fungi	261328at2759.faa.mafft	3	1549	0	0.0
fungi	261419at2759.faa.mafft	3	1563	0	0.0
fungi	270107at2759.faa.mafft	4	1180	53	4.491525423728813
fungi	271586at2759.faa.mafft	4	1450	45	3.103448275862069
fungi	290630at2759.faa.mafft	4	960	48	5.0
fungi	293315at2759.faa.mafft	4	1752	66	3.767123287671233
fungi	296129at2759.faa.mafft	4	1198	68	5.676126878130217
fungi	299766at2759.faa.mafft	4	1733	43	2.481246393537219
fungi	306227at2759.faa.mafft	3	1145	0	0.0
fungi	320059at2759.faa.mafft	4	589	18	3.0560271646859083
fungi	324863at2759.faa.mafft	4	1222	60	4.909983633387888
fungi	325552at2759.faa.mafft	4	658	48	7.2948328267477205
fungi	330169at2759.faa.mafft	4	700	36	5.142857142857143
fungi	331411at2759.faa.mafft	4	1234	40	3.2414910858995136
fungi	341721at2759.faa.mafft	4	1136	40	3.5211267605633805
fungi	345441at2759.faa.mafft	3	585	0	0.0
fungi	355408at2759.faa.mafft	4	799	46	5.7571964956195245
fungi	369837at2759.faa.mafft	4	880	50	5.681818181818182
fungi	375960at2759.faa.mafft	4	904	30	3.3185840707964602
fungi	383503at2759.faa.mafft	4	606	28	4.62046204620462
fungi	388820at2759.faa.mafft	4	1258	52	4.133545310015898
fungi	390348at2759.faa.mafft	4	1158	60	5.181347150259067
fungi	392369at2759.faa.mafft	4	560	25	4.464285714285714
fungi	39650at2759.faa.mafft	4	2451	115	4.6919624643002855
fungi	396755at2759.faa.mafft	4	1563	59	3.7747920665387076
fungi	418107at2759.faa.mafft	4	531	32	6.0263653483992465
fungi	426305at2759.faa.mafft	4	925	54	5.837837837837838
fungi	450058at2759.faa.mafft	4	1235	28	2.2672064777327936
fungi	453044at2759.faa.mafft	4	565	30	5.3097345132743365
fungi	457861at2759.faa.mafft	4	557	14	2.5134649910233393
fungi	464990at2759.faa.mafft	4	762	26	3.4120734908136483
fungi	491869at2759.faa.mafft	2	1208	0	0.0
fungi	513979at2759.faa.mafft	4	846	35	4.137115839243499
fungi	543764at2759.faa.mafft	4	751	34	4.527296937416778
fungi	549762at2759.faa.mafft	3	772	0	0.0
fungi	551907at2759.faa.mafft	4	1315	48	3.650190114068441
fungi	570797at2759.faa.mafft	4	1233	21	1.70316301703163
fungi	582756at2759.faa.mafft	4	719	34	4.728789986091794
fungi	598949at2759.faa.mafft	4	1186	49	4.1315345699831365
fungi	604979at2759.faa.mafft	3	668	0	0.0
fungi	621827at2759.faa.mafft	4	611	36	5.8919803600654665
fungi	625387at2759.faa.mafft	3	1557	0	0.0
fungi	655400at2759.faa.mafft	4	953	28	2.938090241343127
fungi	664730at2759.faa.mafft	4	539	27	5.009276437847866
fungi	671536at2759.faa.mafft	4	608	26	4.276315789473684
fungi	671846at2759.faa.mafft	4	1041	23	2.2094140249759846
fungi	673132at2759.faa.mafft	4	502	26	5.179282868525896
fungi	674160at2759.faa.mafft	4	3238	126	3.891290920321186
fungi	674169at2759.faa.mafft	4	1131	16	1.4146772767462423
fungi	679187at2759.faa.mafft	3	1160	0	0.0
fungi	679771at2759.faa.mafft	3	481	0	0.0
fungi	687505at2759.faa.mafft	4	477	18	3.7735849056603774
fungi	692986at2759.faa.mafft	4	1047	32	3.0563514804202483
fungi	708105at2759.faa.mafft	4	553	21	3.7974683544303796
fungi	719531at2759.faa.mafft	4	553	23	4.159132007233273
fungi	720340at2759.faa.mafft	4	508	20	3.937007874015748
fungi	721605at2759.faa.mafft	2	394	0	0.0
fungi	722805at2759.faa.mafft	4	1701	49	2.880658436213992
fungi	734341at2759.faa.mafft	4	452	12	2.6548672566371683
fungi	734666at2759.faa.mafft	4	582	31	5.326460481099656
fungi	736068at2759.faa.mafft	4	613	22	3.5889070146818924
fungi	751335at2759.faa.mafft	4	641	24	3.7441497659906395
fungi	759498at2759.faa.mafft	4	1001	45	4.495504495504496
fungi	761109at2759.faa.mafft	4	889	27	3.0371203599550056
fungi	768809at2759.faa.mafft	4	581	24	4.130808950086059
fungi	774318at2759.faa.mafft	4	1250	18	1.44
fungi	777920at2759.faa.mafft	4	736	34	4.619565217391305
fungi	779909at2759.faa.mafft	4	408	26	6.372549019607843
fungi	801857at2759.faa.mafft	4	804	25	3.109452736318408
fungi	814241at2759.faa.mafft	4	668	20	2.9940119760479043
fungi	817008at2759.faa.mafft	4	494	20	4.048582995951417
fungi	834694at2759.faa.mafft	4	974	31	3.182751540041068
fungi	836599at2759.faa.mafft	4	645	25	3.875968992248062
fungi	83779at2759.faa.mafft	4	720	27	3.75
fungi	844748at2759.faa.mafft	3	695	0	0.0
fungi	855834at2759.faa.mafft	4	868	30	3.456221198156682
fungi	858842at2759.faa.mafft	3	993	0	0.0
fungi	865202at2759.faa.mafft	4	374	15	4.010695187165775
fungi	866359at2759.faa.mafft	4	365	19	5.205479452054795
fungi	869548at2759.faa.mafft	4	306	17	5.555555555555555
fungi	878143at2759.faa.mafft	4	527	26	4.933586337760911
fungi	87842at2759.faa.mafft	4	1367	44	3.218727139722019
fungi	887370at2759.faa.mafft	4	842	23	2.7315914489311166
fungi	891751at2759.faa.mafft	4	873	23	2.6345933562428407
fungi	898782at2759.faa.mafft	4	753	23	3.054448871181939
fungi	901894at2759.faa.mafft	4	859	16	1.8626309662398137
fungi	905026at2759.faa.mafft	4	1172	32	2.7303754266211606
fungi	911863at2759.faa.mafft	4	525	24	4.571428571428571
fungi	917326at2759.faa.mafft	4	808	36	4.455445544554456
fungi	918816at2759.faa.mafft	4	829	24	2.8950542822677927
