target	reads	nearest_exo_distance	nearest_endo_distance	exo_strict	endo_strict	tie	mean_exo_distance	mean_endo_distance
mix	1965	0:710,1:19,3:1,20:6,21:6,22:24,23:55,24:127,25:179,26:212,27:173,28:144,29:151,30:114,31:33,32:11	0:493,1:11,19:1,20:5,21:4,22:22,23:60,24:100,25:201,26:271,27:326,28:279,29:158,30:32,31:2	953	739	273	16.7802	19.7288
endo	395	0:50,1:6,20:3,21:1,22:6,23:17,24:35,25:51,26:52,27:53,28:39,29:45,30:24,31:9,32:4	0:395	0	345	50	22.8658	0.0000
exo	777	0:777	0:56,1:6,20:5,21:1,22:9,23:22,24:48,25:96,26:174,27:182,28:118,29:51,30:9	721	0	56	0.0000	24.2909

# mix read-level classification using nearest unique reference sequence
read_number	d_exo	d_endo	classification
187	0	23	exo
188	0	24	exo
189	1	27	exo
190	27	27	tie
191	0	29	exo
192	28	28	tie
193	0	24	exo
194	20	19	endo
195	28	0	endo
196	26	26	tie
197	27	26	endo
198	0	0	tie
199	0	25	exo
200	30	0	endo
201	25	24	endo
202	29	0	endo
203	27	0	endo
204	25	25	tie
205	28	30	exo
206	0	25	exo
207	0	0	tie
208	28	28	tie
209	0	26	exo
210	29	27	endo
211	0	24	exo
212	31	0	endo
213	30	27	endo
214	22	0	endo
215	0	26	exo
216	29	29	tie
217	0	28	exo
218	0	26	exo
219	29	29	tie
220	0	26	exo
221	24	23	endo
222	0	28	exo
223	31	28	endo
224	28	0	endo
225	26	27	exo
226	0	25	exo
227	0	21	exo
228	0	28	exo
229	0	25	exo
230	0	29	exo
231	27	27	tie
232	0	0	tie
233	24	23	endo
234	26	27	exo
235	25	25	tie
236	31	24	endo
237	27	28	exo
238	24	28	exo
239	26	0	endo
240	0	26	exo
241	31	0	endo
242	23	26	exo
243	22	23	exo
244	0	27	exo
245	0	27	exo
246	24	0	endo
247	0	28	exo
248	25	24	endo
249	0	26	exo
250	0	27	exo
251	29	0	endo
252	0	27	exo
253	24	23	endo
254	29	0	endo
255	0	25	exo
256	23	29	exo
257	29	0	endo
258	26	0	endo
259	25	0	endo
260	22	25	exo
261	0	29	exo
262	30	24	endo
263	0	26	exo
264	27	27	tie
265	0	0	tie
266	0	23	exo
267	28	28	tie
268	29	27	endo
269	28	0	endo
270	30	26	endo
271	0	0	tie
272	25	0	endo
273	28	0	endo
274	26	27	exo
275	24	0	endo
276	27	0	endo
277	23	0	endo
278	0	29	exo
279	28	0	endo
280	28	0	endo
281	0	26	exo
282	0	0	tie
283	25	25	tie
284	23	26	exo
285	28	0	endo
286	0	28	exo
287	28	29	exo
288	27	0	endo
289	27	0	endo
290	0	1	exo
291	0	27	exo
292	23	26	exo
293	27	28	exo
294	25	0	endo
295	22	0	endo
296	0	26	exo
297	0	0	tie
298	30	0	endo
299	0	26	exo
300	29	0	endo
301	27	25	endo
302	0	26	exo
303	0	0	tie
304	0	26	exo
305	29	29	tie
306	28	27	endo
307	28	0	endo
308	26	27	exo
309	0	25	exo
310	23	0	endo
311	0	28	exo
312	26	25	endo
313	0	0	tie
314	26	25	endo
315	25	0	endo
316	25	25	tie
317	25	29	exo
318	24	27	exo
319	27	0	endo
320	29	0	endo
321	26	24	endo
322	0	25	exo
323	28	27	endo
324	0	23	exo
325	0	26	exo
326	25	0	endo
327	25	0	endo
328	28	28	tie
329	21	23	exo
330	0	27	exo
331	26	0	endo
332	26	26	tie
333	25	0	endo
334	29	0	endo
335	0	28	exo
336	24	28	exo
337	24	28	exo
338	28	0	endo
339	0	0	tie
340	0	26	exo
341	1	25	exo
342	0	29	exo
343	0	27	exo
344	24	24	tie
345	31	0	endo
346	0	27	exo
347	0	26	exo
348	28	28	tie
349	24	26	exo
350	0	28	exo
351	0	0	tie
352	25	23	endo
353	22	26	exo
354	0	27	exo
355	0	24	exo
356	0	28	exo
357	26	26	tie
358	0	26	exo
359	0	23	exo
360	25	0	endo
361	27	0	endo
362	0	29	exo
363	25	0	endo
364	0	28	exo
365	0	0	tie
366	24	29	exo
367	0	26	exo
368	25	24	endo
369	0	24	exo
370	24	24	tie
371	29	0	endo
372	29	25	endo
373	26	28	exo
374	30	28	endo
375	0	26	exo
376	28	28	tie
377	26	25	endo
378	0	28	exo
379	25	0	endo
380	27	28	exo
381	0	26	exo
382	30	0	endo
383	29	28	endo
384	30	0	endo
385	24	27	exo
386	25	28	exo
387	0	24	exo
388	0	28	exo
389	25	26	exo
390	23	26	exo
391	0	0	tie
392	29	0	endo
393	27	27	tie
394	25	25	tie
395	30	27	endo
396	29	0	endo
397	24	28	exo
398	27	28	exo
399	22	25	exo
400	24	24	tie
401	30	27	endo
402	1	27	exo
403	28	27	endo
404	26	28	exo
405	23	23	tie
406	26	28	exo
407	31	26	endo
408	27	0	endo
409	0	28	exo
410	29	27	endo
411	0	30	exo
412	0	27	exo
413	24	0	endo
414	27	27	tie
415	0	29	exo
416	0	29	exo
417	24	0	endo
418	0	27	exo
419	20	0	endo
420	24	25	exo
421	26	0	endo
422	0	23	exo
423	26	25	endo
424	27	0	endo
425	0	26	exo
426	26	25	endo
427	0	27	exo
428	26	30	exo
429	24	0	endo
430	24	26	exo
431	31	28	endo
432	28	29	exo
433	27	28	exo
434	0	28	exo
435	30	28	endo
436	29	29	tie
437	0	28	exo
438	25	24	endo
439	0	26	exo
440	23	0	endo
441	27	0	endo
442	30	27	endo
443	28	0	endo
444	28	29	exo
445	0	25	exo
446	0	27	exo
447	31	30	endo
448	0	0	tie
449	32	28	endo
450	28	0	endo
451	29	0	endo
452	28	0	endo
453	25	1	endo
454	27	25	endo
455	1	0	endo
456	0	27	exo
457	28	28	tie
458	26	29	exo
459	0	26	exo
460	0	28	exo
461	21	0	endo
462	27	29	exo
463	24	0	endo
464	0	20	exo
465	29	0	endo
466	27	28	exo
467	30	0	endo
468	29	27	endo
469	27	28	exo
470	0	27	exo
471	24	0	endo
472	30	30	tie
473	0	26	exo
474	0	26	exo
475	27	1	endo
476	30	30	tie
477	27	0	endo
478	25	25	tie
479	25	30	exo
480	32	0	endo
481	22	27	exo
482	0	27	exo
483	26	25	endo
484	0	27	exo
485	0	28	exo
486	26	0	endo
487	27	0	endo
488	27	0	endo
489	0	25	exo
490	23	0	endo
491	27	26	endo
492	25	0	endo
493	29	0	endo
494	29	28	endo
495	0	26	exo
496	27	27	tie
497	25	24	endo
498	24	0	endo
499	0	27	exo
500	0	27	exo
501	0	25	exo
502	25	0	endo
503	0	0	tie
504	26	0	endo
505	28	0	endo
506	0	26	exo
507	0	27	exo
508	27	29	exo
509	0	25	exo
510	25	27	exo
511	23	0	endo
512	25	0	endo
513	29	0	endo
514	0	27	exo
515	0	25	exo
516	27	0	endo
517	28	27	endo
518	28	28	tie
519	29	28	endo
520	27	25	endo
521	28	29	exo
522	0	27	exo
523	27	25	endo
524	0	26	exo
525	0	28	exo
526	26	28	exo
527	0	27	exo
528	30	28	endo
529	24	0	endo
530	27	25	endo
531	0	25	exo
532	0	25	exo
533	0	28	exo
534	0	26	exo
535	26	26	tie
536	25	26	exo
537	29	29	tie
538	24	27	exo
539	0	0	tie
540	0	0	tie
541	24	0	endo
542	0	26	exo
543	24	25	exo
544	0	30	exo
545	20	24	exo
546	26	27	exo
547	28	27	endo
548	26	0	endo
549	24	25	exo
550	0	25	exo
551	0	25	exo
552	1	27	exo
553	26	0	endo
554	23	26	exo
555	24	0	endo
556	28	28	tie
557	0	28	exo
558	0	28	exo
559	24	23	endo
560	28	29	exo
561	26	0	endo
562	28	29	exo
563	0	28	exo
564	28	29	exo
565	0	30	exo
566	0	28	exo
567	24	26	exo
568	24	0	endo
569	29	28	endo
570	0	26	exo
571	27	27	tie
572	0	25	exo
573	0	29	exo
574	29	26	endo
575	0	27	exo
576	27	0	endo
577	26	0	endo
578	0	26	exo
579	25	26	exo
580	30	0	endo
581	0	28	exo
582	25	25	tie
583	0	26	exo
584	22	25	exo
585	25	0	endo
586	25	25	tie
587	0	26	exo
588	25	0	endo
589	29	0	endo
590	29	27	endo
591	0	25	exo
592	27	0	endo
593	25	26	exo
594	0	27	exo
595	0	27	exo
596	25	26	exo
597	25	26	exo
598	26	28	exo
599	26	26	tie
600	32	27	endo
601	0	27	exo
602	24	26	exo
603	27	0	endo
604	29	27	endo
605	30	0	endo
606	0	26	exo
607	24	0	endo
608	30	0	endo
609	0	28	exo
610	29	27	endo
611	30	24	endo
612	26	24	endo
613	23	27	exo
614	0	27	exo
615	0	27	exo
616	0	24	exo
617	29	29	tie
618	25	0	endo
619	27	28	exo
620	0	0	tie
621	27	0	endo
622	27	27	tie
623	0	25	exo
624	30	27	endo
625	29	0	endo
626	0	24	exo
627	26	0	endo
628	28	28	tie
629	0	0	tie
630	0	28	exo
631	0	0	tie
632	0	29	exo
633	0	28	exo
634	25	27	exo
635	32	0	endo
636	28	0	endo
637	0	26	exo
638	29	27	endo
639	26	27	exo
640	0	0	tie
641	0	25	exo
642	26	0	endo
643	0	26	exo
644	26	0	endo
645	28	28	tie
646	29	0	endo
647	26	26	tie
648	25	28	exo
649	0	28	exo
650	26	0	endo
651	23	22	endo
652	26	24	endo
653	26	27	exo
654	26	24	endo
655	24	26	exo
656	23	0	endo
657	25	0	endo
658	0	26	exo
659	0	30	exo
660	0	0	tie
661	26	28	exo
662	26	0	endo
663	27	29	exo
664	27	0	endo
665	0	28	exo
666	27	28	exo
667	0	27	exo
668	0	25	exo
669	0	28	exo
670	25	25	tie
671	30	0	endo
672	0	27	exo
673	29	0	endo
674	0	27	exo
675	0	27	exo
676	25	28	exo
677	0	0	tie
678	25	0	endo
679	0	28	exo
680	0	25	exo
681	23	0	endo
682	0	0	tie
683	25	27	exo
684	25	0	endo
685	0	26	exo
686	0	26	exo
687	0	23	exo
688	30	29	endo
689	29	28	endo
690	27	0	endo
691	0	28	exo
692	25	27	exo
693	0	28	exo
694	30	29	endo
695	26	0	endo
696	26	0	endo
697	26	24	endo
698	27	0	endo
699	0	25	exo
700	0	23	exo
701	25	0	endo
702	27	27	tie
703	0	25	exo
704	0	26	exo
705	0	26	exo
706	0	27	exo
707	30	27	endo
708	26	0	endo
709	28	24	endo
710	26	26	tie
711	0	28	exo
712	26	29	exo
713	0	29	exo
714	27	25	endo
715	0	26	exo
716	25	26	exo
717	30	28	endo
718	29	29	tie
719	26	26	tie
720	0	27	exo
721	22	24	exo
722	25	0	endo
723	26	0	endo
724	0	27	exo
725	24	28	exo
726	0	26	exo
727	27	29	exo
728	0	22	exo
729	30	28	endo
730	0	28	exo
731	0	27	exo
732	0	0	tie
733	0	0	tie
734	27	0	endo
735	27	27	tie
736	25	0	endo
737	28	27	endo
738	27	25	endo
739	0	26	exo
740	0	28	exo
741	26	26	tie
742	28	0	endo
743	27	25	endo
744	0	27	exo
745	26	27	exo
746	27	0	endo
747	0	25	exo
748	27	25	endo
749	30	28	endo
750	26	29	exo
751	26	26	tie
752	23	26	exo
753	25	27	exo
754	29	25	endo
755	29	29	tie
756	27	30	exo
757	25	27	exo
758	0	23	exo
759	29	28	endo
760	26	27	exo
761	0	24	exo
762	0	26	exo
763	30	0	endo
764	26	27	exo
765	28	27	endo
766	26	28	exo
767	0	26	exo
768	0	27	exo
769	0	26	exo
770	30	28	endo
771	0	26	exo
772	0	27	exo
773	28	28	tie
774	23	24	exo
775	28	28	tie
776	0	27	exo
777	25	24	endo
778	0	25	exo
779	0	27	exo
780	26	27	exo
781	30	27	endo
782	29	0	endo
783	24	25	exo
784	26	0	endo
785	0	27	exo
786	27	31	exo
787	26	0	endo
788	30	27	endo
789	0	27	exo
790	25	0	endo
791	30	23	endo
792	30	27	endo
793	27	0	endo
794	23	0	endo
795	25	24	endo
796	0	0	tie
797	0	25	exo
798	0	25	exo
799	0	0	tie
800	26	26	tie
801	26	28	exo
802	0	26	exo
803	30	27	endo
804	26	23	endo
805	25	27	exo
806	0	28	exo
807	0	29	exo
808	0	26	exo
809	27	25	endo
810	28	0	endo
811	25	27	exo
812	22	27	exo
813	27	28	exo
814	28	0	endo
815	1	0	endo
816	0	0	tie
817	28	0	endo
818	26	0	endo
819	26	24	endo
820	27	0	endo
821	28	26	endo
822	1	0	endo
823	26	24	endo
824	25	0	endo
825	0	25	exo
826	1	28	exo
827	0	27	exo
828	0	0	tie
829	1	0	endo
830	24	24	tie
831	26	28	exo
832	0	26	exo
833	28	29	exo
834	0	29	exo
835	0	25	exo
836	0	27	exo
837	0	27	exo
838	28	27	endo
839	29	28	endo
840	28	29	exo
841	26	25	endo
842	26	0	endo
843	25	27	exo
844	0	26	exo
845	0	28	exo
846	25	29	exo
847	24	25	exo
848	26	25	endo
849	25	25	tie
850	0	29	exo
851	0	26	exo
852	31	0	endo
853	26	0	endo
854	25	24	endo
855	27	0	endo
856	23	0	endo
857	0	28	exo
858	27	27	tie
859	27	25	endo
860	0	28	exo
861	0	29	exo
862	30	0	endo
863	25	0	endo
864	0	0	tie
865	0	28	exo
866	0	27	exo
867	24	24	tie
868	25	0	endo
869	26	25	endo
870	0	27	exo
871	0	28	exo
872	0	23	exo
873	0	26	exo
874	27	0	endo
875	26	0	endo
876	31	27	endo
877	0	26	exo
878	0	29	exo
879	29	0	endo
880	27	27	tie
881	1	0	endo
882	26	0	endo
883	28	28	tie
884	28	28	tie
885	1	25	exo
886	0	26	exo
887	27	0	endo
888	29	0	endo
889	0	26	exo
890	0	26	exo
891	24	25	exo
892	0	0	tie
893	27	28	exo
894	30	29	endo
895	0	26	exo
896	0	27	exo
897	24	0	endo
898	0	27	exo
899	1	0	endo
900	30	28	endo
901	0	26	exo
902	26	0	endo
903	30	29	endo
904	0	23	exo
905	27	23	endo
906	26	28	exo
907	0	29	exo
908	0	28	exo
909	25	29	exo
910	26	0	endo
911	0	26	exo
912	0	27	exo
913	30	28	endo
914	0	29	exo
915	28	0	endo
916	26	22	endo
917	26	25	endo
918	0	29	exo
919	28	27	endo
920	28	28	tie
921	27	0	endo
922	25	28	exo
923	0	0	tie
924	26	25	endo
925	23	0	endo
926	0	25	exo
927	0	26	exo
928	0	27	exo
929	1	29	exo
930	0	0	tie
931	0	27	exo
932	25	23	endo
933	29	29	tie
934	28	0	endo
935	0	26	exo
936	25	21	endo
937	0	29	exo
938	0	28	exo
939	26	0	endo
940	20	0	endo
941	31	0	endo
942	24	26	exo
943	0	0	tie
944	31	26	endo
945	0	0	tie
946	24	24	tie
947	24	23	endo
948	0	28	exo
949	0	27	exo
950	27	0	endo
951	0	26	exo
952	30	28	endo
953	31	28	endo
954	0	28	exo
955	26	29	exo
956	29	0	endo
957	29	0	endo
958	0	27	exo
959	22	25	exo
960	30	26	endo
961	30	29	endo
962	26	0	endo
963	0	27	exo
964	31	25	endo
965	27	25	endo
966	24	29	exo
967	30	0	endo
968	30	24	endo
969	24	24	tie
970	29	0	endo
971	28	28	tie
972	0	25	exo
973	30	28	endo
974	28	28	tie
975	27	26	endo
976	0	27	exo
977	25	25	tie
978	28	25	endo
979	27	27	tie
980	30	27	endo
981	24	23	endo
982	0	27	exo
983	21	26	exo
984	26	26	tie
985	25	27	exo
986	0	27	exo
987	25	0	endo
988	0	25	exo
989	29	0	endo
990	30	28	endo
991	0	27	exo
992	30	25	endo
993	29	25	endo
994	26	0	endo
995	0	27	exo
996	0	29	exo
997	27	26	endo
998	30	0	endo
999	0	27	exo
1000	31	0	endo
1001	0	27	exo
1002	26	29	exo
1003	0	24	exo
1004	0	27	exo
1005	28	28	tie
1006	29	27	endo
1007	29	29	tie
1008	30	24	endo
1009	24	22	endo
1010	28	31	exo
1011	31	28	endo
1012	27	26	endo
1013	0	25	exo
1014	29	0	endo
1015	27	25	endo
1016	26	0	endo
1017	26	0	endo
1018	26	23	endo
1019	26	30	exo
1020	26	27	exo
1021	25	0	endo
1022	29	22	endo
1023	0	26	exo
1024	24	0	endo
1025	0	26	exo
1026	28	27	endo
1027	27	0	endo
1028	0	24	exo
1029	26	25	endo
1030	29	28	endo
1031	25	0	endo
1032	26	26	tie
1033	0	25	exo
1034	27	29	exo
1035	25	28	exo
1036	0	27	exo
1037	0	23	exo
1038	27	27	tie
1039	24	20	endo
1040	0	26	exo
1041	29	25	endo
1042	27	0	endo
1043	0	26	exo
1044	26	26	tie
1045	0	27	exo
1046	25	24	endo
1047	24	24	tie
1048	32	27	endo
1049	0	27	exo
1050	27	28	exo
1051	30	0	endo
1052	0	28	exo
1053	27	1	endo
1054	0	25	exo
1055	0	27	exo
1056	21	25	exo
1057	30	0	endo
1058	28	29	exo
1059	0	0	tie
1060	24	24	tie
1061	24	26	exo
1062	24	28	exo
1063	0	24	exo
1064	27	29	exo
1065	0	29	exo
1066	31	28	endo
1067	27	22	endo
1068	0	0	tie
1069	27	25	endo
1070	0	27	exo
1071	27	29	exo
1072	27	28	exo
1073	0	29	exo
1074	23	23	tie
1075	27	27	tie
1076	23	25	exo
1077	29	28	endo
1078	26	28	exo
1079	29	28	endo
1080	0	27	exo
1081	0	26	exo
1082	24	0	endo
1083	26	28	exo
1084	0	25	exo
1085	0	26	exo
1086	29	0	endo
1087	24	26	exo
1088	0	25	exo
1089	0	27	exo
1090	25	0	endo
1091	0	28	exo
1092	28	0	endo
1093	0	28	exo
1094	0	26	exo
1095	0	22	exo
1096	26	28	exo
1097	26	0	endo
1098	23	26	exo
1099	28	29	exo
1100	30	25	endo
1101	29	0	endo
1102	0	27	exo
1103	0	28	exo
1104	28	0	endo
1105	0	26	exo
1106	28	0	endo
1107	0	24	exo
1108	0	26	exo
1109	0	25	exo
1110	26	23	endo
1111	0	20	exo
1112	28	28	tie
1113	0	27	exo
1114	28	0	endo
1115	23	25	exo
1116	0	27	exo
1117	0	0	tie
1118	0	0	tie
1119	26	25	endo
1120	29	0	endo
1121	29	0	endo
1122	30	28	endo
1123	26	25	endo
1124	30	27	endo
1125	0	0	tie
1126	30	27	endo
1127	27	0	endo
1128	27	28	exo
1129	26	28	exo
1130	26	0	endo
1131	28	0	endo
1132	29	28	endo
1133	25	25	tie
1134	27	25	endo
1135	28	26	endo
1136	24	0	endo
1137	25	0	endo
1138	26	27	exo
1139	28	27	endo
1140	28	27	endo
1141	26	26	tie
1142	27	0	endo
1143	27	28	exo
1144	25	0	endo
1145	29	25	endo
1146	0	26	exo
1147	24	23	endo
1148	0	0	tie
1149	30	27	endo
1150	26	27	exo
1151	26	24	endo
1152	25	25	tie
1153	29	0	endo
1154	0	26	exo
1155	24	24	tie
1156	0	25	exo
1157	0	24	exo
1158	27	25	endo
1159	27	28	exo
1160	26	28	exo
1161	0	0	tie
1162	28	26	endo
1163	29	0	endo
1164	26	30	exo
1165	0	27	exo
1166	31	29	endo
1167	26	26	tie
1168	0	26	exo
1169	0	27	exo
1170	25	22	endo
1171	0	27	exo
1172	22	0	endo
1173	30	29	endo
1174	26	27	exo
1175	26	27	exo
1176	0	27	exo
1177	29	26	endo
1178	26	27	exo
1179	32	0	endo
1180	25	27	exo
1181	0	27	exo
1182	25	24	endo
1183	0	27	exo
1184	0	23	exo
1185	27	0	endo
1186	25	26	exo
1187	31	28	endo
1188	30	0	endo
1189	30	26	endo
1190	23	23	tie
1191	0	26	exo
1192	25	27	exo
1193	0	22	exo
1194	25	27	exo
1195	24	0	endo
1196	23	0	endo
1197	0	25	exo
1198	0	26	exo
1199	28	25	endo
1200	28	28	tie
1201	25	0	endo
1202	0	26	exo
1203	30	30	tie
1204	0	25	exo
1205	29	30	exo
1206	24	24	tie
1207	29	29	tie
1208	0	0	tie
1209	25	25	tie
1210	0	28	exo
1211	28	29	exo
1212	0	28	exo
1213	30	27	endo
1214	29	24	endo
1215	0	25	exo
1216	0	0	tie
1217	0	28	exo
1218	25	22	endo
1219	0	27	exo
1220	0	28	exo
1221	0	28	exo
1222	0	27	exo
1223	28	26	endo
1224	24	28	exo
1225	29	0	endo
1226	29	29	tie
1227	0	25	exo
1228	26	26	tie
1229	26	0	endo
1230	28	25	endo
1231	25	26	exo
1232	27	27	tie
1233	0	0	tie
1234	23	0	endo
1235	0	26	exo
1236	0	28	exo
1237	26	26	tie
1238	30	27	endo
1239	28	0	endo
1240	0	0	tie
1241	0	25	exo
1242	0	28	exo
1243	0	27	exo
1244	26	27	exo
1245	0	25	exo
1246	26	28	exo
1247	0	24	exo
1248	0	25	exo
1249	29	26	endo
1250	31	26	endo
1251	30	0	endo
1252	28	0	endo
1253	30	24	endo
1254	26	22	endo
1255	26	0	endo
1256	25	26	exo
1257	28	28	tie
1258	26	26	tie
1259	24	26	exo
1260	0	26	exo
1261	29	30	exo
1262	27	27	tie
1263	27	28	exo
1264	30	26	endo
1265	0	29	exo
1266	0	0	tie
1267	0	26	exo
1268	29	29	tie
1269	28	28	tie
1270	0	25	exo
1271	27	0	endo
1272	0	26	exo
1273	27	28	exo
1274	22	22	tie
1275	29	29	tie
1276	0	27	exo
1277	0	26	exo
1278	28	0	endo
1279	27	29	exo
1280	27	0	endo
1281	26	26	tie
1282	26	28	exo
1283	0	27	exo
1284	0	26	exo
1285	26	23	endo
1286	0	20	exo
1287	26	28	exo
1288	26	27	exo
1289	29	28	endo
1290	0	0	tie
1291	0	0	tie
1292	0	28	exo
1293	0	26	exo
1294	0	24	exo
1295	28	24	endo
1296	28	27	endo
1297	0	26	exo
1298	29	0	endo
1299	27	29	exo
1300	0	0	tie
1301	0	26	exo
1302	25	25	tie
1303	0	29	exo
1304	26	0	endo
1305	25	0	endo
1306	30	24	endo
1307	27	27	tie
1308	0	0	tie
1309	24	22	endo
1310	0	29	exo
1311	0	27	exo
1312	26	27	exo
1313	0	28	exo
1314	0	28	exo
1315	0	24	exo
1316	22	23	exo
1317	21	27	exo
1318	29	30	exo
1319	0	28	exo
1320	0	24	exo
1321	0	0	tie
1322	0	25	exo
1323	1	24	exo
1324	29	28	endo
1325	24	23	endo
1326	23	23	tie
1327	0	28	exo
1328	27	0	endo
1329	26	25	endo
1330	0	0	tie
1331	30	27	endo
1332	31	0	endo
1333	0	27	exo
1334	0	26	exo
1335	0	26	exo
1336	24	25	exo
1337	29	25	endo
1338	0	28	exo
1339	0	0	tie
1340	0	24	exo
1341	0	23	exo
1342	0	0	tie
1343	29	29	tie
1344	23	25	exo
1345	31	28	endo
1346	0	27	exo
1347	29	27	endo
1348	24	25	exo
1349	0	0	tie
1350	26	28	exo
1351	0	26	exo
1352	0	26	exo
1353	0	26	exo
1354	24	23	endo
1355	29	27	endo
1356	27	27	tie
1357	25	24	endo
1358	28	28	tie
1359	31	29	endo
1360	0	0	tie
1361	25	27	exo
1362	31	28	endo
1363	0	1	exo
1364	28	0	endo
1365	0	27	exo
1366	0	26	exo
1367	30	24	endo
1368	27	28	exo
1369	26	28	exo
1370	29	0	endo
1371	27	25	endo
1372	24	0	endo
1373	26	27	exo
1374	24	0	endo
1375	0	26	exo
1376	24	22	endo
1377	26	28	exo
1378	26	26	tie
1379	27	28	exo
1380	26	26	tie
1381	25	22	endo
1382	27	29	exo
1383	29	27	endo
1384	24	26	exo
1385	0	24	exo
1386	0	26	exo
1387	26	23	endo
1388	28	29	exo
1389	28	28	tie
1390	25	0	endo
1391	29	29	tie
1392	29	27	endo
1393	0	0	tie
1394	25	23	endo
1395	28	0	endo
1396	30	26	endo
1397	27	0	endo
1398	0	28	exo
1399	28	0	endo
1400	27	0	endo
1401	0	0	tie
1402	31	29	endo
1403	28	28	tie
1404	29	27	endo
1405	26	0	endo
1406	20	26	exo
1407	25	0	endo
1408	31	0	endo
1409	0	26	exo
1410	24	0	endo
1411	0	28	exo
1412	29	29	tie
1413	0	0	tie
1414	28	28	tie
1415	0	25	exo
1416	30	29	endo
1417	25	25	tie
1418	24	26	exo
1419	28	26	endo
