guide	target_gene
CPSF6-I5	CPSF6
CPSF2-I1	CPSF2
CSTF3-I5	CSTF3
NT-I2	NT
CSTF2-I4	CSTF2
CPSF6-I5	CPSF6
CTR9-I7	CTR9
PAPOLA-I3	PAPOLA
PHF3-I5	PHF3
NT-I1	NT
PABPC1-I1	PABPC1
NT-I10	NT
CPSF2-I1	CPSF2
PHF3-I5	PHF3
NT-I1	NT
SRSF3-I1	SRSF3
CPSF4-I8	CPSF4
SF3A1-I5	SF3A1
CPSF3-I3	CPSF3
CSTF3-I5	CSTF3
NT-I9	NT
FIP1L1-I1	FIP1L1
RBBP6-I4	RBBP6
NT-I5	NT
NT-I8	NT
CSTF3-I5	CSTF3
PCF11-I5	PCF11
NUDT21-I3	NUDT21
CPSF3-I3	CPSF3
NT-I3	NT
RBBP6-I4	RBBP6
NT-I10	NT
NT-I10	NT
PHF3-I5	PHF3
NUDT21-I3	NUDT21
RPRD1B-I1	RPRD1B
SCAF11-I3	SCAF11
NT-I3	NT
NT-I2	NT
PAPOLA-I3	PAPOLA
CPSF2-I1	CPSF2
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
NUDT21-I3	NUDT21
NUDT21-I3	NUDT21
CSTF3-I5	CSTF3
LEO1-I2	LEO1
FIP1L1-I1	FIP1L1
LEO1-I2	LEO1
LEO1-I2	LEO1
NT-I10	NT
CPSF7-I1	CPSF7
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
RPRD1B-I1	RPRD1B
PCF11-I5	PCF11
NT-I9	NT
CPSF2-I1	CPSF2
CPSF3-I3	CPSF3
CSTF3-I5	CSTF3
SCAF1-I2	SCAF1
NT-I6	NT
SCAF8-I3	SCAF8
PABPC1-I1	PABPC1
CPSF6-I5	CPSF6
CSTF3-I5	CSTF3
RPRD1B-I1	RPRD1B
NT-I2	NT
RPRD1A-I5	RPRD1A
SCAF8-I3	SCAF8
CPSF2-I1	CPSF2
CPSF1-I3	CPSF1
CTR9-I7	CTR9
LEO1-I2	LEO1
NT-I3	NT
CPSF1-I3	CPSF1
CPSF6-I5	CPSF6
NT-I10	NT
CDC73-I2	CDC73
SCAF8-I3	SCAF8
NT-I2	NT
NUDT21-I3	NUDT21
SCAF1-I2	SCAF1
CPSF4-I8	CPSF4
SCAF4-I4	SCAF4
CPSF1-I3	CPSF1
CSTF3-I5	CSTF3
CPSF1-I3	CPSF1
PCF11-I5	PCF11
CTR9-I7	CTR9
RPRD1B-I1	RPRD1B
SCAF11-I3	SCAF11
SCAF4-I4	SCAF4
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
NT-I3	NT
PHF3-I5	PHF3
CPSF1-I3	CPSF1
SCAF11-I3	SCAF11
CPSF7-I1	CPSF7
CPSF7-I1	CPSF7
PHF3-I5	PHF3
NT-I2	NT
CPSF1-I3	CPSF1
CSTF3-I5	CSTF3
NT-I2	NT
SCAF4-I4	SCAF4
FIP1L1-I1	FIP1L1
NUDT21-I3	NUDT21
LEO1-I2	LEO1
CPSF4-I8	CPSF4
RBBP6-I4	RBBP6
RPRD1A-I5	RPRD1A
SCAF8-I3	SCAF8
CPSF1-I3	CPSF1
SCAF4-I4	SCAF4
FIP1L1-I1	FIP1L1
NT-I7	NT
NT-I1	NT
NT-I5	NT
PAPOLA-I3	PAPOLA
NT-I3	NT
SCAF8-I3	SCAF8
PAPOLA-I3	PAPOLA
PHF3-I5	PHF3
CPSF1-I3	CPSF1
NT-I6	NT
CPSF2-I1	CPSF2
CTR9-I7	CTR9
SCAF8-I3	SCAF8
SCAF8-I3	SCAF8
CPSF3-I3	CPSF3
CSTF2-I4	CSTF2
NT-I2	NT
CSTF3-I5	CSTF3
SCAF1-I2	SCAF1
RBBP6-I4	RBBP6
NT-I10	NT
SCAF1-I2	SCAF1
SCAF11-I3	SCAF11
CPSF4-I8	CPSF4
SCAF11-I3	SCAF11
SCAF11-I3	SCAF11
RPRD1B-I1	RPRD1B
CPSF4-I8	CPSF4
RPRD1B-I1	RPRD1B
CPSF2-I1	CPSF2
NT-I10	NT
NT-I10	NT
SCAF11-I3	SCAF11
CPSF3-I3	CPSF3
CPSF3-I3	CPSF3
CPSF1-I3	CPSF1
CSTF2-I4	CSTF2
CPSF2-I1	CPSF2
NT-I6	NT
CPSF7-I1	CPSF7
CPSF2-I1	CPSF2
RPRD1A-I5	RPRD1A
CPSF1-I3	CPSF1
RBBP6-I4	RBBP6
NT-I10	NT
NUDT21-I3	NUDT21
NUDT21-I3	NUDT21
PAPOLA-I3	PAPOLA
NT-I5	NT
PAPOLA-I3	PAPOLA
CSTF1-I5	CSTF1
PHF3-I5	PHF3
CPSF1-I3	CPSF1
NUDT21-I3	NUDT21
LEO1-I2	LEO1
NT-I9	NT
RPRD1A-I5	RPRD1A
NT-I6	NT
NT-I2	NT
CPSF2-I1	CPSF2
NT-I2	NT
NT-I8	NT
SCAF11-I3	SCAF11
NT-I9	NT
RPRD1B-I1	RPRD1B
SCAF4-I4	SCAF4
CDC73-I2	CDC73
LEO1-I2	LEO1
LEO1-I2	LEO1
NT-I7	NT
RPRD1A-I5	RPRD1A
PABPC1-I1	PABPC1
CPSF1-I3	CPSF1
SCAF8-I3	SCAF8
CDC73-I2	CDC73
SCAF8-I3	SCAF8
PHF3-I5	PHF3
PAPOLA-I3	PAPOLA
PABPN1-I2	PABPN1
SCAF4-I4	SCAF4
NT-I5	NT
NUDT21-I3	NUDT21
CPSF7-I1	CPSF7
CPSF6-I5	CPSF6
CPSF6-I5	CPSF6
NUDT21-I3	NUDT21
SCAF1-I2	SCAF1
PABPC1-I1	PABPC1
PHF3-I5	PHF3
RBBP6-I4	RBBP6
CTR9-I7	CTR9
PHF3-I5	PHF3
RBBP6-I4	RBBP6
RPRD1A-I5	RPRD1A
LEO1-I2	LEO1
NT-I10	NT
NT-I10	NT
PABPC1-I1	PABPC1
NT-I9	NT
SCAF4-I4	SCAF4
CPSF3-I3	CPSF3
NUDT21-I3	NUDT21
SCAF11-I3	SCAF11
NT-I2	NT
CPSF7-I1	CPSF7
CSTF2-I4	CSTF2
CDC73-I2	CDC73
PHF3-I5	PHF3
SCAF4-I4	SCAF4
RBBP6-I4	RBBP6
SCAF4-I4	SCAF4
CPSF7-I1	CPSF7
NT-I6	NT
NT-I3	NT
PABPC1-I1	PABPC1
NT-I1	NT
RPRD1A-I5	RPRD1A
NT-I9	NT
NT-I2	NT
NT-I8	NT
CPSF4-I8	CPSF4
CPSF7-I1	CPSF7
CTR9-I7	CTR9
RPRD1B-I1	RPRD1B
CPSF1-I3	CPSF1
SCAF1-I2	SCAF1
LEO1-I2	LEO1
NUDT21-I3	NUDT21
SCAF8-I3	SCAF8
CPSF3L-I8	CPSF3L
RPRD1B-I1	RPRD1B
NT-I1	NT
NUDT21-I3	NUDT21
NT-I10	NT
SCAF1-I2	SCAF1
SRSF3-I1	SRSF3
CPSF1-I3	CPSF1
SCAF11-I3	SCAF11
CPSF1-I3	CPSF1
CPSF7-I1	CPSF7
SCAF4-I4	SCAF4
CPSF1-I3	CPSF1
NT-I6	NT
CPSF7-I1	CPSF7
SCAF8-I3	SCAF8
SCAF1-I2	SCAF1
NT-I7	NT
CPSF1-I3	CPSF1
LEO1-I2	LEO1
LEO1-I2	LEO1
PAPOLA-I3	PAPOLA
CPSF1-I3	CPSF1
CPSF2-I1	CPSF2
CPSF1-I3	CPSF1
NT-I10	NT
CDC73-I2	CDC73
CPSF7-I1	CPSF7
RPRD1B-I1	RPRD1B
CPSF7-I1	CPSF7
PHF3-I5	PHF3
RBBP6-I4	RBBP6
CPSF6-I5	CPSF6
CPSF7-I1	CPSF7
NT-I8	NT
PHF3-I5	PHF3
NUDT21-I3	NUDT21
PHF3-I5	PHF3
CPSF6-I5	CPSF6
RBBP6-I4	RBBP6
CDC73-I2	CDC73
NT-I3	NT
RPRD1B-I1	RPRD1B
LEO1-I2	LEO1
SCAF1-I2	SCAF1
NT-I4	NT
NT-I9	NT
SCAF4-I4	SCAF4
LEO1-I2	LEO1
SCAF11-I3	SCAF11
SCAF1-I2	SCAF1
CSTF3-I5	CSTF3
SCAF8-I3	SCAF8
FIP1L1-I1	FIP1L1
CPSF7-I1	CPSF7
CPSF7-I1	CPSF7
CPSF7-I1	CPSF7
SCAF8-I3	SCAF8
NT-I1	NT
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
NT-I1	NT
CTR9-I7	CTR9
CTR9-I7	CTR9
CDC73-I2	CDC73
NT-I6	NT
NUDT21-I3	NUDT21
CDC73-I2	CDC73
NUDT21-I3	NUDT21
CTR9-I7	CTR9
CSTF2-I4	CSTF2
PHF3-I5	PHF3
CPSF1-I3	CPSF1
CTR9-I7	CTR9
THOC5-I1	THOC5
SCAF4-I4	SCAF4
NT-I1	NT
SRSF3-I1	SRSF3
CPSF1-I3	CPSF1
NT-I7	NT
NT-I10	NT
SCAF11-I3	SCAF11
CTR9-I7	CTR9
NT-I10	NT
THOC5-I1	THOC5
SCAF4-I4	SCAF4
NT-I3	NT
NT-I10	NT
CPSF1-I3	CPSF1
CPSF7-I1	CPSF7
NT-I9	NT
NT-I10	NT
CPSF3-I3	CPSF3
SCAF11-I3	SCAF11
CPSF3-I3	CPSF3
SCAF11-I3	SCAF11
CPSF7-I1	CPSF7
NT-I6	NT
NT-I1	NT
RPRD1A-I5	RPRD1A
SCAF4-I4	SCAF4
NT-I10	NT
NT-I3	NT
CPSF7-I1	CPSF7
NT-I6	NT
PABPC1-I1	PABPC1
CPSF4-I8	CPSF4
CPSF1-I3	CPSF1
NT-I2	NT
CPSF1-I3	CPSF1
CTR9-I7	CTR9
CPSF6-I5	CPSF6
PHF3-I5	PHF3
PAPOLA-I3	PAPOLA
FIP1L1-I1	FIP1L1
NT-I2	NT
SCAF11-I3	SCAF11
PCF11-I5	PCF11
PAPOLA-I3	PAPOLA
NT-I2	NT
CPSF7-I1	CPSF7
CPSF2-I1	CPSF2
CPSF2-I1	CPSF2
NT-I3	NT
SCAF4-I4	SCAF4
NT-I4	NT
CPSF3-I3	CPSF3
CPSF6-I5	CPSF6
RPRD1B-I1	RPRD1B
LEO1-I2	LEO1
CPSF3-I3	CPSF3
NT-I1	NT
RPRD1A-I5	RPRD1A
CPSF7-I1	CPSF7
SCAF4-I4	SCAF4
NT-I9	NT
CPSF1-I3	CPSF1
RBBP6-I4	RBBP6
CPSF3-I3	CPSF3
NT-I2	NT
NUDT21-I3	NUDT21
CSTF3-I5	CSTF3
CSTF3-I5	CSTF3
SRSF3-I1	SRSF3
NT-I6	NT
CTR9-I7	CTR9
NT-I9	NT
SCAF4-I4	SCAF4
SCAF1-I2	SCAF1
NT-I7	NT
CPSF1-I3	CPSF1
CDC73-I2	CDC73
NT-I4	NT
NT-I2	NT
PHF3-I5	PHF3
CDC73-I2	CDC73
CSTF2-I4	CSTF2
CPSF1-I3	CPSF1
CPSF3-I3	CPSF3
CPSF3-I3	CPSF3
SCAF1-I2	SCAF1
RPRD1B-I1	RPRD1B
CPSF6-I5	CPSF6
NT-I10	NT
SCAF8-I3	SCAF8
PHF3-I5	PHF3
CPSF2-I1	CPSF2
NUDT21-I3	NUDT21
NT-I10	NT
PHF3-I5	PHF3
CTR9-I7	CTR9
CPSF2-I1	CPSF2
RPRD1B-I1	RPRD1B
CSTF3-I5	CSTF3
NUDT21-I3	NUDT21
NT-I10	NT
CPSF3-I3	CPSF3
CTR9-I7	CTR9
CPSF6-I5	CPSF6
CTR9-I7	CTR9
PAF1-I6	PAF1
SCAF1-I2	SCAF1
CPSF1-I3	CPSF1
NT-I2	NT
CSTF2-I4	CSTF2
SRSF3-I1	SRSF3
SCAF11-I3	SCAF11
CPSF2-I1	CPSF2
CPSF1-I3	CPSF1
SCAF8-I3	SCAF8
RPRD1A-I5	RPRD1A
CPSF3L-I8	CPSF3L
CDC73-I2	CDC73
RPRD1B-I1	RPRD1B
LEO1-I2	LEO1
NT-I7	NT
CDC73-I2	CDC73
NT-I10	NT
CPSF3L-I8	CPSF3L
NT-I4	NT
CSTF2-I4	CSTF2
RBBP6-I4	RBBP6
LEO1-I2	LEO1
NT-I10	NT
NT-I10	NT
SCAF8-I3	SCAF8
NT-I6	NT
PHF3-I5	PHF3
SCAF11-I3	SCAF11
CDC73-I2	CDC73
NT-I8	NT
NT-I7	NT
CPSF1-I3	CPSF1
FIP1L1-I1	FIP1L1
LEO1-I2	LEO1
NT-I8	NT
PABPC1-I1	PABPC1
NT-I1	NT
RPRD1B-I1	RPRD1B
CSTF2-I4	CSTF2
CPSF3-I3	CPSF3
SCAF8-I3	SCAF8
NUDT21-I3	NUDT21
CPSF7-I1	CPSF7
NUDT21-I3	NUDT21
SCAF8-I3	SCAF8
NT-I8	NT
NT-I7	NT
SCAF4-I4	SCAF4
RPRD1B-I1	RPRD1B
CPSF2-I1	CPSF2
PABPC1-I1	PABPC1
PAPOLA-I3	PAPOLA
NT-I7	NT
CPSF2-I1	CPSF2
NT-I10	NT
LEO1-I2	LEO1
CPSF7-I1	CPSF7
NT-I4	NT
SCAF4-I4	SCAF4
PAPOLA-I3	PAPOLA
CPSF7-I1	CPSF7
CPSF3-I3	CPSF3
NT-I10	NT
SCAF11-I3	SCAF11
CSTF3-I5	CSTF3
SRSF3-I1	SRSF3
CPSF3-I3	CPSF3
CPSF7-I1	CPSF7
LEO1-I2	LEO1
SCAF8-I3	SCAF8
SYMPK-I3	SYMPK
CPSF4-I8	CPSF4
NT-I10	NT
NT-I8	NT
NT-I8	NT
CPSF1-I3	CPSF1
CPSF7-I1	CPSF7
RPRD1B-I1	RPRD1B
CPSF6-I5	CPSF6
NUDT21-I3	NUDT21
SCAF4-I4	SCAF4
CSTF2-I4	CSTF2
PAPOLA-I3	PAPOLA
LEO1-I2	LEO1
CTR9-I7	CTR9
NT-I6	NT
LEO1-I2	LEO1
PAPOLA-I3	PAPOLA
NT-I10	NT
NT-I3	NT
CDC73-I2	CDC73
CPSF7-I1	CPSF7
PAPOLA-I3	PAPOLA
SCAF11-I3	SCAF11
CTR9-I7	CTR9
NT-I4	NT
LEO1-I2	LEO1
SCAF8-I3	SCAF8
RPAP2-I2	RPAP2
CPSF4-I8	CPSF4
CPSF6-I5	CPSF6
NT-I3	NT
SCAF1-I2	SCAF1
CPSF1-I3	CPSF1
SCAF4-I4	SCAF4
LEO1-I2	LEO1
CPSF3-I3	CPSF3
CPSF2-I1	CPSF2
CPSF2-I1	CPSF2
NT-I10	NT
SCAF11-I3	SCAF11
CPSF1-I3	CPSF1
NT-I2	NT
CPSF2-I1	CPSF2
CPSF1-I3	CPSF1
CPSF2-I1	CPSF2
SCAF4-I4	SCAF4
LEO1-I2	LEO1
CPSF3-I3	CPSF3
SCAF4-I4	SCAF4
PHF3-I5	PHF3
NT-I10	NT
SCAF11-I3	SCAF11
RPRD1B-I1	RPRD1B
SCAF4-I4	SCAF4
CSTF3-I5	CSTF3
CPSF7-I1	CPSF7
CPSF2-I1	CPSF2
PHF3-I5	PHF3
CPSF3L-I8	CPSF3L
CSTF2-I4	CSTF2
RPAP2-I2	RPAP2
CPSF7-I1	CPSF7
NT-I4	NT
CTR9-I7	CTR9
CPSF7-I1	CPSF7
CSTF3-I5	CSTF3
SCAF4-I4	SCAF4
SCAF11-I3	SCAF11
CPSF6-I5	CPSF6
CPSF6-I5	CPSF6
CPSF1-I3	CPSF1
CPSF3-I3	CPSF3
CPSF3-I3	CPSF3
NT-I7	NT
FIP1L1-I1	FIP1L1
NT-I4	NT
PAPOLA-I3	PAPOLA
NT-I9	NT
CPSF3-I3	CPSF3
CPSF1-I3	CPSF1
PCF11-I5	PCF11
CPSF7-I1	CPSF7
RPRD1B-I1	RPRD1B
CPSF1-I3	CPSF1
RPRD1B-I1	RPRD1B
NT-I10	NT
CPSF1-I3	CPSF1
RPRD1A-I5	RPRD1A
NT-I8	NT
LEO1-I2	LEO1
RPRD1B-I1	RPRD1B
NUDT21-I3	NUDT21
CPSF3-I3	CPSF3
NUDT21-I3	NUDT21
LEO1-I2	LEO1
CPSF1-I3	CPSF1
LEO1-I2	LEO1
SCAF8-I3	SCAF8
CPSF4-I8	CPSF4
NUDT21-I3	NUDT21
PCF11-I5	PCF11
PABPC1-I1	PABPC1
SCAF11-I3	SCAF11
NT-I10	NT
PABPC1-I1	PABPC1
PAPOLA-I3	PAPOLA
CPSF1-I3	CPSF1
NT-I3	NT
CPSF2-I1	CPSF2
PCF11-I5	PCF11
NT-I8	NT
PABPC1-I1	PABPC1
CSTF2-I4	CSTF2
CPSF1-I3	CPSF1
CSTF3-I5	CSTF3
SCAF8-I3	SCAF8
CTR9-I7	CTR9
CSTF1-I5	CSTF1
SCAF4-I4	SCAF4
NUDT21-I3	NUDT21
RPRD1A-I5	RPRD1A
CPSF1-I3	CPSF1
SCAF4-I4	SCAF4
SCAF11-I3	SCAF11
PHF3-I5	PHF3
RPRD1A-I5	RPRD1A
PAF1-I6	PAF1
NT-I9	NT
NT-I10	NT
CPSF1-I3	CPSF1
CPSF7-I1	CPSF7
LEO1-I2	LEO1
PABPC1-I1	PABPC1
NT-I10	NT
NT-I8	NT
NT-I5	NT
CDC73-I2	CDC73
SCAF11-I3	SCAF11
NT-I3	NT
SCAF8-I3	SCAF8
SCAF1-I2	SCAF1
CDC73-I2	CDC73
RBBP6-I4	RBBP6
CPSF3L-I8	CPSF3L
CPSF4-I8	CPSF4
NT-I10	NT
CSTF2-I4	CSTF2
CPSF2-I1	CPSF2
NUDT21-I3	NUDT21
PAPOLA-I3	PAPOLA
CPSF1-I3	CPSF1
PAPOLA-I3	PAPOLA
LEO1-I2	LEO1
PAPOLA-I3	PAPOLA
PAF1-I6	PAF1
CPSF3-I3	CPSF3
NT-I7	NT
CSTF1-I5	CSTF1
PHF3-I5	PHF3
CPSF1-I3	CPSF1
CDC73-I2	CDC73
PHF3-I5	PHF3
NT-I9	NT
CSTF2-I4	CSTF2
SCAF11-I3	SCAF11
CPSF3L-I8	CPSF3L
CPSF3L-I8	CPSF3L
SCAF4-I4	SCAF4
CPSF2-I1	CPSF2
FIP1L1-I1	FIP1L1
CPSF1-I3	CPSF1
CPSF6-I5	CPSF6
PCF11-I5	PCF11
PABPN1-I2	PABPN1
PABPN1-I2	PABPN1
CPSF3-I3	CPSF3
NT-I5	NT
CDC73-I2	CDC73
CPSF1-I3	CPSF1
SCAF1-I2	SCAF1
PAPOLA-I3	PAPOLA
LEO1-I2	LEO1
CSTF3-I5	CSTF3
CPSF3-I3	CPSF3
PAPOLA-I3	PAPOLA
NT-I2	NT
SCAF8-I3	SCAF8
CPSF2-I1	CPSF2
CSTF2-I4	CSTF2
CSTF3-I5	CSTF3
NUDT21-I3	NUDT21
NT-I6	NT
CPSF6-I5	CPSF6
CPSF3-I3	CPSF3
PCF11-I5	PCF11
CPSF3-I3	CPSF3
CPSF1-I3	CPSF1
NUDT21-I3	NUDT21
CSTF3-I5	CSTF3
NT-I4	NT
NT-I8	NT
NT-I7	NT
CDC73-I2	CDC73
PABPC1-I1	PABPC1
LEO1-I2	LEO1
RPRD1A-I5	RPRD1A
SCAF8-I3	SCAF8
SCAF11-I3	SCAF11
CPSF3-I3	CPSF3
NT-I6	NT
CDC73-I2	CDC73
NT-I6	NT
CPSF1-I3	CPSF1
CPSF2-I1	CPSF2
SCAF11-I3	SCAF11
CSTF3-I5	CSTF3
FIP1L1-I1	FIP1L1
PAPOLA-I3	PAPOLA
NT-I6	NT
CPSF3-I3	CPSF3
NT-I2	NT
CPSF1-I3	CPSF1
PAPOLA-I3	PAPOLA
RPRD1A-I5	RPRD1A
NT-I10	NT
SCAF11-I3	SCAF11
RPRD1B-I1	RPRD1B
CPSF7-I1	CPSF7
RPRD1B-I1	RPRD1B
SCAF1-I2	SCAF1
CPSF7-I1	CPSF7
RPRD1A-I5	RPRD1A
FIP1L1-I1	FIP1L1
PAPOLA-I3	PAPOLA
CPSF1-I3	CPSF1
CPSF2-I1	CPSF2
CSTF2-I4	CSTF2
RBBP6-I4	RBBP6
RBBP6-I4	RBBP6
CPSF7-I1	CPSF7
LEO1-I2	LEO1
LEO1-I2	LEO1
PAF1-I6	PAF1
NT-I10	NT
NT-I9	NT
CPSF1-I3	CPSF1
NUDT21-I3	NUDT21
NT-I5	NT
CDC73-I2	CDC73
CPSF1-I3	CPSF1
NT-I3	NT
PABPC1-I1	PABPC1
CTR9-I7	CTR9
CPSF7-I1	CPSF7
PHF3-I5	PHF3
CPSF2-I1	CPSF2
NT-I8	NT
NUDT21-I3	NUDT21
NT-I10	NT
SCAF8-I3	SCAF8
SRSF3-I1	SRSF3
RPRD1A-I5	RPRD1A
CPSF2-I1	CPSF2
CPSF1-I3	CPSF1
PHF3-I5	PHF3
NT-I6	NT
NT-I7	NT
RPRD1B-I1	RPRD1B
SCAF8-I3	SCAF8
PABPC1-I1	PABPC1
NT-I5	NT
PAPOLA-I3	PAPOLA
SCAF8-I3	SCAF8
RPRD1B-I1	RPRD1B
SCAF11-I3	SCAF11
CTR9-I7	CTR9
NT-I3	NT
SCAF11-I3	SCAF11
NT-I6	NT
CPSF7-I1	CPSF7
CSTF1-I5	CSTF1
CPSF3-I3	CPSF3
PHF3-I5	PHF3
LEO1-I2	LEO1
CPSF7-I1	CPSF7
NT-I10	NT
CPSF2-I1	CPSF2
PAPOLA-I3	PAPOLA
PAF1-I6	PAF1
SCAF4-I4	SCAF4
PAPOLA-I3	PAPOLA
NT-I10	NT
CPSF7-I1	CPSF7
RPRD1B-I1	RPRD1B
CPSF4-I8	CPSF4
CPSF3-I3	CPSF3
CPSF2-I1	CPSF2
NT-I9	NT
CPSF1-I3	CPSF1
CSTF2-I4	CSTF2
CTR9-I7	CTR9
NT-I7	NT
CPSF1-I3	CPSF1
NT-I7	NT
CPSF2-I1	CPSF2
NT-I10	NT
CPSF1-I3	CPSF1
NT-I10	NT
CSTF1-I5	CSTF1
NUDT21-I3	NUDT21
NT-I6	NT
SCAF11-I3	SCAF11
NT-I10	NT
SCAF4-I4	SCAF4
NUDT21-I3	NUDT21
NT-I4	NT
SCAF11-I3	SCAF11
CPSF1-I3	CPSF1
PABPC1-I1	PABPC1
CSTF3-I5	CSTF3
PCF11-I5	PCF11
RPRD1B-I1	RPRD1B
NT-I6	NT
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
LEO1-I2	LEO1
PHF3-I5	PHF3
CPSF6-I5	CPSF6
RBBP6-I4	RBBP6
CPSF1-I3	CPSF1
CPSF7-I1	CPSF7
PCF11-I5	PCF11
CPSF6-I5	CPSF6
NT-I10	NT
NT-I9	NT
NT-I5	NT
CPSF1-I3	CPSF1
CSTF1-I5	CSTF1
PHF3-I5	PHF3
RPRD1B-I1	RPRD1B
NUDT21-I3	NUDT21
CPSF1-I3	CPSF1
LEO1-I2	LEO1
NT-I6	NT
NT-I6	NT
CPSF2-I1	CPSF2
SCAF11-I3	SCAF11
NT-I6	NT
SCAF4-I4	SCAF4
LEO1-I2	LEO1
NT-I9	NT
PAPOLA-I3	PAPOLA
NT-I3	NT
SCAF8-I3	SCAF8
CPSF6-I5	CPSF6
LEO1-I2	LEO1
CPSF2-I1	CPSF2
PHF3-I5	PHF3
CPSF2-I1	CPSF2
CPSF6-I5	CPSF6
CPSF1-I3	CPSF1
CPSF2-I1	CPSF2
RPRD1B-I1	RPRD1B
CPSF1-I3	CPSF1
CPSF7-I1	CPSF7
SF3A1-I5	SF3A1
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
NUDT21-I3	NUDT21
SCAF11-I3	SCAF11
PHF3-I5	PHF3
NT-I10	NT
CPSF1-I3	CPSF1
SCAF11-I3	SCAF11
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF2-I1	CPSF2
PAPOLA-I3	PAPOLA
PHF3-I5	PHF3
CTR9-I7	CTR9
CPSF6-I5	CPSF6
NT-I5	NT
NT-I10	NT
NT-I3	NT
SCAF8-I3	SCAF8
PAPOLA-I3	PAPOLA
NT-I10	NT
LEO1-I2	LEO1
PAPOLA-I3	PAPOLA
NT-I8	NT
CSTF3-I5	CSTF3
SCAF8-I3	SCAF8
RBBP6-I4	RBBP6
