dataset	shape	guide_categories
ref	(4183, 11889)	43
query	(3516, 11889)	42
gene_names	ref=11889	query=11889	common=11858
ref_only_genes	CPSF1,CPSF2,CPSF3,CPSF4,CPSF6,CPSF7,CSTF1,CSTF2,CSTF3,CTR9,FIP1L1,LEO1,NUDT21,PABPC1,PABPN1,PAF1,PAPOLA,PCF11,PHF3,RBBP6,RPAP2,RPRD1A,RPRD1B,SCAF1,SCAF11,SCAF4,SCAF8,SF3A1,SRSF3,SYMPK,THOC5
query_only_genes	ADAMTS3,ADCK2,AP004609.3,ASCC1,BAIAP2,DCTN4,DGUOK-AS1,DHRS11,EFCAB11,ENDOV,GPALPP1,HCFC1,HEXD,IFIT3,IFT80,IL10RB,KATNB1,LINC01970,MAP4K2,MBD5,MIER1,PGS1,PUS7L,RFC5,RN7SL832P,SAMD8,SETD1A,SULT1A3,TMEM134,TMEM80,ZDHHC3
ref_first_genes	AL627309.5,LINC01409,LINC01128,LINC00115,FAM41C,NOC2L,KLHL17,AL645608.7,HES4,ISG15,AGRN,C1orf159,SDF4,B3GALT6,UBE2J2,ACAP3,PUSL1,INTS11,CPTP,DVL1
query_first_genes	AL627309.5,LINC01409,LINC01128,LINC00115,FAM41C,NOC2L,KLHL17,AL645608.7,HES4,ISG15,AGRN,C1orf159,SDF4,B3GALT6,UBE2J2,ACAP3,PUSL1,INTS11,CPTP,DVL1
target_gene	var_index	ref_annotated_guide
PABPC1	ref=[4981] query=[]	PABPC1-I1
NUDT21	ref=[8714] query=[]	NUDT21-I3
LEO1	ref=[8097] query=[]	LEO1-I2

dataset	guide	cells	mean_library	PABPC1_raw	PABPC1_log1p_norm	PABPC1_detected	NUDT21_raw	NUDT21_log1p_norm	NUDT21_detected	LEO1_raw	LEO1_log1p_norm	LEO1_detected
ref	CPSF3L-I8	33	22790.79	8.7879	1.404066	0.9394	2.1515	0.552231	0.8182	1.1515	0.359639	0.6061
ref	CPSF4-I8	63	13340.73	4.0952	1.184024	0.9048	0.8889	0.359903	0.5079	0.4603	0.262922	0.3333
ref	CPSF6-I5	107	23407.84	8.8692	1.497971	0.9907	3.9252	0.907411	0.9439	1.2056	0.359645	0.6449
ref	CPSF7-I1	156	28628.63	11.9551	1.561812	0.9936	2.3526	0.536919	0.8654	1.2115	0.308544	0.6218
ref	CSTF1-I5	31	19347.77	7.3548	1.294688	0.8387	1.1935	0.333981	0.5484	1.0968	0.386801	0.5806
ref	CSTF2-I4	93	27309.89	11.4624	1.554155	0.9785	2.2688	0.523047	0.7849	1.2043	0.308779	0.6022
ref	CSTF3-I5	116	18511.53	6.3190	1.318713	0.9569	0.9914	0.345820	0.5690	0.8534	0.298279	0.5000
ref	CTR9-I7	108	17825.24	4.4722	1.123653	0.9167	1.2222	0.422512	0.6111	1.2037	0.413359	0.6204
ref	FIP1L1-I1	74	16027.76	5.2568	1.333094	0.9730	1.1892	0.501387	0.6486	0.9595	0.382304	0.6216
ref	LEO1-I2	246	24665.15	9.5488	1.497372	0.9797	1.7764	0.480741	0.7764	0.0935	0.034023	0.0854
ref	NUDT21-I3	178	23429.89	9.2640	1.501059	0.9831	0.2022	0.091749	0.1910	0.9663	0.281314	0.5562
ref	PABPC1-I1	67	20457.54	1.9403	0.582368	0.7910	1.7761	0.567354	0.8507	1.5075	0.437369	0.6418
ref	PABPN1-I2	29	26423.34	8.1724	1.255218	0.9655	2.2414	0.485195	0.7586	1.1034	0.327194	0.6552
ref	PAF1-I6	28	15047.46	4.3214	1.201770	0.9286	1.2143	0.447269	0.5714	1.2500	0.537627	0.6786
ref	PAPOLA-I3	164	26929.52	10.9207	1.546163	0.9939	1.8049	0.465823	0.8476	1.0793	0.304658	0.6220
ref	PCF11-I5	43	16617.12	6.1860	1.359948	0.9302	1.3721	0.546095	0.7209	0.8372	0.325031	0.5116
ref	PHF3-I5	158	29725.04	12.4304	1.590750	1.0000	2.3165	0.545239	0.8987	1.4367	0.356476	0.7595
ref	RBBP6-I4	83	19897.39	7.7108	1.484543	1.0000	1.2651	0.401948	0.6506	1.0120	0.368562	0.6265
ref	RPAP2-I2	5	24992.80	14.4000	1.687237	1.0000	1.8000	0.426717	0.6000	1.4000	0.315792	0.6000
ref	RPRD1A-I5	89	27620.34	11.8202	1.605193	0.9888	2.4045	0.596041	0.8876	1.3483	0.335439	0.7191
ref	RPRD1B-I1	120	24848.68	9.8083	1.539136	0.9917	2.0667	0.504581	0.7417	1.1500	0.312316	0.5917
ref	SCAF1-I2	61	23167.67	8.9344	1.392397	0.8852	1.9344	0.475650	0.6721	1.0820	0.296515	0.5082
ref	SCAF11-I3	144	28586.56	11.7569	1.557086	0.9861	2.3611	0.565245	0.8750	1.4375	0.361432	0.6736
ref	SCAF4-I4	139	27900.96	11.3525	1.523094	0.9784	1.8561	0.445561	0.7770	1.1655	0.293889	0.6475
ref	SCAF8-I3	199	28846.48	12.4070	1.606921	0.9899	2.3166	0.543915	0.8643	1.3367	0.345342	0.7337
ref	SF3A1-I5	12	12972.08	2.8333	1.091300	0.9167	0.6667	0.375538	0.4167	0.1667	0.080407	0.1667
ref	SRSF3-I1	27	40097.48	17.5185	1.605877	1.0000	4.2222	0.619265	0.9259	1.8519	0.297240	0.6667
ref	SYMPK-I3	8	12183.62	3.2500	1.192241	0.8750	0.8750	0.345626	0.5000	1.2500	0.530369	0.6250
ref	THOC5-I1	21	27896.24	9.5714	1.320054	0.9048	2.8095	0.547708	0.8095	1.1429	0.352024	0.7143
query	NT-I1	119	10344.42	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	NT-I10	277	10460.41	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	NT-I2	175	10496.01	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	NT-I3	152	10792.62	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	NT-I4	90	10745.73	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	NT-I5	117	9974.53	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	NT-I6	158	10435.89	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	NT-I7	150	10365.92	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	NT-I8	82	9617.02	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	NT-I9	104	10106.90	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide1	199	9953.45	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide10	16	7383.25	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide11	158	8392.73	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide12	20	6011.20	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide13	86	8985.21	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide14	55	7172.29	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide15	55	6903.73	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide16	40	4848.18	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide17	27	4601.04	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide18	97	8517.05	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide19	32	6417.69	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide2	200	10354.08	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide20	43	7588.44	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide21	38	9335.11	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide22	29	5319.66	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide23	83	8327.14	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide24	65	8358.03	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide25	6	4157.00	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide26	15	3860.67	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide27	10	6613.50	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide28	16	6641.94	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide29	22	4753.91	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide3	23	6314.22	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide30	13	5033.85	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide31	10	9520.80	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide32	3	11378.67	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide4	68	4479.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide5	178	8083.81	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide6	127	9569.93	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide7	208	9383.63	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide8	102	10315.85	NA	NA	NA	NA	NA	NA	NA	NA	NA
query	guide9	48	7359.27	NA	NA	NA	NA	NA	NA	NA	NA	NA
