group	ortholog	rcv
fungal	1222562at2759	0.22
fungal	1223488at2759	0.2578
fungal	1228942at2759	0.1425
fungal	1233814at2759	0.2346
fungal	1236198at2759	0.164
fungal	1247641at2759	0.176
fungal	1248958at2759	0.1212
fungal	1249159at2759	0.2044
fungal	1251252at2759	0.2792
fungal	1257440at2759	0.1728
fungal	1258856at2759	0.1791
fungal	1259741at2759	0.1394
fungal	1260807at2759	0.6017
fungal	1264469at2759	0.2086
fungal	1266231at2759	0.2153
fungal	1269244at2759	0.2206
fungal	1269649at2759	0.1646
fungal	1275837at2759	0.1373
fungal	1284731at2759	0.2218
fungal	1287094at2759	0.2121
fungal	1287401at2759	0.1805
fungal	1291729at2759	0.2509
fungal	1304061at2759	0.2169
fungal	1309031at2759	0.235
fungal	1312453at2759	0.1768
fungal	1314980at2759	0.195
fungal	1322299at2759	0.2257
fungal	1322642at2759	0.3964
fungal	1323575at2759	0.2267
fungal	1324510at2759	0.1864
fungal	1338131at2759	0.1443
fungal	1339553at2759	0.2059
fungal	1342242at2759	0.2345
fungal	1346165at2759	0.1654
fungal	1346432at2759	0.2242
fungal	1348942at2759	0.2423
fungal	1355894at2759	0.2007
fungal	1358374at2759	0.1538
fungal	1364586at2759	0.1877
fungal	1370285at2759	0.2229
fungal	1370304at2759	0.2198
fungal	1377237at2759	0.404
fungal	1379600at2759	0.1881
fungal	1380409at2759	0.1401
fungal	1382842at2759	0.3181
fungal	1395649at2759	0.2151
fungal	1398309at2759	0.2156
fungal	1404162at2759	0.2529
fungal	1405073at2759	0.129
fungal	1405146at2759	0.1832
fungal	1407446at2759	0.2618
fungal	1421503at2759	0.2406
fungal	1423847at2759	0.1902
fungal	142542at2759	0.2243
fungal	1426075at2759	0.2808
fungal	1428265at2759	0.2343
fungal	1428854at2759	0.1321
fungal	1430056at2759	0.2084
fungal	1432328at2759	0.2157
fungal	1434266at2759	0.2759
fungal	1440961at2759	0.2508
fungal	1441854at2759	0.1609
fungal	1442062at2759	0.2955
fungal	1445102at2759	0.19
fungal	1450538at2759	0.2848
fungal	1454155at2759	0.2398
fungal	1455730at2759	0.0977
fungal	1459797at2759	0.2051
fungal	1474000at2759	0.2739
fungal	1479417at2759	0.1077
fungal	1488235at2759	0.1932
fungal	1488436at2759	0.1944
fungal	1490022at2759	0.1935
fungal	1504863at2759	0.2628
fungal	1513531at2759	0.2574
fungal	1525971at2759	0.2806
fungal	1526152at2759	0.1511
fungal	1530008at2759	0.149
fungal	1538526at2759	0.2713
fungal	1545004at2759	0.1474
fungal	1552706at2759	0.3308
fungal	1558822at2759	0.2414
fungal	156083at2759	0.0471
fungal	1563319at2759	0.1512
fungal	1567796at2759	0.4339
fungal	1575179at2759	0.4029
fungal	1576404at2759	0.3146
fungal	1588798at2759	0.2356
fungal	1593937at2759	0.1826
fungal	160593at2759	0.1192
fungal	1617752at2759	0.2224
fungal	1620056at2759	0.247
fungal	1623701at2759	0.2016
fungal	1626636at2759	0.2658
fungal	1633672at2759	0.2256
fungal	1645187at2759	0.268
fungal	166920at2759	0.154
fungal	176625at2759	0.174
fungal	179362at2759	0.1235
fungal	245208at2759	0.1229
fungal	257318at2759	0.1773
fungal	261328at2759	0.1922
fungal	261419at2759	0.1908
fungal	270107at2759	0.1533
fungal	271586at2759	0.1564
fungal	290630at2759	0.1082
fungal	293315at2759	0.1266
fungal	296129at2759	0.1103
fungal	299766at2759	0.2401
fungal	306227at2759	0.1861
fungal	320059at2759	0.0752
fungal	324863at2759	0.1501
fungal	325552at2759	0.1435
fungal	330169at2759	0.2068
fungal	331411at2759	0.2758
fungal	341721at2759	0.2272
fungal	345441at2759	0.1046
fungal	355408at2759	0.1388
fungal	369837at2759	0.1437
fungal	375960at2759	0.2064
fungal	383503at2759	0.1552
fungal	388820at2759	0.1333
fungal	390348at2759	0.1045
fungal	392369at2759	0.0904
fungal	39650at2759	0.0975
fungal	396755at2759	0.1937
fungal	418107at2759	0.1403
fungal	426305at2759	0.12
fungal	450058at2759	0.3354
fungal	453044at2759	0.1118
fungal	457861at2759	0.3222
fungal	464990at2759	0.136
fungal	491869at2759	0.3876
fungal	513979at2759	0.1859
fungal	543764at2759	0.1882
fungal	549762at2759	0.1359
fungal	551907at2759	0.1728
fungal	570797at2759	0.2506
fungal	582756at2759	0.2504
fungal	598949at2759	0.1778
fungal	604979at2759	0.1984
fungal	621827at2759	0.1364
fungal	625387at2759	0.3087
fungal	655400at2759	0.3016
fungal	664730at2759	0.0843
fungal	671536at2759	0.1447
fungal	671846at2759	0.168
fungal	673132at2759	0.1676
fungal	674160at2759	0.1565
fungal	674169at2759	0.2391
fungal	679187at2759	0.1684
fungal	679771at2759	0.1422
fungal	687505at2759	0.1637
fungal	692986at2759	0.2105
fungal	708105at2759	0.1818
fungal	719531at2759	0.1397
fungal	720340at2759	0.2001
fungal	721605at2759	0.1239
fungal	722805at2759	0.2528
fungal	734341at2759	0.2564
fungal	734666at2759	0.1019
fungal	736068at2759	0.1648
fungal	751335at2759	0.1812
fungal	759498at2759	0.1463
fungal	761109at2759	0.166
fungal	768809at2759	0.151
fungal	774318at2759	0.454
fungal	777920at2759	0.133
fungal	779909at2759	0.1533
fungal	801857at2759	0.2768
fungal	814241at2759	0.2282
fungal	817008at2759	0.1232
fungal	834694at2759	0.1969
fungal	836599at2759	0.1806
fungal	83779at2759	0.2041
fungal	844748at2759	0.2083
fungal	855834at2759	0.1931
fungal	858842at2759	0.2682
fungal	865202at2759	0.1624
fungal	866359at2759	0.1274
fungal	869548at2759	0.228
fungal	878143at2759	0.1395
fungal	87842at2759	0.2315
fungal	887370at2759	0.1812
fungal	891751at2759	0.2512
fungal	898782at2759	0.1843
fungal	901894at2759	0.2097
fungal	905026at2759	0.2432
fungal	911863at2759	0.2126
fungal	917326at2759	0.149
fungal	918816at2759	0.2709
fungal	919955at2759	0.1624
fungal	923657at2759	0.1981
fungal	924753at2759	0.1844
fungal	931188at2759	0.1991
fungal	937275at2759	0.2283
fungal	937686at2759	0.1657
fungal	939345at2759	0.3601
fungal	944899at2759	0.0992
fungal	946128at2759	0.1761
fungal	956854at2759	0.1829
fungal	97116at2759	0.1148
fungal	973442at2759	0.2873
fungal	974865at2759	0.1887
fungal	975158at2759	0.1898
fungal	975557at2759	0.155
fungal	976469at2759	0.1822
fungal	981902at2759	0.2183
fungal	996662at2759	0.1729
