sample	md5	accession	assembly	file_type	output_type	dataset	file_size
HG03439	a794b3660f7991e0c22b360578f05520	ENCFF326QXM	GRCh38	bam	alignments	/experiments/ENCSR376YMU/	4675991574
HG03442	c5eac6ff59366054fe2a098e58363a44	ENCFF130DND	GRCh38	bam	alignments	/experiments/ENCSR858GTE/	4406368022
HG03457	0a34ba29d2489343677fd85e5ee62209	ENCFF785NTV	GRCh38	bam	alignments	/experiments/ENCSR322SBN/	3038623786
HG03460	19c4dfffff43350a9eaff3b644c93049	ENCFF110EWQ	GRCh38	bam	alignments	/experiments/ENCSR345NVR/	2983902390
HG03469	fc57381d00f1032666f6f1bf7a5863c7	ENCFF430HQS	GRCh38	bam	alignments	/experiments/ENCSR163KRG/	3494006699
HG03520	63e4e5fd3df0e87be7b361692e83d64f	ENCFF614WUU	GRCh38	bam	alignments	/experiments/ENCSR624CTU/	3550965162
HG03521	9a57304a9fff5865019af964b9ac9023	ENCFF129JFT	GRCh38	bam	alignments	/experiments/ENCSR594TMY/	3341658529
HG03558	a91a9aebfab666b407aa886b1fb4a6a6	ENCFF842JIO	GRCh38	bam	alignments	/experiments/ENCSR278JWM/	1702717310
HG03565	0bf13e85c128c921760766a6351535a6	ENCFF220BRO	GRCh38	bam	alignments	/experiments/ENCSR835WBW/	4618512486
HG03571	d277ed4a324e8fd0b0dd71e8e1564fe4	ENCFF009NCL	GRCh38	bam	alignments	/experiments/ENCSR000RBT/	3433534339
HG03575	2e872db29e6e7891ab3826983e269f04	ENCFF632MBC	GRCh38	bam	alignments	/experiments/ENCSR331JFZ/	1782193979
