kind	item	metric	value
bin	Sample2	60000001-70000000	called=5428;het=2200;alt_alleles=8677;alt_sites=5428;missing=0
bin	Sample3	60000001-70000000	called=5428;het=2107;alt_alleles=8769;alt_sites=5428;missing=0
bin	Sample4	60000001-70000000	called=5428;het=2098;alt_alleles=8775;alt_sites=5428;missing=0
bin	Sample1	70000001-80000000	called=5089;het=2087;alt_alleles=8097;alt_sites=5089;missing=0
bin	Sample2	70000001-80000000	called=5089;het=1735;alt_alleles=8450;alt_sites=5089;missing=0
bin	Sample3	70000001-80000000	called=5089;het=1233;alt_alleles=8958;alt_sites=5089;missing=0
bin	Sample4	70000001-80000000	called=5089;het=1874;alt_alleles=8324;alt_sites=5089;missing=0
bin	Sample1	80000001-90000000	called=6084;het=2482;alt_alleles=9700;alt_sites=6084;missing=0
bin	Sample2	80000001-90000000	called=6084;het=2808;alt_alleles=9379;alt_sites=6084;missing=0
bin	Sample3	80000001-90000000	called=6084;het=2273;alt_alleles=9911;alt_sites=6084;missing=0
bin	Sample4	80000001-90000000	called=6084;het=2619;alt_alleles=9567;alt_sites=6084;missing=0
bin	Sample1	90000001-100000000	called=5455;het=1683;alt_alleles=9237;alt_sites=5455;missing=0
bin	Sample2	90000001-100000000	called=5455;het=1905;alt_alleles=9020;alt_sites=5455;missing=0
bin	Sample3	90000001-100000000	called=5455;het=1647;alt_alleles=9286;alt_sites=5455;missing=0
bin	Sample4	90000001-100000000	called=5455;het=1641;alt_alleles=9285;alt_sites=5455;missing=0
bin	Sample1	100000001-110000000	called=6058;het=2626;alt_alleles=9502;alt_sites=6058;missing=0
bin	Sample2	100000001-110000000	called=6058;het=2401;alt_alleles=9732;alt_sites=6058;missing=0
bin	Sample3	100000001-110000000	called=6058;het=2028;alt_alleles=10113;alt_sites=6058;missing=0
bin	Sample4	100000001-110000000	called=6058;het=1567;alt_alleles=10574;alt_sites=6058;missing=0
bin	Sample1	110000001-120000000	called=4688;het=1962;alt_alleles=7426;alt_sites=4688;missing=0
bin	Sample2	110000001-120000000	called=4688;het=1581;alt_alleles=7825;alt_sites=4688;missing=0
bin	Sample3	110000001-120000000	called=4688;het=1721;alt_alleles=7679;alt_sites=4688;missing=0
bin	Sample4	110000001-120000000	called=4688;het=1785;alt_alleles=7609;alt_sites=4688;missing=0
bin	Sample1	120000001-130000000	called=754;het=330;alt_alleles=1184;alt_sites=754;missing=0
bin	Sample2	120000001-130000000	called=754;het=313;alt_alleles=1207;alt_sites=754;missing=0
bin	Sample3	120000001-130000000	called=754;het=506;alt_alleles=1012;alt_sites=754;missing=0
bin	Sample4	120000001-130000000	called=754;het=393;alt_alleles=1127;alt_sites=754;missing=0
bin	Sample1	140000001-150000000	called=6951;het=5594;alt_alleles=8330;alt_sites=6951;missing=0
bin	Sample2	140000001-150000000	called=6951;het=5363;alt_alleles=8590;alt_sites=6951;missing=0
bin	Sample3	140000001-150000000	called=6951;het=5867;alt_alleles=8080;alt_sites=6951;missing=0
bin	Sample4	140000001-150000000	called=6951;het=5785;alt_alleles=8167;alt_sites=6951;missing=0
bin	Sample1	150000001-160000000	called=4137;het=2159;alt_alleles=6117;alt_sites=4137;missing=0
bin	Sample2	150000001-160000000	called=4137;het=866;alt_alleles=7424;alt_sites=4137;missing=0
bin	Sample3	150000001-160000000	called=4137;het=1537;alt_alleles=6751;alt_sites=4137;missing=0
bin	Sample4	150000001-160000000	called=4137;het=1174;alt_alleles=7110;alt_sites=4137;missing=0
bin	Sample1	160000001-170000000	called=5873;het=2565;alt_alleles=9209;alt_sites=5873;missing=0
bin	Sample2	160000001-170000000	called=5873;het=2197;alt_alleles=9583;alt_sites=5873;missing=0
bin	Sample3	160000001-170000000	called=5873;het=2331;alt_alleles=9440;alt_sites=5873;missing=0
bin	Sample4	160000001-170000000	called=5873;het=2052;alt_alleles=9728;alt_sites=5873;missing=0
bin	Sample1	170000001-180000000	called=4499;het=1374;alt_alleles=7638;alt_sites=4499;missing=0
bin	Sample2	170000001-180000000	called=4499;het=1138;alt_alleles=7881;alt_sites=4499;missing=0
bin	Sample3	170000001-180000000	called=4499;het=2182;alt_alleles=6834;alt_sites=4499;missing=0
bin	Sample4	170000001-180000000	called=4499;het=1841;alt_alleles=7181;alt_sites=4499;missing=0
bin	Sample1	180000001-190000000	called=4626;het=2154;alt_alleles=7106;alt_sites=4626;missing=0
bin	Sample2	180000001-190000000	called=4626;het=1674;alt_alleles=7608;alt_sites=4626;missing=0
bin	Sample3	180000001-190000000	called=4626;het=2136;alt_alleles=7137;alt_sites=4626;missing=0
bin	Sample4	180000001-190000000	called=4626;het=1764;alt_alleles=7506;alt_sites=4626;missing=0
bin	Sample1	190000001-200000000	called=4682;het=1765;alt_alleles=7611;alt_sites=4682;missing=0
bin	Sample2	190000001-200000000	called=4682;het=1340;alt_alleles=8044;alt_sites=4682;missing=0
bin	Sample3	190000001-200000000	called=4682;het=1891;alt_alleles=7486;alt_sites=4682;missing=0
bin	Sample4	190000001-200000000	called=4682;het=2158;alt_alleles=7220;alt_sites=4682;missing=0
bin	Sample1	200000001-210000000	called=4560;het=1951;alt_alleles=7171;alt_sites=4560;missing=0
bin	Sample2	200000001-210000000	called=4560;het=2106;alt_alleles=7024;alt_sites=4560;missing=0
bin	Sample3	200000001-210000000	called=4560;het=1640;alt_alleles=7492;alt_sites=4560;missing=0
bin	Sample4	200000001-210000000	called=4560;het=1840;alt_alleles=7288;alt_sites=4560;missing=0
bin	Sample1	210000001-220000000	called=5186;het=1661;alt_alleles=8713;alt_sites=5186;missing=0
bin	Sample2	210000001-220000000	called=5186;het=1660;alt_alleles=8721;alt_sites=5186;missing=0
bin	Sample3	210000001-220000000	called=5186;het=1956;alt_alleles=8421;alt_sites=5186;missing=0
bin	Sample4	210000001-220000000	called=5186;het=1928;alt_alleles=8452;alt_sites=5186;missing=0
bin	Sample1	220000001-230000000	called=4938;het=1885;alt_alleles=7995;alt_sites=4938;missing=0
bin	Sample2	220000001-230000000	called=4938;het=1773;alt_alleles=8113;alt_sites=4938;missing=0
bin	Sample3	220000001-230000000	called=4938;het=1996;alt_alleles=7894;alt_sites=4938;missing=0
bin	Sample4	220000001-230000000	called=4938;het=1907;alt_alleles=7984;alt_sites=4938;missing=0
bin	Sample1	230000001-240000000	called=5548;het=2326;alt_alleles=8780;alt_sites=5548;missing=0
bin	Sample2	230000001-240000000	called=5548;het=2229;alt_alleles=8885;alt_sites=5548;missing=0
bin	Sample3	230000001-240000000	called=5548;het=2431;alt_alleles=8675;alt_sites=5548;missing=0
bin	Sample4	230000001-240000000	called=5548;het=2247;alt_alleles=8868;alt_sites=5548;missing=0
bin	Sample1	240000001-250000000	called=6517;het=2743;alt_alleles=10305;alt_sites=6517;missing=0
bin	Sample2	240000001-250000000	called=6517;het=3140;alt_alleles=9936;alt_sites=6517;missing=0
bin	Sample3	240000001-250000000	called=6517;het=2438;alt_alleles=10637;alt_sites=6517;missing=0
bin	Sample4	240000001-250000000	called=6517;het=2326;alt_alleles=10746;alt_sites=6517;missing=0
