level	label	tf	kind	definition	total_fragments	accessible_fragments	closed_fragments	accessible_fraction	closed_fraction	accessible_cpm	closed_cpm	control_closed_cpm	closed_log2FE_vs_control	closed_delta_cpm
file	TF3.control2.bed.gz	TF3	control2	any_union	13216643	385460	12831183	0.029165	0.970835	29164.743271	970835.256729	NA	NA	NA
file	TF3.control2.bed.gz	TF3	control2	midpoint_union	13216643	174714	13041929	0.013219	0.986781	13219.241830	986780.758170	NA	NA	NA
file	TF3.control2.bed.gz	TF3	control2	any_consensus	13216643	232220	12984423	0.017570	0.982430	17570.271059	982429.728941	NA	NA	NA
file	TF3.control2.bed.gz	TF3	control2	midpoint_consensus	13216643	91983	13124660	0.006960	0.993040	6959.634152	993040.365848	NA	NA	NA
file	TF3.rep1.bed.gz	TF3	rep1	any_union	15298277	992357	14305920	0.064867	0.935133	64867.239624	935132.760376	NA	NA	NA
file	TF3.rep1.bed.gz	TF3	rep1	midpoint_union	15298277	528303	14769974	0.034533	0.965467	34533.496811	965466.503189	NA	NA	NA
file	TF3.rep1.bed.gz	TF3	rep1	any_consensus	15298277	706060	14592217	0.046153	0.953847	46152.909900	953847.090100	NA	NA	NA
file	TF3.rep1.bed.gz	TF3	rep1	midpoint_consensus	15298277	331409	14966868	0.021663	0.978337	21663.158537	978336.841463	NA	NA	NA
file	TF3.rep2.bed.gz	TF3	rep2	any_union	17189525	1642684	15546841	0.095563	0.904437	95563.082750	904436.917250	NA	NA	NA
file	TF3.rep2.bed.gz	TF3	rep2	midpoint_union	17189525	835348	16354177	0.048596	0.951404	48596.339922	951403.660078	NA	NA	NA
file	TF3.rep2.bed.gz	TF3	rep2	any_consensus	17189525	1211829	15977696	0.070498	0.929502	70498.108586	929501.891414	NA	NA	NA
file	TF3.rep2.bed.gz	TF3	rep2	midpoint_consensus	17189525	536475	16653050	0.031209	0.968791	31209.413873	968790.586127	NA	NA	NA
file	TF4.control1.bed.gz	TF4	control1	any_union	28277779	647381	27630398	0.022894	0.977106	22893.629659	977106.370341	NA	NA	NA
file	TF4.control1.bed.gz	TF4	control1	midpoint_union	28277779	279770	27998009	0.009894	0.990106	9893.634150	990106.365850	NA	NA	NA
file	TF4.control1.bed.gz	TF4	control1	any_consensus	28277779	374555	27903224	0.013246	0.986754	13245.559349	986754.440651	NA	NA	NA
file	TF4.control1.bed.gz	TF4	control1	midpoint_consensus	28277779	141438	28136341	0.005002	0.994998	5001.736523	994998.263477	NA	NA	NA
file	TF4.control2.bed.gz	TF4	control2	any_union	23754574	576881	23177693	0.024285	0.975715	24285.049271	975714.950729	NA	NA	NA
file	TF4.control2.bed.gz	TF4	control2	midpoint_union	23754574	241126	23513448	0.010151	0.989849	10150.718763	989849.281237	NA	NA	NA
file	TF4.control2.bed.gz	TF4	control2	any_consensus	23754574	334708	23419866	0.014090	0.985910	14090.254786	985909.745214	NA	NA	NA
file	TF4.control2.bed.gz	TF4	control2	midpoint_consensus	23754574	122027	23632547	0.005137	0.994863	5136.989617	994863.010383	NA	NA	NA
file	TF4.rep1.bed.gz	TF4	rep1	any_union	26225809	1777210	24448599	0.067766	0.932234	67765.688372	932234.311628	NA	NA	NA
file	TF4.rep1.bed.gz	TF4	rep1	midpoint_union	26225809	753922	25471887	0.028747	0.971253	28747.330540	971252.669460	NA	NA	NA
file	TF4.rep1.bed.gz	TF4	rep1	any_consensus	26225809	1122443	25103366	0.042799	0.957201	42799.175423	957200.824577	NA	NA	NA
file	TF4.rep1.bed.gz	TF4	rep1	midpoint_consensus	26225809	406497	25819312	0.015500	0.984500	15499.884103	984500.115897	NA	NA	NA
file	TF4.rep2.bed.gz	TF4	rep2	any_union	19481343	1344208	18137135	0.069000	0.931000	68999.760437	931000.239563	NA	NA	NA
file	TF4.rep2.bed.gz	TF4	rep2	midpoint_union	19481343	533818	18947525	0.027401	0.972599	27401.498962	972598.501038	NA	NA	NA
file	TF4.rep2.bed.gz	TF4	rep2	any_consensus	19481343	850005	18631338	0.043632	0.956368	43631.745512	956368.254488	NA	NA	NA
file	TF4.rep2.bed.gz	TF4	rep2	midpoint_consensus	19481343	285058	19196285	0.014632	0.985368	14632.358765	985367.641235	NA	NA	NA
file	TF5.control.bed.gz	TF5	control	any_union	16452140	282419	16169721	0.017166	0.982834	17166.095110	982833.904890	NA	NA	NA
file	TF5.control.bed.gz	TF5	control	midpoint_union	16452140	125842	16326298	0.007649	0.992351	7648.974541	992351.025459	NA	NA	NA
file	TF5.control.bed.gz	TF5	control	any_consensus	16452140	158236	16293904	0.009618	0.990382	9617.958515	990382.041485	NA	NA	NA
file	TF5.control.bed.gz	TF5	control	midpoint_consensus	16452140	61670	16390470	0.003748	0.996252	3748.448530	996251.551470	NA	NA	NA
file	TF5.rep1.bed.gz	TF5	rep1	any_union	16135021	2373813	13761208	0.147122	0.852878	147121.779389	852878.220611	NA	NA	NA
file	TF5.rep1.bed.gz	TF5	rep1	midpoint_union	16135021	1298266	14836755	0.080463	0.919537	80462.616070	919537.383930	NA	NA	NA
file	TF5.rep1.bed.gz	TF5	rep1	any_consensus	16135021	1662656	14472365	0.103046	0.896954	103046.410662	896953.589338	NA	NA	NA
file	TF5.rep1.bed.gz	TF5	rep1	midpoint_consensus	16135021	791783	15343238	0.049072	0.950928	49072.325347	950927.674653	NA	NA	NA
file	TF5.rep2.bed.gz	TF5	rep2	any_union	14755327	558629	14196698	0.037859	0.962141	37859.479495	962140.520505	NA	NA	NA
file	TF5.rep2.bed.gz	TF5	rep2	midpoint_union	14755327	295006	14460321	0.019993	0.980007	19993.186190	980006.813810	NA	NA	NA
file	TF5.rep2.bed.gz	TF5	rep2	any_consensus	14755327	363681	14391646	0.024647	0.975353	24647.437498	975352.562502	NA	NA	NA
file	TF5.rep2.bed.gz	TF5	rep2	midpoint_consensus	14755327	169635	14585692	0.011497	0.988503	11496.525967	988503.474033	NA	NA	NA
file	TF6.control.bed.gz	TF6	control	any_union	16833124	550698	16282426	0.032715	0.967285	32715.139507	967284.860493	NA	NA	NA
file	TF6.control.bed.gz	TF6	control	midpoint_union	16833124	256759	16576365	0.015253	0.984747	15253.199584	984746.800416	NA	NA	NA
file	TF6.control.bed.gz	TF6	control	any_consensus	16833124	336391	16496733	0.019984	0.980016	19983.872275	980016.127725	NA	NA	NA
file	TF6.control.bed.gz	TF6	control	midpoint_consensus	16833124	137956	16695168	0.008196	0.991804	8195.507857	991804.492143	NA	NA	NA
file	TF6.rep1.bed.gz	TF6	rep1	any_union	8156838	964121	7192717	0.118198	0.881802	118197.885014	881802.114986	NA	NA	NA
file	TF6.rep1.bed.gz	TF6	rep1	midpoint_union	8156838	468791	7688047	0.057472	0.942528	57472.147908	942527.852092	NA	NA	NA
file	TF6.rep1.bed.gz	TF6	rep1	any_consensus	8156838	692184	7464654	0.084859	0.915141	84859.353588	915140.646412	NA	NA	NA
file	TF6.rep1.bed.gz	TF6	rep1	midpoint_consensus	8156838	291333	7865505	0.035716	0.964284	35716.413640	964283.586360	NA	NA	NA
file	TF6.rep2.bed.gz	TF6	rep2	any_union	5302061	394608	4907453	0.074425	0.925575	74425.397973	925574.602027	NA	NA	NA
file	TF6.rep2.bed.gz	TF6	rep2	midpoint_union	5302061	181711	5120350	0.034272	0.965728	34271.767149	965728.232851	NA	NA	NA
file	TF6.rep2.bed.gz	TF6	rep2	any_consensus	5302061	276705	5025356	0.052188	0.947812	52188.196250	947811.803750	NA	NA	NA
file	TF6.rep2.bed.gz	TF6	rep2	midpoint_consensus	5302061	110063	5191998	0.020759	0.979241	20758.531447	979241.468553	NA	NA	NA
TF_summary	TF1	TF1	pooled_reps_vs_controls	any_consensus	64475291	2425461	62049830	0.037618	0.962382	37618.457589	962381.542411	988046.821580	-0.037970	-25665.279169
TF_summary	TF2	TF2	pooled_reps_vs_controls	any_consensus	28141093	1188419	26952674	0.042231	0.957769	42230.733540	957769.266460	986541.007755	-0.042701	-28771.741295
TF_summary	TF3	TF3	pooled_reps_vs_controls	any_consensus	32487802	1917889	30569913	0.059034	0.940966	59034.126101	940965.873899	981324.823217	-0.060588	-40358.949318
TF_summary	TF4	TF4	pooled_reps_vs_controls	any_consensus	45707152	1972448	43734704	0.043154	0.956846	43154.034187	956845.965813	986368.807884	-0.043840	-29522.842071
TF_summary	TF5	TF5	pooled_reps_vs_controls	any_consensus	30890348	2026337	28864011	0.065598	0.934402	65597.739462	934402.260538	990382.041485	-0.083941	-55979.780947
TF_summary	TF6	TF6	pooled_reps_vs_controls	any_consensus	13458899	968889	12490010	0.071989	0.928011	71988.726567	928011.273433	980016.127725	-0.078663	-52004.854292
TF_summary	TF1	TF1	pooled_reps_vs_controls	any_union	64475291	3706136	60769155	0.057481	0.942519	57481.493182	942518.506818	979265.843506	-0.055180	-36747.336687
TF_summary	TF2	TF2	pooled_reps_vs_controls	any_union	28141093	1785635	26355458	0.063453	0.936547	63452.936956	936547.063044	977041.330781	-0.061068	-40494.267737
TF_summary	TF3	TF3	pooled_reps_vs_controls	any_union	32487802	2635041	29852761	0.081109	0.918891	81108.626555	918891.373445	969182.134062	-0.076873	-50290.760616
TF_summary	TF4	TF4	pooled_reps_vs_controls	any_union	45707152	3121418	42585734	0.068292	0.931708	68291.675666	931708.324334	976471.139024	-0.067699	-44762.814690
TF_summary	TF5	TF5	pooled_reps_vs_controls	any_union	30890348	2932442	27957906	0.094931	0.905069	94930.688382	905069.311618	982833.904890	-0.118919	-77764.593272
TF_summary	TF6	TF6	pooled_reps_vs_controls	any_union	13458899	1358729	12100170	0.100954	0.899046	100953.948759	899046.051241	967284.860493	-0.105546	-68238.809252
TF_summary	TF1	TF1	pooled_reps_vs_controls	midpoint_consensus	64475291	923087	63552204	0.014317	0.985683	14316.910954	985683.089046	994897.660825	-0.013424	-9214.571779
TF_summary	TF2	TF2	pooled_reps_vs_controls	midpoint_consensus	28141093	475784	27665309	0.016907	0.983093	16907.090283	983092.909717	994656.545999	-0.016871	-11563.636281
TF_summary	TF3	TF3	pooled_reps_vs_controls	midpoint_consensus	32487802	867884	31619918	0.026714	0.973286	26714.149514	973285.850486	992498.885885	-0.028202	-19213.035399
TF_summary	TF4	TF4	pooled_reps_vs_controls	midpoint_consensus	45707152	691555	45015597	0.015130	0.984870	15130.126681	984869.873319	994936.515748	-0.014671	-10066.642429
TF_summary	TF5	TF5	pooled_reps_vs_controls	midpoint_consensus	30890348	961418	29928930	0.031124	0.968876	31123.572968	968876.427032	996251.551470	-0.040197	-27375.124438
TF_summary	TF6	TF6	pooled_reps_vs_controls	midpoint_consensus	13458899	401396	13057503	0.029824	0.970176	29823.836259	970176.163741	991804.492143	-0.031809	-21628.328402
TF_summary	TF1	TF1	pooled_reps_vs_controls	midpoint_union	64475291	1644494	62830797	0.025506	0.974494	25505.801905	974494.198095	989982.176902	-0.022749	-15487.978807
TF_summary	TF2	TF2	pooled_reps_vs_controls	midpoint_union	28141093	825514	27315579	0.029335	0.970665	29334.823633	970665.176367	989576.935629	-0.027838	-18911.759262
TF_summary	TF3	TF3	pooled_reps_vs_controls	midpoint_union	32487802	1363651	31124151	0.041974	0.958026	41974.246211	958025.753789	985892.434503	-0.041366	-27866.680714
TF_summary	TF4	TF4	pooled_reps_vs_controls	midpoint_union	45707152	1287740	44419412	0.028174	0.971826	28173.709007	971826.290993	989988.997807	-0.026714	-18162.706814
TF_summary	TF5	TF5	pooled_reps_vs_controls	midpoint_union	30890348	1593272	29297076	0.051578	0.948422	51578.311776	948421.688224	992351.025459	-0.065322	-43929.337235
TF_summary	TF6	TF6	pooled_reps_vs_controls	midpoint_union	13458899	650502	12808397	0.048332	0.951668	48332.482471	951667.517529	984746.800416	-0.049295	-33079.282887
# DNase interval diagnostics
# selected_tf=all
# definition	merged_intervals	merged_bases
# consensus	79312	10418187
# rep1	96987	14703455
# rep2	111939	16894114
# union	129606	21179382
