index	n_cells-0	n_counts-1	means-1	dispersions-1	dispersions_norm-1	highly_variable-1	highly_variable	means	dispersions	dispersions_norm
ITM2A	340	1187.4689	0.6054865	1.7994107	1.8422866	True	True	1.51823617522895	8.088226692172725	1.2935714
TCEAL8	341	884.6244	0.4823761	1.1817816	-0.65553325	False	True	2.382737120838228	9.836308278324164	0.81208867
MPP1	175	531.5916	0.31665134	1.3596625	0.30495793	True	True	2.899681580093942	8.729063470312216	0.70710677
PHPT1	440	2041.7037	0.88820624	1.320584	-0.18871579	False	True	1.0813016181475916	6.223682983526351	0.91757363
C9orf142	654	2327.4595	0.9673697	1.5782065	0.82628036	True	True	0.7920552818908463	4.6607735404759945	0.83148885
CAT	378	2304.106	0.9611305	1.358531	-0.03921021	False	True	1.4207930124291348	7.722411003893285	0.8511566
CD82	188	659.2666	0.37980196	1.5000924	1.0632274	True	True	2.4947324829278834	9.714674600726912	0.65642375
MTCH2	223	1175.1503	0.6007638	1.0843083	-1.0648282	False	True	2.5038081951299187	9.70852018095529	0.6507369
OTUB1	437	1978.5756	0.8698393	1.1969967	-0.67563254	False	True	1.2050169550470713	6.891618904065096	0.62718844
MRPL21	434	1196.9874	0.6091206	1.264673	-0.33158922	False	True	1.277518516915476	7.382746403827599	1.0489388
KLRB1	152	373.40613	0.23243791	1.659024	2.1938848	True	True	2.6331666618179432	9.57368303642158	0.672847
TMBIM6	1382	5769.3647	1.6180019	1.6738782	0.08248091	False	True	0.5306189601642569	2.755295687093672	0.600851
WIBG	226	970.44836	0.51883054	1.291631	-0.062387355	False	True	2.4657755809498827	9.746056345534294	0.68542135
TMBIM4-1	782	2414.7302	0.9903482	1.3161566	-0.20615925	False	True	0.8238460030061137	5.802854024405272	2.0453203
OAS1	526	2097.4856	0.90416	1.8291639	1.8150169	True	True	0.9603530495748605	5.83167952950865	0.5172231
ARF6	944	3206.47	1.177732	1.3111099	-0.3724481	False	True	0.6418458896387561	3.5560672832961586	1.7504252
AHSA1	321	1093.5421	0.5688995	1.2419851	-0.42382267	False	True	1.7846590832837297	8.342568269185964	0.50247896
ZNF106	205	593.5155	0.34777832	1.2417988	-0.331463	False	True	2.5371726384093476	9.673259735619709	0.6181553
IL16	463	1521.4624	0.7257097	1.3120329	-0.13905627	False	True	1.0754475254191485	6.596699304201803	1.2985327
POLR3K	293	794.30774	0.44252154	1.3355315	0.1746591	False	True	1.9864534806298653	8.987943142120203	0.90563816
STUB1	629	2005.4369	0.8776957	1.1761236	-0.7578695	False	True	0.8605903931623915	4.687280303450463	0.85966086
GABARAPL2	978	3715.277	1.2819221	1.2685205	-0.60702115	False	True	0.6271770972844544	3.4867930988468014	1.6509764
C16orf74	128	706.5075	0.40219295	1.4444677	0.76287436	True	True	2.696515590058609	9.512124274777124	0.5826221
PSMB6	749	4460.179	1.4172028	1.2150092	-0.7169361	False	True	0.8613674328907162	5.499261987372583	1.722655
IFT20	310	1172.7423	0.5998382	1.182192	-0.6669004	False	True	1.570061351254402	7.974135553925568	1.1543416
DNAJC7	424	1379.9922	0.67653906	1.186555	-0.6491632	False	True	1.422134042329653	7.971338127188021	1.1522073
C20orf27	347	2955.5454	1.122056	1.4161593	-0.08772157	False	True	1.7754424657591688	8.644004263824815	0.7913894
PCNA	162	1170.1234	0.5988302	2.027474	2.769435	True	True	2.586519642653486	9.619429582427554	0.5684148
RBM39	954	2282.5657	0.95534027	1.2267323	-0.55847865	False	True	0.6498177604268612	3.7429983453757107	2.0187802
PSMA7	1511	10134.817	2.0921342	1.3200289	-0.8458785	False	True	0.5296127006485633	2.732562989305029	0.5682163
RGS19	724	4502.867	1.4244274	1.5700834	0.012404962	False	True	0.7658809749147697	4.679076282306953	0.8509414
ILF3-AS1	437	1043.4104	0.5488101	1.5212054	0.71129525	True	True	1.136510237019174	6.805389612121903	0.55314
FPR1	289	468.84756	0.28409165	1.5086912	1.1096578	True	True	2.010466141005346	8.636390985840466	0.5465022
MRPL40	327	1420.8376	0.6909858	1.4355861	0.3632259	True	True	1.449379659872815	7.492694917707637	0.5733397
EIF3D	1075	4047.9941	1.3446168	1.1965936	-0.75476265	False	True	0.6201509561231751	3.631201455406156	1.8582866
ATP5O	1191	6403.903	1.7025044	1.2468609	-0.62510693	False	True	0.5848696515906767	2.8536305563099447	0.74201894
SUMO3	570	2008.513	0.878592	1.4128406	0.17476195	False	True	1.1811802604117858	7.187891668660591	0.8816094
PRMT2	588	2062.4438	0.89416784	1.273153	-0.37558764	False	True	0.8256448975734674	4.716530600133005	0.8907488
