index	n_cells-0	n_counts-1	means-1	dispersions-1	dispersions_norm-1	highly_variable-1	highly_variable	means	dispersions	dispersions_norm
STUB1	629	2005.4369	0.8776957	1.1761236	-0.7578695	False	True	1.029758490598929	4.921321645727074	0.79577345
NDUFB10	892	4517.404	1.4268755	1.3198286	-0.5016315	False	True	2.5052906439190514	8.761678060701703	1.6377125
TMEM208	343	1416.9857	0.68963236	1.3684019	0.09010111	False	True	1.0401852047857996	5.103489410248415	0.9843836
PSMD7	536	2357.8447	0.97543037	1.3868871	0.072508715	False	True	1.823064520765758	7.450655044430405	1.5944637
CLEC10A	63	3288.7625	1.1953359	2.7810354	3.611648	True	True	1.8485895900714258	7.239634340155646	1.2974577
ABI3	478	3476.3066	1.2343352	1.810697	0.98163605	True	True	1.0949525251967402	4.758129482283336	0.62680995
PSMC5	777	2899.9067	1.1092788	1.2528102	-0.5304639	False	True	1.1890722050448927	5.7759427966506784	1.6806184
PSMG2	499	1271.6517	0.6371781	1.2159809	-0.52953786	False	True	1.171375796272735	5.298084884726388	1.185861
C20orf27	347	2955.5454	1.122056	1.4161593	-0.08772157	False	True	1.660565566498104	7.053870027047656	1.0359993
NAA20	368	1067.6027	0.5585551	1.1466994	-0.81118864	False	True	2.1592451984415764	8.15361976831444	0.66754174
C19orf24	505	1813.4817	0.8201476	1.2440057	-0.49042377	False	True	1.0231020943355549	4.996006891418577	0.8730999
SLC39A3	171	593.3819	0.34771213	1.0751901	-1.2310885	False	True	1.1878017886195706	4.719973486225858	0.58730453
TPM4	350	1517.6353	0.72441095	1.4071015	0.24742718	False	True	1.137097440795835	5.101281803202398	0.9820979
CD37	2063	13007.313	2.314036	1.8647835	0.23566127	False	True	0.9458833843433818	4.772046892503613	0.64121956
MRPL40	327	1420.8376	0.6909858	1.4355861	0.3632259	True	True	2.606859022065132	8.715580780398618	1.5641632
LGALS2	573	2851.2927	1.0979799	2.4629683	2.7495568	True	True	1.262826539314578	5.103918916101276	0.9848283
ADSL	285	1148.4852	0.59046376	1.2038893	-0.57869416	False	True	1.8336932830233392	7.447444545198742	1.589945
