alignment	parsimony_informative_sites	total_sites	percent_informative
1645187at2759.faa.mafft	0	134	0.0
166920at2759.faa.mafft	0	1499	0.0
176625at2759.faa.mafft	0	1183	0.0
179362at2759.faa.mafft	0	1312	0.0
245208at2759.faa.mafft	0	1322	0.0
257318at2759.faa.mafft	0	577	0.0
261328at2759.faa.mafft	0	678	0.0
271586at2759.faa.mafft	0	1076	0.0
290630at2759.faa.mafft	0	940	0.0
293315at2759.faa.mafft	0	1428	0.0
296129at2759.faa.mafft	0	1058	0.0
299766at2759.faa.mafft	0	1027	0.0
306227at2759.faa.mafft	0	799	0.0
320059at2759.faa.mafft	0	553	0.0
324863at2759.faa.mafft	0	969	0.0
325552at2759.faa.mafft	0	609	0.0
330169at2759.faa.mafft	0	504	0.0
331411at2759.faa.mafft	0	748	0.0
341721at2759.faa.mafft	20	837	2.3895
345441at2759.faa.mafft	0	550	0.0
355408at2759.faa.mafft	0	691	0.0
369837at2759.faa.mafft	0	756	0.0
375960at2759.faa.mafft	0	542	0.0
383503at2759.faa.mafft	0	503	0.0
388820at2759.faa.mafft	0	952	0.0
390348at2759.faa.mafft	0	1030	0.0
39650at2759.faa.mafft	0	2306	0.0
396755at2759.faa.mafft	0	1216	0.0
418107at2759.faa.mafft	0	451	0.0
426305at2759.faa.mafft	0	802	0.0
450058at2759.faa.mafft	0	366	0.0
453044at2759.faa.mafft	19	478	3.9749
457861at2759.faa.mafft	0	306	0.0
464990at2759.faa.mafft	0	570	0.0
491869at2759.faa.mafft	0	473	0.0
513979at2759.faa.mafft	0	581	0.0
543764at2759.faa.mafft	0	514	0.0
549762at2759.faa.mafft	0	647	0.0
551907at2759.faa.mafft	0	1081	0.0
570797at2759.faa.mafft	29	903	3.2115
582756at2759.faa.mafft	0	553	0.0
598949at2759.faa.mafft	0	1251	0.0
604979at2759.faa.mafft	0	809	0.0
621827at2759.faa.mafft	0	570	0.0
655400at2759.faa.mafft	0	478	0.0
664730at2759.faa.mafft	11	463	2.3758
671536at2759.faa.mafft	0	496	0.0
673132at2759.faa.mafft	17	415	4.0964
674160at2759.faa.mafft	0	2911	0.0
674169at2759.faa.mafft	0	701	0.0
679771at2759.faa.mafft	0	391	0.0
687505at2759.faa.mafft	0	363	0.0
692986at2759.faa.mafft	0	794	0.0
708105at2759.faa.mafft	0	426	0.0
719531at2759.faa.mafft	0	489	0.0
720340at2759.faa.mafft	0	561	0.0
721605at2759.faa.mafft	18	436	4.1284
734341at2759.faa.mafft	0	269	0.0
734666at2759.faa.mafft	0	517	0.0
736068at2759.faa.mafft	0	451	0.0
751335at2759.faa.mafft	0	470	0.0
759498at2759.faa.mafft	0	732	0.0
761109at2759.faa.mafft	0	678	0.0
768809at2759.faa.mafft	0	376	0.0
777920at2759.faa.mafft	0	598	0.0
779909at2759.faa.mafft	0	326	0.0
801857at2759.faa.mafft	0	436	0.0
814241at2759.faa.mafft	0	435	0.0
817008at2759.faa.mafft	0	417	0.0
834694at2759.faa.mafft	0	728	0.0
836599at2759.faa.mafft	0	545	0.0
83779at2759.faa.mafft	0	652	0.0
844748at2759.faa.mafft	0	482	0.0
855834at2759.faa.mafft	0	700	0.0
858842at2759.faa.mafft	0	485	0.0
865202at2759.faa.mafft	0	305	0.0
866359at2759.faa.mafft	0	327	0.0
869548at2759.faa.mafft	0	269	0.0
878143at2759.faa.mafft	0	442	0.0
87842at2759.faa.mafft	0	1066	0.0
887370at2759.faa.mafft	0	581	0.0
891751at2759.faa.mafft	0	572	0.0
898782at2759.faa.mafft	0	547	0.0
901894at2759.faa.mafft	0	543	0.0
905026at2759.faa.mafft	0	706	0.0
911863at2759.faa.mafft	0	425	0.0
917326at2759.faa.mafft	0	639	0.0
919955at2759.faa.mafft	0	389	0.0
923657at2759.faa.mafft	0	317	0.0
924753at2759.faa.mafft	0	465	0.0
931188at2759.faa.mafft	0	629	0.0
937275at2759.faa.mafft	0	417	0.0
937686at2759.faa.mafft	0	491	0.0
939345at2759.faa.mafft	0	245	0.0
944899at2759.faa.mafft	0	398	0.0
946128at2759.faa.mafft	0	532	0.0
956854at2759.faa.mafft	0	294	0.0
97116at2759.faa.mafft	0	1220	0.0
973442at2759.faa.mafft	0	425	0.0
974865at2759.faa.mafft	10	309	3.2362
975158at2759.faa.mafft	0	459	0.0
975557at2759.faa.mafft	0	755	0.0
976469at2759.faa.mafft	0	386	0.0
981902at2759.faa.mafft	0	391	0.0
996662at2759.faa.mafft	12	453	2.649
