cell	gene	count
Cell_10369_WXV	Hp	4
Cell_10369_WXV	Hspa8	4
Cell_10369_WXV	Ier2	4
Cell_10369_WXV	Ifitm3	4
Cell_10369_WXV	Jund	4
Cell_10369_WXV	Kitl	4
Cell_10369_WXV	Klf9	4
Cell_10369_WXV	Lepr	4
Cell_10369_WXV	Lpl	4
Cell_10369_WXV	Oaz1	4
Cell_10369_WXV	Ptma	4
Cell_10369_WXV	Rpl41	4
Cell_10369_WXV	Rps11	4
Cell_10369_WXV	Rps17	4
Cell_10369_WXV	Rrbp1	4
Cell_10369_WXV	Runx1	4
Cell_10369_WXV	S1pr3	4
Cell_10369_WXV	Sh3glb1	4
Cell_10369_WXV	Slc38a2	4
Cell_10369_WXV	Stat3	4
Cell_10369_WXV	Tpm1	4
Cell_10369_WXV	Adamts5	3
Cell_10369_WXV	Ahnak	3
Cell_10369_WXV	Apoe	3
Cell_10369_WXV	Auts2	3
Cell_10369_WXV	Ccnd3	3
Cell_10369_WXV	Cdv3	3
Cell_10369_WXV	Cfh	3
Cell_10369_WXV	Cfl1	3
Cell_10369_WXV	Cst3	3
Cell_10369_WXV	Cyr61	3
Cell_10369_WXV	Dnajc3	3
Cell_10369_WXV	Eif1	3
Cell_10369_WXV	Emilin1	3
Cell_10369_WXV	Emp1	3
Cell_10369_WXV	Fndc1	3
Cell_10369_WXV	Gnb2	3
Cell_10369_WXV	H2-K1	3
Cell_10369_WXV	Hspa5	3
Cell_10369_WXV	Ier5	3
Cell_10369_WXV	Lpp	3
Cell_10369_WXV	Map4k4	3
Cell_10369_WXV	Mbtps1	3
Cell_10369_WXV	Mllt10	3
Cell_10369_WXV	Mrpl52	3
Cell_10369_WXV	Nr2c2	3
Cell_10369_WXV	Nrp1	3
Cell_10369_WXV	Pdcd5	3
Cell_10369_WXV	Pfn1	3
Cell_10369_WXV	Pls3	3
Cell_10369_WXV	Pmp22	3
Cell_10369_WXV	Prdx5	3
Cell_10369_WXV	Prelp	3
Cell_10369_WXV	Rora	3
Cell_10369_WXV	Rpl37a	3
Cell_10369_WXV	Rpsa	3
Cell_10369_WXV	Rtn3	3
Cell_10369_WXV	S100a9	3
Cell_10369_WXV	Slc26a7	3
Cell_10369_WXV	Spp1	3
Cell_10369_WXV	Synpo	3
Cell_10369_WXV	Tifa	3
Cell_10369_WXV	Tmed5	3
Cell_10369_WXV	Tmem176a	3
Cell_10369_WXV	Tmem176b	3
Cell_10369_WXV	Uqcc2	3
Cell_10369_WXV	1500009L16Rik	2
Cell_10369_WXV	1500015O10Rik	2
Cell_10369_WXV	1810037I17Rik	2
Cell_10369_WXV	Actg1	2
Cell_10369_WXV	Adipoq	2
Cell_10369_WXV	Amfr	2
Cell_10369_WXV	Antxr1	2
Cell_10369_WXV	Anxa1	2
Cell_10369_WXV	App	2
Cell_10369_WXV	Arih1	2
Cell_10369_WXV	Atp13a3	2
Cell_10369_WXV	Atp5f1	2
Cell_10369_WXV	Atp6v0a1	2
Cell_10369_WXV	Atp6v0e	2
Cell_10369_WXV	Auh	2
Cell_10369_WXV	Bmp4	2
Cell_10369_WXV	C4b	2
Cell_10369_WXV	Cdh11	2
Cell_10369_WXV	Chrdl1	2
Cell_10369_WXV	Clk1	2
Cell_10369_WXV	Clock	2
Cell_10369_WXV	Cltc	2
Cell_10369_WXV	Cnn3	2
Cell_10369_WXV	Col5a2	2
Cell_10369_WXV	Colec12	2
Cell_10369_WXV	Creb3l2	2
Cell_10369_WXV	Ddi2	2
Cell_10369_WXV	Ddx5	2
Cell_10369_WXV	Depdc5	2
Cell_10369_WXV	Dlc1	2
Cell_10369_WXV	Dnajb4	2
Cell_10369_WXV	Dnajc10	2
Cell_10369_WXV	Egr2	2
Cell_10369_WXV	Eif4h	2
Cell_10369_WXV	Eif5a	2
Cell_10369_WXV	Epas1	2
Cell_10369_WXV	Epc2	2
Cell_10369_WXV	Errfi1	2
Cell_10369_WXV	Esm1	2
Cell_10369_WXV	Fbln5	2
Cell_10369_WXV	Fbn1	2
Cell_10369_WXV	Fgfr2	2
Cell_10369_WXV	Fign	2
Cell_10369_WXV	Fkbp2	2
Cell_10369_WXV	Fkbp9	2
Cell_10369_WXV	Fnip1	2
Cell_10369_WXV	Foxc1	2
Cell_10369_WXV	Foxn3	2
Cell_10369_WXV	Fxyd1	2
Cell_10369_WXV	Fzd5	2
Cell_10369_WXV	Gdpd2	2
Cell_10369_WXV	Gls	2
Cell_10369_WXV	Gnai2	2
Cell_10369_WXV	Gns	2
Cell_10369_WXV	Gpatch8	2
Cell_10369_WXV	Gpm6b	2
Cell_10369_WXV	Grb10	2
Cell_10369_WXV	Grn	2
Cell_10369_WXV	Hdlbp	2
Cell_10369_WXV	Hes1	2
Cell_10369_WXV	Hint1	2
Cell_10369_WXV	Hsp90b1	2
Cell_10369_WXV	Id2	2
Cell_10369_WXV	Idh1	2
Cell_10369_WXV	Ier3	2
Cell_10369_WXV	Ifrd2	2
Cell_10369_WXV	Il17ra	2
Cell_10369_WXV	Inafm1	2
Cell_10369_WXV	Irf1	2
Cell_10369_WXV	Islr	2
Cell_10369_WXV	Itpk1	2
Cell_10369_WXV	Ivd	2
Cell_10369_WXV	Lasp1	2
Cell_10369_WXV	Lbp	2
Cell_10369_WXV	Ldha	2
Cell_10369_WXV	Lgals1	2
Cell_10369_WXV	Lims1	2
Cell_10369_WXV	Llph	2
Cell_10369_WXV	Lman2	2
Cell_10369_WXV	Lmbrd1	2
Cell_10369_WXV	Lmo4	2
Cell_10369_WXV	Lmo7	2
Cell_10369_WXV	Lox	2
Cell_10369_WXV	Lrp1	2
Cell_10369_WXV	Lsm14a	2
Cell_10369_WXV	Mapre1	2
Cell_10369_WXV	Mcm4	2
Cell_10369_WXV	Mef2a	2
Cell_10369_WXV	Mgst1	2
Cell_10369_WXV	Mpdz	2
Cell_10369_WXV	Mycbp2	2
Cell_10369_WXV	Nedd4	2
Cell_10369_WXV	Npdc1	2
Cell_10369_WXV	Nudt4	2
Cell_10369_WXV	Oaz2	2
Cell_10369_WXV	Paip2	2
Cell_10369_WXV	Parp14	2
Cell_10369_WXV	Pbx1	2
Cell_10369_WXV	Pde5a	2
Cell_10369_WXV	Pdgfrb	2
Cell_10369_WXV	Pdha1	2
Cell_10369_WXV	Pgrmc1	2
Cell_10369_WXV	Plac8	2
Cell_10369_WXV	Ppfibp1	2
Cell_10369_WXV	Ppia	2
Cell_10369_WXV	Ppp1r2	2
Cell_10369_WXV	Pten	2
Cell_10369_WXV	Pum2	2
Cell_10369_WXV	Qk	2
Cell_10369_WXV	Rab2a	2
Cell_10369_WXV	Rhbdf1	2
Cell_10369_WXV	Rpl13	2
Cell_10369_WXV	Rpl18	2
Cell_10369_WXV	Rpl21	2
Cell_10369_WXV	Rpl23	2
Cell_10369_WXV	Rpl24	2
Cell_10369_WXV	Rpl28	2
Cell_10369_WXV	Rpl3	2
Cell_10369_WXV	Rpl32	2
Cell_10369_WXV	Rplp2	2
Cell_10369_WXV	Rps14	2
Cell_10369_WXV	Rps16	2
Cell_10369_WXV	Rps23	2
Cell_10369_WXV	Rps3	2
Cell_10369_WXV	Rps6	2
Cell_10369_WXV	Rsrc2	2
Cell_10369_WXV	Rsrp1	2
Cell_10369_WXV	Samhd1	2
Cell_10369_WXV	Scara3	2
Cell_10369_WXV	Set	2
Cell_10369_WXV	Sf3b1	2
Cell_10369_WXV	Skil	2
Cell_10369_WXV	Slc6a6	2
Cell_10369_WXV	Smg6	2
Cell_10369_WXV	Smoc1	2
Cell_10369_WXV	Spry1	2
Cell_10369_WXV	Ssbp2	2
Cell_10369_WXV	Ssh2	2
Cell_10369_WXV	Ssna1	2
Cell_10369_WXV	Ssr4	2
Cell_10369_WXV	Stat2	2
Cell_10369_WXV	Stk17b	2
Cell_10369_WXV	Syncrip	2
Cell_10369_WXV	Syne1	2
Cell_10369_WXV	Taok1	2
Cell_10369_WXV	Tet3	2
Cell_10369_WXV	Thsd4	2
Cell_10369_WXV	Tln2	2
Cell_10369_WXV	Tmbim6	2
Cell_10369_WXV	Tmed10	2
Cell_10369_WXV	Tmem165	2
Cell_10369_WXV	Tnc	2
Cell_10369_WXV	Top1	2
Cell_10369_WXV	Tsc22d2	2
Cell_10369_WXV	Ube2d2a	2
Cell_10369_WXV	Uqcrb	2
Cell_10369_WXV	Vasn	2
Cell_10369_WXV	Vcam1	2
Cell_10369_WXV	Vhl	2
Cell_10369_WXV	Vim	2
Cell_10369_WXV	Vkorc1l1	2
Cell_10369_WXV	Wasl	2
Cell_10369_WXV	Wdr86	2
Cell_10369_WXV	Zbtb20	2
Cell_10369_WXV	Zc3h13	2
Cell_10369_WXV	Zkscan8	2
Cell_10369_WXV	1110004F10Rik	1
Cell_10369_WXV	1110019D14Rik	1
Cell_10369_WXV	1190002N15Rik	1
Cell_10369_WXV	1700123O20Rik	1
Cell_10369_WXV	2010107E04Rik	1
Cell_10369_WXV	2810403A07Rik	1
Cell_10369_WXV	4931406C07Rik	1
Cell_10369_WXV	4933431E20Rik	1
Cell_10369_WXV	9030612E09Rik	1
Cell_10369_WXV	Aamdc	1
Cell_10369_WXV	Abca8a	1
Cell_10369_WXV	Abcc5	1
Cell_10369_WXV	Abcf2	1
Cell_10369_WXV	Abhd16a	1
Cell_10369_WXV	Abhd17b	1
Cell_10369_WXV	Acad11	1
Cell_10369_WXV	Acin1	1
Cell_10369_WXV	Acot8	1
Cell_10369_WXV	Acss2	1
Cell_10369_WXV	Actr1b	1
Cell_10369_WXV	Acvr1	1
Cell_10369_WXV	Adam15	1
Cell_10369_WXV	Adcy2	1
Cell_10369_WXV	Adgrf5	1
Cell_10369_WXV	Adgrl2	1
Cell_10369_WXV	Adh7	1
Cell_10369_WXV	Adrb2	1
Cell_10369_WXV	Adss	1
Cell_10369_WXV	Aes	1
Cell_10369_WXV	Agap1	1
Cell_10369_WXV	Ago2	1
Cell_10369_WXV	Ahsa2	1
Cell_10369_WXV	AI837181	1
Cell_10369_WXV	Akap13	1
Cell_10369_WXV	Aktip	1
Cell_10369_WXV	Aldoa	1
Cell_10369_WXV	Ammecr1l	1
Cell_10369_WXV	Ankrd11	1
Cell_10369_WXV	Ankrd12	1
Cell_10369_WXV	Ankrd16	1
Cell_10369_WXV	Anxa3	1
Cell_10369_WXV	Anxa6	1
Cell_10369_WXV	Ap3d1	1
Cell_10369_WXV	Aph1a	1
Cell_10369_WXV	Aph1c	1
Cell_10369_WXV	Arc	1
Cell_10369_WXV	Arf1	1
Cell_10369_WXV	Arf4	1
Cell_10369_WXV	Arfgap2	1
Cell_10369_WXV	Arfgap3	1
Cell_10369_WXV	Arhgap6	1
Cell_10369_WXV	Arhgef25	1
Cell_10369_WXV	Arhgef40	1
Cell_10369_WXV	Arl5a	1
Cell_10369_WXV	Arl6ip6	1
Cell_10369_WXV	Arl8a	1
Cell_10369_WXV	Arpc1b	1
Cell_10369_WXV	Arpc4	1
Cell_10369_WXV	Asah2	1
Cell_10369_WXV	Asph	1
Cell_10369_WXV	Asxl2	1
Cell_10369_WXV	Atad1	1
Cell_10369_WXV	Atf5	1
Cell_10369_WXV	Atg2a	1
Cell_10369_WXV	Atp11b	1
Cell_10369_WXV	Atp5b	1
Cell_10369_WXV	Atp5j	1
Cell_10369_WXV	Atp5l	1
Cell_10369_WXV	Atxn1	1
Cell_10369_WXV	Atxn2l	1
Cell_10369_WXV	Aup1	1
Cell_10369_WXV	Axl	1
Cell_10369_WXV	Azin1	1
Cell_10369_WXV	Bach1	1
Cell_10369_WXV	Bak1	1
Cell_10369_WXV	Baz1b	1
Cell_10369_WXV	Baz2b	1
Cell_10369_WXV	Bbc3	1
Cell_10369_WXV	Bbip1	1
Cell_10369_WXV	BC004004	1
Cell_10369_WXV	BC031181	1
Cell_10369_WXV	Bcat2	1
Cell_10369_WXV	Bcl2	1
Cell_10369_WXV	Bhlhe40	1
Cell_10369_WXV	Bicc1	1
Cell_10369_WXV	Bicd2	1
Cell_10369_WXV	Bmi1	1
Cell_10369_WXV	Bmp1	1
Cell_10369_WXV	Bod1l	1
Cell_10369_WXV	Bptf	1
Cell_10369_WXV	Brd2	1
Cell_10369_WXV	Brms1l	1
Cell_10369_WXV	Brwd3	1
Cell_10369_WXV	Bst2	1
Cell_10369_WXV	C2cd4b	1
Cell_10369_WXV	C330007P06Rik	1
Cell_10369_WXV	Cables1	1
Cell_10369_WXV	Cald1	1
Cell_10369_WXV	Calu	1
Cell_10369_WXV	Camk2d	1
Cell_10369_WXV	Camp	1
Cell_10369_WXV	Cant1	1
Cell_10369_WXV	Capns1	1
Cell_10369_WXV	Carm1	1
Cell_10369_WXV	Cask	1
Cell_10369_WXV	Cbfb	1
Cell_10369_WXV	Cbr1	1
Cell_10369_WXV	Cbx3	1
Cell_10369_WXV	Ccdc71l	1
Cell_10369_WXV	Ccdc80	1
Cell_10369_WXV	Ccl6	1
Cell_10369_WXV	Ccnd2	1
Cell_10369_WXV	Ccnl2	1
Cell_10369_WXV	Ccnt1	1
Cell_10369_WXV	Ccnt2	1
Cell_10369_WXV	Cd47	1
Cell_10369_WXV	Cd63	1
Cell_10369_WXV	Cd81	1
Cell_10369_WXV	Cdc16	1
Cell_10369_WXV	Cdc40	1
Cell_10369_WXV	Cdc42	1
Cell_10369_WXV	Cdc42bpa	1
Cell_10369_WXV	Cdc42ep5	1
Cell_10369_WXV	Cdc42se2	1
Cell_10369_WXV	Cdc73	1
Cell_10369_WXV	Cdca4	1
Cell_10369_WXV	Cdh2	1
Cell_10369_WXV	Cdip1	1
Cell_10369_WXV	Cdipt	1
Cell_10369_WXV	Cdk2	1
Cell_10369_WXV	Cdk4	1
Cell_10369_WXV	Cdk6	1
Cell_10369_WXV	Cebpa	1
Cell_10369_WXV	Celf1	1
Cell_10369_WXV	Cep89	1
Cell_10369_WXV	Cfdp1	1
Cell_10369_WXV	Chac2	1
Cell_10369_WXV	Chchd2	1
Cell_10369_WXV	Chd1	1
Cell_10369_WXV	Chka	1
Cell_10369_WXV	Chl1	1
Cell_10369_WXV	Chmp2b	1
Cell_10369_WXV	Chtf8	1
Cell_10369_WXV	Cisd1	1
Cell_10369_WXV	Cited4	1
Cell_10369_WXV	Cks2	1
Cell_10369_WXV	Clasp2	1
Cell_10369_WXV	Clec11a	1
Cell_10369_WXV	Cnbp	1
Cell_10369_WXV	Col11a1	1
Cell_10369_WXV	Col4a1	1
Cell_10369_WXV	Col4a2	1
Cell_10369_WXV	Col5a1	1
Cell_10369_WXV	Col5a3	1
Cell_10369_WXV	Commd4	1
Cell_10369_WXV	Copa	1
Cell_10369_WXV	Cops4	1
Cell_10369_WXV	Coq10b	1
Cell_10369_WXV	Coq2	1
Cell_10369_WXV	Coq9	1
Cell_10369_WXV	Cox14	1
Cell_10369_WXV	Cox4i1	1
Cell_10369_WXV	Cox5a	1
Cell_10369_WXV	Cox6b1	1
Cell_10369_WXV	Cox6c	1
Cell_10369_WXV	Cpeb4	1
Cell_10369_WXV	Cpne8	1
Cell_10369_WXV	Cpox	1
Cell_10369_WXV	Creb3	1
Cell_10369_WXV	Creld1	1
Cell_10369_WXV	Crim1	1
Cell_10369_WXV	Crip2	1
Cell_10369_WXV	Csmd1	1
Cell_10369_WXV	Csnk1a1	1
Cell_10369_WXV	Csnk1d	1
Cell_10369_WXV	Csnk1e	1
Cell_10369_WXV	Cstf3	1
Cell_10369_WXV	Ctnnb1	1
Cell_10369_WXV	Ctnnd1	1
Cell_10369_WXV	Ctsb	1
Cell_10369_WXV	Cuedc1	1
Cell_10369_WXV	Cul5	1
Cell_10369_WXV	Cxcl1	1
Cell_10369_WXV	Cyb5b	1
Cell_10369_WXV	Cyp1b1	1
Cell_10369_WXV	Daam1	1
Cell_10369_WXV	Dab2ip	1
Cell_10369_WXV	Dbnl	1
Cell_10369_WXV	Dbt	1
Cell_10369_WXV	Dctn3	1
Cell_10369_WXV	Dda1	1
Cell_10369_WXV	Ddx47	1
Cell_10369_WXV	Desi1	1
Cell_10369_WXV	Dgkz	1
Cell_10369_WXV	Dhx30	1
Cell_10369_WXV	Dhx36	1
Cell_10369_WXV	Dlg5	1
Cell_10369_WXV	Dnajc21	1
Cell_10369_WXV	Dnajc25	1
Cell_10369_WXV	Dnajc5	1
Cell_10369_WXV	Dock7	1
Cell_10369_WXV	Dopey1	1
Cell_10369_WXV	Dpep1	1
Cell_10369_WXV	Drap1	1
Cell_10369_WXV	Dusp5	1
Cell_10369_WXV	Dync2li1	1
Cell_10369_WXV	Dynll1	1
Cell_10369_WXV	Dynll2	1
Cell_10369_WXV	Dynlrb1	1
Cell_10369_WXV	E2f4	1
Cell_10369_WXV	Ech1	1
Cell_10369_WXV	Edem3	1
Cell_10369_WXV	Ednra	1
Cell_10369_WXV	Eea1	1
Cell_10369_WXV	Eef1b2	1
Cell_10369_WXV	Eef1g	1
Cell_10369_WXV	Efemp2	1
Cell_10369_WXV	Ehd1	1
Cell_10369_WXV	Eid1	1
Cell_10369_WXV	Eif1a	1
Cell_10369_WXV	Eif1b	1
Cell_10369_WXV	Eif2ak2	1
Cell_10369_WXV	Eif3b	1
Cell_10369_WXV	Eif3e	1
Cell_10369_WXV	Eif4a1	1
Cell_10369_WXV	Eif4e3	1
Cell_10369_WXV	Elmo1	1
Cell_10369_WXV	Elovl5	1
Cell_10369_WXV	Emc1	1
Cell_10369_WXV	Emc10	1
Cell_10369_WXV	Enah	1
Cell_10369_WXV	Enc1	1
Cell_10369_WXV	Eng	1
Cell_10369_WXV	Enpep	1
Cell_10369_WXV	Eny2	1
Cell_10369_WXV	Eogt	1
Cell_10369_WXV	Ep400	1
Cell_10369_WXV	Epdr1	1
Cell_10369_WXV	Epn1	1
Cell_10369_WXV	Ets1	1
Cell_10369_WXV	Eva1c	1
Cell_10369_WXV	Ewsr1	1
Cell_10369_WXV	Exoc2	1
Cell_10369_WXV	Exoc3l4	1
Cell_10369_WXV	Eya3	1
Cell_10369_WXV	Fam104a	1
Cell_10369_WXV	Fam126b	1
Cell_10369_WXV	Fam160a1	1
Cell_10369_WXV	Fam172a	1
Cell_10369_WXV	Fam204a	1
Cell_10369_WXV	Fam20a	1
Cell_10369_WXV	Fam46a	1
Cell_10369_WXV	Far1	1
Cell_10369_WXV	Fat1	1
Cell_10369_WXV	Fbrs	1
Cell_10369_WXV	Fbxl3	1
Cell_10369_WXV	Fbxo6	1
Cell_10369_WXV	Fbxo9	1
Cell_10369_WXV	Fgf13	1
Cell_10369_WXV	Fgfr1	1
Cell_10369_WXV	Fgl2	1
Cell_10369_WXV	Flna	1
Cell_10369_WXV	Flnb	1
Cell_10369_WXV	Fmnl3	1
Cell_10369_WXV	Fndc3b	1
Cell_10369_WXV	Fosl2	1
Cell_10369_WXV	Foxo3	1
Cell_10369_WXV	Frmd4a	1
Cell_10369_WXV	Frmd6	1
Cell_10369_WXV	Fryl	1
Cell_10369_WXV	Fth1	1
Cell_10369_WXV	Fut11	1
Cell_10369_WXV	Fzd8	1
Cell_10369_WXV	G0s2	1
Cell_10369_WXV	Gabarap	1
Cell_10369_WXV	Gadd45a	1
Cell_10369_WXV	Gadd45b	1
Cell_10369_WXV	Galnt11	1
Cell_10369_WXV	Gars	1
Cell_10369_WXV	Gdap10	1
Cell_10369_WXV	Gemin6	1
Cell_10369_WXV	Gga2	1
Cell_10369_WXV	Glrx2	1
Cell_10369_WXV	Glrx3	1
Cell_10369_WXV	Glyr1	1
Cell_10369_WXV	Gm12216	1
Cell_10369_WXV	Gm15446	1
Cell_10369_WXV	Gm2a	1
Cell_10369_WXV	Gna12	1
Cell_10369_WXV	Gnas	1
Cell_10369_WXV	Gng11	1
Cell_10369_WXV	Gng12	1
Cell_10369_WXV	Golga4	1
Cell_10369_WXV	Golgb1	1
Cell_10369_WXV	Golim4	1
Cell_10369_WXV	Gosr1	1
Cell_10369_WXV	Gp6	1
Cell_10369_WXV	Gpbp1l1	1
Cell_10369_WXV	Gpcpd1	1
Cell_10369_WXV	Gpr161	1
Cell_10369_WXV	Grem1	1
Cell_10369_WXV	Gsk3b	1
Cell_10369_WXV	Gsr	1
Cell_10369_WXV	Gstm1	1
Cell_10369_WXV	H2-Q7	1
Cell_10369_WXV	H2afy	1
Cell_10369_WXV	H2afy2	1
Cell_10369_WXV	H2afz	1
Cell_10369_WXV	Hacd1	1
Cell_10369_WXV	Has2	1
Cell_10369_WXV	Herc4	1
Cell_10369_WXV	Herpud2	1
Cell_10369_WXV	Hibadh	1
Cell_10369_WXV	Hif1a	1
Cell_10369_WXV	Hip1	1
Cell_10369_WXV	Hipk1	1
Cell_10369_WXV	Hipk2	1
Cell_10369_WXV	Hist1h2bc	1
Cell_10369_WXV	Hjurp	1
Cell_10369_WXV	Hlf	1
Cell_10369_WXV	Hmg20b	1
Cell_10369_WXV	Hmgcll1	1
Cell_10369_WXV	Hnrnpa0	1
Cell_10369_WXV	Hnrnpa2b1	1
Cell_10369_WXV	Hnrnpa3	1
Cell_10369_WXV	Hnrnpk	1
Cell_10369_WXV	Hnrnpl	1
Cell_10369_WXV	Hnrnpll	1
Cell_10369_WXV	Hnrnpul2	1
Cell_10369_WXV	Hoxc8	1
Cell_10369_WXV	Hsd17b12	1
Cell_10369_WXV	Hspa9	1
Cell_10369_WXV	Htra2	1
Cell_10369_WXV	Hvcn1	1
Cell_10369_WXV	Ibtk	1
Cell_10369_WXV	Icam1	1
Cell_10369_WXV	Id4	1
Cell_10369_WXV	Ide	1
Cell_10369_WXV	Iffo2	1
Cell_10369_WXV	Ifi44	1
Cell_10369_WXV	Ifitm2	1
Cell_10369_WXV	Ift20	1
Cell_10369_WXV	Igf1	1
Cell_10369_WXV	Igf2r	1
Cell_10369_WXV	Igfbp5	1
Cell_10369_WXV	Igsf3	1
Cell_10369_WXV	Igtp	1
Cell_10369_WXV	Ikzf2	1
Cell_10369_WXV	Il1r1	1
Cell_10369_WXV	Il34	1
Cell_10369_WXV	Il6st	1
Cell_10369_WXV	Ilf2	1
Cell_10369_WXV	Ilk	1
Cell_10369_WXV	Impdh2	1
Cell_10369_WXV	Insr	1
Cell_10369_WXV	Ip6k3	1
Cell_10369_WXV	Ipo7	1
Cell_10369_WXV	Ireb2	1
Cell_10369_WXV	Irf3	1
Cell_10369_WXV	Isg15	1
Cell_10369_WXV	Ispd	1
Cell_10369_WXV	Isy1	1
Cell_10369_WXV	Itgb1	1
Cell_10369_WXV	Itih5	1
Cell_10369_WXV	Itm2a	1
Cell_10369_WXV	Itpr2	1
Cell_10369_WXV	Jak1	1
Cell_10369_WXV	Jmjd1c	1
Cell_10369_WXV	Jmjd6	1
Cell_10369_WXV	Kansl1l	1
Cell_10369_WXV	Kat7	1
Cell_10369_WXV	Kazn	1
Cell_10369_WXV	Kbtbd11	1
Cell_10369_WXV	Kcmf1	1
Cell_10369_WXV	Kcnq3	1
Cell_10369_WXV	Kctd12	1
Cell_10369_WXV	Kdelr1	1
Cell_10369_WXV	Kdsr	1
Cell_10369_WXV	Klhdc8b	1
Cell_10369_WXV	Klhl24	1
Cell_10369_WXV	Klhl28	1
Cell_10369_WXV	Kmt2a	1
Cell_10369_WXV	Kmt2e	1
Cell_10369_WXV	Krcc1	1
Cell_10369_WXV	Lama4	1
Cell_10369_WXV	Lamb1	1
Cell_10369_WXV	Lamp1	1
Cell_10369_WXV	Lamtor5	1
Cell_10369_WXV	Ldah	1
Cell_10369_WXV	Ldb1	1
Cell_10369_WXV	Lhx2	1
Cell_10369_WXV	Litaf	1
Cell_10369_WXV	Lman1	1
Cell_10369_WXV	Lman2l	1
Cell_10369_WXV	Lmbr1	1
Cell_10369_WXV	Lmna	1
Cell_10369_WXV	Lpar1	1
Cell_10369_WXV	Lpin2	1
Cell_10369_WXV	Lrp6	1
Cell_10369_WXV	Lrrc41	1
Cell_10369_WXV	Lrrc58	1
Cell_10369_WXV	Lsm4	1
Cell_10369_WXV	Ltbr	1
Cell_10369_WXV	Luc7l2	1
Cell_10369_WXV	Lum	1
Cell_10369_WXV	Ly96	1
Cell_10369_WXV	Lztfl1	1
Cell_10369_WXV	Lzts2	1
Cell_10369_WXV	Maf	1
Cell_10369_WXV	Mafb	1
Cell_10369_WXV	Mafg	1
Cell_10369_WXV	Maged1	1
Cell_10369_WXV	Maged2	1
Cell_10369_WXV	Man1a2	1
Cell_10369_WXV	Man2b2	1
Cell_10369_WXV	Map3k2	1
Cell_10369_WXV	March5	1
Cell_10369_WXV	March6	1
Cell_10369_WXV	Mark2	1
Cell_10369_WXV	Mat2a	1
Cell_10369_WXV	Mblac1	1
Cell_10369_WXV	Mbnl2	1
Cell_10369_WXV	Mcl1	1
Cell_10369_WXV	Mdk	1
Cell_10369_WXV	Mdp1	1
Cell_10369_WXV	Me3	1
Cell_10369_WXV	Med1	1
Cell_10369_WXV	Med13	1
Cell_10369_WXV	Med13l	1
Cell_10369_WXV	Med15	1
Cell_10369_WXV	Med27	1
Cell_10369_WXV	Mef2d	1
Cell_10369_WXV	Megf10	1
Cell_10369_WXV	Mettl23	1
Cell_10369_WXV	Mfap1b	1
Cell_10369_WXV	Mfsd12	1
Cell_10369_WXV	Mga	1
Cell_10369_WXV	Mical1	1
Cell_10369_WXV	Midn	1
Cell_10369_WXV	Mier1	1
Cell_10369_WXV	Mif	1
Cell_10369_WXV	Mif4gd	1
Cell_10369_WXV	Mkl2	1
Cell_10369_WXV	Mknk2	1
Cell_10369_WXV	Mlf2	1
