metric	value1	value2	value3
reference_cells	4183
query_cells	3516
reference_features	11889
query_features	11889
shared_named_features	11858
reference_noncontrol_guides	33
query_noncontrol_guides	32
reference_control_cells	922
query_control_cells	1424
target_consensus	target_gene	reference_guide	method	nearest_query_guide	nearest_score	nearest_rank	global_query_guide	global_score
target_consensus	LEO1	LEO1-I2	pearson_all	guide14	0.3072367609127206	1	guide10	0.08074042465854125
target_consensus	NUDT21	NUDT21-I3	pearson_all	guide13	0.6340415236247099	1	guide13	0.6340415236247099
target_consensus	PABPC1	PABPC1-I1	pearson_all	guide18	0.5334451861116686	1	guide18	0.5334451861116686
target_consensus	LEO1	LEO1-I2	cosine_all	guide14	0.3705230735859784	1	guide14	0.3705230735859784
target_consensus	NUDT21	NUDT21-I3	cosine_all	guide13	0.6296719765833828	1	guide13	0.6296719765833828
target_consensus	PABPC1	PABPC1-I1	cosine_all	guide18	0.5230715366699988	1	guide18	0.5230715366699988
target_consensus	LEO1	LEO1-I2	pearson_var250	guide14	0.34882199955256943	1	guide10	0.07286342311254246
target_consensus	NUDT21	NUDT21-I3	pearson_var250	guide13	0.696520006251449	1	guide13	0.696520006251449
target_consensus	PABPC1	PABPC1-I1	pearson_var250	guide18	0.6266648738899201	1	guide18	0.6266648738899201
target_consensus	LEO1	LEO1-I2	pearson_var500	guide14	0.35753656630853836	1	guide14	0.35753656630853836
target_consensus	NUDT21	NUDT21-I3	pearson_var500	guide13	0.7081521252025301	1	guide13	0.7081521252025301
target_consensus	PABPC1	PABPC1-I1	pearson_var500	guide18	0.6145490210828999	1	guide18	0.6145490210828999
target_consensus	LEO1	LEO1-I2	pearson_var1000	guide14	0.3327875785112242	1	guide14	0.3327875785112242
target_consensus	NUDT21	NUDT21-I3	pearson_var1000	guide13	0.6902150992840148	1	guide13	0.6902150992840148
target_consensus	PABPC1	PABPC1-I1	pearson_var1000	guide18	0.5911784343911358	1	guide18	0.5911784343911358
target_consensus	LEO1	LEO1-I2	pearson_var2000	guide14	0.3035580868072106	1	guide8	0.12810698126786166
target_consensus	NUDT21	NUDT21-I3	pearson_var2000	guide13	0.6829364538598223	1	guide13	0.6829364538598223
target_consensus	PABPC1	PABPC1-I1	pearson_var2000	guide18	0.5868657252589679	1	guide18	0.5868657252589679
target_consensus	LEO1	LEO1-I2	pearson_var5000	guide14	0.2817247403536278	1	guide14	0.2817247403536278
target_consensus	NUDT21	NUDT21-I3	pearson_var5000	guide13	0.6542437147613269	1	guide13	0.6542437147613269
target_consensus	PABPC1	PABPC1-I1	pearson_var5000	guide18	0.5653990838365995	1	guide18	0.5653990838365995
target_vote	target_gene	reference_guide	consensus_query_guide	nearest_vote_count	methods
global_assignment	cosine_all	RPRD1A-I5	RPRD1A	guide8	0.1282670173116123
global_assignment	cosine_all	RPRD1B-I1	RPRD1B	guide5	0.30114318706336113
global_assignment	cosine_all	SCAF1-I2	SCAF1	guide26	0.48992889068210027
global_assignment	cosine_all	SCAF11-I3	SCAF11	guide11	0.13737203008648685
global_assignment	cosine_all	SCAF4-I4	SCAF4	guide6	0.2539491359366334
global_assignment	cosine_all	SF3A1-I5	SF3A1	guide23	0.2902719047287903
global_assignment	cosine_all	SRSF3-I1	SRSF3	guide30	0.2831721272392151
global_assignment	cosine_all	SYMPK-I3	SYMPK	guide25	0.4758182658292034
global_assignment	cosine_all	THOC5-I1	THOC5	guide27	0.3152368360613785
global_assignment	pearson_var250	CDC73-I2	CDC73	guide14	0.3935884911769642
global_assignment	pearson_var250	CPSF1-I3	CPSF1	guide4	0.7022211938151426
global_assignment	pearson_var250	CPSF2-I1	CPSF2	guide21	0.5978332632766065
global_assignment	pearson_var250	CPSF3-I3	CPSF3	guide5	0.43632574287653036
global_assignment	pearson_var250	CPSF3L-I8	CPSF3L	guide31	0.016162068383020926
global_assignment	pearson_var250	CPSF4-I8	CPSF4	guide29	0.6562453649163824
global_assignment	pearson_var250	CPSF6-I5	CPSF6	guide19	0.5937221590159885
global_assignment	pearson_var250	CPSF7-I1	CPSF7	guide2	0.33989927862076347
global_assignment	pearson_var250	CSTF1-I5	CSTF1	guide3	0.5469763429043852
global_assignment	pearson_var250	CSTF2-I4	CSTF2	guide15	0.34506674908816604
global_assignment	pearson_var250	CSTF3-I5	CSTF3	guide22	0.6216777019054452
global_assignment	pearson_var250	CTR9-I7	CTR9	guide6	0.17121292648263253
global_assignment	pearson_var250	FIP1L1-I1	FIP1L1	guide17	0.388304482856231
global_assignment	pearson_var250	LEO1-I2	LEO1	guide10	0.07286342311254246
global_assignment	pearson_var250	NUDT21-I3	NUDT21	guide13	0.696520006251449
global_assignment	pearson_var250	PABPC1-I1	PABPC1	guide18	0.6266648738899201
global_assignment	pearson_var250	PABPN1-I2	PABPN1	guide24	0.5826839507154292
global_assignment	pearson_var250	PAF1-I6	PAF1	guide12	0.2776783930812895
global_assignment	pearson_var250	PAPOLA-I3	PAPOLA	guide7	0.4945633039809518
global_assignment	pearson_var250	PCF11-I5	PCF11	guide20	0.564683574242544
global_assignment	pearson_var250	PHF3-I5	PHF3	guide32	0.0999668208716522
global_assignment	pearson_var250	RBBP6-I4	RBBP6	guide9	0.550823936968087
global_assignment	pearson_var250	RPAP2-I2	RPAP2	guide16	0.35172127150500804
global_assignment	pearson_var250	RPRD1A-I5	RPRD1A	guide8	0.21147518664930667
global_assignment	pearson_var250	RPRD1B-I1	RPRD1B	guide28	0.4803693993910877
global_assignment	pearson_var250	SCAF1-I2	SCAF1	guide27	0.4897650946862833
global_assignment	pearson_var250	SCAF11-I3	SCAF11	guide11	0.13321252759617241
global_assignment	pearson_var250	SCAF4-I4	SCAF4	guide26	0.3572074479949545
global_assignment	pearson_var250	SF3A1-I5	SF3A1	guide23	0.18370280454297366
global_assignment	pearson_var250	SRSF3-I1	SRSF3	guide30	0.36627848085684295
global_assignment	pearson_var250	SYMPK-I3	SYMPK	guide25	0.5803687985936492
global_assignment	pearson_var250	THOC5-I1	THOC5	guide1	0.15340061106258981
global_assignment	pearson_var500	CDC73-I2	CDC73	guide10	0.11402231147195283
global_assignment	pearson_var500	CPSF1-I3	CPSF1	guide4	0.7023627273915221
global_assignment	pearson_var500	CPSF2-I1	CPSF2	guide3	0.6403123697639759
global_assignment	pearson_var500	CPSF3-I3	CPSF3	guide21	0.5568930943558675
global_assignment	pearson_var500	CPSF3L-I8	CPSF3L	guide32	0.014432496038220931
global_assignment	pearson_var500	CPSF4-I8	CPSF4	guide29	0.6468957438161627
global_assignment	pearson_var500	CPSF6-I5	CPSF6	guide19	0.6109444297598059
global_assignment	pearson_var500	CPSF7-I1	CPSF7	guide2	0.36362149064786387
global_assignment	pearson_var500	CSTF1-I5	CSTF1	guide31	0.19006154140910425
global_assignment	pearson_var500	CSTF2-I4	CSTF2	guide15	0.2546728391755962
global_assignment	pearson_var500	CSTF3-I5	CSTF3	guide22	0.5909821672176652
global_assignment	pearson_var500	CTR9-I7	CTR9	guide6	0.16938476169305414
global_assignment	pearson_var500	FIP1L1-I1	FIP1L1	guide17	0.4251323301049338
global_assignment	pearson_var500	LEO1-I2	LEO1	guide14	0.35753656630853836
global_assignment	pearson_var500	NUDT21-I3	NUDT21	guide13	0.7081521252025301
global_assignment	pearson_var500	PABPC1-I1	PABPC1	guide18	0.6145490210828999
global_assignment	pearson_var500	PABPN1-I2	PABPN1	guide24	0.562521958825031
global_assignment	pearson_var500	PAF1-I6	PAF1	guide12	0.2526283257566729
global_assignment	pearson_var500	PAPOLA-I3	PAPOLA	guide7	0.4960201733938531
global_assignment	pearson_var500	PCF11-I5	PCF11	guide20	0.592613228234196
global_assignment	pearson_var500	PHF3-I5	PHF3	guide1	0.16139057159657977
global_assignment	pearson_var500	RBBP6-I4	RBBP6	guide9	0.531217129909463
global_assignment	pearson_var500	RPAP2-I2	RPAP2	guide16	0.28438288465148
global_assignment	pearson_var500	RPRD1A-I5	RPRD1A	guide8	0.2059629940378141
global_assignment	pearson_var500	RPRD1B-I1	RPRD1B	guide28	0.4085907340073225
global_assignment	pearson_var500	SCAF1-I2	SCAF1	guide27	0.4327409490159833
global_assignment	pearson_var500	SCAF11-I3	SCAF11	guide11	0.1078755772767648
global_assignment	pearson_var500	SCAF4-I4	SCAF4	guide26	0.2655054168667161
global_assignment	pearson_var500	SF3A1-I5	SF3A1	guide23	0.13907678192906447
global_assignment	pearson_var500	SRSF3-I1	SRSF3	guide30	0.36511772519917635
global_assignment	pearson_var500	SYMPK-I3	SYMPK	guide25	0.5102789198280976
global_assignment	pearson_var500	THOC5-I1	THOC5	guide5	0.2283470870281473
global_assignment	pearson_var1000	CDC73-I2	CDC73	guide10	0.10495040587639526
global_assignment	pearson_var1000	CPSF1-I3	CPSF1	guide4	0.6751069055178207
global_assignment	pearson_var1000	CPSF2-I1	CPSF2	guide21	0.5395353476190542
global_assignment	pearson_var1000	CPSF3-I3	CPSF3	guide5	0.41653514745898734
global_assignment	pearson_var1000	CPSF3L-I8	CPSF3L	guide32	0.016996771780386465
global_assignment	pearson_var1000	CPSF4-I8	CPSF4	guide29	0.6111207269401693
global_assignment	pearson_var1000	CPSF6-I5	CPSF6	guide19	0.5933508691353038
global_assignment	pearson_var1000	CPSF7-I1	CPSF7	guide2	0.3248814744744545
global_assignment	pearson_var1000	CSTF1-I5	CSTF1	guide3	0.45053919076614274
global_assignment	pearson_var1000	CSTF2-I4	CSTF2	guide15	0.20632797114705964
global_assignment	pearson_var1000	CSTF3-I5	CSTF3	guide22	0.551533728308591
global_assignment	pearson_var1000	CTR9-I7	CTR9	guide28	0.24848437084393632
global_assignment	pearson_var1000	FIP1L1-I1	FIP1L1	guide17	0.4334762183652347
global_assignment	pearson_var1000	LEO1-I2	LEO1	guide14	0.3327875785112242
global_assignment	pearson_var1000	NUDT21-I3	NUDT21	guide13	0.6902150992840148
global_assignment	pearson_var1000	PABPC1-I1	PABPC1	guide18	0.5911784343911358
global_assignment	pearson_var1000	PABPN1-I2	PABPN1	guide24	0.5091698187971313
global_assignment	pearson_var1000	PAF1-I6	PAF1	guide12	0.2325631958296792
global_assignment	pearson_var1000	PAPOLA-I3	PAPOLA	guide7	0.4701854482415002
global_assignment	pearson_var1000	PCF11-I5	PCF11	guide20	0.5897966837266954
global_assignment	pearson_var1000	PHF3-I5	PHF3	guide1	0.17891058998908782
global_assignment	pearson_var1000	RBBP6-I4	RBBP6	guide9	0.5450285794242147
global_assignment	pearson_var1000	RPAP2-I2	RPAP2	guide26	0.17425519020571179
global_assignment	pearson_var1000	RPRD1A-I5	RPRD1A	guide8	0.205957577866896
global_assignment	pearson_var1000	RPRD1B-I1	RPRD1B	guide16	0.4017150844300596
global_assignment	pearson_var1000	SCAF1-I2	SCAF1	guide27	0.3860192577618157
global_assignment	pearson_var1000	SCAF11-I3	SCAF11	guide11	0.129988509034284
global_assignment	pearson_var1000	SCAF4-I4	SCAF4	guide6	0.3087800403928144
global_assignment	pearson_var1000	SF3A1-I5	SF3A1	guide23	0.13656666958773223
global_assignment	pearson_var1000	SRSF3-I1	SRSF3	guide30	0.36658569576735145
global_assignment	pearson_var1000	SYMPK-I3	SYMPK	guide25	0.45285423034638617
global_assignment	pearson_var1000	THOC5-I1	THOC5	guide31	0.10792780258811592
global_assignment	pearson_var2000	CDC73-I2	CDC73	guide10	0.09942041607710404
global_assignment	pearson_var2000	CPSF1-I3	CPSF1	guide4	0.6507740571973024
global_assignment	pearson_var2000	CPSF2-I1	CPSF2	guide21	0.4995617958358734
global_assignment	pearson_var2000	CPSF3-I3	CPSF3	guide3	0.5185031254616919
global_assignment	pearson_var2000	CPSF3L-I8	CPSF3L	guide32	0.016869826347250514
global_assignment	pearson_var2000	CPSF4-I8	CPSF4	guide29	0.5622734447988735
global_assignment	pearson_var2000	CPSF6-I5	CPSF6	guide19	0.5817232510850631
global_assignment	pearson_var2000	CPSF7-I1	CPSF7	guide2	0.27686175059913065
global_assignment	pearson_var2000	CSTF1-I5	CSTF1	guide26	0.2747589249852485
global_assignment	pearson_var2000	CSTF2-I4	CSTF2	guide15	0.18740962130624028
global_assignment	pearson_var2000	CSTF3-I5	CSTF3	guide22	0.5233232646113983
global_assignment	pearson_var2000	CTR9-I7	CTR9	guide14	0.32464783677774867
global_assignment	pearson_var2000	FIP1L1-I1	FIP1L1	guide17	0.44148810477919187
global_assignment	pearson_var2000	LEO1-I2	LEO1	guide8	0.12810698126786166
global_assignment	pearson_var2000	NUDT21-I3	NUDT21	guide13	0.6829364538598223
global_assignment	pearson_var2000	PABPC1-I1	PABPC1	guide18	0.5868657252589679
global_assignment	pearson_var2000	PABPN1-I2	PABPN1	guide24	0.46421736452125295
global_assignment	pearson_var2000	PAF1-I6	PAF1	guide28	0.26676319625948347
global_assignment	pearson_var2000	PAPOLA-I3	PAPOLA	guide7	0.426524182495651
global_assignment	pearson_var2000	PCF11-I5	PCF11	guide20	0.5657002209893333
global_assignment	pearson_var2000	PHF3-I5	PHF3	guide1	0.1472144973318
global_assignment	pearson_var2000	RBBP6-I4	RBBP6	guide9	0.5096478226979245
global_assignment	pearson_var2000	RPAP2-I2	RPAP2	guide12	0.21739228291883095
global_assignment	pearson_var2000	RPRD1A-I5	RPRD1A	guide5	0.1762728706453912
global_assignment	pearson_var2000	RPRD1B-I1	RPRD1B	guide16	0.39305250092983385
global_assignment	pearson_var2000	SCAF1-I2	SCAF1	guide27	0.3812641014117785
global_assignment	pearson_var2000	SCAF11-I3	SCAF11	guide11	0.1281940011185574
global_assignment	pearson_var2000	SCAF4-I4	SCAF4	guide6	0.31103484639633544
global_assignment	pearson_var2000	SF3A1-I5	SF3A1	guide31	0.061869857983457975
global_assignment	pearson_var2000	SRSF3-I1	SRSF3	guide30	0.35155025573069737
global_assignment	pearson_var2000	SYMPK-I3	SYMPK	guide25	0.41864920153615637
global_assignment	pearson_var2000	THOC5-I1	THOC5	guide23	0.1824179372707415
global_assignment	pearson_var5000	CDC73-I2	CDC73	guide10	0.09596491734715351
global_assignment	pearson_var5000	CPSF1-I3	CPSF1	guide4	0.649573740323312
global_assignment	pearson_var5000	CPSF2-I1	CPSF2	guide21	0.46742977747158665
global_assignment	pearson_var5000	CPSF3-I3	CPSF3	guide3	0.5080194798028829
global_assignment	pearson_var5000	CPSF3L-I8	CPSF3L	guide1	0.11254617966816766
global_assignment	pearson_var5000	CPSF4-I8	CPSF4	guide29	0.5370376960230483
global_assignment	pearson_var5000	CPSF6-I5	CPSF6	guide19	0.5474015760432703
global_assignment	pearson_var5000	CPSF7-I1	CPSF7	guide2	0.23380224952674125
global_assignment	pearson_var5000	CSTF1-I5	CSTF1	guide16	0.41305729007154157
global_assignment	pearson_var5000	CSTF2-I4	CSTF2	guide15	0.18011397589305414
global_assignment	pearson_var5000	CSTF3-I5	CSTF3	guide22	0.5034725639581207
global_assignment	pearson_var5000	CTR9-I7	CTR9	guide28	0.27773977292987545
global_assignment	pearson_var5000	FIP1L1-I1	FIP1L1	guide17	0.45106174546040684
global_assignment	pearson_var5000	LEO1-I2	LEO1	guide14	0.2817247403536278
global_assignment	pearson_var5000	NUDT21-I3	NUDT21	guide13	0.6542437147613269
global_assignment	pearson_var5000	PABPC1-I1	PABPC1	guide18	0.5653990838365995
global_assignment	pearson_var5000	PABPN1-I2	PABPN1	guide24	0.40772607308779146
global_assignment	pearson_var5000	PAF1-I6	PAF1	guide12	0.22250984270045707
global_assignment	pearson_var5000	PAPOLA-I3	PAPOLA	guide7	0.35833541196929675
global_assignment	pearson_var5000	PCF11-I5	PCF11	guide20	0.5426750321905973
global_assignment	pearson_var5000	PHF3-I5	PHF3	guide32	0.006162075644222004
global_assignment	pearson_var5000	RBBP6-I4	RBBP6	guide9	0.4631218035997752
global_assignment	pearson_var5000	RPAP2-I2	RPAP2	guide27	0.23729108168846663
global_assignment	pearson_var5000	RPRD1A-I5	RPRD1A	guide8	0.12158165190896526
global_assignment	pearson_var5000	RPRD1B-I1	RPRD1B	guide5	0.33848453307373055
global_assignment	pearson_var5000	SCAF1-I2	SCAF1	guide26	0.3886414233922254
global_assignment	pearson_var5000	SCAF11-I3	SCAF11	guide11	0.12779436185065968
global_assignment	pearson_var5000	SCAF4-I4	SCAF4	guide6	0.27748740836227026
global_assignment	pearson_var5000	SF3A1-I5	SF3A1	guide31	0.08678047149862923
global_assignment	pearson_var5000	SRSF3-I1	SRSF3	guide30	0.31488712302799726
global_assignment	pearson_var5000	SYMPK-I3	SYMPK	guide25	0.4159773064256122
global_assignment	pearson_var5000	THOC5-I1	THOC5	guide23	0.21240108982714317
top_candidates	target_gene	reference_guide	method	rank	query_guide	score
top_candidates	LEO1	LEO1-I2	pearson_all	1	guide14	0.3072367609127206
top_candidates	LEO1	LEO1-I2	pearson_all	2	guide17	0.2166421807959559
top_candidates	LEO1	LEO1-I2	pearson_all	3	guide20	0.200621040995019
top_candidates	LEO1	LEO1-I2	pearson_all	4	guide9	0.1751880243240001
top_candidates	LEO1	LEO1-I2	pearson_all	5	guide28	0.16565328333051357
top_candidates	NUDT21	NUDT21-I3	pearson_all	1	guide13	0.6340415236247099
top_candidates	NUDT21	NUDT21-I3	pearson_all	2	guide19	0.5105169294301822
top_candidates	NUDT21	NUDT21-I3	pearson_all	3	guide16	0.33135286831793004
top_candidates	NUDT21	NUDT21-I3	pearson_all	4	guide27	0.3151081298968371
top_candidates	NUDT21	NUDT21-I3	pearson_all	5	guide12	0.3133311789578733
top_candidates	PABPC1	PABPC1-I1	pearson_all	1	guide18	0.5334451861116686
top_candidates	PABPC1	PABPC1-I1	pearson_all	2	guide16	0.33742116819097984
top_candidates	PABPC1	PABPC1-I1	pearson_all	3	guide15	0.26764870203436375
top_candidates	PABPC1	PABPC1-I1	pearson_all	4	guide17	0.2586077954769366
top_candidates	PABPC1	PABPC1-I1	pearson_all	5	guide28	0.2518399146757379
top_candidates	LEO1	LEO1-I2	cosine_all	1	guide14	0.3705230735859784
top_candidates	LEO1	LEO1-I2	cosine_all	2	guide17	0.30605980258221943
top_candidates	LEO1	LEO1-I2	cosine_all	3	guide20	0.29533411672120563
top_candidates	LEO1	LEO1-I2	cosine_all	4	guide16	0.25791167532250503
top_candidates	LEO1	LEO1-I2	cosine_all	5	guide22	0.24247830596776
top_candidates	NUDT21	NUDT21-I3	cosine_all	1	guide13	0.6296719765833828
top_candidates	NUDT21	NUDT21-I3	cosine_all	2	guide19	0.4958979875339679
top_candidates	NUDT21	NUDT21-I3	cosine_all	3	guide27	0.29906293458053673
top_candidates	NUDT21	NUDT21-I3	cosine_all	4	guide12	0.293724316921974
top_candidates	NUDT21	NUDT21-I3	cosine_all	5	guide16	0.29097731146295946
top_candidates	PABPC1	PABPC1-I1	cosine_all	1	guide18	0.5230715366699988
top_candidates	PABPC1	PABPC1-I1	cosine_all	2	guide16	0.2798813234757223
top_candidates	PABPC1	PABPC1-I1	cosine_all	3	guide15	0.23880177023956461
top_candidates	PABPC1	PABPC1-I1	cosine_all	4	guide5	0.22885723132369654
top_candidates	PABPC1	PABPC1-I1	cosine_all	5	guide13	0.22876314400447534
top_candidates	LEO1	LEO1-I2	pearson_var250	1	guide14	0.34882199955256943
top_candidates	LEO1	LEO1-I2	pearson_var250	2	guide8	0.1322776219074923
top_candidates	LEO1	LEO1-I2	pearson_var250	3	guide20	0.11416888143354023
top_candidates	LEO1	LEO1-I2	pearson_var250	4	guide18	0.09648003813655147
top_candidates	LEO1	LEO1-I2	pearson_var250	5	guide13	0.08963429354204967
top_candidates	NUDT21	NUDT21-I3	pearson_var250	1	guide13	0.696520006251449
top_candidates	NUDT21	NUDT21-I3	pearson_var250	2	guide19	0.5846857545114311
top_candidates	NUDT21	NUDT21-I3	pearson_var250	3	guide27	0.4052722809267866
top_candidates	NUDT21	NUDT21-I3	pearson_var250	4	guide12	0.3864272300872002
top_candidates	NUDT21	NUDT21-I3	pearson_var250	5	guide16	0.3348849676633867
top_candidates	PABPC1	PABPC1-I1	pearson_var250	1	guide18	0.6266648738899201
top_candidates	PABPC1	PABPC1-I1	pearson_var250	2	guide5	0.3195713738146236
top_candidates	PABPC1	PABPC1-I1	pearson_var250	3	guide16	0.31233984876184445
top_candidates	PABPC1	PABPC1-I1	pearson_var250	4	guide4	0.2760844617453943
top_candidates	PABPC1	PABPC1-I1	pearson_var250	5	guide25	0.27369015024523585
top_candidates	LEO1	LEO1-I2	pearson_var500	1	guide14	0.35753656630853836
top_candidates	LEO1	LEO1-I2	pearson_var500	2	guide20	0.136651673060498
