metric	value1	value2	value3
reference_cells	4183
query_cells	3516
reference_features	11889
query_features	11889
shared_named_features	11858
reference_noncontrol_guides	33
query_noncontrol_guides	32
reference_control_cells	922
query_control_cells	1424
target_consensus	target_gene	reference_guide	method	nearest_query_guide	nearest_score	nearest_rank	global_query_guide	global_score
target_consensus	LEO1	LEO1-I2	pearson_all	guide14	0.3072367609127206	1	guide10	0.08074042465854125
target_consensus	NUDT21	NUDT21-I3	pearson_all	guide13	0.6340415236247099	1	guide13	0.6340415236247099
target_consensus	PABPC1	PABPC1-I1	pearson_all	guide18	0.5334451861116686	1	guide18	0.5334451861116686
target_consensus	LEO1	LEO1-I2	cosine_all	guide14	0.3705230735859784	1	guide14	0.3705230735859784
target_consensus	NUDT21	NUDT21-I3	cosine_all	guide13	0.6296719765833828	1	guide13	0.6296719765833828
target_consensus	PABPC1	PABPC1-I1	cosine_all	guide18	0.5230715366699988	1	guide18	0.5230715366699988
target_consensus	LEO1	LEO1-I2	pearson_var250	guide14	0.34882199955256943	1	guide10	0.07286342311254246
target_consensus	NUDT21	NUDT21-I3	pearson_var250	guide13	0.696520006251449	1	guide13	0.696520006251449
target_consensus	PABPC1	PABPC1-I1	pearson_var250	guide18	0.6266648738899201	1	guide18	0.6266648738899201
target_consensus	LEO1	LEO1-I2	pearson_var500	guide14	0.35753656630853836	1	guide14	0.35753656630853836
target_consensus	NUDT21	NUDT21-I3	pearson_var500	guide13	0.7081521252025301	1	guide13	0.7081521252025301
target_consensus	PABPC1	PABPC1-I1	pearson_var500	guide18	0.6145490210828999	1	guide18	0.6145490210828999
target_consensus	LEO1	LEO1-I2	pearson_var1000	guide14	0.3327875785112242	1	guide14	0.3327875785112242
target_consensus	NUDT21	NUDT21-I3	pearson_var1000	guide13	0.6902150992840148	1	guide13	0.6902150992840148
target_consensus	PABPC1	PABPC1-I1	pearson_var1000	guide18	0.5911784343911358	1	guide18	0.5911784343911358
target_consensus	LEO1	LEO1-I2	pearson_var2000	guide14	0.3035580868072106	1	guide8	0.12810698126786166
target_consensus	NUDT21	NUDT21-I3	pearson_var2000	guide13	0.6829364538598223	1	guide13	0.6829364538598223
target_consensus	PABPC1	PABPC1-I1	pearson_var2000	guide18	0.5868657252589679	1	guide18	0.5868657252589679
target_consensus	LEO1	LEO1-I2	pearson_var5000	guide14	0.2817247403536278	1	guide14	0.2817247403536278
target_consensus	NUDT21	NUDT21-I3	pearson_var5000	guide13	0.6542437147613269	1	guide13	0.6542437147613269
target_consensus	PABPC1	PABPC1-I1	pearson_var5000	guide18	0.5653990838365995	1	guide18	0.5653990838365995
target_vote	target_gene	reference_guide	consensus_query_guide	nearest_vote_count	methods
target_vote	LEO1	LEO1-I2	guide14	7	7
target_vote	NUDT21	NUDT21-I3	guide13	7	7
target_vote	PABPC1	PABPC1-I1	guide18	7	7
top_candidates	LEO1	LEO1-I2	pearson_var250	5	guide13	0.08963429354204967
top_candidates	NUDT21	NUDT21-I3	pearson_var250	1	guide13	0.696520006251449
top_candidates	NUDT21	NUDT21-I3	pearson_var250	2	guide19	0.5846857545114311
top_candidates	NUDT21	NUDT21-I3	pearson_var250	3	guide27	0.4052722809267866
top_candidates	NUDT21	NUDT21-I3	pearson_var250	4	guide12	0.3864272300872002
top_candidates	NUDT21	NUDT21-I3	pearson_var250	5	guide16	0.3348849676633867
top_candidates	PABPC1	PABPC1-I1	pearson_var250	1	guide18	0.6266648738899201
top_candidates	PABPC1	PABPC1-I1	pearson_var250	2	guide5	0.3195713738146236
top_candidates	PABPC1	PABPC1-I1	pearson_var250	3	guide16	0.31233984876184445
top_candidates	PABPC1	PABPC1-I1	pearson_var250	4	guide4	0.2760844617453943
top_candidates	PABPC1	PABPC1-I1	pearson_var250	5	guide25	0.27369015024523585
top_candidates	LEO1	LEO1-I2	pearson_var500	1	guide14	0.35753656630853836
top_candidates	LEO1	LEO1-I2	pearson_var500	2	guide20	0.136651673060498
top_candidates	LEO1	LEO1-I2	pearson_var500	3	guide9	0.13271597937328944
top_candidates	LEO1	LEO1-I2	pearson_var500	4	guide17	0.11923471245416124
top_candidates	LEO1	LEO1-I2	pearson_var500	5	guide8	0.11536906518483629
top_candidates	NUDT21	NUDT21-I3	pearson_var500	1	guide13	0.7081521252025301
top_candidates	NUDT21	NUDT21-I3	pearson_var500	2	guide19	0.5924567177039074
top_candidates	NUDT21	NUDT21-I3	pearson_var500	3	guide27	0.41057090166814075
top_candidates	NUDT21	NUDT21-I3	pearson_var500	4	guide12	0.3798739265299212
top_candidates	NUDT21	NUDT21-I3	pearson_var500	5	guide16	0.3292154082257278
top_candidates	PABPC1	PABPC1-I1	pearson_var500	1	guide18	0.6145490210828999
top_candidates	PABPC1	PABPC1-I1	pearson_var500	2	guide5	0.25037855094303824
top_candidates	PABPC1	PABPC1-I1	pearson_var500	3	guide16	0.2473665799101815
top_candidates	PABPC1	PABPC1-I1	pearson_var500	4	guide13	0.20905675999419643
top_candidates	PABPC1	PABPC1-I1	pearson_var500	5	guide15	0.20291391722234978
top_candidates	LEO1	LEO1-I2	pearson_var1000	1	guide14	0.3327875785112242
top_candidates	LEO1	LEO1-I2	pearson_var1000	2	guide20	0.15609545296496877
top_candidates	LEO1	LEO1-I2	pearson_var1000	3	guide17	0.15131324510223176
top_candidates	LEO1	LEO1-I2	pearson_var1000	4	guide9	0.14814701038554806
top_candidates	LEO1	LEO1-I2	pearson_var1000	5	guide8	0.13684788651113616
top_candidates	NUDT21	NUDT21-I3	pearson_var1000	1	guide13	0.6902150992840148
top_candidates	NUDT21	NUDT21-I3	pearson_var1000	2	guide19	0.5743980476436779
top_candidates	NUDT21	NUDT21-I3	pearson_var1000	3	guide27	0.35269400855201166
top_candidates	NUDT21	NUDT21-I3	pearson_var1000	4	guide12	0.34772599089485523
top_candidates	NUDT21	NUDT21-I3	pearson_var1000	5	guide16	0.330222695423256
top_candidates	PABPC1	PABPC1-I1	pearson_var1000	1	guide18	0.5911784343911358
top_candidates	PABPC1	PABPC1-I1	pearson_var1000	2	guide16	0.20689681407923693
top_candidates	PABPC1	PABPC1-I1	pearson_var1000	3	guide15	0.19059754444371946
top_candidates	PABPC1	PABPC1-I1	pearson_var1000	4	guide5	0.19058008388345682
top_candidates	PABPC1	PABPC1-I1	pearson_var1000	5	guide13	0.1822562014228652
top_candidates	LEO1	LEO1-I2	pearson_var2000	1	guide14	0.3035580868072106
top_candidates	LEO1	LEO1-I2	pearson_var2000	2	guide17	0.15368588087410937
top_candidates	LEO1	LEO1-I2	pearson_var2000	3	guide20	0.14546076893031212
top_candidates	LEO1	LEO1-I2	pearson_var2000	4	guide9	0.14287129412002714
top_candidates	LEO1	LEO1-I2	pearson_var2000	5	guide8	0.12810698126786166
top_candidates	NUDT21	NUDT21-I3	pearson_var2000	1	guide13	0.6829364538598223
top_candidates	NUDT21	NUDT21-I3	pearson_var2000	2	guide19	0.5669784912959083
top_candidates	NUDT21	NUDT21-I3	pearson_var2000	3	guide16	0.34588097427965475
top_candidates	NUDT21	NUDT21-I3	pearson_var2000	4	guide12	0.34376863691933857
top_candidates	NUDT21	NUDT21-I3	pearson_var2000	5	guide27	0.3406032775957312
top_candidates	PABPC1	PABPC1-I1	pearson_var2000	1	guide18	0.5868657252589679
top_candidates	PABPC1	PABPC1-I1	pearson_var2000	2	guide16	0.2779520734975559
top_candidates	PABPC1	PABPC1-I1	pearson_var2000	3	guide15	0.22464332509084503
top_candidates	PABPC1	PABPC1-I1	pearson_var2000	4	guide5	0.21639233611463665
top_candidates	PABPC1	PABPC1-I1	pearson_var2000	5	guide27	0.20407626311072866
top_candidates	LEO1	LEO1-I2	pearson_var5000	1	guide14	0.2817247403536278
top_candidates	LEO1	LEO1-I2	pearson_var5000	2	guide17	0.16245218303775266
top_candidates	LEO1	LEO1-I2	pearson_var5000	3	guide20	0.14923487746604164
top_candidates	LEO1	LEO1-I2	pearson_var5000	4	guide9	0.14416115310427705
top_candidates	LEO1	LEO1-I2	pearson_var5000	5	guide28	0.13204699707671616
top_candidates	NUDT21	NUDT21-I3	pearson_var5000	1	guide13	0.6542437147613269
top_candidates	NUDT21	NUDT21-I3	pearson_var5000	2	guide19	0.5367137365234513
top_candidates	NUDT21	NUDT21-I3	pearson_var5000	3	guide16	0.3506465429251972
top_candidates	NUDT21	NUDT21-I3	pearson_var5000	4	guide27	0.33182125834917237
top_candidates	NUDT21	NUDT21-I3	pearson_var5000	5	guide12	0.33140387784259606
top_candidates	PABPC1	PABPC1-I1	pearson_var5000	1	guide18	0.5653990838365995
top_candidates	PABPC1	PABPC1-I1	pearson_var5000	2	guide16	0.3544477547367704
top_candidates	PABPC1	PABPC1-I1	pearson_var5000	3	guide15	0.2783536282782237
top_candidates	PABPC1	PABPC1-I1	pearson_var5000	4	guide17	0.26394890710274543
top_candidates	PABPC1	PABPC1-I1	pearson_var5000	5	guide26	0.2617644255274241
