query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	0.00152103091463888	131	109	7	0.0642201834862385	0.0534351145038168	GO:0036294	GO:BP	cellular response to decreased oxygen levels	28241	8922	GO:0036293,GO:0071453
query_1	TRUE	0.00157726524438572	10332	109	65	0.596330275229358	0.00629113433991483	GO:0008152	GO:BP	metabolic process	28241	2985	GO:0009987
query_1	TRUE	0.00164494532767215	9146	109	60	0.55045871559633	0.00656024491581019	GO:0044238	GO:BP	primary metabolic process	28241	10236	GO:0008152
query_1	TRUE	0.00195762995172303	2392	109	26	0.238532110091743	0.0108695652173913	GO:0009056	GO:BP	catabolic process	28241	3092	GO:0008152
query_1	TRUE	0.0022997653434657	1651	109	21	0.192660550458716	0.0127195639006663	GO:0006915	GO:BP	apoptotic process	28241	2433	GO:0012501
query_1	TRUE	0.0023108399008947	750	109	14	0.128440366972477	0.0186666666666667	GO:0019752	GO:BP	carboxylic acid metabolic process	28241	5632	GO:0043436
query_1	TRUE	0.00249494434791152	1379	109	19	0.174311926605505	0.0137781000725163	GO:1901700	GO:BP	response to oxygen-containing compound	28241	20237	GO:0042221
query_1	TRUE	0.00303103617277628	209	109	8	0.073394495412844	0.0382775119617225	GO:0019318	GO:BP	hexose metabolic process	28241	5347	GO:0005996
query_1	TRUE	0.00314411753046218	770	109	14	0.128440366972477	0.0181818181818182	GO:0043436	GO:BP	oxoacid metabolic process	28241	10020	GO:0006082
query_1	TRUE	0.00315156530361024	146	109	7	0.0642201834862385	0.0479452054794521	GO:0071453	GO:BP	cellular response to oxygen levels	28241	15549	GO:0070482,GO:0070887
query_1	TRUE	0.0032111362296202	93	109	6	0.055045871559633	0.0645161290322581	GO:0006096	GO:BP	glycolytic process	28241	1855	GO:0006090,GO:0006091,GO:0009060,GO:0016052,GO:0019364,GO:0046032,GO:0046034,GO:0046496
query_1	TRUE	0.00328346257120521	4789	109	39	0.357798165137615	0.00814366256003341	GO:0007165	GO:BP	signal transduction	28241	2595	GO:0007154,GO:0009987,GO:0023052,GO:0050794,GO:0051716
query_1	TRUE	0.00339054217322853	775	109	14	0.128440366972477	0.0180645161290323	GO:0006082	GO:BP	organic acid metabolic process	28241	1846	GO:0044281
query_1	TRUE	0.00360971150611184	5201	109	41	0.376146788990826	0.00788309940396078	GO:0023052	GO:BP	signaling	28241	6205	GO:0050789
query_1	TRUE	0.00363853052111836	95	109	6	0.055045871559633	0.0631578947368421	GO:0046032	GO:BP	ADP catabolic process	28241	11028	GO:0009154,GO:0009181,GO:0046031
query_1	TRUE	0.00380122793253605	1704	109	21	0.192660550458716	0.0123239436619718	GO:0012501	GO:BP	programmed cell death	28241	4356	GO:0008219
query_1	TRUE	0.0039447701777579	1708	109	21	0.192660550458716	0.0122950819672131	GO:0008219	GO:BP	cell death	28241	3006	GO:0009987
query_1	TRUE	0.00409701136243755	5226	109	41	0.376146788990826	0.00784538844240337	GO:0007154	GO:BP	cell communication	28241	2584	GO:0009987
query_1	TRUE	0.00411124927517499	97	109	6	0.055045871559633	0.0618556701030928	GO:0019364	GO:BP	pyridine nucleotide catabolic process	28241	5385	GO:0009166,GO:0072526
query_1	TRUE	0.00411124927517499	97	109	6	0.055045871559633	0.0618556701030928	GO:0009181	GO:BP	purine ribonucleoside diphosphate catabolic process	28241	3195	GO:0009137,GO:0009179,GO:0009191
query_1	TRUE	0.00411124927517499	97	109	6	0.055045871559633	0.0618556701030928	GO:0009137	GO:BP	purine nucleoside diphosphate catabolic process	28241	3154	GO:0009134,GO:0009135
query_1	TRUE	0.00430768645490265	153	109	7	0.0642201834862385	0.0457516339869281	GO:0009166	GO:BP	nucleotide catabolic process	28241	3180	GO:0009117,GO:1901292
query_1	TRUE	0.00491326206934685	100	109	6	0.055045871559633	0.06	GO:0072526	GO:BP	pyridine-containing compound catabolic process	28241	16250	GO:0009056,GO:0072524
query_1	TRUE	0.00491326206934685	100	109	6	0.055045871559633	0.06	GO:0009191	GO:BP	ribonucleoside diphosphate catabolic process	28241	3204	GO:0009134,GO:0009185
query_1	TRUE	0.00551551268175811	102	109	6	0.055045871559633	0.0588235294117647	GO:0009134	GO:BP	nucleoside diphosphate catabolic process	28241	3151	GO:0009132,GO:1901292
query_1	TRUE	0.00551551268175811	102	109	6	0.055045871559633	0.0588235294117647	GO:0046031	GO:BP	ADP metabolic process	28241	11027	GO:0009150,GO:0009179
query_1	TRUE	0.00560413578221668	227	109	8	0.073394495412844	0.0352422907488987	GO:0046434	GO:BP	organophosphate catabolic process	28241	11327	GO:0009056,GO:0019637
query_1	TRUE	0.00710890361452588	165	109	7	0.0642201834862385	0.0424242424242424	GO:0006006	GO:BP	glucose metabolic process	28241	1790	GO:0019318
query_1	TRUE	0.0072879447565586	107	109	6	0.055045871559633	0.0560747663551402	GO:0010565	GO:BP	regulation of ketone metabolic process	28241	4032	GO:0019222,GO:0042180
query_1	TRUE	0.0073984932521296	166	109	7	0.0642201834862385	0.0421686746987952	GO:0016051	GO:BP	carbohydrate biosynthetic process	28241	4841	GO:0005975,GO:0009058
query_1	TRUE	0.00769785093129845	167	109	7	0.0642201834862385	0.0419161676646707	GO:0016052	GO:BP	carbohydrate catabolic process	28241	4842	GO:0005975,GO:0009056
query_1	TRUE	0.00890185993875175	29	109	4	0.036697247706422	0.137931034482759	GO:0032373	GO:BP	positive regulation of sterol transport	28241	7039	GO:0015918,GO:0032370,GO:0032371
query_1	TRUE	0.00890185993875175	29	109	4	0.036697247706422	0.137931034482759	GO:0032376	GO:BP	positive regulation of cholesterol transport	28241	7042	GO:0030301,GO:0032373,GO:0032374
query_1	TRUE	0.00935043497779784	172	109	7	0.0642201834862385	0.0406976744186047	GO:1901292	GO:BP	nucleoside phosphate catabolic process	28241	19979	GO:0006753,GO:0034655,GO:0046434
query_1	TRUE	0.00999973313065417	113	109	6	0.055045871559633	0.0530973451327434	GO:0009179	GO:BP	purine ribonucleoside diphosphate metabolic process	28241	3193	GO:0009135,GO:0009185
query_1	TRUE	0.00999973313065417	113	109	6	0.055045871559633	0.0530973451327434	GO:0009135	GO:BP	purine nucleoside diphosphate metabolic process	28241	3152	GO:0009132
query_1	TRUE	0.012117925408571	1255	109	17	0.155963302752294	0.0135458167330677	GO:0009719	GO:BP	response to endogenous stimulus	28241	3457	GO:0050896
query_1	TRUE	0.014015200934968	1269	109	17	0.155963302752294	0.0133963750985028	GO:0043067	GO:BP	regulation of programmed cell death	28241	9850	GO:0012501,GO:0050794
query_1	TRUE	0.0140903066399917	3007	109	28	0.256880733944954	0.00931160625207848	GO:0009893	GO:BP	positive regulation of metabolic process	28241	3592	GO:0008152,GO:0019222,GO:0048522
query_1	TRUE	0.0155552462647042	122	109	6	0.055045871559633	0.0491803278688525	GO:0009154	GO:BP	purine ribonucleotide catabolic process	28241	3171	GO:0006195,GO:0009150,GO:0009261
query_1	TRUE	0.0159702578798638	5508	109	41	0.376146788990826	0.00744371822803195	GO:0032502	GO:BP	developmental process	28241	7117	GO:0008150
query_1	TRUE	0.0162356690547411	2515	109	25	0.229357798165138	0.0099403578528827	GO:0009892	GO:BP	negative regulation of metabolic process	28241	3591	GO:0008152,GO:0019222,GO:0048523
query_1	TRUE	0.0170776235258053	124	109	6	0.055045871559633	0.0483870967741935	GO:0009185	GO:BP	ribonucleoside diphosphate metabolic process	28241	3199	GO:0009132
query_1	TRUE	0.0188360615003973	5544	109	41	0.376146788990826	0.0073953823953824	GO:0019222	GO:BP	regulation of metabolic process	28241	5276	GO:0008152,GO:0050794
query_1	TRUE	0.0193919258519053	1443	109	18	0.165137614678899	0.0124740124740125	GO:0042592	GO:BP	homeostatic process	28241	9598	GO:0008150
query_1	TRUE	0.0195707681878135	74	109	5	0.0458715596330275	0.0675675675675676	GO:0006094	GO:BP	gluconeogenesis	28241	1854	GO:0006006,GO:0019319
query_1	TRUE	0.0199803274866256	270	109	8	0.073394495412844	0.0296296296296296	GO:0019216	GO:BP	regulation of lipid metabolic process	28241	5271	GO:0006629,GO:0080090
query_1	TRUE	0.0210776934227759	272	109	8	0.073394495412844	0.0294117647058824	GO:0062012	GO:BP	regulation of small molecule metabolic process	28241	14679	GO:0019222,GO:0044281
query_1	TRUE	0.0214172089168853	129	109	6	0.055045871559633	0.0465116279069767	GO:0009132	GO:BP	nucleoside diphosphate metabolic process	28241	3149	GO:0006753
query_1	TRUE	0.0223083453944359	76	109	5	0.0458715596330275	0.0657894736842105	GO:1905954	GO:BP	positive regulation of lipid localization	28241	23202	GO:0010876,GO:0048518,GO:1905952
query_1	TRUE	0.0223836395948384	130	109	6	0.055045871559633	0.0461538461538462	GO:0006195	GO:BP	purine nucleotide catabolic process	28241	1921	GO:0006163,GO:0009166,GO:0072523
query_1	TRUE	0.0237846203623349	77	109	5	0.0458715596330275	0.0649350649350649	GO:0019319	GO:BP	hexose biosynthetic process	28241	5348	GO:0019318,GO:0046364
query_1	TRUE	0.0260514991925928	2089	109	22	0.201834862385321	0.0105313547151747	GO:0009890	GO:BP	negative regulation of biosynthetic process	28241	3589	GO:0009058,GO:0009889,GO:0009892
query_1	TRUE	0.026965275318134	79	109	5	0.0458715596330275	0.0632911392405063	GO:0046364	GO:BP	monosaccharide biosynthetic process	28241	11297	GO:0005996,GO:0016051,GO:0044283
query_1	TRUE	0.0288294347807427	2772	109	26	0.238532110091743	0.00937950937950938	GO:0010604	GO:BP	positive regulation of macromolecule metabolic process	28241	4065	GO:0009893,GO:0043170,GO:0060255
query_1	TRUE	0.0303109547309818	206	109	7	0.0642201834862385	0.0339805825242718	GO:0045444	GO:BP	fat cell differentiation	28241	10608	GO:0030154
query_1	TRUE	0.0321462376350533	5050	109	38	0.348623853211009	0.00752475247524752	GO:0048856	GO:BP	anatomical structure development	28241	12247	GO:0032502
query_1	TRUE	0.0364313062468162	2466	109	24	0.220183486238532	0.0097323600973236	GO:0051239	GO:BP	regulation of multicellular organismal process	28241	12691	GO:0032501,GO:0050789
query_1	TRUE	0.0378921585071991	487	109	10	0.0917431192660551	0.0205338809034908	GO:0034655	GO:BP	nucleobase-containing compound catabolic process	28241	8135	GO:0006139,GO:0009056
query_1	TRUE	0.0396085210591596	1233	109	16	0.146788990825688	0.0129764801297648	GO:0042981	GO:BP	regulation of apoptotic process	28241	9804	GO:0006915,GO:0043067
query_1	TRUE	0.0407896938026606	3735	109	31	0.284403669724771	0.00829986613119143	GO:0030154	GO:BP	cell differentiation	28241	6252	GO:0048869
query_1	TRUE	0.0410070384036517	3736	109	31	0.284403669724771	0.00829764453961456	GO:0048869	GO:BP	cellular developmental process	28241	12259	GO:0009987,GO:0032502
query_1	TRUE	0.0449905940586329	147	109	6	0.055045871559633	0.0408163265306122	GO:0072523	GO:BP	purine-containing compound catabolic process	28241	16247	GO:0009056,GO:0072521
query_1	TRUE	0.0465679911044897	397	109	9	0.0825688073394495	0.0226700251889169	GO:0015980	GO:BP	energy derivation by oxidation of organic compounds	28241	4818	GO:0006091
query_1	TRUE	0.0470823426894203	726	109	12	0.110091743119266	0.0165289256198347	GO:0033993	GO:BP	response to lipid	28241	7811	GO:0042221
