method	sample	cell_type	cells	denominator	proportion
anchor_panel_high_confidence	individual_1	astrocyte	66	2618	0.0252100840336134
anchor_panel_high_confidence	individual_1	microglial_cell	26	2618	0.00993124522536287
anchor_panel_high_confidence	individual_1	RPE_cell	184	2618	0.0702826585179526
anchor_panel_high_confidence	individual_1	cone_cell	242	2618	0.092436974789916
anchor_panel_high_confidence	individual_1	rod_cell	357	2618	0.136363636363636
anchor_panel_high_confidence	individual_1	horizontal_cell	265	2618	0.10122230710466
anchor_panel_high_confidence	individual_1	bipolar_cell	600	2618	0.229182582123759
anchor_panel_high_confidence	individual_1	RGC	229	2618	0.0874713521772345
anchor_panel_high_confidence	individual_1	T_cells	89	2618	0.0339954163483575
anchor_panel_high_confidence	individual_1	macrophage	17	2618	0.00649350649350649
anchor_panel_high_confidence	individual_1	Schwann_cell	32	2618	0.0122230710466005
anchor_panel_high_confidence	individual_1	Pericyte	41	2618	0.0156608097784568
anchor_panel_high_confidence	individual_1	B_cell	19	2618	0.00725744843391902
anchor_panel_high_confidence	individual_1	fibroblast	4	2618	0.00152788388082506
anchor_panel_high_confidence	individual_1	endothelial_cell	25	2618	0.00954927425515661
anchor_panel_high_confidence	individual_1	muller_glia_cell	422	2618	0.161191749427044
anchor_panel_high_confidence	individual_2	astrocyte	31	2918	0.0106237148732008
anchor_panel_high_confidence	individual_2	microglial_cell	19	2918	0.00651130911583276
anchor_panel_high_confidence	individual_2	RPE_cell	100	2918	0.0342700479780672
anchor_panel_high_confidence	individual_2	cone_cell	209	2918	0.0716244002741604
anchor_panel_high_confidence	individual_2	rod_cell	1483	2918	0.508224811514736
anchor_panel_high_confidence	individual_2	horizontal_cell	36	2918	0.0123372172721042
anchor_panel_high_confidence	individual_2	bipolar_cell	436	2918	0.149417409184373
anchor_panel_high_confidence	individual_2	RGC	134	2918	0.04592186429061
anchor_panel_high_confidence	individual_2	T_cells	5	2918	0.00171350239890336
anchor_panel_high_confidence	individual_2	macrophage	25	2918	0.00856751199451679
anchor_panel_high_confidence	individual_2	Schwann_cell	35	2918	0.0119945167923235
anchor_panel_high_confidence	individual_2	Pericyte	16	2918	0.00548320767649075
anchor_panel_high_confidence	individual_2	B_cell	10	2918	0.00342700479780672
anchor_panel_high_confidence	individual_2	fibroblast	5	2918	0.00171350239890336
anchor_panel_high_confidence	individual_2	endothelial_cell	10	2918	0.00342700479780672
anchor_panel_high_confidence	individual_2	muller_glia_cell	364	2918	0.124742974640164
anchor_two_marker_detection	individual_1	astrocyte	27	6295	0.00428911834789516
anchor_two_marker_detection	individual_2	astrocyte	14	5004	0.00279776179056755
anchor_two_marker_detection	individual_1	microglial_cell	0	6295	0
anchor_two_marker_detection	individual_2	microglial_cell	0	5004	0
anchor_two_marker_detection	individual_1	RPE_cell	22	6295	0.00349483717235902
anchor_two_marker_detection	individual_2	RPE_cell	59	5004	0.0117905675459632
anchor_two_marker_detection	individual_1	cone_cell	300	6295	0.0476568705321684
anchor_two_marker_detection	individual_2	cone_cell	482	5004	0.0963229416466826
anchor_two_marker_detection	individual_1	rod_cell	4196	6295	0.666560762509928
anchor_two_marker_detection	individual_2	rod_cell	4360	5004	0.871302957633893
anchor_two_marker_detection	individual_1	horizontal_cell	242	6295	0.0384432088959492
anchor_two_marker_detection	individual_2	horizontal_cell	54	5004	0.0107913669064748
anchor_two_marker_detection	individual_1	bipolar_cell	881	6295	0.139952343129468
anchor_two_marker_detection	individual_2	bipolar_cell	706	5004	0.141087130295763
anchor_two_marker_detection	individual_1	RGC	194	6295	0.0308181096108022
anchor_two_marker_detection	individual_2	RGC	250	5004	0.0499600319744205
anchor_two_marker_detection	individual_1	T_cells	1	6295	0.000158856235107228
anchor_two_marker_detection	individual_2	T_cells	1	5004	0.000199840127897682
anchor_two_marker_detection	individual_1	macrophage	0	6295	0
anchor_two_marker_detection	individual_2	macrophage	0	5004	0
anchor_two_marker_detection	individual_1	Schwann_cell	1	6295	0.000158856235107228
anchor_two_marker_detection	individual_2	Schwann_cell	14	5004	0.00279776179056755
anchor_two_marker_detection	individual_1	Pericyte	20	6295	0.00317712470214456
anchor_two_marker_detection	individual_2	Pericyte	45	5004	0.00899280575539568
anchor_two_marker_detection	individual_1	B_cell	0	6295	0
anchor_two_marker_detection	individual_2	B_cell	1	5004	0.000199840127897682
anchor_two_marker_detection	individual_1	fibroblast	1	6295	0.000158856235107228
anchor_two_marker_detection	individual_2	fibroblast	5	5004	0.000999200639488409
anchor_two_marker_detection	individual_1	endothelial_cell	13	6295	0.00206513105639396
anchor_two_marker_detection	individual_2	endothelial_cell	9	5004	0.00179856115107914
anchor_two_marker_detection	individual_1	muller_glia_cell	845	6295	0.134233518665608
anchor_two_marker_detection	individual_2	muller_glia_cell	693	5004	0.138489208633094
