k	sample	cell_type	cells	denominator	proportion
32	individual_1	B_cell	1325	6295	0.210484511517077
32	individual_1	fibroblast	0	6295	0
32	individual_1	endothelial_cell	0	6295	0
32	individual_1	muller_glia_cell	1060	6295	0.168387609213662
32	individual_2	astrocyte	28	5004	0.00559552358113509
32	individual_2	microglial_cell	0	5004	0
32	individual_2	RPE_cell	154	5004	0.030775379696243
32	individual_2	cone_cell	381	5004	0.0761390887290168
32	individual_2	rod_cell	2638	5004	0.527178257394085
32	individual_2	horizontal_cell	92	5004	0.0183852917665867
32	individual_2	bipolar_cell	728	5004	0.145483613109512
32	individual_2	RGC	155	5004	0.0309752198241407
32	individual_2	T_cells	0	5004	0
32	individual_2	macrophage	0	5004	0
32	individual_2	Schwann_cell	0	5004	0
32	individual_2	Pericyte	39	5004	0.00779376498800959
32	individual_2	B_cell	163	5004	0.0325739408473221
32	individual_2	fibroblast	0	5004	0
32	individual_2	endothelial_cell	0	5004	0
32	individual_2	muller_glia_cell	626	5004	0.125099920063949
40	individual_1	astrocyte	70	6295	0.011119936457506
40	individual_1	microglial_cell	74	6295	0.0117553613979349
40	individual_1	RPE_cell	285	6295	0.04527402700556
40	individual_1	cone_cell	636	6295	0.101032565528197
40	individual_1	rod_cell	1395	6295	0.221604447974583
40	individual_1	horizontal_cell	315	6295	0.0500397140587768
40	individual_1	bipolar_cell	1425	6295	0.2263701350278
40	individual_1	RGC	278	6295	0.0441620333598094
40	individual_1	T_cells	0	6295	0
40	individual_1	macrophage	0	6295	0
40	individual_1	Schwann_cell	54	6295	0.00857823669579031
40	individual_1	Pericyte	0	6295	0
40	individual_1	B_cell	803	6295	0.127561556791104
40	individual_1	fibroblast	0	6295	0
40	individual_1	endothelial_cell	0	6295	0
40	individual_1	muller_glia_cell	960	6295	0.152501985702939
40	individual_2	astrocyte	29	5004	0.00579536370903277
40	individual_2	microglial_cell	56	5004	0.0111910471622702
40	individual_2	RPE_cell	455	5004	0.0909272581934452
40	individual_2	cone_cell	456	5004	0.0911270983213429
40	individual_2	rod_cell	2331	5004	0.465827338129496
40	individual_2	horizontal_cell	93	5004	0.0185851318944844
40	individual_2	bipolar_cell	733	5004	0.146482813749001
40	individual_2	RGC	162	5004	0.0323741007194245
40	individual_2	T_cells	0	5004	0
40	individual_2	macrophage	0	5004	0
40	individual_2	Schwann_cell	61	5004	0.0121902478017586
40	individual_2	Pericyte	0	5004	0
40	individual_2	B_cell	40	5004	0.00799360511590727
40	individual_2	fibroblast	0	5004	0
40	individual_2	endothelial_cell	0	5004	0
40	individual_2	muller_glia_cell	588	5004	0.117505995203837
48	individual_1	astrocyte	49	6295	0.00778395552025417
48	individual_1	microglial_cell	45	6295	0.00714853057982526
48	individual_1	RPE_cell	257	6295	0.0408260524225576
48	individual_1	cone_cell	361	6295	0.0573471008737093
48	individual_1	rod_cell	1849	6295	0.293725178713264
48	individual_1	horizontal_cell	286	6295	0.0454328832406672
48	individual_1	bipolar_cell	1111	6295	0.17648927720413
48	individual_1	RGC	267	6295	0.0424146147736299
48	individual_1	T_cells	168	6295	0.0266878474980143
48	individual_1	macrophage	0	6295	0
48	individual_1	Schwann_cell	49	6295	0.00778395552025417
48	individual_1	Pericyte	50	6295	0.0079428117553614
48	individual_1	B_cell	887	6295	0.140905480540111
48	individual_1	fibroblast	0	6295	0
48	individual_1	endothelial_cell	0	6295	0
48	individual_1	muller_glia_cell	916	6295	0.145512311358221
48	individual_2	astrocyte	27	5004	0.00539568345323741
48	individual_2	microglial_cell	39	5004	0.00779376498800959
48	individual_2	RPE_cell	536	5004	0.107114308553157
48	individual_2	cone_cell	285	5004	0.0569544364508393
48	individual_2	rod_cell	2423	5004	0.484212629896083
48	individual_2	horizontal_cell	86	5004	0.0171862509992006
48	individual_2	bipolar_cell	646	5004	0.129096722621902
48	individual_2	RGC	154	5004	0.030775379696243
48	individual_2	T_cells	18	5004	0.00359712230215827
48	individual_2	macrophage	0	5004	0
48	individual_2	Schwann_cell	59	5004	0.0117905675459632
48	individual_2	Pericyte	35	5004	0.00699440447641886
48	individual_2	B_cell	169	5004	0.0337729816147082
48	individual_2	fibroblast	0	5004	0
48	individual_2	endothelial_cell	0	5004	0
48	individual_2	muller_glia_cell	527	5004	0.105315747402078
