leiden	Patient_001	Patient_002	Patient_003	Patient_004	Patient_005	Patient_006	Patient_007	Patient_008	Patient_009	Patient_010	Patient_011	Patient_012	Patient_013	Patient_014	Patient_015	Patient_016	Patient_017	Patient_018	Patient_019	Patient_020	Patient_021	Patient_022	Patient_023	Patient_024	Patient_025	Patient_026	Patient_027	Patient_028	Patient_029	Patient_030	Patient_031	Patient_032	Patient_033	Patient_034	Patient_035	Patient_036	Patient_037	Patient_038	Patient_039	Patient_040	Patient_041	Patient_042	Patient_043	Patient_044	Patient_045	Patient_046	Patient_047	Patient_048	Patient_049	Patient_050	Patient_051	Patient_052	Patient_053	Patient_054	Patient_055	Patient_056	Patient_057	Patient_058	Patient_059	Patient_060	Patient_061	Patient_062	Patient_063	Patient_064	Patient_065	Patient_066	Patient_067
20	3	0	47	36	5	1	11	9	7	22	54	18	19	34	0	10	0	24	11	15	5	3	1	2	18	105	105	120	0	0	0	19	19	19	19	49	48	47	48	0	3	1	3	3	5	5	5	5	2	9	3	1	16	4	13	6	2	0	1	4	4	0	0	2	2	2	6
21	14	9	46	45	7	10	12	45	2	11	39	7	38	56	5	75	3	27	27	6	2	39	1	1	37	98	96	104	1	2	2	6	6	6	6	62	63	61	61	1	5	1	7	7	15	15	15	15	1	39	44	15	27	158	177	108	3	0	0	25	5	19	8	4	16	9	15
22	4	3	4	2	1	26	1	14	0	1	9	5	56	23	1	7	0	1	11	0	0	0	0	0	13	9	9	15	0	0	0	2	3	2	4	3	1	0	1	0	1	0	1	2	9	12	12	15	1	487	1366	654	19	1557	1866	2217	368	261	129	19	39	52	35	22	22	27	38
23	5	13	28	9	15	6	3	13	6	5	11	4	7	2	9	3	73	3	2	11	63	8	14	5	3	1	3	2	3	3	4	4	4	4	4	6	7	7	7	1	1177	925	1170	1176	0	0	0	0	1	4	1	0	5	0	3	3	2	3	0	0	1	0	1	1	0	0	2
24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	1	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	18	317	792	966	0	0	0	0	1	1	0	0	0	2	0
25	4	39	18	0	4	1	0	34	1	0	6	34	0	6	2	1	3	2	18	641	5	1132	20	2	12	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	2	0	0	0	0	0	1	1	1	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0
26	5	13	2	0	0	0	0	1	0	0	0	0	2	12	14	0	1	3	1	4	9	2	0	0	8	5	5	5	2	3	3	0	0	0	0	1	1	1	1	2	0	0	0	0	4	4	4	4	13	141	181	16	408	15	9	32	5	11	10	7	35	4	0	0	0	4	17
27	0	1	1	1	0	0	0	1	2	1	1	2	1	1	1	0	1	0	1	3	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	731	491	731	741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	1	5	2	18	1	2	3	26	12	19	799	1495	710	2	0	9	0	4
29	0	4	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	5	0	3969	0	2	1	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
30	0	0	16	10	0	0	0	120	0	0	1	1	2	0	0	2	0	5	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	11	27	5	0	0	0	0	1
31	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	485	480	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	4	0	0
32	0	0	4	0	0	0	0	0	0	1	1	0	1	1	7	0	0	5	0	0	0	0	0	0	0	0	0	0	4421	4504	4532	0	0	0	0	0	0	0	0	4414	0	0	0	0	4	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	2	6	13
33	0	0	1	1	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	802	971	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
34	0	0	1	0	0	0	0	0	0	0	0	10	0	1	0	0	2958	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	12	76	0	0	0	0	0
