sample	cluster	n
Patient_005	20	5
Patient_005	21	7
Patient_005	22	1
Patient_005	23	15
Patient_005	25	4
Patient_005	3	36
Patient_005	4	9
Patient_005	6	181
Patient_005	7	6
Patient_005	8	15
Patient_006	0	904
Patient_006	1	34
Patient_006	12	2
Patient_006	13	3
Patient_006	14	152
Patient_006	15	9
Patient_006	16	75
Patient_006	17	1
Patient_006	18	391
Patient_006	2	37
Patient_006	20	1
Patient_006	21	10
Patient_006	22	26
Patient_006	23	6
Patient_006	25	1
Patient_006	28	3
Patient_006	3	4
Patient_006	4	1284
Patient_006	5	10
Patient_006	6	9
Patient_006	7	19
Patient_006	8	74
Patient_007	0	28
Patient_007	1	205
Patient_007	12	3
Patient_007	13	6
Patient_007	14	15
Patient_007	15	6
Patient_007	16	36
Patient_007	17	1
Patient_007	18	51
Patient_007	2	6
Patient_007	20	11
Patient_007	21	12
Patient_007	22	1
Patient_007	23	3
Patient_007	4	16
Patient_007	5	6
Patient_007	6	47
Patient_007	7	57
Patient_007	8	18
Patient_007	9	1
Patient_008	0	1082
Patient_008	1	217
Patient_008	11	1
Patient_008	12	70
Patient_008	13	10
Patient_008	14	828
Patient_008	15	12
Patient_008	16	115
Patient_008	17	1
Patient_008	18	580
Patient_008	19	1
Patient_008	2	63
Patient_008	20	9
Patient_008	21	45
Patient_008	22	14
Patient_008	23	13
Patient_008	25	34
Patient_008	26	1
Patient_008	27	1
Patient_008	3	6
Patient_008	30	120
Patient_008	4	268
Patient_008	5	5
Patient_008	6	59
Patient_008	7	129
Patient_008	8	311
Patient_009	0	4
Patient_009	1	39
Patient_009	13	4
Patient_009	14	1
Patient_009	15	24
Patient_009	16	147
Patient_009	17	1
Patient_009	18	5
Patient_009	2	1
Patient_009	20	7
Patient_009	21	2
Patient_009	23	6
Patient_009	25	1
Patient_009	27	2
Patient_009	3	2
Patient_009	33	1
Patient_009	4	5
Patient_009	6	23
Patient_009	8	2
Patient_010	0	350
Patient_010	1	132
Patient_010	11	17
Patient_010	12	9
Patient_010	13	3
Patient_010	14	134
Patient_010	15	12
Patient_010	16	40
Patient_010	17	2
Patient_010	18	252
Patient_010	2	44
Patient_010	20	22
Patient_010	21	11
Patient_010	22	1
Patient_010	23	5
Patient_010	27	1
Patient_010	3	7
Patient_010	32	1
Patient_010	33	1
Patient_010	4	258
Patient_010	5	7
Patient_010	6	64
Patient_010	7	123
Patient_010	8	157
Patient_011	0	641
Patient_011	1	464
Patient_011	12	24
Patient_011	13	14
Patient_011	14	252
Patient_011	15	13
Patient_011	16	89
Patient_011	17	6
Patient_011	18	1508
Patient_011	2	69
Patient_011	20	54
Patient_011	21	39
Patient_011	22	9
Patient_011	23	11
Patient_011	25	6
Patient_011	27	1
Patient_011	3	42
Patient_011	30	1
Patient_011	32	1
Patient_011	33	1
Patient_011	4	90
Patient_011	5	9
Patient_011	6	248
Patient_011	7	10
Patient_011	8	419
Patient_011	9	1
Patient_012	0	330
Patient_012	1	620
Patient_012	10	8
Patient_012	11	1
Patient_012	12	4
Patient_012	13	10
Patient_012	14	187
Patient_012	15	200
Patient_012	16	36
Patient_012	17	5
Patient_012	18	106
Patient_012	2	31
Patient_012	20	18
Patient_012	21	7
Patient_012	22	5
Patient_012	23	4
Patient_012	25	34
Patient_012	27	2
Patient_012	29	8
Patient_012	3	2
Patient_012	30	1
Patient_012	34	10
Patient_012	4	107
Patient_012	5	2
Patient_012	6	111
Patient_012	7	12
Patient_012	8	27
Patient_012	9	1
Patient_013	0	63
Patient_013	1	573
Patient_013	10	114
Patient_013	11	1505
Patient_013	12	482
Patient_013	13	33
Patient_013	14	166
Patient_013	15	14
Patient_013	16	53
Patient_013	17	2
Patient_013	18	154
Patient_013	2	26
Patient_013	20	19
Patient_013	21	38
Patient_013	22	56
Patient_013	23	7
Patient_013	26	2
Patient_013	27	1
Patient_013	3	25
Patient_013	30	2
Patient_013	32	1
Patient_013	33	1
Patient_013	4	40
Patient_013	5	110
Patient_013	6	56
Patient_013	7	22
Patient_013	8	167
Patient_014	0	170
Patient_014	1	773
Patient_014	10	35
Patient_014	11	279
Patient_014	12	13
Patient_014	13	15
Patient_014	14	14
Patient_014	15	21
Patient_014	16	72
Patient_014	17	1
Patient_014	18	252
Patient_014	19	1
Patient_014	2	25
Patient_014	20	34
Patient_014	21	56
Patient_014	22	23
Patient_014	23	2
Patient_014	25	6
Patient_014	26	12
Patient_014	27	1
Patient_014	3	54
Patient_014	32	1
Patient_014	34	1
Patient_014	4	118
Patient_014	5	37
Patient_014	6	105
Patient_014	7	129
Patient_014	8	192
Patient_015	0	3
Patient_015	1	700
Patient_015	10	629
Patient_015	11	24
Patient_015	12	132
Patient_015	13	6
Patient_015	14	50
Patient_015	15	13
Patient_015	16	97
Patient_015	17	3
Patient_015	18	42
Patient_015	2	1
Patient_015	21	5
Patient_015	22	1
Patient_015	23	9
Patient_015	25	2
Patient_015	26	14
Patient_015	27	1
Patient_015	3	117
Patient_015	31	1
Patient_015	32	7
Patient_015	33	1
Patient_015	4	8
Patient_015	5	103
Patient_015	6	96
Patient_015	7	1
Patient_015	8	152
Patient_015	9	1
Patient_016	0	772
Patient_016	1	14
Patient_016	12	113
Patient_016	14	104
Patient_016	15	9
Patient_016	16	9
Patient_016	17	2
Patient_016	18	684
Patient_016	19	1
Patient_016	2	49
Patient_016	20	10
Patient_016	21	75
Patient_016	22	7
Patient_016	23	3
Patient_016	25	1
Patient_016	3	5
Patient_016	30	2
Patient_016	4	238
Patient_016	5	36
Patient_016	6	46
Patient_016	7	79
Patient_016	8	195
Patient_017	0	118
Patient_017	1	1531
Patient_017	12	37
Patient_017	13	13
Patient_017	14	7
Patient_017	15	15
Patient_017	16	18
Patient_017	17	9
Patient_017	18	76
Patient_017	2	4
Patient_017	21	3
Patient_017	23	73
Patient_017	24	1
Patient_017	25	3
Patient_017	26	1
Patient_017	27	1
Patient_017	3	88
Patient_017	34	2958
Patient_017	4	9
Patient_017	5	4
Patient_017	6	140
Patient_017	7	12
Patient_017	8	17
Patient_017	9	16
Patient_018	0	156
Patient_018	1	121
Patient_018	10	13
Patient_018	11	205
Patient_018	12	122
Patient_018	13	1
Patient_018	14	232
Patient_018	15	28
Patient_018	16	56
Patient_018	17	6
Patient_018	18	132
Patient_018	2	14
Patient_018	20	24
Patient_018	21	27
Patient_018	22	1
Patient_018	23	3
Patient_018	25	2
Patient_018	26	3
Patient_018	3	24
Patient_018	30	5
Patient_018	31	1
Patient_018	32	5
Patient_018	4	95
Patient_018	5	9
Patient_018	6	97
Patient_018	7	37
Patient_018	8	58
Patient_018	9	4
Patient_019	0	617
Patient_019	1	399
Patient_019	12	3
Patient_019	13	3
Patient_019	14	2
Patient_019	15	39
Patient_019	16	75
Patient_019	17	6
Patient_019	18	429
Patient_019	2	55
Patient_019	20	11
Patient_019	21	27
Patient_019	22	11
Patient_019	23	2
Patient_019	25	18
Patient_019	26	1
Patient_019	27	1
Patient_019	29	5
Patient_019	3	4
Patient_019	4	209
Patient_019	5	5
Patient_019	6	296
Patient_019	7	10
Patient_019	8	156
Patient_019	9	1
Patient_020	0	51
Patient_020	1	1106
Patient_020	10	36
Patient_020	11	1
Patient_020	12	12
Patient_020	13	10
Patient_020	14	7
Patient_020	15	65
Patient_020	16	64
Patient_020	17	15
Patient_020	18	28
Patient_020	19	3
Patient_020	2	3
Patient_020	20	15
Patient_020	21	6
Patient_020	23	11
Patient_020	25	641
Patient_020	26	4
Patient_020	27	3
Patient_020	3	1
Patient_020	4	46
Patient_020	5	8
Patient_020	6	131
Patient_020	7	3
Patient_020	8	12
Patient_021	0	121
Patient_021	1	412
Patient_021	10	5
Patient_021	12	2
Patient_021	13	2
Patient_021	14	4
Patient_021	15	37
Patient_021	16	21
Patient_021	17	44
Patient_021	18	70
Patient_021	2	4
Patient_021	20	5
Patient_021	21	2
Patient_021	23	63
Patient_021	25	5
Patient_021	26	9
Patient_021	29	3969
Patient_021	3	18
Patient_021	30	1
Patient_021	4	15
Patient_021	5	2
Patient_021	6	106
Patient_021	7	1
Patient_021	8	16
Patient_021	9	4
Patient_022	0	74
Patient_022	1	890
Patient_022	10	2
Patient_022	12	9
Patient_022	13	10
Patient_022	14	7
Patient_022	15	17
Patient_022	16	46
Patient_022	17	5
Patient_022	18	54
Patient_022	19	2
Patient_022	2	14
Patient_022	20	3
Patient_022	21	39
Patient_022	23	8
Patient_022	25	1132
Patient_022	26	2
Patient_022	3	7
Patient_022	33	1
Patient_022	4	14
Patient_022	5	9
Patient_022	6	79
Patient_022	7	93
Patient_022	8	25
Patient_022	9	3
Patient_023	0	13
Patient_023	1	42
Patient_023	10	1
Patient_023	13	2
Patient_023	15	223
Patient_023	16	3
Patient_023	17	42
Patient_023	18	6
Patient_023	2	1
Patient_023	20	1
Patient_023	21	1
Patient_023	23	14
Patient_023	25	20
Patient_023	27	6
Patient_023	29	2
Patient_023	3	1
Patient_023	33	1
Patient_023	4	15
Patient_023	6	27
Patient_023	7	1
Patient_023	8	2
Patient_024	0	167
Patient_024	1	7
Patient_024	12	2
Patient_024	13	2
Patient_024	14	10
Patient_024	15	23
Patient_024	16	1
Patient_024	17	2
Patient_024	18	35
Patient_024	2	5
Patient_024	20	2
Patient_024	21	1
Patient_024	23	5
Patient_024	25	2
Patient_024	27	3
Patient_024	29	1
Patient_024	33	1
Patient_024	34	3
Patient_024	4	33
Patient_024	5	3
Patient_024	6	18
Patient_024	8	18
Patient_025	0	83
Patient_025	1	352
Patient_025	10	94
Patient_025	11	3
Patient_025	12	54
Patient_025	13	21
Patient_025	14	48
Patient_025	15	34
Patient_025	16	7
Patient_025	17	1
Patient_025	18	264
Patient_025	19	4
Patient_025	2	25
Patient_025	20	18
Patient_025	21	37
Patient_025	22	13
Patient_025	23	3
Patient_025	25	12
Patient_025	26	8
Patient_025	3	2
Patient_025	4	43
Patient_025	5	571
Patient_025	6	113
Patient_025	7	54
Patient_025	8	131
Patient_026	0	46
Patient_026	1	345
Patient_026	10	12
Patient_026	11	2
Patient_026	12	193
Patient_026	13	3
Patient_026	14	176
Patient_026	15	42
Patient_026	16	32
Patient_026	17	2
Patient_026	18	161
Patient_026	2	87
Patient_026	20	105
Patient_026	21	98
Patient_026	22	9
Patient_026	23	1
Patient_026	25	3
Patient_026	26	5
Patient_026	28	1
Patient_026	29	2
Patient_026	3	26
Patient_026	30	1
Patient_026	31	485
Patient_026	4	20
Patient_026	5	492
Patient_026	6	141
Patient_026	7	277
Patient_026	8	194
Patient_026	9	1
Patient_027	0	43
Patient_027	1	337
Patient_027	10	11
Patient_027	11	2
Patient_027	12	190
Patient_027	13	3
Patient_027	14	154
Patient_027	15	42
Patient_027	16	32
Patient_027	17	2
Patient_027	18	137
Patient_027	2	82
Patient_027	20	105
Patient_027	21	96
Patient_027	22	9
Patient_027	23	3
Patient_027	25	3
Patient_027	26	5
Patient_027	28	1
Patient_027	29	2
Patient_027	3	25
Patient_027	31	480
Patient_027	4	22
Patient_027	5	431
Patient_027	6	143
Patient_027	7	248
Patient_027	8	179
Patient_027	9	1
Patient_028	0	69
Patient_028	1	352
Patient_028	10	12
Patient_028	11	2
Patient_028	12	219
Patient_028	13	5
Patient_028	14	294
Patient_028	15	45
Patient_028	16	35
Patient_028	17	2
Patient_028	18	414
Patient_028	2	138
Patient_028	20	120
Patient_028	21	104
Patient_028	22	15
Patient_028	23	2
Patient_028	25	3
Patient_028	26	5
Patient_028	29	2
Patient_028	3	33
Patient_028	30	1
Patient_028	31	512
Patient_028	4	61
Patient_028	5	875
Patient_028	6	147
Patient_028	7	402
Patient_028	8	276
Patient_028	9	1
Patient_029	1	42
Patient_029	10	101
Patient_029	13	1
Patient_029	21	1
Patient_029	23	3
Patient_029	24	2
Patient_029	26	2
Patient_029	32	4421
Patient_029	5	1
Patient_029	6	5
Patient_030	1	53
Patient_030	10	164
Patient_030	12	1
Patient_030	13	2
Patient_030	21	2
Patient_030	23	3
Patient_030	24	1
Patient_030	26	3
Patient_030	32	4504
Patient_030	6	9
Patient_030	8	2
Patient_031	1	56
Patient_031	10	190
Patient_031	12	1
Patient_031	13	2
Patient_031	21	2
Patient_031	23	4
Patient_031	24	1
Patient_031	26	3
Patient_031	32	4532
Patient_031	6	9
Patient_031	8	2
Patient_032	0	309
Patient_032	1	10
Patient_032	12	8
Patient_032	13	2
Patient_032	14	29
Patient_032	15	10
Patient_032	16	4
Patient_032	17	3
Patient_032	18	65
Patient_032	2	15
Patient_032	20	19
Patient_032	21	6
Patient_032	22	2
Patient_032	23	4
Patient_032	24	1
Patient_032	3	8
Patient_032	4	68
Patient_032	5	8
Patient_032	6	17
Patient_032	8	16
Patient_033	0	304
Patient_033	1	10
Patient_033	12	7
Patient_033	13	1
Patient_033	14	28
Patient_033	15	9
Patient_033	16	4
Patient_033	17	3
Patient_033	18	64
Patient_033	2	14
Patient_033	20	19
Patient_033	21	6
Patient_033	22	3
Patient_033	23	4
Patient_033	24	1
Patient_033	3	8
Patient_033	4	69
Patient_033	5	6
Patient_033	6	17
Patient_033	8	17
Patient_034	0	310
Patient_034	1	10
Patient_034	12	7
Patient_034	13	1
Patient_034	14	29
Patient_034	15	9
Patient_034	16	4
Patient_034	17	3
Patient_034	18	66
Patient_034	2	14
Patient_034	20	19
Patient_034	21	6
Patient_034	22	2
Patient_034	23	4
Patient_034	24	1
Patient_034	3	8
Patient_034	4	68
Patient_034	5	6
Patient_034	6	17
Patient_034	8	16
Patient_035	0	306
Patient_035	1	10
Patient_035	12	8
Patient_035	13	1
Patient_035	14	29
Patient_035	15	9
Patient_035	16	4
Patient_035	17	3
Patient_035	18	64
Patient_035	2	14
Patient_035	20	19
Patient_035	21	6
Patient_035	22	4
Patient_035	23	4
Patient_035	24	1
Patient_035	3	8
Patient_035	4	68
Patient_035	5	7
Patient_035	6	17
Patient_035	8	17
Patient_036	0	12
Patient_036	1	17
Patient_036	13	1
Patient_036	14	6
Patient_036	15	12
Patient_036	16	297
Patient_036	18	85
Patient_036	2	210
Patient_036	20	49
Patient_036	21	62
Patient_036	22	3
Patient_036	23	6
Patient_036	26	1
Patient_036	3	5
Patient_036	4	79
Patient_036	5	525
Patient_036	6	291
Patient_036	7	5
Patient_036	8	53
Patient_036	9	916
Patient_037	0	12
Patient_037	1	16
Patient_037	13	1
Patient_037	14	5
Patient_037	15	12
Patient_037	16	301
Patient_037	18	81
Patient_037	2	206
Patient_037	20	48
Patient_037	21	63
Patient_037	22	1
Patient_037	23	7
Patient_037	26	1
Patient_037	3	5
Patient_037	4	68
Patient_037	5	519
Patient_037	6	293
Patient_037	7	5
Patient_037	8	54
Patient_037	9	912
Patient_038	0	11
Patient_038	1	17
Patient_038	13	1
Patient_038	14	5
Patient_038	15	12
Patient_038	16	300
Patient_038	18	79
Patient_038	2	196
Patient_038	20	47
Patient_038	21	61
Patient_038	23	7
Patient_038	26	1
Patient_038	3	5
Patient_038	4	56
Patient_038	5	491
Patient_038	6	290
Patient_038	7	5
Patient_038	8	52
Patient_038	9	903
Patient_039	0	13
Patient_039	1	17
Patient_039	13	1
Patient_039	14	5
Patient_039	15	12
Patient_039	16	298
Patient_039	18	80
Patient_039	2	205
Patient_039	20	48
Patient_039	21	61
Patient_039	22	1
Patient_039	23	7
Patient_039	26	1
Patient_039	3	5
Patient_039	4	64
Patient_039	5	496
Patient_039	6	288
Patient_039	7	5
Patient_039	8	52
Patient_039	9	910
Patient_040	1	41
Patient_040	10	94
Patient_040	13	2
Patient_040	21	1
Patient_040	23	1
Patient_040	24	2
Patient_040	26	2
Patient_040	32	4414
Patient_040	5	1
Patient_040	6	8
Patient_040	9	1
Patient_041	0	39
Patient_041	1	43
Patient_041	10	1
Patient_041	12	4
Patient_041	13	3
Patient_041	14	1
Patient_041	15	55
Patient_041	16	11
Patient_041	17	138
Patient_041	18	24
Patient_041	2	5
Patient_041	20	3
Patient_041	21	5
Patient_041	22	1
Patient_041	23	1177
Patient_041	25	1
Patient_041	27	731
Patient_041	3	1
Patient_041	4	19
Patient_041	5	22
Patient_041	6	372
Patient_041	8	58
Patient_041	9	9
Patient_042	0	1
Patient_042	1	8
Patient_042	12	1
Patient_042	13	2
Patient_042	15	9
Patient_042	17	72
Patient_042	20	1
Patient_042	21	1
Patient_042	23	925
Patient_042	25	3
Patient_042	27	491
Patient_042	5	1
Patient_042	6	205
Patient_042	8	6
Patient_042	9	12
Patient_043	0	32
Patient_043	1	48
Patient_043	10	1
Patient_043	12	4
Patient_043	13	2
Patient_043	15	55
Patient_043	16	5
Patient_043	17	138
Patient_043	18	19
Patient_043	2	2
Patient_043	20	3
Patient_043	21	7
Patient_043	22	1
Patient_043	23	1170
Patient_043	25	2
Patient_043	27	731
Patient_043	3	1
Patient_043	4	18
Patient_043	5	22
Patient_043	6	373
Patient_043	8	54
Patient_043	9	8
Patient_044	0	46
Patient_044	1	45
Patient_044	10	1
Patient_044	12	4
Patient_044	13	4
Patient_044	15	59
Patient_044	16	12
Patient_044	17	141
Patient_044	18	36
Patient_044	19	1
Patient_044	2	6
Patient_044	20	3
Patient_044	21	7
Patient_044	22	2
Patient_044	23	1176
Patient_044	24	1
Patient_044	25	2
Patient_044	27	741
Patient_044	3	1
Patient_044	4	33
Patient_044	5	29
Patient_044	6	375
Patient_044	8	70
Patient_044	9	8
Patient_045	0	19
Patient_045	1	123
Patient_045	10	171
Patient_045	11	89
Patient_045	12	221
Patient_045	13	2
Patient_045	14	25
Patient_045	15	3
Patient_045	16	2
Patient_045	18	517
Patient_045	2	197
Patient_045	20	5
Patient_045	21	15
Patient_045	22	9
Patient_045	26	4
Patient_045	28	1
Patient_045	3	220
Patient_045	31	5
Patient_045	32	4
Patient_045	4	25
Patient_045	5	476
Patient_045	6	9
Patient_045	7	259
Patient_045	8	834
Patient_046	0	16
Patient_046	1	121
Patient_046	10	169
Patient_046	11	89
Patient_046	12	220
Patient_046	13	3
Patient_046	14	23
Patient_046	15	3
Patient_046	16	2
Patient_046	18	467
Patient_046	2	192
Patient_046	20	5
Patient_046	21	15
Patient_046	22	12
Patient_046	26	4
Patient_046	28	1
Patient_046	3	214
Patient_046	31	5
Patient_046	32	3
Patient_046	4	29
Patient_046	5	454
Patient_046	6	11
Patient_046	7	248
Patient_046	8	814
Patient_047	0	21
Patient_047	1	125
Patient_047	10	176
Patient_047	11	90
Patient_047	12	225
Patient_047	13	1
Patient_047	14	27
Patient_047	15	3
Patient_047	16	2
Patient_047	18	602
Patient_047	2	209
Patient_047	20	5
Patient_047	21	15
Patient_047	22	12
Patient_047	26	4
Patient_047	28	1
Patient_047	3	231
Patient_047	31	5
Patient_047	32	3
Patient_047	4	30
Patient_047	5	496
Patient_047	6	12
Patient_047	7	263
Patient_047	8	871
Patient_048	0	23
Patient_048	1	126
Patient_048	10	181
Patient_048	11	91
Patient_048	12	226
Patient_048	13	2
Patient_048	14	28
Patient_048	15	3
Patient_048	16	2
Patient_048	18	697
Patient_048	2	219
Patient_048	20	5
Patient_048	21	15
Patient_048	22	15
Patient_048	26	4
Patient_048	28	2
Patient_048	3	247
Patient_048	31	5
Patient_048	32	4
Patient_048	4	31
Patient_048	5	500
Patient_048	6	11
Patient_048	7	268
Patient_048	8	891
Patient_049	0	28
Patient_049	1	4
Patient_049	10	7
Patient_049	12	2
Patient_049	13	51
Patient_049	15	62
Patient_049	16	21
Patient_049	17	1
Patient_049	18	12
Patient_049	2	1
Patient_049	20	2
Patient_049	21	1
Patient_049	22	1
Patient_049	23	1
Patient_049	26	13
Patient_049	28	1
Patient_049	3	8
Patient_049	4	44
Patient_049	5	6
Patient_049	6	3
Patient_049	8	4
Patient_049	9	6
Patient_050	0	8
Patient_050	1	137
Patient_050	10	209
Patient_050	11	1
Patient_050	12	43
Patient_050	13	714
Patient_050	14	154
Patient_050	15	30
Patient_050	16	15
Patient_050	17	13
Patient_050	18	12
Patient_050	19	1
Patient_050	2	3
Patient_050	20	9
Patient_050	21	39
Patient_050	22	487
Patient_050	23	4
Patient_050	24	1
Patient_050	25	1
Patient_050	26	141
Patient_050	28	1
Patient_050	29	1
Patient_050	3	53
Patient_050	30	3
Patient_050	33	349
Patient_050	4	23
Patient_050	5	2
Patient_050	6	62
Patient_050	7	2
Patient_050	8	104
Patient_050	9	10
Patient_051	0	12
Patient_051	1	49
Patient_051	10	268
Patient_051	11	3
Patient_051	12	48
Patient_051	13	475
Patient_051	14	155
Patient_051	15	19
Patient_051	16	29
Patient_051	17	7
Patient_051	18	12
Patient_051	19	9
Patient_051	2	1
Patient_051	20	3
Patient_051	21	44
Patient_051	22	1366
Patient_051	23	1
Patient_051	25	1
Patient_051	26	181
Patient_051	28	5
Patient_051	3	57
Patient_051	33	802
Patient_051	4	42
Patient_051	5	7
Patient_051	6	51
Patient_051	7	1
Patient_051	8	324
Patient_051	9	2
Patient_052	0	3
Patient_052	1	53
Patient_052	10	41
Patient_052	11	4
Patient_052	12	18
Patient_052	13	976
Patient_052	14	62
Patient_052	15	3
Patient_052	16	12
Patient_052	17	3
Patient_052	18	4
Patient_052	19	22
Patient_052	2	2
Patient_052	20	1
Patient_052	21	15
Patient_052	22	654
Patient_052	25	1
Patient_052	26	16
Patient_052	28	2
Patient_052	3	33
Patient_052	33	971
Patient_052	4	24
Patient_052	5	2
Patient_052	6	35
Patient_052	7	1
Patient_052	8	126
Patient_052	9	4
Patient_053	0	40
Patient_053	1	31
Patient_053	10	111
Patient_053	12	15
Patient_053	13	109
Patient_053	14	87
Patient_053	15	344
Patient_053	16	226
Patient_053	17	30
Patient_053	18	89
Patient_053	2	42
Patient_053	20	16
Patient_053	21	27
Patient_053	22	19
Patient_053	23	5
Patient_053	24	18
Patient_053	25	3
Patient_053	26	408
Patient_053	28	18
Patient_053	3	35
Patient_053	30	1
Patient_053	33	2
Patient_053	4	219
Patient_053	5	1168
Patient_053	6	54
Patient_053	7	4
Patient_053	8	44
Patient_053	9	595
Patient_054	0	21
Patient_054	1	14
Patient_054	10	14
Patient_054	12	54
Patient_054	13	189
Patient_054	14	89
Patient_054	15	15
Patient_054	16	11
Patient_054	18	45
Patient_054	2	9
Patient_054	20	4
Patient_054	21	158
Patient_054	22	1557
Patient_054	24	317
Patient_054	26	15
Patient_054	28	1
Patient_054	3	7
Patient_054	4	36
Patient_054	5	12
Patient_054	6	19
Patient_054	7	6
Patient_054	8	133
Patient_054	9	6
Patient_055	0	42
Patient_055	1	12
Patient_055	10	19
Patient_055	12	168
Patient_055	13	497
Patient_055	14	162
Patient_055	15	33
Patient_055	16	17
Patient_055	17	3
Patient_055	18	43
Patient_055	2	9
Patient_055	20	13
Patient_055	21	177
Patient_055	22	1866
Patient_055	23	3
Patient_055	24	792
Patient_055	26	9
Patient_055	28	2
Patient_055	3	8
Patient_055	4	64
Patient_055	5	19
Patient_055	6	20
Patient_055	7	2
Patient_055	8	170
Patient_055	9	4
Patient_056	0	30
Patient_056	1	43
Patient_056	10	29
Patient_056	11	2
Patient_056	12	117
Patient_056	13	183
Patient_056	14	134
Patient_056	15	55
Patient_056	16	20
Patient_056	17	1
Patient_056	18	58
Patient_056	2	12
Patient_056	20	6
Patient_056	21	108
Patient_056	22	2217
Patient_056	23	3
Patient_056	24	966
Patient_056	26	32
Patient_056	28	3
Patient_056	3	6
Patient_056	4	98
Patient_056	5	40
Patient_056	6	17
Patient_056	7	4
Patient_056	8	210
Patient_056	9	8
Patient_057	0	10
Patient_057	1	31
Patient_057	10	8
Patient_057	12	19
Patient_057	13	46
Patient_057	14	281
Patient_057	15	88
Patient_057	16	3
Patient_057	17	49
Patient_057	18	5
Patient_057	19	289
Patient_057	20	2
Patient_057	21	3
Patient_057	22	368
Patient_057	23	2
Patient_057	25	1
Patient_057	26	5
Patient_057	28	26
Patient_057	3	70
Patient_057	4	7
Patient_057	5	2
Patient_057	6	21
Patient_057	8	53
Patient_058	0	3
Patient_058	1	41
Patient_058	10	25
Patient_058	12	25
Patient_058	13	62
Patient_058	14	105
Patient_058	15	24
Patient_058	16	3
Patient_058	17	1
Patient_058	18	6
Patient_058	19	467
Patient_058	2	3
Patient_058	22	261
Patient_058	23	3
Patient_058	26	11
Patient_058	28	12
Patient_058	3	64
Patient_058	4	4
Patient_058	6	11
Patient_058	7	1
Patient_058	8	48
Patient_058	9	6
Patient_059	0	9
Patient_059	1	13
Patient_059	10	6
Patient_059	12	8
Patient_059	13	32
Patient_059	14	75
Patient_059	15	15
Patient_059	16	6
Patient_059	17	2
Patient_059	18	9
Patient_059	19	169
Patient_059	2	3
Patient_059	20	1
Patient_059	22	129
Patient_059	26	10
Patient_059	28	19
Patient_059	3	14
Patient_059	4	6
Patient_059	5	8
Patient_059	6	9
Patient_059	8	25
Patient_059	9	5
Patient_060	1	4
Patient_060	10	13
Patient_060	12	163
Patient_060	13	109
Patient_060	14	179
Patient_060	15	15
Patient_060	16	45
Patient_060	17	4
Patient_060	19	1
Patient_060	20	4
Patient_060	21	25
Patient_060	22	19
Patient_060	26	7
Patient_060	28	799
Patient_060	3	31
Patient_060	30	11
Patient_060	35	403
Patient_060	4	78
Patient_060	6	27
Patient_061	0	2
Patient_061	1	8
Patient_061	10	22
Patient_061	11	2
Patient_061	12	157
Patient_061	13	79
Patient_061	14	813
Patient_061	15	53
Patient_061	16	39
Patient_061	17	4
Patient_061	18	5
Patient_061	19	1
Patient_061	20	4
Patient_061	21	5
Patient_061	22	39
