	SRR5085170
YOR222W	11
YOL051W	7
YOR091W	12
YOL022C	14
YOL078W	13
YOL098C	64
YOR171C	11
YOL089C	9
YOR095C	34
YOR046C	24
YOL112W	16
YOR141C	18
YOL143C	19
YOR172W	6
YOR101W	13
YOR056C	13
YOR246C	18
YOR042W	16
YOR176W	15
YOR310C	147
YOR063W	1237
YOL129W	20
YOL092W	9
YOL061W	16
YOR232W	36
YOR219C	11
YOR182C	20
YOR110W	8
YOL130W	15
YOL021C	22
YOL077W-A	11
YOR291W	15
YOL077C	33
YOR123C	25
YOR362C	23
YOL057W	33
YOR321W	4
YOL139C	93
YOR287C	10
YOR198C	34
YOR034C	8
YOL115W	9
YOL096C	11
YOR020C	46
YOR133W	26
YOR356W	20
YOR357C	15
YOR276W	21
YOR344C	25
YOR329C	10
YOL040C	134
YOR051C	53
YOR073W	12
YOL018C	5
YOR087W	14
YOL086C	1294
YOR165W	22
YOL068C	19
YOR138C	11
YOL121C	88
YOL126C	26
YOR080W	10
YOR109W	30
YOR147W	4
YOR254C	57
YOL080C	10
YOR136W	38
YOR195W	21
YOL123W	30
YOR337W	16
YOR304W	28
YOR074C	6
YOR117W	50
YOL066C	5
YOR151C	124
YOR187W	39
YOR355W	20
YOR290C	17
YOL060C	5
YOL041C	18
YOR299W	9
YOR096W	267
YOR301W	11
YOR076C	8
YOR061W	25
YOR371C	3
YOL062C	15
YOR027W	21
RME2	2
YGR162W	73
YGR005C	12
YGL160W	4
YGL097W	21
YGL028C	18
YGL021W	19
YGR167W	24
YGL228W	18
YGR086C	83
YGL145W	7
YGR098C	20
YGR172C	12
YGL026C	50
YGL213C	17
YGL256W	8
YGL012W	38
YGL082W	14
YGR274C	10
YGL037C	56
YGL252C	15
YGR260W	41
YGR159C	65
YGL040C	24
YGR130C	11
YGR029W	14
YGR038W	11
YGR008C	12
YGL094C	12
YGR125W	11
YGR279C	148
YGL022W	72
YGR271W	15
YGR031W	11
YGL113W	10
YGL084C	16
YGL196W	7
YGR157W	42
YGR085C	87
YGL169W	11
YGR187C	10
YGL167C	17
YGL068W	13
YGL014W	14
YGL100W	18
YGR211W	40
YGR270W	24
YGR204W	39
YGR266W	13
YGL070C	17
YGL225W	33
YGL120C	31
YGR252W	13
YGL106W	12
YGR284C	16
YGR032W	15
YGR208W	20
YGL016W	20
YGR255C	19
YGR200C	23
YGR191W	12
YGL227W	12
YGR081C	6
YGR148C	66
YGR276C	15
YGL224C	3
YGL020C	10
YGL189C	57
YGR210C	10
YGL115W	90
YGL105W	69
YGR026W	16
YGR278W	14
YGR262C	11
YGL200C	65
YGL186C	12
YGR198W	11
YGL058W	4
YGL055W	134
YGL151W	16
YGR103W	41
YGL013C	14
YGL076C	141
YGR094W	137
YGR175C	75
YGL008C	924
YGR108W	19
YGR218W	56
YGL009C	132
YGL095C	11
YGL137W	51
YGR001C	8
YGL173C	58
YGL086W	15
YGR223C	8
YGR285C	106
YGL207W	69
YGR261C	12
YGL140C	17
YGL078C	54
YGR196C	9
YGL197W	10
YGL159W	4
YGR286C	10
snR48	17
YGL035C	14
YGR009C	10
YGR034W	249
YGR118W	184
YGR277C	8
YGL142C	11
YGL253W	188
YGL049C	14
YGL202W	50
YGR037C	12
YGL077C	23
YGR245C	43
YGL244W	19
YGL187C	20
YGR180C	122
YGR116W	72
YGR202C	28
YGL150C	23
YGR214W	238
YGR007W	4
YGR083C	8
YGL038C	8
YGR244C	21
YGR106C	40
YGR209C	48
YGR003W	13
YGR170W	8
YGR246C	12
YGL123W	462
YGL099W	15
YGL233W	29
YGL056C	14
YGR240C	118
YGR020C	37
YGR100W	12
YGR231C	27
YGR145W	27
YGL011C	16
YGL122C	11
YGR216C	11
YGR047C	20
YGR282C	132
YGL036W	12
YGR192C	1686
YGL191W	15
YGR013W	15
YGR123C	16
YGL163C	10
YGL092W	26
YGR132C	13
YGR128C	24
YGL246C	16
YGL190C	16
YGR033C	14
YGL112C	18
YGL001C	17
YGL093W	14
YGR027C	108
YGR124W	115
YGL103W	234
YGL062W	19
snR39	11
YGL161C	23
YGR184C	25
YGR055W	17
YGL054C	23
YGR090W	21
YGL198W	9
YGR071C	5
YGL195W	92
YGL206C	66
YGR060W	31
YGL257C	15
YGL023C	6
YGL201C	7
YGL241W	14
YGR199W	14
YGL111W	10
snR39B	20
YGR155W	125
YGL114W	9
YGL255W	11
YGR233C	4
YGR092W	16
YGL171W	21
YGL029W	10
YGL147C	338
YGR178C	16
YGL203C	22
YGL048C	54
YGR207C	19
YGR093W	5
YGR119C	23
YGR061C	89
YGR280C	10
YGL031C	190
YGR117C	19
YGR254W	385
YGL164C	10
YGR264C	111
YGL234W	113
YGL238W	50
YGR185C	28
YGR189C	25
YGL221C	27
YGL135W	95
YGR253C	27
YGL101W	13
YGR271C-A	7
YGR267C	9
YGR234W	130
YGL141W	17
YGL245W	130
YGL215W	4
YGR229C	12
YGR135W	37
YGL139W	9
YGL172W	9
YGL027C	13
YGL019W	14
YGR017W	22
YGR193C	11
YGL030W	210
YGL148W	66
YGR281W	10
YGR078C	11
YGL133W	13
YGR295C	7
YGR048W	10
YGR054W	20
YGL006W	25
YGL232W	24
YGL157W	14
YGR014W	14
YLL050C	135
YLR075W	325
YLR025W	10
YLR049C	13
YLR032W	9
YLR321C	10
YLR247C	17
YLR167W	1084
YLR220W	20
YLR272C	12
YLR180W	52
YLR250W	48
YLR253W	12
YLR390W-A	12
YLR117C	3
YLR110C	257
YLR069C	17
YLR008C	12
YLR231C	22
YLR264W	118
YLR103C	9
YLR228C	10
YLL036C	17
snR61	33
YLR056W	79
YLR429W	42
YLR310C	34
YLR342W	157
YLR017W	15
YLR304C	56
YLR027C	39
YLR214W	33
YLR378C	29
YLL008W	49
YLR449W	46
YLR089C	15
YLR190W	9
YLR045C	10
YLR285W	8
YLR276C	39
YLR077W	7
YLR301W	13
YLR427W	11
YLR150W	299
YLL021W	27
YLR153C	31
YLR014C	10
YLR096W	14
YLR033W	14
YLR278C	14
YLR266C	12
YLR007W	6
YLL015W	27
YLR058C	149
YLR325C	93
YLR074C	12
YLL001W	15
YLR409C	32
YLR256W	44
YLR186W	12
YLR143W	9
YLR197W	128
YLL034C	34
YLL023C	9
YLR065C	7
YLL031C	15
YLR419W	12
YLR405W	6
YLR093C	11
YLR370C	18
YLL026W	98
YLR114C	13
YLR146C	5
YLR333C	48
YLL043W	12
YLR336C	28
YLR430W	24
YLR436C	11
YLR347C	16
YLR113W	31
YLR196W	30
YLR163C	14
YLR129W	62
YLR173W	12
YLR259C	56
YLR401C	25
YLR185W	114
YLR060W	66
YLL029W	10
YLR432W	19
YLR166C	26
YLR383W	9
YLR044C	1122
YLR293C	46
YLR192C	18
YLR300W	54
YLR448W	62
snR44	16
YLR367W	92
YLR309C	27
YLR299W	9
YLR029C	358
YLR373C	6
YLR066W	11
YLR175W	124
YLL051C	6
YLR314C	25
YLR019W	14
YLR361C	10
YLR389C	23
YLR270W	7
YLR223C	16
YLR195C	9
YLR398C	27
YLR418C	30
YLR109W	70
YLR106C	60
YLR083C	21
YLR274W	27
YLR413W	54
YLR340W	416
YLR452C	32
YLR372W	38
YLR363C	11
YLR207W	13
YLR188W	18
YLR328W	11
YLR241W	7
snR30	7
YLR287C	19
YLR410W	15
YLR397C	10
YLR120C	17
YLR335W	24
YLR399C	31
YLR388W	37
YLR249W	1275
YLL010C	12
YLR133W	7
YLL011W	19
YLR384C	45
YLR203C	10
YLR450W	24
YLR291C	7
YLR344W	68
YLR447C	94
YLR435W	26
YLR084C	11
YLR229C	21
YLR048W	97
YLR086W	25
YLL041C	10
YLR330W	29
YLR244C	42
YLR258W	22
YLR172C	15
YLR268W	5
YLR420W	18
YLL035W	10
YLL009C	7
YLR406C	133
YLR138W	14
YLR295C	8
YLR248W	14
YLR002C	45
YLR189C	19
YLR206W	14
YLL018C	42
YLR350W	10
YLR257W	21
YLR375W	15
YLR287C-A	15
YLR003C	13
YLR355C	191
YLR441C	392
YLR028C	61
YLR043C	57
YLR243W	13
YLR148W	14
YLR199C	13
YLR351C	19
YLR130C	15
YLR024C	11
YLR380W	5
YLR061W	124
YLR386W	12
YLR387C	8
YLR422W	11
YLR354C	81
YLL039C	39
YLR208W	19
YLR115W	5
YLR005W	14
YLR454W	24
YLR305C	35
YLL048C	33
YLL024C	114
YLR009W	6
YLR057W	13
YLR348C	22
YLR179C	30
YLR371W	17
YLR222C	15
YLR440C	14
YLR421C	6
YLL027W	10
YLR292C	10
YLR016C	9
YLR359W	164
YLL013C	6
YLR320W	5
YLL045C	240
YLR071C	20
YLR286C	52
YLL004W	11
YLR100W	61
YLR088W	5
YLR216C	56
YLL040C	26
YPL217C	33
YPR139C	12
YPR169W	15
YPL009C	22
YPL183C	23
YPL179W	14
YPR103W	41
YPL244C	7
YPR156C	14
YPL240C	52
YPL111W	13
YPR119W	12
YPL218W	62
YPL198W	53
YPL006W	12
YPR161C	13
YPL145C	12
YPR181C	39
YPR171W	8
YPR122W	25
YPL091W	40
YPL137C	4
YPL163C	13
YPR069C	20
YPR072W	12
YPL175W	18
YPL125W	23
YPL090C	317
YPR198W	4
YPR106W	1
YPL270W	12
YPR058W	14
YPL004C	60
YPR110C	40
YPR149W	42
YPR009W	10
YPR118W	47
YPR019W	10
YPL144W	10
YPL045W	37
YPL263C	16
YPR124W	16
YPR004C	11
YPR080W	108
YPR033C	46
YPL210C	27
YPL155C	10
YPL225W	34
YPL081W	63
YPL266W	14
YPR108W	29
YPL058C	20
YPR088C	21
YPL254W	9
YPR129W	5
YPR113W	21
YPL160W	134
YPL169C	10
YPR115W	11
YPL184C	15
YPR189W	20
YPL246C	12
YPL020C	13
YPL061W	128
YPR112C	32
YPR148C	24
YPL131W	191
YPL012W	45
YPL010W	30
YPR173C	17
YPR024W	33
YPR191W	11
YPL063W	27
YPR166C	5
YPL231W	139
YPL129W	12
YPR164W	18
YPL019C	81
YPL022W	24
YPL211W	18
YPL040C	14
YPR159W	38
YPL227C	11
YPL234C	40
YPL015C	14
YPR035W	135
YPR037C	8
YPL135W	16
YPL112C	10
YPL154C	31
YPR074C	126
YPR133C	32
YPR070W	9
YPL176C	25
YPL220W	55
YPL032C	20
YPR185W	11
YPR145W	154
YPL178W	14
YPL013C	14
YPR028W	35
YPR089W	7
YPL075W	15
YPR062W	16
YPR125W	12
YPL221W	13
YPR073C	11
YPL262W	21
snR45	14
YPR036W	155
YPL031C	10
YPL237W	54
YPL053C	31
YPL085W	14
YPR104C	17
YPR190C	13
YPL043W	40
YPL105C	17
YPR132W	142
YPR137W	20
YPL190C	23
YPL241C	9
YPR043W	83
YPL157W	30
YPL177C	14
YPR165W	29
YPL037C	59
YPL101W	16
YPL256C	36
YPR023C	12
YPL093W	49
YPL118W	12
YPL239W	16
YPL128C	4
YPL188W	10
YPL207W	31
YPR021C	14
YPL143W	150
YPL126W	60
YPR187W	23
YPR182W	7
YPL242C	52
YPR086W	18
YPR117W	14
YPL086C	30
YPR105C	41
YPL094C	11
YPR176C	8
YPR163C	76
YPR160W	22
YPL235W	6
YPR144C	29
YPL249C-A	98
YPL260W	14
YPR095C	11
YPR010C	95
YPL268W	13
YPL206C	16
YPR055W	13
YPL243W	31
YPL232W	24
YPR041W	163
YPL048W	49
YPL117C	8
YPL273W	29
YPR097W	12
YPL274W	7
YPL050C	21
YPR114W	10
YPR175W	10
YPL079W	145
YPL150W	12
YPL226W	124
YPL115C	14
YPL170W	10
YPL245W	24
YPR048W	17
YPR102C	57
YPR133W-A	12
YPL146C	34
YPL082C	26
YPR183W	31
YPL249C	5
YPR016C	23
YPR029C	33
YPL106C	104
YPL212C	17
YPL078C	30
YPL195W	18
YPR060C	8
YPL199C	12
YPL228W	12
YPL259C	8
YPL028W	88
YPR031W	17
YMR027W	27
YMR290C	83
YMR091C	15
YML088W	10
YML125C	35
YMR318C	85
YMR266W	29
YML057W	12
YMR105C	13
YMR012W	68
YMR202W	37
YMR083W	35
YML085C	35
YMR304W	14
YMR308C	65
YML001W	14
YMR319C	13
YML075C	14
YML073C	180
YMR149W	17
YMR260C	41
YML056C	68
YML091C	14
YMR199W	6
YML127W	19
YMR246W	94
YMR120C	92
YML049C	17
YMR302C	12
YML060W	13
YMR080C	28
YMR079W	6
YMR100W	7
YMR183C	22
YML074C	33
YMR157C	12
YMR110C	11
YMR300C	30
YMR031C	19
YMR200W	11
YMR297W	76
YML026C	135
YMR143W	44
YML069W	30
YMR211W	11
YMR142C	199
YMR203W	31
YMR089C	31
YMR099C	22
YML115C	16
snR11	13
YML012W	25
YML100W	16
YML099C	19
YML123C	50
YMR207C	10
YMR011W	44
YML008C	52
YMR109W	17
YMR004W	9
YMR216C	16
YMR272C	58
YML104C	17
YML058W	41
YML063W	330
YMR008C	11
YMR014W	13
YMR208W	13
YML028W	214
YMR285C	10
YMR189W	31
YML128C	10
YML022W	14
YMR119W	16
YMR215W	21
YMR277W	10
YMR033W	29
YMR305C	56
YMR237W	20
YMR162C	19
YMR158W	7
YMR241W	17
YMR205C	119
YMR235C	36
YMR047C	20
YMR259C	22
YMR261C	10
YML010W	40
YMR126C	10
YML081W	15
YMR221C	11
YML097C	11
YMR295C	12
YML080W	18
YMR058W	24
YMR076C	11
YMR242C	220
YMR309C	76
YML096W	6
YML016C	11
YMR178W	5
YML109W	10
YML106W	42
YML052W	15
YMR218C	18
YMR315W	15
YML121W	13
YMR217W	76
YMR298W	17
YMR289W	5
YML048W	15
snR77	16
YML046W	12
YML004C	14
YMR229C	90
YMR301C	14
YMR276W	10
YMR002W	10
YMR176W	22
YMR198W	10
YMR006C	30
tQ(CUG)M	9
YML093W	28
YMR116C	1208
YMR196W	18
YML053C	11
YMR070W	5
YMR219W	17
YMR123W	10
YMR019W	8
YMR010W	8
YML126C	61
YMR270C	11
YMR108W	54
YML111W	11
YMR278W	13
YMR185W	20
YMR258C	13
YMR029C	14
YMR092C	35
YMR122W-A	10
YMR220W	9
YML031W	34
YMR078C	13
YMR223W	8
YMR214W	14
YML117W	30
snR24	16
YMR226C	127
YML110C	42
YML007W	15
YMR264W	21
YMR037C	11
YML024W	232
YMR130W	12
YMR054W	11
YMR194W	28
YMR074C	15
YML065W	18
YMR243C	42
YMR145C	66
YML071C	12
YMR015C	17
YML070W	10
YMR125W	37
YML072C	44
YML105C	6
YML124C	22
YMR102C	13
YMR128W	22
YMR039C	19
YMR230W	61
YMR267W	10
YMR247C	28
YMR152W	14
YMR251W-A	31
YMR146C	44
YMR032W	10
YMR153W	11
YMR282C	16
YMR062C	16
YMR038C	13
YMR049C	43
snR54	107
YML051W	8
YMR314W	39
YML034W	18
YMR131C	63
YML103C	62
YMR186W	511
YML059C	20
YML086C	12
YMR212C	25
YMR296C	12
YMR061W	10
YMR288W	12
YML130C	27
YML035C	14
YMR093W	12
YMR307W	396
YMR129W	29
YBL055C	9
YBR115C	23
YBR031W	92
YBL037W	5
YBL022C	49
YBR234C	12
YBR247C	11
YBR227C	11
YBR218C	45
YBR244W	10
YBR160W	15
YBR083W	9
YBR158W	54
YBR229C	22
YBR042C	11
YBR143C	98
YBR039W	17
YBL067C	8
YBR087W	13
YBR121C	130
YBR026C	8
YBR177C	15
YBR271W	11
YBR084W	74
YBR245C	21
YBR059C	17
YBR068C	31
YBR041W	15
YBL082C	7
YBL002W	37
YBL098W	76
YBR207W	14
YBR155W	13
YBR237W	8
YBR149W	20
YBR246W	8
YBR023C	24
YBL064C	15
YBL007C	30
YBL091C	22
YBR142W	32
YBR067C	39
YBR010W	58
YBL054W	15
YBR025C	71
YBL027W	174
YBR034C	36
YBR101C	24
YBL010C	5
YBR053C	14
YBL042C	16
YBL039C	41
YBL003C	70
YBR069C	38
YBR009C	42
YBR081C	15
YBR146W	12
YBL028C	14
YBR043C	13
YBR092C	32
YBR126C	22
YBR086C	55
YBR281C	14
YBR159W	25
YBR118W	169
YBL004W	29
YBL015W	12
YBR038W	5
YBR058C	23
YBL087C	133
YBR003W	10
LSR1	47
YBR200W	8
YBR248C	29
YBL047C	34
YBL092W	166
YBR199W	29
YBR139W	13
YBR054W	12
YBR111C	10
YBL001C	44
YBR110W	7
YBL036C	18
YBL076C	188
YBR256C	17
YBR189W	445
YBR011C	69
YBL041W	14
YBL040C	6
YBR082C	28
YBR061C	8
YBL016W	9
YBR175W	9
YBR029C	11
YBR222C	22
YBR162C	59
YBL033C	7
YBR263W	36
YBR272C	19
YBR084C-A	122
YBR106W	57
YBR166C	12
YBR109C	31
YBR255W	11
YBR205W	12
YBR130C	13
YBR122C	14
YBR202W	7
YBR001C	11
YBR288C	29
YBL072C	218
YBR103W	14
YBL024W	17
YBR102C	11
YBL051C	17
YBR196C	279
YBR236C	15
YBR276C	15
YBR036C	25
YBR079C	68
YBR017C	27
YBL023C	27
YBR127C	86
YBR035C	27
YBL017C	44
YBR195C	10
YBR221C	34
YBL045C	24
YBR154C	11
YBR273C	15
YBR048W	120
YBR104W	16
YBL079W	36
YBR265W	7
YBR249C	24
YBR170C	12
YBR133C	5
YBR275C	16
YBL085W	10
YBL052C	20
YBL009W	2
YBR283C	27
YBR198C	7
YBL056W	42
YBL099W	56
YBR242W	7
YBR181C	174
YBR052C	18
YBR093C	8
YBR049C	16
YBR056W	24
YBL030C	58
YBR151W	11
YBL105C	10
YBL102W	12
YBL011W	17
YBR235W	10
YBR015C	19
YBR055C	6
YBR088C	21
YBR164C	18
YBL020W	5
YBR208C	18
YBR172C	15
YBR286W	88
YBL061C	26
YBR267W	12
YBL032W	30
YBR191W	140
YBR074W	19
YBR187W	18
YBL035C	10
YBR073W	22
YBR260C	7
YBR279W	14
YBR078W	131
YBR028C	9
YBR129C	12
YBL050W	16
YBR080C	14
YBL058W	16
YBR140C	25
YNR017W	10
YNL306W	17
YNL288W	9
YNL137C	12
YNL030W	92
YNL297C	15
YNL102W	19
YNL099C	20
YNL182C	12
YNL180C	7
YNR001C	15
YNL091W	29
YNL221C	11
YNR052C	8
YNL061W	16
YNL121C	25
YNR055C	16
YNL119W	16
YNL310C	11
YNL126W	18
YNL301C	73
YNL263C	14
YNL059C	13
YNL044W	15
YNL067W	140
YNL104C	27
YNL169C	9
YNL268W	16
YNL162W	104
YNL257C	17
YNL229C	11
YNL248C	28
YNR051C	27
YNL190W	13
YNL080C	12
YNL145W	12
YNL323W	13
YNL048W	13
YNL273W	7
YNL055C	47
YNR013C	15
YNL041C	16
YNL008C	19
YNR015W	14
YNL313C	25
YNL035C	5
YNL007C	12
YNL002C	22
YNL311C	12
YNL291C	13
YNL087W	57
YNL217W	12
YNR028W	18
YNL192W	30
YNL071W	43
YNL308C	17
YNL239W	33
YNR067C	20
YNL294C	12
YNL280C	16
YNL075W	10
YNL261W	12
YNR021W	62
YNL201C	12
YNR033W	11
YNL123W	16
YNR016C	221
YNL178W	783
YNL065W	11
YNR043W	18
YNL021W	11
YNL251C	22
snR40	74
YNL299W	14
snR19	32
YNL163C	19
YNL118C	22
YNL189W	76
YNL290W	20
YNL227C	8
YNL004W	12
YNL233W	10
YNL155W	12
YNL177C	13
YNL098C	24
YNL049C	12
YNL031C	91
YNR030W	13
YNL038W	9
YNL090W	12
YNL151C	7
YNR038W	6
YNL307C	24
YNL131W	24
YNL175C	26
YNL022C	14
YNL183C	14
YNL238W	21
YNL154C	34
YNL267W	14
YNL209W	146
YNL066W	29
YNR054C	15
YNR031C	21
YNL110C	15
YNL262W	19
YNL256W	13
YNR029C	4
YNL023C	12
YNL186W	13
YNL153C	18
YNL088W	38
YNL216W	15
YNL181W	7
YNL064C	27
YNL322C	10
YNL168C	15
YNL259C	7
YNL037C	32
YNL085W	36
YNL255C	255
YNL070W	9
YNL271C	16
YNL327W	51
YNL281W	35
YNL156C	31
YNL166C	11
YNL069C	243
YNR050C	38
YNL138W	22
YNL302C	83
YNL045W	38
YNL207W	20
YNR011C	10
YNL241C	23
YNL112W	135
YNL115C	12
YNL073W	11
YNL101W	13
YNL084C	16
YNL208W	18
YNL010W	81
YNL134C	44
YNR053C	33
YNL231C	16
YNL258C	11
YNL081C	9
YNL287W	54
YNL096C	54
YNL139C	22
YNL113W	30
YNL016W	33
YNL330C	6
YNL172W	16
YNL132W	14
YNR035C	15
YNL160W	28
YNL141W	23
YNL161W	12
YNL247W	57
