	SRR5085168
YML085C	27
YMR304W	20
YMR308C	73
YML001W	16
YMR319C	19
YML075C	25
YML073C	206
YMR149W	13
YMR260C	64
YML056C	103
YML091C	9
YMR199W	20
YML127W	22
YMR246W	128
YMR120C	99
YML049C	9
YMR302C	12
YML060W	12
YMR080C	47
YMR079W	14
YMR100W	17
YMR183C	19
YML074C	38
YMR157C	12
YMR110C	16
YMR300C	35
YMR031C	18
YMR200W	5
YMR297W	82
YML026C	159
YMR143W	45
YML069W	31
YMR211W	7
YMR142C	228
YMR203W	57
YMR089C	14
YMR099C	28
YML115C	16
snR11	29
YML012W	24
YML100W	4
YML099C	14
YML123C	174
YMR207C	5
YMR011W	64
YML008C	54
YMR109W	16
YMR004W	13
YMR216C	10
YMR272C	39
YML104C	7
YML058W	36
YML063W	336
YMR008C	22
YMR014W	16
YMR208W	4
YML028W	203
YMR285C	9
YMR189W	20
YML128C	7
YML022W	13
YMR119W	15
YMR215W	26
YMR277W	18
YMR033W	17
YMR305C	57
YMR237W	6
YMR162C	19
YMR158W	14
YMR241W	26
YMR205C	152
YMR235C	50
YMR047C	7
YMR259C	25
YMR261C	11
YML010W	25
YMR126C	6
YML081W	18
YMR221C	11
YML097C	10
YMR295C	14
YML080W	10
YMR058W	38
YMR076C	20
YMR242C	270
YMR309C	85
YML096W	10
YML016C	9
YMR178W	11
YML109W	4
YML106W	52
YML052W	13
YMR218C	6
YMR315W	14
YML121W	7
YMR217W	108
YMR298W	14
YMR289W	10
YML048W	22
snR77	14
YML046W	20
YML004C	30
YMR229C	125
YMR301C	14
YMR276W	20
YMR002W	12
YMR176W	25
YMR198W	9
YMR006C	28
tQ(CUG)M	11
YML093W	32
YMR116C	1430
YMR196W	9
YML053C	3
YMR070W	12
YMR219W	11
YMR123W	12
YMR019W	7
YMR010W	5
YML126C	83
YMR270C	9
YMR108W	48
YML111W	18
YMR278W	5
YMR185W	18
YMR258C	7
YMR029C	14
YMR092C	25
YMR122W-A	11
YMR220W	15
YML031W	33
YMR078C	8
YMR223W	15
YMR214W	16
YML117W	17
snR24	23
YMR226C	129
YML110C	32
YML007W	13
YMR264W	12
YMR037C	2
YML024W	265
YMR130W	5
YMR054W	17
YMR194W	32
YMR074C	17
YML065W	17
YMR243C	93
YMR145C	90
YML071C	10
YMR015C	30
YML070W	8
YMR125W	54
YML072C	61
YML105C	8
YML124C	26
YMR102C	8
YMR128W	31
YMR039C	10
YMR230W	71
YMR267W	12
YMR247C	30
YMR152W	10
YMR251W-A	14
YMR146C	73
YMR032W	8
YMR153W	5
YMR282C	10
YMR062C	14
YMR038C	12
YMR049C	37
snR54	370
YML051W	13
YMR314W	37
YML034W	17
YMR131C	49
YML103C	64
YMR186W	567
YML059C	19
YML086C	26
YMR212C	43
YMR296C	9
YMR061W	19
YMR288W	6
YML130C	35
YML035C	31
YMR093W	17
YMR307W	449
YMR129W	25
YBL055C	11
YBR115C	25
YBR031W	133
YBL037W	10
YBL022C	42
YBR234C	15
YBR247C	12
YBR227C	5
YBR218C	63
YBR244W	12
YBR160W	6
YBR083W	14
YBR158W	57
YBR229C	14
YBR042C	13
YBR143C	83
YBR039W	32
YBL067C	15
YBR087W	6
YBR121C	90
YBR026C	8
YBR177C	20
YBR271W	11
YBR084W	96
YBR245C	31
YBR059C	24
YBR068C	42
YBR041W	23
YBL082C	24
YBL002W	43
YBL098W	18
YBR207W	15
YBR155W	14
YBR237W	8
YBR149W	23
YBR246W	13
YBR023C	41
YBL064C	12
YBL007C	29
YBL091C	21
YBR142W	25
YBR067C	27
YBR010W	52
YBL054W	23
YBR025C	70
YBL027W	195
YBR034C	49
YBR101C	15
YBL010C	10
YBR053C	22
YBL042C	34
YBL039C	45
YBL003C	86
YBR069C	43
YBR009C	37
YBR081C	14
YBR146W	13
YBL028C	16
YBR043C	11
YBR092C	21
YBR126C	24
YBR086C	45
YBR281C	11
YBR159W	25
YBR118W	152
YBL004W	53
YBL015W	17
YBR038W	12
YBR058C	13
YBL087C	162
YBR003W	5
LSR1	30
YBR200W	11
YBR248C	28
YBL047C	47
YBL092W	154
YBR199W	38
YBR139W	9
YBR054W	8
YBR111C	11
YBL001C	28
YBR110W	7
YBL036C	9
YBL076C	196
YBR256C	22
YBR189W	524
YBR011C	81
YBL041W	11
YBL040C	11
YBR082C	20
YBR061C	10
YBL016W	11
YBR175W	10
YBR029C	26
YBR222C	10
YBR162C	88
YBL033C	12
YBR263W	64
YBR272C	10
YBR084C-A	95
YBR106W	49
YBR166C	7
YBR109C	28
YBR255W	8
YBR205W	20
YBR130C	10
YBR122C	6
YBR202W	17
YBR001C	7
YBR288C	27
YBL072C	222
YBR103W	12
YBL024W	31
YBR102C	11
YBL051C	15
YBR196C	276
YBR236C	10
YBR276C	23
YBR036C	30
YBR079C	82
YBR017C	26
YBL023C	21
YBR127C	83
YBR035C	23
YBL017C	48
YBR195C	9
YBR221C	44
YBL045C	24
YBR154C	12
YBR273C	23
YBR048W	162
YBR104W	8
YBL079W	27
YBR265W	11
YBR249C	51
YBR170C	7
YBR133C	12
YBR275C	17
YBL085W	9
YBL052C	16
YBL009W	14
YBR283C	51
YBR198C	15
YBL056W	43
YBL099W	60
YBR242W	11
YBR181C	170
YBR052C	14
YBR093C	37
YBR049C	10
YBR056W	21
YBL030C	74
YBR151W	14
YBL105C	14
YBL102W	12
YBL011W	19
YBR235W	14
YBR015C	23
YBR055C	10
YBR088C	28
YBR164C	6
YBL020W	21
YBR208C	37
YBR172C	26
YBR286W	120
YBL061C	17
YBR267W	11
YBL032W	23
YBR191W	121
YBR074W	6
YBR187W	24
YBL035C	6
YBR073W	26
YBR260C	11
YBR279W	13
YBR078W	129
YBR028C	10
YBR129C	8
YBL050W	28
YBR080C	27
YBL058W	17
YBR140C	22
YNR017W	10
YNL306W	8
YNL288W	12
YNL137C	10
YNL030W	80
YNL297C	30
YNL102W	22
YNL099C	23
YNL182C	9
YNL180C	10
YNR001C	13
YNL091W	18
YNL221C	18
YNR052C	10
YNL061W	28
YNL121C	30
YNR055C	17
YNL119W	8
YNL310C	10
YNL126W	13
YNL301C	65
YNL263C	19
YNL059C	17
YNL044W	12
YNL067W	117
YNL104C	28
YNL169C	10
YNL268W	13
YNL162W	106
YNL257C	19
YNL229C	8
YNL248C	30
YNR051C	20
YNL190W	13
YNL080C	7
YNL145W	9
YNL323W	13
YNL048W	18
YNL273W	15
YNL055C	58
YNR013C	11
YNL041C	16
YNL008C	15
YNR015W	18
YNL313C	27
YNL035C	13
YNL007C	26
YNL002C	33
YNL311C	13
YNL291C	12
YNL087W	64
YNL217W	22
YNR028W	31
YNL192W	21
YNL071W	59
YNL308C	15
YNL239W	37
YNR067C	32
YNL294C	10
YNL280C	14
YNL075W	9
YNL261W	12
YNR021W	50
YNL201C	19
YNR033W	12
YNL123W	28
YNR016C	209
YNL178W	745
YNL065W	9
YNR043W	22
YNL021W	7
YNL251C	14
snR40	55
YNL299W	15
snR19	47
YNL163C	26
YNL118C	17
YNL189W	55
YNL290W	64
YNL227C	11
YNL004W	20
YNL233W	8
YNL155W	5
YNL177C	7
YNL098C	17
YNL049C	10
YNL031C	67
YNR030W	12
YNL038W	7
YNL090W	9
YNL151C	10
YNR038W	18
YNL307C	21
YNL131W	20
YNL175C	47
YNL022C	7
YNL183C	13
YNL238W	23
YNL154C	31
YNL267W	24
YNL209W	200
YNL066W	36
YNR054C	11
YNR031C	26
YNL110C	9
YNL262W	16
YNL256W	18
YNR029C	5
YNL023C	13
YNL186W	11
YNL153C	10
YNL088W	52
YNL216W	20
YNL181W	3
YNL064C	38
YNL322C	8
YNL168C	10
YNL259C	12
YNL037C	23
YNL085W	57
YNL255C	306
YNL070W	11
YNL271C	28
YNL327W	39
YNL281W	29
YNL156C	31
YNL166C	16
YNL069C	290
YNR050C	45
YNL138W	41
YNL302C	111
YNL045W	34
YNL207W	23
YNR011C	4
YNL241C	51
YNL112W	198
YNL115C	8
YNL073W	7
YNL101W	10
YNL084C	23
YNL208W	31
YNL010W	75
YNL134C	90
YNR053C	46
YNL231C	14
YNL258C	13
YNL081C	10
YNL287W	86
YNL096C	65
YNL139C	23
YNL113W	39
YNL016W	22
YNL330C	21
YNL172W	15
YNL132W	30
YNR035C	18
YNL160W	20
YNL141W	26
YNL161W	13
YNL247W	54
