	SRR5085167
YDR151C	2
YDR037W	131
YDR172W	32
YDL174C	5
YDR080W	3
YDR047W	12
YDR267C	7
YDL212W	29
YDR044W	9
YDR207C	4
YDL208W	12
YDR135C	44
YDR229W	7
YDR027C	8
YDR518W	12
YDR055W	8
YDR177W	11
YDL014W	67
YDR137W	9
YDL153C	18
YDL219W	8
YDR033W	80
YDR035W	31
YDR510W	31
YDL055C	485
YDL103C	12
YDR087C	9
YDL236W	17
YDR012W	17
YDL121C	24
tG(GCC)D2	105
YDL190C	12
YDL047W	5
YDR099W	46
YDR164C	10
YDL020C	11
YDR152W	2
YDL148C	30
YDR507C	11
YDL003W	6
YDR524C-B	40
YDR371W	0
YDR335W	50
YDR351W	6
YDL150W	5
YDR364C	7
YDR309C	7
YDR300C	15
YDL168W	21
YDR321W	16
YDL030W	3
YDR468C	7
YDL084W	134
YDL229W	235
YDR329C	4
YDR034C	6
YDR312W	10
YDL061C	21
YDL040C	40
YDR145W	5
YDL231C	12
YDR190C	20
YDR449C	12
YDR074W	11
YDR450W	159
YDR376W	17
YDR161W	15
YDR189W	11
YDL237W	20
YDR188W	71
YDL133C-A	87
YDR531W	9
YDR226W	24
YDL205C	11
YDR496C	42
YDL147W	54
YDL081C	265
YDR283C	8
YDR261C	6
YDL074C	34
YDR346C	59
YDL122W	16
YDR390C	14
YDR481C	41
YDL141W	6
YDL178W	15
YDL192W	145
YDR146C	7
YDL185W	138
YDR251W	10
YDR368W	19
YDR399W	55
YDR138W	8
YDL060W	20
YDL126C	106
YDR345C	41
YDR292C	14
YDR170C	46
YDR174W	32
YDR500C	45
YDR301W	9
YDR412W	11
YDR234W	11
YDR519W	10
YDR465C	15
YDR454C	80
YDL095W	41
YDL130W	116
YDL117W	6
YDR381W	36
YDR062W	32
YDL167C	21
YDR517W	24
YDL226C	11
YDL134C	13
YDR117C	11
YDR303C	18
YDL078C	11
YDR529C	5
snR47	24
YDR452W	37
YDR347W	5
YDR516C	12
YDL193W	15
YDL137W	44
YDR233C	44
YDR388W	19
YDR049W	11
YDR021W	4
YDR353W	36
YDR141C	18
YDR194C	25
YDL240W	11
YDR056C	10
YDR328C	19
YDR280W	10
YDR098C	45
YDR017C	16
YDR341C	74
YDR154C	8
YDR395W	21
YDR372C	11
YDR325W	6
YDR006C	2
YDL102W	12
YDR527W	16
YDR333C	14
YDL063C	22
YDL132W	19
YDR211W	59
YDR110W	9
YDR167W	10
YDL215C	11
YDR297W	32
YDR007W	6
YDL195W	18
YDR429C	47
YDL198C	7
YDL120W	10
YDR379W	8
YDL029W	32
YDR369C	6
YDR430C	9
YDR293C	20
YDR217C	8
YDR052C	9
YDL136W	73
YDR068W	4
YDL046W	14
YDR337W	8
YDR356W	8
YOL144W	11
YOR206W	30
YOR341W	114
YOL088C	13
YOR160W	14
YOR039W	29
YOR281C	10
YOR230W	51
YOL081W	29
YOL052C	3
YOR285W	1
YOR270C	91
YOR115C	10
YOL103W	13
YOL063C	9
YOR231W	5
YOR021C	26
YOL038W	28
YOL124C	11
YOR212W	13
YOL120C	716
YOR335C	68
snR58	14
YOL122C	10
YOR157C	12
YOR093C	9
YOL065C	7
YOR207C	35
YOL005C	6
YOL020W	13
YOR038C	8
YOR303W	21
YOR052C	4
YOL039W	76
YOL090W	11
YOR271C	25
YOR108W	32
snR9	2
YOR216C	8
YOR099W	85
YOR001W	10
YOR204W	53
YOR209C	39
YOR048C	28
YOR227W	16
YOR112W	5
YOR251C	10
YOR119C	5
YOL151W	14
YOR330C	15
YOR142W	16
YOR002W	25
YOR194C	11
YOR298C-A	23
YOR014W	22
YOR346W	21
YOR336W	19
YOR122C	22
YOR256C	24
YOR196C	13
YOR369C	384
YOR296W	8
YOR260W	26
YOR316C	9
YOR326W	47
YOL036W	7
YOR332W	38
YOL002C	6
YOR243C	49
YOL056W	7
YOR098C	11
YOL076W	17
YOR188W	13
YOR069W	5
YOR124C	22
YOR057W	6
YOL127W	226
YOR239W	12
YOR317W	13
YOR370C	10
YOR211C	4
YOR191W	8
YOL064C	11
YOL049W	20
YOR043W	18
YOL059W	11
YOR375C	80
snR35	14
YOL013C	10
YOR272W	22
YOL016C	13
YOR007C	85
YOR361C	128
YOL158C	14
YOR315W	14
YOR234C	33
YOR283W	17
YOL045W	7
YOR360C	11
YOL097C	37
YOR164C	25
YOR175C	24
YOR086C	35
YOR155C	9
YOL030W	24
YOR323C	34
YOL010W	8
YOR118W	6
YOR128C	41
YOL125W	6
YOL004W	27
YOR033C	5
YOL070C	10
YOR116C	41
YOR145C	25
YOL109W	52
YOR078W	13
YOR131C	7
YOR168W	85
YOR241W	9
YOR153W	56
YOL145C	19
YOR322C	14
YOL031C	6
YOR261C	135
YOR293W	92
YOR067C	10
YOR312C	243
YOR094W	6
YOL105C	9
YOR197W	17
YOR262W	3
YOR167C	318
YOR127W	16
YOR184W	19
YOR150W	2
YOR340C	13
YOR354C	4
YOR217W	13
YOL006C	14
YOR259C	24
YOR222W	4
YOL051W	6
YOR091W	8
YOL022C	18
YOL078W	11
YOL098C	30
YOR171C	8
YOL089C	4
YOR095C	26
YOR046C	21
YOL112W	10
YOR141C	12
YOL143C	17
YOR172W	13
YOR101W	7
YOR056C	15
YOR246C	28
YOR042W	7
YOR176W	14
YOR310C	120
YOR063W	1127
YOL129W	13
YOL092W	11
YOL061W	18
YOR232W	48
YOR219C	4
YOR182C	13
YOR110W	9
YOL130W	14
YOL021C	24
YOL077W-A	9
YOR291W	13
YOL077C	28
YOR123C	5
YOR362C	17
YOL057W	16
YOR321W	10
YOL139C	69
YOR287C	3
YOR198C	31
YOR034C	4
YOL115W	7
YOL096C	4
YOR020C	27
YOR133W	23
YOR356W	16
YOR357C	4
YOR276W	28
YOR344C	16
YOR329C	8
YOL040C	117
YOR051C	37
YOR073W	6
YOL018C	10
YOR087W	8
YOL086C	1155
YOR165W	13
YOL068C	19
YOR138C	6
YOL121C	54
YOL126C	21
YOR080W	6
YOR109W	20
YOR147W	4
YOR254C	46
YOL080C	9
YOR136W	27
YOR195W	20
YOL123W	17
YOR337W	12
YOR304W	12
YOR074C	7
YOR117W	35
YOL066C	7
YOR151C	103
YOR187W	19
YOR355W	13
YOR290C	12
YOL060C	13
YOL041C	19
YOR299W	8
YOR096W	245
YOR301W	8
YOR076C	7
YOR061W	16
YOR371C	6
YOL062C	14
YOR027W	18
RME2	6
YGR162W	65
YGR005C	3
YGL160W	3
YGL097W	14
YGL028C	11
YGL021W	11
YGR167W	16
YGL228W	19
YGR086C	45
YGL145W	9
YGR098C	5
YGR172C	5
YGL026C	29
YGL213C	6
YGL256W	10
YGL012W	33
YGL082W	16
YGR274C	9
YGL037C	31
YGL252C	14
YGR260W	32
YGR159C	75
YGL040C	20
YGR130C	5
YGR029W	8
YGR038W	14
YGR008C	8
YGL094C	12
YGR125W	9
YGR279C	142
YGL022W	89
YGR271W	14
YGR031W	12
YGL113W	5
YGL084C	7
YGL196W	10
YGR157W	39
YGR085C	71
YGL169W	8
YGR187C	5
YGL167C	26
YGL068W	11
YGL014W	11
YGL100W	16
YGR211W	35
YGR270W	17
YGR204W	41
YGR266W	11
YGL070C	15
YGL225W	28
YGL120C	29
YGR252W	5
YGL106W	9
YGR284C	12
YGR032W	2
YGR208W	17
YGL016W	16
YGR255C	12
YGR200C	22
YGR191W	14
YGL227W	6
YGR081C	1
YGR148C	54
YGR276C	7
YGL224C	4
YGL020C	10
YGL189C	37
YGR210C	15
YGL115W	76
YGL105W	44
YGR026W	6
YGR278W	11
YGR262C	8
YGL200C	54
YGL186C	14
YGR198W	11
YGL058W	5
YGL055W	60
YGL151W	13
YGR103W	32
YGL013C	9
YGL076C	160
YGR094W	163
YGR175C	55
YGL008C	769
YGR108W	16
YGR218W	36
YGL009C	173
YGL095C	7
YGL137W	41
YGR001C	12
YGL173C	44
YGL086W	11
YGR223C	5
YGR285C	93
YGL207W	51
YGR261C	21
YGL140C	9
YGL078C	48
YGR196C	12
YGL197W	8
YGL159W	7
YGR286C	6
snR48	17
YGL035C	5
YGR009C	7
YGR034W	227
YGR118W	143
YGR277C	4
YGL142C	10
YGL253W	153
YGL049C	8
YGL202W	61
YGR037C	18
YGL077C	16
YGR245C	28
YGL244W	6
YGL187C	8
YGR180C	113
YGR116W	58
YGR202C	10
YGL150C	15
YGR214W	184
YGR007W	8
YGR083C	13
YGL038C	7
YGR244C	10
YGR106C	50
YGR209C	45
YGR003W	5
YGR170W	12
YGR246C	8
YGL123W	379
YGL099W	10
YGL233W	13
YGL056C	2
YGR240C	89
YGR020C	16
YGR100W	12
YGR231C	14
YGR145W	27
YGL011C	11
YGL122C	7
YGR216C	2
YGR047C	6
YGR282C	117
YGL036W	9
YGR192C	1415
YGL191W	6
YGR013W	11
YGR123C	12
YGL163C	2
YGL092W	21
YGR132C	4
YGR128C	18
YGL246C	15
YGL190C	7
YGR033C	10
YGL112C	9
YGL001C	14
YGL093W	1
YGR027C	84
YGR124W	151
YGL103W	197
YGL062W	12
snR39	17
YGL161C	17
YGR184C	24
YGR055W	14
YGL054C	22
YGR090W	15
YGL198W	5
YGR071C	7
YGL195W	102
YGL206C	49
YGR060W	27
YGL257C	7
YGL023C	8
YGL201C	10
YGL241W	9
YGR199W	9
YGL111W	7
snR39B	14
YGR155W	157
YGL114W	6
YGL255W	6
YGR233C	9
YGR092W	9
YGL171W	27
YGL029W	4
YGL147C	333
YGR178C	17
YGL203C	8
YGL048C	39
YGR207C	9
YGR093W	3
YGR119C	14
YGR061C	68
YGR280C	4
YGL031C	186
YGR117C	9
YGR254W	274
YGL164C	2
YGR264C	99
YGL234W	104
YGL238W	38
YGR185C	22
YGR189C	20
YGL221C	22
YGL135W	108
YGR253C	20
YGL101W	5
YGR271C-A	0
YGR267C	7
YGR234W	133
YGL141W	15
YGL245W	127
YGL215W	8
YGR229C	8
YGR135W	34
YGL139W	10
YGL172W	14
YGL027C	16
YGL019W	11
YGR017W	18
YGR193C	8
YGL030W	196
YGL148W	51
YGR281W	12
YGR078C	10
YGL133W	11
YGR295C	3
YGR048W	17
YGR054W	15
YGL006W	13
YGL232W	8
YGL157W	9
YGR014W	14
YLL050C	115
YLR075W	317
YLR025W	6
YLR049C	6
YLR032W	8
YLR321C	6
YLR247C	11
YLR167W	1033
YLR220W	6
YLR272C	11
YLR180W	67
YLR250W	25
YLR253W	7
YLR390W-A	16
YLR117C	11
YLR110C	210
YLR069C	5
YLR008C	7
YLR231C	18
YLR264W	91
YLR103C	3
YLR228C	11
YLL036C	9
snR61	15
YLR056W	72
YLR429W	37
YLR310C	15
YLR342W	142
YLR017W	11
YLR304C	37
YLR027C	35
YLR214W	40
YLR378C	24
YLL008W	36
YLR449W	41
YLR089C	10
YLR190W	12
YLR045C	4
YLR285W	10
YLR276C	37
YLR077W	14
YLR301W	9
YLR427W	9
YLR150W	275
YLL021W	15
YLR153C	36
YLR014C	16
YLR096W	11
YLR033W	7
YLR278C	8
YLR266C	11
YLR007W	12
YLL015W	15
YLR058C	87
YLR325C	75
YLR074C	10
YLL001W	19
YLR409C	31
YLR256W	17
YLR186W	9
YLR143W	7
YLR197W	114
YLL034C	22
YLL023C	5
YLR065C	8
YLL031C	9
YLR419W	9
YLR405W	10
YLR093C	6
YLR370C	10
YLL026W	60
YLR114C	16
YLR146C	1
YLR333C	35
YLL043W	13
YLR336C	19
YLR430W	9
YLR436C	4
YLR347C	16
YLR113W	14
YLR196W	37
YLR163C	7
YLR129W	51
YLR173W	3
YLR259C	36
YLR401C	17
YLR185W	92
YLR060W	63
YLL029W	7
YLR432W	26
YLR166C	21
YLR383W	9
YLR044C	1082
YLR293C	18
YLR192C	17
YLR300W	41
YLR448W	68
snR44	21
YLR367W	79
YLR309C	19
YLR299W	10
YLR029C	351
YLR373C	4
YLR066W	19
YLR175W	123
YLL051C	7
YLR314C	17
YLR019W	7
YLR361C	12
YLR389C	11
YLR270W	12
YLR223C	8
YLR195C	7
YLR398C	12
YLR418C	12
YLR109W	66
YLR106C	60
YLR083C	23
YLR274W	24
YLR413W	44
YLR340W	422
YLR452C	18
YLR372W	39
YLR363C	6
YLR207W	7
YLR188W	18
YLR328W	5
YLR241W	6
snR30	12
YLR287C	17
YLR410W	10
YLR397C	10
YLR120C	8
YLR335W	14
YLR399C	31
YLR388W	33
YLR249W	1475
YLL010C	8
YLR133W	10
YLL011W	10
YLR384C	34
YLR203C	14
YLR450W	17
YLR291C	6
YLR344W	58
YLR447C	89
YLR435W	15
YLR084C	15
YLR229C	23
YLR048W	98
YLR086W	14
YLL041C	3
YLR330W	30
YLR244C	23
YLR258W	14
YLR172C	16
YLR268W	7
YLR420W	24
YLL035W	7
YLL009C	7
YLR406C	71
YLR138W	13
YLR295C	10
YLR248W	11
YLR002C	32
YLR189C	9
YLR206W	13
YLL018C	45
YLR350W	8
YLR257W	15
YLR375W	14
YLR287C-A	7
YLR003C	8
YLR355C	188
YLR441C	366
YLR028C	35
YLR043C	41
YLR243W	9
YLR148W	5
YLR199C	11
YLR351C	13
YLR130C	21
YLR024C	10
YLR380W	7
YLR061W	118
YLR386W	7
YLR387C	7
YLR422W	6
YLR354C	61
YLL039C	46
YLR208W	16
YLR115W	9
YLR005W	7
YLR454W	24
YLR305C	21
YLL048C	35
YLL024C	122
YLR009W	7
YLR057W	4
YLR348C	13
YLR179C	14
YLR371W	13
YLR222C	9
YLR440C	11
YLR421C	4
YLL027W	5
YLR292C	8
YLR016C	10
YLR359W	148
YLL013C	6
YLR320W	4
YLL045C	213
YLR071C	22
YLR286C	33
YLL004W	5
YLR100W	27
YLR088W	6
YLR216C	50
YLL040C	24
YPL217C	27
YPR139C	10
YPR169W	20
YPL009C	15
YPL183C	45
YPL179W	4
YPR103W	24
YPL244C	14
YPR156C	11
YPL240C	34
YPL111W	15
YPR119W	6
YPL218W	46
YPL198W	57
YPL006W	6
YPR161C	4
YPL145C	19
YPR181C	35
YPR171W	8
YPR122W	15
YPL091W	40
YPL137C	11
YPL163C	17
YPR069C	25
YPR072W	15
YPL175W	15
YPL125W	14
YPL090C	235
YPR198W	5
YPR106W	4
YPL270W	15
YPR058W	9
YPL004C	47
YPR110C	31
YPR149W	21
YPR009W	3
YPR118W	33
YPR019W	12
YPL144W	6
YPL045W	23
YPL263C	16
YPR124W	9
YPR004C	11
YPR080W	77
YPR033C	38
YPL210C	25
YPL155C	9
YPL225W	24
YPL081W	49
YPL266W	16
YPR108W	15
YPL058C	12
YPR088C	14
YPL254W	2
YPR129W	6
YPR113W	21
YPL160W	119
YPL169C	7
YPR115W	11
YPL184C	13
YPR189W	16
YPL246C	11
YPL020C	6
YPL061W	73
YPR112C	25
YPR148C	14
YPL131W	156
YPL012W	23
YPL010W	23
YPR173C	11
YPR024W	25
YPR191W	8
YPL063W	18
YPR166C	10
YPL231W	130
YPL129W	8
YPR164W	11
YPL019C	151
YPL022W	19
YPL211W	11
YPL040C	8
YPR159W	19
YPL227C	6
YPL234C	29
YPL015C	8
YPR035W	116
YPR037C	11
YPL135W	10
YPL112C	6
YPL154C	17
YPR074C	89
YPR133C	18
YPR070W	4
YPL176C	16
YPL220W	65
YPL032C	14
YPR185W	16
YPR145W	173
YPL178W	7
YPL013C	7
YPR028W	34
YPR089W	12
YPL075W	10
YPR062W	13
YPR125W	8
YPL221W	11
YPR073C	3
YPL262W	27
snR45	22
YPR036W	105
YPL031C	5
YPL237W	44
YPL053C	19
YPL085W	9
YPR104C	5
YPR190C	15
YPL043W	27
YPL105C	15
YPR132W	114
YPR137W	9
YPL190C	6
YPL241C	7
YPR043W	85
YPL157W	22
YPL177C	1
YPR165W	26
YPL037C	42
YPL101W	5
YPL256C	23
YPR023C	5
YPL093W	47
YPL118W	15
YPL239W	8
YPL128C	2
YPL188W	4
YPL207W	20
YPR021C	9
YPL143W	165
YPL126W	49
YPR187W	29
YPR182W	6
YPL242C	38
YPR086W	14
YPR117W	7
YPL086C	35
YPR105C	25
YPL094C	12
YPR176C	8
YPR163C	71
YPR160W	4
YPL235W	8
YPR144C	29
YPL249C-A	67
YPL260W	16
YPR095C	10
YPR010C	77
YPL268W	8
YPL206C	14
YPR055W	14
YPL243W	32
YPL232W	20
YPR041W	116
YPL048W	34
YPL117C	11
YPL273W	30
YPR097W	8
YPL274W	6
YPL050C	14
YPR114W	8
YPR175W	4
YPL079W	115
YPL150W	6
YPL226W	85
YPL115C	9
YPL170W	10
YPL245W	26
YPR048W	8
YPR102C	41
YPR133W-A	16
YPL146C	16
YPL082C	25
YPR183W	18
YPL249C	6
YPR016C	15
YPR029C	33
YPL106C	106
YPL212C	9
YPL078C	17
YPL195W	21
YPR060C	8
YPL199C	8
YPL228W	9
YPL259C	10
YPL028W	70
YPR031W	9
YMR027W	13
YMR290C	67
YMR091C	17
YML088W	3
YML125C	33
YMR318C	60
YMR266W	23
YML057W	9
YMR105C	5
YMR012W	43
YMR202W	28
YMR083W	26
YML085C	23
YMR304W	17
YMR308C	41
YML001W	12
YMR319C	15
YML075C	10
YML073C	137
YMR149W	11
YMR260C	52
YML056C	90
YML091C	5
YMR199W	15
YML127W	16
YMR246W	70
YMR120C	75
YML049C	5
YMR302C	16
YML060W	11
YMR080C	30
YMR079W	11
YMR100W	8
YMR183C	17
YML074C	27
YMR157C	7
YMR110C	21
YMR300C	35
YMR031C	22
YMR200W	8
YMR297W	80
YML026C	112
YMR143W	32
YML069W	23
YMR211W	3
YMR142C	164
YMR203W	24
YMR089C	19
YMR099C	18
YML115C	8
snR11	6
YML012W	22
YML100W	3
YML099C	7
YML123C	159
YMR207C	6
YMR011W	51
YML008C	36
YMR109W	12
YMR004W	6
YMR216C	12
YMR272C	30
YML104C	6
YML058W	20
YML063W	247
YMR008C	19
YMR014W	10
YMR208W	8
YML028W	198
YMR285C	8
YMR189W	12
YML128C	3
YML022W	22
YMR119W	15
YMR215W	23
YMR277W	9
YMR033W	19
YMR305C	44
YMR237W	10
YMR162C	20
YMR158W	6
YMR241W	10
YMR205C	117
YMR235C	46
YMR047C	19
YMR259C	23
YMR261C	10
YML010W	14
YMR126C	3
YML081W	24
YMR221C	10
YML097C	3
YMR295C	18
YML080W	6
YMR058W	30
YMR076C	8
YMR242C	206
YMR309C	57
YML096W	9
YML016C	8
YMR178W	10
YML109W	6
YML106W	36
YML052W	16
YMR218C	13
YMR315W	8
YML121W	6
YMR217W	68
YMR298W	10
YMR289W	10
YML048W	7
snR77	12
YML046W	14
YML004C	13
YMR229C	95
YMR301C	9
YMR276W	7
YMR002W	7
YMR176W	11
YMR198W	5
YMR006C	17
tQ(CUG)M	9
YML093W	22
YMR116C	1352
YMR196W	6
YML053C	4
YMR070W	7
YMR219W	9
YMR123W	7
YMR019W	10
YMR010W	10
YML126C	46
YMR270C	12
YMR108W	39
YML111W	9
YMR278W	6
YMR185W	13
YMR258C	11
YMR029C	7
YMR092C	23
YMR122W-A	5
YMR220W	17
YML031W	28
YMR078C	7
YMR223W	6
YMR214W	12
YML117W	22
snR24	16
YMR226C	90
YML110C	18
YML007W	12
YMR264W	13
YMR037C	7
YML024W	247
YMR130W	6
YMR054W	9
YMR194W	24
YMR074C	18
YML065W	15
YMR243C	54
YMR145C	44
YML071C	11
YMR015C	17
YML070W	4
YMR125W	34
YML072C	38
YML105C	14
YML124C	17
YMR102C	7
YMR128W	19
YMR039C	9
YMR230W	71
YMR267W	4
YMR247C	24
YMR152W	4
YMR251W-A	12
YMR146C	43
YMR032W	3
YMR153W	6
YMR282C	13
YMR062C	8
YMR038C	17
YMR049C	33
snR54	190
YML051W	3
YMR314W	29
YML034W	15
YMR131C	48
YML103C	42
YMR186W	491
YML059C	15
YML086C	19
YMR212C	29
YMR296C	9
YMR061W	13
YMR288W	4
YML130C	21
YML035C	14
YMR093W	16
YMR307W	360
YMR129W	22
YBL055C	11
YBR115C	15
YBR031W	94
YBL037W	9
YBL022C	36
YBR234C	9
YBR247C	5
YBR227C	7
YBR218C	59
YBR244W	14
YBR160W	10
YBR083W	5
YBR158W	46
YBR229C	20
YBR042C	13
YBR143C	82
YBR039W	14
YBL067C	12
YBR087W	9
YBR121C	87
YBR026C	11
YBR177C	15
YBR271W	6
YBR084W	53
YBR245C	15
YBR059C	18
YBR068C	25
YBR041W	16
YBL082C	5
YBL002W	49
YBL098W	10
YBR207W	14
YBR155W	11
YBR237W	10
YBR149W	18
YBR246W	7
YBR023C	14
YBL064C	4
YBL007C	28
YBL091C	8
YBR142W	20
YBR067C	15
YBR010W	37
YBL054W	16
YBR025C	52
YBL027W	118
YBR034C	35
YBR101C	29
YBL010C	4
YBR053C	19
YBL042C	25
YBL039C	36
YBL003C	62
YBR069C	31
YBR009C	29
YBR081C	14
YBR146W	17
YBL028C	9
YBR043C	9
YBR092C	37
YBR126C	23
YBR086C	35
YBR281C	17
YBR159W	22
YBR118W	115
YBL004W	40
YBL015W	9
YBR038W	5
YBR058C	11
YBL087C	107
YBR003W	6
LSR1	43
YBR200W	6
YBR248C	18
YBL047C	24
YBL092W	105
YBR199W	22
YBR139W	7
YBR054W	7
YBR111C	14
YBL001C	16
YBR110W	11
YBL036C	14
YBL076C	146
YBR256C	10
YBR189W	417
YBR011C	46
YBL041W	5
YBL040C	7
YBR082C	26
YBR061C	4
YBL016W	8
YBR175W	10
YBR029C	17
YBR222C	7
YBR162C	56
YBL033C	4
YBR263W	37
YBR272C	8
YBR084C-A	89
YBR106W	34
YBR166C	8
YBR109C	23
YBR255W	9
YBR205W	10
YBR130C	10
YBR122C	9
YBR202W	14
YBR001C	9
YBR288C	26
YBL072C	205
YBR103W	9
YBL024W	15
YBR102C	9
YBL051C	9
YBR196C	255
YBR236C	8
YBR276C	8
YBR036C	19
YBR079C	49
YBR017C	11
YBL023C	20
YBR127C	70
YBR035C	17
YBL017C	39
YBR195C	6
YBR221C	23
YBL045C	17
YBR154C	11
YBR273C	11
YBR048W	123
YBR104W	7
YBL079W	23
YBR265W	8
YBR249C	33
YBR170C	6
YBR133C	3
YBR275C	8
YBL085W	6
YBL052C	19
YBL009W	6
YBR283C	36
YBR198C	8
YBL056W	37
YBL099W	53
YBR242W	10
YBR181C	150
YBR052C	15
YBR093C	28
YBR049C	12
YBR056W	15
YBL030C	68
YBR151W	12
YBL105C	21
YBL102W	16
YBL011W	5
YBR235W	12
YBR015C	18
YBR055C	12
YBR088C	27
YBR164C	8
YBL020W	14
YBR208C	34
YBR172C	11
YBR286W	83
YBL061C	13
YBR267W	6
YBL032W	14
YBR191W	106
YBR074W	16
YBR187W	16
YBL035C	7
YBR073W	20
YBR260C	7
YBR279W	14
YBR078W	101
YBR028C	6
YBR129C	6
YBL050W	19
YBR080C	20
YBL058W	10
YBR140C	25
YNR017W	5
YNL306W	7
YNL288W	11
YNL137C	11
YNL030W	58
YNL297C	16
YNL102W	18
YNL099C	17
YNL182C	11
YNL180C	4
YNR001C	14
YNL091W	15
YNL221C	10
YNR052C	9
YNL061W	10
YNL121C	18
YNR055C	12
YNL119W	5
YNL310C	4
YNL126W	4
YNL301C	56
YNL263C	16
YNL059C	14
YNL044W	14
YNL067W	138
YNL104C	24
YNL169C	10
YNL268W	13
YNL162W	86
YNL257C	23
YNL229C	16
YNL248C	32
YNR051C	27
YNL190W	11
YNL080C	4
YNL145W	14
YNL323W	8
YNL048W	6
YNL273W	7
YNL055C	41
YNR013C	11
YNL041C	9
YNL008C	11
YNR015W	17
YNL313C	18
YNL035C	7
YNL007C	15
YNL002C	28
YNL311C	9
YNL291C	9
YNL087W	53
YNL217W	12
YNR028W	12
YNL192W	18
YNL071W	34
YNL308C	14
YNL239W	31
YNR067C	17
YNL294C	10
YNL280C	20
YNL075W	8
YNL261W	6
YNR021W	44
YNL201C	13
YNR033W	9
YNL123W	18
YNR016C	161
YNL178W	649
YNL065W	8
YNR043W	13
YNL021W	4
YNL251C	9
snR40	51
YNL299W	13
snR19	29
YNL163C	22
YNL118C	12
YNL189W	42
YNL290W	20
YNL227C	7
YNL004W	17
YNL233W	5
YNL155W	17
YNL177C	5
YNL098C	16
YNL049C	10
YNL031C	57
YNR030W	14
YNL038W	10
YNL090W	9
YNL151C	3
YNR038W	11
YNL307C	19
YNL131W	28
YNL175C	19
YNL022C	12
YNL183C	8
YNL238W	13
YNL154C	27
YNL267W	12
YNL209W	149
YNL066W	17
YNR054C	4
YNR031C	21
YNL110C	15
YNL262W	7
YNL256W	11
YNR029C	10
YNL023C	4
YNL186W	12
YNL153C	7
YNL088W	28
YNL216W	7
YNL181W	13
YNL064C	22
YNL322C	16
YNL168C	12
YNL259C	10
YNL037C	22
YNL085W	23
YNL255C	212
YNL070W	10
YNL271C	19
YNL327W	34
YNL281W	25
YNL156C	17
YNL166C	6
YNL069C	238
YNR050C	36
YNL138W	21
YNL302C	72
YNL045W	15
YNL207W	22
YNR011C	3
YNL241C	37
YNL112W	142
YNL115C	7
YNL073W	2
YNL101W	10
YNL084C	17
YNL208W	14
YNL010W	58
YNL134C	59
YNR053C	37
YNL231C	11
YNL258C	10
YNL081C	5
YNL287W	67
YNL096C	55
YNL139C	24
YNL113W	38
YNL016W	22
YNL330C	13
YNL172W	8
YNL132W	22
YNR035C	10
YNL160W	8
YNL141W	11
YNL161W	8
YNL247W	42
