	SRR5085169	SRR5085170	SRR5085167	SRR5085168
YDR190C	54	23	20	23
YDR449C	33	14	12	15
YDR074W	20	17	11	10
YDR450W	311	197	159	214
YDR376W	30	12	17	11
YDR161W	39	16	15	17
YDR189W	17	17	11	13
YDL237W	54	30	20	43
YDR188W	134	92	71	105
YDL133C-A	165	106	87	88
YDR531W	15	10	9	6
YDR226W	72	62	24	40
YDL205C	21	14	11	22
YDR496C	100	59	42	47
YDL147W	109	62	54	65
YDL081C	424	268	265	274
YDR283C	20	18	8	11
YDR261C	14	10	6	12
YDL074C	43	38	34	28
YDR346C	105	76	59	83
YDL122W	24	15	16	20
YDR390C	37	15	14	11
YDR481C	41	23	41	56
YDL141W	11	3	6	11
YDL178W	28	16	15	21
YDL192W	231	174	145	204
YDR146C	18	13	7	7
YDL185W	231	156	138	173
YDR251W	25	18	10	19
YDR368W	34	19	19	29
YDR399W	94	68	55	50
YDR138W	11	11	8	6
YDL060W	48	22	20	37
YDL126C	164	134	106	147
YDR345C	102	45	41	53
YDR292C	43	22	14	27
YDR170C	103	65	46	64
YDR174W	47	43	32	37
YDR500C	101	54	45	51
YDR301W	11	12	9	11
YDR412W	34	22	11	11
YDR234W	34	31	11	20
YDR519W	21	21	10	18
YDR465C	35	19	15	16
YDR454C	139	80	80	83
YDL095W	60	49	41	58
YDL130W	257	161	116	130
YDL117W	13	14	6	12
YDR381W	46	39	36	32
YDR062W	86	42	32	46
YDL167C	30	15	21	20
YDR517W	20	21	24	21
YDL226C	23	20	11	14
YDL134C	34	22	13	11
YDR117C	14	10	11	21
YDR303C	26	15	18	15
YDL078C	21	10	11	11
YDR529C	15	16	5	5
snR47	66	33	24	35
YDR452W	54	37	37	58
YDR347W	10	8	5	11
YDR516C	25	24	12	12
YDL193W	24	11	15	14
YDL137W	80	43	44	38
YDR233C	106	56	44	49
YDR388W	39	30	19	18
YDR049W	17	18	11	14
YDR021W	12	11	4	7
YDR353W	68	36	36	32
YDR141C	38	20	18	30
YDR194C	30	19	25	29
YDL240W	20	7	11	8
YDR056C	28	15	10	10
YDR328C	50	43	19	35
YDR280W	13	8	10	10
YDR098C	105	65	45	63
YDR017C	22	23	16	19
YDR341C	115	88	74	74
YDR154C	19	12	8	13
YDR395W	48	31	21	25
YDR372C	27	15	11	13
YDR325W	30	11	6	22
YDR006C	16	10	2	5
YDL102W	21	13	12	14
YDR527W	32	17	16	23
YDR333C	32	17	14	9
YDL063C	40	28	22	24
YDL132W	28	14	19	21
YDR211W	111	78	59	68
YDR110W	18	20	9	12
YDR167W	21	21	10	21
YDL215C	39	22	11	18
YDR297W	37	34	32	33
YDR007W	18	15	6	13
YDL195W	31	24	18	29
YDR429C	83	51	47	56
YDL198C	22	13	7	19
YDL120W	22	11	10	9
YDR379W	12	4	8	10
YDL029W	78	42	32	55
YDR369C	16	10	6	5
YDR430C	18	13	9	10
YDR293C	55	42	20	60
YDR217C	24	11	8	7
YDR052C	21	17	9	11
YDL136W	102	63	73	67
YDR068W	12	15	4	9
YDL046W	21	15	14	14
YDR337W	21	12	8	6
YDR356W	13	13	8	12
YOL144W	16	15	11	9
YOR206W	58	28	30	26
YOR341W	215	108	114	145
YOL088C	41	31	13	23
YOR160W	16	5	14	10
YOR039W	45	29	29	23
YOR281C	13	13	10	9
YOR230W	88	62	51	55
YOL081W	71	27	29	35
YOL052C	16	12	3	7
YOR285W	14	10	1	4
YOR270C	195	140	91	136
YOR115C	14	11	10	13
YOL103W	23	23	13	20
YOL063C	15	6	9	11
YOR231W	11	8	5	10
YOR021C	73	52	26	42
YOL038W	29	17	28	23
YOL124C	18	6	11	10
YOR212W	23	18	13	21
YOL120C	1187	712	716	775
YOR335C	134	93	68	100
snR58	20	16	14	15
YOL122C	23	15	10	7
YOR157C	36	24	12	38
YOR093C	15	9	9	11
YOL065C	10	6	7	14
YOR207C	69	36	35	48
YOL005C	29	13	6	16
YOL020W	25	15	13	16
YOR038C	11	11	8	8
YOR303W	47	14	21	18
YOR052C	19	14	4	8
YOL039W	131	88	76	88
YOL090W	33	24	11	29
YOR271C	44	28	25	24
YOR108W	50	21	32	50
snR9	16	11	2	19
YOR216C	40	27	8	29
YOR099W	125	98	85	103
YOR001W	21	13	10	12
YOR204W	68	52	53	90
YOR209C	68	48	39	48
YOR048C	44	27	28	31
YOR227W	26	12	16	17
YOR112W	22	13	5	2
YOR251C	14	6	10	11
YOR119C	32	15	5	17
YOL151W	25	11	14	12
YOR330C	14	16	15	14
YOR142W	21	16	16	11
YOR002W	29	17	25	21
YOR194C	20	10	11	6
YOR298C-A	35	15	23	22
YOR014W	31	22	22	30
YOR346W	41	25	21	26
YOR336W	20	5	19	24
YOR122C	44	27	22	26
YOR256C	28	22	24	18
YOR196C	14	6	13	10
YOR369C	662	409	384	455
YOR296W	18	20	8	9
YOR260W	36	17	26	22
YOR316C	13	5	9	10
YOR326W	149	82	47	70
YOL036W	14	12	7	16
YOR332W	60	50	38	55
YOL002C	16	13	6	13
YOR243C	78	58	49	70
YOL056W	28	8	7	13
YOR098C	12	9	11	23
YOL076W	25	17	17	23
YOR188W	20	17	13	15
YOR069W	14	4	5	12
YOR124C	34	22	22	24
YOR057W	15	12	6	4
YOL127W	451	257	226	239
YOR239W	36	14	12	29
YOR317W	35	32	13	15
YOR370C	29	12	10	11
YOR211C	14	10	4	6
YOR191W	28	12	8	18
YOL064C	19	8	11	12
YOL049W	30	28	20	31
YOR043W	28	12	18	11
YOL059W	31	16	11	22
YOR375C	63	39	80	96
snR35	25	17	14	11
YOL013C	13	7	10	14
YOR272W	43	27	22	23
YOL016C	19	11	13	11
YOR007C	151	95	85	120
YOR361C	247	125	128	195
YOL158C	23	15	14	19
YOR315W	22	12	14	12
YOR234C	96	58	33	61
YOR283W	37	22	17	19
YOL045W	15	10	7	5
YOR360C	14	7	11	9
YOL097C	79	41	37	42
YOR164C	39	37	25	26
YOR175C	59	44	24	31
YOR086C	72	39	35	55
YOR155C	28	12	9	18
YOL030W	34	25	24	46
YOR323C	65	26	34	43
YOL010W	14	10	8	9
YOR118W	21	10	6	13
YOR128C	58	32	41	42
YOL125W	22	14	6	13
YOL004W	39	20	27	28
YOR033C	17	7	5	14
YOL070C	13	14	10	11
YOR116C	78	41	41	48
YOR145C	42	28	25	29
YOL109W	126	72	52	49
YOR078W	25	20	13	13
YOR131C	17	14	7	11
YOR168W	147	100	85	101
YOR241W	17	9	9	12
YOR153W	84	58	56	66
YOL145C	50	23	19	29
YOR322C	14	12	14	14
YOL031C	16	10	6	8
YOR261C	225	177	135	205
YOR293W	165	79	92	94
YOR067C	15	12	10	16
YOR312C	428	257	243	285
YOR094W	11	10	6	6
YOL105C	10	16	9	7
YOR197W	29	12	17	19
YOR262W	10	10	3	7
YOR167C	521	307	318	314
YOR127W	16	13	16	20
YOR184W	43	25	19	35
YOR150W	16	11	2	7
YOR340C	22	17	13	22
YOR354C	21	14	4	10
YOR217W	39	16	13	23
YOL006C	30	21	14	16
YOR259C	55	34	24	40
YOR222W	25	11	4	10
YOL051W	15	7	6	11
YOR091W	25	12	8	13
YOL022C	39	14	18	22
YOL078W	21	13	11	8
YOL098C	89	64	30	48
YOR171C	19	11	8	12
YOL089C	12	9	4	11
YOR095C	41	34	26	29
YOR046C	32	24	21	20
YOL112W	16	16	10	9
YOR141C	26	18	12	17
YOL143C	32	19	17	25
YOR172W	11	6	13	9
YOR101W	24	13	7	16
YOR056C	24	13	15	11
YOR246C	40	18	28	39
YOR042W	22	16	7	19
YOR176W	16	15	14	14
YOR310C	210	147	120	211
YOR063W	2050	1237	1127	1364
YOL129W	21	20	13	8
YOL092W	28	9	11	11
YOL061W	35	16	18	21
YOR232W	70	36	48	42
YOR219C	16	11	4	11
YOR182C	39	20	13	14
YOR110W	16	8	9	10
YOL130W	19	15	14	19
YOL021C	41	22	24	28
YOL077W-A	10	11	9	4
YOR291W	15	15	13	13
YOL077C	65	33	28	32
YOR123C	25	25	5	11
YOR362C	28	23	17	20
YOL057W	47	33	16	35
YOR321W	11	4	10	10
YOL139C	137	93	69	94
YOR287C	12	10	3	1
YOR198C	67	34	31	38
YOR034C	14	8	4	11
YOL115W	17	9	7	10
YOL096C	19	11	4	8
YOR020C	65	46	27	52
YOR133W	43	26	23	29
YOR356W	28	20	16	21
YOR357C	15	15	4	4
YOR276W	48	21	28	25
YOR344C	26	25	16	23
YOR329C	16	10	8	10
YOL040C	205	134	117	141
YOR051C	85	53	37	61
YOR073W	10	12	6	11
YOL018C	23	5	10	4
YOR087W	25	14	8	7
YOL086C	2073	1294	1155	1349
YOR165W	31	22	13	25
YOL068C	34	19	19	23
YOR138C	15	11	6	14
YOL121C	122	88	54	96
YOL126C	34	26	21	32
YOR080W	16	10	6	17
YOR109W	50	30	20	36
YOR147W	12	4	4	10
YOR254C	77	57	46	60
YOL080C	10	10	9	5
YOR136W	37	38	27	27
YOR195W	29	21	20	20
YOL123W	36	30	17	32
YOR337W	19	16	12	15
YOR304W	30	28	12	17
YOR074C	13	6	7	17
YOR117W	84	50	35	47
YOL066C	14	5	7	10
YOR151C	210	124	103	143
YOR187W	61	39	19	34
YOR355W	28	20	13	17
YOR290C	24	17	12	20
YOL060C	14	5	13	16
YOL041C	35	18	19	14
YOR299W	14	9	8	26
YOR096W	440	267	245	237
YOR301W	19	11	8	16
YOR076C	14	8	7	10
YOR061W	36	25	16	21
YOR371C	11	3	6	11
YOL062C	26	15	14	13
YOR027W	45	21	18	28
RME2	11	2	6	14
YGR162W	147	73	65	103
YGR005C	14	12	3	8
YGL160W	18	4	3	11
YGL097W	27	21	14	16
YGL028C	26	18	11	14
YGL021W	30	19	11	17
YGR167W	32	24	16	17
YGL228W	40	18	19	19
YGR086C	123	83	45	78
YGL145W	19	7	9	15
YGR098C	31	20	5	20
YGR172C	9	12	5	11
YGL026C	76	50	29	44
YGL213C	14	17	6	10
YGL256W	12	8	10	18
YGL012W	67	38	33	28
YGL082W	14	14	16	17
YGR274C	19	10	9	14
YGL037C	93	56	31	31
YGL252C	18	15	14	11
YGR260W	67	41	32	31
YGR159C	156	65	75	95
YGL040C	28	24	20	19
YGR130C	11	11	5	8
YGR029W	24	14	8	13
YGR038W	17	11	14	13
YGR008C	9	12	8	10
YGL094C	22	12	12	22
YGR125W	23	11	9	7
YGR279C	257	148	142	233
YGL022W	153	72	89	111
YGR271W	33	15	14	13
YGR031W	17	11	12	14
YGL113W	11	10	5	4
YGL084C	18	16	7	17
YGL196W	11	7	10	8
YGR157W	75	42	39	62
YGR085C	137	87	71	47
YGL169W	16	11	8	9
YGR187C	24	10	5	4
YGL167C	39	17	26	28
YGL068W	27	13	11	11
YGL014W	17	14	11	22
YGL100W	12	18	16	17
YGR211W	80	40	35	58
YGR270W	38	24	17	21
YGR204W	79	39	41	40
YGR266W	23	13	11	11
YGL070C	25	17	15	19
YGL225W	61	33	28	42
YGL120C	66	31	29	46
YGR252W	13	13	5	2
YGL106W	12	12	9	9
YGR284C	27	16	12	8
YGR032W	18	15	2	7
YGR208W	25	20	17	13
YGL016W	35	20	16	33
YGR255C	25	19	12	13
YGR200C	51	23	22	33
YGR191W	22	12	14	18
YGL227W	8	12	6	14
YGR081C	19	6	1	12
YGR148C	102	66	54	78
YGR276C	21	15	7	13
YGL224C	12	3	4	10
YGL020C	19	10	10	17
YGL189C	77	57	37	66
YGR210C	18	10	15	12
YGL115W	149	90	76	107
YGL105W	88	69	44	70
YGR026W	25	16	6	9
YGR278W	13	14	11	4
YGR262C	14	11	8	5
YGL200C	116	65	54	67
YGL186C	15	12	14	7
YGR198W	17	11	11	12
YGL058W	13	4	5	13
YGL055W	190	134	60	80
YGL151W	18	16	13	27
YGR103W	94	41	32	60
YGL013C	24	14	9	11
YGL076C	286	141	160	211
YGR094W	228	137	163	205
YGR175C	92	75	55	64
YGL008C	1507	924	769	1065
YGR108W	36	19	16	23
YGR218W	76	56	36	58
YGL009C	196	132	173	251
YGL095C	11	11	7	9
YGL137W	74	51	41	60
YGR001C	17	8	12	7
YGL173C	96	58	44	56
YGL086W	30	15	11	14
YGR223C	13	8	5	14
YGR285C	174	106	93	137
YGL207W	93	69	51	71
YGR261C	37	12	21	30
YGL140C	27	17	9	25
YGL078C	103	54	48	70
YGR196C	13	9	12	10
YGL197W	17	10	8	12
YGL159W	10	4	7	14
YGR286C	10	10	6	5
snR48	27	17	17	13
YGL035C	28	14	5	12
YGR009C	12	10	7	5
YGR034W	399	249	227	246
YGR118W	261	184	143	161
YGR277C	22	8	4	15
YGL142C	11	11	10	5
YGL253W	293	188	153	175
YGL049C	14	14	8	19
YGL202W	83	50	61	58
YGR037C	41	12	18	22
YGL077C	27	23	16	40
YGR245C	76	43	28	53
YGL244W	19	19	6	13
YGL187C	18	20	8	3
YGR180C	217	122	113	123
YGR116W	134	72	58	76
YGR202C	25	28	10	39
YGL150C	33	23	15	33
YGR214W	336	238	184	228
YGR007W	12	4	8	10
YGR083C	27	8	13	15
YGL038C	13	8	7	10
YGR244C	22	21	10	9
YGR106C	96	40	50	60
YGR209C	78	48	45	49
YGR003W	18	13	5	8
YGR170W	15	8	12	6
YGR246C	32	12	8	18
YGL123W	749	462	379	411
YGL099W	26	15	10	13
YGL233W	31	29	13	21
YGL056C	14	14	2	7
YGR240C	193	118	89	134
YGR020C	29	37	16	25
YGR100W	18	12	12	16
YGR231C	37	27	14	36
YGR145W	51	27	27	29
YGL011C	39	16	11	26
YGL122C	22	11	7	13
YGR216C	11	11	2	1
YGR047C	26	20	6	10
YGR282C	176	132	117	148
YGL036W	26	12	9	13
YGR192C	2729	1686	1415	2044
YGL191W	26	15	6	11
YGR013W	18	15	11	13
YGR123C	21	16	12	15
YGL163C	8	10	2	15
YGL092W	62	26	21	31
YGR132C	16	13	4	8
YGR128C	41	24	18	25
YGL246C	19	16	15	12
YGL190C	19	16	7	17
YGR033C	21	14	10	12
YGL112C	31	18	9	12
YGL001C	15	17	14	9
YGL093W	12	14	1	3
YGR027C	165	108	84	106
YGR124W	261	115	151	219
YGL103W	369	234	197	260
YGL062W	27	19	12	15
snR39	13	11	17	11
YGL161C	43	23	17	20
YGR184C	52	25	24	31
YGR055W	20	17	14	15
YGL054C	36	23	22	23
YGR090W	55	21	15	23
YGL198W	12	9	5	11
YGR071C	12	5	7	11
YGL195W	141	92	102	127
YGL206C	96	66	49	67
YGR060W	68	31	27	39
YGL257C	21	15	7	13
YGL023C	20	6	8	10
YGL201C	23	7	10	20
YGL241W	25	14	9	8
YGR199W	23	14	9	13
YGL111W	23	10	7	13
snR39B	28	20	14	13
YGR155W	214	125	157	206
YGL114W	15	9	6	12
YGL255W	25	11	6	7
YGR233C	12	4	9	12
YGR092W	23	16	9	14
YGL171W	36	21	27	19
YGL029W	18	10	4	8
YGL147C	536	338	333	398
YGR178C	35	16	17	16
YGL203C	30	22	8	16
YGL048C	79	54	39	47
YGR207C	17	19	9	9
YGR093W	16	5	3	11
YGR119C	42	23	14	23
YGR061C	142	89	68	132
YGR280C	20	10	4	15
YGL031C	324	190	186	208
YGR117C	20	19	9	12
YGR254W	554	385	274	385
YGL164C	10	10	2	6
YGR264C	202	111	99	131
YGL234W	155	113	104	141
YGL238W	81	50	38	57
YGR185C	45	28	22	30
YGR189C	50	25	20	31
YGL221C	47	27	22	35
YGL135W	159	95	108	161
YGR253C	42	27	20	29
YGL101W	20	13	5	6
YGR271C-A	14	7	0	11
YGR267C	18	9	7	13
YGR234W	243	130	133	159
YGL141W	17	17	15	17
YGL245W	184	130	127	171
YGL215W	21	4	8	13
YGR229C	39	12	8	23
YGR135W	52	37	34	27
YGL139W	19	9	10	9
YGL172W	15	9	14	13
YGL027C	37	13	16	20
YGL019W	22	14	11	11
YGR017W	41	22	18	19
YGR193C	13	11	8	9
YGL030W	333	210	196	200
YGL148W	110	66	51	76
YGR281W	42	10	12	15
YGR078C	11	11	10	18
YGL133W	21	13	11	8
YGR295C	11	7	3	12
YGR048W	13	10	17	4
YGR054W	23	20	15	15
YGL006W	33	25	13	38
YGL232W	29	24	8	9
YGL157W	31	14	9	7
YGR014W	22	14	14	15
YLL050C	214	135	115	126
YLR075W	495	325	317	410
YLR025W	15	10	6	13
YLR049C	14	13	6	12
YLR032W	13	9	8	12
YLR321C	26	10	6	11
YLR247C	30	17	11	16
YLR167W	1721	1084	1033	1174
YLR220W	20	20	6	10
YLR272C	15	12	11	9
YLR180W	105	52	67	79
YLR250W	71	48	25	36
YLR253W	15	12	7	6
YLR390W-A	38	12	16	16
YLR117C	15	3	11	8
YLR110C	395	257	210	250
YLR069C	17	17	5	14
YLR008C	20	12	7	12
YLR231C	41	22	18	20
YLR264W	153	118	91	131
YLR103C	16	9	3	11
YLR228C	17	10	11	13
YLL036C	37	17	9	27
snR61	36	33	15	24
YLR056W	153	79	72	72
YLR429W	67	42	37	46
YLR310C	44	34	15	30
YLR342W	264	157	142	211
YLR017W	27	15	11	10
YLR304C	66	56	37	64
YLR027C	83	39	35	109
YLR214W	75	33	40	47
YLR378C	61	29	24	61
YLL008W	64	49	36	48
YLR449W	61	46	41	40
YLR089C	14	15	10	5
YLR190W	18	9	12	12
YLR045C	6	10	4	10
YLR285W	32	8	10	14
YLR276C	74	39	37	43
YLR077W	29	7	14	16
YLR301W	39	13	9	16
YLR427W	33	11	9	7
YLR150W	469	299	275	361
YLL021W	32	27	15	20
YLR153C	62	31	36	36
YLR014C	23	10	16	14
YLR096W	24	14	11	8
YLR033W	27	14	7	9
YLR278C	16	14	8	10
YLR266C	15	12	11	16
YLR007W	11	6	12	6
YLL015W	36	27	15	20
YLR058C	218	149	87	113
YLR325C	142	93	75	100
YLR074C	23	12	10	10
YLL001W	21	15	19	7
YLR409C	47	32	31	40
YLR256W	60	44	17	31
YLR186W	26	12	9	12
YLR143W	13	9	7	10
YLR197W	242	128	114	138
YLL034C	47	34	22	31
YLL023C	11	9	5	11
YLR065C	14	7	8	11
YLL031C	26	15	9	12
YLR419W	23	12	9	8
YLR405W	16	6	10	9
YLR093C	13	11	6	8
YLR370C	28	18	10	16
YLL026W	126	98	60	83
YLR114C	38	13	16	35
YLR146C	14	5	1	16
YLR333C	88	48	35	29
YLL043W	19	12	13	18
YLR336C	44	28	19	29
YLR430W	48	24	9	16
YLR436C	25	11	4	8
YLR347C	41	16	16	22
YLR113W	35	31	14	27
YLR196W	73	30	37	38
YLR163C	15	14	7	9
YLR129W	101	62	51	54
YLR173W	12	12	3	5
YLR259C	65	56	36	56
YLR401C	24	25	17	22
YLR185W	171	114	92	135
YLR060W	110	66	63	90
YLL029W	23	10	7	12
YLR432W	51	19	26	40
YLR166C	30	26	21	19
YLR383W	16	9	9	10
YLR044C	1983	1122	1082	1270
YLR293C	55	46	18	28
YLR192C	32	18	17	24
YLR300W	82	54	41	46
YLR448W	123	62	68	86
snR44	30	16	21	20
YLR367W	111	92	79	122
YLR309C	67	27	19	44
YLR299W	10	9	10	4
YLR029C	515	358	351	382
YLR373C	22	6	4	14
YLR066W	27	11	19	7
YLR175W	182	124	123	152
YLL051C	11	6	7	12
YLR314C	48	25	17	35
YLR019W	15	14	7	38
YLR361C	8	10	12	7
YLR389C	44	23	11	13
YLR270W	16	7	12	12
YLR223C	24	16	8	10
YLR195C	33	9	7	13
YLR398C	34	27	12	33
YLR418C	42	30	12	36
YLR109W	129	70	66	66
YLR106C	130	60	60	77
YLR083C	40	21	23	27
YLR274W	36	27	24	28
YLR413W	90	54	44	53
YLR340W	745	416	422	555
YLR452C	41	32	18	22
YLR372W	75	38	39	49
YLR363C	14	11	6	10
YLR207W	22	13	7	5
YLR188W	37	18	18	32
YLR328W	13	11	5	10
YLR241W	20	7	6	17
snR30	12	7	12	8
YLR287C	33	19	17	15
YLR410W	33	15	10	25
YLR397C	15	10	10	8
YLR120C	23	17	8	25
YLR335W	22	24	14	24
YLR399C	56	31	31	55
YLR388W	56	37	33	45
YLR249W	2218	1275	1475	2043
YLL010C	14	12	8	9
YLR133W	13	7	10	7
YLL011W	27	19	10	12
YLR384C	84	45	34	66
YLR203C	9	10	14	6
YLR450W	29	24	17	27
YLR291C	21	7	6	15
YLR344W	130	68	58	82
YLR447C	120	94	89	117
YLR435W	29	26	15	23
YLR084C	34	11	15	18
YLR229C	29	21	23	13
YLR048W	171	97	98	120
YLR086W	36	25	14	40
YLL041C	20	10	3	6
YLR330W	45	29	30	34
YLR244C	64	42	23	48
YLR258W	24	22	14	10
YLR172C	27	15	16	16
YLR268W	20	5	7	10
YLR420W	53	18	24	23
YLL035W	11	10	7	10
YLL009C	13	7	7	11
YLR406C	180	133	71	91
YLR138W	27	14	13	20
YLR295C	13	8	10	14
YLR248W	28	14	11	10
YLR002C	75	45	32	48
YLR189C	19	19	9	18
YLR206W	19	14	13	18
YLL018C	66	42	45	64
YLR350W	17	10	8	13
YLR257W	22	21	15	21
YLR375W	23	15	14	20
YLR287C-A	15	15	7	8
YLR003C	19	13	8	10
YLR355C	251	191	188	253
YLR441C	606	392	366	426
YLR028C	74	61	35	45
YLR043C	102	57	41	56
YLR243W	19	13	9	13
YLR148W	16	14	5	16
YLR199C	16	13	11	7
YLR351C	36	19	13	27
YLR130C	33	15	21	20
YLR024C	20	11	10	16
YLR380W	18	5	7	11
YLR061W	191	124	118	151
YLR386W	22	12	7	15
YLR387C	12	8	7	13
YLR422W	19	11	6	11
YLR354C	130	81	61	109
YLL039C	79	39	46	44
YLR208W	40	19	16	31
YLR115W	14	5	9	13
YLR005W	21	14	7	7
YLR454W	35	24	24	18
YLR305C	36	35	21	33
YLL048C	68	33	35	60
